Jules Verne	JULES VERNE	0.3
Mãi đến khi khí cầu vùn vụt lao xuống họ mới hay mình đang bay trên những lớp sóng biển hung dữ, và hiểu ra mình đang gặp nguy hiểm chết người.	- A telepesek íjakat és nyilakat faragnak - A téglagyár - A fazekasműhely - Különféle konyhaeszközök - Az első, fazékban főtt étel - A szentjánosfű - A Dél Keresztje - Fontos csillagászati megfigyelés	0.236129
Nhưng khi họ vứt hết những vật nặng trong giỏ treo của khí cầu như súng đạn, lương thực thì khí cầu lại vọt lên.	TIZENNEGYEDIK FEJEZET ~~~ A gránitfal megmérése - A hasonló háromszögek tantételének gyakorlati alkalmazása - A sziget földrajzi szélessége - Kirándulás az északi partvidékre - Az osztrigatelep - Tervezgetések - Mikor delel a nap? ~~~ - A Lincoln-sziget földrajzi helyzete ~~~ TIZENÖTÖDIK FEJEZET	-0.188976
Ngày hôm sau, khi bão bắt đầu yên cũng là lúc vỏ khí cầu lại dài ra, co rúm lại và họ xuống liên tục.	A telepesek végleg elhatározzák: a szigeten telelnek - Fémkohászati feladatok - Kirándulás a Menedék-zátonyra - Fókavadászat - Sündisznófogás - A „kula” - Milyen az a katalán módszer? ~~~ - Vasolvasztás - Hogyan edzik az acélt? ~~~ TIZENHATODIK FEJEZET	-0.163303
Rõ ràng là không thể nào giữ cho khí cầu thăng bằng trên cao được nữa, vì nó không còn đủ hơi gas.	Megint csak a szálláskérdés - Pencroff ábrándjai - Kutatóút a tó északi partvidékén - A fennsík pereme - A kígyók - A tó csücske - Miért nyugtalankodik a kutya?	0.176636
Thế là cái chết đang sẵn sàng tìm đến họ!	- Top a tóba ugrik - Küzdelem a víz mélyén - A dugong	0.287234
Bên dưới không phải là đất liền, mà là biển cả mênh mông, không có cù lao, không đảo nổi, không một dải đất để neo khí cầu.	TIZENHETEDIK FEJEZET ~~~ Vizsgálódás a tó körül - A vízáramlás nyomra vezeti a fölfedezőket - Cyrus Smith tervei - A dugong zsírja - Pirit a palarétegek közt - Vas-szulfát - Hogyan készül a glicerin?	-0.0223404
Đến hai giờ chiều ngày 24, khí cầu chỉ còn cách mặt đại dương khoảng bốn năm bộ.	- Szappanfőzés - Salétrom - Kénsav - Salétromsav - Az újdonsült vízesés ~~~ TIZENNYOLCADIK FEJEZET	0
	Pencroff már semmiben sem kételkedik - A tó eredeti lefolyója - Leereszkedés a föld alá - Út a gránitfolyosón - Top eltűnik - A központi barlangüreg - A földmélyi kút - Új titok - Csákányütés a gránitfalba - Hazatérés	-0.3
Đúng lúc ấy một tiếng nói quả cảm vang lên:	TIZENKILENCEDIK FEJEZET	-0.0521739
	Cyrus Smith terve - A Gránitpalota homlokzata - A kötélhágcsó - Pencroff ábrándjai - A gyógyfüvek - A természetes vadaskert - Vízvezeték az új lakásban - Kilátás a Gránitpalota ablakaiból	-0.3
	HUSZADIK FEJEZET ~~~ Az esős évszak - A ruházkodás kérdése - Újabb fókavadászat - Gyertyaöntés - Berendezkedés a Gránitpalotában - Két kis híd - Visszatérés az osztrigatelepről - Mit talált Harbert a zsebében? ~~~ HUSZONEGYEDIK FEJEZET	-0.3
	A hőmérséklet fagypont alá esik - Kirándulás a délkeleti lápvidékre - A fakó rókák - Kilátás a tengerre - Beszélgetés a Csendes-óceán jövőjéről - Az ázalékok szakadatlan munkája - Mi vár a földgolyóra?	-0.6
- Vứt bỏ hết mọi thứ rồi chứ?	- A vadászat - A hullámkacsák mocsara	0.657857
	HUSZONKETTEDIK FEJEZET ~~~ Csapdák - Rókák - Az ajakos disznók - Szélroham északnyugatról - Hóvihar - Kosárfonás - A tél leghidegebb napjai - Jávorfaszirupból kristálycukor - A titokzatos kút - A telepesek kirándulásra készülnek - Az ólomsörét ~~~ MÁSODIK RÉSZ ~~~ A SZÁMŰZÖTT	-0.3
- Chưa!	ELSŐ FEJEZET	0.1125
Còn lại vàng, mười ngàn đồng Franc cả thảy!	Találgatások - Csónaképítés - Vadászkirándulások - Mit látni a kauri tetejéről?	0.117647
	- Minden arra vall: a sziget lakatlan - Nab és Harbert halászfogása - A hátára fordított teknősbéka - A teknőcnek nyoma vész - Cyrus Smith magyarázata ~~~ MÁSODIK FEJEZET	-0.3
– một giọng nói khác kiên quyết nói.	A pirog próbaútja - Mit vetett partra a tenger?	0.3
	- A ládát vontatókötélre veszik - A szirtfok új nevet kap - A láda tartalma: szerszámok, fegyverek, műszerek, ruhák, könyvek, házieszközök - Mit hiányol Pencroff?	-0.3
Ngay tức khắc, chiếc bao tải nặng đựng tiền rơi vụt xuống đại dương.	- Az Evangélium - A Szentírás egyik szakasza ~~~ HARMADIK FEJEZET	-0.0594828
	Indulás nyugat felé - A dagály - Szilfák és szilcserjék - Különféle növények - A fénymadár - Az erdő arculata - Óriás eukaliptuszok - Miért mondják „lázfának” az eukaliptuszt?	-0.3
- Còn vật gì để quẳng đi được không?	- Majomcsapatok - A vízesés - Éjszakai táborozás	0.612879
- Hết rồi!	NEGYEDIK FEJEZET	0.230769
- Mọi người hãy bám lấy lưới.	Útban a tengerpart felé - Majomfalkák - Új folyó!	0.583333
Chúng ta sẽ vứt cái giỏ treo xuống biển.	- Miért nem duzzasztja föl az új folyót a dagály?	0.293333
Thật vậy, chỉ còn cách cuối cùng và duy nhất ấy là có khả năng làm cho khí cầu nhẹ bớt mà thôi.	- Erdős tengerszegély - A Csúszómászó-fok - Harbert megirigyeli Gedeon Spilettet - A bambuszsortűz ~~~ ÖTÖDIK FEJEZET	-0.00714286
Những sợi dây buộc nối vào vành đai lưới đã bị cắt đứt, và đến khi chiếc giỏ tách rời ra, khinh khí cầu bốc lên trên mực nước biển hai ngàn bộ.	Gedeon Spilett javaslata: térjenek haza a déli parton - A tengerszegély képe - Kutatás a föltételezett hajótöröttek után - Roncs a levegőben - Természetes kikötő - Éjjel a Hála-folyó mentén - Az elsodort ladik ~~~ HATODIK FEJEZET	-0.0292683
Năm nhà du hành leo lên vành đai và bây giờ họ trụ trên các mắt lưới, tay bám chặt vào những sợi dây.	Pencroff kiereszti a hangját - Éjszakázás a Kéményben - Harbert nyílvesszője - Cyrus Smith terve - Váratlan megoldás - Mi történt a Gránitpalotában?	0.211927
Phía bên dưới, đại dương đang gầm thét.	- A telepesekhez új inas szegődik ~~~ HETEDIK FEJEZET	0
Đến bốn giờ chiều, khí cầu chỉ còn cách đại dương năm trăm bộ.	Tervek a közeljövőre - Híd a Hála folyó fölött - Hogyan válik szigetté a Kilátó-fennsík?	0.248
	- A fölvonóhíd - Aratás - Az új patak - Pallók készítése - A baromfiudvar - A galambdúc - Két vad szamár - A vadszamarakat szekérbe fogják - Kirándulás a Léggömb-öbölbe	-0.3
	NYOLCADIK FEJEZET ~~~ Fehérneművarrás - Fókabőr cipők - Lőgyapot - Növénytelepítés - Halászat - Teknősbékatojások - Jup mester jól halad tanulmányaiban - A karám - Muflonvadászat - Új növényi és állati kincsek - Emlékezés a távoli hazára ~~~ KILENCEDIK FEJEZET	-0.3
	Komisz idő - A víz hajtotta fölvonókészülék - Üvegtáblák és üvegedények - A kenyérfa - A karám lakói - Szaporodik a nyáj - Az újságíró kíváncsiskodik - A Lincoln-sziget pontos földrajzi helyzete - Pencroff javaslata ~~~ TIZEDIK FEJEZET	-0.3
	Hajóépítés - A második búzaaratás - Lajhárvadászat - Új növény: nem éppen hasznos, de valakinek nagy örömet okoz... - Bálna a láthatáron!	-0.3
Bỗng con chó mà các nhà du hành mang theo sủa vang.	- A vineyardi szigony - A cethal földarabolása - Mire jó a halcsont?	0.24
Nó cũng đang ở bên dưới khí cầu, cạnh viên kỹ sư chủ nhân của nó.	- Május vége - Pencroff leghőbb óhaja teljesül ~~~ TIZENEGYEDIK FEJEZET	-0.0204545
	A tél - Posztógyártás - A ványolómalom - Pencroff rögeszméje - A bálnaszila csalétkek - Mire használható az albatrosz?	-0.3
	- A jövő fűtőanyaga - Top és Jup - Vihar - A szélvész pusztítása a baromfiudvarban - Kirándulás a lápvidékre - Cyrus Smith egyedül marad - Kutatás a kútakna alján ~~~ TIZENKETTEDIK FEJEZET	-0.3
	A bárka vitorlázata és kötélzete - Fakó rókák támadása - Jup megsebesül - Jup lábadozása - Jup meggyógyul - Kész a hajó!	-0.3
	- Pencroff, a diadalittas - A B o n a d v e n t u r e - Próbaút a sziget déli partja mentén - Váratlan okmány	-0.3
	TIZENHARMADIK FEJEZET ~~~ Elhatározzák, hogy útnak indulnak - Föltevések - Előkészületek - A bárka három utasa - Az első éjszaka - A második éjszaka - A Tabor-sziget - Kutatás a parton - Kutatás az erdőben - Sehol senki!	-0.3
- Con Top đã trông thấy cái gì rồi!	- Állatok - Növények - A lakatlan kunyhó	0.625225
– một người trong số du khách kêu lên.	TIZENNEGYEDIK FEJEZET ~~~ Mi van a kunyhóban?	-0.01125
	- Az éjszaka - Néhány betű - Folytatják a kutatást - Növények és állatok - Harbert nagy veszélyben - A bárkán - Indulás hazafelé - Ítéletidő - Az értelem fölcsillanása - Tévelygés a tengeren - A jókor gyújtott irányjelző tűz ~~~ TIZENÖTÖDIK FEJEZET	-0.3
	A hazatérés - Az utazók beszámolnak kalandjaikról - Cyrus Smith és az ismeretlen hajótörött - A Léggömb-kikötőben - A mérnök próbálkozása - Megható kísérlet - Lecsorduló könnycsepp ~~~ TIZENHATODIK FEJEZET	-0.3
	Új rejtély, amely földerítésre vár - Az ismeretlen első szavai - Tizenkét év a Tabor-szigeten!	-0.3
	- A feltörő vallomás - Az ismeretlen eltűnik - Cyrus Smith nem csügged - Malom épül - A harmadik aratás - Az első liszt és az első kenyér - Az ismeretlen önfeláldozó cselekedete - Becsületes kézfogás! ~~~ TIZENHETEDIK FEJEZET	-0.3
	Az ismeretlen még mindig félrehúzódik - Az ismeretlen kérése - A karámbeli majorság - Tizenkét év a Tabor-szigeten!	-0.3
	- B r i t a n n i a másodtisztje - A száműzetés - A kézfogás - A titokzatos okmány	-0.3
	TIZENNYOLCADIK FEJEZET ~~~ A telepesek beszélgetése - Cyrus Smith és Gedeon Spilett - A mérnök ötlete - Elektromos távíró - Villanydrót készül - A huzalvonó gép - Az ábécé - Szép évszak - A telep virágzása - Fényképezés - Havas tájkép - Két év a Lincoln-szigeten!	-0.3
Và liền ngay đó có tiếng reo vang:	TIZENKILENCEDIK FEJEZET	0.130435
	A szülőhaza emléke - A szabadulás reménye - Hajóút a sziget körül - Indulás április 16-án - A Kígyó-félsziget a tengerről nézve - A nyugati part bazaltsziklái - Vihar - Leszáll az éjszaka - Különös fordulat ~~~ HUSZADIK FEJEZET	-0.3
	Éjszaka a tengeren - A Cápa-öböl - Vallomás - Készülődés a télre - Korai, komisz ősz - Kemény hideg - Otthoni munkálatok - Hat hónap múltán - Mit mutat a fénykép?	-0.6
- Đất liền!	- Váratlan esemény	0.97
Đất liền!	HARMADIK RÉSZ	0.3
	A SZIGET TITKA	-0.3
Quả thật, trước mặt các du khách xuất hiện một bờ biển khá cao cách họ khoảng ba mươi hải lý.	ELSŐ FEJEZET ~~~ Veszély vagy szabadulás? ~~~ - Ayrtont a Gránitpalotába hívják - Fontos megbeszélés - Ez nem a D u n c a n!	-0.101923
	- Gyanús hajó - Óvatossági rendszabályok - A vitorlás közeledik - Ágyúlövés - A kétárbocos horgonyt vet a sziget előtt - Leszáll az éjszaka	-0.3
	MÁSODIK FEJEZET ~~~ Megbeszélés - A telepesek sejtelmei - Ayrton javaslata - A telepesek elfogadják a javaslatot - Ayrton és Pencroff a Menedék-zátonyon - A Norfolk-szigeti fegyencek - Mit forralnak a gazemberek?	-0.3
	- Ayrton hősies vállalkozása - Ayrton visszatér - Hatan ötven ellen	-0.3
	HARMADIK FEJEZET ~~~ Fölszakad a köd - A mérnök utasításai - Három őrhely a parton - Ayrton és Pencroff - Az első csónak - A második és a harmadik - A zátonyon - Hat fegyenc a szigeten!	-0.3
Muốn đến đó, khí cầu cần bay ít nhất một giờ, với điều kiện là gió không đổi hướng.	- A brigg fölszedi horgonyát - A S p e e d y lövedékei - Kétségbeejtő helyzet - Váratlan fordulat	0.287629
	NEGYEDIK FEJEZET ~~~ A telepesek a fövényparton - Ayrton és Pencroff mentési munkálatai - Beszélgetés ebéd közben - Pencroff okoskodása - Tűvé teszik a brigg belsejét - Az érintetlen lőporkamra - Új kincsek - A hajótörés utolsó roncsai - Egy törött hengerdarab ~~~ ÖTÖDIK FEJEZET	-0.3
	A mérnök megállapításai - Pencroff nagyszabású terve - Ágyúüteg a Gránitpalotában - Négy próbalövés - Mi történjék az életben maradt fegyencekkel?	-0.3
Nếu hơi gas bị xì hết trước thời hạn đó thì sao?	- Ayrton habozása - Cyrus Smith nagylelkűsége - Pencroff enged a közóhajnak	0.225
	HATODIK FEJEZET ~~~ A fölfedező út terve - Ayrton a karámba megy - Látogatás a Léggömb-kikötőben - Mit vett észre Pencroff a B o n a d v e n t u r e fedélzetén?	-0.3
	- Sürgöny a karámba - Ayrton nem válaszol - Indulás hajnalban - Miért nem működik a távíró?	-0.3
Thật là một câu hỏi khủng khiếp!	- Puskadörrenés ~~~ HETEDIK FEJEZET	-0.0272727
	Az újságíró és Pencroff a karámban - Harbertet a kunyhóba szállítják - A tengerész kétségbeesése - Az újságíró és a mérnök tanácskozása - Hogyan gyógykezelik Harbertet?	-0.3
Các du khách bất hạnh đã cố phân biệt rõ mặt đất phía bên dưới.	- Halvány reménysugár - Hogyan értesítsék Nabet?	0.146939
Họ không biết đó là đảo hay đất liền.	- Megbízható és hűséges küldönc - Nab válasza	0.293478
Nhưng dù trước mặt họ là một hòn đảo hoang, thì cũng cần phải đến được đó bằng bất cứ giá nào.	NYOLCADIK FEJEZET ~~~ Fegyencek a karám környékén - Ideiglenes berendezkedés a kunyhóban - A telepesek folytatják Harbert kezelését - Pencroff föllélegzik - Emlékezés a múltra - Mit rejt a jövő? ~~~ - Hogyan vélekedik Cyrus Smith ezt illetőleg? ~~~ KILENCEDIK FEJEZET	-0.183186
Nửa giờ trôi qua, họ chỉ còn cách mặt đất không quá một hải lý, nhưng hơi gas trong khí cầu hầu như đã cạn kiệt, chỉ còn chút ít ở phần trên.	Nabről semmi hír - Pencroff és az újságíró ajánlata nem talál meghallgatásra - Gedeon Spilett portyázásai - Szövetfoszlány az erdőben - Üzenet érkezik - Hirtelen indulás - Megérkezés a Kilátó-fennsíkra	0.225478
	TIZEDIK FEJEZET ~~~ Harbertet a Gránitpalotába szállítják - Nab elbeszéli, mi történt - Cyrus Smith szemleútja a fennsíkon - Rom és pusztulás - Harbert állapota súlyosbodik - A telepesek nem tudják mivel leküzdeni a bajt - A fűzfakéreg - Halálos lázrohamok - Top ismét fölvakkant!	-0.3
Các du khách bíu chặt vào lưới và trọng lượng của họ quá tải đối với khí cầu.	TIZENEGYEDIK FEJEZET ~~~ Megfejthetetlen titok - Harbert ismét lábadozik - Mi vár még fölkutatásra a szigeten?	-0.0164835
Vỏ khí cầu bị gấp khúc, gió thổi trôi trên mặt nước như một cái thuyền buồm, chỉ còn cách bờ hai cabeltov nữa thôi.	- Fölkészülnek az indulásra - Az első nap - Az első éjszaka - A második nap - A kaurifenyők - A kazuárpár - Lábnyomok az erdőben - Megérkezés a Csúszómászó-fokra	0.246512
Nhưng bỗng bốn du khách bật lên tiếng kêu, và quả khí cầu bị mất hết sức nâng lại bất ngờ vọt lên cao khoảng một ngàn tám trăm bộ.	TIZENKETTEDIK FEJEZET ~~~ Fölfedező út a Kígyó-félszigeten - Táborozás a Zuhatag-patak torkolatánál - Hatszáz lépésnyire a karámtól - Gedeon Spilett és Pencroff földerítésre indul - A járőr visszatér - Előre a karámba!	-0.0428571
Đến đây, nó lại sa vào một vùng không khí loãng và bị gió cuốn đi, không phải vào bờ, mà hầu như song song với bờ.	- Nyitott kapu - Gyertyavilág az ablakban - Holdfényben ~~~ TIZENHARMADIK FEJEZET	-0.110417
Hai phút sau thì gió đổi hướng và quả cầu bị hất lên bờ cát.	Ayrton elbeszélése - Mit terveztek Ayrton egykori cimborái?	0.230357
	- Berendezkedésük a karámban - A Lincoln-sziget igazságtevő hatalma - A Bonadventure sorsa - Kutatóút a Franklin-hegy környékén - A felső völgyek - Moraj a föld alól - Pencroff válasza - A kráter alján - Hazatérés ~~~ TIZENNEGYEDIK FEJEZET	-0.3
Các du khách giúp nhau chui ra khỏi lớp lưới bao quanh họ.	Három év múlt el - Építsenek-e új hajót a telepesek?...	0.272222
Quả khí cầu, sau khi thoát khỏi tình trạng quá tải, vụt bay lên khi gặp cơn gió đầu tiên, rồi biến mất trong bầu trời bao la.	- Úgy döntenek: igen!... ~~~ - A telep gyarapszik - Az ácsszérű - A déli félgömb hideg telei - Pencroff beletörődik a megváltoztathatatlanba - Fehérneműmosás - A Franklin-hegy	-0.00335821
Trên giỏ treo của khí cầu trước đó có năm nhà du hành và một con chó, nhưng khi xuống mặt đất chỉ còn có bốn người.	TIZENÖTÖDIK FEJEZET ~~~ Ébredezik a tűzhányó - Nyáridő - Tovább folyik a munka az ácsszérűben - Mi történt október 15-ének estéjén?	-0.00117188
	- Távirat érkezik... - Kérdés - Felelet - Indulás a karámba - Üzenet a kunyhó asztalán - A sürgönyhuzal toldaléka - A bazaltpart vidéke - Dagály - Apály - A barlang - Vakító fény a vízen...	-0.3
	TIZENHATODIK FEJEZET ~~~ Nemo kapitány - Első szavai - A függetlenség harcosának élettörténete - Gyűlölete a hódítók ellen - Nemo társai - Élet a tenger alatt - Magánosan - A N a u t i l u s utolsó rejtekhelye a Lincoln sziget mélyén - A sziget titokzatos „őrszelleme”... ~~~ TIZENHETEDIK FEJEZET	-0.3
	Nemo kapitány utolsó órái - A haldokló végakarata - Emlék az új barátok számára - Nemo kapitány koporsója - Néhány tanács - Az utolsó pillanat - A tenger fenekén ~~~ TIZENNYOLCADIK FEJEZET	-0.3
Người thứ năm chắc đã bị sóng cuốn đi mất.	A telepesek tűnődései - Újból megkezdik a hajóépítést - 1869. január 1.	0.190385
Nhờ vậy mà trọng lượng của khí cầu nhẹ bớt khiến nó vọt lên lần cuối cùng và sau vài phút nó bay được vào bờ.	- Füstoszlop a tűzhányó csúcsán - A kitörés első jelei - Ayrton és Cyrus Smith a karámban - Szemleút Dakkar herceg sírboltjában - Mit mondott Nemo kapitány a mérnöknek?	0.22381
	TIZENKILENCEDIK FEJEZET ~~~ Cyrus Smith beszámol társainak vizsgálódása eredményéről - Lázas munka a hajóépítő műhelyben - Utolsó látogatás a karámban - A tűz és a víz küzdelme - Mi maradt meg a szigetből?	-0.3
Những người bị tai nạn trên không vừa đặt chân xuống mặt đất, không thấy người thứ năm đâu, đều thốt lên:	- A telepesek elhatározzák, hogy vízre bocsátják a hajót - A március 8-ról 9-re virradó éjszaka ~~~ HUSZADIK FEJEZET	-0.025
	Magános szikla a Csendes-óceán közepén - A Lincoln-sziget telepeseinek végső menedéke - A halál árnya - Páratlan segítség - Miért és hogyan talált a D u n c a n a Lincoln-sziget helyére?	-0.3
	- Nemo kapitány utolsó jócselekedete - Sziget a szárazföldön - Nemo kapitány sírja	-0.3
		0.3
	ELSŐ RÉSZ	-0.3
	A LEVEGŐ HAJÓTÖRÖTTEI	-0.3
- Có lẽ ông ấy tự nguyện rời khỏi khí cầu để cứu chúng ta đấy.	ELSŐ FEJEZET ~~~ Az 1865. évi orkán - Vészkiáltások a levegőben - Léggömböt sodor a forgószél -	0.0939189
	A léggömb burka fölhasad - Ameddig a szem ellát: mindenütt tenger... - A léghajó öt utasa -	-0.3
Bây giờ thì ông ấy đang ở trên biển và định bơi vào bờ.	Mi történt a léghajó gondolájában? ~~~ - Part a láthatáron!	-0.0155172
Phải tìm ông ta!	- A dráma végkifejlete	0.233333
	- Emelkedünk?	-0.3
* ~~~ 	- Ugyan!	-0.15
	Ellenkezőleg!	-0.3
	Süllyedünk!	-0.3
	- Annál is rosszabb, Cyrus úr!	-0.3
	Zuhanunk!	-0.3
	- Az Isten szerelmére!	-0.3
	Dobjatok ki minden nehezéket!	-0.3
	- Most ürítettem ki az utolsó homokzsákot!...	-0.3
	- Fölfelé száll a léghajó?	-0.3
* * ~~~ 	- Nem!	-0.03
	- Mintha hullámverést hallanék...	-0.3
	- Itt a tenger a gondolánk alatt!	-0.3
	- Alig ötszáz lábnyira1 lehet!	-0.3
	Ekkor hatalmasan zengő hang hasított át a levegőn, s ezek a szavak hallatszottak:	-0.3
	- Dobjatok ki minden súlyos holmit... mindent!	-0.3
	Rajta, és Isten irgalmazzon!	-0.3
	Ezek a szavak a Csendes-óceán roppant vízsivatagja fölött hangzottak el, délután négy óra tájt, 1865. március 23-án.	-0.3
	Bizonyára mindenki emlékszik még rá, milyen borzalmas északkeleti szélvész tört ki abban az esztendőben, napéjegyenlőség idején, olyan hirtelen, hogy a légsúlymérő higanyoszlopa egyszeriben 710 milliméterre zuhant alá. ~~~ Ez az orkán egyhuzamban tombolt március 18-tól 26-ig.	-0.3
Những người bị trận cuồng phong quẳng lên bờ biển xa xăm nào đó không phải là những nhà du hành chuyên nghiệp hay những người yêu thích du ngoạn trên không.	Mérhetetlen rombolást végzett Amerikában, Európában és Ázsiában egyaránt, az északi szélesség 35. fokától egészen a déli szélesség 40. fokáig, az Egyenlítőre rézsútosan, mintegy 1800 mérföldnyi2 sávon!	0.24
	Városokat döntött porba, erdőket csavart ki tövestül; a szökőár módjára száguldó hullámhegyek - mint a hírügynökségek jelentéseiből köztudomású - százszámra vetették partra a hajókat; az ítéletidő, amerre csak elvonult, egész országrészeket tett a föld színével egyenlővé, mindenütt ezrével pusztultak az emberek a szárazföldön, vagy fulladtak bele a tengerbe - dühöngésének ilyen tanújeleit hagyta maga után ez az iszonyatos égiháború.	-0.3
Họ bị bắt làm tù binh trong cuộc nội chiến ở Mỹ và tinh thần dũng cảm chân chính đã thôi thúc họ chạy trốn kẻ thù trong những hoàn cảnh hết sức éo le.	Egymagában több szerencsétlenséget okozott, mint azok a hírhedt szélviharok, amelyek közül az egyik Havannát dúlta föl 1810. október 25-én, a másik pedig Guadeloupe-ot tette tönkre 1825. július 26-án.	0.254819
	Mialatt ennyi katasztrófa ment végbe a földön és a vízen, nem kevésbé megrendítő dráma játszódott le a fölbolydult levegőben is.	-0.3
