ĐỎ VÀ ĐEN (Tập 1)	Vörös és fekete	0.229412
Của ông Thị trưởng đấy mà. ~~~ Hễ người du khách dừng chân lại chốc lát trong cái phố lớn của Verrières ấy, nó chạy ngược dốc từ bờ sông Doubs lên tới đỉnh đồi, thì có thể cược một trăm ăn một là khách sẽ trông thấy xuất hiện một người đàn ông cao lớn có vẻ bận rộn và oai vệ lắm.	Ha az utas néhány perczre megáll a verrières-i főutczán, mely a Doubs partjától a dombtető felé emelkedik, százat tehet egy ellen, hogy meg fog pillantani egy elfoglaltnak látszó és tekintélyes ábrázatú magas termetű embert.	-0.0104604
Trông thấy người đó, tất cả mọi người đều vội ngả mũ chào.	Láttára mindenki sietve emeli meg kalapját.	0.0785714
Ông ta tóc hoa râm, bận y phục màu xám.	Haja szürkébe vegyűlő; ruhája szürke.	0.3
Ông đeo nhiều huân chương, trán ông rộng lớn, mũi mỏ diều, và nói chung khuôn mặt ông không phải là không đều đặn, mới thoạt nhìn, người ta lại còn thấy rằng khuôn mặt đó kết hợp được cái vẻ đường bệ của vị thị trưởng vùng quê với một thứ mỹ miều còn có thể thấy được ở cái tuổi bốn tám, năm mươi.	Több rendjelnek a tulajdonosa, homloka magas, orrának vágása a saséra emlékeztet és egészben az arcza nincs hiányával bizonyos szabályosságnak, sőt az első pillantásra úgy látszik, hogy a polgármesteri méltóságosság egyesűl rajta azzal a könnyedséggel, a mi még összefér a negyvennyolcz vagy ötven esztendővel.	0.251839
Nhưng chả mấy chốc, người du khách của Paris đã thấy khó chịu vì một cái vẻ tự mãn tự phụ hòa lẫn với một cái gì tuồng như thiển cận và ngu đần.	Csakhamar azonban a párisi utas megütközve észleli az önelégűltség és a magával elteltség kifejezését ez arczon, vegyűlve valami korlátoltsággal és az ötletekre való képesség fogyatékosságával.	0.247273
Nghĩa là người ta cảm thấy rằng tài trí của con người đó chỉ giới hạn ở chỗ có ai nợ y cái gì thì y đòi cho thật đúng kỳ hạn, còn y nợ ai thì y trả hết sức chậm chạp lươn khươn.	Megérzi, ennek az embernek a tehetsége arra szorítkozik, hogy pontosan behajtsa, a mi neki jár, de maga minél később fizesse, a mivel tartozik.	0.139535
Đấy, Ông de Rênal, thị trưởng Verrières, là như vậy.	Így fest a verrières-i polgármester, de Rênal úr.	0.564583
Sau khi đã đi ngang qua phố bằng một bước đi trịnh trọng, ông đi vào tòa thị chính và con mắt người du khách không trông thấy ông nữa.	Miután lassú léptekkel áthaladt az utczán, belép a polgármesteri hivatalba és eltűnik az utas szeme elől.	0.172277
Nhưng đi quá lên trăm bước nữa, nếu du khách tiếp tục du ngoạn, khách sẽ trông thấy một ngôi nhà vẻ ngoài khá đẹp, và xuyên qua một hàng rào sắt ăn liền vào ngôi nhà, có những thửa vườn tráng lệ.	Ha azonban ez folytatja sétáját, száz lépéssel odább egy eléggé tetszetős külsejű házat vesz észre, a hozzátartozó vasrács mögött pedig remek kertet.	0.164189
Bên kia khu vườn là một đường chân trời vạch nên cảnh ngoạn mục.	A messzeségben a burgundiai halmok zárják be a látóhatárt, oly gyönyörűségére a szemnek, hogy különbet nem is kívánhat.	0.128
Phong cảnh đó làm cho người du khách lãng quên cái không khí tanh hôi của những chuyện tài lợi nhỏ nhen đã bắt đầu làm cho khách ngạt thở.	Ez a kilátás elfelejteti az utassal az apró pénzérdekektől megfertőzött légkört, a melyben már fuldokolni kezdett.	0.197297
Khách được người ta cho biết rằng ngôi nhà đó là của ông de Rênal.	Megtudja, hogy a ház de Rênal úré.	0.302273
Ông thị trưởng Verrières, nhờ tiền lãi về xưởng chế tạo đinh to tát của ông, mà có được ngôi nhà đẹp bằng đá khối đó, hiện đương hoàn thành xây dựng.	A verrières-i polgármester a szeg-gyártással elért haszonnak köszönheti ezt a faragott kövekből való szép épületet, melyet most fejeztek be.	0.216176
Người ta bảo rằng gia đình ông dòng dõi Tây Ban Nha, gốc gác cổ kính và cứ theo lời người ta nói, thì đã lập nghiệp ở xứ này từ lâu trước cuộc chinh phục của Louis XIV.	Azt mondják, hogy családja spanyol eredetű, régi és állítólag jóval XIV. ~~~ Lajos foglalása előtt telepedett le a vidéken.	-0.0846154
Từ 1815 ông lấy cái việc là một nhà công nghiệp làm xấu hổ: 1845 đã đưa ông lên làm thị trưởng Verrières.	1815 óta szégyenli, hogy iparral foglalkozik; 1815-ben lett Verrières polgármestere.	0.433977
Những bức tường bậc thang chắn giữ cho các khoảnh của khu vườn tráng lệ kia, tầng tầng bậc bậc xuống tận bờ sông Doubs, cũng là phần thưởng của cái khoa tài giỏi của ông de Rênal trong nghề buôn sắt.	A bástyaszerű falak, melyek támasztékáúl szolgálnak a nagyszerű kert egyes részeinek, a hogy’ terraszról-terraszra lépcsőzetesen ereszkedik alá egész a Doubs-ig, szintén de Rênal úrnak a vaskereskedésben való jártasságát jutalmazzák.	0.485
Bạn đừng nên chờ đợi được trông thấy ở nước Pháp những khu vườn kỳ thú bao quanh các thành phố công nghệ của nước Đức, như Allemagne, Leipsick, Francfort, Nuremberg... Ở Franche-Comté, người ta càng xây nhiều tường, càng chồng chất nhiều những khối đá tua tủa chung quanh dinh cơ của người ta, thì người ta càng được thiên hạ trọng vọng.	Ne várják, hogy Francziaországban oly festői kerteket találjanak, mint a milyenek Németország iparos városait: Lipcsét, Frankfurtot, Nürnberget stb. ~~~ környezik. ~~~ Franche-Comté-ban minél több falat építtet az ember, minél inkább meghasogatja birtokát egymás hegyébe rakott kövek seregével, annál jobban kivívja szomszédai tiszteletét.	-0.206077
Những thửa vườn của ông de Rênal, chi chít những tường, lại còn được thiên hạ thán phục vì ông đã tậu đắt như vàng một số những khoảnh đất của khu vườn đó.	De Rênal úr kertjét, a mellett, hogy tele van falakkal, még azért is csodálják, hogy egypár kis területet, a mely beléje tartozik, aranynyal mért föl.	0.207194
Chẳng hạn, cái máy xẻ gỗ, mà vị trí đặc biệt trên bờ sông Doubs đã làm cho bạn phải chú ý khi bước chân vào Verrières, và ở đó bạn đã để ý nhận thấy cái tên Sorel, viết bằng chữ đại tự trên một tấm ván dựng chót vót trên mái nhà; cái máy xẻ đó, sáu năm trước đây, đặt ở khoảnh đất trên đó hiện nay người ta đương cất bức tường của tầng thứ tư của khu vườn nhà ông de Rênal.	Így példáúl az a fűrészmalom, melynek a Doubs partján való különös elhelyeződése legelsőbben ötlik szemébe a látogatónak, a ki Verrières-be jön és a melynek tetején egy hosszú deszkán óriási betűkkel olvasható ez a név: SOREL - hat év előtt még ott állott, a hol most de Rênal úr kertjében a negyedik terrasz fala emelkedik.	0.29513
Mặc dầu kiêu hãnh, ông thị trưởng đã phải cậy cục nhiều lần với lão Sorel, một lão thôn dân hắc búa và ương ngạnh, ông đã phải xỉa ra cho lão những đồng louis vàng đẹp nõn để được lão chịu di chuyển nhà máy của lão đi nơi khác.	Minden büszkesége ellenére a polgármester úrnak ugyancsak sok utánjárásába került, a míg levehette lábáról az öreg Sorel-t, ezt a rideg, nyakas parasztot; sok szép aranyat kellett leolvasnia neki, a míg rábírta, hogy máshova helyezze át műhelyét.	0.273191
Còn cái dòng suối công cộng nó làm chạy máy cưa, thì ông de Rênal, nhờ có thế lực ở Paris, đã xin được phép khơi cho nó chảy đi hướng khác.	A mi a köztulajdonban levő vízágat illeti, mely a malmot hajtotta, de Rênal úr befolyásának sikerült kivívnia Párisban, hogy azt más mederbe vezették.	0.405986
Ông đã được cái đặc ân đó sau cuộc tuyển cử năm 182...	Ezt a kegyet az 182*-iki választások után nyerte el.	0.2
Ông đã đổi cho lão Sorel, bốn sào ăn một, ở cách năm trăm bước về phía dưới, trên bờ sông Doubs.	Egy hold helyett négy holdat adott Sorel-nek, ötszáz lépéssel odább a Doubs mentén.	0.193671
Và mặc dầu vị trí này còn lợi hơn rất nhiều cho nghề buôn bán gỗ thông xẻ ván của lão, nhưng ông cụ Sorel, như người ta gọi lão từ khi lão phát tài, đã biết mánh khóe lợi dụng sự nôn nóng và thói sính làm sở hữu chủ của ông láng giềng, đã kiếm được món tiền 6.000 quan.	És bár ez a hely sokkal előnyösebb volt a fenyődeszkákkal való kereskedésre, Sorel apó - a hogy’ azóta nevezték, a mióta meggazdagodott - mégis módját ejtette, hogy a türelmetlenségből és a birtoklási rögeszmé-ből, mely szomszédját hevítette, még hatezer francot csiholjon ki.	0.266165
Quả đáng tội, cuộc điều đình ấy đã bị những người đầu óc tốt ở vùng đó chê trách.	Igaz, hogy a környék egyes emberei élesen bírálgatták ezt az adás-vételt.	0.179167
Có một lần, hôm đó là ngày chủ nhật cách đây bốn năm, ông de Rênal, bận trang phục thị trưởng ở nhà thờ về, trông thấy từ xa lão Sorel với ba đứa con trai của lão đi chung quanh, lão nhìn ông mà tủm tỉm cười.	Egyízben, négy év előtt, egy vasárnapi napon de Rênal úr, épp mikor polgármesteri egyenruhájában a templomból jött, megpillantotta, a mint az öreg Sorel, a ki három fiával álldogált, messziről mosolyogva néz reá.	0.356919
Nụ cười đó đã rọi một tia sáng chết người vào tâm hồn ông thị trưởng, từ lúc đó ông nghĩ rằng đáng lẽ ông có thể đổi chác được rẻ hơn.	Ez a mosoly kellemetlen világosságot gyújtott a polgármester úr lelkében; azóta azt hiszi, hogy olcsóbb áron is nyélbeüthette volna a vásárt.	0.242222
Muốn được thiên hạ trọng vọng ở Verrières, điều chủ yếu là tuy xây cất rất nhiều tường, nhưng không được xây dựng theo một cái đề án nào đó du nhập từ nước Ý sang, do những bọn thợ nề cứ đến mùa xuân là đi xuyên qua những đường hẻm núi Jura để lên Paris.	Ha az ember Verrières-ben tekintélyre akar szert tenni, fődolog, hogy sok falat építtessen ugyan, de semmiesetre se fogadjon el valami olaszországi tervet, a milyet azok a kőművesek hoznak magukkal, kik tavaszszal átkelnek a Jura szorosain, hogy Párisba menjenek.	0.308569
Một việc làm cách tân như vậy sẽ khiến cho kẻ xây dựng dại dột đời đời mang tiếng là đầu óc xấu, và kẻ đó sẽ vĩnh viễn mất giá trị bên cạnh những người thức giả và ôn hòa, họ ban phát sự trọng vọng ở Franche-Comté.	Az ily újítás örök időkre a könnyelműség hírébe keverné a meggondolatlan építkezőt és mindenkorra veszve volna ama bölcs és mérsékletes emberek szemében, a kik Franche-Comté-ban a megbecsűlést osztogatják.	0.236765
Trong thực tế, những người thức giả đó thi hành ở xứ này một cái quyền chuyên chế phiền hà nhất, chính vì cái danh từ bỉ ổi đó mà sự lưu trú ở các thành phố nhỏ thật không sao kham nổi đối với ai đã sống trong cái nước cộng hòa lớn gọi là Paris kia.	Valójában, ezek a bölcs férfiak ott a legborzasztóbb zsarnokságot gyakorolják és ez a csúnya szó az oka, hogy a kisvárosokban való élet elviselhetetlen azoknak, a kik abban a nagy köztársaságban éltek, melynek Páris a neve.	0.200481
Sự áp chế của dư luận, mà dư luận nào có ra gì?	A közvélemény - és még mily közvélemény!	0.230233
Dù là ở những thành phố nhỏ nước Pháp hay ở Hợp-Chủng-Quốc Châu Mỹ, thì cũng thô bạo chẳng kém gì nhau.	- kényuralma Francziaország kisvárosaiban épp oly buta dolog, mint az amerikai Egyesült-Államokban.	0.227368
CHƯƠNG II	II.	-0.225
MỘT ÔNG THỊ TRƯỞNG	EGY POLGÁRMESTER.	0.2
Oai quyền!		-0.3
Thưa ngài, không có nghĩa gì à?	És a tekintély, uram, a tekintély!	0.3
Nó có nghĩa là những kẻ ngu dại phải kính nể, con trẻ phải ngẩn ngơ, thán phục, kẻ giàu có phải thèm muốn, người thức giả phải khinh bỉ.	Az ostobák tisztelete, a gyermekek bámészkodása, a gazdagok irígykedése, a bölcs megvetése - mindez semmi?!	0.15
BARNAVE	Barnave.	0.2625
Thật may mắn cho tiếng tăm của ông de Rênal trong chức nghiệp quan cai trị, là cần thiết phải có một cái tường chắn dài mênh mông cho con đường dạo chơi công cộng đi men theo chân đồi, cao hơn mặt sông Doubs một trăm pied.	De Rênal úr közigazgatási tekintélyének szerencséjére szükségessé vált egy nagy fal megépítése, támasztékáúl a városi sétánynak, mely száz lépésnyire a Doubs fölött húzódik a domboldalon.	0.467039
Nhờ ở vị trí tuyệt vời đó mà đi trên con đường kia người ta được thưởng ngoạn một phong cảnh kỳ thú vào bậc nhất của nước Pháp.	Gyönyörű fekvése miatt Francziaországnak egyik legfestőibb kilátása nyílik innen, csakhogy az eső minden tavaszszal föláztatta a talajt, tócsákat vájt benne és járhatatlanná tette.	0.246
Nhưng, cứ mỗi mùa xuân, nước mưa lại cày mặt đường, xẻ thành những rãnh sâu và làm cho đường không đi lại được.		-0.3
Điều bất tiện đó, mà tất cả mọi người đều cảm thấy, đặt ông de Rênal vào sự cần thiết may mắn phải bất tử hóa công cuộc cai trị của ông bằng một bức tường cao hai chục pied và dài khoảng ba bốn chục toise .	Ez a kellemetlenség, a mit mindenek éreztek, abba a szerencsés kényszerűségbe juttatta de Rênal urat, hogy hivataloskodásának egy húsz láb magas és harmincz vagy negyven öl hosszú fallal örökítse meg az emlékét.	0.430818
Bức lan can của cái tường đó, ông de Rênal đã vì nó mà phải ba lần đi Paris, vì ông bộ trưởng Nội vụ trước đây hai khóa đã ra mặt là kẻ tử thù của con đường dạo chơi ở Verrières.	E fal, mely miatt de Rênal úrnak háromszor kellett Párisba utaznia, mert a mostanit megelőző belügyminiszter halálos ellensége volt a verrières-i sétánynak, már három lábnyira emelkedik a föld színe fölé.	0.488933
Bức lan can của cái tường đó hiện nay vượt cao bốn pied trên mặt đất.		-0.3
Và như để đương đầu với tất cả các ông bộ trưởng hiện tại cũng như quá khứ, lúc này người ta đương lát nó bằng đá khối.	És mintegy daczoló szándékkal az összes volt és leendő miniszterekkel szemben, most sietve faragott kőkoczkákkal borítják.	0.242017
Biết bao lần, mơ tưởng đến những cuộc khiêu vũ của Paris vừa rời bỏ hôm trước, và ngực tì lên những khối đá màu xám đẹp phơn phớt xanh lam, tôi đã dõi mắt nhìn xuống lưu vực sông Doubs!	Hányszor nem álltam az alig pár napja odahagyott párisi bálokra gondolva, nekitámaszkodva e kékes árnyalatú, szép szürke színű nagy köveknek, mialatt tekintetem belemélyedt a Doubs völgyébe!	0.260656
Bên kia, trên tả ngạn, vòng vèo năm sáu thung lũng, trong lòng thung lũng trông thấy rất rõ những dòng suối nhỏ.	Túlnan, a jobbparton, öt vagy hat völgy kígyózik, a melyek fenekén a szem egész tisztán látja a kis csermelyeket.	0.265714
Sau khi chảy hết thác này đến thác nọ, ta trông thấy chúng nó đổ vào sông Doubs.	Miután zuhatagról-zuhatagra szaladtak, látni, a mint beleszakadnak a Doubs-ba.	0.251351
Trong vùng núi này mặt trời rất nóng, khi đứng bóng, giấc mơ màng của du khách được che chở trên con đường cao đó bởi những cây phong tráng lệ.	A nap nagyon forrón süt a hegyek között; mikor legjobban tüzel is, az utas álmodozása védelmet talál a hatalmas platánok lombsátora alatt.	0.237209
Những cây đó lớn rất nhanh và chùm lá sum suê của nó phơn phớt màu lam, đó là nhờ ở chất đất đào mà ông thị trưởng đã cho đắp phía sau bức tường chắn mênh mông của ông, vì mặc dầu sự phản đối của hội đồng thành phố, ông đã mở rộng con đường du ngoạn hơn sáu pied (dù ông thuộc phái bảo hoàng và tôi thuộc phái tự do, tôi cũng khen ông về điểm đó) , vì vậy cho nên theo ý kiến của ông và của ông Valenod, vị giám đốc sung sướng của viện tế bần ở Verrières, con đường cao này có thể so sánh được với nền cao Saint-Germain-en-Laye .	Gyors növésüket és kékes árnyalatú gyönyörű zöldjüket annak a földnek köszönhetik, a mit a polgármester úr a nagy támasztó fal mögé hordatott, és mivel, noha a városi tanács ellene nyilatkozott, hat lábnyival kiszélesítette a sétányt, a miért (jóllehet ő reakcionárius, én pedig liberális vagyok) dicsérem is, és igazat kell adni úgy ő neki, mint Valenod úrnak, a verrières-i szegényház szerencsés igazgatójának, hogy a terrasz kiállhatja az összehasonlítást a laye-i Saint-Germain-félével.	0.231013
Về phần tôi thì tôi chỉ thấy có mỗi một điều đáng trách ở con Đường Dạo Trung Thành đó, cái danh từ chính thức này, người ta đọc thấy ở mười lăm, hai mươi chỗ, trên những tấm biển bằng đá hoa, đã đem lại cho ông de Rênal thêm một huân chương nữa; điều mà tôi muốn trách con Đường Dạo Trung Thành đó, là cái cách thô bạo mà nhà chức trách đã cho xén và gọt nhẵn thín những cây phong khỏe khoắn kia.	A magam részéről csak egy kifogással illethetem a "Hűség útjá"-t, mert tizenöt-húsz helyen is olvashatjuk a sétány e hivatalos nevét, márványtáblákon, a melyekért de Rênal úr külön érdemjelet kapott.	0.124615
Đầu thấp lè tè, tròn và dẹt, giống như loài rau cỏ tầm thường nhất.	Rossz néven veszem a Hűség útjától a barbárságot, a mivel a hatóság megnyesi, szinte tövig nyírja a terebélyes platánokat.	0.142308
Đáng lẽ để cho chúng có những hình dáng tráng lệ như những cây phong người ta thấy ở nước Anh, có phải hay biết bao nhiêu.	A helyett, hogy alacsony, kerek és lelapított koronájukkal a legközönségesebb cserepes növényekhez hasonlítanának, oly nagyszerűekké kellene fejlődniök, a milyeneket Angliában lát az ember.	0.184962
Nhưng ý muốn của ông thị trưởng thật là chuyên chế và cứ mỗi năm hai lần, tất cả những cây cối thuộc quyền sở hữu của thị xã đều bị cắt xén không chút thương tình.	Ám a polgármester úr akarata nem tűr ellenkezést és évente kétszer könyörtelenül megnyirbáltatja a község tulajdonában levő fákat.	0.167176
Những người theo phái tự do của địa phương cho rằng, nhưng họ nói quá đấy thôi, bàn tay gã coi vườn của nhà nước đã trở nên nghiêm khắc hơn nhiều, từ khi ông trợ tế Maslon có thói quen chiếm thủ những sản phẩm của cuộc cắt xén.	A környékbeli liberálisok azt állítják, némi túlzással azonban, hogy a mióta Maslon vikárius úr haza szokta takarítani a nyírás eredményét, a hivatalos kertész jóval nagyobb szigorúsággal kezeli az ollót, mint azelőtt.	0.335731
Nhà tu sĩ trẻ tuổi đó được phái từ Besancon đến, cách đây mấy năm, để theo dõi cha Chélan và một vài cha xứ quanh vùng.	Ezt a fiatal papot néhány év előtt küldték ide, azzal a föladattal, hogy ellenőrizze Chélan abbét és a környék egynémely plébánosát.	0.436364
Một thiếu tá quân y già của đạo quân chinh phạt Ý về trí sĩ ở Verrières, và hồi còn sinh thời, theo lời ông thị trưởng, vừa thuộc phái Jacobins lại vừa có khuynh hướng phò Bonaparte, có một hôm dám phàn nàn với ông về sự cắt hại chu kỳ những cây cối đẹp kia.	Egy öreg tábori sebész, a ki az olaszországi hadseregben töltött szolgálati évei után Verrières-be vonúlt vissza és a ki, a polgármester úr szava szerint, egy személyben jakobinus és bonapartista volt, elég bátor volt, hogy egyízben szót emeljen e szép fák rendszeresen ismétlődő megcsonkítása ellen.	0.296809
— Tôi thích bóng mát, ông de Rênal trả lời với cái giọng kẻ cả đúng mức độ vừa phải khi nói năng với một ông bác sĩ quân y trưởng có Bắc Đẩu Bội Tinh, tôi thích bóng mát, tôi cho xén cây cối của tôi để cho có bóng mát, và tôi không quan niệm rằng một cái cây con có tác dụng gì khác, trừ phi nó sinh lơi nhuận, như cây hồ đào ích lợi kia chẳng hạn.	- Én az árnyékot szeretem, - felelt de Rênal úr, hangjában a kevélységnek azzal az árnyalatával, mely illendő, ha az ember egy sebészszel beszél, a ki a becsületrend lovagja; - az árnyékot szeretem, azért nyesetem meg fáimat, hogy árnyékot adjanak és nem látom be, mi más rendeltetése volna a fának, hacsak, mint a hasznos diófa, valami jövedelmet nem hajt.	0.355963
Ấy đó, cái danh từ to tát nó quyết định hết thảy ở Verrières: Sinh Lợi Nhuận. ~~~ Cứ riêng nó, đủ tiêu biểu cho nếp nghĩ thông thường của hơn ba phần tư dân Verrières.	Ime, a döntő szó, melynek Verrières-ben minden alá van rendelve: jövedelmet hajtani; ez maga kifejezi a lakosság több, mint háromnegyed részének állandó gondolatát.	-0.0238854
Sinh lợi nhuận là cái lý lẽ nó quyết định hết thảy trong cái thành phố nhỏ bề ngoài có vẻ rất xinh đẹp kia.	Jövedelmet hajt - ez az érv irányít mindent ebben a kis városban, mely oly csinosnak tünt fel.	0.176471
Người khách mới đến, bị quyến rũ vì cái vẻ đẹp của những thung lũng tươi mát và sâu thẳm vây bọc quanh mình, lúc đầu tưởng rằng cư dân ở đây yêu thích cái đẹp, vả lại họ hay nói luôn đến vẻ đẹp của xứ sở họ, người ta không thể chối cãi rằng họ không coi trọng vẻ đẹp đó, nhưng chỉ là vẻ đẹp đó thu hút được một số khách đem tiền đến làm giàu cho các ông chủ quán, cái đó, nhờ bộ máy thuế quan, sinh lợi nhuận cho thành phố.	Az idegen, a kit elbájol az üde és mélyen elnyúló völgyek szépsége, melyek körülveszik, eleinte azt képzeli, hogy a lakosok fogékonyak a szép iránt; nagyon is sokszor említik a vidék szépségét: tagadhatatlan, hogy igen büszkék reá; de csak azért, mert odavonz egynéhány idegent, a kiknek a pénze meggazdagítja a vendéglősöket, a mi azután az adózás során jövedelmet hajt a városnak.	0.198615
Một ngày thu đẹp trời, Ông de Rênal khoác tay vợ dạo chơi trên Đường Dạo Trung Thành.	Egy szép őszi napon de Rênal úr a Hűség útján sétált, karján vezetve nejét.	0.628
Vừa lắng nghe chồng nói chuyện ra vẻ nghiêm trọng, bà de Rênal vừa để mắt lo ngại dõi theo mọi cử chỉ của ba thằng con nhỏ.	A mellett, hogy figyelemmel hallgatta férjét, a ki fontos arczkifejezéssel beszélt, de Rênal-né pillantása nyugtalanul követte három kis fiú mozdulatait.	0.420635
Thằng lớn nhất, trạc mười một tuổi, hay mon men đến gần bức lan can và ra dáng muốn trèo lên.	A legidősebb, a ki tizenegy éves lehetett, nagyon gyakran közeledett a falhoz és úgy látszott, hogy kedve volna fölhágni reá.	0.258824
Một giọng nói dịu dàng gọi tên Adolphe và thằng bé liền bỏ cái dự định táo bạo của nó.	Egy nyájas hang ilyenkor az Adolf nevet mondta és a gyermek lemondott nagyratörő tervéről.	0.246429
Bà de Rênal trông ra vẻ một người đàn bà đã ba mươi tuổi nhưng còn khá xinh đẹp.	De Rênal-né harmincz éves, de még elég csinos asszonynak látszott.	0.460227
— Có thể rồi hắn sẽ phải hối hận, cái con người quý hóa của Paris kia.	- Még megbánhatja az a párisi uracska!	-0.0666667
Ông de Rênal nói có vẻ tức giận, và gò má lại càng tái nhợt hơn lúc thường.	- szólt de Rênal úr, sértődött hangon és még a rendesnél is haloványabb arczczal.	0.68481
Dễ thường tôi không có vài người bạn thân thiết ở trong triều đấy hẳn...	- Van néhány barátom a...	-0.42
Nhưng, mặc dù tôi muốn nói chuyện với bạn về tỉnh lẻ trong hai trăm trang giấy, tôi cũng sẽ không dã man bắt bạn phải chịu đựng cái dài dòng văn tự và những rào đón khôn khéo của một câu chuyện đối thoại ở tỉnh lẻ.	Azonban, noha kétszáz lapon át a vidéki életről fogok szólni, nem vagyok oly barbár, hogy az olvasót megkínozzam a vidéki beszédmód hosszadalmasságával és körültekintő óvatosságával.	0.20221
