JULES VERNE	JULES VERNE	2.3
Họ phì phà thuốc lá và những ống điếu dài lúc nào cũng nhả khói thơm lựng ngập tràn cả gian phòng lớn mời tố.	Füstöltek is jócskán, és a nagy termet teljesen betöltötte a hosszú pipákból szüntelenül gomolygó illatos füst.	0.267568
Nếu những người nói chuyện không nhìn thấy mặt nhau, ắt họ cũng nghe được tiếng nhau, nhất là đối với những người không bị nặng tai.	A társaság tagjai már alig látták egymást, de, hacsak nem voltak süketek, jól értették egymás szavát.	0.139394
Là những con người điềm tĩnh và lặng lẽ khi bắt tay vào việc, những ngư dân này sẽ hóa thành những người ồn ào nhất trên đời, khi họ đã xếp mọi dụng cụ đồ lề của mình sang một bên.	A horgászok, akik kedvtelésük gyakorlása közben csendesek, hallgatagok, a világ legzajosabb embereivé válnak, mihelyt félreteszik a horgászbotot.	0.158571
Họ không chịu thua bọn thợ săn trong các câu chuyện về những chiến công vĩ đại, mà đây là điểm mạnh của cánh săn bắn.	Amikor hőstetteik elbeszéléséről van szó, hát felérnek a vadászokkal, ami pedig nem kis dolog.	0.161538
Đến lúc tàn tiệc sáng khá là ngon lành, mà tụ hội quanh những cái bàn là hàng trăm khách được mời đến - những dũng sĩ của cái cần câu, những người ủng hộ nhiệt tình con nước, những lẻ si mê cái móc câu.	A Halásztanya asztalai körül összegyűlt körülbelül százfőnyi vendégsereg - jeles bajnokai a horgászbotnak, megszállottjai a pedzőnek, és szerelmesei a horognak - már az ugyancsak kiadós ebéd végén tartott.	0.36576
Khỏi phải nói, những chiến công giờ sáng này đã hong khô cổ họng của họ, cứ theo số lượng chai đặt ra trong phiên tráng miệng.	A délelőtti "munka" nyilván alaposan kiszikkasztotta torkukat, legalábbis erre vallott a tálalón felsorakozó rengeteg palack.	0.247059
Sau đó đến lượt hàng lố chai rượu mùi được quyết định dùng đồ uống thay cho cà phê.	Most csak a különféle pálinka volt soron, amellyel rendszerint a kávét szokták leöblíteni.	0.265909
Đồng hồ gõ ba tiếng - khi khách khứa rời bàn.	Délután három óra lett, mire az egyre emelkedettebb hangulatban levő vendégek felálltak az asztalok mellől.	-0.012
Thật tình mà nói, trong số họ đã có vài người loạng choạng và họ không thể cất bước nổi nếu không có tay dìu của bạn bè.	Az igazat megvallva, voltak köztük, akik tántorogtak, és asztalszomszédjaik támogatása nélkül aligha jutottak volna messze.	0.254622
Nhưng số đông vẫn còn cứng cựa, như những vị khách quen mắt dũng mãnh và bướng bỉnh của các phiên họp thần thánh kéo dài mà hàng năm đều tái diễn vài lần nhân các cuộc thi của "Hội vùng sông Danube".	Legnagyobb részük azonban szilárdan állt a lábán, mint ahogyan ez illett is a Dunai Liga versenye alkalmából évente többször is megismétlődő, hosszú áldomások derék, elmaradhatatlan résztvevőihez.	0.257812
Danh tiếng của những cuộc thi (đã chuyển thành những cuộc chè chén) này vang dội trên suốt chiều dài con sông trứ danh, không kém gì những âm điệu luân vũ của Strauss.	Ezeknek a nagy érdeklődés mellett és ünnepélyes keretek között megtartott versenyeknek nagy volt ám a híre a nevezetes szőke - és nem mint ahogyan a közismert Strausskeringő mondja: kék - folyam egész mentében.	0.271508
Tụ hội lại đây là các đấu thủ từ công địa Bađanh, từ Vuốctemhéc, Bavaria, Áo, Hungary, từ Rumani, Xecbi và thậm chí từ những tỉnh thuộc Thổ - Bungary và Bexarabia.	Özönlöttek ide a versenyzők a badeni hercegségből, Württem­berg­ből, Bajorországból, Ausztriából, Magyarországról, Romániából, Szerbiából és még a bulgáriai és besszarábiai török tartományokból is.	0.251124
Hội đoàn này tồn tại đã năm năm.	A társaság már öt éve állott fenn.	0.265714
Dưới sự cai quản của vị chủ tích Micletxcô, người Hungary, hội đoàn rất phát đạt.	Elnökének, a magyar Miklóssinak kiváló vezetése alatt szépen felvirágzott.	0.22
Tài lực của Hội tăng tiến đã cho phép đưa ra những giải thưởng lớn tại các hội thi, và lá cờ của hội nổi bật lên nhờ vô số những huy chương giành được trong sự đấu tranh bền bỉ với các hội đoàn những người câu cá khác.	Állandóan gyarapodó pénzalapjai lehetővé tették, hogy minden versenyen jelentős díjakat tűzzön ki, és zászlóján ott ragyogtak azok a dicsőséges érmek, amelyeket kemény küzdelem árán hódított el a vele versenyben álló egyesületektől.	0.275325
Ban chấp hành các giám đốc của hội, những người rất am hiểu các đạo luật về sự câu cá trên các vùng sông, đã ủng hộ những người đồng chí khi thì chống lại nhà nước, lúc lại chống phía tư nhân và bảo vệ các quyền hạn, đặc lợi của họ bằng một sự kiên trì đáng kể, dám nói rằng, bằng một sự bướng bỉnh hết sức chuyên nghiệp, vốn là đặc tính của giống hai chân trội hẳn trong giống người đặc biệt say mê sự đánh bắt cá bằng cần câu.	A társaság választ­mánya, amely kitűnően ismerte a folyami halászatra vonatkozó törvényeket, tagjai védelmére kelt az állammal éppúgy, mint a magánosokkal szemben, és jogaikat, kiváltságaikat azzal a szívóssággal, mondhatni szakmai makacssággal védte, mely annyira jellemző azokra a kétlábú lényekre, akikről méltán állíthatjuk, hogy horgászösztönük révén az emberi nem egy külön, sajátságos csoportját alkotják.	0.236919
Cuộc thi vừa được diễn ra, đây là lần thứ hai trong năm 1876.	A most lezajlott verseny a második volt az 1876. évben.	0.462523
Vào lúc 5 giờ sáng, những đối thủ đã rời khỏi thị trấn và tụ tập trên bờ trái sông Danube gần Ditmarigen.	A versenyzők már reggel öt órakor elhagyták a várost, és valamivel Sigmaringen alatt, a Duna bal partján gyülekeztek.	0.278182
Họ thảy đều ăn bận theo đồng phục của hội đoàn: áo choàng ngắn không làm gò bó các cử động, quần dài được nhét ống vào đôi ủng đế cao, mũ với phần lưỡi trai lớn.	Mindnyájan a társaság egyenruháját viselték: szabad mozgást biztosító rövid zubbonyt, vastag talpú csizmákba tűrt nadrágot és széles ellenzőjű fehér sapkát.	0.241139
Đương nhiên, họ có trong tay cả bộ các loại dụng cụ khác nhau mà đã được liệt kê trong "Sách chỉ nam của người câu cá". ~~~ Những cần câu, những vợt phụ, chỉ câu được bó lại trong các túi da nai, những cái phao đủ mọi độ sâu, những hạt chì đủ mọi kích thước cho hòn chì, những con ruồi nhân táo, những sợi dây nhỏ, dây gân Florentina.	Természetesen mindegyikük fel volt szerelve a Horgászok kiskönyvében felsorolt valamennyi kellékkel: dobóbotokkal, horog­nyelekkel, merítőhálókkal, dámszarvasbőr tokban elhelyezett horgászzsinórokkal, pótákkal, mélységmérő ólmokkal, különböző nagyságú ólomnehezékekkel, műlegyekkel és előkékkel.	-0.0304918
Sự câu cá được tự do, bất cứ con cáo nào câu được cũng được tính điểm, và mỗi người câu cá đều có thể cho nó ăn thêm gì cũng được.	A horgászversenynek nem voltak szigorúan megszabott feltételei, vagyis bármilyen halat elfogadtak, és mindegyik horgász tetszése szerinti csalétket használhatott.	0.296078
Khi đồng hồ điểm sáu giờ, chín mươi bảy đấu thủ đều vào chỗ với cần câu trên tay, chuẩn bị ném móc câu.	Pontban hat órakor helyén volt már mind a kilencvenhét versenyző, kezükben úszóhoroggal, hogy bármely pillanatban bevethesse azt.	0.295041
Khi kèn trỗi nhạc hiệu, thí chín mươi bảy sợ chỉ câu đồng loạt vút lên trên mặt sông.	Kürtszó adta meg a "rajt" jelet, és a kilencvenhét zsinór szinte egyetlen mozdulattal feszült ki a folyó tükre felett.	0.262887
Vài giải thưởng đã được công bố tại hội thi, hai giải đầu, mội người được 100 phloring, được quy định phát cho người câu cá câu được số cá nhiều nhất, và cho người câu được con cá lớn nhất.	A versenyen több díjat tűztek ki, és ezek közül a két elsőt - amelynek értéke 100-100 forint1 volt - annak a horgásznak szánták, aki a legtöbb, illetve a legnagyobb halat fogja ki.	0.193902
Hoàn toàn không có diễn biến gì xảy ra cho đến hồi kèn hiệu thứ hai. ~~~ Hội thi kết thúc vào lúc 11g.	Minden simán ment a második kürtszóig, amely öt perccel 11 óra előtt a verseny végét jelezte.	-0.026
Số cá câu được của mỗi người đều được giao lại cho ban giám khảo gồm chủ tịch Micletxco và bốn hội viên của "Hội vùng sông Danube".	A versenyzők ezután zsákmányukat egyenként bemutatták a Miklóssi elnökből és a Dunai Liga négy tagjából álló versenybizottságnak.	0.253846
Dù rằng những người đánh cá bằng cần câu là những người nóng nảy nhất trên đời, song hoàn toàn không có một ai nghi ngờ đến sự hết sức công bằng của những nhân vật cao cấp và có uy thế này, nên không có một sự phản kháng nào xảy ra.	Senki egy pillanatig sem kételkedett abban, hogy ezek a magas és tekintélyes személyiségek teljes pártatlansággal hozzák meg döntésüket, mégpedig úgy, hogy még a könnyen felfortyanó emberekből álló horgásztársadalom részéről se lehessen helye semmiféle ellenvetésnek.	0.297683
Chỉ phải trang bị bằng lòng kiên nhẫn để nhận biết kết quả của cuộc thẩm xét tận tâm: sự phân chia các giải thưởng khác nhau căn cứ theo số cân hay số lượng cần phải đươc giữ trong bí mật cho đến tận lúc phát giải mà trước đó là bữa tiệc hữu nghị giữa những người dự thi.	A versenybizottság lelkiismeretes munkája eredményének kihir­detésére azonban türelemmel várni kellett, mert a baráti együttlétben elköltött lakoma végéig titokban tartották, hogy a kifogott halak számától és súlyától függően kik kapják a különböző díjakat.	0.239768
Giờ ấy đã đến.	Most elérkezett ez a pillanat.	0.2
Những người câu cá - đó là không nói đến những người Ditmaringen tò mò - ngồi yên lặng chờ đợi trước bục diễn đàn gồm vị chủ tịch và các hội viên khác của hội đoàn.	A horgászok és velük együtt a Sigmaringenből érkezett érdeklő­dők is kényelmesen elhelyezkedve várakoztak az emelvény előtt, amelyen az elnök és a versenybizottság többi tagja foglalt helyet.	0.291892
Quả thật, nếu có đủ ghế tựa, ghế dài và ghế đẩu, thì sẽ có khá đủ những chiếc bàn, mà trên cac bàn đã bày ra những vại bia, những chai rượu đủ các loại, những ly, cốc đủ cỡ lớn và nhỏ.	A székek, padok és zsámolyok mellett nem volt hiány asztalokban sem, az asztalokon pedig ott sorakoztak a söröskancsók, a különféle pálinkás­üvegek és a kisebb meg nagyobb poharak.	0.224118
Khi mọi người đã yên vị, và các ống tẩu đã bắt đầu nhả khói, vị chủ tịch đứng lên.	Miután mindenki helyet foglalt, és a pipákból még vidámabban bodorodott a füst, az elnök felemelkedett helyéről.	0.276
- Nghe nào! ~~~ Nghe nào!	- Halljuk!… Halljuk!...	0.197727
Những tiếng hoan hô vang động.	- kiáltottak mindenfelől.	0.207692
Ngài Micletxco uống cạn cốc bia, bọt bia vẫn còn lòng thòng trên ria mép ông ta.	Miklóssi elnök először is felhajtott egy pohár sört, amelynek dús habja végigcsepegett bajuszán.	0.256098
- Thưa các bạn đồng nghiệp - ông nói bằng tiếng Đức, thứ ngôn ngữ mà các hội viên đều biết; không phân biệt các dân tộc - các bạn đừng mong mỏi ở tôi lời lập luận cấu trúc theo cách cổ điển với lời vào đề, phần nội dung chính, rồi đến đoạn kết bài.	- Kedves sporttársaim - mondotta németül, minthogy ezt a nyelvet a Dunai Liga tagjai nemzetiségi különbségre való tekintet nélkül mind értették -, kedves sporttársaim, ne várjanak tőlem klasszikusan felépített beszédet, bevezetéssel, tárgyalással és befejezéssel.	0.435996
Không, chúng ta có mặt ở đây không phải để thưởng thức những ngôn từ nghi thức trang trọng mà tôi sẽ chỉ nói đến các công việc nhỏ bé của chúng ta theo tình bằng hữu, thậm chí sẽ nói, theo tình anh em, nếu như cách diễn đạt như thế lại thích hợp hơn đối với một hội đoàn quốc tế.	Nem, mi nem azért vagyunk itt, hogy hivatalos szónoklatoktól mámorosodjunk meg, és én itt csak a mi kis belső ügyeinkről akarok beszélni baráti, mondhatnám testvéri körben, amennyiben egy nemzetközi összejövetellel kapcsolatban helytállónak tartják ezt a kifejezést.	0.23004
Đáp lại hai câu nói quá dài này - như thường lệ mỗi khi bắt đầu diễn từ, thậm chí khi người phát ngôn không muốn làm người lắm lời - là tràng vỗ tay đồng lòng vang lên kèm theo với hàng loạt những tiếng la "Hay lắm!	E két mondat kissé hosszúra sikerült, mint a beszédek bevezető mondatai általában, még akkor is, ha a szónok hangoztatja, hogy rövid akar lenni. ~~~ Mégis egyöntetű taps fogadta, amelybe számos "Helyes!", sőt "Hoch!" kiáltás, no meg néhány csuklás is vegyült.	-0.00512821
", "Hô!" ~~~ bị đứt quãng bởi những tiếng nấc cục.	A közönség azzal toldotta meg a helyeslést, hogy az elnökre ürítette poharát, aki maga is újból poharat emelt.	-0.123684
Tiếp đó ngài chủ tịch nâng cốc và toàn bộ những cái cốc cùng cạn sạch.	Miklóssi elnök ezután folytatta beszédét, és a horgászokról, mint az emberiség legjobbjairól szólott.	0.230488
Tiếp tục bài diễn văn, ngài Micletxco đã sắp xếp những người đánh cá bằng cần câu lên hàng đầu của nhân loại.	Ecsetelte mindazokat a kiváló tulajdonságokat és erényeket, amelyekkel a bőkezű természet felruházta a horgászokat.	0.265487
Ông ta nhấn mạnh tất cả những phẩm chất, tất cả những đức tính mà những người câu cá đã được thiên nhiên hào phóng ban cho, ông ta chỉ rõ ràng phải cần đến biết bao nhiêu là sự nhẫn nại chịu đựng, sự nhanh trí, tính lạnh lùng, trình độ trí thức cao, để đạt được thành tích trong nghệ thuật bắt cá, bởi lẽ đây là cái lớn hơn nghề nghiệp, đây chính là nghệ thuật, và nó còn cao hơn nhiều so với các chiến công mà những thợ săn đã huênh hoang một cách vô ích.	Elmondotta, hogy mennyi türelemre, leleményességre, hidegvérre, felsőbbrendű értelemre van szüksége a horgásznak, hogy sikert érjen el ebben a tudományban, mert bizony a horgászat nem is annyira mesterség, mint inkább tudomány. ~~~ A horgász tevékenysége szerinte magasan felette áll azoknak a hőstetteknek, melyekkel a vadászok szoktak kérkedni.	-0.0856481
- Có thể so sánh nghề đi săn với sự đánh bắt cá được hay sao?	- Hát lehet a vadászatot a horgászattal összehasonlítani?	0.569048
- ông ta lớn tiếng.	- kiáltott fel.	0.93
- Không!	- Nem!	1.15
Không!	Nem!	0.12
- những cử tọa đồng loạt ứng tiếng.	- válaszolt egy emberként a hallgatóság.	0.698571
- Công trạng như thế nào khi phải giết một chú gà gô hay một cô thỏ, khi các ngài nhìn thấy chúng trong tầm bắn và khi con chó - mà chẳng lẽ chúng ta có con chó?	- Talán olyan nagy dolog lelőni egy foglyot vagy egy nyulat, amikor már lőtávolban van, és főként mikor már egy kutya felhajtotta?	0.314468
- đi tìm thú săn cho các ngài?	És különben is: van nekünk ilyen segítőtársunk?...	0.08
Các ngài nhận định con thú săn ấy từ xa, các ngài không bắn ngay nó vội, và các ngài sẽ vãi ra một số lượng đạn chì không đếm xuể, phần lớn những viên đạn chì ấy bay đi một cách vô ích... Trái lại, để đánh bắt con cá thì các ngài sẽ không thể theo dõi bằng cái nhìn... con cá ẩn náu dưới mặt nước... Phải nhờ đến rất nhiều kỹ xảo, mưu mẹo, trí tuệ và sự lém lỉnh để buộc con cá phải cắn câu, để giật nó, để lôi nó lên khỏi mặt nước, lúc thì nó treo lơ lửng bất động trên đầu sợi cước, lúc thì rung rung giãu giụa tựa như đang hoan nghênh các ngài vì chiến thắng.	A vadat az ember messziről megpillantja, kényelmesen célba veszi, és rengeteg söréttel leteríti, miközben a sörét nagy része kárba vész! ~~~ A halat ezzel szemben nem tudjuk szemmel követni, a víz elrejti előlünk... Micsoda körmönfont fogásokra, agyafúrt csalafintaságokra, milyen agy­mun­kára és ügyességre van szükség, míg rávesszük, hogy bekapja a horgot, hogy ez belé­vágódjék, és hogy a vízből kirántsuk a halat, amely vagy erőtlenül lóg a zsinór végén, vagy pedig fickándozik, mintha csak maga is örülne a horgász győzelmének!	-0.0350688
Lời này, lời đáp lại là những tiếng hô muốn vỡ phòng: "Hoan hô!".	Viharos helyeslés fogadta az elnök szavait.	0.0585366
Nhất định la ngài chủ tịch biết làm rung nảy lên tình cảm của các hội viên.	Miklóssi mondatai szemmel láthatóan a Dunai Liga tagjainak érzelmeit fejezték ki.	0.268831
Hiểu rằng không thể đi quá xa trong những lời tán dương các bạn đồng nghiệp của mình, ông ta đã đánh bạo mà không sợ bị buộc tội cường điệu - đặt ra cho họ phần công việc tao nhã cao hơn mọi người khác, tâng bốc lên tận trời xanh các nghề đánh cá khoa học của những người nhiệt thành và thậm chí ông ta còn quay lại để tưởng nhớ vị nữ thần tuyệt vời được đưa lên hàng đầu bởi những người hâm một trẻ tuổi của cổ La Mã tại các kỳ hội lớn của những người đánh cá.	Az elnök, minthogy tudta, horgásztársai semmiféle dicséretet nem sokallnak, habozás nélkül kockáztatta meg a legnagyobb túlzásokat, és a horgászok nemes kedvtelését minden egyéb fölé helyezte, a halfogászati tudomány lelkes híveit az egekig magasztalta, sőt annak a büszke istennőnek emlékét is felidézte, aki a régi Rómában a halászati szertartások alkalmából tartott versenyek védőszelleme volt.	0.186126
Những điều ám chỉ này có hiểu ra được hay không?	Vajon megértette hallgatósága e szavakat?	0.190244
Có lẽ thế, bởi vì họ đã gây nên làn sóng phấn khởi thật tình.	Minden bizonnyal, mert tomboló lelkesedés volt a felelet.	0.198113
Sau đó, vừa lấy lại hơi thở và sau khi uống cạn thêm một cốc vại bia sủi bọt nữa.	Miután az elnök új erőt merített, ismét leöntvén torkán egy korsó habzó sört, így folytatta:	0.3
Ông ta tiếp tục; ~~~ - Tôi chỉ còn một điều là chúc mừng các bạn nhân sự phát đạt của hội đoàn mà hang năm đều được bổ sung thêm nhiều hội viên mới và tiếng tăm của hội đã được lặp nên một cách vững chãi trên toàn Trung u. Tôi sẽ không nói với các bạn về thành tích của chúng ta.	- Végül még állapítsuk meg örömteli szívvel, hogy társaságunk egyre jobban felvirágzik, évről évre új tagokkal gyarapszik, egész Közép-Európában szilárdan megalapozott hírnévnek örvend.	-0.018883
Các bạn đã biết rõ chúng, cac bạn đã tham gia làm nên chúng, và đó là vinh dự lớn để nhập cuộc thi.	Társaságunk sikereiről nem is akarok külön szólni. ~~~ E sikereket mindnyájan ismerik, mindnyájuknak része volt bennük.	-0.00833333
	Társaságunk versenyein részt venni nagy megtiszteltetésnek számít!	-0.3
Báo cí Đức, Tiệp, Rumani đều không tiếc lời ca ngợi, đánh giá hết sức cao, và tôi xin nói thêm là, hết sức xứng đáng!	A német sajtó, a cseh sajtó, a román sajtó soha nem fukarkodott a megtisztelő dicsé­retekkel társaságunkat illetően, s hozzáteszem, hogy ez a dicséret nagyon is megérdemelt volt.	0.214615
Tôi xin nâng cốc chúc mừng, và xin các bạn hãy ủng hộ với tôi, các nhà báo đã hết sức tận tụy với công việc quốc tế của "Hội vùng sông Danube"!	Ezért poharamat emelem, és kérem, hogy tartsanak velem, azoknak az újságíróknak egészsé­gére, akik a Dunai Liga nemzetközi jelentőségű ügyéért fáradoznak.	0.292258
Tất nhiên, mọi người đồng thanh đáp lại lời của ngài chủ tích.	A hallgatóság, talán mondani sem kell, követte Miklóssi elnök példáját.	0.291667
Những chai rượu được dốc cạn vào các cốc, còn những cái cốc thì được lật úp vào những cái cổ họng cũng hết sức nhẹ nhàng như thế, như nước sông vĩ đại và ngọn nguồn của nó tuôn ra biển cả.	A palackok tartalmát a poharakba, a poharakét pedig a torkokba öntötték, éppen olyan játszi könnyedséggel, mint ahogyan a nagy folyam és mellékfolyóinak vize a tengerbe folyik.	0.19939
Có thể chấm dứt được vào chỗ này, nếu như bài diễn văn của ngài chủ tịch đã được kết thúc bằng lời chúc rượu sau cùng.	Ennél is maradtak volna, ha az elnöki beszéd ezzel a felköszöntővel véget ér.	0.0324324
Nhưng những lời chúc rượu khác được tuôn ra có lẽ là rất ư hợp thời.	Ezt azonban elkerülhetetlenül követte a többi, nem kevésbé alkalomszerű felköszöntő.	0.2775
Thật thế, ngài chủ tịch ưỡn thẳng người giữa đám các thư ký và thủ quỹ (cũng đã đứng lên).	Az elnök a titkár és a pénztáros között állt. ~~~ Teljes magasságában kihúzta magát.	-0.0451807
Mỗi người trong số họ đếu cầm cốc sâm panh bằng tay phải, còn tay trái thì ép sát vào tim.	Jobb kezében mindegyikük egy-egy pezsgőspoharat tartott, balját pedig szívére helyezte.	0.254118
- Tôi xin uống mừng "Hội vùng sông Danube" - Ngài Micletxco hô lên, vừa đưa mắt nhìn những người đang có mặt.	- Most pedig a Dunai Ligára iszom - jelentette ki Miklóssi, és tekintete végigjárt a hallgatóságon.	0.57468
Mọi người đều đứng dậy, nâng cốc.	Ekkor mindenki felpattant helyéről, és pezsgőspoharát ajkához emelte.	0.129545
Một số người câu cá đã đứng lên những chiếc ghế dài, số khác đứng lên trên bàn, và mọi người đều đồng đáp lại lời mời của ngài chủ tịch.	Ki padra, ki asztalra ugrott fel, és az egész hallgatóság tökéletes összhangban tett eleget Miklóssi felhívásának.	0.154054
Còn ngài chỉ tịch lại mở miệng sau khi các chai rượu đặt giữa ông ta và những đồng nghiệp của ông ta đã được bổ sung đầy lại:	Miután a poharak kiürültek, az elnök ismét töltött az elébük helyezett, kiapadhatatlannak látszó palackok egyikéből, majd még emeltebb hangon folytatta:	0.291667
- Chúc mừng mọi dân tộc, chúc mừng người Ba-đanh, chúc mừng người Vuoctembec, chúc mừng người Bavaria, chúc mừng người Áo, chúc mừng người Hungari, chúc mừng người Xecbi, chúc mừng người Valakhia, chúc mừng người Mondavi, chúc mừng người Bungari, chúc mừng người Betxarabi đã cùng thống nhất trong hàng ngũ "Hội vùng sông Danube:".	- Igyunk a különböző nemzetiségekre, a badeniekre, a württembergiekre, a bajorokra, az osztrákokra, a magyarokra, a szerbekre, a havasalföldiekre, a bolgárokra, a besszarábiaiakra, mindazokra a nemzetekre, melyeknek fiai a Dunai Liga tagjai között vannak!	0.227416
Thế là những người Ba-đanh, Vuoctembec, Bavaria, Áo, Hungari, Xecbi, Valakhia, Mondavi, Bungari, Betxarabi đều đáp lời ông ta, như một con người duy nhất, nốc cãn thứ chất lỏng chứa trong cốc của mình.	És a jelenlevő besszarábiaiak, bolgárok, havasalföldiek, szerbek, magyarok, osztrákok, bajorok, württembergiek, badeniek egy emberként követték felhívását, és ürítették ki poharukat.	0.251934
Cuối cùng, ngài chủ tịch đã kết thúc bài diễn văn, sau khi tuyên bố uống mừng sức khỏe mỗi hội viên của Hội.	Végül az elnök azzal a bejelentéssel fejezte be szónoklatát, hogy most a társaság minden egyes tagjának egészségére iszik.	0.287288
Nhưng bởi lẽ số lượng những con người này đạt đến con số 473 người, nên ôn gta đành phải chịu - tức là cần phải chúc rượu chung với họ.	Minthogy azonban a társaságnak nem kevesebb, mint 473 tagja volt, sajna kénytelen volt egyetlen közös pohárköszöntővel beérni.	2.04656
Đáp lại ông ta là hàng ngàn tiến "Hô!"	Erre a jelenlevők ezernyi "Éljen!" kiáltással válaszoltak, amíg csak bírta a torkuk.	0.0214286
được gào mãi bằng đủ mọi chất giọng đến khản cổ.	Így ért véget a program második pontja.	0.102632
Tiếp đến của chương trình là phần chè chén truyền thống của những người đánh cá.	Az első programpont befejező része a nagy áldomás volt, és most következett a harmadik: a díjak kiosztása.	0.284211
Gần cuối cần phải công bố tên tuổi những người được giải.		-0.3
Mỗi người đều chờ đợi điều đó bằng sự lo âu, một điều hết sức tự nhiên, bởi lẽ, như đã nói, ban giám khảo luôn nghiêm chỉnh giữ bí mật.	Mindenki érthető izgalommal várta az eredmény­hirdetést, mert mint mondottuk, a versenybizottság döntését mindeddig titokban tartották.	0.236842
Nhưng đã đến lúc rồi, và tất cả sắp sửa được rõ ngay thôi.	De végre elérkezett a pillanat, amikor a döntést nyilvánosságra hozzák.	0.3
Chủ tịch Micletxco chuẩn bị đọc danh sách chính thức các phần thưởng.	Miklóssi elnök tehát nekilátott a két csoportba tartozó jutalmak hivatalos listájának felolva­sá­sához.	0.201266
Theo nguyên tắc của Hội, các phần thưởng thấp nhất được công bố đầu tiên, và điều này đã khiến mọi người nóng ruột khi lắng nghe đọc danh sách giải trao.	A társaság alapszabályainak megfelelően először a kisebb díjak nyerteseinek nevét olvasta, így az eredményhirdetés növekvő érdeklődés mellett folyt.	0.243243
Những con cá nằm trong túi lưới của họ là những con cá mà mỗi một người đánh cá trên sông Danube đầu có thể câu được: cá dầy, cá bông, cá rô, cá hanh, cá măng, cá chép... Những người Valakhia, Hungari, Vouctamhec đều có mặt trong các danh mục giải thưởng thấp nhất.	A mennyiségi verseny kisebb díjainak nyertesei az elnöki emelvény elé léptek. ~~~ Az elnök átölelte őket, és díszoklevelet meg az elért helyezésnek megfelelő pénzjutalmat nyújtott át nekik.	-0.088674
Giải nhì trao cho một người Đức đã câu được bảy mươi bảy con cá, người này tên là Vêbe.	A merítőhálókban olyan halak voltak, amilyeneket bármelyik horgász foghat a Dunából.	0.23494
Mọi người nồng nhiệt vỗ tay hoan nghênh thành tích của Vêbe.	Pikó, koncér, fenékjáró küllő, lepényhal, sügér, cigányhal, csuka, fejes domolykó stb.	0.201493
Thực ra, những người đồng nghiệp biết rất rõ về Vêbe.	A kisebb díjak nyerteseinek névsorában románok, magyarok, badeniek, württembergiek szerepeltek.	0.16875
Tên tuổi của Vêbe đã nhiều lần chiếm hàng đầu tại các cuộc thi trước đó, và ngày hôm nay người ta đã chờ đợi giải nhất theo số lượng, như mọi khi.	A második díjat hetvenhét kifogott halért egy Weber nevű németnek ítélték, és ezt a bejelentést lelkes üdvrivalgás fogadta. ~~~ Ezt a Webert jól ismerték horgásztársai.	-0.00652174
