Ivan S.Turgenev.	﻿Turgenyev	0.230769
Một ngày nọ -- ba tuần sau ngày 9 tháng Năm -- màn cửa sổ của ngôi nhá này cuốn lên, những gương mặt phụ nữ xuất hiện -- có một gia đình nào đó dọn tới.	Egy napon - május kilencedike után három héttel - ennek a szárnynak az ablaktáblái kinyíltak, s női arcok jelentek meg a lakásban.	0.185
Tôi nhớ trong cùng ngày đó, vào bửa ăn tối, mẹ tôi hỏi thăm ông quản gia về người láng giềng mới, và khi mẹ tôi nghe nói tới danh hiệu Công chúa Zasyekin, mẹ tôi ra vẻ tôn kính, " Ah!	Emlékszem, anyám még aznap tudakozódott ebéd közben az első inasnál: kik az új szomszédok, s mikor meghallotta, hogy Zaszekina hercegné családja, nem minden tiszteletadás nélkül mondta:	0.271023
một công chúa!"	- Á!	-0.48
...và thêm vào, " tôi nghĩ là, một công chúa nghèo, phải không?"	hercegné... - majd hozzátette: - Bizonyosan valami szegény hercegné.	0.290769
"Họ đi xe thuê, " ông quản gia kính cẩn nói, đưa cho mẹ tôi một cái dĩa: " họ không có xe riêng, và bàn ghế tồi tàn."	- Három bérkocsival jöttek, kérem - jegyezte meg, a tálat tisztelettel kínálgatva, az első inas -, saját fogatuk nincs, a bútoruk is jelentéktelen.	0.263115
"Ah," mẹ trả lời, " vậy càng tốt."	- Igen - válaszolta anyám -, mégis jobb így.	0.284615
Cha tôi đưa ánh mắt băng giá nhìn qua; bà im bặt.	Apám hidegen nézett rá: anyám elhallgatott.	0.244186
Chắc chắn Công chúa Zasyekin không thể là một người giàu có; căn nhà bà dọn vào quá tiêu điều, nhỏ bé và mái dốc thoai thoải, không có ai, ngay cả những người tương đối khá giả trong thế gian này lại bằng lòng vào ở. Tuy thế vào lúc ấy, những gì được nói ra đã chóng bị quên lãng.	Zaszekina hercegné valóban nem lehetett gazdag: az a bérelt épületszárny olyan rozzant, alacsony és kicsi volt, hogy jobb módú emberek aligha költöztek volna bele. ~~~ - Egyébként mindezeket elengedtem akkor a fülem mellett.	-0.0728155
Tước vị vương giả không tạo ra ấn tượng nào cho tôi.Tôi đang đọc Robbers của Schiller.	A hercegi cím nemigen hatott rám: Schiller Haramiái-t olvastam nemrégiben.	0.184286
Chương 2	2	15.6
Tôi có thói quen lang thang trong vườn mỗi buổi chiều để tìm lũ quạ.	Szokásom volt kertünkben puskával kószálgatni minden este, s lesni a varjakat.	0.3
Tôi ôm ấp một mối thù lâu năm với loài chim tinh quái, háu đói này.		-0.3
Vào ngày đã nói, như thường lệ tôi đi rảo trong vườn.	Ezeket az óvatos, ragadozó, ravasz madarakat régóta gyűlöltem.	0.295082
Sau khi tuần tiểu tất cả các lối đi vẫn không có kết quả ( lũ quạ nhận ra tôi, kêu quang quác từng chập ở tận đàng xa), ngẫu nhiên tôi đến gần bên cái bờ dậu thấp, ngăn chia địa phận của nhà tôi với mảnh vườn hẹp dài đến tận ngôi nhà nhỏ phía bên phải, và thuộc về ngôi nhà đó.	Azon a napon is a kertbe mentem - s miután hiába jártam végig a fasorokat (a varjak megismertek, s már messziről elkezdtek szaggatott hangon károgni), véletlenül egy alacsony kerítéshez közeledtem, mely a mi kertünket elválasztotta attól a keskeny kertsávtól, amely a jobb oldali szárnyépülethez tartozott, s mögötte nyúlt el.	0.29106
Thình lình tôi nghe một giọng nói; nhìn qua bờ dậu, và như bị sét đánh...tôi thấy một cảnh tượng ngoạn mục.	Lehajtott fejjel haladtam, hirtelen hangokat hallottam; átnéztem a kerítésen - s gyökeret vert a lábam... Különös látvány tárult elém.	0.277686
Cách chừng vài bước, trên bải cỏ giữa những bụi mâm xôi xanh, một cô gái cao dong dỏng trong chiếc áo hồng kẻ sọc, một chiếc khăn trắng cột trên mái tóc; bốn thanh niên đứng chung quanh, và nàng đang cầm một chùm hoa màu xám, đập lần lượt lên trán họ. ~~~ Tôi không biết tên những bông hoa này, mặc dù tụi trẻ con biết rõ; chúng giống như những cái túi nhỏ, khi ta đập vào chỗ cứng, chúng sẽ vở bộp.	Néhány lépésnyire tőlem - zöld málnabokrok között, egy kerti tisztáson, magas, karcsú leány állt csíkos, rózsaszín ruhában, fehér kendővel a fején; négy fiatalember sürgött-forgott körülötte, s a lány egymás után koppintotta meg homlokukat apró, szürke virágokkal, melyeknek nem tudom a nevét, de gyermekek jól ismerik: zsákocska formájúak, s nagyot pukkannak, ha valami szilárd tárgyra ütnek velük.	-0.0178756
Các chàng trai hào hứng chìa trán ra, và phong thái của nàng (tôi nhìn thấy nửa gương mặt) có chứa một điều gì vô cùng quyến rũ, kiêu kỳ, dịu dàng, diễu cợt và duyên dáng, khiến tôi sắp sửa phải kêu lên, nguỡng mộ và sung sướng, và tôi nghĩ, tôi cô thể đánh đổi tất cả mọi thứ trên thế gian này tại thời điểm ấy, chỉ để được những ngón tay thanh nhã đó đánh vào trán tôi.	A fiatalemberek szívesen tartották oda homlokukat, a lány mozdulataiban pedig (oldalról láttam) volt valami annyira elbűvölő, pa­ran­csoló, kedves és komikus báj, hogy majdnem felkiáltottam a csodálattól és gyönyörűségtől, s azt hiszem, mindent odaadtam volna a világon, ha azok a szépséges ujjacskák nekem is a homlokomra koppintottak volna.	0.217337
Cây súng của tôi tuột xuống cỏ, tôi quên đi tất cả, tôi ngấu nghiến ngắm những đường cong, chiếc cổ mỹ miều, đôi cánh tay đáng yêu và mái tóc hơi xô lệch dưới vành khăn trắng, cặp mắt ranh mảnh khép hờ, bờ mi và đôi má mềm mại bên dưới.	A puskám lecsúszott a földre, mindenről megfeledkezve néztem azt a karcsú alakot, azt a nyakat, azt a két szép kezet, a fehér kendő alól kibomló szőke hajat, azt a félig csukott, okos szemet, azokat a szempillákat, s alattuk a finom bőrű orcát...	0.242411
"Chú bé, ê, chú bé," một giọng nói đột ngột vang lên ngay bên cạnh: "có lý nào chú được phép nhìn chòng chọc vào một cô gái chưa quen biết?"	- Fiatalember, fiatalember - szólalt meg egyszerre egy hang mellettem -, illik-e ilyen szemmel nézni idegen kisasszonyokra?	0.188182
Tôi giật mình, cảm thấy hổ thẹn...Đứng gần tôi, bên kia bờ dậu là một người đàn ông có mái tóc đen nhánh cắt sát, nhìn tôi với vẽ châm chọc.	Megrezzentem és megdermedtem... Rövidre nyírt, fekete hajú férfi állt mellettem a kerítésen túl, s gúnyosan nézett reám.	0.189744
Ngay lúc ấy cô gái cũng quay lại ....Tôi thấy một đôi mắt to, xám trên gương mặt rạng rỡ linh hoạt, và một tràng cười đột ngột nở bừng trên gương mặt ấy để lộ trong thoáng chốc đôi hàng răng ngọc, và cặp mày nguyệt nhếch cao đầy vẻ hài hước. ~~~ Tôi đỏ bừng mặt, nhặt lấy cây súng, chạy về phòng mình, một chuổi cười thánh thót, hiền hậu đuổi theo. ~~~ Tôi gieo mình xuống giường, dấu mặt trong tay.	Ebben a pillanatban a lány is felém fordult... Nagy, szürke szemet láttam, hevült, eleven arcban - s ez az egész arc egyszerre megremegett, nevetni kezdett, fehér fogak villogtak benne, szemöldöke kissé komikusan magasabbra húzódott... Elpirultam, felkaptam a földről a puskát, s a csengő, de nem rosszindulatú nevetéstől kísérve, beszaladtam a szobámba, leborultam az ágyra, s eltakartam kezemmel az arcom.	-0.105362
Tim tôi đâp rộn ràng; vừa e thẹn vừa sung sướng; tôi cảm nhận một niềm hân hoan chưa hề biết đến.	A szívem erősen vert; nagyon szégyelltem magam, s nagyon jókedvű voltam: eddig nem ismert izgalom vett erőt rajtam.	0.285714
Sau một lúc nghĩ ngơi, tôi chải lại tóc, rửa mặt và xuống lầu để dùng trà.	Pihenés után megfésülködtem, rendbe hoztam magam, s lementem teázni.	0.223881
Hình ảnh của nàng bềnh bồng trước mắt, tim tôi không còn đập mạnh nữa, nhưng đầy niềm thống trị ngọt ngào.	A fiatal lány képe előttem lebegett, a szívem már nem vert olyan erősen, de valami jóleső érzés töltött el.	0.235294
"Con có sao không?"	- Mi bajod?	0.03
cha tôi hỏi ngay tức thì: "vừa giết được con quạ nào phải không?"	- kérdezte apám hirtelen. ~~~ - Lőttél varjút?	-0.0988636
Suýt chút nữa tôi đã kể hết cho ông nghe, nhưng tự kìm hảm được, và chỉ mĩm cười một mình.	Szerettem volna mindent elmondani neki, de megtartóztattam magam, s csak mosolyogtam magamban.	0.236471
Khi sắp sửa đi ngủ, tôi xoay ba vòng -- không biết tại sao -- trên một chân, bôi sáp vào tóc, lên giường, và ngủ say như một cái bông vụ suốt cả đêm.	Mikor a lefekvéshez készültem, magam sem tudom miért, hármat fordultam a fél lábamon, megkentem a hajam, lefeküdtem, s egész éjjel aludtam, mint a tej.	0.258993
Đến gần sáng tôi choàng tỉnh, nhấc đầu lên, nhìn chung quanh trong hưng phấn, và lại chìm ngay vào giấc ngủ.	Hajnaltájban felébredtem egy pillanatra, felemeltem a fejem, elragadtatva körülnéztem - s megint elaludtam.	0.252475
Chương 3	3	15.6
"Mình phải làm sao để làm quen với họ?" ~~~ là ý tưởng đầu tiên trong ngày khi tôi thức dậy.	"Hogy tudnék vele megismerkedni?" - volt első gondolatom, mihelyt reggel felébredtem.	-0.0379747
Trước bửa ăn sáng, tôi dạo ngoài vườn, không đến quá gần bờ dậu, và không gặp ai.	Reggeli előtt lementem a kertbe, de nem kerültem a kerítés közelébe, s nem is láttam senkit.	0.268235
Sau bửa ăn, tôi đi tới đi lui nhiều lần ngang nhà nàng, nhìn vào cửa sổ. ~~~ Khi tưởng như thấy nàng bên rèm cửa, tôi hoảng hốt bỏ đi ...	Reggeli után néhányszor fel és alá sétáltam az utcán a nyaraló előtt - s messziről oda-odanéztem az ablakra... Úgy rémlett, hogy az ő arcát látom a függöny előtt, s gyorsan odább álltam.	-0.0341379
"Tuy thế, mình phải làm quen với nàng mới được," tôi nghĩ, cất bước vô hồn trên bãi cát gần công viên Neskutchny..."nhưng bằng cách nào, đó là vấn đề."	"Mégiscsak meg kell ismerkednem vele" - gondoltam, össze-vissza kóborolva a homokos síkon, mely a Nyeszkucsnij-kert előtt terült el. ~~~ - "De hogyan?	-0.0366667
Những chi tiết của cuộc gặp gỡ hôm qua, cách nàng cười nhạo tôi, vì một lý do nào đó, vẫn sống động trong tâm trí.....Trong lúc tôi nặn óc tính toán, định mệnh đã sắp sẳn cho tôi một cơ hội.	ez itt a kérdés." Visszaidéztem tegnapi találkozásunk legapróbb részleteit, s magam sem tudom, miért, arra emlékeztem a legélesebben, hogyan nevetett rajtam... De mialatt így nyugtalankodtam, s különböző terveket szőttem, a sors már segítségemre jött.	0.26019
Khi tôi vắng mặt, mẹ tôi nhận được một lá thơ từ người láng giềng mới.. Thơ viết trên giấy xám, niêm phong bằng sáp nâu, loại sáp chỉ dùng ở các thông báo của sở bưu điện hay ở nút bấc các rươụ vang rẻ tiền.	Míg nem voltam otthon, anyám szürke papirosra írt levelet kapott az új szomszédasszonytól; barna pecsétviasszal volt lezárva, amilyent postautalványokon és olcsó borok dugóin szoktak használni.	0.216848
Bằng giọng văn bình dân, nét chữ xiêu xẹo, công chúa van nài sự giúp đở của mẹ tôi. ~~~ Theo lời công chúa, mẹ tôi quen biết nhiều người cao sang quyền quý đang nắm giữ vận mạng của gia đình bá.. "Tôi hân hạnh được thưa chuyện với bà, như một phu nhân với một phu nhân."	Ebben a gyenge fogalmazású, hanyag írású levélben a hercegné anyám pártfogását kérte: anyám, a hercegné levele szerint, jó ismerőse volt olyan tekintélyes embereknek, akiktől az ő és gyermekei sorsa függött, mert komoly perei voltak.	-0.0180905
Công chúa kết luận, mong mỏi được phép thăm viếng. ~~~ Mẹ tôi lưỡng lự không vui vì cha tôi đang vắng nhà, không biết hỏi ý ai.	"Önhöz fordulok- írta -, mint nemesasszony a nemesasszonyhoz, s ezért ragadom meg szívesen ezt az alkalmat." A végén engedélyt kért anyámtól, hogy meglátogathassa.	-0.0186131
Không thể không phúc đáp một phu nhân, nhất là một công chúa.	Kellemetlen hangulatban találtam anyámat: apám nem volt otthon, s nem volt kivel tanácskoznia a dologról.	0.165672
Nhưng mẹ tôi không biết hồi âm bằng cách nào.	Válasz nélkül hagyni a hercegné levelét lehetetlen volt, de hogyan válaszoljon - ez volt anyámnak a bökkenő.	0
Viết tiếng Pháp thì không hợp lẽ, tiếng Nga của mẹ tôi lại đầy lỗi chính tả, bà không muốn phơi bày nhược điểm ấy.	Francia nyelvű írást küldeni helytelen lett volna, az orosz helyesírásban pedig anyám maga sem volt erős - ő tudta ezt -, s nem akarta kompromittálni magát.	0.277444
Khi tôi xuất hiện, mẹ rất vui mừng, lập tức sai tôi qua nhà công chúa để báo tin rằng mẹ tôi luôn luôn vui lòng phụng sự trong khả năng của mình, và kính mời công chúa đến thăm gia đình chúng tôi lúc một giờ trưa.	Megörvendett jöttömnek, s azonnal meghagyta nekem, hogy menjek el a hercegnéhez, s mondjam meg a következőket: anyám, amennyire tőle telik, kész szívességet tenni a kegyelmes asszonynak, s arra kéreti, jöjjön el hozzá egy órakor.	0.278873
Ước vọng thầm kín của tôi bất ngờ được thỏa mản nhanh chóng, tôi hạnh phúc, và hoang mang. ~~~ Tuy nhiên, không để lộ sự lo lắng bất an, tôi đi về phòng riêng, việc đầu tiên là thay cà vạt và mặc một chiếc áo đuôi tôm; ở nhà, tôi vẫn còn mặc áo khoác ngắn và áo cổ bẻ, dù rất ghét chúng.	Titkos vágyaim váratlanul gyors teljesedése meg is örvendeztetett, meg is szeppentett; de nem árultam el a zavart, mely hatalmába kerített - s előbb bementem a szobámba, hogy felvegyem az új nyakkendőmet és kabátomat; otthon zekét és kihajtott gallért viseltem, bár nagyon idegenkedtem tőle.	-0.026306
Chương 4	4	15.6
Tôi bước vào ngôi nhà, tay chân rung rẫy. ~~~ Trên lối đi nhỏ hẹp và bừa bộn, tôi gặp một lão bộc tóc bạc, sắc mặt đỏ sạm màu đồng, đôi mắt lợn ti hí cáu kỉnh, trán và thái dương có những nếp hằn sâu đến mức tôi chưa từng thấy.	A szárnyépület szűk és piszkos előszobájában, ahova minden ízemben remegve beléptem, öreg, ősz hajú inas jött szembe velem, sötét bronzszínű arca volt, apró, mogorva disznószeme, s olyan mély ráncok húzódtak a homlokán és halántékán, amilyeneket soha az életben nem láttam.	-0.00585938
Trên tay ông là một cái dĩa đựng một con cá trích đã gậm nham nhở còn trơ xương; vừa lấy chân đóng lại cánh cửa phòng, ông vừa gắt vào mặt tôi.	Lerágott heringgerincet hozott egy tányéron, s miközben lábával betette az ajtót, mely a másik szobába vezetett, öreges hangon ezt kérdezte:	0.243609
"Cậu cần gì?"	- Mit óhajt?	0.175
"Công chúa Zasyekin có nhà không ạ?"	- Itthon van Zaszekina hercegné?	0.22
tôi hỏi.	- kérdeztem.	0.245455
"Vonifaty!"	- Vonyifatyij!	0.25
một giọng nói đàn bà chát chúa từ bên trong vọng ra.	- csörrent meg egy női hang az ajtó mögött.	0.182927
Không nói một lời, ông quay lưng lại, phô ra phần sau của bộ đồng phục đã sờn, trên đó có đính duy nhất một chiếc nút huy hiệu màu đỏ nhạt; ông để cái dĩa xuống sàn, và bỏ đi.	Az inas szó nélkül elfordult tőlem, s ezzel libériájának kopott háta s egyetlen, vörösre fakult címeres gombja láthatóvá vált.	0.125806
"Ngươi đã ra đồn cảnh sát chưa?"	Majd a tányért a padlóra téve, bement.	0.291892
