Homer	HOMÉROSZ	0.1
Khai mạc hội nghị, Cha thế nhân và thần linh lên tiếng trước tiên.	Az isten mind könyörült már ~~~ rajta; Poszeidáón egyedül gyűlölte szünetlen	-0.00616438
Lòng riêng canh cánh Cha nhớ Aigisthos tuấn tú, Orestes lừng danh, công tử Agamemnon đâm chết.	isteni hős Odüsszeuszt, valameddig csak haza nem tért. ~~~ Csakhogy az elment éppen a távoli aithiopokhoz	-0.00157895
Lúc này đầu óc vấn vương nghĩ tới đương sự, Cha nói với hàng bất tử: "Ô, thế nhân ngoan cố!	- kik két részre oszoltan a szélső népe a földnek ~~~ s hulló napra tekint egy részük, más a kelőre -,	-0.0177419
Chúng cáo buộc thần linh, chúng nói ngô bối là cội nguồn sinh ra đau khổ chúng phải gánh chịu, trong khi thực ra do điên rồ khiến số phận thêm phần đen tối, chúng tự gây đau khổ cho bản thân.	hogy bárány s bikaáldozatukból kapja a részét. ~~~ Ott ült ő, lakomának örülve, s a többiek ekkor	-0.179032
Mới đây thôi bất kể số phận thế nào Aigisthos cướp vợ giết chồng khi Agamemnon trở về.	mind az olümposzi Zeusz palotájában gyülekeztek. ~~~ S köztük az emberek, istenek apja fogott a beszédbe;	-0.00309278
Y hiểu thế nào y cũng chết, vì ngô bối đã cảnh cáo, phái Hermes, sứ giả tinh tường, dẫn đường rạng rỡ, hạ sát khổng lồ Argos tới nói cho hay đừng giết chồng và cũng đừng cướp vợ.	mert gondolt a szivében a gáncstalan Aigiszthoszra, ~~~ kit ledöfött Agamemnón sarja, a híres Oresztész;	-0.162371
Bởi khi lớn khôn, tưởng nhớ quê hương, Orestes thế nào cũng trả thù cho Agamemnon.	őrá emlékezve beszélt a haláltalanokhoz: ~~~ "Jaj, csak örökkön az isteneket vádolja az ember:	-0.00340909
Theo lệnh ngô bối sứ giả thận trọng nói vậy.	azt mondják, a csapás mind tőlünk jön, de bizony hogy	0.288
Bất kể thân tình khuyên nhủ thế nào sứ giả cũng không thuyết phục được y. Vì thế bây giờ Aigisthos phải đền trả tội ác tự mình gây ra."	ostoba vétkeikért szenvednek a végzeten is túl; ~~~ lám, Aigiszthosz is Átreidész megkért feleségét	-0.0890625
Nữ thần mắt xanh lam lục Athena tiếp lời: "Thưa phụ vương, quý tử Kronos, quân vương quyền uy tối thượng, Aigisthos chết là xứng đáng với việc y làm.	sorsa fölött elvette, s a visszajövőt meg is ölte, ~~~ tudta pedig meredek veszedelmét, hisz megüzentük,	-0.102062
Kẻ nào xử sự như y sẽ chịu số phận tương tự!	Argoszölő Hermészt küldtük ki, a messzirelátót,	0.276
Nhưng phần riêng lòng thần nhi quặn đau thương hại Odysseus, khôn ngoan như vậy mà bất hạnh đến thế, chia tay cách biệt quá lâu với thân nhân, lại đang ôm sầu trên cô đảo hai bờ.	hogy le ne döfje a hőst, s feleségét meg sose kérje: ~~~ mert hiszen Átreidészt majd megbosszúlja Oresztész,	-0.138
Đảo rậm rạp, cây cối um tùm trên rốn biển mênh mông, nữ thần sống ở đó, ái nữ Atlas, đầu óc độc ác, hiểu biết biển cả sâu thẳm, một mình nâng cột trụ khổng lồ tách trái đất với bầu trời.	rögtön, amint fölserdül s vágyik az otthoni földre. ~~~ Hermeiász megmondta, de Aigiszthosz nem ügyelt rá,	-0.177
Ái nữ giữ ghịt không cho về nhà nên thế nhân bất hạnh ứa lệ, buồn da diết.	bár a tanács jó volt; s most mindért lett lakolása." ~~~ Így szólt erre az istennő, a bagolyszemü Pallasz:	-0.0211765
Ngày lại ngày dùng lời ngon ngọt, mê hoặc, nàng tìm đủ cách tẩy xóa hình ảnh Ithaka khỏi ký ức thế nhân.	"Ó, miatyánk, Kronidész, fejedelmek legmagasabbja, ~~~ őt nagyonis méltó végzet teritette a földre;	-0.0315789
Nhưng thà hy sinh tất cả, miễn sao có ngày nhìn thấy khói lam nhẹ vươn trên quê hương, Odysseus chỉ muốn nhắm mắt vĩnh biệt cõi trần!	bárcsak más is ekép pusztulna, ki így cselekednék; ~~~ csakhogy a bölcs Odüsszeuszért tépi a szívem a bánat,	-0.0602941
Thế mà phụ vương chẳng mảy may động lòng!	messze szeretteitől aki búban tűri a sok kínt,	0.265909
Xin cho thần nhi hay phải chăng tế sinh thế nhân dâng hiến gần thuyền quân Argive trên cánh đồng thành Troa bao la không hợp nhãn, chẳng vừa lòng?	hullámvert szigeten, hol a tenger köldöke fekszik. ~~~ Erdővelboritott sziget, istennő a lakója,	-0.101667
Tại sao đến nay vẫn ôm thù nuôi hận với Odysseus, hở phụ vương?"	lánya a fondorlelkű Atlasznak, ki a tenger ~~~ minden mélységét jól ismeri, tartja a roppant	-0.025
"Sao lại thốt lời như thế, hoàng nhi!" Chúa tể thu thập mây trời đáp.	oszlopokat, mik a földet, eget széttartva merednek. ~~~ Ennek a lánya nem engedi most a szegényt, a jajongót,	-0.0414474
"Làm sao ta có thể quên Odysseus khả ái?	s bűvöli folyton lágy, hízelgőhangu szavakkal,	0.256098
Không những là thế nhân tinh khôn còn tại thế, Odysseus còn là thế nhân hào hiệp hơn mọi thế nhân khi làm lễ tế sinh cúng dường hàng bất tử sống trên thiên cung bao la.	hogy többé Ithakára ne gondoljon; de Odüsszeusz ~~~ otthona fölszaladó füstjét bár, látni akarja	-0.137097
Không!	s halni kiván.	0.075
	S a te kedves szíved, Olümposzi, hozzá	-0.3
	még most sem hajlik.	-0.3
	Hát nem tett néked Odüsszeusz	-0.3
	argoszi gályáknál kedvedre az áldozatokkal	-0.3
	tágterü Trója alatt?	-0.3
Chỉ có Poseidon bao quanh trái đất là hằn học muốn trả thù vì Polyphemos khủng khiếp, cường tráng trong hàng quái nhân Cyclop bị đương sự đâm mù mắt.	Mért sujtja szivedböl e düh, Zeusz?" ~~~ Erre a fellegtorlaszoló Zeusz válaszul így szólt: ~~~ "Lányom, ugyan míly szó szökkent ki fogad keritésén?	-0.160396
Mẹ đẻ là nữ thần sóng nước Thoosa, ái nữ Phorkys, ông già dẻo dai trị vì biển cả cằn cỗi, vô sinh; Poseidon tặng quý tử khi ngon giấc với nàng trong động dưới biển thăm thẳm.	Hát tudnám-e feledni az isteni férfit, Odüsszeuszt, ~~~ őt, ki legelmésebb odalenn, legtöbbet is áldoz ~~~ mindig a tágterü égbe lakó örök isteni népnek?	-0.2
Đó là nguyên cớ vì sao từ lúc Polyphemos bị mù, không thèm giết chết, Poseidon rung chuyển trái đất bắt Odysseus lưu lạc biền biệt xa quê cha đất tổ.	Csakhogy a föld övezője Poszeidón, az haragossa ~~~ szűntelenűl, amiért Polüphémoszt megvakitotta,	-0.1
Nhưng thôi bây giờ tất cả hiện diện ở đây ngô bối hãy cùng nhau tìm cách đưa đương sự trở về.	isteni küklópszot, kinek ott legtöbb a hatalma ~~~ társai közt, s kit a nimfa hozott a világra, Thoósza,	-0.0223404
Poseidon sẽ phải kiềm chế, đè nén hận thù.	meddő-tengeren-úr Phorküsznak a lánya, egy öblös	0.293878
Bởi một mình hải thần không thể cưỡng lại thần linh bất tử đoàn kết một lòng."	barlangban ki Poszeidónnal szerelembevegyült volt. ~~~ Akkortól Odüszeuszt föld rendítője Poszeidón	-0.00645161
Athena mắt xanh lam lục nói tiếp: "Thưa phụ vương, quý tử Kronos, ô quân vương quyền uy tối thượng, nếu quả thực bây giờ thần linh hạnh phúc bằng lòng để Odysseus thận trọng trở về Ithaka, ngô bối nên phái Hermes rạng rỡ tới đảo Ogygia để sứ giả đưa đường cấp tốc nói cho nữ thần sóng nước Calypso mái tóc yêu kiều hay ngô bối đã quyết định dứt khoát Odysseus nhẫn nại sẽ lên đường trở về quê hương!		-0.3
Phần riêng thần nhi sẽ thân chinh tới Ithaka khuyến khích, động viên tinh thần quý tử Odysseus, thúc đẩy công tử triệu tập người Achaian tóc dài tới quảng trường nói rõ ý định, tống cổ đám cầu hôn ăn dầm ở dề nhà mình, hằng ngày hết giết cừu nùng nục lại hạ bò sừng cong, dáng đi ì ạch.	el nem emészti, de távoltartja az otthoni földtől. ~~~ Rajta viszont, most itt együtt leljük meg a módját,	-0.343299
Sau đó thần nhi sẽ phái công tử đi Sparta, rồi Pylos cát bạt ngàn nghe ngóng tin tức thân phụ.	hogy juthat haza végre; Poszeidáón a haragját ~~~ már tegye félre, hisz egymaga úgysem tud civakodva	-0.00978261
Nếu tìm ra tông tích, công tử sẽ nổi tiếng, mọi người ngợi khen."	minden öröklétű istennel szembeszegülni." ~~~ Így szólt erre az istennő, a bagolyszemü Pallasz:	-0.0364865
	"Ó, miatyánk, Kronidész, fejedelmek legmagasabbja,	-0.3
Dứt lời Athena xỏ chân vào đôi dép vàng óng, xinh đẹp, bất tử, lướt đi nhanh như gió thổi trên mặt nước hoặc cánh đồng bao la, nắm trường thương mũi bọc đồng nhọn hoắt, to nặng, chắc nịch, lúc bực mình nổi nóng, ái nữ thần linh phi thường, đánh tan biết bao chiến binh dũng mãnh.	hát ha a boldog olümposziaknak már ez a kedves, ~~~ hogy házába a bölcs Odüszeusz hazatérjen, elérjen, ~~~ küldjük el akkor az Argoszölő Hermészt, a vezérlőt ~~~ Ógügié szigetére, hogy ott kijelentse azonnal ~~~ annak a szépfonatú nimfának: biztos a döntés,	-0.299417
Từ đỉnh núi Olympos như tia chớp lao xuống đất Ithaka nữ thần băng qua sân ngoài đến cổng chính.	tűrőlelkü Odüsszeusz már haza kell hogy eredjen. ~~~ S én Ithakába megyek tüstént, hogy az ő fiusarját	-0.0123711
Đứng trước ngưỡng cửa cung điện Odysseus, tay cầm thương đồng, nữ thần giả dạng thân hữu gia đình, Mentes, hoàng thân hải đảo Taphos, thủ lĩnh người Taphian.	jobban fölrázzam s a szivét megtöltsem erővel, ~~~ hívja a fürtös akháj népet gyűlésbe, s a házból ~~~ küldje a kérőket haza mind, akik ott szakadatlan	-0.184375
Nữ thần nom thấy đám cầu hôn hung hăng ngồi trước cửa trên miếng da bò chúng giết làm thịt, tiêu khiển thời giờ chơi thẩy khớp xương; lệnh sứ và tôi bộc hối hả tới lui phục dịch, đứa đổ rượu vang, pha nước hòa trong liễn lớn, đứa cầm nắm bọt biển lỗ chỗ lau bàn, rồi mang thịt cắt thành miếng to tướng đặt trước mặt từng cầu hôn.	sűrü juhát s csámpásléptű barmát kaszabolják. ~~~ Aztán elküldöm Spártába, Pülosz fövenyére, ~~~ jó apjának jötte felől hogy hírt tudakoljon,	-0.385714
Người đầu tiên nom thấy nữ thần là Telemachos, thanh niên khôi ngô khác thường, đang ngồi dáng vẻ rầu rĩ, bực bội giữa đám cầu hôn, tưởng tượng thân phụ quả cảm từ mây xanh trở về, tống cổ đám cầu hôn khỏi nhà, lấy lại danh dự hoàng gia, làm chủ vương quốc, trị vì muôn dân.	és őt is nagy hír hordozza a földilakók közt." ~~~ Így szólt, és gyönyörű saruját talpára csatolta, ~~~ ambrosziás, aranyos saruját, mely a tengeri úton	-0.315306
Trong lúc tưởng tượng bay cao chợt thấy nữ thần, Telemachos tức tốc chạy xổ ra cổng, lòng những ngại ngùng để khách lạ chờ lâu.	és a hatalmas földön vitte a szélfuvalattal; ~~~ fogta erős gerelyét, a hegyes rézzel hegyezettet, ~~~ súlyos, erős, nagy lándzsáját, mellyel leigázza	-0.147423
Tiến thẳng tới khách lạ, Telemachos nắm tay phải, đỡ thương đồng, ngỏ lời chào đón thân tình.	hősök hadsorait, haragossuk, erős atya lánya. ~~~ Útnakeredt, az olümposzi csúcsrol alászökkenve,	-0.0189474
Telemachos nói lớn, lời như có cánh bay xa: "Kính chào quý khách!	majd Ithakába megállt, Odüszeusz kapujának előtte,	0.211765
Bước vào tệ xá xin quý khách tự nhiên như ở nhà; trước hết mời dùng bữa; sau đó cho ngô bối hay cần gì nên tới đây."	udvari házküszöbön, markában a rézkelevézzel, ~~~ mint Mentész, ki barátjuk volt s fejedelme Taphosznak.	-0.0435
Nói rồi Telemachos đi trước dẫn đường, Pallas Athena theo sau.	És a vitéz kérőkre talált tüstént, kik az ajtón	0.1875
Vừa vào đại sảnh cao rộng Telemachos cầm ngay thương cắm trên giá gỗ bóng lộn bên cạnh vô số thương Odysseus dũng cảm thường dùng.	kívül, kocka vetésével, szivüket viditották, ~~~ ültek az ökrök bőre fölött, melyeket maguk öltek;	-0.0704082
Sau đó dẫn nữ thần tới chiếc ghế chạm trổ ngoạn mục, Telemachos lấy vải mỏng mịn phủ lên mời an tọa, cùng lúc kéo ghế đẩu để nữ thần đặt chân.	köztük a hírnökök és a serény szolgák raja sürgött, ~~~ voltak, akik keverőkben a bort vízzel vegyitették,	-0.0946602
Phần mình Telemachos kéo ghế bành trang trí hoa mỹ, cách khá xa đám cầu hôn, sợ khách lạ khó chịu, ăn không ngon miệng, vì tiếng ồn ào bỗng dưng thấy mình giữa đám đông lỗ mãng.	mások az asztalokat mosták lukacsos szivacsokkal ~~~ és elibük tették, vagy a sok-sok húst szeletelték.	-0.148438
Ngoài ra Telemachos muốn hỏi khách lạ về thân phụ biệt tăm biệt tích bấy lâu.	Isteni Télemakhosz pillantott rá legelőször; ~~~ mert ott ült köztük, kedves szívét keserítve,	-0.0123529
Đúng lúc đó nữ tỳ hầu phòng đi vào hai tay bưng bình bằng vàng xinh xắn đầy nước, đổ xuống chậu bằng bạc để hai người rửa tay.	s látta derék apját lelkében, hátha betoppan ~~~ még valahonnan, e kérőket szétszórja a házban,	-0.086413
Quản gia đĩnh đạc kéo chiếc bàn bóng lộn tới bên cạnh, bày bánh mì, vô số thức ăn sửa soạn từ trước.	s tiszteletet kapván, házában uralkodik aztán. ~~~ Ezt képzelte a kérők közt, s meglátta Athénét;	-0.0351064
Đầu bếp nhanh nhẹn nâng khay khỏi giá đầy thịt nhiều thứ đem ra mời từng người.	ment egyenest kapujukhoz, mert bántotta a lelkét, ~~~ hogy vendége az ajtónál áll hosszan; eléállt,	-0.00163043
Tiếp theo đặt cúp bằng vàng bên cạnh, lệnh sứ nhanh nhảu rót vang đầy ắp, hết một vòng lại sáp tới rót thêm.	megfogván jobbját, átvette az érchegyü dárdát, ~~~ és őt megszólítva, ilyen szárnyas szavakat szólt:	-0.033
Dáng vẻ kênh kiệu lần lượt đi vào, đám cầu hôn ngồi thành hàng trên ghế thường, ghế bành.	"Üdvözlégy, idegen, szivesen fogadunk; legelőször ~~~ végy lakománkban részt, azután mondd el, mi a célod."	0
	Így szólt és bevezette: Athéné ment a nyomában.	-0.3
	És amikor bent voltak már a magas palotában,	-0.3
Lệnh sứ dội nước để đám này rửa tay, nữ tỳ bỏ bánh mì vào rổ đem để bên cạnh trong khi gia nhân pha vang với nước xấp xỉ miệng bình.	mennyezetig meredő oszlophoz tette a dárdát, ~~~ szépregyalult kelevéztartó közepébe, ahol már ~~~ tűrőlelkü Odüsszeusz sok dárdája is állott,	-0.157895
Đám này đưa tay với thức ăn ngon lành bày trước mặt.	s székre leültetvén, teritett szőttest is a székre,	0.246
Sau khi dằn cơn đói, chặn cơn khát thỏa thuê, đám này quay ra nghĩ tới nhu cầu khác, âm nhạc, khiêu vũ để bữa tiệc thêm phần vui nhộn, thích thú.	mesteri műre, amelynek lábtól zsámolya is volt. ~~~ S vitte saját faragott székét oda, távol az összes	-0.0947368
Lệnh sứ mang đàn cy-tha xinh xắn đặt vào tay Phemios, thi sĩ ca công cất giọng biểu diễn mua vui trước mặt đám này mà lòng chẳng thích.	kérőktől, hogy a vendéget ne zavarja a lárma ~~~ s meg ne elégeljen sok dölyfös közt lakomázni, ~~~ és hogy messzeszakadt apjáról kérdeni tudja.	-0.158889
Thi sĩ ca công vừa trổi mấy nốt mở đầu ca khúc thú vị, Telemachos ngả đầu sát tai để người khác không nghe tiếng nói nhỏ với trinh thần mắt xanh lam lục: "Thưa, chẳng hay quý khách có buồn lòng nếu bản nhân bộc bạch đôi điều?	Hozta a szolgaleány a vizet s öntötte kezükre, ~~~ szép szinarany kancsót az ezüst tálkába ürítve, ~~~ hogy kezüket mossák, s a gyalult asztalt odatolta.	-0.257292
Quý khách chứng kiến tận mắt đám người ngồi kia không nghĩ gì mà chỉ bận tâm với âm nhạc, ca hát.	Majd meg a tisztes gazdasszony közibük kenyeret vitt, ~~~ és sok jó eledelt, s ami volt, osztotta örömmel;	-0.0221053
Ôi chao! ~~~ Muốn vậy dễ như trở bàn tay!	mindenfajta husokból vitt pecsenyét a husosztó,	-0.0104651
Bởi chúng sống phè phỡn trên đầu trên cổ người khác, người phơi xương dưới mưa tầm tã trên đất lạ xa xôi hay lăn lộn trong sóng biển ngút trời.	tálat emelve, s arany poharat tett mindjük elébe; ~~~ s töltögető hírnök lépdelt szaporán közelükbe. ~~~ S most a vitéz kérők jöttek befelé.	-0.165306
Ôi chao!	Azután meg	0.233333
	széken, karszéken sorban mind megtelepedtek,	-0.3
	hírnökök öblítő vizet öntöttek kezeikre,	-0.3
	szolgálók kenyeret raktak kosarakba tetézve,	-0.3
	s minden borkeverőt peremig töltöttek az ifjak.	-0.3
	S ők kirakott kész étkek után kezüket kivetették.	-0.3
	Majd miután elverték végül az éhet, a szomjat,	-0.3
	akkor a kérőknek más gond kélt már a szivükben,	-0.3
Ờ phải rồi, chỉ thoáng thấy người đó ở Ithaka, tất cả sẽ cầu mong có cặp chân thoăn thoắt hơn là thấy vàng bạc nặng trĩu hay áo quần lượt là, diêm dúa!	énekszó és tánc, mely a víg lakomák koronája; ~~~ hát gyönyörű kitharát helyezett a kezébe a hírnök ~~~ Phémíosznak, a kérők kényszerü énekesének.	-0.172727
Nhưng xem ra người đó không còn nữa mà đã chấm dứt cuộc đời một cách đáng thương.	Ő meg a húrba kapott s kezdett is zengeni szépen, ~~~ s Télemakhosz megszólította bagolyszemü Pallaszt,	-0.00159574
	hozzá hajtva fejét, hogy a többi ne értse, amit mond:	-0.3
	"Jó idegen, mondd, megharagudsz-é, hogyha kimondom?	-0.3
	Látod, ezeknek egyéb gondjuk sincs, lant szava s ének;	-0.3
	könnyü nekik, hisz a más vagyonát boszulatlan emésztik,	-0.3
Không ai trên trần gian đem lại chút an ủi kể cho ngô bối hay người đó sẽ trở về.	s néki fehér csontját valahol rothasztja a zápor, ~~~ míg a mezőn fekszik, vagy a vízben hányja a hullám.	-0.0117978
	Hisz csak látnák őt, hogy még hazatér Ithakába,	-0.3
Ngày ấy đã vĩnh viễn ra đi!	mindegyikük jobban sóvárgana fürge inakra,	0.183871
	mint bőségre, aranyra s a nagyszerü öltözetekre.	-0.3
Dẫu thế xin thành thật cho bản nhân hay quý khách là ai?	Csakhogy a rossz sors őt bizony elveszitette, nekünk sincs	0.271698
	már vigaszunk, ha beszéli is egy s más földi halandó,	-0.3
	hogy megjön; hazatértének már napja enyészett.	-0.3
	Most pedig áruld el nekem azt és szólj egyenes szót:	-0.3
Từ đâu tới?	honnan jössz te, ki vagy?	0.16875
Thành phố nào?	hol a városod és a szülőid?	0.123529
	míly bárkán jöttél ide, és Ithakába hajósok	-0.3
Song thân ra sao?	hogy hoztak?	0.2
Vì chắc chắn không thể cuốc bộ, thuyền nào đưa quý khách tới đây?	s magukat kiknek vallják dicsekedve? ~~~ mert hisz hogy gyalog érkeztél ide, vélve se vélném.	-0.0177632
	S mondd nekem azt is el őszintén, hadd tudjam egészen:	-0.3
Làm thế nào tay chèo đưa quý khách lên bờ ở Ithaka?	most legelőször jössz hozzánk, vagy az édesapámnak	0.276471
	voltál már vendége, hiszen jártak palotánkban	-0.3
Họ là người đất nào?	jó sokan, és ő is forgott házába sokaknak."	0.133333
	Mondta az istennő ismét, a bagolyszemü Pallasz:	-0.3
Nói thật, bản nhân muốn biết đầy đủ, phải chăng quý khách tới Ithaka lần đầu, hay trước kia thân phụ bản nhân đã tiếp đón?	"Mindezeket neked én megmondom igaz szavaimmal. ~~~ Harcias Ankhialoszt vallom dicsekedve apámnak, ~~~ és a nevem Mentész, evezős Taphoszon vagyok én úr.	-0.151613
Ông thường đón tiếp khách bạn ở nhà y như ông hay đi chơi thăm viếng thân hữu!"	S most ide érkeztem bárkámon az embereimmel, ~~~ borszinü tengeren át idegenszavu néphez utazva,	-0.00344828
"Bỉ nhân sẽ kể, kể thành thật mọi điều công tử hỏi," nữ thần Athena mắt xanh lam lục đáp.	mert Temeszába megyek rézért ragyogó vasat adni. ~~~ Bárkám meg kint áll, várostól távol, a parton,	-0.0143617
"Bỉ nhân là Mentes, công tử hoàng thân Anchialos tính tình thận trọng.	Rheithron-öbölben, az erdős-lombos Néion alján. ~~~ És vendégi barátoknak valljuk mi magunkat	-0.0324324
Bỉ nhân là thủ lĩnh người Taphian, tay chèo lành nghề.	még az apákról; csak kérdd meg, ha kivánod, az agg hőst,	0.266038
	Láertészt, akiről mondják, hogy már soha nem jön	-0.3
Tới Ithaka bỉ nhân dùng thuyền của mình cùng tay chèo vượt biển màu đen đậm.	városotokba, de messzi tanyáján tűri a sok bajt, ~~~ vén szolgálójával, elébe ki étket, italt rak,	-0.0141176
Trực chỉ bến Temese gặp người nói tiếng xa lạ, chở sắt óng ánh, ngô bối muốn đổi lấy đồng.	mindig, hogyha a fáradtság megszállja a testét, ~~~ míg viruló szőlősligetében csúszva botorkál.	-0.0189474
Thuyền bỉ nhân không đậu gần thành phố, mà neo mãi đằng kia ngoài cánh đồng trong vũng Rheithron dưới rừng Neion cây cối um tùm.	Most idejöttem, mert mondták: már itthon időzik ~~~ édesapád; de talán elzárja egy isten az útját; ~~~ mert nem halt meg a földön az isteni fényes Odüsszeusz,	-0.140816
Do di truyền từ thời xa xưa thân phụ công tử và thân phụ bỉ nhân coi nhau như khách-bạn.	él, de körülveszi őt valamerre a tágterü tenger ~~~ hullámvert szigeten; a vad férfiak őrzik erősen,	-0.00159574
Nếu công tử tới gặp hỏi chuyện, lão nhân tăm tiếng Laertes sẽ kể đầu đuôi.	harciasak, kik az elvágyódót el nem eresztik. ~~~ S most neked én kijelentem a jósszót, mit kebelembe	-0.00689655
	vetnek az égilakók, s amiről hiszem is, hogy igaz lesz,	-0.3
	bár jós nem vagyok és madarakhoz nem sokat értek.	-0.3
Bởi bỉ nhân biết lão nhân không ra thành phố nữa, mà sống cuộc đời cực nhọc trong nông trại hẻo lánh miền quê, lòng buồn rười rượi, nữ tỳ già nua giúp việc, săn sóc miếng ăn, chăm lo thức uống khi lão nhân lên vườn nho trên đồi nai lưng làm lụng, gối mỏi chân chồn mới trở về.	Nem marad ő már hosszan a hőnszeretett honi földtől ~~~ messze, de még úgy sem, ha kemény vas nyűge nyügözné: ~~~ majd kitalálja, hogyan jőjjön haza, hisz leleményes.	-0.295192
Bỉ nhân tới đây vì nghe người ta nói người ấy đã trở về, bỉ nhân muốn nói thân phụ công tử, nhưng có thần linh ngăn đường cản lối.	Most pedig áruld el nekem azt és szólj egyenes szót: ~~~ néki magának, Odüsszeusznak szép szál fia volnál? ~~~ Mert a fejed formája s a szép szemed annyira rávall,	-0.151515
Bởi Odysseus vương giả không chết, mà vẫn sống đâu đó trên trần gian.	hisz sűrűn jártunk egymáshoz az édesapáddal, ~~~ még mielőtt Trójába elindult, merre a többi	-0.0230769
Ông ở cuối biển xa xôi trên cô đảo hai bờ, đám người bất trị, man rợ dùng bạo lực giữ ghịt không cho đi.	legderekabb argív is eredt a nagyöblü hajókon; ~~~ attól kezdve apád nem látott, én sem apádat."	-0.0466667
Không phải thầy đoán, không phải tiên tri thông thái, song khẳng định với công tử điềm triệu thần linh bất tử nhẹ gieo vào lòng, bỉ nhân tin chắc điều đó sẽ xảy ra.	Erre a jóeszü Télemakhosz neki válaszul így szólt: ~~~ "Megmondom neked ezt, vendég, őszinte beszéddel.	-0.130102
Thân phụ công tử sẽ không biệt xứ tha phương xa cách vùng đất ông mến yêu hết lòng lâu nữa, dù bị giam giữ bằng xích sắt.	Édesanyám őt mondja apámnak; nem tudom én azt: ~~~ hisz még senki se tudta, miképen esett születése. ~~~ Bár valamely boldog bajnoknak gyermeke volnék,	-0.145161
	kit maga birtoka közt, palotáján ér az öregkor.	-0.3
Ông sẽ nghĩ cách trở về, vì là người trăm mưu ngàn chước.	Ám ki a legnyomorultabb sorsú földi halandó, ~~~ én attól vagyok, azt mondják, ha föladtad e kérdést."	-0.0403846
Bây giờ xin nói cho hay và trả lời chính xác.	Mondta az istennő ismét, a bagolyszemü Pallasz:	0.286667
	"Lásd, nem akarták, hogy törzsed jóhíre kivesszen,	-0.3
Có thực công tử là con Odysseus không?	isteneink, ha ilyennek szült meg Pénelopeia.	0.285
