Charles Dickens	﻿Charles Dickens	1.24
Nếu chúng ta không tin chắc cha của Hamlet đã qua đời trước khi vở kịch bắt đầu, sẽ chẳng có gì khác thường trong việc ông ta lang thang suốt đêm trên thành lũy của mình trong ngọn gió đông, hơn là ở một nơi hiu hiu gió - ví dụ như nghĩa trang St Paul chẳng hạn - làm tâm trí ốm yếu của con trai ông bàng hoàng.	Hiszen, ha nem tudnók biztosan, hogy Hamlet apja már az előadás kezdete előtt meghalt, csavargását a viharos éjszakában a bástyák körül szóra sem méltatnánk. ~~~ Akármelyik idősebb úriember kószálhat végül alkonyat után valami vidám forgalmas utcán vagy - akár a Szent Pál-téren is, anélkül, hogy gyermeke gyenge szívét halálra rémítené.	0.0572293
Scrooge không bao giờ xóa tên ông già Marley. ~~~ Bao năm sau, tên ông ta vẫn còn đó, bên trên cửa kho hàng: Scrooge và Marley.	Minthogy Scrooge nem kaparta le az öreg Marley nevét a cégtábláról, még évek múlva is az állott a boltajtó felett: Scrooge és Marley.	0.164208
Tên công ty là Scrooge và Marley.	Mindenki ezen a néven ismerte a céget.	0.271875
Thỉnh thoảng, những người mới đến giao dịch gọi là Scrooge Scrooge, đôi khi là Marley, nhưng ông ta trả lời cả hai tên.	Az ügyfelek olykor Scrooge-nak, máskor Marleynek szólították Scrooge-ot.	0.0591549
Với Scrooge, đằng nào cũng thế cả mà thôi.	Mindkét névre egyformán hallgatott.	0.2
Nhưng chao ôi!	Nyilván mindegy volt neki.	0.1
Trong công việc ông già Scrooge là một tay keo cú, biển lận, bắt mọi người làm việc không ngơi!	De ha arról volt szó, hogy valakit, akit körme közé kaparintott, megkopasszon, akkor Scrooge nem ismert kíméletet.	0.454902
Một lão già phạm tội vắt cổ chày ra nước, vồ lấy, bóp nặn, thèm thuồng!	Az üzletfelet megzsarolni, kiforgatni, térdrekényszeríteni, utolsó cseppig kipréselni, ehhez valóban pompásan értett a vén bűnös!	0.137349
Rắn và sắc như một viên đá lửa, chẳng cần thép cũng bật ra ngọn lửa tưng bừng; Kín đáo, cô độc và lẻ loi như một con hàu.	Kemény és éles volt, mint a nyers kavics, amiből semmiféle acél nem képes kicsikarni a nemesebb érzésnek egyetlen szikráját sem. ~~~ Titokzatos, zárkózott és magános volt, mint egy osztriga.	-0.018595
Sự lạnh lùng trong con người đã làm nét mặt Scrooge đông cứng, mũi quắp lại nhọn hoắt, gò má nhăn nheo, dáng đi cứng nhắc; mắt đỏ ngàu, đôi môi mỏng tái nhợt, nói năng sắc sảo bằng giọng kèn kẹt.	A lényéből áradó hidegség megfagyasztotta arcvonásait, barázdákat szántott bőrébe, kivörösítette szemhéjait és kékre festette keskeny száját, amit ha szóra nyitott, nyekergő, visszataszító hang hagyta el ajkát.	0.290047
Vẻ lạnh lẽo băng giá trên đầu, trên lông mày và cái cằm rắn chắc.	Haja, szemöldöke és borostás álla is fagyos-deres volt.	0.183333
Thân nhiệt của ông ta luôn thấp, làm văn phòng mát lạnh trong những ngày nóng bức nhất và vào dịp Giáng sinh rất rét.		-0.3
Bên ngoài nóng hay lạnh chẳng ảnh hưởng gì mấy đến Scrooge.	Ezt a fagyos klímát mindenüvé magával vitte.	0.143182
Không hơi ấm nào có thể làm ông ta ấm lên, thời tiết mùa đông không làm ông ta thấy rét mướt.	Kutya-hideg áradt szét boltjában és a karácsonyeste sem volt képes őt magát és környezetét egy fokkal sem felmelegíteni.	0.258824
Không ngọn gió nào khiến ông ta thấy rét hơn, tuyết rơi, mưa như trút chẳng hề hấn gì đến mục tiêu của ông.	Hőség és fagy hidegen hagyták. ~~~ A kánikula sem tudta felhevíteni, a zimankó se vacogtatta meg.	-0.0505618
Thời tiết xấu không bén mảng đến nơi có ông.	Nem volt szélvihar, ami fagyosabb lett volna, s a szakadatlanul zuhogó eső sem volt kérlelhetetlenebb nála.	0.0346154
Mưa rào, tuyết rơi, mưa đá, mưa tuyết chỉ có thể khoe khoang lợi thế với ông trong một khía cạnh duy nhất.	Jégverés, égiháború, zúzmara, dér, hóvihar, mintha csak jelzői lettek volna fanyar egyéniségének.	0.251515
Chúng thường "trút xuống" một cách hậu hĩ, còn Scrooge chẳng bao giờ "trút" đi thứ gì.	Az elemek megnyilvá­nulásai közül legfeljebb a jótékony tavaszi esővel nem lehetett őt vonatkozásba hozni, hiszen Scrooge bármi volt inkább, mint jótékony.	0.287943
Trên đường phố, không người nào dáng bộ vui vẻ ngăn ông lại và nói:	Magános sétáin senki sem állította meg, senki sem mondta: - Hogy van, kedves Scrooge?	0.296104
– Scrooge thân mến, ông có khỏe không?	Nem látogatna meg egyszer?	0.06
	- Még a koldusok is messze elkerülték és nem akadt gyermek, aki megkockáztatta volna, hogy: - Bácsi, kérem, hány óra van?	-0.3
Lúc nào đến nhà tôi chơi nhé?	- kérdéssel útját állja.	0.233333
Với ông già Scrooge ấy, không người hành khất nào dám xin ông một xu, không đứa trẻ nào hỏi ông mấy giờ, cả đời ông chưa một người đàn ông hoặc đàn bà nào hỏi thăm đường đến nơi này nơi kia.	Soha életében nem történt Scrooge-al, hogy férfi vagy asszony megkérdezte volna, merre van ez, vagy az az utca vagy tér.	0.00825688
Ngay cả những con chó của những người mù cũng có vẻ biết ông, nhìn thấy ông đi đến, chúng kéo giật chủ dạt vào các ngưỡng cửa hoặc mảnh sân nhà, chúng ve vẩy đuôi như muốn nói: "Thà chẳng nhìn thấy gì còn hơn thấy cái nhìn độc ác, ông chủ ạ!".	Még a vak koldus kutyája is dühösen mordult rá, ha megpillantotta, mintha csak azt mondta volna: "Világtalan gazdám, az örök sötétségnél is rosszabb ez a sötét tekintet!"	0.091875
Nhưng Scrooge cần quái gì?	Ám Scrooge-nak jó volt ez így!	0.289286
Đấy chính là điều ông ta thích. ~~~ Con đường của ông men theo những con đường đông đúc của cuộc sống, đề phòng mọi cảm thông của người đời, giữ thái độ xa cách, những thứ đó khiến những người hiểu biết gọi Scrooge là "tay khó nhằn".	Nem is akart mást, mint észrevétlenül, minden emberi érzés és kapcsolat nélkül lopakodni át az életen.	-0.195455
Từ lâu lắm rồi, - mọi ngày nghỉ trong năm, vào đêm trước lễ Giáng sinh -, ông già Scrooge ngồi, bận bịu trong phòng tài vụ.	Egyszer egy este - éppen szent karácsonyeste volt - az öreg Scrooge javában dolgozott az iro­dájában.	0.531665
Thời tiết lạnh lẽo, ảm đạm, buốt giá, lại thêm sương mù, và ông có thể nghe thấy những người ở ngoài sân đi lại, thở khò khè, đập đập hai bàn tay vào ngực, giậm giậm chân lên những tảng đá lát cho đỡ cóng.	Csípős hideg idő volt, hozzá még köd is terjengett. ~~~ Behallatszott, amint a járó­ke­lők keményen topogtak, átfagyott lábukat melegítették.	-0.101439
Đồng hồ của thành phố mới chỉ quá số ba, vậy mà trời đã tối mịt - suốt ngày không có lấy một tia sáng -, những ngọn nến cháy sáng trên cửa sổ các văn phòng gần đó, giống như những vệt đỏ trên nền không khí màu nâu.	A toronyóra épphogy elütötte a hármat, de már sötét volt; úgyszólván egész nap nem is volt világos. ~~~ A szomszédos ablakok­ban már gyertyalángok lobogtak, mint imbolygó vörös fantomok.	-0.0519553
Sương mù tràn vào từng khe hở và lỗ khóa, dày đặc đến mức mặc dù mảnh sân là hẹp nhất rồi, vậy mà những ngôi nhà đối diện trông chỉ lờ mờ như những bóng ma.	A köd beszivárgott a réseken és kulcslyukakon és odakint olyan sűrű volt, hogy a szűk kis udvar túlsó végében álló házaknak csak kísérteties árnyalakja látszott.	0.257962
Nhìn những đám mây xám xịt rũ xuống, che mờ mọi vật, người ta có thể nghĩ tạo hóa thật khắc nghiệt, và đang trù tính một việc rất xấu.	A sűrűn leereszkedő ködfelhő olyan volt, mintha óriás sör­főzőüst nehéz párája lenne.	0.0933333
Cánh cửa phòng tài vụ của Scrooge mở, để ông ta có thể để mắt đến người thư ký trong một căn phòng bé tẹo, tối tăm như một cái bể, đang sao chép thư từ.	Scrooge nyitvahagyta irodájának ajtaját, hogy szemmel tarthassa segédjét, aki sötét kis odujában leveleket másolt.	0.340541
Lò sưởi của Scrooge rất nhỏ, nhưng lò sưởi của viên thư ký còn nhỏ hơn rất nhiều, trông như một hòn than.	A főnöki szobában sem égett valami nagy tűz, de a segéd szobájában már csak egy darab szén maradék parazsa pislogott.	0.280909
Nhưng ông ta không thể cho thêm than vì Scrooge cất thùng than trong phòng ông ta; chắc chắn là nếu viên thư ký có cầm xẻng vào phòng, ông chủ sẽ báo ngay rằng họ cần chia tay nhau.	A szenesláda Scrooge szobájában volt, és ha a didergő segéd arra vetemedik, hogy egy lapát szénért menjen, az öreg holtbiztos rámordul, hogy keressen magának másik állást.	0.37037
Vì thế, người thư ký đành quấn nguyên cái khăn quàng cổ màu trắng và cố làm ấm người lên cạnh ngọn nến, dù chẳng cần là người có trí tưởng tượng phong phú gì cũng thừa biết có cố đến mấy, ông ta vẫn thất bại.	Így tehát szegény feje nem tehetett mást, mint bebújt kötött lélekmelegítőjébe és a gyertya lángjánál próbálta melengetni magát. ~~~ Szegényes fantáziájú ember létére, nem sok sikerrel.	-0.044837
– Chúc bác Giáng sinh vui vẻ! ~~~ Chúa phù hộ bác!	- Boldog karácsonyi ünnepeket, bácsikám, minden jót kívánok!	-0.0194444
- Một giọng phấn khởi kêu to.	- kiáltotta hirtelen egy vidám hang.	0.719481
Đó là tiếng cháu trai của Scrooge, anh ta bước vào nhanh đến mức ngay từ tiếng báo hiệu đầu tiên đã thấy anh ta đến gần.	A hang Scrooge unokaöccséé volt, aki oly észrevétlenül lépett be, hogy az öreg csak a mondókájára figyelt fel.	0.222857
– Chà! ~~~ - Scrooge nói. ~~~ - Láo toét!	- Hagyjuk ezt a szamárságot, - mondta mogorván.	0.087037
Người cháu của Scrooge đã phải hâm nóng người bằng cách đi bộ nhanh trong sương mù và giá rét, nên toàn thân nóng bừng.	A fiatalember a fagyos ködben, úgy látszik, sietve jött és úgy kimelegedett, hogy most kipirult arccal, csillogó szemmel állt az öreg előtt.	0.297674
Bộ mặt anh hồng hào và điển trai, cặp mắt lấp lánh, hơi thở bốc khói.	Forró lehelete látható páraként lebegett csinos álla körül.	0.211475
– Kìa bác, Giáng sinh mà láo toét ư!		-0.3
- Người cháu nói. ~~~ - Cháu chắc bác không định nói thế chứ?	- De bácsikám, csak nem akarod azt mondani, hogy a karácsony szamárság.	0.15
– Tao nói thế đấy, - Scrooge đáp.	Ezt magad sem gondolod komolyan.	0.186207
- Giáng sinh vui vẻ!	- De mennyire!	0.888462
Vui cái nỗi gì?	Boldog karácsony!	0.282353
Mày có lý do gì mà vui, hả?	Tán te is boldog vagy?	0.18
Mày khá là nghèo.	Mi okon? ~~~ Mi jogon?	-0.00833333
– Kìa bác, - người cháu hoan hỉ đáp lại.	Egy ilyen ágrólszakadt szerencsétlen flótás, aki szegény, mint a templom egere.	0.134694
- Bác buồn cái nỗi gì kia chứ? ~~~ Bác có lý do gì mà rầu rĩ? ~~~ Bác khá là giàu.	- Most megfogtalak - válaszolt a fiú még mindig incselkedő hangon - ha a boldogság csak pénzkérdés volna, te igazán nem lehetnél ilyen mogorva és elégedetlen.	-0.235484
Tình thế ấy khiến Scrooge thà không trả lời còn hơn, ông ta nói lần nữa:	- Scrooge nem sokat törte a fejét, hogy a fiúnak valami szellemes választ adjon, hanem egyszerűen csak legyintett:	0.385331
– Chà!	- Hagyd már abba ezt a szamárságot.	-0.225
- Rồi, tiếp theo là, - Bịp bợm!	- Ne mérgelődj, bátyám, - mondta szeliden a fiú.	0.860784
– Đừng trái khoáy thế, bác!	- Már hogyne mérgelődnék, mikor a világon annyi ostoba fickó jár-kel szabadon!	-0.025
- Người cháu nói.	Boldog karácsony!	0.266667
– Thì tao còn biết làm gì nữa, - ông bác đáp, - khi tao sống trong một thế giới đầy những chuyện lừa phỉnh như thế này?	Már hogy az ördögbe lehet, mondjuk a te számodra boldog? ~~~ Boldogság talán, hogy egy csomó kiadásod van és egy garasod sincs?	-0.0234783
Giáng sinh vui vẻ cái cóc khô!	Vagy hogy egy évvel idősebb lettél és egy fillérrel sem gazdagabb?	0
Xéo đi với cái Giáng sinh vui vẻ!	Hogy esztendőd mérlege csupa veszteség?	0.265714
Với mày, dịp Giáng sinh là lúc phải thanh toán mọi hóa đơn mà không có tiền, là lúc mỗi năm thấy mình già hơn, không có một giờ giàu có hơn, là lúc cho mày cân đối sổ sách, xem xét từng khoản trong suốt mười hai tháng có gì uổng phí không?		-0.3
Nếu tao có thể điều khiển được ý chí, - Scrooge nói, phẫn nộ, - thì mỗi thằng ngốc nào đến chúc "Giáng sinh vui vẻ", đáng luộc nó cùng cái bánh pút-đinh của nó và chôn cùng cái cọc nhựa ruồi xuyên qua tim. ~~~ Nó đáng thế lắm!	Nos, ha rajtam múlik, mindenkit, aki boldog karácsonyt emleget, a betlehemes jászol elé kötnék, ha ugyan nem mindjárt a saját karácsonyfájára akasztanám fel.	-0.075
– Kìa bác!	- De bátyám!	0.230769
- Người cháu năn nỉ.	- De öcsém!	0.75
– Này cháu! ~~~ - Ông bác đáp lại nghiêm khắc, - Hãy ăn mừng Giáng sinh theo kiểu của cháu, và để mặc ta theo kiểu của ta!		-0.3
– Ăn mừng! ~~~ - Người cháu nhắc lại.	- mondta az öreg szemmel láthatóan türelmét vesztve.	0.116667
- Nhưng bác có làm gì đâu!	- Hagyj most már békén.	0.734783
– Vậy hãy mặc xác ta.	Úgy ünnepelem a karácsonyt, ahogy nekem tetszik.	0.107143
- Scrooge nói.	- Hiszen, ha megünnepelnéd.	0.771429
- Mày muốn làm gì thì tùy! ~~~ Cứ làm như mày đã làm!	De inkább csak káromlod - válaszolta az unokaöccs.	0.0803571
– Cháu dám nói có nhiều việc cháu làm vì thiện chí, chứ không phải vì lời lãi, - người cháu đáp.	- No, de most már elég legyen öcsém, légy boldog karácsonyoddal, hozzon neked most is annyi hasznot, amennyit eddig hozott.	0.44013
- Lễ Giáng sinh chẳng hạn.	- Vannak dolgok, amikből sohasem húztam hasznot, noha megtehettem volna - ilyen a kará­csonyi ünnep is!	0.0561576
Chắc chắn cháu luôn nghĩ đến dịp Giáng sinh khi sắp đến, ngoài sự sùng kính danh tính, nguồn gốc thiêng liêng và bất cứ những gì liên can đến nó, đây là thời gian duy nhất trong năm rất thoải mái, hầu như là thời gian khoan dung, từ thiện và vui vẻ, dường như khi ấy cả đàn ông lẫn đàn bà đều được người khác hào phóng cởi mở nỗi lòng, nghĩ đến những người bề dưới như thể họ là bạn đường thực sự trên đường sang thế giới bên kia và không còn là cuộc đua của con người trong các cuộc hành trình khác.	Ha a karácsonyünnep közeledett, világosan éreztem és tudtam, hogy az év legszebb időszakához értem. ~~~ Mert ez az ünnep - eltekintve szent jelentőségétől és eredetétől, ha ugyan el lehet ettől tekinteni - a megértés, a szeretet, a jótékonyság áldott ünnepe volt számomra. ~~~ Ünnep, amelyen férj és feleség háznépükkel együtt megnyitják szívüket és jobban érzik, mint bármikor, hogy nem önös érdek utalja őket egymásra, hanem rendeltetésszerűen lettek utitársakká az életúton, hogy kitartsanak egymás mellett a sírig!	-0.139447
Vì thế, bác ơi, dẫu chẳng bao giờ cháu có một mẩu vàng hoặc bạc trong túi, cháu vẫn tin rằng nó đã và sẽ làm cháu vui vẻ và nói, cầu Chúa ban phúc cho nó!	Egy morzsányi aranyat, egy ezüstszilánkocskát nem juttatott nekem soha karácsonyom és lám, mégis hiszem, hogy jót tett velem és boldoggá tett mindig!	0.248571
Viên thư ký ngồi trong cái bể kia bất giác vỗ tay.	Isten áldása legyen szent ünnepén!	0.145714
Ngay khi hiểu ra là một hành động không phải phép, ông ta chọc lò và làm tàn lửa mỏng manh cuối cùng tắt ngóm.	A segéd odújából elfojtott, de észrevehető tetszésnyilvánítás hallatszott.	0.15
– Ta nghe thấy một tiếng động khác của anh, - Scrooge nói, - và anh sẽ tổ chức Giáng sinh của anh bằng cách mất việc!	Szegény feje, zavará­ban olyan hevesen kezdte piszkálni a kis maradék parazsat, hogy az egyet pislantva, végképp kialudt, miközben zord főnöke ráreccsentett: - Még egy szó!	0.332707
Còn cậu diễn thuyết hùng hồn lắm, - ông ta nói thêm và quay sang người cháu.	És álláskereséssel ünnepelhet!	-0.114706
- Ta không biết vì sao cậu không vào Nghị viện.	- Aztán öccséhez fordult:	0.623077
– Bác đừng giận.	- Micsoda szónok veszett el benned!	0.216
Ngày mai mời bác đến ăn tối với chúng cháu.	Nem kár ily képességeket elvesztegetni?	0.223077
Scrooge nói ông ta sẽ gặp anh ta ở…- Ờ, mà quả thực ông ta đã gặp rồi.	Tulajdonképpen a parlamentben volna a helyed!	0.0428571
Ông ta thể hiện rõ ràng cảm xúc của mình và nói rằng cùng lắm mới đến thăm cháu.	- Ne mérgelődj, kedves bátyám, jer inkább holnap el hozzánk!	0.134483
– Nhưng vì sao kia ạ?	Szívesen látnánk ünnepi ebédre.	0.207692
- Người cháu thốt lên.	- Engem akartok vendégül látni?	0.742308
	Lássátok inkább az öreganyátok... - és végig is mondta a káromkodást a maga meglehetős cifrán kacskaringós mivoltában.	-0.3
- Vì sao?	- De miért?	0.983333
– Tại sao mày lấy vợ?	- kérlelte a fiatalember. ~~~ - Miért?	-0.0258621
- Scrooge nói.	- Miért?!	1.18
	Miért kellett megnősülnöd?	-0.3
– Vì cháu yêu.	- Mert szerelmes voltam.	0.27
– Vì cháu yêu!	- Szerelmes voltál!	0.284211
- Scrooge làu bàu, dường như đó là thứ duy nhất trên đời nực cười hơn một Giáng sinh vui vẻ.	- mormogta Scrooge annyi megvetéssel, mintha ez a karácsonyi jókíván­ságoknál is nevetségesebb volna.	0.722511
	Majd türelmetlenül tette hozzá:	-0.3
- Xin chào!	- Még mindig itt vagy?	0.804545
– Không bác ạ, ngay cả trước khi cháu lấy vợ, bác cũng chưa bao giờ đến thăm cháu.	Nos, jóéjszakát! ~~~ - De bácsikám, miért mondod, hogy azért nem jössz el, mert megnősültem?	-0.0102273
Sao bây giờ bác lại viện đấy là lý do để không đến.	Hiszen nőtlen koromban sem jöttél soha hozzám. ~~~ - Jó éjszakát!	-0.005
– Xin chào, - Scrooge nói.	- ismételte Scrooge állhatatosan.	1.45862
– Cháu không muốn gì ở bác hết, cháu không xin xỏ gì bác, tại sao bác cháu ta không trở thành bạn bè?	- Nem kérek én tőled semmit, nem is várok tőled egyebet egy jó szónál. ~~~ Miért nem lehetnénk barátok?	-0.0234375
– Xin chào, - Scrooge nói.	De Scrooge csak rámordult ismét:	0.77931
– Cháu rất lấy làm tiếc thấy bác cương quyết như thế.	- Jó éjszakát! ~~~ - Szívből sajnálom, hogy ilyen makacs vagy.	-0.0206897
	De Isten látja lelkem, soha nem perlekedtem veled saját hibámból, Most sem akartam mást, mint szent karácsonyestén igazi rokoni érzéssel közeledni feléd.	-0.3
Bác cháu ta chưa bao giờ có chuyện tranh chấp.	De nem is tágítok ettől.	0
Nhưng cháu muốn tỏ lòng tôn kính lễ Giáng sinh và cháu sẽ tổ chức Giáng sinh vui đến cùng.	Csak azért is, boldog karácsonyünnepet kívánok!	-0.00625
Vì thế cháu chúc bác Giáng sinh vui vẻ!	- Alászolgája - dünnyögte fogai közt Scrooge.	0.270732
– Xin chào, - Scrooge nói.	- És sok szerencsét Újesztendőre!	0.748276
– Và Chúc mừng Năm mới!	- Alászolgája és künn tágasabb!	0.280645
– Xin chào, - Scrooge nói.	- felelte Scrooge mogorván.	1.46538
Ấy thế mà người cháu vẫn rời phòng không một lời giận dữ.	De öccse még erre sem jött ki a béketűrésből.	0.14
Anh ta dừng lại ở cửa ngoài, chúc mừng người thư ký vốn lạnh lùng nhưng còn nhiệt tình hơn Scrooge, vì ông ta cũng thân mật chúc lại.	Nyájas mosollyal húzta be maga mögött az ajtót, nem mulasztván el az előszobában kuporgó segédnek is boldog karácsonyt és szerencsés újévet kívánni, amint az, minthogy sokkal emberségesebb volt gazdájánál, hálásan viszonzott.	0.140559
Nghe lỏm được, Scrooge lầm bầm:	- Még egy fajankó - dohogta Scrooge.	0.263636
– Lại một thằng cha nữa, cái thằng thư ký của ta, mỗi tuần kiếm nhõn mười lăm silinh, phải nuôi vợ và cả gia đình, thế mà cũng nói Giáng sinh vui vẻ.	- Ez a segéd, ez a szerencsétlen flótás, heti tizenöt shillingjével szintén boldogságról és szerencséről beszél.	0.151351
Ta sẽ ra khỏi cái Nhà thương điên này!	Meg kell ebbe őrülni!	0
Cái Nhà thương điên vừa để cháu trai của Scrooge ra, lại có hai người khác vào.	Ezalatt a "szerencsétlen flótás" az ajtóig kísérte a főnök unokaöccsét és két újabb látogatót tessékelt befelé.	0.202326
Họ là hai quý ông đẫy đà, nom vui vẻ và lúc này, họ đứng trong văn phòng của Scrooge, mũ đã ngả.	Jólöltözött, biztos fellépésű úriemberek voltak és már ott is álltak levett kalappal Scrooge dolgozószobájában.	0.274038
Tay cầm sổ sách và giấy tờ, họ cúi chào ông.	Az egyik könyvet, a másik tekintélyes iratcsomót tartott kezében.	0.222
– Tôi tin đây là Công ty Scrooge và Marley, - một quý ông nói, và xem danh sách.	Mindketten mélyen meghajoltak.	-0.21
- Tôi có vinh hạnh gặp ông Scrooge hoặc ông Marley đây?	- Scrooge és Marley - ha nem tévedek - mondta a magasabbik, a kezében tartott iratról olvasva a cég nevét.	0.797571
– Ông Marley đã mất từ bảy năm nay, - Scrooge đáp.	- Scrooge úrhoz van szerencsém, vagy Marley úrhoz?	1.23617
- Ông ấy mất vào đúng đêm nay, cách đây bảy năm.	- Marley úr a legutóbbi hét évben csupán csendes társam volt.	0.527778
– Chúng tôi không hề nghi ngờ tính hào phóng của ông ấy cũng như của người cộng tác còn sống của ông ta, - một ông nói và đưa ra tờ ủy nhiệm.		-0.3
Lẽ tất nhiên là thế rồi, vì họ vốn là hai người tâm đầu ý hợp.	Oly csendes, hogy csendesebb már nem is lehetett volna.	0.146939
Scrooge cau mày vì cái từ "hào phóng" đáng ngại và lắc đầu rồi đưa trả tờ ủy nhiệm.	Éppen ma este hét éve, hogy meghalt.	-0.238235
– Thưa ông Scrooge, trong mùa lễ hội này, - một ông nói và rút bút ra, - hơn bao giờ hết, chúng ta nên cung cấp thêm chút ít cho những người nghèo đói và thiếu thốn, lúc này họ đang rất khổ.	- A megboldogult közismert jótékonysága és nemes áldozatkészsége bizonyára Önre szállott örökül - mondta a látogató ünnepélyesen és még mélyebben meghajolva, gyűjtőívet nyújtott át Scrooge-nak.	0.521586
Hàng ngàn người đang thiếu những nhu cầu thiết yếu nhất, hàng trăm ngàn người đang thiếu những tiện nghi tối thiểu, thưa ông.	A baljóslatú "jótékonyság" szóra Scrooge megvető mozdulattal tolta el maga elől az ívet.	0.111628
– Không kể các nhà tù chứ?	De a vendég nem zavartatta magát.	0.270968
	- Ma, a szeretet ünnepén ki kell nyújtanunk kezünket azok felé, akik adományainkra rászorultak - mondta kenetteljes hangon és már fel is vett az asztalról egy tollat s Scrooge felé nyújtva, folytatta:	-0.3
- Scrooge hỏi.	- Sok ezren éheznek és fáznak.	0.77
– Nhiều nhà tù, - ông ta nói và lại đặt bút xuống. ~~~ – Còn Liên đoàn các Nhà trừng giới?	Százezreknek egy tányér meleg levesre, egy jó falatra, egy karácsonyi fenyőágra sem telik.	-0.0313953
- Scrooge hỏi gặng.	- És mire valók a fegyházak?	0.814286
- Chúng vẫn hoạt động chứ?	- kérdezte Scrooge.	0.844737
– Vâng.	- A fegyházak?	0.276923
Vẫn hoạt động, - ông kia đáp, - Giá tôi có thể nói chúng không còn.	- ismételte a jövevény halkan és kissé leeresztette kezében a bemártott tollat.	0.514103
– Công việc lao dịch và Luật ủng hộ người nghèo vẫn có hiệu lực chứ?	- Igen, és a toloncház, az aggok háza, meg a szegényház, remélem, még működnek ezek a kiváló közintézmények?	0.221429
- Ông Scrooge nói.	- Sajnos, több dolguk van, mint kívánatos.	0.533333
– Cả hai vẫn còn hiệu lực, thưa ông. ~~~ – Chà!	- Ezt örömmel hallom, már attól tartottam, hogy tán szünetelnek vagy bezárták őket végképp.	-0.0827586
