Quo Vadis	QUO VADIS?	0.266667
Một lát sau, ông cất tiếng và mở mắt ra; ông bắt đầu hỏi han về thời tiết, sau đó về mấy viên ngọc chạm mà lão thợ kim hoàn Idomen đã hứa là hôm nay sẽ gửi tới cho ông xem… Thì ra, trời rất đẹp với gió nhẹ từ núi Anban thổi tới, còn số ngọc chạm thì vẫn chưa được mang đến.	Csak jó idő mulva nyitotta ki szemét, és a hallgatást megszakítva, az időjárás felől kérdezősködött s aztán megtudakolta, vajjon Idomen ékszerész elküldé-e megtekintés végett az igért gemmákat és ime kitünt, hogy az idő szép, gyönge szellő fuj az albai hegység felől, de az ékszerész a gemmákat nem hozta el.	0.348814
Petronius nhắm mắt lại và ra lệnh chuyển ông sang phòng ấm.	Petronius ismét behunyta szemét és megparancsolta, hogy a tepidariumba2 vigyék őt.	0.484375
Vừa lúc đó, từ sau bức trướng che, viên xướng danh ló vào báo tin chàng Markux Vinixius trẻ tuổi vừa từ Tiểu Á trở về xin vào thăm ông.	Ekkor a kárpit megmozdult; a nomenclator3 azt jelenté, hogy az ifju Marcus Vinicius, ki éppen most tért vissza Kis-Ázsiából, látogatást akar nála tenni.	0.291489
Petronius truyền cho mời khách vào phòng ấm rồi tự mình bước sang đó.	Petronius azt parancsolta, hogy a vendéget vezessék a tepidariumba, ahová tüstént odaviteté magát.	0.443233
Vinixius là con trai của chị ông, người mà nhiều năm về trước đã kết hôn cùng Marek Vinixius, cựu chấp chính quan từ thời Tyberius.	Vinicius legidősebb nénjének fia volt, ki évekkel előbb Marcus Viniciushoz ment férjhez, a ki Tiberius alatt a consulares közé tartozott.	0.269291
Hiện giờ chàng đang phục vụ dưới trướng tướng quân Korbulon chống lại quân Parlơ, và sau khi chiến tranh kết thúc chàng vừa trở về thành phố.	A fiatal Vinicius, Corbulo alatt a párthu­sok ellen harcolt, de most, a hadjárat befejeztével, visszatért a városba.	0.159813
Đối với chàng bên cạnh tình thân gắn bó, Petronius vốn có một sự mềm yếu, vì Markux là một chàng thanh niên xinh đẹp và lực lưỡng, đồng thời, trong sự hư đốn của mình chàng vẫn giữ được một mức độ mỹ miều nhất định, điều mà ông Petronius đánh giá cao hơn cả.		-0.3
- Xin kính chúc sức khỏe cậu Petronius, - chàng trai vừa nói vừa bước những bước mềm mại vào phòng ấm, - Cầu tất cả các thần linh ban phước lành cho cậu, nhất là Axklepios và Kipryđa, vì dưới sự che chở của hai vị thần đó thì không thể có sự rủi ro nào xảy đến với cậu.	- Légy üdvöz, Petronius - kiáltá a fiatal ember, rugalmas léptekkel a tepidariumba menve - az istenek teljesítsék minden óhajtásodat, de kivált Asklepios4 és Kypris,5 mert az ő közös oltalmuk alatt nem lehet semmi bajod.	0.411881
- Chào mừng anh tại Rôma, cầu cho anh được hưởng sự nghỉ ngơi dịu ngọt sau buổi chiến chinh - Petronius vừa đáp vừa luồn tay ra từ giữa những nếp gấp của thứ vải karbax mềm mại mà ông quấn quanh người - thế ở Armenia có chuyện gì mới không?	- Légy üdvözölve Rómában és lelj édes nyugalmat a háboru után - viszonzá Petronius, kezét a lepedőből kinyujtva, mely lágy ráncokban takarta őt. ~~~ - Mi hír Örményország felől?	0.0442982
Lúc tiêu dao ở châu Á anh có ghé thăm Bitynia chứ?	Eljutottál Bithyniába is ázsiai tartózkodásod alatt?	0.288235
Hồi trước Petronius là tổng đốc Bitynia, ông đã cai trị xứ ấy một cách mềm dẻo và công minh.	Petronius egy ideig helytartó volt Bithyniában.	0.341905
Điều đó mâu thuẫn một cách kỳ lạ với tính cách của con người vốn nổi tiếng là ẻo lả và đam mê lạc thú này.	Hivatalát kiváló erélyességgel és igazságosan viselte.	-0.0526316
Vì vậy, ông thường thích nhắc đến thời kỳ ấy, nó là bằng chứng chứng tỏ ông có thể làm được gì và biết làm gì nếu như ông muốn.	Jelleme a legellentmondóbb tulajdonságokból volt alkotva és mivel általában elpuhult és érzékies embernek tartották, örömest gondolt azokra az időkre, hiszen arról tehettek bizony­ságot, hogy körültekintő és tevékeny is tudott lenni, ha kedve tartotta.	0.112752
- Cháu đã có dịp tới Heraklea - Vinixius đáp - Ngài Korbulon phái cháu đến đấy với lệnh đòi viện binh.	- Ugy esett, hogy Heracleába is eljutottam - beszélte Vinicius. ~~~ - Corbulo oda küldött azzal a parancscsal, hogy segédcsapatokat vonjak össze.	0.135885
- Ôi! ~~~ Heraklea!	- Ah, Heraclea!	0.3
Ở xứ đó cậu có quen một thiếu nữ quê ở Kolkhiđa, vì nàng cậu sẵn sàng hiến dâng tất cả các ả ly dị chồng ở đây, kể cả Poppêa nữa!		-0.3
Song đó là chuyện xưa rồi.	Ott egy kolchisi leányt ismertem.	0.29
Tốt nhất anh hãy nói xem có chuyện gì mới mẻ ở vùng biên giới với bọn Parlơ hay không?	Valamennyi elvált asszonyunkat odaadnám érte, még Poppaeát sem véve ki!	0.191304
Quả tình cậu cũng đã quá ngán cái xứ Vologeđa, cả Tyryđala Tygranex, lẫn cái lũ man rợ, mà cứ như anh chàng Arunalux khẳng định thì tại gia chúng vẫn chuyên môn bò bốn chi, chỉ trước mặt chúng ta mới làm ra vẻ con người mà thôi.		-0.3
Song bây giờ ở Rôma người ta lại hay nói nhiều tới chúng, có lẽ vì nói về chuyện khác thì không được an toàn.	De ezek régi históriák! ~~~ Inkább halljuk tehát, mi ujság történt Parthiában!	-0.0868421
- Cuộc chiến tranh này đang ở tình thế tồi tệ, và giá như không có ngài Korbulon thì rất có thể nó đã biến thành một cuộc thảm bại.	- A hadi reménységek nem kecsegtetők. ~~~ Ha Corbulo nem volna, teljes vereségre kellene készen lennünk.	-0.0773684
- Korbulon!	- Corbulo!	1.27
	Bacchusra!	-0.3
Đó quả là một chiến thần, một thần Marx hiển hiện, một thủ lĩnh vĩ đại vừa cuồng nhiệt vừa chính trực, vừa ngu xuẩn.	Valóságos hadi isten! ~~~ Igazi Mars! ~~~ hatalmas hadvezér és egyuttal tüzes, igazságos és ostoba.	-0.2
Cậu thích ông ta, ít nhất thì cũng là vì Nerô sợ ông ta.	Én már azért is nagyon ragaszkodom hozzá, mert Nero tart tőle.	0.294828
- Ngài Korbulon đâu phải là kẻ ngu xuẩn.	- Corbulo nem ostoba ember.	0.5625
- Có thể là anh có lý, song thực ra chuyện đó cũng chẳng có ý nghĩa gì.	- Igazad lehet, de hiszen az teljesen mindegy.	0.378333
Sự ngu xuẩn, nói như Pyron, hoàn toàn không tồi tệ hơn và cũng chẳng khác gì sự thông thái.	Az ostobaság, mint Pyrrhon mondja, semmiben se rosszabb, mint a bölcseség és semmiben se különbözik tőle.	0.293814
Vinixius bắt đầu kể về cuộc chiến tranh, song Petronius đã cụp mi mắt xuống; nhìn thấy vẻ mặt mệt mỏi và hơi tọp đi của ông, chàng trai liền thay đổi câu chuyện và bắt đầu ân cần hỏi thăm sức khỏe của ông.	Vinicius most a háboruról kezdett beszélni, de mikor Petronius behunyta szemét, Marcus fáradt, kissé lesoványodott arcára pillantva, megváltoztatta a beszéd tárgyát és aggodalommal Petronius egészsége felől tudakozódott. ~~~ Egészség!	0.0408356
Petronius lại mở mắt ra.	Nem. ~~~ Nem jól érezte magát.	-0.00555556
Sức khỏe!… Không, ông không cảm thấy mình khỏe chút nào.	Vinicius, persze éppen Asklepios és Kypris oltalmába ajánlotta őt.	0.295312
Ông chưa suy sụp đến mức như chàng trẻ tuổi Xixena, người bị mất cảm giác đến nỗi, buổi sáng khi được người ta mang tới nhà tắm, đã hỏi: "Có phải ta đang ngồi hay không nhỉ?".		-0.3
Song ông không khỏe, Vinixius cầu các thần Axklepiox và Kipryđa phù hộ cho ông song chính ông, Petronius, lại không tin Axklepiox.	De ő, Petronius, nem hitt Asklepiosban.	-0.0464286
Không ai biết cái gã Axklepiox ấy là con của bà nào, của Arxinoe hay của Koroniđa; mà khi đến mẹ đẻ còn chưa chắc là ai thì còn nói gì tới cha cơ chứ.		-0.3
Vả chăng thời nay, ai là kẻ còn dám đoan chắc, dù là cha đẻ của mình thật!		-0.3
Nghĩ tới đây, Petronius bật cười nói tiếp:	Itt Petronius elnevette magát, de aztán folytatá:	0.662234
- Thực ra, hai năm trước, cậu cũng có gửi tới Epiđaurơ biếu ba tá chim sáo còn sống và một cái cúp bằng vàng nhưng anh có biết vì sao không?	- Két évvel ezelőtt három pár eleven rigót és egy ezüst serleget küldtem neki Epidaurusba. ~~~ De tudod-e, miért?	-0.0126453
Cậu tự nhủ rằng: có ích thì không có ích, nhưng cũng chẳng có hại gì.	Nos, azt gondoltam: akár használ, akár nem használ, de semmi esetre sem árt.	0.27
Sở dĩ trên đời người ta vẫn đang hiến dâng lễ vật cho các thần chẳng qua là vì mọi người đều nghĩ như cậu mà thôi.	Habár az emberek a földön az isteneknek még folyvást mutatnak be áldozatokat, mégis azt hiszem, hogy mindnyájan ugy gondolkoznak mint én.	0.292913
Tất cả mọi người.	Mindnyájan!	0.0461538
Có lẽ chỉ trừ bọn đánh la thuê cho khách bộ hành ở Porta Capena.	Kivéve talán az öszvér­hajcsárokat, kik a Porta Capenánál az utasokhoz beszegődnek.	0.48913
Ngoài Axkleppiox, cậu cũng từng chạm trán với bọn axklepiađ vì hồi năm ngoái cậu bị bỏng da qua loa, bọn chúng bèn làm lễ trừ độc cho cậu.		-0.3
Cậu cũng biết thừa rằng chúng nó là phường lừa đảo, song cậu tự nhủ: thì chuyện đó có hại gì cho ta đâu cơ chứ?	De nálam Asklepioson kívül az asklepiadokról6 is szó van.	-0.0927273
Thế giới này tồn tại trên sự lường gạt, còn cuộc sống chỉ là ảo giác mà thôi.	Mert idő folytán nem fejlődhetik-e ki valami baj nálam?	0.075
Linh hồn cũng là một ảo giác.	Már mindenféle gyógyító módot megpróbáltak rajtam.	0.109091
Có điều cần phải có đủ trí thông minh để biết phân biệt giữa ảo giác sướng và ảo giác khổ.	Természetesen tudtam, hogy csalók, de ismét azt gondoltam magamban: mit árthat az nekem?	0.203704
Trong hệ thống sưởi ấm của cậu, cậu cho đốt gỗ bá hương có rắc thêm long diên hương, vì trong cuộc sống cậu ưa hương thơm hơn mùi xú uế.	A világ csaláson alapszik és az élet hiu csalódás, csalódás a lélekben való hit is.	0.02625
Còn nếu nói về nữ thần Kipryđa mà anh đã giới thiệu thì cậu cũng đã từng được nếm sự che chở của nàng đến nỗi phải bị chích máu ở chân phải.	És ami Kyprist illeti, akinek ajánlottál, az ő oltalmát mindjárt arról ismertem meg, hogy jobb lábam szárában soha nem érzek szaggatást.	0.218605
Song nói cho công bằng, đó quả là một vị nữ thần tốt bụng.	De különben jó istennő!	-0.204
Cậu đồ rằng chóng hay chầy thì cả anh nữa cũng sẽ dâng bồ câu trắng lên bàn thờ của nàng mà thôi.	Korábban vagy később, azt hiszem, te is fehér galambokat fogsz áldozni oltárán.	0.169737
- Quả có vậy, - Vinixius đáp - Những mũi tên của bọn Parlơ không hề chạm được tới da cháu, vậy mà cháu lại bị trúng mũi tên nhỏ xíu của thần ái tình Amor, một cách hết sức bất ngờ, vì chỉ cách cổng thành có vài xtađion mà thôi.		-0.3
- Thề có các đầu gối trắng phau của các nữ thần Kharyta!	- Ugy van! ~~~ - viszonzá Vinicius.	0.21
Lúc nào rỗi rãi anh phải kể cho cậu nghe chuyện ấy nhé.	- A párthusok nyilai ugyan nem értek el, de eltalált Ámor nyila... egész váratlanul, a város kapuitól néhány stádiumnyira.	0.02
- Cháu tới đây chính là để khẩn cầu lời khuyên bảo của cậu.	- A charisok fehér térdeire, ezt egyszer részletesen kell elmondanod!	0.544602
- chàng Markux đáp.	- kiáltá Petronius.	1.05
Chính vào lúc đó, đám nô lệ chuyên sửa sang râu tóc bước vào và bắt đầu bận rộn chung quanh Petronius còn chàng Markux cũng trút bỏ áo tunien bước vào bồn nước ấm, bởi ông Petronius mời chàng cùng tắm.		-0.3
- À, cậu cũng chưa hỏi xem anh có được đáp tình hay chăng?	- Egyenest azért jöttem, hogy tanácsot kérjek tőled! ~~~ - jelenté ki Marcus.	0.144892
- Petronius vừa nói vừa ngắm nghía thân hình trẻ trung như được tạc bằng cẩm thạch của Vinixius.	Ebben a pillanatban az epilátorok7 léptek be, kik Petronius körül forgolódtak, míg Marcus leveté tunikáját és egy langyos vizzel telt kádba lépett.	0.356604
- Giá mà Lizyp được trông thấy anh thì chắc hẳn giờ đây anh đã làm đẹp cho cửa ngọ môn dẫn vào cung điện Palatyn dưới dạng tượng chàng Herkulex lúc đang còn ở tuổi thanh xuân rồi đấy.	Petronius fölszólította, hogy fürödjék meg. ~~~ Vinicius elégülten mosolyogva bukott le a kádban.	-0.17234
Tươi cười vì hài lòng, chàng trai bắt đầu vừa dìm ngập người xuống nước vừa té nước ấm lên bức phù điêu chạm hình nữ thần Hêra, lúc nàng đang cầu xin Thần Mộng hãy ru ngủ Zeux.	Eközben igen sok meleg vizet fecskendett ki a mozaik-padlóra, mely Herát abban a pillanatban ábrázolta, amint az álmot arra kéri, hogy Zeust elszenderítse.	0.177465
Ông Petronius nhìn chàng bằng ánh mắt hài lòng của một nghệ sĩ.	Petronius a művész csodálkozó szemével nézett az ifjura.	0.56369
Khi chàng đã tắm xong và để cho đám nô lệ chuyên sửa sang râu tóc phục dịch thì người nô lệ xướng đọc bước vào với một chiếc hộp màu nâu trước bụng, bên trong có vài cuộn giấy.	Mikor aztán Vinicius is az epilátorok rendelkezésére állott, egy lector lépett be, akin egy bronc tok lógott papirusz-tekercscsel.	0.104132
- Anh có muốn nghe không?	- Meg akarod-e hallgatni?	0.873913
- Petronius hỏi.	- kérdé Petronius.	1.01471
- Nếu là tác phẩm của cậu thì cháu rất vui lòng!	- Szivesen, ha a te munkádról van szó!	0.479048
- Vinixius đáp - còn nếu không thì cháu muốn được chuyện trò hơn.	- viszonzá Marcus - különben jobb szeretnék veled beszélgetni.	0.845
Thời bây giờ bọn thi sĩ cứ rình tóm lấy người ta ở từng góc phố.	Jelenleg a költők minden utcasarkon úgy fogják el hallgatóikat.	0.236066
- Chứ sao nữa!	- Ugy van.	0.816667
Không có một nhà thờ nào, không một nhà tắm công cộng, một thư viện hay hiệu sách nào mà khi đi ngang qua, anh không thấy một gã thi sĩ đang múa may như khỉ.	Az ember sem a bazilikák, sem a thermák, sem a könyvtárak, sem a könyvesboltok előtt nem mehet el anélkül, hogy egy majom módjára hadonászó költőbe ne botoljék.	0.274
Khi từ Phương Đông tới đây, Agrypa cứ ngỡ bọn chúng là người điên.	Mikor Agrippa a Keletről hozzánk jött, ördöngőseknek tartotta őket.	0.255224
Song thời thế bây giờ là thế đấy.		-0.3
Hoàng thượng làm thơ, vậy là tất cả bàn dân thiên hạ đều đi theo vết của người.		-0.3
Có điều không được phép làm thơ hay hơn hoàng thượng mà thôi, và chính vì lý do đó, cậu hơi lo lắng cho Lukan… Còn cậu, cậu chỉ viết tản văn, thứ văn mà cậu chẳng mời ai phải nếm, kể cả bản thân cậu nữa.		-0.3
Cái mà tên nô lệ xướng đọc này sắp đọc là các bản bổ sung chúc thư của anh chàng Fabryxiux Veyento tội nghiệp.		-0.3
- Sao lại "tội nghiệp" ạ?	De ezt éppen most a kor hozza magával.	0.248276
- Bởi vì người ta đã truyền cho hắn phải sắm vai Ôđixê và không được trở về với gia đình cho tới khi nào có lệnh mới.		-0.3
Đối với hắn, thiên Ôđixê này sẽ dễ chịu hơn nhiều so với chàng Ôđixê, vì vợ hắn không phải là nàng Penelop.		-0.3
Có lẽ cậu cũng chẳng cần phải nói rõ thêm với anh là người ta đã xử sự một cách ngu ngốc.		-0.3
Song ở đây người ta chỉ cần tóm bắt lấy cái vỏ ngoài của mọi chuyện mà thôi.		-0.3
Đây là một quyển sách khá tầm thường và đáng ngán mà người ta chỉ bắt đầu say mê đọc khi tác giả của nó đã bị đầy biệt xứ.		-0.3
Bây giờ thì khắp tứ phía người ta đều gào lên: "Xcandala, Xcandala".	Ha a császár verseket ir, mindenkinek az ő példáját kell követnie.	0.253125
Cũng rất có thể là Veyento đã nghĩ ra được vài điều gì đấy, song riêng cậu, cậu hiểu rõ cái thành phố này, hiểu rõ các vị quý tộc lẫn đám đàn bà của chúng ta, cậu dám cam đoan với anh rằng: tất cả những điều đó đều nhợt nhạt hơn thực tế rất nhiều.		-0.3
Giờ đây, theo cách riêng của mình, mỗi người đều sục tìm trong sách đó bản thân mình lẫn nỗi âu lo, còn tìm người quen kẻ thuộc với sự hứng khởi.		-0.3
Ở hiệu sách của Avirunux hiện đang có một trăm tên ký lục sao lại quyển sách này theo lối đọc chính tả và sự thành công có thể nói là cầm chắc.	Csak jobb verseket nem szabad irni senkinek, mint a császáré és ezért aggódom kissé Lucanus miatt... De én csak prózát irok, azzal pedig se magamat, se mást nem kínzok.	0.290196
- Trong ấy không có chuyện gì về cậu à?	- Hallottad-e már Rufinus történetét?	0.760526
- Có chứ, nhưng tác giả đã bắn chệch đích vì thực ra cậu vừa tồi tệ hơn lại vừa ít nông cạn hơn là y mô tả.	- Nem. ~~~ - Akkor jöjj velem a frigidariumba,8 ahol majd lehütjük magunkat.	0.0154681
Anh thấy đấy, ở chốn này, đã từ lâu lắm rồi, chúng ta đã đánh mất đi cảm giác về cái chính đáng và cái không chính đáng mà nói thực tình thì cậu cũng cho rằng chẳng hề có sự khác biệt nào giữa hai thứ đó, mặc dù cả Xeneka lẫn Mozunius và Trazeas đều vờ vĩnh làm như họ thấy được sự khác nhau ấy.		-0.3
Cậu thì sao cũng xong!	Ott elmondom neked.	0.216667
Thề có Heraklex, cậu nghĩ thế nào nói thế!	A frigidariumba mentek.	-0.0409091
Có điều, cậu vẫn còn hơn họ ở chỗ cậu vẫn hiểu được cái gì là đẹp cái gì là xấu, điều mà - nói thí dụ - gã Râu Đỏ - chàng thi sĩ, người đánh xe đua, ca sĩ, vũ công kiêm kịch sĩ của chúng ta - không hề biết.	Ennek a közepén szökőkut volt, mely halvány rózsaszinben játszott és ibolyaillatot árasztott maga körül.	-0.0640777
- Cháu vẫn thấy tội nghiệp cho Fabryxius. ~~~ Anh ấy vốn là một người bạn tốt bụng.	Ott fülkékben heveredtek le, melyek selyemmel voltak kipárnázva, hogy lehüljenek.	-0.025
- Chính lòng tự tôn đã làm hại anh ta.	Rövid ideig hallgattak.	0.0782609
Ai cũng nghi ngờ anh ta, chẳng ai hiểu thật rõ, song chính anh ta lại không kìm giữ nổi và tự thổ lộ cho mọi người xung quanh với vẻ bí bí mật mật.		-0.3
Anh đã biết chuyện Rufinux chưa?	Vinicius elmélázva nézett egy nimfát csókoló bronc faunra.	0.102857
- Chưa ạ.	- Ennek igaza van!	0.913636
- Thế thì sang phòng mát ta cùng ngồi mát và cậu sẽ kể anh nghe chuyện ấy.		-0.3
Họ bước sang phòng mát, ở giữa phòng có vòi phun nước phun ra một thứ nước màu hồng nhạt tỏa mùi hương hoa đồng thảo.		-0.3
Ở đó, họ ngồi mát trong những hõm tường trải lụa.		-0.3
Một giây im lặng bao trùm, Vinixius trầm ngâm ngắm pho tượng thần Đồng Nội màu nâu đang ghì chặt thân hình một nàng tiên nữ, môi thèm khát tìm gặp môi nàng, lúc sau chàng cất tiếng:		-0.3
- Tay này có lý.	- mondá aztán egy idő mulva.	0.59375
Đây quả là điều tuyệt diệu nhất trong đời.		-0.3
- Cũng gần đúng như thế.	- Némi tekintetben.	0.907895
Song trừ điều đó ra anh còn yêu thích chuyện chiến chinh, điều mà cậu không thích, vì sống trong lều trại, móng tay cứ bị gãy vụn ra và mất hết sắc hồng.	De hiszen te ezen kívül szereted a háborut is, melyet én nem szeretek, mert a sátorokban letörik a köröm a kézről és elveszti rózsás szinét.	0.217557
Nói cho cùng, mỗi người đều có thú vui riêng.	Egyébiránt mindenkinek megvan a maga kedvtelése.	0.280851
Gã Râu Đỏ thích ca hát và mê nhất tiếng hát của chính gã; lão Xcaurux thì yêu cái độc bình Koryntơ, đêm đêm được đặt cạnh giường lão và được lão hôn hít mỗi khi không ngủ được.	A rőtszakállu9 szereti az éneket, kivált a magáét és az öreg Skaurus az ő korinthusi vázáját, melynek éjjel ágyánál kell állania s melyet csókokkal halmoz el, mikor aludni nem bir.	0.247059
Lão đã hôn đến cùn cả miệng bình rồi đấy.	Már majdnem az egész szélét lecsókolta.	0.2175
À, hãy nói cho cậu biết, anh có hay làm thơ không?	Mondd csak, te is irsz verseket? ~~~ - Nem.	-0.0685714
- Không ạ, cháu chưa bao giờ đặt trọn một bài lục phách.	Még soha se csináltam egy egész hexametert.	0.139024
- Anh cũng không biết chơi đàn luýt và không hát chứ?	- Játszol-e a lanton vagy énekelsz-e?	0.548571
- Không ạ?	- Nem.	1
- Cũng không đua ngựa?	- Akkor talán mint kocsihajtó tünsz ki?	0.6375
- Hồi còn ở Antiokhia cháu cũng có đua nhưng không mấy thành công.	- Annak idején részt vettem Antiochiában a kocsiversenyeken, de eredménytelenül.	0.537945
- Thế thì cậu có thể yên tâm về anh.	- Akkor nyugodt vagyok miattad.	0.671429
Thế ở trường đua anh thuộc phái nào?	Melyik párthoz tartozol a hippodromban?	0.259459
- Phái Xanh lục ạ.	- A zöldhöz.	0.888462
- Vậy thì cậu hoàn toàn yên tâm. ~~~ Thêm nữa, mặc dù cũng có tài sản lớn song anh vẫn chưa giầu bằng Palax hay Xeneka.	- Akkor teljesen meg vagyok nyugtatva, mert tudom ugyan, hogy tekintélyes vagyonod van, de nem vagy oly gazdag, mint Pallas vagy Seneca.	-0.00641026
Vì anh thấy đấy, ở chốn này bây giờ, làm thơ, ca hát, chơi đàn luýt, ngâm xướng hay đua tài ở hý trường đều tốt cả, nhưng an toàn hơn là đừng làm thơ, đừng ca hát, đừng chơi đàn và đừng đuổi nhau ở hý trường. ~~~ Và tốt nhất là biết tán thưởng khi gã râu đỏ thi thố các chuyện đó.	Látod, minálunk nagyon is jó, ha valaki verseket ir, a lant mellett énekel, szaval és a cirkusz versenyeiben résztvesz, de még jobb és mindenekelőtt veszélytelenebb, ha az ember nem ir verseket, nem pengeti a lantot, nem énekel és nem vesz részt a cirkusz versenyjátékaiban.	-0.00833333
Anh là một đứa bé xinh xẻo, nên có thể bị một mối đe dọa là Poppea phải lòng anh.	De akkor jár az ember legjobban, ha mindazt kellően meg tudja bámulni, amit a rőtszakállu tesz.	0.289535
Song ả ta đã quá đủ kinh nghiệm để có thể không bị dính vào chuyện đó.	De te szép vagy és így mindig annak a veszélynek vagy kitéve, hogy Poppaea beléd szeret.	0.3
Cô ả đã xài quá đủ tình yêu với hai đức ông chồng đầu tiên rồi, còn với ông chồng thứ ba này thì ả ta cần thứ khác kia.		-0.3
Anh biết không, cho đến bây giờ, gã Otho vẫn còn say cô ả đến phát điên lên.	De nem - arra a szerelmi dolgokban már tulságosan tapasztalt.	0.147273
Y lang thang trên những phiến đá ở Tây Ban Nha, thở dài thườn thượt, quên tiệt cả những thói quen ngày xưa và thôi chăm lo bản thân đến nỗi mỗi ngày y chỉ cần có ba giờ đồng hồ để sửa sang đầu tóc mà thôi!	Tudod, hogy az a balga Otho a bolondulásig szereti őt... Sóhajtozva bolyong Hispánia sziklás hegységei közt és annyira hütlen lett korábbi szokásaihoz, oly kevés gonddal ápolja most személyét, hogy naponta három óra elegendő hajdiszének.	0.298661
Ai có thể ngờ được chuyện ấy, nhất là đối với Otho.	Ki gondolta volna ezt valaha és kivált Otho felől?	0.195652
- Cháu hiểu y - Vinixius đáp - nhưng giá ở địa vị y thì cháu sẽ làm một việc khác kia.	- Én értem őt - válaszolá Vinicius - de az ő helyében másképp tettem volna.	0.782218
- Việc gì?	- Fejezd ki magad érthetően!	0.675
- Thành lập những đội quân trung thành từ đám dân sơn cước vùng đó.	- Az ottani hegyi lakókból hű légiókat képeztem volna.	0.469811
Dân Iber vốn là những chiến sĩ quả cảm.	Derék harcosok azok az iberiek.	0.134483
- Ôi, Vinixius! ~~~ Vinixius!	- Vinicius, Vinicius!	0.325
