Alexandre Dumas	﻿ALEXANDRE DUMAS	0.24
	Nem tagadjuk, ugyancsak megakadt a szemünk e három idegenszerű néven; rögtön gyanítani kezdtük, hogy valószínűleg álnevek csupán; talán híres-neves férfiakat álcázott velük D’Artagnan; bár az is lehet, hogy a költött nevek gazdái önként keresztelték el magukat ilye­tén­képpen egy napon, amikor szeszélyből, elégedetlenségből vagy szorult anyagi helyzetük sürgetésére egyszerű testőrzubbonyt öltöttek.	-0.3
Thời buổi ấy, những cơn hoảng loạn luôn xảy ra, không mấy khi lại không có thành phố này, thị trấn nọ ghi ký vào sổ lưu trữ của mình một sự kiện nào đó thuộc loại ấy.	E szokatlan nevek annyira feltüzelték kíváncsiságunkat, hogy e perctől fogva nem volt többé maradásunk; minden korabeli művet végigfirtattunk, hogy a nevek viselőinek valamiképpen nyomára leljünk.	0.3
	Egész fejezetet kitöltene, ha csupán a címét sorolnánk fel annak a töméntelen könyvnek, melyeket evégből böngésztünk, s ez talán fölöttébb tanulságos, de minden bizonnyal meg­lehetősen unalmas lenne olvasóinknak.	-0.3
	Ezért csupán annak közlésére szorítkozunk, hogy amikor eredménytelen kutatásaink után már-már feladtunk minden reményt, és abba akartuk hagyni búvárkodásainkat, végül is, nagyhírű és tudós barátunk, Paulin Páris tanácsait követve, a 4772 vagy 4773-as sz.	-0.3
	alatt - már nem emlékszünk egészen biztosan -, egy infolio kéziratra akadtunk, mely ezt a címet viselte:	-0.3
Các lãnh chúa chinh phạt lẫn nhau.	"La Fčre gróf úr emlékiratai némely eseményekrol, melyek XIII.	0.0916667
Quốc vương khai chiến với Giáo chủ.	Lajos király uralkodásának vége felé és XIV.	0.270732
Tây Ban Nha khai chiến với Quốc vương.	Lajos király uralkodásának kezdetén történtek Franciaországban."	0.109756
	Ez a kézirat volt végső reményünk, képzelhetik hát, micsoda öröm volt, amikor belelapoz­tunk, és a huszadik lapon Athos, a huszonhetediken Porthos és a harmincegyediken Aramis nevére bukkantunk.	-0.3
	Úgy éreztük, valóságos csoda történt, hogy korunkban, amikor a történetírás tudománya oly magas fokot ért el, egy teljesen ismeretlen kéziratot sikerült felfedeznünk.	-0.3
Rồi thì, ngoài những cuộc chiến thầm lặng hoặc công khai, bí mật hoặc đường hoàng, lại còn bọn trộm cắp, lũ ăn mày, bọn giáo phái Canvanh, lũ sói, bọn lính hầu khai chiến với tất cả mọi người.	Tüstént engedélyért folyamodtunk hát, hogy kinyomassuk; úgy gondoltuk, legalább idegen poggyásszal jussunk be a Történelem és Széptudományi Akadémiára, ha már - mint igen valószínű - a sajátunk nem nyitja meg előttünk a Francia Akadémia kapuit.	0.276498
Thị dân luôn vũ trang chống bọn trộm cướp, chống lại lũ sói, chống lũ lính hầu, cũng thường chống lại các lãnh chúa và bọn giáo phái Canvanh, đôi khi chống cả nhà Vua, nhưng không bao giờ chống lại Giáo chủ và nước Tây Ban Nha.	Mondanunk sem kell, igen könnyen megkaptuk a kegyes hozzájárulást; amit ezennel itt nyomban írásban tanúsítunk; nyilvános cáfolatául egyes rosszhiszemű híresztelésnek, melyek szerint kormányunk meglehetősen félvállról veszi az irodalmárokat.	0.285957
	Most hát ennek az értékes kéziratnak első részét tárjuk olvasóink elé azzal a címmel, amely legjobban illik hozzá, és megígérjük, hogy ha az első rész - amiben percig sem kételkedünk - megérdemelt sikert arat, tüstént közreadjuk a másodikat is.	-0.3
	Még csak ennyit: ha már a keresztapa amúgy is a gyerekek második apja, kérjük az olvasót, mulatságáért, vagy bosszúságáért a felelősséget ránk, ne La Fere grófra hárítsa. ~~~ Most pedig lássuk a történetet.	-0.3
Do đã quen như vậy nên ngày thứ hai tháng tư năm 1625 nói trên, nghe thấy tiếng náo động nhưng không thấy màu cờ vàng và đỏ eũng chẳng thấy bóng dáng đồng phục gia binh của Quận công Richelieu, đám thị dân liền đâm bổ về phía lữ quán Chu cối xay.	IDŐSB D’ARTAGNAN HÁROM AJÁNDÉKA ~~~ 1625 április havának első hétfőjén Meung neves városa, a Rózsa regénye1 szerzőjének szülőhelye, olyan tökéletes zűrzavar képét mutatta, mintha a hugenották itt akarnának második La Rochelle-t rendezni.	0.53827
	Több polgár, amikor látta, hogy az asszonyok a Fő utca felé menekülnek, és hallotta, hogy a gyerekek a házak ajtóiban óbégatnak, sebtében páncéljába bújt, és muskétával vagy alabárddal megtámogatva meglehetősen ingatag bátorságát, a Szabad Molnár vendégfogadó felé loholt, amely előtt, percről percre dagadozva, sűrű, lármás és kíváncsi tömeg tülekedett.	-0.3
	Ekkoriban igen gyakran szállta meg a lakosságot vakrémület: alig volt nap, hogy hol ebben, hol abban a városban fel ne jegyzett volna efféle eseményt a krónika.	-0.3
Đến đó rồi, ai cũng thấy và nhận ra nguyên nhân sự náo động.	Harcoltak egymással a földesurak; harcolt a bíborossal a király; harcolt a királlyal a spanyol.	0.217391
Một chàng trai trẻ, hãy phác chân dung chàng bằng một nét bút thôi: Các bạn hãy hình dung một Đông Kihôtê mười tám tuổi, Đông Kihôtê bị lột vỏ, không áo giáp, không xà cạp, chỉ mặc áo chẽn ngắn bằng len màu xanh lơ đã biến thành một màu nâu, tả giữa cặn rượu vang và da trời.	Ezeken a leplezett vagy leplezetlen, titkolt vagy nem is titkolt háborúkon kívül, harcoltak mindenki ellen az útonállók, a koldusok, a hugenották, a farkasok és a lakájok. ~~~ A polgárok mindig fegyvert fogtak az útonállók, a farkasok, a lakájok ellen - nemegyszer a földesurak és hugenották ellen, néha a király ellen is, de a bíboros és a spanyol ellen: soha.	-0.0119601
Mặt dài sạm nâu, gò má cao, dấu hiệu của sự giảo hoạt, quai hàm bành rộng, nhân dạng không lẫn được của người Gátxcong ngay cả khi không có mũ nồi, mà chàng trai trẻ của ta lại đội mũ nồi gắn lông chim, mắt mở to và thông minh, mũi khoằm, nhưng thanh tú, có vóc người quá to đối với chàng trai sắp thành niên, mà một con mắt ít từng trải hẳn đã cho đó là con trai một chủ trại đi du hành, nếu không có thanh gươm dài treo lơ lửng trên dải đeo bằng da, đập vào bắp chân người chủ khi đi bộ và đập vào lớp lông dựng đứng của con vật cưỡi.	E megrögzött szokás értelmében a felül mondott 1625 április havának első hétfőjén a polgárok, mivel zsivajt hallottak, de sem a sárga-vörös zászlót, sem Richelieu herceg uniformisát nem látták, rohanvást a Szabad Molnár fogadó felé iramodtak. ~~~ Ott azután valamennyien szemtől szembe láthatták és megállapíthatták, mi okozta a ribilliót. ~~~ Hogy mi? ~~~ Egy fiatalember... - vessük papírra vázlatos leírását. ~~~ Ilyen lehetett tizennyolc éves korában Don Quijote - megszokott jelmeze, páncélinge és combvértje nélkül: Don Quijote gyapjúzekében, melynek hajdani kék színe a borvörös és azúrkék leírhatatlan árnyalatává fakult.	-0.227301
Do chàng trai trẻ có một con ngựa và con vật đó rất chi đặc biệt khiến người ta phải chú ý: đó là một con nghèo nhỏ vàng Bearn khoảng mười hai hoặc mười bốn tuổi, màu vàng áo, không bờm đuôi, nhưng không phải không có chai ở các vó và khi đi, đầu thõng xuống quá dưới gối, khiến cho việc thắng cương đai trở nên vô ích mà vẫn đi nổi tám dặm một ngày.	Arca hosszúkás, barna; pofacsontja kiugró (ravaszság jele); állkapcsának oldalizmai roppantul kidagadnak, és csalhatatlanul jelzik, hogy a fiatalember, ha nem volna is kerek baszk sapka a fején, gascogne-i, no de ráadásul kerek sapkája is van, és rajta - mi tagadás - valami toll; tekintete nyílt és okos; orra horgas, de rajza finom; sihederhez túl nagy, meglett emberhez túl kicsiny.	0.267919
Không may thay, những phẩm chất của con nghẽo lại bị che giấu hết dưới bộ lông kỳ dị và dáng đi khiếm nhã của nó, khiến cho trong cái thời mà mọi người đều sành ngựa, thì việc một con nghẽo nhỏ con của xứ Măng nói trên, mười lăm phút trước đây, qua cửa ô Bôgiăngxi, lọt vào xuất hiện ở đây đã tạo nên một cảm giác thiếu thiện cảm lan sang cả tới chủ nhân của nó.	Gyakorlatlan szem utazgató majorosfinak nézhette volna, ha bőrövén hosszú kard nem fityeg, tulajdon lábszárát verdesve amikor gyalog jár, és paripája borzas szőrét, ha lovagol. ~~~ Mert az úrfinak paripája is volt, méghozzá olyan feltűnő, hogy mindenki szeme belebotlott: béarni mokány lovacska, alig tizenkét-tizenhárom éves, szalmasárga; farkának szőre mind egy szálig kihullott, a lába viszont annál pókosabb; fejét lelógatja, mélyen a térde alá, s ezért számára teljesen fölösleges a zablaszíj; naponta megjárja a maga nyolc mérföldjét, ha esik, ha fúj.	-0.0201117
Và cái cảm giác ấy lại còn nặng nề hơn đối với chàng D artagnan trẻ tuổi (được mệnh danh là chàng Đông Kihôtê của con ngựa Rốtxirăngtê khác là vì như thế đến nỗi chàng chẳng hề giấu mình cái khía cạnh lố lăng đem đến cho chúng, dù chàng có là một kỵ sĩ cừ khôi đến mấy với con nghẽo như thế, cũng như chàng đã thườn thượt thở dài khi nhận món quà mà ông D artagnan bố đã ban tặng.	Ez idő tájt mindenki értett a lovakhoz; és amikor az említett paripa megjelent Meung-ben - körülbelül negyedórája kocogott be a beugencyi kapun -, hatalmas szenzációt keltett, és ez nem kis mértékben kihatott lovasára is, mégpedig ugyancsak kedvezőtlenül, mivelhogy a paripa kiváló tulajdonságait remekül leplezte szabálytalan mozgása és furcsa szőrzete.	0.22006
Chàng không phải không biết một con vật như thế ít ra cũng đáng giá hai mươi đồng vàng, còn những lời lẽ kèm theo món quà thì là vô giá. ~~~ - Này con!	Ez a szenzáció annál kínosabban érintette az ifjú D’Artagnant - e névre hallgatott e második Rocinante Don Quijoteja -, mivel nem áltatta magát, és tisztán látta, hogy akármilyen kitűnő lovas, paripája nevetségessé teszi; vakarta is a fejét, mikor idősb D’Artagnan úrtól ajándékba kapta.	-0.112739
Vị quý tộc xứ Gascogne nói bằng thứ tiếng thuần Bearn mà Vua Henri IV chẳng bao giờ có thể nói khác nổi:	Tudván tudta, hogy az állat legalább húsz frankot ér: az is igaz, hogy a ló átadását kísérő szavak értéke fel sem becsülhető.	0.272973
"Con ngựa này sinh ra trong ngôi của cha con, đã sống ở đây từ bấy đến nay, sắp tròn mười ba tuổi, sẽ khiến con phải yêu quý nó.	- Fiam - szólt hozzá nemes gascogne-i atyja, abban a színtiszta béarni tájszólásban, melyről IV.	0.145055
Đừng bao giờ bán nó, hãy để nó được chết già trong danh dự và lặng lẽ.	Henrik soha életében nem bírt leszokni -, fiam, ez a ló atyád házában jött a világra, immáron tizenhárom esztendeje; itt is élt azóta: már csak azért is szeresd.	0.0444444
Nếu con đi đường cùng nó, hãy đối xử với nó như với một lão bộc.	Ne add el soha, várd meg, amíg békességben, tisztességben elviszi a vénség, ha csatába indulsz vele, kíméld: régi cseléd ez.	0.134211
Tới triều đình - Ông D Artagnan bố nói tiếp - nếu có vinh dự đến đó, thật ra vinh dự thì dòng dõi quý tộc lâu đời của con đã cho con quyền đó rồi, hãy bảo vệ xứng đáng danh hiệu quý tộc của con, danh hiệu mà tổ tiên đã giữ nó một cách xứng đáng hơn năm trăm năm nay, hãy bảo vệ nó vì con và vì những người thân của con, ý cha muốn nói đấy là cha và bạn bè con.	Amikor az udvarba jutsz - folytatta idősb D’Artagnan úr -, ha egyáltalában osztályrészül jut e kitüntetés (bár ősi nemességed erre teljes mértékben feljogosít), viseld becsülettel nemesi neved: becsülettel viselték őseid is ötszáz esztendőn át, érted is, a tiéidért is.	0.228462
Đừng bao giờ ủng hộ ai mà chỉ với Giáo chủ và nhà Vua.	Tiéd: a szüleid és jó barátaid.	0.028125
Hãy nghe cho rõ, thời buổi bây giờ, một người quý tộc chỉ lập nghiệp bằng lòng dũng cảm, chỉ riêng lòng dũng cảm của mình thôi.	Ne tűrj el soha semmit, csupán a bíboros úrtól és a királytól.	-0.11
Kẻ nào run sợ trong giây phút có thể để tuột mất cơ may mà chỉ đúng trong giây phút đó vận may mới chìa tay với họ.	Ma nemes ember csupán bátorsággal juthat előre, bátorsággal, semmi egyébbel.	0.1
Con còn trẻ, con phải can trường bởi hai lẽ: thứ nhất, chính vì con là dân Gátxcông và thứ hai, con là con bố.	Talán épp abban a pillanatban szalasztod el a szerencse horgát, amikor gyáván megremegsz.	0.184337
Đừng sợ những cơ hội và hãy tìm kiếm những cuộc phiêu lưu.	Fiatal vagy, légy bátor két okból is; először, mert gascogne-i vagy, másodszor, mert a fiam vagy.	0.202941
Bố đã cho con học múa gươm.	Ne ijedj meg az alkalomtól; keresd a kalandot.	0.203226
Con có khoeo chân sắt, cổ tay thép, hãy chiến đấu vào mọi lúc, các cuộc quyết đấu càng bị cấm đoán, do đó càng phải chiến đấu bằng gấp đôi lòng dũng cảm.	Megtanítottalak a kardforgatásra; inad akár a vas, a csuklód acél; verekedj derűre-borúra; verekedj, már csak azért is, mert a párbaj tilos, tehát kétszeresen bátor, aki verekszik.	0.292899
Con trai ạ, ta chỉ có mười lăm đồng vàng, con ngựa của ta và những lời khuyên như con vừa nghe để cho con.	Nincs egyebem, fiam, csupán ez a tizenöt tallér, ez a ló és tanácsaim; többet nem adhatok.	0.195181
Mẹ con sẽ thêm vào đó cách chế một món thuốc cao học được của một bà Bôhêmiêng, có một công năng kỳ lạ chữa khỏi mọi vết thương không chạm vào tim.	Anyád sem akar puszta kézzel elereszteni; tőle egy sebkötöző balzsam receptjét kapod; egy cigányasszonytól szerezte, csodálatos ereje van: minden sebet meggyógyít, kivéve a szív sérüléseit.	0.275148
Hãy tận dụng mọi cái, và hãy sống hạnh phúc và trường thọ, ta chỉ còn một điều nữa để nói thêm, đó chính là tấm gương ta nêu với con, không phải của ta, bởi ta chưa bao giờ có mặt ở triều đình, mà ta chỉ tình nguyện tham gia chiến tranh tôn giáo, mà ta muốn nói đến ông Treville xưa từng là láng giềng của ta, người đã có vinh dự khi còn tấm bé đã chơi với Vua Louis XIII của chúng ta.	Használj mindent egészséggel; élj boldogan és sokáig. ~~~ - Most pedig búcsúzóul csak ennyit: példaképet állítok elébed, nem a magamét, mert én az udvarig sosem jutottam, csupán a vallásháborúkban verekedtem mint önkéntes; legyen hát példaképed Tréville úr, egykori szomszédom, akit gyermekkorában az a kitüntetés ért, hogy játszótársa volt XIII.	-0.0355856
Đôi khi trò chơi của họ chuyển thành các trận choảng nhau, và trong những trận chiến ấy nhà Vua không phải lúc nào cũng là kẻ mạnh hơn.	Lajos királynak - áldás nevére! ~~~ Játszadozásuk olykor verekedéssé fajult, és e csetepatékban nem mindig Tréville úr húzta a rövidebbet.	-0.0146617
Những miếng đòn nhà Vua nhận được khiến Ngài càng thêm khâm phục, và thân thiết nhiều hơn với ông Treville.		-0.3
Sau này lần đầu tiên trong chuyến đến Paris, ông Treville đã chiến đấu chống lại những kẻ khác năm lần.	Ökölcsapásaival megszerezte a király barátságát és megbecsülését.	0.109859
Từ eái chết của nhà Vua quá cố đến khi nhà Vua trẻ trưởng thành, không kể các cuộc chiến tranh và các cuộc vây thành, ông chiến đấu bảy lần, và từ khi nhà Vua trưởng thành đến nay, có lẽ tới trăm lần.	Később Tréville úr másokkal verekedett első párizsi útján öt ízben; néhai jó királyunk halála és ifjú király urunk nagykorúsága között - háborúságot, ostromokat számba sem véve - hét ízben; attól fogva pedig a mai napig talán száz alkalommal is!	0.274208
Vì vậy, mặc dầu những pháp lệnh, những chỉ dụ, những sắc lệnh thế mà thấy không, ông vẫn cứ là đại úy ngự lâm quân, có nghĩa là chỉ huy binh đội Céda mà nhà Vua chủ yếu dựa vào đó, còn Giáo chủ thì kiêng nể, vị Giáo chủ như mọi người đều biết, có kiêng nể điều gì đâu.	Ezért is lett belőle törvények, rendeletek és ítéletek ellenére, testőrkapitány; egy egész sereg ördögnek parancsol, igen nagyra tartja őket a király, és fél tőlük a kardinális úr, pedig az, mindenki tudja, nem ijed meg a saját árnyékától.	0.20087
Hơn nữa, ông Treville kiếm mười nghìn đồng tiền vàng mỗi năm, vậy là cỡ một đại lãnh chúa mạnh rồi.	Mindezen túl Tréville úr tízezer tallért keres évente; szóval igen nagy úr.	0.127397
Ông ta cũng khởi đầu như con.		-0.3
Hãy đến gặp ông cùng với bức thư này, và hãy noi gương ông để làm sao được như ông".	- Ő is úgy kezdte, mint te; keresd föl hát ezzel a levéllel, őt kövesd, járj az ő nyomdokain.	0.264706
Tới đây, ông D Artagnan bố đeo thanh kiếm của mình, cho con trai, trìu mến ôm hôn chàng lên hai bên má và cầu phúc cho chàng.	Azzal D’Artagnan úr fia derekára kötötte saját kardját, gyöngéden megcsókolta mindkét felől, és ráadta atyai áldását.	0.287603
Rời khỏi phòng cha, chàng trai thấy mẹ mình đang đợi mình với phương thuốc trứ danh, theo lời dặn dò của ông bố sẽ luôn luôn cần đến cho chàng.	A fiatalember kilépett apja szobájából; anyja már várta a híres recepttel; gondolhatjuk, hogy elég gyakran lesz rá szükség, ha a fiatalember megfogadja az imént hallott tanácsokat.	0.279114
Cuộc giã biệt ở đây lâu la hơn và trìu mến hơn "cuộc giã biệt" vừa rồi, chẳng phải vì ông D Artagnan bố không yêu con trai, kẻ nối dõi độc nhất của mình, nhưng ông ta là một người đàn ông và sẽ bị xem là không xứng đáng khi phó mặc mình cho cảm xúc, còn như bà D Artagnan, bà là đàn bà, hơn nữa là mẹ.	Ez a búcsúzás hosszabb és gyöngédebb volt, mint az előbbi, nem mintha D’Artagnan úr nem szerette volna a fiát, egyetlen magzatát, D’Artagnan úr azonban fiatalember volt, és úgy érezte volna, férfihoz méltatlan az elérzékenyülés; D’Artagnanné viszont csupán asszony, sőt anya.	0.235714
Bà khóc sướt mướt, và phải khen chàng D Artagnan con, đã cố gắng để tỏ ra cứng rắn như một ngự lâm quân tương lai cần phải thế, nhưng bản năng cuốn chàng theo khiến nước mắt chàng lã chã tuôn rơi, khó khăn lắm mởi giấu đi được một nửa.	- Bőven hullatta könnyeit, és ifjabb D’Artagnan úrban, tegyük hozzá, dicséretére, bármint igyekezett is, hogy egy reménybeli testőrhöz méltó szilárdságot tanúsítson, felülkerekedett a természet, derekasan pergett szeméből a könny; alig felét sikerült kínos-keservesen lenyelnie.	0.287452
Cùng ngày hôm ấy, chàng trai trẻ lên đường mang theo ba tặng vật của cha như đã nói, gồm mười lăm đồng vàng, con ngựa và bức thư cho ông Treville, hơn nữa có cả những lời khuyên nữa.	A fiatalember még aznap útnak indult, felszerelkezve a három atyai ajándékkal, vagyis, mint említettük, a tizenöt tallérral, a lóval és a Tréville úrnak szóló levéllel; amint helyesen gyanítjuk, a tanácsokat ráadásul kapta.	0.275635
Với một hành trang như vậy, D Artagnan thấy mình về tinh thần cũng như thể xác, như một bản sao chính xác nhân vật của Xécvăngtéc mà ta đã đem ra so sánh một cách rất chi thích đáng, khi mà nhiệm vụ của một sử gia buộc chúng tôi cần thiết phải phác họa chân dung chàng.	Ezzel a vade mecummal birtokában D’Artagnan kívül-belül megszólalásig hű hasonmása volt a cervantesi hősnek; nem is volt szerencsétlen ötlet, hogy hozzá hasonlítottuk, amikor történetírói kötelességünk szerint arcképét papírra vetettük.	0.234894
Đông Kihôtê coi những cối xay gió như những gã khổng lồ và lũ cừu là nhứng đoàn quân, còn D artagnan lại coi mỗi nụ cười là một sự lăng mạ và mỗi cái nhìn là một sự khiêu khích.	Don Quijotenak óriás volt minden szélmalom, hadsereg minden birkanyáj; ifjabb D’Artagnannak sértés volt minden mosoly, kihívás minden tekintet.	0.172993
Vì vậy, dọc đường từ Tarbes đến Măng, chàng luôn giữ chặt nắm đấm, và tay kia vì lý do này khác đặt lên đốc gươm đến mươi lần trong ngày, tuy nhiên nắm đấm chưa hề quai xuống hàm ai và gươm cũng không hề tuốt ra khỏi vỏ.	Így aztán, mialatt Tarbes-tól Meung-ig ért, egyre-másra ökölbe szorította a kezét, és napjában tízszer is kardjához kapott; ökle mégsem ütközött össze az állkapocsokkal, és kardja sem került elő hüvelyéből.	0.241463
Không phải con nghẽo con màu vàng hãm tài kia không gây cười trên khuôn mặt khách qua đường, mà chính vì bên sườn con ngựa còi ấy còn lạch phạch một thanh gươm dài đáng nể, và bên trên long lanh con mắt nom có vẻ dữ tợn hơn là kiêu hãnh, khách qua đường vì vầy thường cố nén để không rũ ra cười, hoặc dù cẩn tắc cũng không nén nổi, cũng phải cố chỉ cười nửa miệng giống như nhửng vai hề cổ.	Nem mintha az istenverte sárga ló megjelenése nem ingerelte volna mosolygásra a járókelőket, de odafenn a magasban jókora kard csörömpölt a lovas oldalán, s a kard fölött büszke, sőt vad tekintet villogott - így hát a járókelők elnyomták derültségüket, vagy ha az minden elővigyázatosságuk ellenére mégiscsak előtört, legalább azon fáradoztak, hogy ókori álarcok módjára csupán fél képükkel nevessenek.	0.269845
Cho nên D Artagnan vẫn đường đường oai phong, không sao trước cái tính nóng nảy cố hữu cho tới khi đến cái thị trấn Măng khốn khổ này.	D’Artagnan érzékenysége és méltósága tehát csorbítatlan maradt, míg csak az átkozott Meung városába nem ért.	0.202703
Nhưng nơi đây khi chàng vừa xuống ngựa trước cửa lữ quán Chủ cối xay, chẳng người nào, từ chủ quán, hầu bàn, người coi ngựa, tới giữ bàn đạp ngựa cho chàng ở bậc lên xuống ngựa. ~~~ D artagnan trông thấy ở khuôn cửa sổ hé mở của tầng trệt một nhà quý tộc, vóc dáng đẹp, vẻ kiêu kỳ, tuy nét mặt hơi cau có đang nói gì đó với hai người đang nghe một cách kính nể.	Itt azonban, amint éppen lefelé kászálódott lováról a Szabad Molnár kapujában - és bizony sem gazda, sem inas vagy lovász nem sietett elébe, hogy a kengyelből lesegítse -, az egyik földszinti ablak nyílásában arányos termetű, büszke képű nemes urat pillantott meg; a kissé gúnyoros modorú férfi két másik férfival beszélgetett, s azok szemlátomást tisztelettel hallgatták.	-0.0199717
Theo thói quen, D Artagnan hoàn toàn tự nhiên tin rằng mình là đối tượng của câu chuyện và lắng nghe.	D’Artagnan, szokása szerint természetesen azt hitte, róla folyik a szó, és hegyezni kezdte a fülét.	0.265263
Lần này chàng chỉ nhầm có một nửa: vấn đề không phải là chàng mà là con nghẽo của chàng.	Ezúttal nem is nagyon tévedett, bár nem róla, hanem lováról csevegtek.	0.152239
Gã quý tộc như đang liệt kê cho đám người nghe tất cả các thuộc tính của con nghẽo và như vì đã nói, người nghe xem ra rất kính nể người kể chuyện, mỗi lúc họ lại phá lên cười.	A nemes úr a ló tulajdonságait vette sorra hallgatói előtt, és mivel azok, mint már említettem, igen nagy tisztelettel követték előadását, sűrűn félbeszakították kacagásukkal.	0.25814
Mà chỉ một nửa nụ cười cũng đủ khơi dậy cái tính dễ nổi cáu của chàng trai trẻ, sẽ hiểu ngay những chuỗi cười ầm ĩ như thế sẽ tạo nên hiệu quả thế nào đối với chàng.	Már a mosolygásnak az árnyéka is lángra lobbantotta volna a fiatalember dühét; képzelhetjük, milyen hatással volt rá az ilyen zajos derültség.	0.172059
Thế nhưng D artagnan trước hết muốn thấy rõ được bộ mặt của kẻ hỗn xược đang nhạo mình.	Mégis, D’Artagnan mindenekelőtt szerette volna alaposabban szemügyre venni az illetőt, aki így pimaszkodni merészel vele.	0.265385
Chàng găm cái nhìn kiêu hãnh vào kẻ lạ mặt và nhận ra một người đàn ông khoảng bốn mươi, bốn nhăm tuồi, đôi mắt đen và sắc nhọn nước da xanh tái, mũi rất cao, ria mép đen, tỉa xén hoàn hảo. ~~~ Hắn ta mặc áo chẽn ngắn và quần ống túm màu tím có tua cùng màu, không có bất kỳ trang sức nào ngoài những rãnh xẻ quen thuộc để luồn áo lót qua đó.	Gőgösen rátekintett az idegenre, majd felnyársalta szemével; negyvenöt éves férfi lehet, szeme fekete, pillantása átható, bőre sápadt, orra erősen rajzolt, hibátlanul vágott fekete bajusza van: lila ujjast és lila szalagos térdnadrágot visel; ujjasának egyetlen dísze a szokásos többszörös hasíték: ingének ujja ezen bújik át.	-0.0267516
Quần ống túm và áo chẽn màu dù còn mới, lại có vẻ dầu dãi như những trang phục du hành xếp kín lâu trong valy lớn.	A térdnadrág és az ujjas, jóllehet vadonatúj mind a kettő, gyűrött, mint az úti ruhák, ha sokáig törődtek az utazó kosárban.	0.2925
D artagnan tiếp nhận tất cả những đặc điểm đó với sự mau lẹ của một quan sát viên tỉ mỉ nhất và chắc chắn bởi một linh tính mách bảo chàng rằng con người xa lạ kia ắt có một ảnh hưởng lớn đến đời chàng sau này.	D’Artagnan gyorsan rendkívül tüzetesen figyelte meg e részleteket; ösztöne kétségkívül azt súgta neki, hogy az ismeretlen férfinak még fontos szerepe lehet életében.	0.155556
