CHARLES DICKENS	﻿CHARLES DICKENS	1.24
"Sáng sớm mai, mày phải mang đến cho tao cái giũa và đồ ăn.	- Hónap korán reggee eehozod nekem a reszelőt meg az ennivalót.	0.274138
Mày phải mang tất mấy món đến chỗ cái pháo đài cũ ở đằng kia cho tao.	Eehozod amoda a régi ütegsáncra.	-0.121875
Làm đúng như thế, và cấm không bao giờ được hé miệng một lời hay dám ra hiệu gì về chuyện mày đã thấy một người như tao, hay bất cứ ai, như thế mày sẽ được yên thân mà sống.	Eehozod és soha életedbe se szóvaa, se jellee ee nem árulod, hogy tanákoztál olyanforma emberree, amijjen én vagyok, vagy hogy egyátajján tanákoztál akárkivee is. ~~~ Ha szót fogacc, akkor élve maracc.	-0.00810811
Không làm được, hay làm sai lời tao, dù chỉ một li một lai, tao sẽ moi tim móc gan mày ra, nướng lên và chén sạch.	De ha nem fogacc szót, vagy ha csak egy hajszányira is eetérsz a szavaimtú, akkor kitépik a szívedet meg a májadat, kitépik, megsütik és megeszik.	0.258974
Nói luôn để mày biết, tao không chỉ có một mình như mày có khi đang nghĩ đâu.	Mer én nem egyedű vagyok ám, ha talán azt hiszed is.	0.0702128
Có một thằng bạn trẻ hơn trốn cùng tao, và so với hắn tao còn là thiên thần cơ đấy.	Velem van elbujva egy fiatalember is, akihö képpest én angyaa vagyok.	0.161905
Thằng bạn này nghe thấy những gì tao nói.	Ez a fiatalember hajja minden szavamat.	0.214286
Thằng bạn trẻ này có một cách bí mật chỉ mình nó biết để tìm đến một thằng nhóc con, đến quả tim và lá gan của thằng nhóc con đó.	Ez a fiatalember hozzá tud férni titokba minden kisfiúho, hozzá tud férni a szivéhö meg a májáho.	0.118681
Một thằng nhóc tìm cách trốn gã thanh niên đó thì chỉ phí công thôi.	A kisfiú hiába próbána elbujni ez elül a fiatalember elül.	0.203571
Thằng nhóc con có thể khóa cửa, có thể nằm im trên giường ấm áp, có thể rúc vào dưới chăn, có thể kéo áo lên trùm đầu, có thể nghĩ nó đang thoải mái và an toàn, nhưng thằng bạn trẻ của tao sẽ nhẹ nhàng rón rén tìm được tới chỗ thằng nhóc con và mổ phanh bụng nó ra.	Bezárhattya az ajtaját, belefekhet a meleg ágyába, jó betakarózhat, akár a fejire is húzhattya a takaróját és azt hiheti, hogy kényeemes, biztos hejre bújt: ez a fiatalember szép csendesen mégis be fog surranni hozzá és szét­marcangója a kisfiut.	0.221739
Ngay lúc này đây tao đang cố ngăn để hắn đừng làm hại mày, khó cực kỳ đấy.	Most is alig bírom visszatartani ezt a fiatalembert, hogy ne báncson.	0.183871
Tao thấy thật khó giữ hắn tránh xa tim gan mày ra.	Nagy fáraccságomba kerű rábírni aara, hogy ne báncsa a beleidet.	0.235294
Giờ mày nói sao nào?"	No, mit szósz hozzá?	0.255
Tôi nói tôi sẽ mang cho ông ta giũa, và tôi sẽ mang cho ông ta tất cả thức ăn vụn tìm được, và sẽ tới gặp ông ta ở chỗ pháo đài cũ vào lúc sáng sớm.	Kijelentettem, hogy megszerzem neki a reszelőt és szerzek maradékételt amennyit csak tudok és fölkeresem őt korán reggel az ütegsáncon.	0.227344
"Thề là nếu mày không làm thì Chúa đánh chết mày đi!" người đàn ông nói.	- Mondd, hogy az Úristen büntessen halállaa, ha nem teszed meg! ~~~ - parancsolta.	-0.01875
Tôi thề, vậy là ông ta hạ tôi xuống đất.	Utánamondtam; erre aztán letett a földre.	0.2475
"Bây giờ," ông ta nói tiếp, "hãy nhớ những gì mày đã thề, hãy nhớ thằng bạn trẻ của tao, và xéo về nhà đi!"	- Most penig - folytatta -, ne felejcsd ee, mire vállalkoztá, ne felejcsd ee a fiatalembert, és ereggy haza!	0.220213
"Chúc ông buổi tối tốt lành ạ," tôi lắp ba lắp bắp.	- Jó-ó éccakát, uram -, szóltam hebegve.	0.1575
"Đủ rồi" ông ta nói, đưa mắt nhìn quanh cảnh vật bằng phẳng ướt át lạnh lẽo.	- Nagyon rám férne! ~~~ - szólt, körültekintve a hideg, nedves lapályon.	-0.0492537
"Tao ước gì tao là một con ếch.	- Legszívesebben béka lennék.	0.26
Hay một con lươn!"	Vagy ángolna!	0.171429
Cùng lúc, ông ta đưa cả hai cánh tay quàng quanh thân hình đang run bần bật của mình - ghì chặt, như thể để giữ cho cả người khỏi bung ra - rồi tập tễnh lê bước về phía bức tường thấp quanh khuôn viên nhà thờ.	Ugyanekkor átölelte didergő testét mind a két karjával, mintha attól félne, hogy darabokra málik, és megindult bicegve az alacsony templomfal felé.	0.114388
Khi tôi nhìn ông ta bỏ đi, len lỏi giữa những bụi tầm ma và những cây mâm xôi mọc viền quanh các nấm mộ màu xanh lục, trong đôi mắt trẻ thơ của tôi, ông ta như thể đang cố né tránh bàn tay của những người đã khuất đang từ từ thò ra từ huyệt mộ để tóm lấy cổ chân ông ta, lôi ông ta xuống mồ.	Amint elnéztem, hogyan keresgéli az utat a zöld töltések mentén a sok csalán és tüskebokor között, fiatal szememnek úgy rémlett, mintha kikerülni iparkodnék a halottak kezeit, amelyeket óvatosan kinyujtottak sírjukból, hogy bokán ragadják és lehúzzák őt magukhoz.	0.22381
Khi người đàn ông tới chỗ bức tường thấp, ông ta leo qua tường, bộ dạng như một người có đôi chân đã tê dại cứng đờ, rồi ngoảnh lại tìm kiếm tôi.	Mikor eljutott az alacsony templomfalhoz, zsibbadt-meredtlábu ember módjára átvergődött rajta, aztán hátrafordult, hogy utánam nézzen.	0.212977
Khi thấy ông ta quay người, tôi liền ngoảnh mặt nhìn về phía nhà mình, rồi co cẳng chạy thật nhanh.	Mikor láttam, hogy megfordul, én is meg­fordultam, hazafelé, és egy csöppet se kíméltem a két lábamat.	0.272449
Nhưng rồi tôi ngoái lại thì thấy ông ta đã tiếp tục đi về phía con sông, hai cánh tay vẫn ôm chặt quanh người, dò dẫm bước đi trên đôi chân rách tướp qua các tảng đá lớn được ném rải rác xuống đầm lầy làm chỗ đặt chân khi trời mưa to hoặc thủy triều dâng.	De csakhamar hátratekintettem és láttam, hogy továbbmegy a folyó felé, még mindig átölelve magát mind a két karjával, és az utat keresgélve sebes lábaival a nagy kövek között, ame­lyeket azért helyeztek el itt is, ott is, az emberek a lápvidéken, hogy nagy esőzések vagy a dagály idején legyen hol megvetni a lábukat.	0.289437
Lúc đó, khi tôi dừng bước dõi theo ông ta, đầm lầy chỉ là một dải dài màu đen chạy theo đường chân trời; còn con sông cũng chỉ là một dải đường chân trời khác, dù không rộng bằng, cũng không đen bằng; còn bầu trời chỉ là một hàng những lằn dài đỏ cạch giận dữ và những đường màu đen đặc quánh đan xen nhau.	A lápvidék, amikor megálltam, hogy az idegen után nézzek, hosszú, fekete vízszintes vonal volt csak; vízszintes vonal volt a folyó is, csakhogy sokkal keskenyebb és nem is annyira fekete, mint az előbbi; az égen pedig hosszu haragosvörös vonalak keveredtek sűrű fekete vonalakkal. ~~~ A folyó szélén éppen hogy láttam még azt a két feketeséget, amely mintha egye­dül meredt volna fölfelé az egész szemhatáron.	-0.0148688
Bên rìa con sông tôi nhìn suốt tầm mắt chỉ thấy lờ mờ hai thứ màu đen dường như đứng thẳng; một trong hai là cột mốc nơi các thủy thủ bẻ lái - trông giống một cái thùng tô nô bị tháo đai úp trên ngọn sào - một thứ thật xấu xí khi bạn lại gần nó; vật còn lại, một giá bêu xác, lòng thòng mấy sợi xích từng có lúc giữ chặt một gã cướp biển.	Az egyik a világító péce volt, amely a hajósok kormányzását irányította - abroncstalan hordóhoz hasonlított egy pózna tetején - és közelről ugyancsak csúf dolog volt; a másik akasztófa volt, maradék láncdarabokkal, amelyeken valaha egy kalóz lógott.	0.291451
Người đàn ông đang tập tễnh bước đi về phía vật thể thứ hai này, như thể ông ta chính là gã cướp biển vừa sống dậy, xuống khỏi giá và giờ đang quay lại để tự treo cổ mình lên lần nữa.	Az idegen az akasztófa felé billegett, mintha a kalóz lett volna, aki fölelevenedett, leszállt a földre és most megy vissza, hogy ujra fölakassza magát.	0.148921
Nghĩ đến đây, tôi chợt hãi đến sởn gai ốc; và khi trông thấy đám gia súc nghểnh cổ lên nhìn theo ông ta, tôi tự hỏi liệu chúng có nghĩ như mình không. ~~~ Tôi nhìn quanh, tìm kiếm gã trẻ tuổi đáng sợ kia, và chẳng thấy tăm hơi gã đâu.	Nagyon megrémültem, amint ez a gondolatom támadt; s mikor láttam, hogy a barmok is fölemelik a fejüket és az idegen után néznek, szerettem volna tudni, vajjon ők is ugyanezt gondolják-e. Körülnéztem, hogy nem pillantom-e meg valahol azt a rettenetes fiatalembert, de semmi nyoma sem volt sehol sem.	-0.0102
Nhưng đến lúc này tôi lại thấy phát hoảng, và ba chân bốn cẳng không dám dừng bước chạy một mạch về nhà.	De aztán ujra nagy ijedelem fogott el, és megállás nélkül hazáig szaladtam.	0.104167
Chương 2	MÁSODIK FEJEZET.	0.09
Chị gái tôi, bà Joe Gargery, hơn tôi đến ngoài hai mươi tuổi, và cũng đã tạo được tiếng tăm kha khá với chính bản thân cũng như xóm giềng vì chị đã nuôi bộ tôi khôn lớn "bằng tay".	A néném, Gargeryné, több mint húsz esztendővel idősebb volt nálam, s nemcsak a saját véleménye, hanem a szomszédok véleménye szerint is azzal alapozta meg a tekintélyét, hogy engem "csakúgy kézzel"3 nevelt föl.	0.295408
Hồi ấy, vì phải tự tìm hiểu xem cách nói đó có nghĩa là gì, và biết quá rõ bà chị có bàn tay vừa cứng rắn vừa nặng nề; lại thêm thói quen thường xuyên giáng nó xuống ông chồng cũng như tôi, tôi đã đoán chắc cả Joe Gargery lẫn tôi đều được nuôi lớn bằng tay.	Minthogy akkoriban magamnak kellett kitalálnom, mit jelent ez a kifejezés, s minthogy tudtam, hogy a nénémnek kemény és súlyos keze van, amely­nek a súlyát és keménységét gyakran éreztette nemcsak velem, hanem a férjével is, minden­nélfogva arra a föltevésre jutottam, hogy nemcsak én, hanem John Gargery is "csakúgy kézzel" nevelődött föl.	0.321852
Chị tôi chẳng phải là một phụ nữ ưa nhìn gì cho cam; và tôi có một ấn tượng chung chung rằng hẳn chị đã dùng đến tay để buộc Joe Gargery cưới chị.	A néném nem volt csinos nő, s énnekem az volt az általános benyomásom, hogy Gargeryt bizonyára "kézzel" bírta rá arra, hogy feleségül vegye őt.	0.237778
Joe là một người đàn ông điển trai, với những lọn tóc lượn sóng màu vàng nâu rủ xuống hai bên khuôn mặt nhẵn nhụi, cùng đôi mắt màu xanh nhạt đến mức dường như hòa lẫn với tròng trắng.	Joe szőke volt; síma arcába mindkét felén szöszke fürtök lógtak bele, s a szeme kéksége annyira elmosódó volt, hogy szinte beleolvadt a szeme fehérjébe.	0.287586
Anh rể tôi là một người hiền lành, tốt bụng, vui tính, dễ dãi và ngô nghê - giống như Hercules cả trong sức mạnh lẫn sự yếu đuối.	Szelíd, béketűrő, nyájas, kedélyes, bolondos, drága pajtás volt - erős, mint Herkules, de épp olyan gyenge is.	0.358095
Chị tôi, bà Joe, với mái tóc và đôi mắt đen, có nước da luôn ửng đỏ lên tới mức đôi lúc tôi tự hỏi liệu có phải chị tắm rửa bằng một cái bào hạt nhục đậu khấu thay vì xà phòng hay không. ~~~ Chị tôi cao, gầy giơ xương, và gần như luôn mặc một cái tạp dề tồi tàn, được buộc ra đằng sau lưng chị bằng hai nút thắt vòng, đằng trước là một mảnh yếm tạp dề hình vuông bất khả công phá gài đầy đinh ghim và kim khâu.	A nénémnek, Joe feleségének, fekete volt a haja és a szeme, de a bőre olyan rikító vörös volt, hogy én nem egyszer tünődtem rajta, vajjon szappan helyett nem szerecsendió-reszelővel mosakodik-e. Magas, csontos teremtés volt; csaknem mindig durva kötény volt rajta, hátul két csokorral, elől négyszögletes levehetetlen mellénykével, amely tele volt spékelve varrótűvel és gombostűvel.	-0.0398892
Chị tôi luôn coi cái tạp dề như một minh chứng mạnh mẽ về giá trị của mình, đồng thời cũng là lời chê trách nặng nề giáng xuống Joe, thế nên chị cứ mặc nó suốt. ~~~ Cho dù tôi thực sự chẳng thấy có lý do nào bà chị tôi lại phải mặc nó vào người, hay tại sao chị cứ đeo riết nó hằng ngày mà chẳng bao giờ chịu cởi ra.	A néném Joe-nak minduntalan felhánytorgatta, sajátmagának viszont óriási érdemmé tulajdonította, hogy annyit viselte ezt a kötényt, bár én voltakép nem látom az okát, mért kellett neki egyáltalán viselnie, vagy ha már egyáltalán viselte, mért nem tehette le minden áldott nap.	-0.0484791
Lò rèn của anh Joe nằm kề bên ngôi nhà của chúng tôi, một căn nhà cất bằng gỗ như nhiều căn nhà khác ở quê chúng tôi - vào thời ấy thì hầu hết nhà cửa đều thế cả.	Joe kovácsműhelye szomszédos volt a házunkkal, amely faház volt, mint akkoriban a legtöbb lakóház a mi vidékünkön.	0.275758
