Miếng Da Lừa	A SZAMÁRBŐR	0.253846
Hoặc giả đó là bọn cảnh sát ẩn nấp ở khắp các cống rãnh xã hội cần biết tên kẻ bán mũ cho anh, hay chính tên anh nếu anh đã ghi nó vào mũ?	Avagy talán a rendőrségnek, ki még a legutolsó füstös lebujba is befészkelődik: érdekében áll megtudnia a kalapos, helyesebben a kalap tulajdonosának a nevét, mit a mitsem sejtő játékos netalán belefirkantott a bélés selymébe?	0.168
Sau nữa, hay là để đo cái sọ anh và làm một bản thống kê bổ ích về dung lượng bộ não của quan viên làng đen đỏ?	Vagy végre csupán csak egy kis ártatlan, de fölöttébb tanulságos statisztikai táblázat összeállitásáról van szó, mely a különböző koponyaméretek egybevetésével a játékosok agy-alakulását fürkészi?	0.107317
Về vấn đề trên đây thì nhà đương cục hoàn toàn im lặng.	Maga az intézőség természetesen mind e dolgokra mélységes hallgatással felel.	0.249231
Nhưng, anh nên biết rằng, anh vừa bước tới gần tấm thảm xanh là chiếc mũ của anh đã không thuộc về anh nữa: anh thuộc về đám bạc, bản thân anh, tài sản của anh, cái mũ của anh, chiếc can của anh và chiếc áo tơi của anh.	Hanem annyi bizonyos, hogy aki csak egyetlen lépést is tett a zöldposztós asztal felé, éppen oly kevéssé ura többé a kalapjának, mint önmagának, mert az után az egyetlen lépés után, bot és köpenyeg, no meg a pénzestárca és tetejébe az egész ember a kártyáé már.	0.287288
Khi anh ra về, thần Đổ bác, bằng hành động châm biếm tàn nhẫn, sẽ chứng minh với anh rằng trả hành lý cho anh là còn để lại cho anh chút gì rồi đó.	Kifelé jövet azután valóra válik a kesernyés epigramma s a mindenéből kifosztott ember arra a tudatra ébred, hogy mégis csak maradt még valamije.	0.246667
Tuy nhiên, nếu anh có một chiếc mũ mới, anh sẽ phải thiệt thòi nhận lấy bài học là khi nào đi đánh bạc thì phải khoác bộ đồ con bạc.	Egyébiránt, ha valakinek vadonatuj volt a kalapja, megtanulja a maga kárán, hogy a játékosnak nagyon tanácsos külön e célra tartogatott öltözetben megjelennie.	0.289726
Sự ngạc nhiên của chàng lạ mặt khi nhận được phiếu ghi số gửi mũ, may mắn vành mũ của anh ta đã hơi bợt lông, đủ tỏ là tâm hồn anh ta còn ngây thơ.	A fiatal ember olyan csodálkozó képet vágott a szerencsére már erősen viseltes karimáju kalapért a markába nyomott számozott cédula megpillantásakor, mely nyilvánvalóvá tette járatlanságát e helyen.	0.242593
Lão già bé nhỏ, chắc rằng ngay từ lúc còn ít tuổi đã ngụp mình trong những cuộc vui sôi nổi của cuộc đời con bạc, đưa con mắt lờ đờ, nguội lạnh nhìn anh ta, trong con mắt đó một triết gia có lẽ sẽ nhìn thấy những cảnh cơ cực ở nhà thương, những nỗi bơ vơ của kẻ bị bại sản, những biên bản của bao nhiêu vụ tự tử bằng hơi ngạt, những bản án khổ sai, chung thân, những cảnh đi này biệt xứ ở Guazacoalco.	A kis vén ember, ki minden valószinüség szerint zsenge ifjuságától a kártyabarlangok levegőjét szivta, fénytelen, fakó szemével ráhunyorgott és egy bölcsésznek a vesékig ható éles pillantása meglátta volna benne a kórház nyomorultjait, a tönkrement urhatnámok elzüllését, egy sereg vizbefult öngyilkost, örökös kényszermunkára itélteket és a Guazacoalcóba toloncoltakat…	0.233425
Con người đó, với bộ mặt dài trắng bệch chỉ còn được nuôi sống bằng những bữa cháo sền sệt của Darcet, là hình ảnh nhợt nhạt của dục vọng trình bày dưới trạng thái đơn thuần nhất của nó.	Ez a fakó, megnyultképü vénség, kiben már csak Darcet huskivonatai tartották a lelket, valóságos megelevenedett képe volt a játékszenvedély netovábbjának. ~~~ Arcának mély barázdáiból ki lehetett olvasni egykori kegyetlen gyötrelmeit.	-0.00339367
Trong những nếp nhăn của hắn có vết tích của những khổ nhục xưa kia, chắc rằng hắn đã ném vào cuộc đỏ đen đồng lương còm cõi của hắn ngay bữa lĩnh tiền; giống như con ngựa tồi dạn dày với roi vọt, chẳng có gì làm cho hắn giật mình được; hắn nhất thiết vô tình trước những tiếng rên rỉ nghẹn ngào của những con bạc bị cháy túi bước ra, trước những lời chửi rủa âm thầm, những con mắt ngây dại của họ.	Sohasem tudta megállni, hogy sovány napi bérét még aznap el ne játszsza. ~~~ Most már olyan volt ő is, mint az igába vénült gebe, mikor oda se hederit többé a suhogó ostornak; és közömbös maradt a kifosztott, tönkrejutott kártyások keserves kifakadásaira, néma elszántságára, mikor révedező, üres tekintettel, kitámolyogtak a játékteremből.	-0.0601852
Hắn là hiện thân của thần Đổ bác.	Maga volt már a megtestesült játék.	0.248571
Nếu chàng trai kia đã ngắm nhìn lão canh cửa thiểu não đó thì chắc hẳn anh ta sẽ tự nhủ: "Trong gan ruột lão này chỉ còn có một cỗ bài.".	Ha a fiatal ember egy kissé jobban megnézte volna ezt a komorképü cerberust, alighanem ilyenformát gondolt volna magában:	0.202703
Nhưng chàng lạ mặt chẳng lắng nghe cái lời khuyên can bằng xương thịt đó mà ý hẳn Thượng đế đã đặt tại đó, như Người đã bày ra cảnh ghê tởm trước cửa mọi chốn xấu xa; anh ta quả quyết bước vào gian phòng, nơi đây tiếng vàng làm cho mê lóa những giác quan đầy háo hức.	– Ennek az embernek a szive helyén már csak egy játék kártya van! ~~~ Hanem a mi emberünk nem értette meg e némán is ékesszóló, eleven tanácsot, mit kétségkivül a gondviselés helyezett ide, mint ahogy minden gonosz helyre vezető ajtó küszöbére az undort szokta helyezni… Nem értette meg.	-0.0185393
Chắc hẳn chàng trai kia bị xô đẩy tới đó bởi cái hợp lý nhất trong những lời hùng biện của J.J. Rousseau, mà nội dung thê thảm hình như là thế này: Đúng, tôi quan niệm được một người đi đánh bạc; nhưng là khi giữa hắn và cái chết, hắn chỉ còn nhìn thấy đồng écu cuối cùng của hắn.	Gondolkozás nélkül lépett a terembe, hová az aranypengés csábitó muzsikája csalogatta… Minden valószinüség szerint Jean-Jacques Rousseau gyönyörü mondásainak leglogikusabbja volt a sarkantyuja, melynek veleje ebben volna kifejezhető: Nincsen azon megütközni való, ha valaki kártyához folyamodik, de csupán akkor nincsen, ha önmaga és a halál között nem lát már egyebet az utolsó tallérjánál…	0.235577
Vào buổi tối, các sòng bạc chỉ có một chất thơ tầm thường, nhưng hiệu quả của nó chắc chắn như hiệu quả của một tấn kịch có đổ máu.	II. ~~~ E kártyabarlangok nem nyujtanak este valami poétikus látványt, hanem a látásuk azért versenyre kelhetne a legizgatóbb, véres kimenetelü drámával.	-0.0103448
Các phòng đầy khách xem và con bạc, có những ông già nghèo la cà ở đó để sưởi ấm, có những bộ mặt nhớn nhác, có những cuộc hành lạc bắt đầu trong cốc rượu và sẵn sàng kết thúc dưới sông Seine; nhiệt tình lai láng, nhưng khách làng chơi nhiều quá khiến anh chẳng trực diện ngắm được con quỷ đỏ đen.	A termek végtől-végig csak ugy nyüzsögnek a játszók és szemlélők seregétől és a sok nekihevült arc között nem egy aggastyánt is lehet találni, ki már csak itt tud felmelegedni. ~~~ Azután megkezdődik a tivornya, hogy a bortól mámorosokkal a Szajna hullámai között fejeződjék be.	-0.0393536
Buổi dạ hội quả là một vở hòa tấu trong đó cả đoàn la thét, ở đó mỗi nhạc cụ của giàn nhạc ngân giọng của nó.	A szenvedély urrá lesz a szivek fölött és a nyugalmas szemlélőt éppen a résztvevők nagy tömege gátolja meg abban, hogy farkasszemet nézzen a játék démonával.	0.246094
Anh sẽ thấy ở đấy nhiều kẻ có danh giá tới để tiêu khiển và trả tiền như họ trả tiền để xem hát, chè chén, hay như khi họ tới một gian gác xép mua rẻ những mối hận đau đớn trong vài ba tháng.	Az egésznek olyan képe van, mintha minden egyes résztvevő kivenné a maga részét az általános zsibongásban és minden kis hangszer a maga módja szerint igyekeznék teljesebbé tenni a furcsa zenekar összjátékát.	0.277041
Nhưng anh có hiểu chăng tất cả cái gì là điên cuồng và là hăng hái trong tâm hồn một người sốt ruột đợi sòng bạc mở cửa?	Akadnak azonban e helyen igen tiszteletreméltó férfiak is, kik csupán unalmukat elűzni tévedtek ide és akik éppen ugy megfizetik ezt a gyönyörüséget mint a szinházi belépőjegyet és akik ugy jöttek e helyre, mint máskor talán egy kis padlásszobába, hol aránylag olcsón vásároltak meg háromhavi lelkifurdalást.	-0.0441176
Giữa con bạc buổi sáng và con bạc buổi tối có sự khác nhau như giữa anh chồng hờ hững và gã tình nhân ngây ngất chờ người yêu dưới cửa sổ.	De föl lehet-e fogni egész valójában annak az embernek az őrületes lelkiállapotát, ki mohón lesi a játékház megnyitását?… A reggeli és az estvéli játékosok között olyan a különbség, mint az érzelmeiben már egy kissé megülepedett férj és a szive választottjának ablaka alatt epekedő szerelmes ifju között.	0.0270968
Chỉ buổi sáng mới xuất hiện cái lòng say mê hồi hộp và cái túng quẫn ở trạng thái kinh khủng bóc trần của nó.	Csak reggel felé lángol föl igazán a lobogó szenvedély s csak akkor ölt ijesztő arányokat a szörnyü nyomoruság.	0.257944
Lúc bấy giờ anh có thể ngắm nhìn một con bạc chính cống, một con bạc đã từng bỏ ăn, bỏ ngủ, chẳng sống, chẳng suy nghĩ, vì bị ngọn roi đen đỏ nó quất điếng người, vì bị cơn ngứa ngáy của một nước bạc giày vò.	Csak akkor tárul szemeink elé az igazi játékos, ki nem evett, nem aludt, nem élt, nem gondolkozott egy egész éjszakán által, annyira megviselték lelkének felkorbácsolt indulatai, annyit szenvedett és annyit szorongott a trente et quarante minden kártyájának felvetésekor.	0.282353
Vào cái giờ khốn kiếp đó, anh sẽ bắt gặp những con mắt mà vẻ điềm nhiên trông phát sợ, những bộ mặt làm anh mê hoặc, những cái nhìn muốn lật quân bài lên và nghiến ngấu nó.	Csak akkor tárul szemünk elé a sok hátborzongatóan nyugalmas szem, megragadó kifejezésü arc és az a sok sóvár tekintet, melyek valósággal elnyelik a fölvetett kártyalapot.	0.242945
Cho nên các sòng bạc chỉ tuyệt diệu vào giờ mở cửa.	Igen, ilyenkor szokták megtenni az utolsó kisérletet azok, akik kudarc esetén nem haboznak agyukba golyót röpiteni.	0.0559322
Ví bằng, Tây Ban Nha có đấu bò mộng, La Mã đã có những đấu sĩ, thì Paris kiêu hãnh vì khu Hoàng cung của nó, với những bánh xe quay kêu rít đem lại cái thú nhìn thấy máu chảy như suối mà người đứng xem chẳng lo trượt chân.	Nyolc óra mulva már csak a puszta vakeset, a kártyák véletlen, esetleges összetalálkozásától függ minden. ~~~ A rouge vagy a noire tizszer nyert egymásután.	-0.0924658
Anh hãy thử liếc mắt thoáng nhìn vào cái vũ đài đó anh hãy vào xem?...	A játékházak csak a bank megnyitásakor mutatnak valami nagyobbszerüt.	0.268657
Thật là trần trụi. ~~~ Cái bức tường phủ một thứ giấy bóng nhờn cao ngang đầu người, không có lấy một tranh ảnh gì có thể làm dịu được tâm hồn; không có tới cả một chiếc đinh để giúp người ta tự tử.	Ha Spanyolországnak megvannak a maga bikaviadalai, mint ahogy Rómának megvoltak a gladiátorai, ugy Páris büszkén hivalkodhatik a Palais-Royalával, melyben a kis csábitóan pergő roulette-ek nyomán szintén patakokban folyik a vér, bár nem kell attól tartanunk, hogy a termek sima padolatán belegázolva megcsuszamlunk a vértócsákban.	-0.0532895
	Vessünk csak egy futó pillantást ebbe az arénába; tessék belépni!… Minő kopárság!… A falakon embermagasságnyira körülfutó fakószürke papirszőnyeg egyhanguságát egyetlen kép sem szakasztja meg, hogy legalább annak szemléletében nyerhetnénk némi üdülést; mi több, még egy árva szög sem akad e kopár falakon, mely hamarosabban végrehajthatóvá tenné az öngyilkosságot.	-0.3
Sàn nhà thì mòn, bẩn thỉu.	A padolat kopott és piszkos.	0.253846
Giữa buồng kê một chiếc bàn dài hình chữ nhật.	A hosszukás nagy asztal a terem közepén van.	0.204878
Những chiếc ghế độn rơm xuềnh xoàng kê sát xung quanh tấm thảm nhẵn mòn vì tiền bạc, nói lên cái điều kỳ quặc là những con người tới đó để chết vì tiền tài và xa hoa lại không thiết tha gì với xa hoa.	Ide-oda görgetett aranyaktól megkopott zöld posztója és a körös-körül elhelyezett szalmafonatu székek elég furcsán azt látszanak bizonyitani, hogy azok az emberek, kik éppen a fényüzés vágya és a pénzsóvárság miatt rohannak vesztükbe e helyen, legalább itt édes-keveset törődnek a ragyogással.	0.21448
Mối mâu thuẫn trong con người đó bộc lộ ra ở khắp nơi nào mà tâm hồn người ta phản ứng mãnh liệt với bản thân.	Ez a valósággal emberi ellentét a tehetetlenségükben vergődő lelkekben szokott fölmerülni.	0.183333
Kẻ si tình muốn đặt tình nương của mình trong tơ lụa, khoác lên mình nàng một tấm vái mịn màng của phương Đông, thế mà thường khi lại ôm ấp nàng trên tấm phản tồi tàn.	A szerelmes selyembe-bársonyba szeretné öltöztetni kedvesét és rárakná a Kelet legdrágább patyolatát, bár legtöbbnyire csak valami nyomorultul rozzant nyoszolyán hál vele.	0.264072
Gã tham danh ước mơ leo tới chỗ tột cùng của quyền cao chức trọng, thế mà lại xẹp mình trong đống bùn nô lệ.	A nagyravágyó mindenhatóságról álmodik, bár a megalázkodás pocsolyasarában fetreng.	0.181395
Tay lái buôn sống vất vưởng trong xó cửa hàng ẩm thấp nhớp nhơ, thế mà lại rắp mong xây dựng nhà lầu cao rộng để truyền lại cho con trai, nó chưa kịp thừa hưởng thì đã bị tống đi vì một cuộc phát mại giữa anh em.	A kalmár sötét, nyirkos boltjában nyomorog, bár nagyszerü palotát épittet, ahonnan azután fiát, az időelőtti örököst az árverésen testvér-megpörditette dob üzi ki.	0.169325
Nói cho cùng, còn có nơi nào đen tối hơn chốn hồng lâu? ~~~ Vấn đề thật là kỳ dị!	Van-e a konyhai látványosságokon és a büzös csapszéken kivül visszataszitóbb valami, mint a kártyabarlang?	-0.0252809
Con người luôn luôn mâu thuẫn với mình, lấy những đau khổ trước mắt để đánh lừa những hy vọng mai sau, và xoa dịu những đau khổ hiện tại bằng một tương lai không thuộc quyền mình, mọi hành động của họ đều mang dấu ấn của tính không nhất trí và nhu nhược.	Különös probléma!… Szakadatlan küzdelmet folytatva önmagával, megcsalva reményeit a jelen gyötrelmeivel, kecsegtetve magát a jövővel, mely nem az övé többé: az ember minden cselekedetére rányomja a következetlenség és gyengeség bélyegét.	0.233617
Dưới trần gian này không gì trọn vẹn hơn là sự khổ hạnh.	Nincs is egyéb tökéletes ezen a világon, mint maga a szenvedés… Mikor a fiatal ember a terembe lépett, már voltak néhányan az asztal körül.	0
Lúc chàng trai bước vào sòng thì đã có một số khách chơi ở đó rồi.	Három tarkóig kopasz öreg ember ült közömbösen a zöld posztótakaró mellett.	0.296
Ba ông già đầu hói uể oải ngồi quanh tấm thảm xanh, mặt họ như đúc bằng thạch cao, thản nhiên như mặt các nhà ngoại giao, để lộ ra những tâm hồn chán chường, những quả tim đã từ lâu không còn thổn thức, ngay cả khi đem tố tài sản riêng của một phụ nữ.	Hideg, érzéketlen arcuk merev volt, mint a diplomatáké és elárulta, hogy ez a három összezsugorodott, megkérgesedett sziv réges-régen eltanult már hevesebben dobogni és akkor sem verne lázasabban, ha az asszony féltve dugdosott pénzecskéje volna feltéve az utolsó kártyára.	0.275581
Một thanh niên người Ý, tóc đen, sắc mặt xanh xao, bình thản ngồi tựa khuỷu tay vào đầu bàn, và dường như đang nghe tiếng của linh tính thầm bảo bất cứ một tay chơi nào: "Trúng đấy!	Az asztalvégre könyökölve egy olajbarnaképü, feketefürtü fiatal olasz várta azt a bizonyos sugallatot, mely olykor-olykor olyan végzetes tanácsot ad a habozó játékosnak: "Igen!	0.248521
- Hỏng rồi!" ~~~ Cái đầu gã miền Nam đó bốc ra vàng và lửa.	– Nem!" Az a délvidéki arc csak ugy lángolt a sóvárgástól.	-0.0155172
Bảy tám người chầu rìa, đứng thành một nhóm, chờ xem những cảnh rủi may, những bộ mặt khách chơi, tiền bạc qua lại và những chiếc cào đưa đẩy.	Hét-nyolc bámész szemlélődő leste a látványosságot, mit majd a vakeset, a résztvevők arca és az ide-oda gereblyézett aranyhalmok fognak nyujtani nekik.	0.262759
Bọn vô công rồi nghề đứng đó, im lặng, không nhúc nhích, chăm chú như quần chúng ở pháp trường Grève khi gã đao phủ chặt đầu người.	Ez a renyhe népség még lélegzetét is visszafojtva, némán, mozdulatlanul ugy állott az asztal körül, mint kivégzéskor a csőcselék a Grève-téren, mikor a hóhér már munkára készül.	0.247297
Một người cao lớn khô khan, mặc chiếc áo sờn rách, tay này cầm quyển sổ, tay kia chiếc kim găm để ghi những tiếng bạc đỏ đen.	Egy viseltes ruhába öltözött hórihorgas, szikár férfiu egyik kezében rovátkolt papirlapot, másikban pedig valami gombostüfélét tartott, hogy a rouge és noire tételeit jegyezze.	0.230435
Đó là một trong những Tantale thời nay sống ngoài lề mọi lạc thú của thời đại, một tên hà tiện kiết xác đánh một nước bạc tưởng tượng; một hạng người điên biết điều ôm ấp một mối ảo tưởng để xoa dịu những nỗi cực khổ của mình, rút cục là để đối phó với thói hư và tệ nạn như những thày tu trẻ tuổi ban rượu và bánh thánh trong buổi lễ sớm.	Egyike volt Tantalus modern ivadékainak, kik tőszomszédjában élnek e század minden élveinek anélkül, hogy valójában belemerülhetnének, egyike ama zsugoriknak, kiknek egy garasuk sincsen, kik képzelt tételekre játszanak és minden dőreségük mellett is valóságos vigaszt találnak nagy nyomoruságuk közepette bohó agyrémeikkel való kacérkodásaikban s végre is olyanformán fogják föl a bünt és veszedelmet, mint a fiatal, még ki nem ábrándult papocskák az urvacsorát, mikor misét mondanak.	0.249242
Trước mặt người cầm cái, một hai tay lõi nghề cờ bạc, sành sỏi nước bài, và giống như những người tù khổ sai kỳ cựu không còn sợ khổ hình, tới đó đánh vài tiếng bạc ăn chắc và cuốn gói tức thì với số tiền được để sinh sống.	Egy-két vén tapasztalt kártyás ácsorgott még az asztal közelében, kik járatosak lévén dus tapasztalataiknak utána a szerencse forgandóságában, olyan rettenthetetlen arccal készültek a játékhoz, mint a börtönviselt rabok, kiket nem rémit el már a gálya sem és három tételt szándékoztak megkockáztatni, azzal az erős elhatározással, hogy a valószinü nyereség esetére tüstént odább állanak, az lévén a kenyérrevaló.	0.136154
Hai tay hầu phòng già khoanh tay lượn lờ đi lại thỉnh thoảng lại nhìn qua cửa sổ xuống vườn, như để giơ bộ mặt bèn bẹt ra với khách qua đường, thay thế cho biển hàng.	A két öreg pincér összefont karral, közönyösen sétálgatott föl-alá a teremben; csak olykor-olykor léptek közelebb a kertre nyiló ablakok valamelyikéhez, hogy fakó arcaikkal cégérül szolgáljanak az alant járókelőknek.	0.25082
Tay cầm cái và tay hồ lỳ vừa quắc con mắt trắng dã giết người nhìn mấy người đặt nước, và the thé kêu lên: "Đặt tiền đi!"	A kártyaosztó és a bankár rideg, fagyos tekintete végigsiklott a játékosokon és a szavuk nyersen hangzott, mikor azt mondták:	0.24359
thì vừa lúc chàng trai mở cửa bước vào.	– Faites le jeu! ~~~ A fiatal ember benyitott a terembe.	-0.01
Bắt đầu không khí yên lặng như lắng thêm xuống, mọi người quay đầu tò mò nhìn kẻ mới tới.	Odabenn még mélyebb lett a csönd és valamennyien kiváncsi érdeklődéssel fordultak a belépő felé.	0.271579
Điều lạ lùng! ~~~ Những ông già ngán đời, những nhân viên trơ như đá, những khách chầu rìa, và ngay cả anh chàng máu mê người Ý, hết thảy trông thấy người lạ mặt đều cảm thấy cái gì như nỗi kinh hoàng khó nói.	Szinte hihetetlen!… Azok az eltompult, érzéketlen vén emberek, az eleven géppé vált hivatalnokok, a nézelődők, de még a hevesvérü olasz is valami különös megdöbbenést éreztek megpillantásakor.	-0.018254
Phải chăng là phải đau khổ đến thế nào mới làm mủi lòng người ta được, phải yếu đuối đến thế nào mới gây được cảm tình hay phải có vẻ thảm hại đến thế nào mới làm rợn được những tâm hồn ở trong gian phòng đó, nơi mà dù đau đớn vẫn phải câm lặng, dù cơ cực vẫn phải vui vẻ, dù tuyệt vọng vẫn phải đàng hoàng.	Nagyon szerencsétlennek kell lennie, hogy szánalmat, és nagyon gyengének, hogy részvétet gerjesszen valaki e fonnyadt szivekben, s mindenekfölött gyászosan komor legyen az az arc, mely meg tudja döbbenteni a lelkeket e teremben, hol minden bánat, minden fájdalom elnémul, hol csak a züllöttség akasztófahumora nevet.	0.229897
Vậy thì, đã có tất cả những thứ đó trong cái cảm giác mới làm rung động những quả tim nguội lạnh kia khi chàng trai bước vào.	És azokat a kérges sziveket mégis elfogta valami megindultság, mikor a fiatal ember a terembe lépett.	0.15
Nhưng phải đâu những tay đao phủ lại không đôi lần rỏ nước mắt khóc những trinh nữ khi cái đầu tóc hung vàng rơi xuống theo lệnh của Cách mạng?	De hiszen még a bakó arcán is végiggördült olykor-olykor egy-egy nehéz könnycsepp, mikor a rémuralom intésére bájos szőke leányfejecskék hullottak a nyakvágó véres kosarába!…	0.273585
Thoạt nhìn thấy khách chơi đã nhận ra trên mặt chàng trai mới nhập môn điều bí mật khủng khiếp nào đó; nét mặt trẻ trung của anh đượm một cái duyên u ám, con mắt nhìn biểu lộ những cố gắng vô hiệu quả, hàng nghìn mối hy vọng không thành!	A játékbarlang valamennyi alakja első szempillantásra észrevette, ami a belépő arcára volt irva. ~~~ Nemes vonásait némi időelőtti hervadtság fátyolozta s tekintete sok csalódásról, kudarcról és füstbement reménységről tanuskodott.	-0.0238938
Cái bình thản rầu rĩ của kẻ muốn tự vẫn nhuốm lên trán anh một màu tái đục mờ và ốm yếu, một nụ cười cay đắng vẽ lên hai bên mép những nếp nhăn nhẹ nhàng, và mặt anh biểu lộ một niềm nhẫn nhục nhìn mà ái ngại.	Az öngyilkosság gondolatának komor elszántsága fakó halványsággal tükröződött homlokán s mély barázdát vont szája szögletére. ~~~ Egész arcának keserü lemondással teljes kifejezése leverő hatással volt minden szemlélőre.	-0.0114865
Chút thiên tài thầm kín ánh lên trong đáy cặp mắt anh bị mờ đi có lẽ do mệt mỏi vì hành lạc.	Mintha bágyadt, talán élvhajhász gyönyörökben kimerült szeméből fel-feltört volna néha az elburkolt lángész egy-egy sugara.	0.231683
Phải chăng trác táng đã ghi dấu nhơ nhớp trên bộ mặt tao nhã đó, xưa kia trong trắng và nồng nhiệt, giờ đây tàn tạ?	Talán a mértéktelen tobzódás ütötte piszkos pecsétjét e hajdan tiszta, ragyogó nemes vonásokra és az vetkőztette ki eredeti formájából?	0.280952
Các thầy thuốc chắc có lẽ sẽ quy cho bệnh đau tim hay đau ngực đã làm đôi mắt anh có quầng vàng, và má anh ửng đỏ, còn như khách văn chương thì muốn xem như đó là vết tích tàn phá của khoa học, dấu hiệu của những đêm cần cù bên ngọn đèn khuya.	A szemét övező sárgás gyürüket és az orcáin égő két lázas piros foltot az orvosok bizonyára lappangó szivbajnak vagy tüdőgyengeségnek tulajdonitották volna, a költők pedig a sóvár tudományszomj és a könyvek fölött való virrasztás eredményét igyekeztek volna magyarázni belőle.	0.289773
Nhưng một dục vọng giết người mạnh hơn là bệnh hoạn, một căn bệnh tai hại hơn là siêng học và thiên tài, đã làm tàn tạ chiếc đầu xanh kia, đã làm chùng lại những gân cốt cứng cáp kia, đã thắt nghẹt trái tim kia mà những cuộc hành lạc, học tập và bệnh hoạn chỉ vừa mới sơ qua chạm tới.	Hanem ez arcot a betegségnél is halálosabb szenvedély dulta föl és a tudományszomjnál és minden elmebeli erőfeszitésnél emésztőbb kórság ernyeszté el ez erősnek alkotott idegeket, melyeket a tivornyák, testi betegség és tanulás csak nagyon kevéssé viseltek meg.	0.2196
Cũng như một tên tội phạm trứ danh khi bước vào đề lao thì được các phạm nhân kính cẩn tiếp đón, ở đây tất cả những quỷ sứ đội lốt người kia, lão luyện về những khổ hình, chào đón cái niềm đau khổ khôn xiết, cái vết thương sâu mà họ dò xem bằng con mắt, và nhận ra ở chàng trai một ông hoàng của họ qua vẻ oai nghiêm của niềm chua chát âm thầm, qua vẻ xác xơ thanh lịch của bộ áo quần.	Mint mikor valami hirhedt gonosztevő kerül a bagnóba, kit a másodrendü cinkosok valóságos tisztelettel fogadnak, ugy fogadták most ez emberi bőrbe bujt, minden gyötrelem látására megedzett szivü démonok ezt a komorképü jövevényt, az arcára kövült néma gunyorosság felsőbbségéről és ruháinak előkelő nyomoruságáról egyszeriben felismerve benne természetes fejedelmüket.	0.243333
Chàng trai mặc chiếc áo chẽn quả thật là thanh nhã, nhưng chiếc cà-vạt được nối liền với áo gilet một cách quá ư khéo léo đến mức người ta đoán chừng chàng thiếu áo lót mình.	Frakkjának finomsága és kitünő szabása ellen nem eshetett kifogás, hanem a nyakkendője megkötésének módja, mely nagy gonddal töltött be minden hézagot, mely a mellény kivágásában üresen is maradhatott volna, azt látszott elárulni, hogy inge, legalább frissen váltott inge nincsen.	0.189231
Đôi bàn tay anh ta, xinh như tay đàn bà, dường như chẳng sạch sẽ gì; quả thật từ hai ngày nay anh chẳng còn đeo găng!	Gyöngéd formáju, nőies kezének gondozottsága is kétes volt kissé. ~~~ Két nap óta nem hordott már keztyüt. ~~~ Ez a diagnózis mindent megfejtett.	-0.119608
Nếu tay cầm cái và cả mấy gã phục vụ cũng phải rợn mình, thì là vì vết tích của những niềm hoan hỉ tuổi ngây thơ còn đọng khá nhiều trong tấm hình hài mảnh dẻ và thanh tú, trong mớ tóc hung vàng thưa và uốn quăn một cách tự nhiên.	Ha még a kártyaosztó és a két öreg pincér is megdöbbentek láttára, csakis az ártatlanság mindenkit megbüvölő bája lehetett rájuk ilyetén hatással, mely e sugár, deli alakról és a természetes csigákba göndörült szőke fürtös szép fejről tükröződött.	0.297581
Trông mặt mới chừng hăm lăm, thói hư lộ ra chỉ như một sự ngẫu nhiên.	Alig volt huszonöt esztendős s merő véletlenség vezethette csupán a feslettség utjára.	0.276923
