Alexandre Dumas	﻿ALEXANDRE DUMAS	0.24
Thế là, để xem xét, người ta đã họp hội đồng và cho đi tìm quan Tổng giám tài chính d Emery.	Ekkor, hogy meglássák, összehívták az államtanácsot, s odakérették Émery adófőfelügyelőt is.	0.293814
Cái ông d Emery này bị dân chúng ghét cay ghét đắng, trước hết bởi vì ông ta là tổng giám tài chính, mà bất cứ tổng giám tài chính nào cũng đều bị ghét cả; sau nữa phải nôi rằng vì ông ta ít nhiều cũng xứng đáng bị ghét.	Ezt az Émeryt igen gyűlölte a nép; először, mert adófőfelügyelő volt, s minden adófő­felügyelőt gyűlölni kell; aztán meg, mi tagadás, mert erre némileg rászolgált. ~~~ Egy Particelli nevű lyoni bankár fia volt, ki nevét csődbe jutása után Émeryre változtatta.8 Richelieu bíboros nagy pénzügyi talentumot fedezvén fel benne, Émery néven bemutatta XIII.	-0.0563584
Ông ta là con trai một chủ ngân hàng thành Lyon tên gọi Particelli, sau khi bị vỡ nợ bèn đổi tên là d Emery.	Lajos királynak, s adófelügyelővé akarván kineveztetni, csupa jót mondott róla.	0.186076
Nhân thấy ông ta có khả năng rất lớn về tài chính, giáo chủ de Richelieu đã tiến cử ông với vua Louis XIII dưới cái tên d Emery và do muốn phong ông làm giám quan tài chính nên đã nói rất tốt về ông ta.	- Nagyszerű - felelte a király -, örülök, hogy Émeryt emlegeti ez állásra, mely becsületes embert kíván. ~~~ Azt mondták, azt a gazember Particellit támogatja, s féltem, hogy még a nyakamba varrja!	-0.0232044
- Hay tuyệt?	- Sire!	1.04286
- Nhà vua trả lởi. ~~~ - Ta hài lòng là khanh trình với ta ông d Emery để tiến cử vào chỗ đòi hỏi một con người lương thlện.	- felelte a bíboros -, nyugodjék meg felséged, azt a Particellit, akit emleget, fel­akasztották.	0.0662921
Ta nghe nói khanh tán trợ cái tên Particelli vô lại ấy, và ta lo khanh sẽ ép ta dùng hắn.		-0.3
- Tâu hoàng thượng, - ngài giáo chủ đáp, - xin Hoàng thượng yên lòng, tên Particelli mà Hoàng thượng vừa nóỉ đến đã bị treo cổ rồi ạ		-0.3
- A!	- Úgy!?	1
Hay lắm!	Annál jobb!	0.24
- Nhà vua reo lên. ~~~ - Như vậy chẳng phải không dưng thiên hạ gọi là Louis Công minh.	- kiáltott fel a király -, vagyis nemhiába hívnak engem Igazságos Lajosnak!	0.110973
Và ngài ký giấy bổ nhiệm ông d Emery.	És aláírta Émery kinevezését.	0.236364
cũng vẫn cái ông d Emery ấy trở thành tổng giám tài chính.	Ugyanez az Émery lett azután adófőfelügyelő.	0.195652
Người ta đi tìm ông theo lệnh tể tướng và ông chạy đến mặt tái mét và hốt hoảng, nói rằng con trai ông suýt bị ám sát ngay ban ngày giữa quảng trường Hoàng cung: đám đông gặp anh ta và chê trách sự xa hoa của vợ anh ta, mụ này có một căn nhà chăng nhung đỏ với những lụa ren bằng vàng.	Amikor a miniszter hívatta, sápadtan és rémülten rohant be, mondván, a fiát kis híja hogy meg nem ölték a Palota téren: a tömeg felismerte, s szemére hányta felesége fényűzését, akinek arannyal futtatott vörösbársony tapétájú lakosztálya volt.	0.211915
Đó là con gải của Lơ Camuy, tổng trưởng năm 1617. ~~~ Ông này khi đến Paris chỉ có hai mươi livrơ, nay tự dành cho mình bốn mươi nghìn livrơ niên thu và vừa mới chia chín triệu cho các con.	Ez annak a Nicolas de Camus-nak a leánya volt, ki 1617-ben még szekretárius, s Párizsba húsz frankkal érkezett, nemrég pedig, magának negyvenezer frank évjáradékot tartva meg, szétosztott kilencmilliót a gyermekei közt.	-0.00854922
Con trai d Emery suýt chết nghẹt vì một trong những người nổi loạn bắt phải ép hắn cho đến khi hắn phải nhả chỗ vàng đã ngốn. ~~~ Ngày hôm ấy Hội đồng chẳng quyết nghị được gì, vì viên tổng giám quá bấn bíu về sự cố đó nên chẳng còn bụng dạ nào mà bàn định.	Émery fiát kis híján megfojtották, mivel egy lázadó azt tanácsolta, hogy addig szorítsák, míg vissza nem adja a felzabált aranyakat... A gyűlés mit sem határozott aznap, lévén a főfelügyelő túlságosan felzaklatva, semhogy a feje világos lehessen.	-0.0351064
Ngày hôm sau ông đệ nhất chủ tịch Nghị viên Mathieur Molé mà lòng quả cảm trong mọi công việc như giáo chủ de Retz nói, ngang với ngài quận công de Beaufort và ngài hoàng thân de Condé, nghĩa là hai người được coi như dũng cảm nhất nước Phảp, ngày hôm sau, đến lượt mình ông đệ nhất chủ tịch bị tiến công. ~~~ Dân chúng đe doạ là ông ta phải gánh chịu trách nhiệm tất cá những tai hoạ mà người ta gây ra cho họ; nhưng với vẻ bình tĩnh thông thường, ông đệ nhất chủ tịch không xúc động và không kinh ngạc, ông đệ nhất chủ tịch đã trả lời rằng nếu những kẻ phiến loạn không tuân theo ý nhà vua, ông ta sẽ cho dựng những giá treo cổ ở các quảng trường để treo cổ ngay tức khắc những kẻ ngỗ ngược nhất trong bọn họ.	Másnap az első elnököt, Mathieu Molét,9 kinek bátorsága mindez ügyekben - Retz bíboros szerint - fölért a Beaufort-ével s Condé hercegével, vagyis ama két emberével, kiket Francia­országban a legbátrabbaknak tartottak, másnap, mondom, az első elnököt is megtámadták; a nép azzal fenyegette, hogy rajta torolja meg a sérelmet, ami őket érte; de az első elnök szokásos nyugalmával azt felelte, minden izgalom és meghökkenés nélkül, hogy ha a zavargók nem engedelmeskednek a király akaratának, bitófákat állíttat fel a tereken, és tüstént felkötteti reájuk a rendbontókat.	-0.031278
Bọn này bên đáp lại rằng họ không yêu cầu gì hơn là dược trông thấy dựng lên những giá treo cổ, và chúng sẽ dùng để treo cổ những viên pháp quan tồi đã đi mua ân sủng của triều đình bằng giá sự khốn cùng của nhân dân.	Mire azok azt felelték, hogy alig várják már ezeket a bitókat, legalább lesz mire felhúzniok a gonosz bírókat, kik a nép nyomorán vásárolják meg az udvar kegyét.	0.119205
Chưa hết, ngày mười hai, hoàng hậu đi dự lễ ở nhà thờ Đức Bà, việc bà thường làm đều đặn vào các ngày thứ bảy, thì hơn hai trăm phụ nữ bám theo vừa kêu la vừa xin được thừa nhận quyền lợi.	Ez nem minden; 11-én, amikor a királyné, mint szokása szerint minden szombaton, a Notre-Dame miséjére tartott, nyomába szegődött vagy kétszáz igazságot kérő-követelő asszony.	0.218343
Kể ra họ không có một ý đồ xấu nào, chỉ muốn quỳ trước hoàng hậu đề cầu bà rủ lòng thương; song vệ sĩ đã ngăn cản họ và hoàng hậu cứ ngạo mạn và kiêu hãnh đi qua mà chẳng để tai đến những tiếng kêu gào của họ.	Egyébként mi rossz szándékuk sem volt, csupán térdre akartak borulni előtte, hogy benne könyörületet ébresszenek; de az őrök megakadályozták, a királyné gőgösen és fenségesen vonult tovább, meg se hallgatva jajszavukat.	0.260563
Buổi chiều hội đồng họp và quyết nghị giữ vững quyền lực của nhà vua, do đó nghị viện được triệu tập vào ngày hôm sau tức ngày mười hai.	Délután újabb tanácsülés volt; s azon elhatározták, hogy a királyi tekintélyt fenntartják; következésképpen a parlament másnapra, 12-re összehívatott.	0.286093
Ngày hôm ấy, cải ngày mà vào buổi chiều tối, chúng tôi mở đầu câu chuyện mới mẻ này, nhà vua khi ấy mới mười tuổi và vừa mắc bệnh thỷy đậu xong, mượn cớ đi nhà thờ Đức Bà để lễ tạ ơn bình phục, đã bố trí vệ sĩ, lính Thuỵ Sĩ và lính ngự lâm, rải quân xung quanh Hoàng cung, trên các kè và trên Cầu Mới, và sau khi nghe kinh misa, nhà vua bèn sang nghị viện. ~~~ Ở đó trên một chiếc ngai ngự dựng bất ngờ, nhà vua không những giữ nguyên những chỉ dụ cũ mà còn đặt năm, sáu cái mới, tất cả những điều giáo chủ de Retz nói đều tai hại chẳng kém gì nhau. ~~~ Đến nỗi ông đệ nhất chủ tịch như ta đã thấy, những hôm trước vẫn đồng tình với triều đình, mà nay cũng hết sức bất bình về cái cách đưa nhà vua đến Cung để tập kích và vi phạm sự tự do đầu phiếu.	E napon, melynek estjén új történetünk kezdődik, az akkor tízéves király, bárányhimlőből lábadozva, azzal a magyarázattal, hogy gyógyulásáért hálát adandó, a Notre-Dame-ba megy, mozgósította gárdistáit, svájciait és testőreit, felállította őket a Palais-Royal körül, a rakparton s az Új Hídon, s a mise meghallgatása után átment a parlamentbe, hol rögtönzött trónjáról nemcsak hogy fenntartotta régebbi rendeleteit, hanem öt-hat újabbal is megtoldotta, Retz bíboros szerint károsabbnál károsabbakkal; oly mértékben, hogy az első elnök, ki, amint láttuk, az előző napon még az udvar pártján volt, most igen bátran tiltakozott az eljárás ellen, hogy a királyt a parlamentbe hozzák, így ellenőrzendő és befolyásolandó a szavazás szabad­ságát.	-0.119533
Nhưng những người phản đối mạnh mẽ nhất những thuế khoá mới là ông chủ tịch Blancmensnil và ông tham nghị Broussel.	De az új adók ellen a leghevesebben mégis Blancmesnil elnök és Broussel10 tanácsos tilta­kozott.	0.174725
Các chỉ dụ đó ban xong, vua trở về Hoàng cung.	A rendeleteket kiadva, a király visszatért a Palais-Royalba.	0.257143
Một trăm dân chúng đông nghịt đang đi trên dường, họ biết nhà vua từ nghị viện về, nhưng vì không biết nhà vua họp ở đó để thừa nhận quyền lợi của nhân dân hay để tiếp tục áp bức họ, nên không một tiếng kêu mừng rỡ nào vang lên khi vua đi qua để chúc mừng nhà vua đã bình phục.	Nagy sokaság lepte el útvonalát, tudván, hogy a parlamentből jön, azt azonban nem, hogy a népnek igazságot szolgáltatni, vagy a népet még jobban elnyomni ment-e oda, egyetlen örömkiáltás sem hangzott amerre elhaladt, hogy gyógyulását üdvözöljék.	0.205128
Trái lại, tất cả các gương mặt đều rầu rĩ và lo lắng; có vài người còn tỏ vẻ sừng sộ.	Sőt, az arcok egytől egyig zordonak s nyugtalanok voltak, némelyek éppenséggel fenyegetők.	0.247674
Mặc dầu nhà vua đã ra về, các toán lính vẫn ở nguyên tại chỗ: người ta lo ngại một cuộc bạo loạn bùng nổ khi biết kết quả phiên họp nghị viện; và quả nhiên, tiếng đồn vừa mới lan ra các phố rằng đáng lẽ phải giảm nhẹ thuế nhà vua lại tăng thêm thì các nhóm tập họp lại và những tiếng la hét vang ầm lên: "Đả đảo Mazarin?	A király hazatért ugyan, de a csapatok helyükön maradtak: félő volt, hogy zendülés tör ki, ha a parlamenti ülés eredményét megtudják; s valóban, alighogy híre terjedt az utcákon, hogy a király az adókat nemhogy csökkentette volna, de még emelte is: csoportok verődtek össze, s hatalmas ordítások visszhangoztak: "Le Mazarinnal!	0.247869
Broussel muôn năm!	Éljen Broussel!	0.24375
Blancmensnil muôn năm!" ~~~ vì dân chúng biết rằng Broussel và Blancmensnil đã lên tiếng ủng hộ họ; và tuy tài hùng biện của các ông bị thất bại, họ vẫn tỏ lòng biểt ơn.	Éljen Blancmesnil!" - mert a nép megtudta, hogy Broussel és Blancmesnil az érdekében szólalt fel; s bár ékes­szólásuk hasztalan volt, azért nem kevésbé esett jól nekik.	0.0526709
Người ta muốn giải tán các đám dân chúng, muốn dập tắt các tiếng kêu, nhưng càng thế các đám người càng đông lên và những tiếng kêu la càng tăng gấp bội.	Ezeket a csoportokat persze szét akarták oszlatni, s a kiáltozást el akarták némítani, de ahogyan ilyenkor történni szokott, a csoportok egyre növekedtek, s a kiáltozások megkét­szereződtek.	0.282456
Lệnh vừa mới ban ra cho lĩnh ngự vệ và lính Thuỵ Sĩ, không những phải giữ vững, mà còn phải đi tuần tra trong các phố Saint-Denis và Saint-Martin, nơi các đám người có vẻ đông đảo hơn và nhộn nhạo hơn, thì ở Hoàng cung người ta thông báo có ông thị trưởng thành phố đến.	A királyi gárdisták s a svájciak éppen megkapták a parancsot, nemcsak arra, hogy tartsanak ki a helyükön, hanem indítsanak őrjáratokat is a Saint-Denis s a Saint-Martin utcába, hol különösen nagyszámú s izgatott csoportok mutatkoztak, mikor a Palais-Royalban bejelen­tették a polgármestert.	0.348906
Ông ta được dẫn vào ngay: ông nói rằng nếu không chấm dứt ngay lập tức những cuộc thị uy thù nghịch, thì trong hai giờ nữa toàn thành phố Paris sẽ vũ khí sẵn sàng.	Azonnal bevezették; azért jött, hogy megmondja: ha ezeket a fenyegető csapatmozdulatokat tüstént vissza nem vonják, két órán belül egész Párizs fegyvert ragad.	0.250658
Người ta đang bàn luận xem phải làm gì thì viên trung uý thị vệ đoàn Comminger trở về quần áo tả tơi và mặt mày đầm đìa máu.	Javában tanakodtak, mitévők legyenek, mikor Comminges gárdahadnagy megtépázva, vérző arccal beállított.	0.204808
Thấy ông ta xuất hiện, hoàng hậu kinh hãi kêu lên và hỏi xem có chuyện gì.	A királyné, ahogy megpillantotta, ijedtében felsikoltott, s megkérdezte, mi történt.	0.288608
Như ông thị trưởng đã dự kiến; nhìn thấy các toán lính gác, dân tình nổi xung lên.	Az történt, hogy a gárdisták láttán, ahogyan a polgármester jósolta, a lelkek végképp nekikeseredtek.	0.273626
Người ta chiếm các tháp chuông và rung chuông báo động.	Megrohanták a tornyokat, s a harangokat félreverték.	0.24
Comminger đã chống cự tốt, bắt giữ một người đàn ông có vẻ là một trong những tay phiến động chủ yếu, và để làm gương đã ra lệnh treo cổ anh ta ở bãi Thập tự T rahoa.	Comminges jól tartotta magát, elfogott egy embert, ki az egyik főkolomposnak látszott, s megparancsolta, hogy elrettentő például akasszák fel a Trahoir keresztjére.11 A katonák, a parancsot végrehajtandó, elvonszolták.	0.269355
Binh lính lôi anh đi để thi hành lệnh, nhưng đi đến dãy chợ thì bị tiến công bằng gạch đá và giáo mác, kẻ phiến loạn thừa cơ chạy thoát ra phố Lômba và chạy bổ vào trong một ngôi nhà. ~~~ Nhà bị phá cửa ngay lập tức.	A vásárcsarnoknál azonban kőzápor fogadta őket, s alabárdcsapások; a lázadó­nak e csetepatéban sikerült megszöknie a Lombardok utcáján át, s beugrott egy házba, melynek kapuját tüstént betörték.	-0.00544041
Nhưng bạo lực ấy cũng vô ích, không thể tìm thấy tội phạm.	Ez az erőszak hasztalan volt, a bűnösre nem tudtak ráakadni.	0.241071
