Bà Bô vary	Bovaryné	0.27
Cả lớp rộ lên cười làm cho anh chàng tội nghiệp mất tinh thần đến nỗi hắn chẳng biết nên cầm mũ ở tay, nên bỏ xuống đất hay nên đội lên đầu. ~~~ Hắn lại ngồi xuống	Nem tudta, mit csináljon; tovább is a kezében tartsa-e a süvegét, ledobja-e a földre, vagy föltegye a fejére?	-0.0905941
và đặt mũ trên đầu gối.	Leült s megint a térdére tette.	0.3
Thầy giáo nói tiếp: ~~~ -Hãy đứng dậy và cho thầy biết tên em.	– Keljen fel – kezdte ujra a tanár – és mondja meg, hogy’ hivják?	-0.00703125
Người học trò mới lắp bắp một cái tên khó hiểu.	Az uj fiu dadogva nyögött ki valami érthetetlen nevet.	0.258
-Nhắc lại!	– Ismételje!	0.278571
Cái giọng lắp bắp từng vần của hắn bị tiếng la ó	Ugyanaz a dadogás vált hallhatóvá; s az érthetetlen szótagokat az osztály lármája és vihogása kisérte.	0.0775862
của cả lớp che lấp đi.	– Hangosabban!	0.09375
Thầy giáo quát:	– rivallt rá a tanár.	0.233333
-Nói to nữa lên!	– Hangosabban!	0.2625
	Az uj fiu, a kétségbeesés egy végső elhatározásával, felnyitotta rémségesen nagy száját s teli tüdővel kiáltotta, mintha hína valakit, ezt a szót:	-0.3
To nữa lên!	– Bovarikár!	0.253846
Người học trò mới, lấy hết quyết tâm, há toác miệng thét thật to: Sácbôvari, như để gọi ai.	Pokoli lárma kerekedett; perczekig tartó hihihi és bruhaha.	0.0428571
Một tình trạng huyên náo liền nổi lên, càng ngày càng tăng, với những tiếng la the thé (chúng tôi nhắc đi nhắc lại: Sácbôvari!	A fiuk elkezdtek üvölteni, vonitani, tombolni és toporzékolni s a sok éles hang kaczagva visszhangozta: Bovarikár!	0.212264
Sácbôvari!	Bovarikár!	0.275
), rồi kéo dài thành những âm thanh lẻ tẻ, lắng xuống một cách khó khăn, đôi lúc lại đột khởi ở một hàng ghế vài tiếng cười cố nhịn và vẫn cứ vọt ra như những chiếc pháo tắt dở.	Majd, lassankint, csöndesedni kezdett az osztály, az általános hahota elcsitult s a kaczagás szórványosan hallatszott, de a vidámság csak nem akart csillapodni, ki-kitört ujra, s mint a félig elsült petárda, mely még sistereg és fel-felpukkan, hol az egyik, hol a másik padsorban ujra meg ujra felhangzott a fojtott nevetés.	0.165517
Tuy nhiên, qua những bài phạt chép tới tấp như mưa, trật tự mới dần dần trở lại trong lớp, và thầy giáo sau khi bắt hắn đọc như đọc chính tả, đánh vần từng chữ rồi đọc lại, mới nắm được cái tên Sáclơ Bôvary, thầy lập tức ra lệnh cho con người đáng thương đó đến ngồi vào cái ghế học trò lười, ngay chân bàn thầy.	A büntető penzumok záporának végre mégis sikerült helyre állitania a nyugalmat, s a tanár nagynehezen megtudhatta, hogy az uj fiut Bovary Károlynak hivják. ~~~ Betünkint mondatta el magának a nevet, s azután megparancsolta a szegény ördögnek, hogy üljön a szamarak padjára, a katedra elé.	-0.0507519
Hắn đứng dậy, nhưng trước khi đi, hắn ngập ngừng.	Az uj fiu megindult, de a következő pillanatban eszébe jutott valami, s megállott, tétovázva.	0.157627
Thầy giáo hỏi:	– Mit keres?	0.184615
-Em tìm gì?	– kérdezte a tanár.	0.075
-Cái m...ũ ạ, -người học trò mới rụt rè đáp lại; đưa cặp mắt lo lắng nhìn xung quanh.	– A sapk… – felelt félénken a fiu, nyugtalanul tekintgetve körül.	0.163636
- Cả lớp chép phạt năm trăm câu thơ!	– Ötszáz verset kap az egész osztály!	0.284211
- Tiếng quát giận dữ của thầy giáo như một lời nạt nộ chặn đứng trận cười mới -Ngồi im!	– kiáltott fel a tanár dühösen, s ez a pár szó, mint a Quos ego, elejét vette egy ujabb viharnak.	0.245455
- Thầy giáo phẫn nộ nói tiếp.	– Nem tudnak nyugodtan maradni?!	0.270968
Rồi thầy vừa rút khăn tay để trong chiếc mũ vải ra lau trán, vừa bảo: -Còn em học sinh mới, em chép cho tôi hai mươi lần động từ Ridiculus sum.	– folytatta boszusan, megtörölve homlokát zsebkendőjével, melyet a kalapja belsejéből halászott elő. ~~~ – Ami pedig magát illeti, maga, uj fiu, huszszor fogja leirni ezt a mondatot: ridiculus sum.	-0.033
Rồi dịu giọng lại, thầy nói:	Aztán, szelidebb hangon:	0.1625
- Này! ~~~ Cái mũ cát-két của em, rồi em sẽ tìm thấy, không ai lấy mất đâu!	– Eh, majd megtalálja a sapkáját; nem lopták el!	-0.0765957
Lớp học trở lại hoàn toàn im lặng.	A csend helyreállott.	0.0285714
Mọi người đều cặm cụi vào sách vở, còn người học trò mới vẫn ngồi lại hai giờ liền trong một tư thế thật nghiêm chỉnh, tuy rằng thỉnh thoảng lại có một viên giấy từ đầu một ngòi bút nào đó được phóng ra làm vấy bẩn mặt hắn.	A fiuk feladataik fölé hajoltak, s uj társunk, aki minden tekintetben mintaszerü magaviseletet tanusitott, két órán keresztül meg se moczczant. ~~~ Még az se hozta ki sodrából, hogy időnkint egy-egy tollhegy czélba vette, s néhány ügyesen kormányzott papir-golyóbist röpitett az arczába.	-0.00403846
Nhưng hắn chỉ lấy tay chùi, rồi lại ngồi yên không nhúc nhích, cúi gằm xuống.	Ilyenkor egyet simitott az arczán, s aztán megint mozdulatlan maradt; még csak fel se tekintett.	0.3
Buổi tối, đến giờ tự học, hắn rút chiếc tay áo giả từ ngăn bàn viết ra, xếp đặt gọn gàng mọi đồ dùng, kẻ giấy cận thận.	Este, a dolgozó-szobában, kivette fiókjából a mancsettavédőjét, gondosan elrendezte az irásait, s hozzá látott a feladatához.	0.253659
Chúng tôi thấy hắn học tập cần cù, chữ nào cũng tra tự điển ra chiều vất vả lắm.	Láttuk, hogy roppant lelkiismeretesen dolgozik; minden szót kikeresett a szótárból, s iszonyuan törte magát, hogy semmit el ne mulaszszon.	0.187097
Chắc là nhờ có cái quyết tâm học tập như thế, hắn mới không đến nỗi phải tụt xuống lớp dưới, vì tuy hắn có tạm thuộc các quy tắc đấy, câu văn của hắn vẫn chẳng được gọn gàng thanh nhã.	Bizonyára ennek a nyilvánvaló buzgalomnak köszönhette, hogy meghagyták a magasabb osztályban, mert, bár alaposan bevágta a leczkéit, valami gyors felfogást s nagy tanulékonyságot nem igen tanusitott.	0.258511
Chẳng là ông mục sư ở làng đã vỡ lòng cho hắn về môn la-tinh; cha mẹ hắn ngại tốn kém cứ lần lữa mãi mới cho hắn đến trường trung học.	Eddig mindössze egy kis latin nyelvet tanult, a falujabeli paptól; mert szülei takarékosságból csak akkor adták be a kollégiumba, amikor már lehetetlen volt tovább halasztani a dolgot.	0.266447
Cha hắn, ông Sáclơ Đơmi Báctôlêmê Bôvary, nguyên là phụ tá phẫu thuật quân y khoảng năm 1812 có liên can vào những vụ trưng binh, đã buộc phải thôi việc.	Atyja: Bovary Károly Dénes Bertalan ur, hajdan al-ezredorvos volt, de az 1812-iki katona-állitás alkalmával valami kellemetlen ügybe keveredett, s e miatt kénytelen volt szolgálatát elhagyni.	0.28012
Ông ta đã lợi dụng mẽ người của ông ta để chộp ngay trên đường công tác một món hồi môn là sáu vạn quan do cô con gái một nhà buôn mũ, mê cái vẻ đẹp bên ngoài ấy, đem lại.	Szerencséjére a csinos emberek közé tartozott, s fel tudta használni ezt a jótulajdonságát. ~~~ Szóval, hamarosan megkaparintott egy hatvanezer frankos hozományt, amelylyel egy harisnyakereskedőnek a leánya járt együtt, aki beleszeretett a daliás legénybe.	-0.0377483
Điển trai, khoác lác, hay khoe tài khoe giỏi ông ta để râu má nối liền ria mép, luôn luôn đeo nhẫn; ăn mặc lòe loẹt, có vẻ một "người hùng", với cái hoạt bát dễ dàng của một kẻ chào hàng.	Bovary ur szép ember volt, nagyokat tudott hazudni, a sarkantyuja vigan pengett, gyönyörü pofaszakállt hordott, mely összenőtt a bajuszával, az ujja mindig tele volt gyürüvel, feltünően öltözködött, olyan volt, mint egy hős, s ugy tudott beszélni, mint egy vigécz.	0.236453
Lấy vợ rồi, ông ta sống ỷ lại hai ba năm vào lưng vốn của vợ, ăn ngon, dậy muộn, hút thuốc bằng những chiếc tẩu sứ to tướng, đêm đêm xem hát khuya mới về, và thường hay lui tới các tiệm cà phê.	Mikor megházasodott, két vagy három esztendeig a felesége vagyonából élt: jól evett-ivott, későn kelt, egész nap porczellán-pipáját szitta, este kávéházba ment és csak szinház után vetődött haza.	0.267188
Bố vợ mất, chẳng để lại được là bao; ông ta tức giận, nhảy xổ vào việc kinh doanh, lỗ vốn một món, rồi rút lui về quê định sinh lợi.	Ekkor meghalt az apósa, s kiderült, hogy csak igen-igen kevés maradt utána.	-0.0565217
Nhưng vì ông ta chẳng thạo nghề canh tác hơn nghề làm vải hoa, nên đáng lẽ dùng ngựa để cày lại đem ngựa đi cưỡi, đáng lẽ đưa rượu tần để bán lại uống hàng chai.	Bovary ur dühbe jött, bele fogott egy-két ipar-vállalatba, elvesztett néhány ezer frankot, azután elhatározta, hogy falura költözik gazdálkodni; lehetetlen, hogy ezen a téren ne érvényesüljön.	0.296721
Ông chén những con gà, con vịt béo nhất, lấy mỡ lợn đánh giày đi săn, nên ông sớm nhận ra rằng thà vứt bỏ đấy mọi hoạt động kiếm lời còn hơn.	De minthogy a gazdálkodáshoz épp oly kevéssé értett, mint a kereskedéshez, minthogy a lovait, ahelyett, hogy munkába küldte volna, sétalovaglásra használta, minthogy megitta az almaborát butéliában, ahelyett, hogy eladta volna hordóban, minthogy a baromfi-udvar legszebb szárnyasait sorra megette s disznóinak a szalonnájával a vadász-csizmáit fényesitgette: nemsokára be kellett látnia, hogy legjobb lesz, ha felhagy minden vállalkozással.	-0.174375
Ông tìm thuê được một nơi ở giá hai trăm quan một năm, vừa có dáng dấp trại ấp, vừa có dáng dấp nhà riêng, tại một làng giáp với xứ Cô và xứ Picacđi; rồi ông cố thủ ở đó ngay từ năm bốn mươi lăm tuổi, lòng buồn bực, hối tiếc, giận trời, ghen thiên hạ; ghét người đời, như ông nói, và nhất quyết sống yên thân.	Kibérelt, kétszáz frankért évenkint, Pays de Caux*-nak és Picardiának a határszélén, egy majort, mely kuriának is beillett, s melyre csak ugy véletlenül bukkant rá; és elkeseredve, dühösen az egész világra, vádolva eget és földet, negyvenöt éves korában visszavonult ebbe a remeteségbe, mert – amint mondani szokta – megutálta az embereket, s ezentul már békében akar élni.	0.293948
Vợ ông ta xưa kia mê say ông quá đỗi, yêu ông bằng lối phục tùng, khúm núm, khiến ông lại càng xa cách bà ta hơn.	A felesége valamikor őrülten szerette Bovary urat; valóságos szolgálójává lett, ami férjét csak még inkább elidegenitette tőle.	0.279661
Xưa kia bà vui vẻ, cởi mở, đằm thắm bao nhiêu, thì nay, càng trở về già (chẳng khác rượu vang hả hơi ngả thành giấm), bà càng sinh khó tính, lắm điều, nóng nảy bấy nhiêu.	Fiatal korában vidám, közlékeny, kedves teremtés volt szegény, de ahogy megöregedett – hasonlóan a levegőn felejtett borhoz, amely megeczetesedik – házsártos, nyafogó, ideges vénasszony lett belőle.	0.288649
Thoạt tiên thấy ông bám riết bọn gái quê để tán tỉnh, rồi đêm đêm thấy ông từ trăm nơi bậy bạ trở về nhà, chán chường và sặc mùi rượu, bà vô cùng đau khổ mà không ta thán.	Annyit szenvedett – s eleinte szótlanul – mikor látta, hogy férje minden szoknyának utána szalad s minduntalan részegen, fáradtan jön haza, késő éjjel, az Isten tudja honnan! ~~~ Később a büszkesége fellázadt.	-0.00309278
Nhưng rồi sau lòng tự tôn nổi dậy.	Nem sirt többé s nem veszekedett.	0.222581
	Elhallgatott, lenyelte dühét, és stoikusan viselte sorsát mindhalálig.	-0.3
Bà chẳng nói chẳng rằng, nuốt thầm uất hận với một sự kiên nhẫn, trầm lặng cho đến khi chết.	Különben nem is ért volna rá férjével vitatkozni; egész nap lótott-futott, mindig volt valami dolga.	0.258947
Lúc nào bà cũng tất bật, hết chạy đến phòng bọn luật sư, đến nhà viên chánh án, lại lao vào việc thương lượng, khất khứa; khi nhớ tới kỳ hạn các phiếu nợ, và, khi ở nhà, nào khâu, nào giặt, nào là quần áo, trông coi thợ thuyền, thanh toán công xá, còn ông thì chẳng lo tới việc gì, suốt ngày mỏi mệt, bực bội trong giấc ngủ gà ngủ vịt, động mở mắt ra là tiếng bấc tiếng chì, ngồi hút thuốc bên đống lửa, khạc nhổ vào đống tro.	Ő járt az ügyvédekhez, a birósághoz; ő tartotta nyilván a kötelezettségek lejáratát, s ő eszközölte ki a sok halasztást; otthon pedig varrt, mosott, vasalt, ügyelt a munkásokra, fizette a számlákat, mig Bovary ur, nem törődve semmivel a világon, s belesüppedve világgyülöletből fakadt álom-kórságába – melyből koronkint csak azért ébredt fel, hogy kellemetlenségeket mondjon a feleségének – nyugodtan pipázott a tűzhely mellett, s bele-bele köpött a hamuba.	0.275399
Khi bà sinh một đứa con bà phải gửi nó cho vú nuôi.	Mikor Bovarynénak gyereke lett, a csecsemőt ki kellett adni dajkaságba.	0.233333
Đến khi trở về với cha mẹ, chú bé được chiều chuộng như ông hoàng.	Ahogy aztán visszakerült hozzájok, nagyon elkényeztették a szegény kis porontyot.	0.292208
Mẹ cứ nhét cho con hết thứ mứt này đến thứ mứt khác; bố thì mặc cho con tự do chạy chân không, rồi làm ra vẻ một nhà hiền triết, ông ta còn bảo rằng thằng bé cứ trần truồng mà sống như giống vật sơ sinh cũng được.	Ugy dédelgették, mint egy királyfit. ~~~ Az anyja édességekkel traktálta; apja pedig megengedte neki, hogy mezitláb szaladgáljon fel s alá.	-0.125581
Ngược lại khuynh hướng của bà mẹ, ông bố giữ trong đầu óc một thứ lý tưởng hùng tráng về tuổi thơ.	Bovary ur filozóf volt, s azt tartotta, hogy a gyermekeknek legjobb volna egészen meztelenül járniok; a vadállatok kölykei is úgy nőnek fel, azért elég erősek.	0.216522
Ông ra sức giáo dục con trai theo cái lý tưởng ấy, ông muốn nuôi dậy nó một cách khắc khổ theo kiểu người Xpáctơ thời xưa, để nó được khỏe mạnh vạm vỡ.	Ellentétben az anyai hajlandóságokkal, Bovary úr ugy vélekedett, hogy a gyermeket spártai módra kell nevelni, s hozzá kell szoktatni mindenhez, hogy megedződjék. ~~~ És e szerint igyekezett formálni a fiát.	-0.0156977
Ông cho nó đi ngủ mà chẳng đốt lò sưởi, tập cho nó uống từng ngụm lớn rượu rum và dạy nó miệt thị các đám rước.	A kis fiunak fütetlen szobában kellett hálnia; rá szoktatta, hogy pohárszámra igya a rumot, s csúfolódjék, hogyha proczessziót lát.	0.2904
Nhưng chú bé, vốn tính ôn hòa, chẳng đáp ứng được công sức của ông bố.	De a gyermek jámbor természetü volt, s nem igen felelt meg a várakozásának.	0.248571
Bà mẹ đi đâu cũng kéo con đi theo; bà cắt đồ giấy cho con chơi, kể chuyện cho con nghe, nựng con không dứt bằng những lời độc thoại chan chứa niềm vui cay đắng và bằng những lời vỗ về lảm nhảm.	Anyja mindig magával hurczolta; papirból figurákat vagdalt ki neki; mesével, történetekkel mulattatta, s végtelen monológokat intézett hozzá, kissé melankolikusan vidám monológokat, amelyek tele voltak csacsogó hizelkedéssel.	0.292891
Qua đời sống cô quạnh của mình, bà trút lên đầu chú bé tất cả những mộng ảo tản mạn tan vỡ của mình.	Életének nagy magánosságában ezt a gyermek-fejet tette a középpontjává mindannak, ami megtört hiuságából és szétfoszlott reménységeiből még megmaradt.	0.20431
Bà mơ ước cho con những địa vị cao sang, tưởng tượng con đã thành đạt đẹp trai, linh lợi, có vai vế trong ngành cầu đường hoặc trong ngành tư pháp.	Ábrándozott, hogy fiának nagy jövője lesz; már látta nagynak, szépnek, elmésnek, valami előkelő hivatalban, mint főmérnököt vagy államtitkárt.	0.262238
Bà cho con tập đọc và nhân có chiếc đàn pianô đã cũ, bà còn dạy cả nó hát vài bài tình ca nho nhỏ.	Megtanitotta olvasni, sőt még ének-leczkéket is adott neki, s ócska zongorája mellett bele vert a fejébe két-három kis románczot.	0.251429
Nhưng ông Bôvary có quan tâm đến văn nghệ đâu, ông ta bảo rằng chẳng phải vạ! ~~~ Có bao giờ mình đủ tiền cho con theo học các trường của chính phủ, đủ tiền kiếm cho nó một chức vị hoặc cấp cho nó một vốn buôn?	Minderre Bovary ur, aki nem volt barátja a szépművészeteknek, azt mondta, hogy: "Bizony kár pocsékolni az időt!" Ugy se lesz soha annyijok, hogy beadhassák konviktusba, hogy hivatalt vásárolhassanak neki, vagy üzletet rendezhessenek be számára.	-0.004
Vả lại, do liều lĩnh, con người thường thành đạt ở đời. ~~~ Bà Bôvary đành cắn môi chịu đựng, thế là chú bé lại được sống lêu lổng ở trong làng.	Különben: "Egy kis fellépés, egy kis szemtelenség, s férfi-embernek nyitva a világ." Bovaryné elharapta, amit mondani akart, s a gyermek folytatta, a hol elhagyta: naphosszat csavargott.	-0.00361446
Hắn đi theo những người cày ruộng, lấy đất ném cho quạ bay đi.	Követte a munkára menőket, s göröngygyel hajigálta meg a hollókat, amelyek megriadva repültek tova.	0.192857
Hắn ăn những quả dâu ở dọc các hào; hắn cầm sào dài chăn đàn gà tây, hắn đi mót lúa ở cánh đồng, hắn chạy vào rừng chơi. ~~~ Những ngày mưa, hắn nhảy lò cò trước cổng nhà thờ, còn những ngày lễ lớn, hắn nằn nì ông gác chuông cho hắn đánh chuông để hắn được bám cả người vào cái dây chuông to lớn và cảm thấy mình cuốn đưa theo.	Szedret evett az árokban, fütyköst keritett magának s leült pulykát őrizni; aratáskor szorgalmasan forgatta a szénát; ha szép idő volt, bebarangolta az erdőt, s ha esett az eső, malmot játszott a templom előcsarnokában; nagy ünnepek idején megkérte az egyházfit, engedje harangozni, hogy kis testének egész sulyával rákapaszkodjék a nagy kötélre, s együtt himbálódzzék vele, ide-oda, ide-oda.	-0.00122616
Cho nên hắn lớn như thổi, mạnh chân khỏe tay, đỏ da, thắm thịt.	Persze, ugy nőtt, mint a sóska, Erős volt, mint a fiatal tölgy; a jégeső se árthatott neki.	0.249296
Khi hắn mười hai tuổi, mẹ hắn đã xin được cho hắn học vỡ lòng.	Olyan keze lett, mint egy kovács-legénynek; az arczáról szinte kiabált az egészség.	0.271233
	Mikor betöltötte a tizenkettedik esztendejét, anyja végre rábirta Bovary urat, hogy tanittatni kezdjék a fiut.	-0.3
Người ta cậy cha xứ làm việc đó.	Aztán rábizták a papra.	0.125
Nhưng các buổi học quá ngắn và quá loạc choạc thành chẳng bổ ích gì mấy.	De ennek a tanulásnak nem lehetett valami nagy foganatja, a leczke egy kicsit rendetlenül járt ki, s akkor is mindössze egy pár perczig tartott.	0.135366
Học vào những lúc rỗi rãi, học trong phòng mặc áo lễ, phải đứng mà học, học vội học vàng giữa khoảng một cái lễ rửa tội và một đám tang, hoặc sau ba buổi cầu kinh hàng ngày khi cha xứ chẳng phải đi đâu.	Többnyire a sekrestyében kapott "órát", olyankor, mikor a pap nem tudta mivel eltölteni az időt, egy keresztelő meg egy temetés között; ilyenkor állva, futtában, elmagyarázott a fiunak egyetmást, amivel az bizony nem mehetett sokra.	0.284579
Thầy cho gọi trò đến, rồi cả hai lên phòng riêng ngồi học tử tế: ruồi muỗi và thiêu thân quay cuồng xung quanh cây nến.	Máskor, ha véletlenül nem kellett kimennie, Angelus után érte küldött a növendékének. ~~~ Fölmentek a szobájába, leültek; szunyogok és éji pillék röpködtek a gyertya körül.	-0.045
Trời thì nóng bức, chú bé ngủ thiếp đi, còn ông già, tay đặt lên bụng, cũng lim dim đôi mắt và chẳng bao lâu, ngáy khò khò; miệng há hốc.	Meleg volt, a gyermek elaludt; nemsokára a jó öreg tisztelendő ur is elszunnyadt, s kezét hasán nyugtatva, hortyogni kezdett, nyitott szájjal, úgy, hogy messze elhallatszott.	0.27551
Cũng có những lần cha xứ đi ban thánh thể cho kẻ ốm yếu quanh vùng, khi trở về, chợt thấy Sáclơ đang lêu lổng ngoài đồng, ông ta bèn gọi hắn lại khuyên răn một hồi rồi, luôn thể bắt chú chia động từ ngay dưới một gốc cây.	Koronkint az is megtörtént, hogy a plébános ur, visszajövet valamelyik környékbeli betegtől, akinek az utolsó kenetet adta fel, észrevette az uton Károlyt, aki, ha csak tehette, a mezőn futkározott, haszontalankodott; odahivta magához, egy negyed óráig oktatta, dorgálta, s élve az alkalommal, elragoztatott vele néhány igét, egy fa tövében.	0.210612
Bài học bị đứt quãng khi trời đổ mưa hoặc có người quen thuộc đi qua.	Néha az eső vetett véget a leczkének; néha egy ismerős ment arra.	0.211475
Tuy nhiên, thầy cũng luôn đắc ý về trò, thậm chí thầy còn nói chàng tuổi trẻ có nhiều trí nhớ.	Különben a plébános meg volt elégedve vele, sőt azt mondta, hogy az ifju embernek igen jó az emlékezete. ~~~ Ennyivel nem érhette be.	-0.0140625
