TRỌNG ĐỨC	﻿HÖLGYEK ÖRÖME	0.192857
Hiệu Hạnh phúc các bà, – Jean đọc với nụ cười đằm thắm của gã thanh niên xinh trai đã từng có chuyện trai gái ở Valognes.	- "Hölgyek Öröme" - olvasta Jean. ~~~ A megnyerő mosolyú, jóképű kamasznak már akadt valami kalandja is odalent Valognes-ban.	-0.0232759
– Hay đấy nhỉ?	- Csinos, mi?	0.125
Có thế mới lôi kéo được thiên hạ chứ!	Ide aztán be is megy a nép, az biztos!	0.181818
Nhưng Denise đứng mê mẩn trước hàng bày ở cửa chính giữa.	Hanem Denise elmerülten állt a főbejárat kirakata előtt.	0.573333
Ở đó, ngoài trời, ngay trên bờ hè, bày la liệt những hàng rẻ tiền, những hàng cũ khiến những bà khách qua đường phải dừng chân.	Itt, az utca kellős közepén tornyo­sultak az olcsóbbnál olcsóbb áruk, szinte elöntötték a járdát, a kapuban kísértő alkalmi vételek megállították az arra járó női vevőket.	0.23662
Hàng đó từ trên đưa xuống, những tấm len và dạ, mérino, cheviotte, molleton, từ tầng trên rơi xuống, phất phới như cờ, với những màu pha xám đen, xanh nước biển, xanh ô-liu, mà những mảnh nhãn hiệu điểm trắng.	Már odafönn elkezdődött: gyapjúszövetek, posztók, merinó, seviot, flanell hullott alá a félemeletről, zászlóként lobogva; közömbös színeiket, a palaszürkét, tengerkéket, olajzöldet élesen szakították meg a fehér árcédulák.	0.297357
Phía bên, đóng khung theo ngưỡng cửa, cũng treo những dây da buộc lông thú, những băng kẹp làm dải áo, màu tro mịn của da lưng sóc, màu trắng ngần của lông bụng thiên nga, những lông thỏ giả lông chồn, lông điêu.	Oldalt, a kü­szöböt körülvéve, hosszú prémek függöttek, ruhaszegélynek való keskeny szalagok, a szürke mókusbundák finom hamuszíne, a hattyúprémek tiszta hava, a hamis hermelin és a hamis nyusztprém nyúlszőrei.	0.271014
Rồi, phía dưới trong những ô, trên những bàn, giữa những rẻo vải chất đống, tràn ngập những hàng mũ áo đan bán rẻ mạt, găng và khăn len đan, mũ trùm vai, áo gi-lê, cả mặt hàng mùa đông màu sặc sỡ, tạp sắc, sòng sọc, với những chấm đỏ như máu.	Lent meg, a polcos szekrényekben, az asztalokon, a szövetmaradékok halmai között hallatlan bőségben hevertek a jóformán ingyen adott kötöttáruk, a kötött gyapjúkesztyűk és kendők, főkötők, mellények; egész téli kirakat, tarka mintás, csíkos, vérző vörös foltos szövetekből.	0.298889
Denise thấy một mảng ta-tăng giá bốn mươi nhăm xăng-tim, những băng da điêu châu Mỹ, giá một phrăng, và những bao tay giá năm xu.	Denise látott egy negyvenöt centime-os skótkockás kendőt, egyfrankos amerikai nerc-szalagokat és öt sou-s ujjatlan kesztyűket.	0.45031
Cả một cảnh bày hàng chợ phiên ngồn ngộn, cửa hiệu dường như vỡ tung và ném hàng thừa ứ ra ngoài phố.	Óriási vásári kirakodás volt ez; a dugig tömött üzlet valósággal ontotta fölöslegét az utcára.	0.240625
Họ quên mất ông chú Baudu.	Baudu bácsiról megfeledkeztek.	0.27931
Cả Pépé, không rời tay chị, cũng trố mắt ra nhìn.	Maga Pépé is, aki a világért el nem engedte volna a nénje kezét, nagy szemet meresztett.	0.163636
Một chiếc xe bắt cả ba chị em rời nơi giữa quảng trường; và bất giác họ đi vào phố Neuve-Saint-Augustin, họ theo dọc các tủ kính, cứ đến trước mỗi nơi bày hàng lại dừng lại.	Egy kocsi mindhármukat arra kényszerítette, hogy elmozdul­janak a tér közepéről; gépiesen befordultak az Új Szent Ágoston utcába, a tükörablakok mellett haladtak tovább, és minduntalan megálltak minden kirakat előtt.	0.28
Thoạt đầu họ bị quyến rũ, bởi cách bày rắc rối: bên trên, những chiếc ô, đặt chéo, làm thành như một mái lều thôn dã; bên dưới là tất lụa, treo ở những ngáng sắt, phô ra những đường uốn tròn của bắp chân, chiếc này thì lốm đốm những cụm hồng, chiếc kia đủ màu sắc, những chiếc màu đen có giua, những chiếc màu đỏ thêu ở góc, những chiếc màu hồng cát mịn dịu như da người tóc hung vàng, sau hết, trên vải phủ giá bày hàng là những chiếc găng, bày cân xứng với những ngón tay thon dài, lòng bàn tay hẹp của gái đồng trinh xứ Byzance cái vẻ đẹp cứng đơ và tưởng như thanh xuân ấy của những xống áo phụ nữ không ai mặc.	Mindjárt az elején lenyűgözte őket egy kirakat bonyolult elrendezése: fenn a ferdén egymásnak döntött esernyők mintha valami parasztkunyhó tetejét alkották volna; odalenn függönyrúdra akasztott selyem­harisnyák mutogatták a lábikrák gömbölyödő vonalait, egyik-másik rózsabokrétákkal meg­tűzdelve, a többi számtalan árnyalatban: fekete azsúros harisnyák, hímzett szegélyű pirosak, hússzínűek, melyeknek selymes szemecskéi oly lágyak voltak, mint egy szőke nő bőre; végül a kirakat állványának vásznán kesztyűk voltak szimmetrikusan elszórva, kinyújtott ujjakkal, bizánci madonnákra emlékeztető szűk tenyérrel, a még nem viselt asszonyi rongyok merev és kamaszos bájával.	0.288146
Nhưng tủ kính cuối cùng giữ chân họ lâu nhất. ~~~ Cả một cuộc triển lãm những hàng tơ lụa, xa-tanh và nhung đua nở với những màu sắc vi diệu nhất của các giống hoa trong một thang bậc uyển chuyển và rung động: trên hết là nhung màu đen sẫm, màu trắng sữa đặc, bên dưới là xa-tanh, xa-tanh hồng, xa-tanh lam, với những vệt sẫm chói, phai dần dần đến những màu nhạt dịu vô cùng, dưới nữa là tơ lụa, cả dải cầu vồng, những tấm xoăn hình vỏ trứng, xếp nếp như quanh một thân hình ưỡn ngực, trở thành linh hoạt dưới bàn tay khéo léo của những viên thư ký bán hàng, và, giữa mỗi môtíp, giữa mỗi sắc ngữ của hàng bày hòa theo một nét đệm kín đáo, một đường uốn éo nhẹ nhàng của khăn quàng cổ màu kem.	De főképpen az utolsó kirakat kötötte le a figyelmüket Selyemszatén-, bársonykiállítás tárta elébük gyöngéd és vibráló skálában a virágok legfinomabb szín­árnyalatait: legfölül mélyfekete és aludttej-fehér bársony, lejjebb rózsaszín és kék szatén éles törésekkel, végtelen finomságú árnyalatokba halványulón; még lejjebb selymek pompáztak a szivárvány minden színében, tojáshéj alakban redőkbe rendezett kelmék, mintha feszes derékra fodrozták volna őket, megelevenedtek a segédek ügyes ujjai alatt; s a kirakatnak minden motívuma, minden színes zenei frázisa között halk kíséretként futott végig egy könnyű, krémszínű, habos foulard-szalag.	-0.0176887
Chính là ở tủ kính này, người ta bày ở hai đầu, xếp thành chồng cao ngất hai mẫu lụa mà nhà hàng này độc chiếm, Paris-Hạnh phúc và Kim bi, những hàng đặc biệt sẽ làm một cuộc cách mạng trong thương nghiệp tân phẩm. ~~~ — Ôi chao!	Itt, a kirakat két végén, találkozott óriási oszlopok­ban az a kétféle selyem, mely a cég kizárólagos tulajdona volt: a "Párizs Öröme" és az "Aranybőr"; e különlegességek nemsokára tűzbe hozzák az egész divatáru-kereskedelmet.	-0.010181
Cái lụa faille kia giá năm phrăng sáu mươi!	- Ó, ez az öt frank hatvanas nyersselyem!	0.235135
– Denise lẩm bẩm, sững sờ trước lụa Paris-Hạnh phúc.	- suttogta Denise, a "Párizs Örömé"-t bámulva.	0.195652
Jean bắt đầu thấy chán.	Jean unatkozni kezdett.	0.968182
Chú hãm một người qua đường lại.	Megállított egy járókelőt.	0.2
— Hỏi thăm ông phố La Michodière.	- Merre van, kérem a Michodière utca?	0.273529
Khi người ta chỉ cho hắn ngôi nhà đầu phía tay phải thì cả ba quay trở lại, vòng quanh ngôi hàng.	Mikor megmutatták neki - az első utca volt jobbra -, mind a hárman visszafordultak, megkerülve az áruházat.	0.287755
Nhưng vừa bước chân vào phố, Denise lại bị lôi cuốn vì một tủ kính bày hàng may sẵn cho phụ nữ.	De amint Denise betért az utcába, újra megállította egy kirakat, ahol női konfekcióárut lehetett látni.	0.466288
Ở nhà Corneille, tại Valognes, cô đặc trách về hàng may sẵn. ~~~ Thế mà chưa bao giờ cô thấy như ở đây, và cô bị chốt trên vỉa hè vì thán phục.	Cornaille-nál, Valognes-ban, ő is a konfekcióval foglalkozott, de ilyesmit sohasem látott még, s a csudálkozástól most szinte földbe gyökerezett a lába.	-0.0104167
Phía trong cùng, một chiếc khăn choàng lớn bằng đăng-ten Bruges, giá rất đắt, trải qua như nằm che bàn thờ, dang hai cánh màu phơn phớt đỏ hoe; những viền đăng-ten dệt kim bày thành tràng hoa; rồi đến cả một suối đăng-ten đầy tràn đủ loại, hàng Malines, hàng Valenciennes, hàng ghép Bruxelles, hàng dệt kim Venise, như tuyết rơi.	A háttérben nagy bruges-i csipkeszegély (az ára igen tekintélyes volt) szélesített ki egy kibontott szárnyú, vörös-fehér oltárterítőt; alençoni csipkefodrok voltak odavetve füzérben, melléje teli marokkal szórták a szebbnél szebb csipkéket, a malines-i, brüsszeli rátéteket, a velencei csipkéket, fehéren, mint a frissen hullott hó.	0.272813
Bên trái bên phải, những tấm dạ tối sẫm dựng thành cột đẩy lùi thêm chiều sâu của khám thờ.	Jobbra és balra sötét oszlopokat alkottak a posztóvégek, melyek még mélyebbnek tüntették föl e messzeségbe vesző szentélyt.	0.257547
Và những đồ may sẵn bày đó, trong ngôi điện dựng lên để chiêm bái sắc đẹp phụ nữ đó: ngay chính giữa là một phẩm vật ngoại hạng, một chiếc măng-tô nhung với phụ nữ bằng lông cáo màu bạc; một bên là chiếc măng-tô tròn bằng tơ lót da sóc, bên kia là một chiếc áo bành-tô bằng da viền lông gà trống; sau hết, những đồ mặc dự khiêu vũ bằng cachemire trắng, bằng matelassé trắng điểm lông thiên nga hay dải kim tuyến.	És itt volt a készáru, az asszonyi bájak kultuszának emelt kápolnában: középen egy különleges darab, egy ezüstrókaprémes bársonyköpeny, mellette szürke mókusprémmel bélelt selyem körgallér, másik oldalt kakastollal szegett posztó felöltő, végül báli gallérok, fehér kasmírból, fehér matlaszéból, hattyúprémmel vagy hernyóselyemmel szegve.	0.195266
Có hàng cho đủ mọi sở thích, từ những đồ khiêu vũ hai mươi chín phrăng cho đến áo măng-tô nhung đề giá một nghìn tám trăm phrăng.	Ki lehetett itt elégíteni minden szeszélyt, a huszonkilenc frankos báli galléroktól kezdve a bársonyköpenyig, melyre ezer­nyolcszáz frank volt ráírva.	0.293662
Những tượng gỗ vú tròn làm căng vải, hông mập, tôn quá mức nét lưng ong, đầu được thay bằng một nhãn hiệu lớn găm bằng ghim vào len tuyết màu đỏ của cổ áo. ~~~ Trong khi đó những chiếc gương ở hai bên tủ kính, bày có tính toán, phản chiếu và nhân mọi thứ lên vô tận, làm cho phố nhan nhản những mỹ nhân đem bán đó, với những biển giá ghi bằng chữ số to, thay đầu người.	A próbabábuk gömbölyű mellén megfeszült a szövet, az erős csípők hangsúlyozták a derék karcsúságát, a hiányzó fejet nagy cédula helyettesítette, mely tűvel volt ráerősítve a gallér piros flanelljára; a kirakat két oldalán ügyesen elhelyezett tükrök verték vissza és sokszorozták meg végtelenül ezt a képet, benépesítve az utcát ezekkel az eladó szépasszonyokkal, akik nagybetűs árcédulát viseltek a fejük helyén.	0
— Các bà cừ thật – Jean lẩm bẩm, chẳng biết nói gì hơn để tả niềm xúc động của mình.	- Mesés - mormogta Jean, aki nem talált más szót izgalma kifejezésére.	0.145455
Lập tức hắn lại đứng ngây ra, miệng há hốc.	Most egyszerre ő állt meg mozdulatlanul, tátott szájjal.	0.288462
Cả cái mỏ đồ xa hoa của phụ nữ kia làm hắn đỏ mặt vì hứng thú.	Elpirult gyönyörűségében a felcico­mázott nők láttán.	0.228814
Hắn xinh như con gái, vẻ đẹp mà dường như hắn đánh cắp của chị hắn, da trắng nõn, tóc đỏ hoe và loăn xoăn, đôi môi và cặp mắt đượm âu yếm.	Lányos szépség volt, mintha csak nővérétől lopta volna el a szépségét, ragyogó bőr, vöröses göndör haj, gyöngédségtől nedves ajkak és szemek.	0.268531
Đứng bên hắn, trông bộ ngỡ ngàng, Denise có vẻ mảnh người hơn với khuôn mặt dài và miệng quá rộng, nước da mai mái, dưới làn tóc nhạt.	Amint csodálkozva állt ott, a hosszú arcú, nagy szájú, világos hajú, máris kissé fakó arcú Denise még véko­nyabbnak látszott mellette.	0.399675
Và Pépé, cũng tóc hung, màu hung của tuổi thơ, chú càng siết chặt lấy chị, như chợt thấy cần được vỗ về vì lo lắng, bối rối và choáng váng trước những mỹ nhân trong tủ kính.	Pépé, aki szintén szőke volt, gyermekien szőke, még jobban odabújt a nénjéhez, mintha valami nyugtalan szükségét érezte volna a dédelgetésnek, annyira megzavarták és elbűvölték a kirakatbeli szép dámák.	0.395716
Ba chị em trông thật ngộ nghĩnh và thật đáng yêu trên đường phố, tóc màu hung, bận đồ đen tiều tụy, cô gái rầu rĩ giữa chú bé xinh xẻo và chàng trai vênh vênh, khiến người qua đường quay nhìn và mỉm cười.	Oly különös és oly bájos volt ez a szegényes gyászruhába öltözött három szőkeség, ott a gyalogjárón: ez a szomorú leány a csinos gyerek és a jól megtermett kamasz között, hogy a járókelők mosolyogva fordultak meg utánuk.	0.281604
Từ lúc nãy, một người to lớn tóc bạc, mặt rộng với nước da vàng, đứng ở ngưỡng của một cửa hàng, bên kia đường phố, nhìn theo họ.	Kis ideje egy fehér hajú, nagy sárga arcú, kövér ember nézte őket az utca másik oldaláról, egy bolt küszöbén állva.	0.195536
Ông ta đang đứng đó, mắt đỏ lên, miệng mím chặt, giận bừng bừng vì những hàng bày của hiệu Hạnh phúc các bà, chợt ông trông thấy cô gái và hai em khiến ông càng phẫn nộ.	Véres szemmel, összeszorított szájjal állt ott, haragosan nézte a "Hölgyek Öröme" kirakatait, s hogy megpillantotta a lányt és fivéreit, végképp kijött a sodrából.	0.245283
Ba đứa ngốc kia, chúng làm gì mà cứ ngây ra trước những phô trương của bọn làm trò quỷ thuật?	Mi az ördögöt bámul ez a három fajankó azon a szemfényvesztő parádén?	0.147826
— Thế còn chú?	- Hát a bácsi?	0.214286
– Denise chợt như thức tỉnh, thốt lên nhắc.	- kérdezte hirtelen Denise, mintha álmából riadt volna fel.	0.264
— Ta đang ở phố La Michodière, – Jean nói, – chắc chú ở đâu đây.	- A Michodière utcában vagyunk - mondotta Jean. ~~~ - Itt kell laknia valahol.	-0.011194
Họ ngẩng đầu lên và quay lại.	Fölemelték a fejüket és visszafordultak.	0.248571
Thì ở ngay trước mặt họ, bên trên người to lớn kia, họ trông thấy một tấm biển hiệu màu xanh ve với chữ vàng lợt màu vì mưa: Vieil Elbeuf, dạ và flanelle, Baudu, kế nghiệp Hauchecorne.	Éppen a szemük előtt, a kövér ember fölött láttak egy zöld cégtáblát, melynek sárga betűi kifakultak az esőben: Tartós Posztó, Szövetek és Flanellek, Baudu, Hauchecorne Utóda.	0.367251
Ngôi nhà quét vôi màu gỉ đã cũ, xoàng xĩnh giữa những tòa nhà lớn kiểu Louis XIV ở bên cạnh, chỉ có ba cửa sổ phía trước mặt, mà những cửa đó, hình vuông, không có cửa chớp, chỉ kèm một lan can, hai gióng sắt làm thành hình chữ thập.	A házat régi, rozsdaszínű festés borította, egészen laposnak látszott a szomszédos, XIV. ~~~ Lajos korabeli nagy paloták között, csak három ablaka nyílt az utcára; s ezeket a négyszögletes, zsalugáter nélküli ablakokat csupán vasrács díszítette, két keresztbe tett rúd.	-0.00296443
Nhưng trong vẻ trần trụi đó, cái đập vào mắt Denise nhất, vì cô còn mang đầy hình ảnh của những hàng bày sáng sủa ở hiệu Hạnh phúc các bà, đó là cửa hàng ở tầng sát đất, bị trần nhà đè bẹp, và một tầng trên rất thấp, với những lỗ cửa bán nguyệt kiểu nhà tu.	Denise-t azonban, kinek a szeme még tele volt a "Hölgyek Öröme" fényes kirakataival, e sivár környezetben is meglepte a földszinti bolt: mennyezete nyomott, fölötte egy igen alacsony félemelet, félhold alakú börtönablakokkal.	0.184834
Một khung gỗ, cùng màu với biển hàng, màu xanh chai mà thời gian đã điểm sắc thổ hoàng và nhựa đường, đóng khung hai bên hai tủ kính ăn sâu, tối tăm, bụi bặm trong đó lờ mờ những tấm vải chất đống.	A cégtáblával azonos színű palackzöld fakeret, melyet az idő okker- és bitumenárnyalatúra fakított, jobb- és baloldalt két mély, fekete, poros kirakatot körített, ahol alig lehetett megkülönböztetni az egymásra halmozott szövetvégeket.	0.286301
Cửa ra vào để mở dường như dẫn vào bóng tối ẩm ướt của một căn hầm.	A nyitott ajtó mintha csak egy pince nedves sötétségébe nyílt volna.	0.221538
— Đây rồi, – Jean lại nói.	- Ez az - szólalt meg újra Jean.	0.257143
— Thế thì vào thôi, – Denise bảo.	- Hát akkor menjünk be - mondta Denise.	0.274286
– Nào Pépé lại đây.	- Gyere, Pépé.	0.1
Tuy nhiên cả ba đâm ra nhút nhát bối rối.	De mind a hárman megzavarodtak, félénkség fogta el őket.	0.231818
Khi bố chúng qua đời, cũng do cái bệnh sốt đã mang mẹ chúng đi một tháng trước đó, ông chú Baudu, trong cơn xúc động vì hai cái tang liền, đã viết thư cho cháu gái rằng nhà ông lúc nào cũng dành một chỗ cho cô, khi nào cô muốn lên Paris cầu may. ~~~ Nhưng bức thư đó đã viết từ ngót một năm trời nay, và bây giờ cô gái hối hận vì đã rời Valognes đi, trong một cơn liều lĩnh, mà không báo cho chú biết trước.	Mikor meghalt az apjuk, ugyanabban a lázban, mely egy hónappal előbb anyjukat is elragadta, Baudu bácsi ennek a kettős gyásznak lelki felindulásában azt írta ugyan az unokahúgának, hogy nála mindig akad számára hely, ha szerencsét akar próbálni Párizsban; de ez a levél már több mint egy évvel ezelőtt kelt, s a leány most már bánta, hogy így távozott Valognes-ból, hirtelen elhatározással, anélkül, hogy a nagybátyját értesítette volna.	-0.00696822
Ông ta không biết mặt chúng vì ông chưa bao giờ đặt chân lại tỉnh nhà, kể từ khi ông ra đi lúc còn trẻ măng, để vào làm cậu thư ký nhỏ ở cửa hàng bán da của ông Hauchecorne mà cuối cùng anh ta kết hôn với con gái ông này.	Az nem ismerte őket, mert a lábát sem tette be a városba, amióta egészen fiatalon eltávozott onnét, hogy mint segéd belépjen Hauchecorne posztókereskedőhöz, akinek végül elvette a leányát.	0.31127
— Thưa, tôi hỏi ông Baudu? ~~~ – Denise rốt cuộc quyết định hỏi cái người to lớn vẫn cứ nhìn bọn họ mãi, ngạc nhiên vì dáng dấp của họ.	- Baudu urat keresem - mondta Denise, végre rászánva magát, hogy a kövér emberhez forduljon, aki, viselkedésüktől meglepetten, még mindig nézte őket.	-0.0117021
— Chính tôi đây, – ông ta đáp.	- Én vagyok - felelte.	0.075
Thế là Denise mặt đỏ như gấc, ấp úng nói:	Denise erősen elpirult, és azt hebegte:	0.639382
— Thế thì may quá!… Cháu là Denise, và đây là Jean, còn đây là Pépé… Thưa chú, chúng cháu đến đây ạ…	- Ó, de jó... Én vagyok Denise, ez itt Jean, ez meg Pépé... Látja, eljöttünk, bácsi.	0.52003
Baudu có vẻ kinh ngạc.	Baudun meglátszott az elképedés.	0.1875
Đôi mắt to và đỏ đưa đi đưa lại trên bộ mặt vàng, tiếng nói chậm rãi, lúng túng.	Nagy, vörös szemei nyugtalanul jártak sárga ábrázatában, lassú szavai összezavarodtak.	0.282759
Rõ ràng ông ta hoàn toàn không ngờ tới cái chuyện gia đình này đến để rơi lên vai ông.	Nyilván ezer mérföldnyire járt ettől a családtól, mely most egy­szerre a nyakába szakadt.	0.27931
— Sao! ~~~ Sao!	- Micsoda, micsoda, itt vannak?	-0.15
Các cháu đây à!	- ismételte többször is.	0.183333
– ông nhắc đi nhắc lại.	- De hiszen Valognes-ban voltak!...	0.268966
– Các cháu ở Valognes kia mà!… Tại sao các cháu không ở Valognes?	Mért nincsenek Valognes-ban?	-0.139286
Cô gái, giọng dịu dàng, hơi run, phải nói rõ.	Denise szelíd, kissé reszkető hangján magyarázkodni kezdett.	0.232653
Sau khi bố chết, mà ông ta thì đã ngốn đến đồng xu cuối cùng ở cửa hàng nhuộm của ông, cô phải làm mẹ hai đứa trẻ.	Apjuk halála után, aki utolsó fillérét is ráköltötte kelmefestő üzemére, ő maradt a két gyermek anyja.	0.216832
Lương cô lĩnh được ở nhà Cornaille chẳng đủ nuôi ba miệng ăn.	Amit Cornaille-nál keresett, nem volt elég, hogy mind a hármukat eltartsa.	0.291176
Tuy Jean cũng làm việc ở một cửa hàng sửa chữa đồ gỗ cũ nhưng hắn chẳng được lĩnh một xu nào.	Jean dolgozott ugyan egy műaszta­losnál, aki régi bútorokat állított helyre, de egy fillért sem kapott tőle.	0.46482
Thế nhưng, hắn đâm ham thích đồ cũ, hắn khắc hình trên gỗ; thậm chí một hôm, tìm được một mẩu ngà, hắn vui tay gọt một đầu người mà có một ông đi qua nhìn thấy; ấy thế là chính ông ấy đã khiến họ quyết định rời Valognes để lên Paris tìm cho Jean một chỗ làm ở một cửa hàng đồ ngà.	Hanem azért meg­szerette az ócskaságokat, alakokat faragott ki fából; sőt egyszer, mikor egy darabka elefánt­csontra akadt, mulatságból csinált egy fejet, amit egy arra járó úr meglátott; és ez az úr vette rá őket, hogy hagyják ott Valognes-t, mert helyet talált Párizsban Jeannak egy elefánt­csont­művésznél.	0.278716
— Thưa chú, chú thấy đấy, ngay ngày mai Jean sẽ vào học việc ở nhà ông chủ mới.	- Tudja, bácsikám, Jean már holnap beáll inasnak az új gazdájához.	0.4375
Người ta không đòi tiền, mà em cháu thì được ăn và ở… Thế là, cháu nghĩ rằng Pépé và cháu, chúng cháu thế nào cũng xoay được.	Nem fizetek érte, lakást és ellátást kap... Hát azt gondoltam, hogy Pépé meg én, mi csak elleszünk valahogy.	0.343189
Chúng cháu không thể khổ hơn ở Valognes.	Itt se lehetünk szerencsétlenebbek, mint Valognes-ban.	0.245455
