Alain Fournier	﻿ALAIN-FOURNIER	0.214286
Một ngôi nhà đỏ dài ở đầu thị trấn với nắm cửa ra vào lấp kin bên dưới những dây nho dại, một cái sân mênh mông với chỗ giặt quần áo và những khoảng dành cho trẻ em chơi, phía trước mở ra làng bởi một cổng lơn, phía bậc, dọc một hàng rào thấp lưới mắt cáo là con đường cái dẫn ra ga cách xa ba ki-lô-mét, phía nam và phía sau là những cánh đồng, vườn tược, đồng cỏ nhỏ nằm giữa các xóm thôn... ấy là đại khái chỗ ở của gia đình tôi, nơi đã trôi qua những ngày sôi nổi nhất và thân thiết nhất của đời tôi, nơi xuất phát các cuộc phiêu lưu của chúng tôi, và nơi chúng quay về sẽ vỡ tan như sóng biển húc vào một khối đá cô quạnh.	Ehhez a lakásunkhoz fűződnek életem legszebb emlékei, sok-sok felejthetetlen, drága nap, sok-sok kínzó, fájó éjszaka. ~~~ Sziget volt ez a ház; mennyi kalandra indultunk innen s mennyiből tértünk ide vissza - ó, hány hajótörést szenvedtek itten álmaink - mint hullámok a magányos sziklaszirteken. ~~~ Édesapám kérte-e az áthelyezését, vagy valamelyik tanfelügyelő, tanügyi előadó szeszélyéből kerültünk-e ide, erre már nem emlékszem határozottan.	-0.223151
Cái bất chợt của những "cuộc chuyển trường", một quyết định của ông giám thị hay thanh tra giáo dục đã xô đẩy chúng tôi đến đó.	Az a nap azonban még élénken az emlékezetemben él, amikor sok-sok évvel ezelőtt megérkeztünk édesanyámmal egy döcögős parasztszekéren a kis rácsos vasajtó elé, mely csupa rozsda volt.	0.240816
Khoảng cuối kỳ nghỉ hè, lâu lắm rồi, một chiếc xe bò theo kiểu nông thôn, vốn đi trước gia đình tôi, đã đổ mẹ tôi và tôi xuống trước hàng rào thấp lưới sắt mắt cáo hoen rỉ... Mẹ tôi, mà chúng tôi gọi là Mili, bà nội trợ điêu luyện nhất mà tôi được biết, liền đi vào những căn phòng phủ bụi vương đầy rơm rác, và ngay tức thì mẹ thất vọng, thừa nhận như các lần dọn nhà khác rằng đồ đạc đồ đạc của chúng tôi không bao giờ thọ nổi trong một ngôi nhà xây cất tồi như thế này... Mẹ ra phàn nàn với tôi.	A nyári szünidő vége felé jár­hattunk éppen, s mi előre jöttünk édesanyámmal, mert a bútorainkat szállító kocsik elakad­tak az úton. ~~~ Alighogy észrevettek bennünket a kertben csellengő suhancok, akik az őszibarack­fákat dézsmálták éppen szenvedélyesen, pillanatok alatt elszeleltek a sövény résein keresztül, mintha ott se lettek volna... Édesanyámnál - akit magunk közt Millie-nek becéztünk - kitűnőbb, körültekintőbb háziasszonnyal azóta sem találkoztam. ~~~ Most is első dolga volt, hogy azonnal szétnézzen a lakásban.	-0.125446
Vừa nói, mẹ vừa lấu mùi xoa khẽ lau bộ măt măng sữa của tôi sạm lại sau chuyến đi.	A helyiségekben vastagon állt a szalma, szétszórtan, csomókban, s léptei nyomán por szállt fel belőle.	0.280435
Rồi mẹ quay vào đếm xem tất cả có bao nhiêu lỗ hổng phải bịt để ngôi nhà còn có thể ở được... Còn tôi, mũ rơm to đùg đính ruy-băng, tôi đứng đó, trên cái sàn xi măng xa lạ, chờ đợi, tò mò nhìn xung quanh giếng và dưới mái nhà kho.	Most is kétségbeesve jegyezte meg, akárcsak minden addigi áthelyezésünk alkalmával, hogy lehetetlen a lakás beosztása, s nem is tudja, hogyan helyezze el benne a bútorokat... Kijött hozzám az udvarra, s elsírta nékem bánatát.	0.24
Bây giờ í ra tôi cũng hình dung như vậy về lúc chúng tôi đến Xanh-tơ-Agát.	S miközben dőlt belőle a panasz, zsebkendőjével gondosan megtörölte maszatos kölyökarcomat, melyet belepett az út pora.	0.16875
Bởi vì vừa muốn tìm lại kỷ niệm xa xưa về cái đêm đợi chờ đầu tiên trên sàn xi măng, tôi vừa nhớ lại bao cuộc đợi chờ khác; tôi đã mường tượng lại lúc mình bám hai tay vào chấn song cổng, hồi hộp rình xem có ai xuống phố lớn không.	S máris fordult vissza, hogy megnézze, hol kellene ajtót töretni, s hol kellene falaztatni, hogy mégis lakályosabban tudjunk berendezkedni a házban... Én meg kint maradtam az ismeret­len udvaron, nagy, szalagos szalmakalappal a fejemen, s a kavicsokat rugdaltam, míg anyám­ra várakoztam, meg felfedező útra indultam a kút köré, s még a fészerbe is bemerészkedtem...	0.210465
Tôi thử hồi tưởng đêm đầu tiên phải ngủ trên gác xép ở giữa các gian kho trên tầng hai, kỷ niệm về bao đêm khác đã sống dậy; trong phòng nào chỉ mình tôi, một cái bóng lớn thân thiết và bồn chồn cứ đi dọc các bức tường và quẩn quanh trong phòng.	Legalábbis ma így képzelem el odaérkezésünk első óráit. ~~~ Mert abban a pillanatban, hogy fel akarom idézni magamban első estém ködbevesző emlékét, amikor ott ácsorogtam a Sainte-Agathe-i udvar kavicsos homokján, édesanyámra várakozva, már újabb emlékek is felmerülnek bennem; szinte látom magam a rácsokba fogódzva, amint ott leselkedem a kapunál, hogy mikor tűnik már fel a városka felőli úton az, akit szívszorongva várok.	-0.0392989
Trong ký ức của tôi, tất cả quang cảnh thanh bình đó - ngôi trường, cánh đồng với ba cây hồ đào của lao Mactanh, khu vườn ngay từ bốn giờ hàng ngày đã có nhiều phụ nữ đến viếng thăm - mãi mãi sống động, hiền hòa bởi sự có mặt của con người đã khuấy động toàn bộ tuổi xuân của chúng tôi, và không để chúng tôi được yên ngay cả khi đã bỏ trốn.	S ha vissza próbálok emlé­kez­ni az első éjszakára - egyedül aludtam fent, az első emeleten, egy padlásszobában, közvetlenül a teregető helyiségek és különféle kamrák mellett -, már más éjszakák emlékei is felrémlenek bennem; amikor már nem egyedül alszom a szobában; egy furcsa, hosszú árny is tovasurran nyugtalanul és otthonosan a falak mentén, s le-föl imbolyog az éjszakában.	0.33515
	Hiszen ez az ősi nyugalomban tespedő vidék - az iskolaépület, Martin apó dűlője a három diófával s még a kertünk is, melyben ott duruzsoltak tanítás után nap mint nap a látogatóba érkező asszonyok -, ez az ősi nyugalmú táj, emlékeimben örökre hozzákötődött valakihez, aki csak azáltal, hogy ott járt, a puszta jelenlétével átvarázsolt mindent, mindennek más jelentést adott.	-0.3
	Mert volt valaki, aki fenekestől felforgatta békés ifjúságunkat, s bár később nyoma veszett, eltűnt a körünkből, a nyugtalanság örökre ottmaradt utána szívünkben.	-0.3
Tuy vậy khi Meaulnes đến, chúng tôi đã ở xứ sở này được 10 năm.	Már több mint tíz éve laktunk Sainte-Agathe-ban, amikor Meaulnes hozzánk került.	0.524648
Bây giờ tôi 15 tuổi.	Nemrégiben töltöttem be tizenötödik életévemet.	-0.0652174
Đấy là một Chúa nhật lạnh lẽo của tháng 11, ngày thu đầu tiên khiến ta nghĩ đến mùa đông.	Hűvös volt az a novemberi vasárnap, csípős: az első olyan őszi reggel, amikor hirtelen arra gondolunk, hogy rövidesen beköszönt a tél.	0.225743
	Millie egész nap az ablakban ült.	-0.3
Cả ngày Mili đợi chờ từ phía nhà ga một chiếc xe mang đến cho mẹ một chiếc mũ chống rét.	Úgy volt, hogy La Gare-ból átkocsizik valaki, akinél egy kalapot rendelt, mert már itt volt az esős évszak.	0.3
Buổi sáng, mẹ nhỡ buổi lễ nhà thờ. ~~~ Cho đến bài thuyết giáo, ngồi trong đội đồng ca với những đứa bé khác, tôi lo lắng nhìn mãi phía gác chuông, mong được thấy mẹ đội mũ mới đi vào.	Reggel el sem jött velem a misére, de azért az orgona mellől, ahol a többi gyerekkel együtt üldögéltem, egész a szentbeszéd kezdetéig egyre a templom bejáratát lestem, repeső szívvel várva, mikor tűnik fel édesanyám, új kalapjával a fején.	-0.0145631
Quá trưa, tôi phải đi lễ chiều môt mình.	A litániára is nélküle kellett elindulnom uzsonna után.	0.24
- Mới lại - mẹ nói để an ủi tôi, tay phủi phủi quần áo cho tôi - ngay nếu như nó đến, chiếc mũ ấy mà, chắc chắn chủ nhật mẹ cũng phải sửa lại.	- Aztán, tudod - simogatta meg a fejem, csak hogy megvigasztaljon, s közben megigazította a matrózruhámat, néhány porszemet fricskázva le róla - könnyen lehetséges, hogy akkor is itthon kellene rostokolnom egész vasárnap, ha elhozták volna a kalapomat, mert csak akadna valami igazítani való rajta.	0.330036
Chủ nhật mùa đông của gia đình tôi thường như thế này.	Nemegyszer teltek így téli vasárnapjaink.	0.139024
Từ sáng, cha tôi đã đi khá xa ngồi trong thuyền câu cá chó ở một cái ao phủ sương. ~~~ Mẹ tôi lại vá víu những quần áo xoàng xĩnh trong căn buồng tăm tối của mình cho đến đêm.	Édesapám, alighogy megvirradt, messzi útra indult, s valamelyik ködben borongó tavacska partján kötött ki, mert szenvedélyesen szeretett csukára halászni; édesanyám meg késő éjszakáig szobájába zárkózott, s ott vakoskodott a rosszul világított helyiségben, egyszerű ruháit át- meg átalakítgatva.	-0.0818182
Mẹ cấm cung như vậy là vì sợ bất đồ một bà bạn cũng nghèo khó và cũng kiêu hãnh như mình bắt gặp.	Minden alkalommal bezárkózott, mert nem szerette volna, ha valamelyik barátnője váratlanul betoppan és rányit munka közben, pedig egyetlenegy barátnője sem volt jobbmódú nála, de bizony a büszkeségben is kiállották volna a versenyt édesanyámmal.	-0.0412844
Còn tôi, sau cuộc lễ chiều, tôi ngồi đọc sách trong phòng ăn rét mướt, chờ mẹ mở cửa xem mẹ có khỏe không.	Én meg, ha vége volt a litániának, beültem egy könyvvel az ebédlőbe - ahol úgy ősz elején még nem szoktunk befűteni - arra várakozva, hogy mikor szólít be szobájába, mert kíváncsi volt, mit szólok újjávarázsolt ruháihoz.	0.0680672
Chủ nhật ấy, một sự nhốn nháo trước cửa nhà thờ đã giữ tôi lại bên ngoài sau buổi lễ chiều.	Azon a vasárnapon nem mentem azonnal haza litánia után. ~~~ Sokan nyüzsögtek a templom előtt, s gondoltam, én is ottmaradok egy kicsit.	-0.0180556
Một lễ khai trương đội cứu hỏa tổ chức dưới vòm cổng lớn đã lôi kéo trẻ con bu đến.	Bent, a boltívek alatt, egy újszülöttet kereszteltek éppen, a bámészkodó kölykök sorfala közt.	0.284043
Trên quảng trường, có nhiều người lại vận quần áo cứu hỏa của họ, tụm năm tụm ba, rét cóng, dận đế giày không ngớt, họ lắng nghe ông đội trưởng Bu-Giác-dông thuyết lý rối tinh rối mù lên.	Kint a téren tűzoltóegyenruhás férfiak topogtak, katonás sorokba fejlődve, mert majd megvette őket az Isten hidege; s áhítattal figyeltek parancsnokukra, Boujardonra, aki ott szónokolt előttük, végérvényesen belegabalyodva se füle-se farka mondatai zűrzavarába...	0.248372
	A harang, mely a keresztelés szertartása alatt zengve zúgott, hirtelen elnémult, olyan volt az egész, mintha az utolsó pillanatban vették volna észre, hogy rossz időben kondult meg az ünnepekre hívó nagyharang, s így aztán hangja váratlanul elenyészett a semmibe; Boujardon meg a legénység, fegyverüket vállukra vetve, elmasírozott a tűzoltófecskendővel.	-0.3
Buổi lễ đang ồn ào bỗng ngưng bặt, tựa như người kéo chuông buông vội tay vì biết là nhầm giờ.	Négy kölyök menetelt utánuk csendben, ünnepélyesen, otromba bakancsaik alatt meg-megreccsentek a dérlepte útra hullott kicsi száraz ágacskák.	0.215888
Bu-Giác-Dông và quân của ông kéo nhanh cái bơm cứu hỏa đi.	Ott álltam, amíg el nem tűntek az első kanyarban. ~~~ Ahhoz már nem volt bátorságom, hogy utánuk eredjek.	-0.0428571
Họ khuất hẳn ở chỗ ngoặt đầu tiên, có bốn thằng bé nín thở đi theo, những đế giày to tướng của chúng xéo lên những ngọn cỏ hai bên vệ đường phủ sương giá mà tôi không dám bước lên để theo chúng.	A városka hirtelen elnéptelenedett, már csak a Daniel-féle kocsmából szűrődött ki a csendes utcákra némi lárma, bent zsivajogtak a mulatozók, s hangjuk, mint a tenger moraja áradozva-apadozva szárnyalt szüntelen utánam.	0.279808
Bấy giờ trong thị trấn chỉ có hiệu cà phê Daniel là còn thấy có tiếng người, ấy là các khách uống trò chuyện và bàn cãi lúc bổng lúc trầm.	Már ott jártam a kőfalunknál, mely nem volt ugyan túlságosan magas, de mégis, a hatalmas udvart körülvéve, elszigetelte házunkat a városka végétől.	0.276761
Xoa xoa tay vào bức tường thấp của cái sân mênh mông ngăn cách nhà tôi với cả làng, tôi đi về bức tường rào lưới thép mắt cáo, không khỏi lo lo vì về muộn.	Egy perc múlva ott álltam a kis rácsos kapu előtt szorongó szívvel, mert féltem a büntetéstől, hogy olyan sokáig elcsavarogtam.	0.1775
Cửa ra rào và trên hàng rào hé mở và tôi thấy ngay là vừa có chuyện gì khác thường.	A kiskapu nem volt kilincsre betéve, s ebből tüstént sejtettem, hogy valami nem mindennapi dolog történhetett itt, amíg odajártam.	0.196667
Quả vậy, ở cửa phòng ăn - cửa gần nhất trong năm khuôn cửa lắp kính mở ra sân - một bà tóc đốm bạc khom người tìm cách nhòm qua màn cửa.	Nem is csalódtam megérzésemben. ~~~ Amint már említettem, az épületnek öt szárnyas üvegajtaja nyílt az udvarra.	-0.0588785
Bà thấp bé, đội một cái mũ bằng nhung đen may theo lối cũ.	A kiskapuhoz az ebédlőnk ajtaja volt a legközelebb.	0.20625
Mặt bà gầy và thanh tú, nhưng hết sức lo lắng.	Egy hajlott hátú, ősz hajú asszonyság állt a széles üvegajtónál, s pipiskedve próbált bekukucskálni a függöny résein keresztül a szobába.	-0.205882
Chẳng hiểu vì sao, vừa thấy bà, tôi đã sợ hãi đứng sững lại trước hàng rào.	Alacsony termetű volt, fején divatjamúlt, fekete bársonykalappal.	0.1875
	Sovány, kissé beesett, törékeny arcán nyugtalanság tükröződött; s ahogy megláttam, már nem is tudom, miféle sejtelem, mifajta félelem sugalla­tára, úgy álltam ott egy pillanatig a kis rácsos kapu előtt, mint akit villám sújtott - a lépcső tetején, mozdulatlanul.	-0.3
- Cháu đâu?	- Hova a csudába lett?	0.888462
Lạy Chúa - bà thì thầm - Cháu vừa bên cạnh tôi thôi.	Ó, istenkém, istenkém - motyogta maga elé alig hallhatóan.	0.6
Cháu đã đi quanh nhà một lượt.	- Lehet, hogy már körüljárta a házat.	0.282857
Dễ chừng cháu đã trốn...	Vagy... vagy elpárolgott, s ki tudja, merre kujtorog már...	0.06
Cứ sau một câu, bà lại khẽ gõ vào kính cửa ba cái mà ai không chú ý thì không nghe được.	Minden mondat után megállt egy pillanatra, s mindannyiszor megkocogtatta az üveget, három rövid, alig kivehető halk koppantással.	0.21383
Chẳng ai ra mở cửa cho người khách lạ.	De az ajtó továbbra sem nyílt meg az ismeretlen látogató előtt.	0.181395
Không nghi ngờ gì nữa, nhận được cái mũ từ ga chuyển vào, không còn biêt trởi đất gì hết, mẹ Mili của tôi ngồi cấm cung trong căn phòng đó, trước cái giường, vất tứ tung ruy-băng cũ và lông chim đã là phẳng, đang tháo ra, may vào, hý hoáy sửa cái mũ chẳng có gì là ghê gớm... Thì đúng thế, khi tôi đi vào phòng ăn với bà khách theo sát gót, mẹ hiện ra, hai bàn tay hai bên đầu vẫn cầm nào chỉ khâu bằng đồng thau, nào ruy băng, nào lông chim, hai bên mũ xem ra đã cân lắm đâu... Mẹ mỉm cười với tôi bằng đôi mắt xanh lơ lộ vẻ mệt mỏi vì đã khâu trong ánh nhá nhem, miệng xuýt xoa:	Valószínűleg mégiscsak megjött La Gare-ból a várvavárt kalap, s anyám most se lát, se hall, bezárkózva a vörös szobába. ~~~ Biztosan ott ül az ágy szélén, a különféle ócska szalagok, szétborzolt tollak között, fércelve, tűzdelve, mesebelivé próbálván varázsolni a vánnyadt kis kalapot... ~~~ Alighogy benyitottam az ebédlőbe, nyomomban az ismeretlen asszonysággal, felpattant a vörös szoba ajtaja, s anyám lépett ki rajta, két kézzel fogva a fején az ingó-bingó tüneményt, mely egyelőre még csak szalagok, tollak, s drótok kusza összevisszasága volt... Rám mosolygott fáradtan csillogó kék szemével, mert már délután óta dolgozott egy percet sem pihenve, s megkérdezte:	-0.118956
- Con nhìn xem nào!	- No, mit szólsz hozzá?	0.733333
Mẹ chờ khoe với con đấy!	Alig vártam, hogy hazagyere, mert kíváncsi vagyok a véleményedre...	-0.0724138
Nhưng chợt thấy bà khách ngồi trong cái ghế bành rộng ở cuối phòng, mẹ chưng hửng, nín bặt.	Ekkor azonban megpillantotta az ismeretlen látogatót, aki ott ült elterpeszkedve egy karos­székben a kandalló előtt.	0.276471
Mẹ vội cởi phắt mũ ra, vá sau đó, cứ kẹp ngửa nó, áp vào ngực như một "tổ chim" bằng cách tay phải.	Mintha földbe gyökerezett volna a lába, úgy állt ott anyám egy pillanatig, zavartan, tanácstalanul.	0.248936
Cái túi da và cái ô trên hai đầu gối, bà đội mũ bắt đầu phân bua, đầu khẽ đung đưa, lưỡi chắc chắc như các bà khách hay làm.	S aztán viharos gyorsasággal lekapva fejéről a kalapot, jobb karjával a melléhez szorította. ~~~ Olyan volt így, ott a karja hajlatában, a felfordított kalap, mint valami kicsi fészek.	-0.0326087
	A fekete bársonykalapos asszonyság nagy bőrszatyrot szorongatott a térde közt, meg egy viharvert esernyőt.	-0.3
	Ahogy beszélni kezdett, körülményesen, hosszadalmasan, alig észre­vehetően együtt remegett a hangjával a feje, s időnként csettintett is egyet-egyet a nyelvével, mint a szomszédolni szerető asszonyok.	-0.3
Bà đã trấn tĩnh.	Zavara elmúlt, fellépése biztos volt, határozott.	-0.135
	S abban a pillanatban, ahogy kiejtette a fia nevét, szinte megváltozott az arca.	-0.3
Thậm chí vừa đả động đến con, bà đã lộ vẻ trịch thượng và bí ẩn, khiến chúng tôi đâm tò mò.	Fölényes lett, gőgös és titokzatos; még emlékszem is, hogy bosszankodva néztünk össze édesanyámmal.	0.273
Hai mẹ con bà đã đi xe từ La Pheclê-đănggiông cách Xanhtơ-Agát mười bốn ki-lô-mét đến.	La Ferté-d’Angillon-ban laktak, tizennégy kilométernyire Sainte-Agathe-tól, onnan jöttek ide át kocsival.	0.528351
Góa chồng, và rất giàu, theo như ngầm tự giới thiệu, bà đã mất một trong hai copn, thằng úy Angtoannơ, nó đã chết vì một chiều đi học về, hai anh em xuống tắm dưới một cái ao nước rất độc.	Ahogy szavaiból kihámoztuk, férje már nem élt, bár tetemes vagyonka maradt utána. ~~~ Két fia volt; a fiatalabbik, Antoine, szintén meghalt; egy este, útban hazafelé az iskolá­ból, bátyjával megfürdött egy gonosz vizű tóban, és belefulladt.	-0.0137019
	E szerencsétlenség hatására úgy döntött, hogy az idősebb fiút, Augustint a gondjainkra bízza, szerette volna ugyanis, ha megszerzi a tanítói oklevelet.	-0.3
Bà quyết định đưa thàng đầu, Oguyxtanh đến ở trọ nhà tôi để theo lớp cao học.	És ezzel áradozni kezdett, szinte dicshimnuszokat zengett a fiúról, akit hozzánk szeretett volna adni kvártélyra, kosztra.	0.216667
	Mintha nem is ugyanaz a nő lett volna, aki néhány perce még ott állt az ebédlőnk ajtaja előtt, zilált, őszes hajjal, kétségbeesetten, riadtan, mint egy kotlóstyúk, ha a szárnyai alól eltűnik a kakukkfióka.	-0.3
Chưa chi bà đã khoe rối rít về con.	Engem, bevallom, meglepett, amit a fiáról mesélt, s az a hang is, ahogy mondta.	0.0324324
Tôi không còn nhận ra bà già tóc lốm đốm bạc khom người trước cửa một phút trước đây, với cái nhìn cầu khẩn và hoảng hốt của con gà mái có thể mất con con duy nhất đang ấp.	Csodálat, istenítés volt minden szavában. ~~~ Augustin, hacsak tehette, mindenben édesanyja kedvét kereste.	-0.135149
Điều mà bà hãnh diện kể về con trai mình thật đáng ngạc nhiên: cậu ta thích làm vui lòng mẹ; thỉnh thoảng cậu cứ quần coc đi dọc bờ sông hằng kilomet để tìm trứng cuốc và trứng vịt trời trong các bụi kim tước đem về cho mẹ... cậu ta cũng bỏ lờ đơm cá... Đêm hôm nọ, cậu ta đã phát hiện trong rừng một con gà lôi trúng bẫy...	Néha kilométereket gyalogolt meztéláb, a patak mellett, hogy megörvendeztesse néhány vizityúk- vagy vadkacsatojással, miket a bokrok aljáról, a sás közül vadászott össze... Micsoda csapdákat állított fel Augustin!...	0.0928571
Vốn không bao giờ dám về nhà nếu áo blu giông bẩn hay rách, dù chỉ một miếng nhỏ, giờ tôi kinh ngạc đưa mắt nhìn Mili.	A minap bizony fácánt is fogott az erdőben; nem tudott szabadulni a nyakára tekeredett huroktól...	0.173333
Nhưng mẹ tôi không nghe nữa.	Hitetlenkedve néztem anyámra.	0.29
	Hiszen én, hacsak beleakadt valamibe a kabátom, sokszor órákig nem mertem hazamenni, félve a büntetéstől.	-0.3
Thậm chí mẹ còn ra hiệu bảo à khách im đi.	Édesanyám azonban egyikünkre sem figyelt már oda.	0.286957
Rồi thận trọng để cái "tổ chim" xuống bàn, mẹ lặng lẽ đứng lên như để bắt quả tang ai đó...	Ujját figyelmeztetően ajkára tette, jelezve az asszonyságnak, hogy maradjon csak csendben.	0.222353
	Fészekszerű kalapját nagy óvatosan letette az asztalra, aztán fölállt, nesztelenül, mintha tolvaj járna a házban, s fülön szeretné csípni a bitangot.	-0.3
Thực thế, trên đầu chúng tôi, trong căn phòng hẻo lánh chất những mảnh pháo hoa cháy đen thui dịp Mười Bốn tháng Bảy vừa rồi, có một bàn chân lạ, tự tin, đi tới đi lui đến rung trần nhà, rồi đi qua mấy gian kho lẫm tối ở tầng hai, cuối cùng mất hút trong mấy phòng sát cạnh từ lâu không có người ở, giờ dùng để phơi cây đoạn, và rải cho táo chín.	Fejünk felett valóban megreccsent a mennyezet. ~~~ Számomra ismeretlen, határozott léptek hangzottak körülbelül annak a kis benyílónak irányából, ahová július tizennegyedike után a füstös-kormos tüzijáték-kellékeket szoktuk bedobálni. ~~~ Az ismeretlen végigment az első emelet hatalmas, sötét padlásrészein. ~~~ S mintha a padlás melletti szobák felé tartott volna, melyek most üresen álltak, s hol most hársfavirágok száradtak csupán, meg télire eltett almák illatoztak.	-0.186176
- Lúc nãy, mẹ đã nghe tiếng chân này trong các phòng bên dưới - Mili thì thào - mẹ cứ tưởng là con về, Phăngxoa ạ...	- Már az előbb is megütötte fülemet ez a zaj, mintha a földszinti szobákban motoszkált volna valaki - jegyezte meg Millie, lehalkítva hangját -, de azt hittem, te jöttél haza, François...	0.393794
Bà khách và tôi đều không đáp.	Egyikünk sem merte megtörni a csendet.	0.291429
Cả ba chúng tôi đứng lên, tim đập rộn, khi nghe có tiếng cửa kho ở đầu cầu thang dẫn xuống nhà bếp mở ra, rồi có người bước theo các bậc thang, đi qua nhà bếp và hiện ra trên lối vào phòng ăn mờ ảo.	Ott álltunk mindhárman, hangosan dobogó szívvel. ~~~ Hallottuk, amint a padlásajtó megnyílt. ~~~ A padlásról a konyhába vezetett a lépcső; s most valaki lekocogott rajta, keresztüljött a konyhán, és benyitott a rosszul világított ebédlőbe.	-0.122727
- Con đấy ư, Ôguyxtanh?	- Augustin, te vagy?	0.783333
- bà khách hỏi.	- kérdezte az asszonyság.	0.758824
Đấy là một chàng trai cao lêu đêu khoảng 17 tuổi.	Tizenhét év körüli nyúlánk fickó állt előttünk.	0.288462
Trong bóng đêm đang buông, thoạt đầu tôi chỉ nhìn thấy cái mũ phớt nông dân có lót ở phía sau và cái áo blu đen có dây thắt ngang lưng mà các học sinh hay mặc.	Az első pillanatban nem is láttam mást belőle a hirtelen leszálló éjszakában, csak előrecsapott sapkáját és fekete kabátját, melyet, iskolás módra, egy öv szorított össze derékban.	0.281928
Tôi cũng nhận thấy anh đang mỉm cười.	S annyit még kivettem az arcából, hogy mosoly játszik az ajkán...	0.174419
Anh nhận ra tôi. ~~~ Và chưa ai hỏi han anh gì được, anh đã bảo tôi:	Abban a pillanatban, hogy belépett, észrevett, s mielőtt édesanyám vagy az anyja magyarázatot kérhetett volna tőle, hozzám fordult.	-0.119565
- Cậu ra ân không?	- Kijössz velem az udvarra?	0.705263
Tôi do dự một chút.	Egy pillanatig nem tudtam, mit csináljak.	0.0818182
Rồi thấy Mili khôn giữ, tôi cầm lấy mũ cát-két và đi về phía anh.	Aztán, minthogy Millie nem mondta, hogy ne menjek, fejembe csaptam a sapkámat, s máris indultunk kifelé.	0.208333
Chúng tôi qua cửa bếp, đi đến khoảng sân dành cho trẻ em chơi đã nhập nhoạng tối.	Keresztülmentünk a konyhán, s aztán ki, az iskolaudvarra, melyet már beborított szárnyaival a homály.	0.276667
Trong ánh ngày le lói sắp tắt, tôi vừa đi vừa nhìn bộ mặt xương xương với cái mũi thẳng và hàng lông tơ trên mép.	Ahogy mentünk, a kilobbanó nap utolsó sugarainál hosszan elnéztem kemény, szögletes arcát. ~~~ Az orra egyenes volt, s ajkai fölött serkent már a bajsza.	-0.0219512
- Đây này - anh nói - tớ tìm thấy trong kho nhà cậu đấy.	- Nézd csak, nálatok találtam, a padláson! ~~~ Látszik, hogy sose dugtad még oda fel az orrod!	0.125305
Chắc không bao giờ cậu để mắt đến kho phải không?	Füstös-kormos kis fakereket tartott a tenyerén.	0.221739
Anh cầm trong tay một bánh xe gỗ nhỏ đã sạm đen, một dây pháo hoa rách bươm quấn chung quanh, có lẽ đó là mặt trăng hay mặt trời trong đêm pháo hoa vừa rồi.	Elrongyolódott rakétafüzér ívelte körbe a küllőit, biztosan ez volt a nap vagy legalábbis a hold július tizennegyedikén, a szokásos ünnepi tüzijátékon.	0.265541
- Có hai tràng không bắn đi được.	- Két röppentyű még valószínűleg jó.	0.704247
