James Joyce	﻿JAMES JOYCE	0.218182
Giáo dục bao giờ cũng thật tốt đẹp..Bác Cotter đây có khi muốn thử một miếng đùi cừu đấy - ông quay sang nói với bác gái tôi.	A művelődés nagyon szép, nagyon komoly dolog... Talán egy falatot Mr. Cotternek abból az ürücombból - szólt oda nagynénémnek.	0.405
- Không, không, đừng phần tôi - Già Cotter phản đối.	- Nem, köszönöm, nem kérek - mondta Cotter apó.	1.12
Bác gái tôi lấy một cái đĩa trong chạn ra và đặt lên bàn.	Nagynéném levette a tálat az ételszekrényről, és az asztalra tette.	0.285714
- Nhưng sao bác lại nghĩ chuyện đó không hay cho bọn trẻ, hả bác Cotter?	- De miért gondolja, hogy nem tesz jót a gyereknek, Mr. Cotter?	0.652448
- bà hỏi.	- kérdezte.	1.27273
- Nó không hay cho lũ trẻ - Già Cotter nói - bởi trí óc chúng rất dễ bị ảnh hưởng.	- Nem tesz jót - hangzott a válasz -, mert a gyermekagy nagyon fogékony.	0.590476
Khi bọn trẻ thấy những điều như vậy, bà biết đấy, chúng sẽ bị tác động...	Ha a gyermekek olyasmit látnak... tudja... feltétlenül hatással van...	0.20597
Tôi tống đầy cháo vào miệng vì sợ rằng tức quá mình sẽ bật ra nói gì đấy.	Teletömtem a számat zabkásával, mert attól féltem, kitör belőlem a düh.	0.240845
Lão già dở hơi mũi đỏ chán ngấy!	Unalmas, vén, vörös orrú hülye!	0.254545
Đêm đó mãi đến tận khuya tốt mới thiếp đi được.	Nagyon későn aludtam el.	-0.1375
Mặc dù rất tức giận Già Cotter về chuyện lão ta ám chỉ tôi còn là một đứa trẻ tôi vẫn vắt óc đóan xem những câu nói dở dang của lão có nghĩa gì.	Habár dühös voltam Cotter apóra, amiért gyereknek címzett, mégis törtem a fejem, hogy befejezetlen mondataiból némi értelmet hámozzak ki.	0.388636
Trong bóng tối gian phòng tôi tưởng tượng ra mình lại đang nhìn thấy gương mặt xám xịt nặng nề của người liệt.	Szobám sötétjében megjelent előttem a paralítikus ember elkínzott, szürke arca.	0.125316
Tôi kéo chăn trùm kín đầu và cố gắng nghĩ về lễ Giáng Sinh.	Fejemre húztam a takarót, és kará­csony­ra próbáltam gondolni.	0.290625
Nhưng khuôn mặt xám vẫn không chịu buông tha tôi.	De a szürke arc újra megjelent.	0.0517241
Nó mấp máy; và tôi hiểu nó muốn xưng tội.	Mormogott valamit; s én meg­értettem, hogy vallani akar.	0.261702
Tôi thấy linh hồn tôi lùi về một vùng dễ chịu và tội lỗi, và ở đó tôi lại thấy khuôn mặt kia đang đợi tôi.	Úgy éreztem, a lelkem borzongva süllyed alá egy kellemes és bűnös világba; és ott újra megtaláltam az arcot: rám várt.	0.278761
Nó bắt đầu xưng tội với tôi bằng một giọng thầm thì và tôi tự hỏi tại sao nó luôn mỉm cười và tại sao đôi môi của nó lại ướt rượt nước bọt thế kia.	Mormogó hangján gyónni kezdett, és én csodálkoztam, miért mosolyog folyton, és ajka miért oly nedves a nyáltól.	0.114953
Nhưng rồi tôi nhớ lại rằng nó đã chết bởi bệnh liệt và tôi cảm thấy tôi cũng đang hơi mỉm cười như để tha thứ tội buôn thần bán thánh của nó.	De aztán eszembe jutott, hogy paralízisben halt meg, s éreztem, én is gyengén mosolygok, jeléül annak, hogy feloldozom a simónia bűne alól.	0.223256
Buổi sáng hôm sau, ăn sáng xong tôi quyết định đi ngắm ngôi nhà nhỏ trên phố Great Britain.	Másnap reggeli után elindultam, hogy megnézzem a kicsi házat a Great Britain utcában.	0.449729
Đó là một cửa hiệu khiêm tốn, có một cái tên mơ hồ Tiệm Tạp Hóa.	Az igénytelen kis üzlet felett most is kint lógott a jellegtelen felírás: Szövetbolt.	0.28
Hàng hoá trong cửa hàng chủ yếu là giày len trẻ em và ô, và vào những ngày bình thường có một tấm biển treo ngoài khung kính: Nhận sửa ô. Lúc này không nhìn thấy tấm biển nào vì cửa chắn đã được kéo lên.	A szövetboltban főként gyerekcipőt és esernyőt árultak, és hétköznapokon az ablakra függesztett táblácska ezt hirdette: Esernyők javítása vállaltatik. ~~~ Most fatáblák fedték az ablakot, a feliratot is eltakarták.	-0.009375
Một bó hoa tang đen được buộc vào tay nắm cửa bằng dải ruy băng.	Az ajtókoppantóra valaki művirágcsokrot erősített, fekete gyászszalaggal átkötve.	0.24507
Hai người đàn bà bộ dạng nghèo khó và một chú nhóc đưa điện tín đang đọc tấm các đính trên bó hoa tang.	Két szegényesen öltözött asszony és egy kis sürgönypostás ácsorgott előtte, és betűzték a szalagra gombostűzött kártya szövegét.	0.255652
Tôi cũng tiến lại gần và đọc được:	Én is odamentem. ~~~ Ez állt rajta:	-0.0629032
Ngày 1 tháng 7 năm 1895	1895. július 1.	0.16
Đức Cha James Flynn (nguyên phụ trách nhà thờ	James Flynn Tisztelendő Úr ~~~ (korábban a Meath utcai Szent Katalin-templom plébánosa),	0.473077
s. Catherine, phố Meath)	élt hatvanöt évet.	0.24
đã mất, thọ sáu mươi lăm tuổi.	NYUGODJÉK BÉKÉBEN!	0.0714286
câu Chúa phù hộ cho linh hồn Cha được yên nghỉ.	Ezek a szavak végre elhitették velem, hogy meghalt.	0.268085
Những gì ghi trên tấm các thuyết phục tôi rằng ông đã chết và tôi hoang mang nhận ra mình đột ngột bị bỏ rơi.		-0.3
Giá ông chưa chết tôi đã đi vào căn phòng nhỏ tối tăm phía sau cửa hiệu và thấy ông đang ngồi trong chiếc ghế bành cạnh lò sưởi, gần ngạt thở trong chiếc áo choàng to khủng khiếp.	Felkavart ez a hír. ~~~ Ha nem halt volna meg, most bemehetnék az üzlet mögötti sötét kis szobába, és megint ott találnám, mint rende­sen, a tűz mellett üldögélve karosszékében, szinte beléfúlva nagykabátjába.	-0.00306122
Bác gái tôi đã có thể đưa một gói thuốc lá bôt hiệu High Toast để tôi mang cho ông và món quà này sẽ đánh thức ông khỏi cơn lơ mơ gà gật.	Talán nagynéném egy csomag finom tubákot küldött volna, s ez az ajándék felserkentené őt bamba szender­géséből.	0.2
Thường tôi là người dốc gói thuốc vào cái hộp thuốc hít màu đen của ông bởi hai tay ông run đến nỗi không thể làm được điều này mà không làm vung vãi đến nửa số bột ra sàn.	Mindig én öntöttem a csomag tartalmát a fekete burnótos szelencébe, mert az ő keze túlságosan reszketett, és a tubák felét a padlóra szórta volna.	0.180435
Thậm chí khi ông đưa bàn tay run rẩy lên mũi, những đám bụi thuốc lá nho nhỏ rơi lả tả quacác ngón tay xuống ngực áo.	Amikor nagy, reszkető kezét az orrához emelte, apró porfelhők röppentek szét ujjai közül, le a kabátjára.	0.229412
Chắc hẳn chính những cơn mưa bột thuốc lá liên tục này đã làm cho đám quần áo kiểu linh mục của ông có màu xanh bạc thếch, bởi cái khăn mùi xoa màu đỏ, thường đã đen xỉn, với những vết ố bụi thuốc lá để có đến cả tuần, cái khăn ông đã dùng để cố phủi đi bụi thuốc lá, cũng không có công hiệu mấy.	Valószínűleg az állandó tubák-zuhatagok alatt zöldült meg végleg ódon papi köntöse, hogy örökösen piszkos, vörös zsebkendőjével is hiába próbálgatta a hulló dohányport lesöpörni.	0.0491803
Tôi muốn đi vào bên trong và nhìn ông nhưng không có đủ can đảm gõ cửa.	Szerettem volna bemenni és megnézni őt, de nem volt bátorságom kopogtatni.	0.27
Tôi chầm chậm bỏ đi dọc vỉa hè đầy nắng của con phố, vừa đi vừa đọc tất cả những áp phích quảng cáo biểu diễn dán trên cửa kính cửa hiệu.	Lassan végigsétáltam hát az utca napsütötte oldalán, és elolvastam minden cirkalmas hirdetést a kirakatokban, ahány csak elém került.	0.225581
Tôi cảm thấy lạ lùng rằng ngay cả bản thân tôi lẫn ngày hôm nay đều không có cảm giác đau buồn và tôi còn cảm thấy bực mình hơn khi phát hiện trong tôi một cảm giác dường như là tự do như thể tôi vừa được giải thoát khỏi một điều gì đó qua cái chết của ông.	Furcsállottam, hogy nincs gyászhangulat sem bennem, sem a világban, sőt, bosszankodva fedeztem fel magamban a szabadságnak egy bizonyos érzését, mintha a halála valami alól felszabadított volna.	0.125967
Tôi nghĩ về điều này bởi, như bác trai tôi đã nói tối hôm trước, ông đã dạy tôi rất nhiều điều.	Csodálkoztam ezen, mert, mint nagy­bátyám is megállapította előző este, nagyon sokat tanultam tőle.	0.259794
Ông từng theo học tại trường Irish College ở Rome và ông đã dạy tôi cách phát âm tiếng Latin sao cho đúng.	A Római Ír Kollégiumban végzett, és megtanított engem a helyes latin kiejtésre.	0.161842
Ông còn kể cho tôi nghe những câu chuyện về khu hầm mộ và về Napoleon Bonaparte, và ông từng giải thích cho tôi ý nghĩa của các lễ Misa khác nhau và về những kiểu lễ phục khác nhau của linh mục.	Történeteket tudott a katakombákról, Bonaparte Napóleonról, megmagyarázta a különböző miseszertartások és miseruhák jelentőségét.	0.146667
Đôi khi ông giải khuây bằng cách đặt những câu hỏi khó cho tôi, hỏi tôi người ta nên làm gì trong một số hoàn cảnh hoặc liệu những tội lỗi thế này thế kia là đáng tội chết hay có thể được tha thứ hay đơn thuần chỉ là những khiếm khuyết.	Néha azzal szórakozott, hogy nehéz kérdéseket tett fel, hogy például mit kell az embernek tennie ilyen és ilyen körülmények közt, vagy hogy ez és ez a bűn halálos, esetleg bocsánatos véteknek tekintendő-e, vagy csupán tökéletlenségnek.	0.246429
Những câu hỏi của ông làm tôi thấy sự phức tạp và huyền bí của một số thể chế Nhà thờ mà trước đây tôi cứ nghĩ chỉ là những nghi lễ đơn giản nhất.	Kérdései megmutatták, milyen szövevényesek és titokzatosak az egyház bizonyos intézményei, melyeket én azelőtt olyan egyszerűeknek gondoltam.	0.230935
Những trách nhiệm của linh mục đối với Thánh lễ và về sự bảo mật lời xưng tội nghe hệ trọng đến nỗi tôi tự hỏi làm sao người ta lại có thể có được can đảm để gánh lấy chúng; và tôi không ngạc nhiên khi ông nói với tôi rằng các đức cha Nhà thờ từng viết những quyển sách dày như cuốn Danh bạ Bưu điện và chúng được in cẩn thận như bố cáo luật trên báo, giải đáp tất cả những câu hỏi cắc cớ nhất.	Az oltáriszentség és a gyónási titok papi kötelezettségei nekem olyan súlyosaknak tűntek, hogy csodálkoznom kellett: honnan veszi hozzá a bátorságot az öreg? ~~~ Az pedig már meg sem lepett, hogy - az ő szavai szerint - az egyházatyák majd olyan vaskos könyveket írtak össze, mint a Postahivatal Címtára, s hogy ezekben a sorok olyan sűrűn sorakoztak egymás alá, mint a lapokban a törvényszéki közlemények, megvilágosítva mindezeket a bonyolult kérdéseket.	-0.00919811
Thường khi nghĩ đến điều này tôi không thể trả lời được hoặc chỉ đưa ra được một câu ngớ ngẩn ấp úng, và ông thường mỉm cười và gật đầu.	Ha ilyesmi jutott az eszembe, legtöbbször nem is tudtam felelni, vagy ha igen, csak nagyon bután és akadozva, ő pedig csupán mosolygott és bólintott kétszer-háromszor.	0.276623
Thỉnh thoảng ông giảng cho tôi những câu phải đáp trong lễ Misa và ông bắt tôi phải học chúng thuộc lòng, và mỗi khi tôi liến thoắng, ông thường mỉm cười trầm ngâm và gật đầu, chốc chốc lại đưa một nhúm lớn thuốc lá bột lần lượt lên từng lỗ mũi.	Néha vizsgáztatott a katekizmusból, és megkövetelte, hogy soronként bevágjam, magoló mormogásomat pedig töprengő mosolyokkal és fejbólintásokkal kísérte, újra meg újra hatalmas tubák-csipeteket nyomva hol az egyik, hol a másik orrlyukába.	0.237662
Khi mỉm cười ông thường để lộ hàm răng to xỉn màu và để đầu lưỡi lên môi dưới - một thói quen từng làm tôi thấy khó chịu trong thời gian đầu chúng tôi mới quen, trước khi tôi biết rõ về ông.	Mikor mosolygott, előmeredtek nagy, megsárgult fogai, és nyelve az alsó ajkára csüngött. ~~~ Ismeret­ségünk elején, míg nem szoktam hozzá, ez a mosoly mindig kényelmetlen érzéseket ébresztett bennem.	-0.0181579
Khi bước đi dưới ánh nắng tôi nhớ lại lời của Già Cotter và cố nhớ lại những gì đã xảy ra sau đó trong giấc mơ.	Ahogy baktattam a napfényben, eszembe jutottak Cotter apó szavai, és megpróbáltam felidézni, mi is történt azután az álomban.	0.442769
Tôi nhớ ra rằng đã để ý thấy tấm rèm cửa nhung dài và một ngọn đèn kiểu cổ đang đung đưa.	Emlékeztem, hogy hosszú bársonyfüggönyöket láttam és egy ódivatú függőlámpát.	0.232143
Tôi cảm thấy tôi đã ở một nơi rất xa, tại một vùng đất nào đó có những phong tục kỳ lạ - ở Ba Tư, tôi nghĩ...Nhưng tôi không thể nhớ nổi đoạn kết của giấc mơ.	Valahol nagyon messze voltam, ezt világosan éreztem, különös szokások távoli országában - talán Perzsiában... De az álom végére nem emlékeztem.	0.355
Tối hôm đó bác gái tôi dẫn tôi cùng đi đến nhà có tang.	Este nagynéném elvitt magával a gyászoló házba.	0.21875
Lúc đó mặt trời đã lặn; nhưng cửa sổ những ngôi nhà hướng về phía đông vẫn phản chiếu sắc ráng đỏ từ một cụm mây lớn.	A nap már lement, de a házak nyugatra néző ablaktábláin még ott villódzott egy nagy csapat felhő homokszín aranya.	0.204673
Nannie đón chúng tôi ở sảnh; và bởi nếu khóc lóc ầm ĩ lúc này thì không hợp cho lắm, bác gái tôi chỉ nắm chặt tay bà.	A hallban Nannie fogadott bennünket; és nagynéném, mint aki a hangos beszédet itt nem találja helyénvalónak, szótlanul kezet fogott vele.	0.440495
Người đàn bà chỉ đường cho chúng tôi lên cầu thang nhỏ và hẹp, đầu bà cúi thấp gần ngang với thanh vịn.	Az öreg hölgy kérdőn mutatott fölfelé, aztán nagynéném bólin­tására megindult a lépcsőn, és fölvonszolta magát előttünk; lehajtott feje alig ért feljebb a lépcső­karfánál.	0.148718
Ở chỗ nghỉ đầu tiên bà dừng lại và ra dấu về phía cánh cửa đang mở của phòng người chết.	Az első fordulónál megállt, és szemével bátorítóan intett a halottas szoba nyitott ajtaja felé.	0.264516
Bác tôi bước vào và bà, thấy tôi đang chần chừ không vao,lại dùng tay ra hiệu cho tôi.	Nagynéném belépett, és az öreg hölgy, látva, hogy tétovázom, biztató kézmozdulattal intett ismét az ajtó felé.	0.241304
Tôi nhón gót đi vào.	Lábujjhegyen léptem be.	0.272727
Căn phòng chìm dưới ánh chiều mờ tối lọt qua phía đuôi đăng ten rèm cửa sổ, những ngọn nến trông thật leo lét.	A redőny töredezett résein át a szobát elöntötte a bágyadt aranyfény, amelyben a gyertyák nyúlánk, halvány lángokként magasodtak.	0.287805
Ông đã được đưa vào quan tài.	Már a koporsóban volt.	0.122727
Nannie làm trước và cả ba chúng tôi quỳ xuống phía chân giường.	Nannie után mindketten letérdeltünk az ágy lábánál.	0.578774
Tôi giả vờ cầu nguyện nhưng không thể tập trung được bởi những âm thanh rì rầm của người đàn bà làm tôi xao lãng.	Imádkozást színleltem, de nem tudtam összpontosítani gondolataimat, mert az öreg hölgy morgása zavart.	0.212121
Tôi để ý phần say váy bà xếp nếp một cách cẩu thả và gót tất len của bà bị tuột lệch hẳn sang một bên.	Azt figyeltem, hátul milyen esetlenül kap fel a szoknyája, és posztómamusza milyen letaposott.	0.204545
Tôi bỗng tưởng tượng thấy ông linh mục già đang mỉm cười trong quan tài.	Úgy láttam, mintha az öreg pap mosolyogna, amint ott fekszik a koporsóban.	0.242647
Nhưng không.	De nem.	0
Khi chúng tôi đứng dậy và đi tới phía đầu giường tôi nhận thấy ông không cười.	Mikor felálltunk és az ágy fejéhez léptünk, láttam, hogy nem mosolyog.	0.198529
Ông nằm đó, nghiêm trang và đầy suy tư, mặc lễ phục như chuẩn bị lên trước bàn thờ Chúa, hai bàn tay lớn nắm hờ ly rượu thánh.	Ott feküdt, sokatmondón és ünnepélyesen, miseruhában, kezében lazán tartva egy kelyhet.	0.111628
Khuôn mặt ông trông rất hung ác, xám xịt và thô kệch, hai lỗ mũi đen sâu hoắm xung quanh phủ một viền lông bạc.	Arca szinte kiáltott, szürke volt és erőteljes, orrlyukai fekete üregekként tátongtak, fehér pihével szegve.	0.26
Trong phòng ngột ngạt và nặng mùi - mùi hoa.	Nehéz illat ülte meg a szobát - a virágoké.	0.563415
Chúng tôi làm dấu thánh và đi ra.	Keresztet vetettünk, és kifordultunk a szobából.	0.188571
Trong căn phòng nhỏ dưới gác chúng tôi thấy Eliza đang ngồi trong chiếcghế bành của ông, đầy oai vệ.	Odalent a kis szobában Elizát pillantottuk meg, amint az ő tekintélyes karosszékében ült.	0.211765
Tôi dò dẫm đi về phía cái ghế quen thuộc của m`inh ở góc phòng trong lúc Nannie đi đến tủ bát đĩa mang lại một bình rượu sherry và mấy cái ly.	Ösztönösen szokott székem felé tapogatóztam, a sarok felé, míg Nannie a tálalóhoz ment, és egy üveg sherryvel meg néhány borospohárral tért vissza.	0.411554
Bà xếp tất cả lên bàn và mời chúng tôi uống một ly.	Az üvegeket az asztalra tette, és biztatott, kóstoljuk meg az italt.	0.27931
Rồi theo mệnh lệnh của bà chị, bà rót rượu ra các ly và chuyển cho chúng tôi.	Aztán, nővére parancsára, a poharakba töltötte a sherryt, és végigkínált bennünket.	0.292771
Bà cũng ép tôi ăn mấy cái bánh quy kem, nhưng tôi từ chối bởi tôi nghĩ nếu ăn thì tôi sẽ phát ra quá nhiều tiếng động.	Erőnek erejével belém akart tömni néhány puszedlit is, de szabadkoztam, mert tartottam tőle, hogy a rágással nagy zajt találok csapni.	0.297619
Bà có vẻ hơi thất vọng trước sự từ chối của tôi và im lặng đi về phía chiếc sofa rồi ngồi xuống, đàng sau bà chị.	Visszautasításom láthatólag kiábrándította, csöndesen a díványhoz surrant, és leült a nővére háta mögött.	0.251351
Không ai nói gì, tất cả chúng tôi đều nhìn đăm đăm vào cái lò sưởi trống rỗng.	Senki sem beszélt: mindnyájan az üres kandallót bámultuk.	0.123214
Bác gái tôi chờ đến khi Eliza thở dài rồi nói:	Nagynéném megvárta, amíg Eliza felsóhajt.	0.744186
- Vâng, ông ấy đã sang một thế giới tốt hơn.	Akkor így szólt: ~~~ - Hát igen, elment tőlünk egy jobb világba.	0.13374
Eliza lại thở dài một lần nữa và cúi đầu tỏ sự tán thành.	- Eliza megint sóhajtott, és megadóan hajtotta le fejét.	0.520755
Bác tôi mân mê chân ly rượu trước khi uống một ngụm nhỏ.	Nagynéném kissé megpöckölte borospohara talpát, mielőtt kortyintott.	0.271875
- Ông ấy có..một cách thanh thản không?- bà hỏi.	- És... hogy is mondjam... békésen...?	0.598842
- Ồ vâng, khá thanh thản bà ạ - Eliza nói - Khó biết được ông ấy đã trút hơi thở cuối cùng lúc nào.	- Ó, nagyon békésen, asszonyom - mondta Eliza.	0.520155
Ông ấy đã có một cái chết đẹp đẽ, tạ ơn Chúa.	- Észre sem vettük, mikor lehelte ki a lelkét. ~~~ Gyönyörű halála volt, Istennek hála.	-0.05
- Còn các việc...?	- És minden...?	0.95
- Cha O'Rourke đã ở bên ông ấy hôm thứ Ba và xức dầu thánh và chuẩn bị mọi thứ cho ông ấy.	- O’Rourke atya volt nála kedden, feladta az utolsó kenetet, előkészítette, meg miegyéb.	0.468403
- Lúc ấy ông ấy có biết không?	- Szóval már tudta?	0.663158
- Ông ấy đã khá cam chịu.	- Teljesen belenyugodott.	1
- Ông ấy trông khá cam chịu - bác tôi nói.	- Teljesen nyugodtnak is látszik - mondta nagynéném.	0.924806
- Người đàn bà chúng tôi gọi đến để lau rửa cho ông nói như vậy.	- Ugyanezt mondta az asszony is, akit a lemosáshoz fogadtunk.	0.467172
Bà ấy nói ông ấy trông như vừa thiếp ngủ, trông ông thanh thản và cam chịu.	Egészen olyan, mondta, mintha aludna, olyan nyugodt és békés.	0.175862
Không ai nghĩ thi thể ông ấy sẽ trở nên đẹp đẽ như vậy.	Senki sem hitte volna, hogy ilyen szép halott lesz belőle.	0.230769
- Vâng, đúng thế - bác tôi nói.	- Valóban - helyeselt nagynéném.	1.29062
Bà uống một ngụm rượu nữa và nói:	Még egy kicsit kortyintott poharából, aztán így szólt:	0.204878
- Vâng, Miss Flynn, dù sao các bà cũng được an ủi vì đã làm tất cả những gì có thể cho ông ấy.	- Nos, Flynn kisasszony, mindenesetre önnek tiszta lehet a lelkiismerete, ön mindent megtett érte, ami egyáltalán lehetséges.	0.418667
