Émile Zola	ÉMILE ZOLA	0.3
Phía trên mái kính, bức tường sừng sững vươn lên, đen đúa trát vữa vụng về, như mắc chứng phong sùi loang lổ đầy những vết sẹo.	A kirakatok felett sötéten emelkedik magasba a fal, mely durván van bevakolva, olyan, mintha leprás volna és tele lenne beforradt sebhelyekkel.	0.262791
Ngõ Cầu Mới không phải là chỗ để dạo chơi.	A Pont-Neuf sikátorban nem szoktak sétálni.	0.235714
Người ta dùng nó để tránh đường vòng, tiết kiệm một vài phút.	Csak azért megy bele az ember, hogy mellőzhessen egy kerülőutat s ezzel néhány percet nyerjen.	0.2375
Đó là những người bận rộn mà nỗi lo âu duy nhất là đi nhanh và đi thẳng về phía trước.	Nagyon elfoglalt emberekből álló közönség jár benne, melynek egyetlen gondja, hogy gyorsan mehessen és egyenes irányban.	0.24433
Người ta thấy ở đó có những người học việc mang tạp dề, những cô thợ mang túi đồ khâu, những người đàn ông và đàn bà tay xách nách mang, những người già lê bước trong bóng hoàng hôn ảm đạm phủ trên các mặt cửa kính, những nhóm trẻ con tan trường qua đó gây thành đợt xôn xao khi tiếng guốc gõ nhịp trên các tấm đan lót đường.	Inasgyerekeket látunk itt munkakötényben, nőket, akik viszik haza a munkájukat; minden férfi és minden nő visz valami csomagot a karján; öreg emberek vonszolják magukat a gyászos félhomályban, mely átszűrődik az üvegfedélen és kis gyermekcsapat, mely az iskolából jövet erre tart s egészen felveri futása közben a környéket, amint szaporán kopognak facipőik a kövezeten.	0.289714
Trong ngày, chỉ có tiếng chân khô khan và hối hả khua vang trên đá một cách bất thường gây bực dọc, còn thì không ai nói năng, không ai dừng chân lại, mỗi người theo đuổi sự bận tâm của riêng mình, đầu cúi thấp, chân bước dồn, không một cái liếc mắt vào các cửa hiệu đó.	Egész nap hallatszik a sietős lépések száraz zaja a kövezeten, bizonyos izgató szabálytalansággal; senki sem beszél, senki meg nem áll; mindenki megy a dolga után, lehorgasztott fejjel és gyors léptekkel, anélkül, hogy csak rá is tekintene a boltokra.	0.214655
Những người bán hàng với vẻ bồn chồn nhìn những khách bộ hành mà do điều thần kỳ nào đó, dừng lại bất chợt trước quầy hàng của họ.	A boltosok szinte nyugtalan arccal néznek a járókelőkre, ha csodálatosképen megállnak a kirakatuk előtt.	0.138
Vào chiều tối, ba ngọn đèn hơi đốt được bọc trong các lồng đèn nặng chịch vuông vức, toả ánh sáng cho ngõ.	Esténként három nehéz, négyszögletü lámpásba zárt gázláng világítja meg a sikátort.	0.192135
Những ngọn đèn treo lơ lửng trên khung kính hắt những vệt sáng lạc lõng, tạo chung quanh chúng những chùm tia nhợt nhạt leo lét, chừng như sẵn sàng tắt ngấm đi.	Ezek az üvegfedélről lecsüngő gázlámpások fakószinű fényfoltokat vetnek föl a fedélre, lefelé pedig pislogó sápadt fényt árasztanak maguk körül, mely minden pillanatban kialvással fenyeget.	0.272093
Ngõ có cái vẻ âm u của một nơi chốn vắng vẻ đầy bất trắc, với những đám tối phủ trên mặt đất lát, những làn hơi ẩm ướt bốc lên từ mặt đường, như thể một đường hầm được soi sáng lờ mờ bởi ba ngọn đèn tang.	A sikátor oly komor külsejű, mintha valóságos gyilkos-tanya volna; hosszú árnyak terjengenek a kövezeten, nedves szellők suhannak be az utcáról; szinte azt képzeli az ember, hogy ez a sikátor valami földalatti folyosó, melyet gyéren világít meg három gyászlámpa.	0.296311
Các chủ hiệu bằng lòng với những tia sáng yếu ớt từ các ngọn đèn hơi đốt này hắt xuống các khung kính của họ, trong tiệm chỉ thắp một ngọn đèn chụp khác được đặt ở một góc sâu, và người qua đường có thể vì thế phân biệt được những gì bên trong các hốc tối vào lúc ban ngày đó.	A kereskedők beérik itt annyi világítással, amennyit a gázlámpák sovány fénysugarai juttatnak a kirakatjaikba; a boltjukban csak egy lámpást gyujtanak meg (azon is ernyő van) és az irodájuk egyik sarkába teszik; a járókelők így is láthatják, hogy mi van ezeknek az oduknak a mélyén, ahol még nappal is az éjszaka tanyázik.	0.283
trong bóng dáng đen nhợt của các mặt tiền, khung cửa kính của một hàng giấy bồi sáng rực lên, hai ngọn đèn đá chọc thủng bóng tối bằng hai vệt sáng vàng, và ở phía khác, một ngọn nến cắm giữa đĩa dầu lấp lánh ánh sáng bên trong hộp nữ trang giả.	A kirakatok sötét sorában egy papirkereskedő ablakai ragyognak; két pala-lámpa lángjának világa utat fúr a homályban. ~~~ A másik oldalon egy gyertya, melyet kettős léghuzatú lámpába állítottak, fényes csillagokként ragyogtatja a kirakatszekrényben a hamis ékszereket.	-0.00817121
Bà hàng đang gà gật phía sau quầy, đôi bàn tay khuất dưới tấm khăn choàng.	Az árusítónő, kezeit a nagy kendője alá dugva szundikál boltjának a mélyén.	0.276
Đã vài năm nay, đối diện với bà hàng đó là một cửa hiệu với ván lát tường màu xanh ve rịn mùi ẩm mốc từ mọi kẽ hở.	Ezzel az árusítónővel szemben néhány évvel ezelőtt volt egy bolt, melynek üvegzöld faburkolata minden eresztékéből nyirkosságot izzadott.	0.290909
Bảng hiệu làm bằng một tấm ván dài và hẹp, trên có hàng chữ màu đen: Tiệm tạp hoá, và trên một trong những khung kính cửa hiệu có ghi tên phụ nữ: Thérèse Raquin, bằng chữ đỏ.	A cégtáblára, mely egy szál keskeny, hosszú deszkából készült, fekete betükkel ez a szó volt írva: RÖVIDÁRUKERESKEDÉS; az ajtó üvegtábláján pedig ez a női név volt vörös betükkel: Therese Raquin.	0.3
Hai bên cửa kính lún sâu vào, được phủ giấy xanh lơ.	Jobbról és balról mély kirakatok voltak, kék papirral kárpitozva.	0.268966
Vào ban ngày chỉ có thể phân biệt hàng bày bán trong một cảnh tranh tối tranh sáng hơi dịu.	Nappal, az enyhe félhomályban nem lehetett mást megkülönböztetni a kirakatban, csak a kirakatállványokat.	0.28125
Một bên có ít hàng vải, những chiếc mũ bonnet xếp nếp giá hai ba francs một cái, những tay áo và cổ cồn mousseline, rồi những chiếc áo đan, vớ dài, vớ ngắn, dải đeo.	Az egyik oldalon némi fehérnemü volt, s fodorított tüllből készült főkötők, két-három frank darabja, mousseline-kézelők és gallérok, kötött mellények, alsószoknyák, fél-harisnyák, övek.	0.279775
Món nào cũng ngả vàng và nhăn nhúm treo thảm hại trên những móc của dây sắt.	Minden darab megsárgult és gyűrött volt, siralmas állapotban, és vasdrótból való fogason függött.	0.249398
Tủ kính từ trên xuống dưới vì thế đầy những mớ giẻ trăng trắng mang dáng vẻ ảo não trong đám tối lờ mờ.	A kirakatszekrény szintén telve volt tetőtől-talpig fehéres lim-lommal, mely gyászos látványt nyujtott az átlátszó homályban.	0.292562
Những chiếc mũ mới, màu trắng sáng hơn, tạo thành những bệt nổi lên trên nền xanh của giấy phủ vách.	Az új főkötők, melyeknek fehérsége ragyogóbb volt, nyers fehér foltokként hatottak a deszkára ragasztott kék kárpiton.	0.292035
Và những chiếc vớ ngắn màu mè móc dọc trên một thanh ngang trở thành những đốm tối nhạt nhoà mơ hồ giữa hàng vải mousseline.	A mousseline-tárgyak sápadt határozatlanságát egy keresztbe fektetet rúdra akgatott színes harisnyák sötét foltjai élénkítették.	0.281538
Ở góc khác, trong một tủ kính nhỏ hơn, những cuộn len xanh to kềnh chồng chất, những nút áo màu đen gắn trên các tấm bìa trắng, những chiếc hộp đủ màu và đủ cỡ, những lưới bao tóc có hột cườm bằng thép bay trên những khoanh giây xanh nhạt, những bó kim đan, những mẫu trướng, những cuộn ruban, một đống hổ lốn các đồ vật xỉn mờ hẳn đã nằm ở đó từ năm hoặc sáu năm nay.	A másik oldalon egy keskenyebb kirakatban lépcsőzetesen voltak elhelyezve a nagy, zöld gyapjú-gombolyagok, fehér papírra felvarrt fekete gombok, mindenféle színű és nagyságú skatulyák, acélgyöngyös hajhálók kékes papirgöngyölegre terítve, kötőtű-csomagok, szőnyegminták, szalagtekercsek - egész halom mindenféle fakult, sárgult holmi, mely nyilván már öt-hat éve hever ezen a helyen.	0.267828
Mọi màu sắc đã ngả thành xám bẩn, trong chiếc tủ mà bụi bặm và ẩm thấp đã huỷ hoại này.	Minden szín szennyes szürkévé változott ebben a szekrényben, melyet a por és a nedvesség korhasztott.	0.28125
Vào buổi trưa mùa hè, khi mặt trời chói chang trên các quảng trường và đường phố thì người ta thấy đàng sau những chiếc mũ của một tủ kính khác một khuôn mặt thiếu phụ xanh xao và trầm lặng.	Nyáron, úgy déltájon, mikor a nap sárga sugarai szinte perzselik a tereket és utcákat, a másik kirakat főkötői mögött egy fiatal nő sápadt, komoly arcát lehetett látni.	0.204375
Khuôn mặt hiện ra mơ hồ trong bóng tối tràn ngập của tiệm.	Ez az arcél csak határozatlanul vált ki abból a sötétségből, mely a boltban uralkodott.	0.216923
Dưới vầng trán thấp gầy nối tiếp một chiếc mũi dài, hẹp và thon, môi như hai vệt mảnh của một đoá hồng phai lạt, và chiếc cằm ngắn nổi gân, với đường nét mềm mại và đầy đặn tựa trên cổ.	Alacsony és száraz homloka volt, s hosszú, keskeny, hegyes orra; az ajka két kis halvány rózsaszín vonal volt, s az állától, mely rövid volt és ideges, hajlékony és kövéres vonal húzódott a nyakáig.	0.25
thân hình nàng khuất trong bóng tối, chỉ xuất hiện khuôn mặt một màu trắng nhợt nhạt, mắt trũng sâu đen lánh mở rộng và như thể bị át đi bởi mớ tóc dày màu tối.	Nem lehetett látni a derekát, mely elveszett a homályban; csak fénytelen fehér arca látszott, tágranyitott fekete szemekkel; az arcát szinte szétnyomta sűrű, sötét haja.	0.264375
Khuôn mặt ấy trong nhiều ở đó, bất động và bình thản, giữa hai chiếc mũ bonnet in vết rỉ của thanh treo ẩm mốc.	Órákig álldogált mozdulatlanul, nyugodtan, a főkötők között, amelyekre a kirakat nedves rúdjáról szalagokban folyt le a rozsda.	0.297561
Buổi tối, khi đã lên đèn, có thể thấy được bên trong cửa hiệu. ~~~ Nó rộng hơn là sâu ở một đầu có một quầy nhỏ, đầu kia, một cầu thang trôn ốc dẫn đến các phòng của tầng thứ nhất.	Este, mikor a lámpát meggyujtották, be lehetett látni a bolt belsejébe; nagyobb volt a hosszúsága, mint a mélysége; egyik végében egy kis iroda volt, a másik végéből pedig csigalépcsőn fel lehetett menni az első emeleti lakásba.	-0.00434783
Các tủ kính, tủ thường, những hàng các tông dựa sát vào tường, bốn chiếc ghế dựa vào một chiếc bàn bổ sung vào mớ đồ đạc trong nhà.	A falhoz üveges és csukott szekrények és zöld kartonból készült fiókok voltak rakva; négy szék és egy asztal tartozott még a butorzathoz.	0.251538
Căn phòng có vẻ trần trụi, lạnh lẽo, hàng hóa được đóng gói, dồn chặt vào các góc, không rơi vãi đây đó cùng với những màu sắc loè loẹt tươi vui của chúng.	Az egész helyiség csupasznak és fagyosnak látszott; a bolti árúk be voltak csomagolva s az üzlet sarkaiban voltak összezsufolva, - nem hevertek szanaszét vidám színpompájukkal.	0.281818
Thông thường, có hai người phụ nữ ngồi sau quầy. ~~~ Người thiếu phụ trẻ với khuôn mặt trầm lắng và một người già mỉm cười thiu thiu ngủ.	Rendesen két nő ült hátul az irodában: egy komoly arcú fiatal és egy öreg nő, aki még szundikálás közben is mosolygott.	-0.0195
Bà này chừng sáu mươi tuổi, khuôn mặt đầy đặn và bình thản, trắng lên dưới ánh sáng ngọn đèn.	Az utóbbi nő körülbelül hatvan éves volt; nyugodt, kövér arca szinte fehérlett a lámpa világa alatt.	0.262887
Một con mèo vằn to tướng, ngồi xổm ở một góc quầy hàng nhìn bà ta ngủ.	Egy nagy tarka macska, mely az iroda egyik sarkában kuporgott, folyton nézte, amíg aludt.	0.296203
Ở chỗ thấp hơn, một người đàn ông khoảng ba mươi tuổi ngồi trên ghế dựa đọc sách hoặc thì thầm với thiếu phụ.	Beljebb egy körülbelül harminc éves ember egy széken ülve olvasott vagy halkan beszélgetett a fiatal nővel.	0.213861
Anh ta nhỏ người, còm cõi, dáng điệu uể oải, tóc màu hoe nhạt, râu cằm lơ thơ, mặt lấm tấm những vết hoa, có vẻ như một đứa trẻ bệnh hoạn được nuông chiều.	Kicsiny, hitvány, beteges külsejű ember volt; a haja unalmasan szőke, a szakálla ritka, az arca csupa szeplő; olyan volt, mint egy beteg és elkényeztetett gyermek.	0.239189
Trước mười giờ một chút, người đàn bà thức giấc.	Tiz óra felé az öreg nő felébredt.	0.0617647
Họ đóng cửa tiệm lại và cả gia đình lên gác.	Becsukták a boltot és az egész család felment a lakásba aludni.	0.259615
Con mèo vằn đuổi theo chủ kêu gừ gừ cọ đầu vào tay vịn cầu thang.	A tarka macska dorombolva ment a gazdái után s utközben a lépcső minden korlátjához hozzádörgölődzött.	0.190541
Trên đó nhà có ba phòng.	Odafent a lakás három szobából állott.	0.15
Cầu thang dẫn đến một phòng ăn cũng được dùng làm phòng khách.	A lépcsőn az ebédlőbe jutottak, amely egyszersmind szalon is volt.	0.256452
Bên trái là một lò sưởi bằng sành nằm ở một hóc tường, đối diện dựng thẳng một tủ búp phê, rồi những chiếc ghế dựa xếp dài theo tường, một chiếc bàn tròn rất rộng choán giữa phòng.	Balról a fülkében egy cserépkályha volt, ezzel szemben volt az ebédlőszekrény; a székek a fal mellé voltak állítva, a szoba közepén pedig egy kerek asztal állott egészen kinyitva.	0.227219
Phía trong cùng, sau vách kính là một bếp nấu ăn đen đúa.	Hátul, az üvegajtón át a sötét konyhába lehetett látni.	0.273214
Bên cạnh phòng ăn là hai phòng ngủ.	Az ebédlőtől jobbra-balra egy-egy hálószoba volt.	0.205263
Người phụ nữ già sau khi ôm hôn con trai và con dâu, rút vào phòng riêng.	Az öreg hölgy megcsókolta a fiát és a menyét s azután bement a szobájába.	0.282857
Con mèo ngủ trên chiếc ghế dựa ở bếp.	A macska egy széken aludt a konyhában.	0.222857
Hai vợ chồng đi vào phòng ngủ của mình.	A házaspár is bement a szobájába.	0.2
Phòng này có một cửa thứ hai hướng đến một cầu thang trổ ra ngõ qua một lối đi tối tăm và chật hẹp.	Ennek a szobának egy második ajtaja is volt, mely a lépcsőre nyilott; ezen a lépcsőn s egy sötét keskeny folyosón át ki lehetett jutni a sikátorba.	0.241071
Người chồng lúc nào cũng run rẩy vì sốt đã đặt mình xuống giường trong lúc đó người vợ trẻ mở ô cửa sổ để khép cánh cửa chớp lại.	A férj, ki mindig lázas volt, lefeküdt; a fiatal nő ez alatt kinyitotta az ablakot, hogy becsukhassa az ablaktáblákat.	0.171028
Nàng dừng lại vài phút đối diện với bức tường lớn đen đúa, trát vữa thô nhám, sừng sững trải dài một bên ngõ hẻm.	Néhány percig az ablaknál maradt, a durván vakolt nagy fekete fal előtt, mely a sikátor üvegteteje fölött emelkedett a magasba.	0.264407
Nàng dạo tia mắt nhìn mơ hồ bức tường đó, rồi câm lặng, đến lượt mình trở vào giường nằm, với dáng vẻ khinh miệt dửng dưng.	Révedező tekintete végigfutott ezen a falon s azután ő is szó nélkül lefeküdt, mindent lenéző közönnyel.	0.180583
Chương 2	II.	-0.15
Bà Raquin là người bán tạp hoá cũ ở Vernon.	Raquinné régebben rövidárú-kereskedő volt Vernonban.	0.248936
Trong gần hai mươi lăm năm, bà đã sống trong một tiệm buôn nhỏ của thành phố này.	Csaknem huszonöt esztendeig élt ennek a városnak egyik kis boltjában.	0.189231
vài năm sau cái chết của người chồng, lòng đầy chán chường, bà bán đi sản nghiệp.	Néhány évvel a férje halála után belefáradt a dologba és eladta az üzletét.	0.222973
Tiền dành dụm cộng với việc bán buôn này đã cho bà một số vốn trong tay bốn chục ngàn francs mà bà đã đầu tư mang đến số lợi tức hàng năm, hai ngàn francs.	Az eladási árhoz hozzátéve megtakarított pénzecskéjét, negyvenezer frankja volt; ezt a pénzt úgy helyezte el, hogy kétezer frank évjáradéka volt belőle.	0.257432
Số tiền này đủ để bà tiêu pha rộng rãi.	Ez az összeg bőven elég volt neki.	0.159375
Bà sống cuộc đời xa cách, không biết gì đến những niềm vui hay những nỗi lo toan gay gắt của thế gian này, bà tồn tại hên bình với niềm hạnh phúc lặng lẽ.	Nagyon zárkozott életet élt, mitse tudva a világ örömeiről és kínzó gondjairól; békés, nyugodt és boldog létet biztosított magának.	0.210687
Bà đã thuê với giá bốn trăm francs một ngôi nhà nhỏ có vườn cây lấn ra đến tận bờ sông Seine, một chỗ ở tách biệt và kín đáo, phảng phất hương vị của một tu viện.	Négyszáz frankért kibérelt egy kis házat melynek kertje lenyúlt a Szajna partjáig.	-0.0987342
Một con đường hẹp dẫn đến nơi ẩn cư giữa những cánh đồng cỏ mênh mông, cửa sổ hướng về con sông và những ngọn đồi hoang vắng ở bờ bên kia.	A világtól elzárt, diszkrét lakás volt ez, sőt egy kissé kolostorszagú; egy nagy rét közepén volt ez a remetelak, amelyhez egy keskeny ösvényen át lehetett bejutni; a lakás ablakai a folyó, s a túlsó part puszta dombjai felé nyiltak.	0.201852
Người đàn bà tốt bụng khi đã qua cái tuổi năm mươi, tự khép mình vào nơi tận cùng hiu quạnh này và ở đó, bà hưởng niềm vui thanh thản giữa đứa con trai Camille và cô cháu gái Thérèse của mình.	A derék hölgy, aki akkoriban már meghaladta ötvenedik évét, ebbe a magányba zárkozott el, hogy élvezze vidám örömeit, fiának, Camillenak és unokahúgának, Theresenek társaságában.	0.243429
Rồi Camille hai mươi tuổi.	Camille akkoriban húsz éves volt.	0.768966
mẹ gã vẫn nuông chiều gã như một đứa trẻ con.	Az anyja még mindig úgy kényeztette, mint egy kis fiút.	0.288235
Bà yêu thương gã tha thiết để giành lấy sự sống cho gã suốt thời thiếu niên triền miên đau đớn.	Imádta őt, mert a fiúnak egész ifjúsága szenvedés volt s ő disputálta el a haláltól.	0.204878
Đứa trẻ liên tục bị những cơn sốt và mọi chứng bệnh có thể tưởng tượng được.	A gyerek minduntalan lázas volt és minden elképzelhető betegséget végigszenvedett.	0.24
Trong suốt mười lăm năm trời bà Raquin phải chống đỡ những cơn bệnh đáng sợ cứ liên miên kéo đến hòng cướp đi đứa con của bà.	Raquinné tizenöt évi küzdelmet folytatott a rettenetes bajok ellen, amelyek egymást érték, hogy elragadják tőle a fiát.	0.221053
Và bà đã chiến thắng tất cả bằng lòng kiên trì, sự chăm chút và tình thương yêu tha thiết của mình.	És ő mind legyőzte őket türelmével, gondoskodásával és imádatával.	0.128571
Camille lớn lên, thoát khỏi cái chết nhưng vẫn hoàn toàn run rẩy bởi những cơn chấn động nối tiếp nhau làm đau đớn thể xác.	Camille, ha megmentették is a haláltól és felnövekedett is, örökké remegett az egymást érő csapások alatt, amelyek fájdalmakat hagytak a testében.	0.291241
Gã nhỏ bé và gầy guộc.	Növekedése hátráltatva volt s így kicsiny és beteges maradt.	-0.0555556
Chân tay gã mảnh khảnh cử động một cách chậm chạm và uể oải.	Vékony tagjai lassan és fáradtan mozogtak.	0.0804878
Bà mẹ càng yêu thương hơn vì sự yếu đuối đã hoàn toàn chế ngự gã.	E gyöngesége miatt, amely elgyötörte őt, az anyja még jobban szerette.	0.259701
Bà nhìn ngắm khuôn mặt nhỏ xanh xao đáng thương ấy bằng tất cả sự dịu dàng hãnh diện và nghĩ rằng mình đã trao cho nó cuộc sống mười lần hơn.	Szegény kis sápadt alakjára mindig diadalmas gyöngédséggel nézett, - arra gondolt, hogy több, mint tízszer adott neki életet.	0.201681
Trong những lúc yên tĩnh hiếm hoi khi nỗi đau đớn lãng quên nó, đứa trẻ theo học ở trường thương mại Vernon.	A fiú, ha szenvedése néha nyugton hagyta, egy kereskedelmi tanfolyamra járt Vernonban.	0.15375
Nó học các môn chính tả và số học.	Itt helyesírást és számtant tanult.	0.266667
Kiến thức của nó chỉ hạn chế trong bốn phép tính và một sự hiểu biết hời hợt về ngữ pháp.	Tudománya azonban nem terjedt túl a négy alapműveleten s a nyelvtanból tudott még egyet-mást igen felületesen.	0.297115
Về sau nó thực hành những bài tập viết và kế toán.	Később szépírásra és könyvelésre is tanították.	0.277358
Bà Raquin bắt đầu run sợ khi có ai đó khuyên nên gởi cậu con trai vào trường trung học, bà biết nó sẽ chết mất nếu xa bà, bà cho là sách vở sẽ giết nó.	Raquinné mindjárt remegett, ha azt tanácsolták neki, hogy küldje a fiát kollégiumba; tudta, hogy ha a fiú tőle távol volna, akkor meghalna; azt szokta mondani, hogy a könyvek megölnék.	0.285185
Vậy là Camille, vẫn dốt nát, và sự dốt nát đó như thêm vào sự yếu đuối trong con người nó.	Camille tudatlan maradt és tudatlansága csak bajainak a számát szaporította.	0.184932
Đến năm mười tám tuổi, vô công rồi nghề, buồn chán chết đi được trong sự dịu dàng bao bọc của người mẹ, gã xin vào làm trong một hiệu buôn vải, giữ chân thư ký lương tháng sáu chục francs.	Tizennyolc éves korában, miután nem volt semmi dolga, már halálosan megunta azt a sok kedvességet, mellyel az anyja körülvette; beállott tehát egy vászonkereskedőhöz segédnek.	0.222754
Đầu óc gã lo lắng với việc trở lại cuộc sống nhàn rỗi không thể chịu đựng nổi.	Hatvan frankot keresett havonta. ~~~ Nyugtalan lelkű ember volt, s emiatt a semmittevés tűrhetetlen volt rá nézve.	-0.0143617
Gã cảm thấy yên tâm hơn, sức khoẻ tốt hơn trong công việc nặng nhọc thô thiển này, dưới vai trò một nhân viên suốt ngày cặm cụi trên các hoá đơn, trên những phép tính kếch sù mà gã kiên trì dò từng con số một.	Sokkal nyugodtabbnak, egészségesebbnek érezte magát ebben az állati munkában, amikor mint boltossegéd egész nap a számlák fölött kuporgott s óriási összeadásokat végzett, minden számjegyet türelmesen külön betűzgetve.	0.278972
Buổi chiều, rã rời, đầu óc trống rỗng, gã tận hưởng những khoái lạc vô tận trong sâu thẳm sự trì độn của mình.	Este, ha ki is volt fáradva teste-lelke, végtelen gyönyörűséget érzett abban az eltompulásban, amely erőt vett rajta.	0.251351
Gã đã phải cãi cọ với bà mẹ để được vào cửa hàng buôn vải, trong khi bà muốn luôn giữ gã bên mình, dưới mái nhà, xa cách những bất trắc của cuộc đời.	Perlekednie kellett az anyjával, hogy beléphessen a vászonkereskedőhöz; az anyja azt akarta, hogy mindig csak mellette legyen, teljes biztonságban, távol az élet esetleges baleseteitől.	0.298246
Chàng trai trẻ lên giọng kẻ cả, gã đòi hỏi việc làm như trẻ con vòi vĩnh đồ chơi, không phải vì ý thức bổn phận mà vì bản năng, vì nhu cầu tự nhiên.	A fiatalember azonban úgy beszélt, mintha ő volna az úr a háznál; úgy követelte a munkát, mint ahogy más gyermek a játékot követeli, nem kötelességérzetből, hanem ösztönszerüen, természetes szükséglete gyanánt.	0.223171
Tình âu yếm, lòng tận tuỵ của bà mẹ khiến cho gã ích kỷ ghê gớm, gã tưởng mình yêu thương những ai thương xót và âu yếm gã, nhưng thực tế gã sống tách biệt và trong tận đáy lòng, gã chỉ thích sự thoải mái cho riêng mình, tìm đủ mọi cách có thể để tăng cường sự hưởng thụ riêng.	Anyjának gyöngédsége és odaadása vad önzést fejlesztett ki benne; azt hitte, szereti azokat, akik fáradhatatlanul gondozzák és becézgetik; de a valóságban távol állott tőlük, csak magának élt, nem szeretett senkit, csak önmagát és minden lehetséges eszközt igyekezett felhasználni, hogy növelhesse ezt az örömét.	0.29103
Khi sự trìu mến, mủi lòng của bà Raquin làm gã chán ngấy, gã cuồng nhiệt lao vào nỗi đam mê ngu xuẩn rứt gã ra khỏi những chén nước sắc cùng lọ thuốc.	Mikor Raquinné ellágyult szeretetét megútálta, egész élvezettel vetette bele magát abba az ostoba foglalkozásba, amely legalább megmentette őt a különféle orvosságok szedésétől.	0.279878
Rồi buổi chiều, từ bàn giấy trở về, gã chạy đến bờ sông Seine cùng cô em họ Thérèse của mình.	Esténkint az irodából hazatérve a Szajna partján sétálgatott unokanővérével, Therese-zel.	0.247253
Thérèse gần mười tám tuổi.	Therese tizennyolcadik évében volt.	0.281818
Vào một ngày cách đây mười sáu năm, lúc bà Raquin còn bán tạp hoá thì em trai bà, đại uý Degans mang đến một đứa bé gái.	Egyszer, tizenhat évvel azelőtt, amikor Raquinnének még megvolt az üzlete, a fivére, Degans kapitány, egy kisleányt hozott neki a karján.	0.440513
ông ta đến từ Algérie.	Algirből jött.	0.1125
