JULES VERNE	JULES VERNE
Ezeknek a nagy érdeklődés mellett és ünnepélyes keretek között megtartott versenyeknek nagy volt ám a híre a nevezetes szőke - és nem mint ahogyan a közismert Strausskeringő mondja: kék - folyam egész mentében.	Danh tiếng của những cuộc thi (đã chuyển thành những cuộc chè chén) này vang dội trên suốt chiều dài con sông trứ danh, không kém gì những âm điệu luân vũ của Strauss.
Özönlöttek ide a versenyzők a badeni hercegségből, Württem­berg­ből, Bajorországból, Ausztriából, Magyarországról, Romániából, Szerbiából és még a bulgáriai és besszarábiai török tartományokból is.	Tụ hội lại đây là các đấu thủ từ công địa Bađanh, từ Vuốctemhéc, Bavaria, Áo, Hungary, từ Rumani, Xecbi và thậm chí từ những tỉnh thuộc Thổ - Bungary và Bexarabia.
A társaság már öt éve állott fenn.	Hội đoàn này tồn tại đã năm năm.
Elnökének, a magyar Miklóssinak kiváló vezetése alatt szépen felvirágzott.	Dưới sự cai quản của vị chủ tích Micletxcô, người Hungary, hội đoàn rất phát đạt.
Állandóan gyarapodó pénzalapjai lehetővé tették, hogy minden versenyen jelentős díjakat tűzzön ki, és zászlóján ott ragyogtak azok a dicsőséges érmek, amelyeket kemény küzdelem árán hódított el a vele versenyben álló egyesületektől.	Tài lực của Hội tăng tiến đã cho phép đưa ra những giải thưởng lớn tại các hội thi, và lá cờ của hội nổi bật lên nhờ vô số những huy chương giành được trong sự đấu tranh bền bỉ với các hội đoàn những người câu cá khác.
A társaság választ­mánya, amely kitűnően ismerte a folyami halászatra vonatkozó törvényeket, tagjai védelmére kelt az állammal éppúgy, mint a magánosokkal szemben, és jogaikat, kiváltságaikat azzal a szívóssággal, mondhatni szakmai makacssággal védte, mely annyira jellemző azokra a kétlábú lényekre, akikről méltán állíthatjuk, hogy horgászösztönük révén az emberi nem egy külön, sajátságos csoportját alkotják.	Ban chấp hành các giám đốc của hội, những người rất am hiểu các đạo luật về sự câu cá trên các vùng sông, đã ủng hộ những người đồng chí khi thì chống lại nhà nước, lúc lại chống phía tư nhân và bảo vệ các quyền hạn, đặc lợi của họ bằng một sự kiên trì đáng kể, dám nói rằng, bằng một sự bướng bỉnh hết sức chuyên nghiệp, vốn là đặc tính của giống hai chân trội hẳn trong giống người đặc biệt say mê sự đánh bắt cá bằng cần câu.
A most lezajlott verseny a második volt az 1876. évben.	Cuộc thi vừa được diễn ra, đây là lần thứ hai trong năm 1876.
A versenyzők már reggel öt órakor elhagyták a várost, és valamivel Sigmaringen alatt, a Duna bal partján gyülekeztek.	Vào lúc 5 giờ sáng, những đối thủ đã rời khỏi thị trấn và tụ tập trên bờ trái sông Danube gần Ditmarigen.
Mindnyájan a társaság egyenruháját viselték: szabad mozgást biztosító rövid zubbonyt, vastag talpú csizmákba tűrt nadrágot és széles ellenzőjű fehér sapkát.	Họ thảy đều ăn bận theo đồng phục của hội đoàn: áo choàng ngắn không làm gò bó các cử động, quần dài được nhét ống vào đôi ủng đế cao, mũ với phần lưỡi trai lớn.
A horgászversenynek nem voltak szigorúan megszabott feltételei, vagyis bármilyen halat elfogadtak, és mindegyik horgász tetszése szerinti csalétket használhatott.	Sự câu cá được tự do, bất cứ con cáo nào câu được cũng được tính điểm, và mỗi người câu cá đều có thể cho nó ăn thêm gì cũng được.
Pontban hat órakor helyén volt már mind a kilencvenhét versenyző, kezükben úszóhoroggal, hogy bármely pillanatban bevethesse azt.	Khi đồng hồ điểm sáu giờ, chín mươi bảy đấu thủ đều vào chỗ với cần câu trên tay, chuẩn bị ném móc câu.
Kürtszó adta meg a "rajt" jelet, és a kilencvenhét zsinór szinte egyetlen mozdulattal feszült ki a folyó tükre felett.	Khi kèn trỗi nhạc hiệu, thí chín mươi bảy sợ chỉ câu đồng loạt vút lên trên mặt sông.
A versenyzők ezután zsákmányukat egyenként bemutatták a Miklóssi elnökből és a Dunai Liga négy tagjából álló versenybizottságnak.	Số cá câu được của mỗi người đều được giao lại cho ban giám khảo gồm chủ tịch Micletxco và bốn hội viên của "Hội vùng sông Danube".
Senki egy pillanatig sem kételkedett abban, hogy ezek a magas és tekintélyes személyiségek teljes pártatlansággal hozzák meg döntésüket, mégpedig úgy, hogy még a könnyen felfortyanó emberekből álló horgásztársadalom részéről se lehessen helye semmiféle ellenvetésnek.	Dù rằng những người đánh cá bằng cần câu là những người nóng nảy nhất trên đời, song hoàn toàn không có một ai nghi ngờ đến sự hết sức công bằng của những nhân vật cao cấp và có uy thế này, nên không có một sự phản kháng nào xảy ra.
A versenybizottság lelkiismeretes munkája eredményének kihir­detésére azonban türelemmel várni kellett, mert a baráti együttlétben elköltött lakoma végéig titokban tartották, hogy a kifogott halak számától és súlyától függően kik kapják a különböző díjakat.	Chỉ phải trang bị bằng lòng kiên nhẫn để nhận biết kết quả của cuộc thẩm xét tận tâm: sự phân chia các giải thưởng khác nhau căn cứ theo số cân hay số lượng cần phải đươc giữ trong bí mật cho đến tận lúc phát giải mà trước đó là bữa tiệc hữu nghị giữa những người dự thi.
Most elérkezett ez a pillanat.	Giờ ấy đã đến.
A horgászok és velük együtt a Sigmaringenből érkezett érdeklő­dők is kényelmesen elhelyezkedve várakoztak az emelvény előtt, amelyen az elnök és a versenybizottság többi tagja foglalt helyet.	Những người câu cá - đó là không nói đến những người Ditmaringen tò mò - ngồi yên lặng chờ đợi trước bục diễn đàn gồm vị chủ tịch và các hội viên khác của hội đoàn.
A székek, padok és zsámolyok mellett nem volt hiány asztalokban sem, az asztalokon pedig ott sorakoztak a söröskancsók, a különféle pálinkás­üvegek és a kisebb meg nagyobb poharak.	Quả thật, nếu có đủ ghế tựa, ghế dài và ghế đẩu, thì sẽ có khá đủ những chiếc bàn, mà trên cac bàn đã bày ra những vại bia, những chai rượu đủ các loại, những ly, cốc đủ cỡ lớn và nhỏ.
Miután mindenki helyet foglalt, és a pipákból még vidámabban bodorodott a füst, az elnök felemelkedett helyéről.	Khi mọi người đã yên vị, và các ống tẩu đã bắt đầu nhả khói, vị chủ tịch đứng lên.
- kiáltottak mindenfelől.	Những tiếng hoan hô vang động.
Miklóssi elnök először is felhajtott egy pohár sört, amelynek dús habja végigcsepegett bajuszán.	Ngài Micletxco uống cạn cốc bia, bọt bia vẫn còn lòng thòng trên ria mép ông ta.
- Kedves sporttársaim - mondotta németül, minthogy ezt a nyelvet a Dunai Liga tagjai nemzetiségi különbségre való tekintet nélkül mind értették -, kedves sporttársaim, ne várjanak tőlem klasszikusan felépített beszédet, bevezetéssel, tárgyalással és befejezéssel.	- Thưa các bạn đồng nghiệp - ông nói bằng tiếng Đức, thứ ngôn ngữ mà các hội viên đều biết; không phân biệt các dân tộc - các bạn đừng mong mỏi ở tôi lời lập luận cấu trúc theo cách cổ điển với lời vào đề, phần nội dung chính, rồi đến đoạn kết bài.
Nem, mi nem azért vagyunk itt, hogy hivatalos szónoklatoktól mámorosodjunk meg, és én itt csak a mi kis belső ügyeinkről akarok beszélni baráti, mondhatnám testvéri körben, amennyiben egy nemzetközi összejövetellel kapcsolatban helytállónak tartják ezt a kifejezést.	Không, chúng ta có mặt ở đây không phải để thưởng thức những ngôn từ nghi thức trang trọng mà tôi sẽ chỉ nói đến các công việc nhỏ bé của chúng ta theo tình bằng hữu, thậm chí sẽ nói, theo tình anh em, nếu như cách diễn đạt như thế lại thích hợp hơn đối với một hội đoàn quốc tế.
Miklóssi elnök ezután folytatta beszédét, és a horgászokról, mint az emberiség legjobbjairól szólott.	Tiếp đó ngài chủ tịch nâng cốc và toàn bộ những cái cốc cùng cạn sạch.
Ecsetelte mindazokat a kiváló tulajdonságokat és erényeket, amelyekkel a bőkezű természet felruházta a horgászokat.	Tiếp tục bài diễn văn, ngài Micletxco đã sắp xếp những người đánh cá bằng cần câu lên hàng đầu của nhân loại.
- Hát lehet a vadászatot a horgászattal összehasonlítani?	- Có thể so sánh nghề đi săn với sự đánh bắt cá được hay sao?
- kiáltott fel.	- ông ta lớn tiếng.
- Nem!	- Không!
- válaszolt egy emberként a hallgatóság.	- những cử tọa đồng loạt ứng tiếng.
- Talán olyan nagy dolog lelőni egy foglyot vagy egy nyulat, amikor már lőtávolban van, és főként mikor már egy kutya felhajtotta?	- Công trạng như thế nào khi phải giết một chú gà gô hay một cô thỏ, khi các ngài nhìn thấy chúng trong tầm bắn và khi con chó - mà chẳng lẽ chúng ta có con chó?
Miklóssi mondatai szemmel láthatóan a Dunai Liga tagjainak érzelmeit fejezték ki.	Nhất định la ngài chủ tịch biết làm rung nảy lên tình cảm của các hội viên.
Miután az elnök új erőt merített, ismét leöntvén torkán egy korsó habzó sört, így folytatta:	Sau đó, vừa lấy lại hơi thở và sau khi uống cạn thêm một cốc vại bia sủi bọt nữa.
A német sajtó, a cseh sajtó, a román sajtó soha nem fukarkodott a megtisztelő dicsé­retekkel társaságunkat illetően, s hozzáteszem, hogy ez a dicséret nagyon is megérdemelt volt.	Báo cí Đức, Tiệp, Rumani đều không tiếc lời ca ngợi, đánh giá hết sức cao, và tôi xin nói thêm là, hết sức xứng đáng!
Ezért poharamat emelem, és kérem, hogy tartsanak velem, azoknak az újságíróknak egészsé­gére, akik a Dunai Liga nemzetközi jelentőségű ügyéért fáradoznak.	Tôi xin nâng cốc chúc mừng, và xin các bạn hãy ủng hộ với tôi, các nhà báo đã hết sức tận tụy với công việc quốc tế của "Hội vùng sông Danube"!
A hallgatóság, talán mondani sem kell, követte Miklóssi elnök példáját.	Tất nhiên, mọi người đồng thanh đáp lại lời của ngài chủ tích.
Ezt azonban elkerülhetetlenül követte a többi, nem kevésbé alkalomszerű felköszöntő.	Nhưng những lời chúc rượu khác được tuôn ra có lẽ là rất ư hợp thời.
Jobb kezében mindegyikük egy-egy pezsgőspoharat tartott, balját pedig szívére helyezte.	Mỗi người trong số họ đếu cầm cốc sâm panh bằng tay phải, còn tay trái thì ép sát vào tim.
- Most pedig a Dunai Ligára iszom - jelentette ki Miklóssi, és tekintete végigjárt a hallgatóságon.	- Tôi xin uống mừng "Hội vùng sông Danube" - Ngài Micletxco hô lên, vừa đưa mắt nhìn những người đang có mặt.
Miután a poharak kiürültek, az elnök ismét töltött az elébük helyezett, kiapadhatatlannak látszó palackok egyikéből, majd még emeltebb hangon folytatta:	Còn ngài chỉ tịch lại mở miệng sau khi các chai rượu đặt giữa ông ta và những đồng nghiệp của ông ta đã được bổ sung đầy lại:
- Igyunk a különböző nemzetiségekre, a badeniekre, a württembergiekre, a bajorokra, az osztrákokra, a magyarokra, a szerbekre, a havasalföldiekre, a bolgárokra, a besszarábiaiakra, mindazokra a nemzetekre, melyeknek fiai a Dunai Liga tagjai között vannak!	- Chúc mừng mọi dân tộc, chúc mừng người Ba-đanh, chúc mừng người Vuoctembec, chúc mừng người Bavaria, chúc mừng người Áo, chúc mừng người Hungari, chúc mừng người Xecbi, chúc mừng người Valakhia, chúc mừng người Mondavi, chúc mừng người Bungari, chúc mừng người Betxarabi đã cùng thống nhất trong hàng ngũ "Hội vùng sông Danube:".
És a jelenlevő besszarábiaiak, bolgárok, havasalföldiek, szerbek, magyarok, osztrákok, bajorok, württembergiek, badeniek egy emberként követték felhívását, és ürítették ki poharukat.	Thế là những người Ba-đanh, Vuoctembec, Bavaria, Áo, Hungari, Xecbi, Valakhia, Mondavi, Bungari, Betxarabi đều đáp lời ông ta, như một con người duy nhất, nốc cãn thứ chất lỏng chứa trong cốc của mình.
Végül az elnök azzal a bejelentéssel fejezte be szónoklatát, hogy most a társaság minden egyes tagjának egészségére iszik.	Cuối cùng, ngài chủ tịch đã kết thúc bài diễn văn, sau khi tuyên bố uống mừng sức khỏe mỗi hội viên của Hội.
Minthogy azonban a társaságnak nem kevesebb, mint 473 tagja volt, sajna kénytelen volt egyetlen közös pohárköszöntővel beérni.	Nhưng bởi lẽ số lượng những con người này đạt đến con số 473 người, nên ôn gta đành phải chịu - tức là cần phải chúc rượu chung với họ.
Az első programpont befejező része a nagy áldomás volt, és most következett a harmadik: a díjak kiosztása.	Tiếp đến của chương trình là phần chè chén truyền thống của những người đánh cá.
Mindenki érthető izgalommal várta az eredmény­hirdetést, mert mint mondottuk, a versenybizottság döntését mindeddig titokban tartották.	Mỗi người đều chờ đợi điều đó bằng sự lo âu, một điều hết sức tự nhiên, bởi lẽ, như đã nói, ban giám khảo luôn nghiêm chỉnh giữ bí mật.
De végre elérkezett a pillanat, amikor a döntést nyilvánosságra hozzák.	Nhưng đã đến lúc rồi, và tất cả sắp sửa được rõ ngay thôi.
Miklóssi elnök tehát nekilátott a két csoportba tartozó jutalmak hivatalos listájának felolva­sá­sához.	Chủ tịch Micletxco chuẩn bị đọc danh sách chính thức các phần thưởng.
A társaság alapszabályainak megfelelően először a kisebb díjak nyerteseinek nevét olvasta, így az eredményhirdetés növekvő érdeklődés mellett folyt.	Theo nguyên tắc của Hội, các phần thưởng thấp nhất được công bố đầu tiên, và điều này đã khiến mọi người nóng ruột khi lắng nghe đọc danh sách giải trao.
A merítőhálókban olyan halak voltak, amilyeneket bármelyik horgász foghat a Dunából.	Giải nhì trao cho một người Đức đã câu được bảy mươi bảy con cá, người này tên là Vêbe.
Pikó, koncér, fenékjáró küllő, lepényhal, sügér, cigányhal, csuka, fejes domolykó stb.	Mọi người nồng nhiệt vỗ tay hoan nghênh thành tích của Vêbe.
A meglepett közönség nem tapsolt Borus Demeter nevének hallatára, mert ennek a Dunai Ligába nemrégen belépett magyarnak a neve ismeretlen volt számára.	Sau khi nghe tên của người Hungary lạ hoắc này, mà chỉ mới gia nhập Hội, cả phòng họp sửng sốt đến quên cả vỗ tay.
Amikor a második helyezett nevét olvasták fel, a közönség csakúgy tapsolt, mint az imént a német Weber nevének hallatára.	Khi tên người nhận giải nhì được đọc lên, thì một tràng vỗ tay tán tưởng cũng vang dội lên như khi đọc tên người Đức là Vêbe.
Ezt a díjat Ivetozár, az elnökség egyik tagja nyerte el egy harmincöt fontos2 fejes domolykóval, amelyet egy kevésbé ügyes és kevésbé hidegvérű horgász nyilván nem tudott volna kirántani a vízből.	Ngài Ivetoda, một trong những người tranh giải, thắng lợi với con cá gáy nặng ba fun rưỡi - một con cá ắt hẳn sẽ tuột khỏi tay một người câu cá ít lạnh lùng và không khéo léo hơn.
Most már csak e csoport első díjának átadása volt hátra, és mindenki szívdobogva várta a díjnyertes nevének kihirdetését.	Bây giờ chỉ còn quyết định tặng giải nhất theo loại hạng này, và mọi người nôn nao chờ nghe tên người trúng giải.
- A súly szerinti csoportban első: a magyar Borus Demeter 170 fontos csukájával.	- Giải nhất căn cứ theo số cân được trao cho con cá nặng mười bảy fun.
A teremre mély csend borult.	Cả phòng im phăng phắc.
Vajon Miklóssi elnök elé járul most már, hogy átvegye a két díszoklevelet és az azokkal járó kétszáz forintot?	Chủ tịch Micletxco có trao bằng danh dự cùng tiền thưởng tổng cộng là 200 phlôring cho anh ta hay không?
A jelenlevők egyike, aki eddig egy kicsit félrehúzódva állott, megindult az elnöki emelvény felé.	Một người câu cá, mà cho đến lúc này vẫn đứng ngoài cuộc, đang tiến bước đến lễ đài.
Az átlagosnál magasabb termetű, széles vállú, jó kiállású ember, ereje bizonyára nem minden­napi.	Chiều cao hơn mức trung bình, đôi vai rộng, dáng đi chắc nịch; có lẽ anh ta có một sức khỏe hiếm có.
Mindenesetre meglepőnek látszott, hogy egy ilyen keménykötésű fiatalember olyan nagy örömet talál a horgászás békés kedvtelésében, hogy ebben a nehéz tudományban mesterré vált, amiről a verseny eredménye cáfolhatatlan tanúbizonyságot nyújtott.	Quả thật, cũng đáng lấy làm lạ, khi một người trẻ tuổi dai sức như thế này đã say mê cái nghề tĩnh lặng - đó là nghề đánh cá, thêm nữa anh ta phải có bản lĩnh trong môn nghệ thuật khó khăn này, những chứng cứ xác thực của tài nghệ sẽ làm kết quả cho cuộc thi.
Márpedig a látás a legbecsesebb érzékszerve azoknak, akik szenvedéllyel figyelik az úszó3 alig észrevehető mozgását, és ugyancsak jó szemre van szüksége annak, aki át akar látni a halak különféle ravaszságain.	Thế mà sức nhìn là cái đắt giá nhất trong số những giác quan đối với những người phải hết sức quan tâm đến những di động lờ mờ có thể thấy rõ được của cái phao, và buộc phải đoán biết sự tinh ranh của vô số cá.
De meglepetés ide, meglepetés oda, nem volt mit tenni.	Nhưng, mặc dù ngạc nhiên, họ cũng đành bị chinh phục.
Minthogy a versenybizottság pártat­lansága tekintetében nem merülhetett fel kétség, a verseny nyertese vitathatatlanul Borus Demeter volt, mégpedig olyan körülmények között, amilyenekre horgászemlékezet óta nem volt példa.	Không ai nghi ngờ đến sự công bằng vô tư của ban giám kháo, Ilya Bruso là người chiến thắng của hội thi và trong trường hợp như thế này, những hội viên của hội đoàn chưa từng gặp phải bao giờ.
A teremben felengedett tehát a hangulat, és elég erős taps üdvözölte a győztest, amidőn Miklóssi elnök kezéből átvette a díszokleveleket és a jutalmakat.	Cuối cùng, phiên họp đã sôi động hẳn lên, khá nhiều tiếng vỗ tay thật kêu chào mừng người thắng cuộc trong lúc anh ta nhận bằng danh dự và giải thưởng từ tay chủ tịch Micletxco.
Ezután Borus Demeter ahelyett, hogy lelépett volna az emelvényről, pár szót váltott az elnökkel, majd a kíváncsian várakozó hallgatóság felé fordult, és egy kézmozdulattal csendet kért.	Sau khi trao đổi vài lời với ngài chủ tịch, Ilya Bruso vẫn đứng trên lễ đài, quay lại đám cử tọa đang chú ý và anh ta khoát tay ra hiệu yêu cầu im lặng.
Az imént még olyan zajos teremben most egy légy zümmögését is hallani lehetett volna.	Có thể nghe rõ tiếng ruồi vo ve như thế nào trong gian phòng mà vừa lúc nãy đã ồn ào như vỡ chợ.
- Mindenekelőtt - folytatta Borus Demeter - szeretném megköszönni önöknek rokonszenvük megnyilvánulását, de higgyék el nekem, hogy a kettős siker nem tesz önhitté.	- Đầu tiên tôi muốn cám ơn các bạn - Ilya Bruso tiếp - Cám ơn sự đồng cảm của các bạn và cám ơn sự hoan nghênh của các bạn.
E bevezető szavak szerény hangja igen kedvező hatást keltett a hallgatóságban, melynek soraiból néhányan halkan meg is jegyezték:	Sự khiêm tốn của lời phát biểu này đã làm cho mọi người yêu thích, vài tiếng hô to vang lên: "Hay lắm!"
Miért ne követnők mi is, a miénknél bizonyára alacsonyabb rendű sportok bajnokainak példáját?	Và tại sao chúng ta không thử lập kỷ lục về môn đánh cá bằng cần câu?
Miért ne állítanánk fel a horgászat csúcseredményét?	Những tiếng eo điếc tai lan nhanh trong hội trường.
- Amikor ez a gondolat felmerült bennem - folytatta máris a szónok -, rögtön jónak találtam, és azonnal tudtam azt is, hogy milyen feltételek mellett kell megvalósítani.	- Khi ý tưởng này nảy ra trong đầu tôi lần đầu tiên, tôi đã lập tức iểu ra, nó cần phải được thực hiện trong điều kiện như thế nào.
A szerencse, amely ma kedvezett nekem, ha lehet, még jobban fokozta vágyamat, hogy elinduljak erre az útra, amelynek jelentőségét minden bizonnyal önök is felismerik.	"Sự may mắn của ngày hôm nay cũng làm tăng thêm nữa ý muốn phải thực hiện chuyến du hành của tôi, một chuyến du hành mà tôi tin rằng các bạn sẽ quan tâm đánh giá cao.
Öt percen át megállás nélkül tartott a viharos éljenzés és a tomboló taps.	vang rân lên cùng với loạt vỗ tay như điên khùng kéo dài trong năm phút.
A váratlan esemény méltó befejezése még hátravolt.	Sự kiện trọng đại như thế càn phải được ghi nhận.
Miklóssi elnök is érezte ezt, és ezért, mint mindig, most is elnöki tisztéhez illően cselekedett.	Ngài Micletxco hiểu rõ điều này và trung thành với mình, ông ta đã hành động như một chủ tịch chân chính.
Kissé nehézkesen, de ismét felemelkedett a két másik elnökségi tag között elfoglalt helyéről.	Có lẽ đã hơi chuếnh choáng, ông ta lại đứng dậy nhờ hai người phụ tá đỡ.
- Borus Demeter sporttársunk egészségére!	- Chúc mừng đồng nghiệp Ilya Bruso của chúng ta!
- kiáltotta meghatott hangon, magasra emelve pezsgőspoharát.	- ông ta hô to bằng giọng xúc động, vừa đua qua đưa lại cốc sâ-panh.
- Borus Demeter sporttársunkra!	- Chúc mừng đồng nghiệp Ilya Bruso của chúng ta!
- visszhangozta zajosan az egész társaság, majd mélységes csend következett, miután az emberi lények egy sajnálatos fogyatékosságuk következtében képtelenek arra, hogy egyszerre kiáltozzanak és igyanak.	Cả hội trường đáp lại, nhưn cuồn gphong bão tố, tiếp theo đpó là một sự im lặng đến ghê người, bởi lẽ có một điều đáng tiếc là dòng người không thể vừa la thét vừa uống cùng một lúc.
A pezsgő hamarosan új erőt öntött a kifáradt torkokba, és a hangos felköszöntők újabb sorát váltotta ki belőlük, egészen addig a pillanatig, míg általános jókedv közepette lezárult a híres horgászverseny, amelyet 1876. augusztus 5-én, szombaton rendezett a Dunai Liga a bájos Sigmaringen városkában.	Rượu sủi tăm đã ban cho những cái cổ họng bị hong khô một sinh lực mới, nó cho phép mọi người tiếp tục nâng cốc chúc mừng thêm vô số bận nữa, mãi cho đến lúc phải bế mạc trong niềm vui chung cuộc thi của những người câu cá được khai mạc vào ngày 5 tháng tám năm 1876, do "Hội vùng sông Danube" tổ chức tại thị trấn Dilmaringen tuyệt vời.
A bécsi Neue Freie Presse már másnapi, augusztus 6-i számában a következőket írta:	Sang ngày hôm sau, số báo đề ngày 6 tháng 8, từ Hungary "Naye Frai Prext" viết rằng:
A verseny hőse a tegnap még teljesen ismeretlen, de egy­szeriben híressé vált magyar Borus Demeter volt.	Ngày hôm qua anh ta còn là một người vô danh, mà hôm nay đã là một nhân vật gần như là đủ có tiếng tăm.
Ennek az ügyes horgásznak először is sikerült megszerezni a súly- és a mennyiségi verseny két első díját, messze maga mögött hagyva valamennyi versenytársát, amire, úgy hírlik, még nem volt példa, mióta ilyen versenyeket tartanak.	"Thứ nhất, con người khéo tay này đã được nhận cùng lúc hai giải nhất - theo số cân và theo số lượng cá sau khi đã bỏ xa ở phía sau những đối thủ mà hình như rằng họ từ trước đến nay chưa từng gặp những hội thi nào tương tự như thế.
Ez magában véve is szép dolog.	Điều này thật không phải dở.
Értesüléseink szerint - és mindenki tudja, hogy hírforrásaink milyen megbízhatóak - Borus Demeter bejelentette klubtársainak, hogy horgászbottal a kezében lehajózik a Dunán a folyamnak a badeni hercegség területén levő forrásaitól egészen a folyam torkolatáig, a Fekete-tengerig, vagyis körülbelül 3000 kilométeres utat tesz meg.	"Nếu chúng tôi được thông báo đúng - mà tính chính xác của những tin tức của chúng tôi đã có tiếng - thì Ilya Bruso đã tuyên bố cùng các đồng nghiệp rằng anh có dự định xuôi dòng Danube với cần câu trong tay, ngay từ thượng nguồn sông Danube đến công quốc Badanh đổ ra cửa biển Đen, để thực hiện một chuyến đi áng chứng ba ngàn cây số.
Borus Demeter augusztus 10-én, tehát jövő csütörtökön indul útnak.	"Ilya Bruso sẽ khởi hành vào ngày 10 tháng 8, tức là ngày thứ năm tới đây.
Jó utat kívánunk neki, de egyúttal kívánjuk azt is, hogy ez a rettenthetetlen horgász legalább egy-két halat hagyjon meg mutatóba e nemzetközi folyam halállományából!	Chúng ta cầu chúc anh ta may mắn, sonh chúng ta cũng mong mỏi nhà đánh cá đáng sợ này đừng tiêu diệt đến tận sinh vật đại diện cuối cùng của cư dân dưới nước của con sông quốc tế vĩ đại.
Augusztus 8-án délután, két nappal az előtt, hogy a díjnyertesnek el kellett indulnia érdekes útjára, több mint harminc vendég iszogatott és mulatozott a vendéglő nagytermében, és tekintettel a válogatott közönség garatjának teljesítőképességére, a vendéglő pénztárába szokatlanul nagy összegek folytak be.	Song, không kể đến sự kiện đang đến gần, những kẻ hiếu kỳ đã lưu lại thủ phủ của họ Hohenxonlecno, vào buổi tối ngày 8 tháng 8 tại quán rượu "Cuộc hẹn của những người đánh cá" đã trò chuyện với nhau không phải về cái ngày anh hùng sắp đến.
Mindamellett akármilyen közel is volt az a nap, amely miatt az érdeklődők Hohenzollern székhelyén maradtak, augusztus 8-án estefelé mégsem a nap hőséről folyt a szó a Halász­tanyán.	Có một sự kiện khác, còn quan trọng hơn nữa đối với những cư dân ở hai bên bờ sông vĩ đại, được dùng làm đề tài chung trong các câu chuyện và đã làm cho mọi người phải xúc động, lo lắng.
Egy másik, a nagy folyam partjain élő emberek számára még fontosabb esemény kavarta fel a kedélyeket, és erről beszélt mindenki.	Đây là nỗi lo toan hoàn toàn dễ hiểu, và nó đã được biện bạch bằng các sự kiện gay gắt.
Több ember életével fizetett azért, mert szembe mert szállni a rablókkal, akiket eddig senki sem tudott elfogni.	Rất có thể là từng ấy vụ phạm tôi không thể do các cá nhân riêng lẽ gây ra.
Különös körülményként kell megemlíteni, hogy ez a banda csakis a Duna közvetlen közelében működött.	Điều hình như lạ lùng là nhóm cướp chỉ hoạt động các vùng ngay cạnh sông Danube.
Úgy látszott azonban, hogy a banda működési területe csak széltében korlátozott, minthogy a banditák, akiket sehol sem sikerült tetten érni, egyformán fosztogatták az osztrák, a magyar, a szerb és a román partvidéket.	Thế nên trường hoạt động của nó, có lẽ, được ấn định chỉ trong chiều ngang, và nhưng quốc gia nằm ven sông như Áo, Hungary, Xecbi hay là Rumani đều phải chịu những trận tấn công như nhau của bọn cướp mà chưa bao giờ chúng bị bắt tại chỗ.
