JULES VERNE	Jules Verne
- Ne erőltesse a dolgot!...	"Đừng cố nài nỉ!...
Mit gondol, azért neveltem ilyennek Alice-t, azért tartottam mellette Victoria és Bloemfontaine legjobb tanítómestereit, hogy húszéves korában elküldjem Párizsba, egy Egyetem utcai ház harmadik emeletére valakivel, akinek a nyelvét sem értem?...	hãy xem, với lòng thiện chí nhất, anh thực tâm nghĩ tôi nuôi dưỡng Alice bấy lâu nay, tìm cho con những thầy giỏi nhất xứ Victoria và Bloëmfontein, chỉ để khi nó hai mươi tuổi, gửi nó sang Paris, trên phố Đại học, ở tầng bốn, sống với một anh chàng mà thậm chí tôi chẳng hiểu được ngôn ngữ của anh ta?...
- Feltétlenül, Watkins úr - válaszolt habozás nélkül Cyprien -, ha úgy vélném, hogy ön rendelkezik azokkal a tulajdonságokkal, amelyek biztosítják lányom boldogságát.	"Chắc chắn là có, thưa ngài Watkins," Cyprien trả lời, và không chút do dự, "nếu tôi tìm thấy nơi ngài những phẩm chất tốt có thể khiến con tôi hạnh phúc!"
- Ha ön így tenne, nem érdemelné meg, hogy a Vandergaart-Kopje tulajdonosa legyen, sőt mi több, akkor nem is lenne öné a bánya.	"Anh đang hành xử như một người chẳng xứng đáng sở hữu mỏ Vandergaart-Kopje, mà đúng hơn anh sẽ chẳng bao giờ làm chủ khu mỏ đó được!
Azt hiszi, nem kellett hozzá értelem és szorgalom, hogy felkutassam s egyszersmind biztosítsam magamnak a tulaj­don­jogot?...	Anh tưởng tôi chẳng cần thông minh cũng chẳng phải lanh lợi để tìm ra nó và nhất là để đảm bảo quyền sở hữu nó sao?...
Nos, ezt az értelmet, amelynek én abban az emlékezetes és sorsdöntő pillanatban tanújelét adtam, életem minden cselekvésében felhasználom, de kiváltképp akkor, ha leányomról van szó... Ezért megint csak azt mondom: ne számítson rá!	Vậy đấy anh Méré ạ, trí thông minh tôi từng chứng tỏ trong hoàn cảnh đáng nhớ và quyết định ấy, tôi vẫn vận dụng trong tất cả mọi hành vi đời tôi và đặc biệt trong những quyết định liên quan đến con gái tôi!...
Alice nem lesz az öné.	Alice không dành cho anh!"
E diadalmas befejezés után Mr. Watkins fogta a poharát, és egy hajtásra kiitta.	Đến câu kết đắc chí này, ông Watkins cầm ly rồi uống cạn một hơi.
A meghökkent fiatal mérnök válaszolni se tudott.	Chàng kỹ sư trẻ, bối rối, chẳng biết đáp lại ra sao.
Ezt látva Watkins, tovább ütötte a vasat.	Thấy vậy, ông ta càng được thể lấn tới.
Vagy három hónapja, hogy ide jött Griqualand közepébe, mintha a Holdból csöppent volna, egy derék emberhez, aki soha nem hallott önről, aki ebben a kilencven napban tízszer sem találkozott önnel!	Anh như thể rơi từ trên cung trăng xuống chỗ cùng kiệt ở nơi Griqualand này, làm sao anh dám đến nhà một người trung hậu chẳng hề nghe nói đến anh ba tháng trước đây, và gặp anh chưa được mười lần trong vòng chín mươi ngày qua!
Felkeresi és így szól hozzá: "John Stapleton Watkins, önnek van egy bájos, tökéletesen jól nevelt lánya, akit mindenki a vidék gyöngyszemének mond, s aki azonfelül, ami csöppet sem megvetendő, egyedül fogja örökölni öntől két világrész leggazdagabb gyé­mántbányáját.	Anh đến gặp và nói với ông ta: thưa ngài John Stapleton Watkins, ngài có một cô con gái quyến rũ, được nuôi dạy hoàn hảo, được mọi người xem là viên ngọc trai của vùng này, và thêm một lợi thế nữa, đó là người con gái duy nhất thừa kế quyền sở hữu mỏ kim cương giàu có nhất Kopje des Deux-Mondes!
Cyprien elsápadt.	Cyprien đứng dậy, mặt tái xanh.
- Nem szoktam édesíteni a keserű pirulát!...	Tôi chẳng phỉnh phờ làm gì!...
Régivágású angol vagyok én, uram!...	Tôi là người Anh thế hệ xưa, anh ạ!...
Úgy nézzen rám, hogy szegényebb voltam, mint ön most... Igen, sokkal szegényebb!...	Nhìn tôi thế thôi, trước đây tôi còn nghèo hơn anh, thật đấy, nghèo hơn rất nhiều!...
Minden mesterséget végigpróbáltam.	Tôi đã làm qua rất nhiều nghề!...
Amikor feleségül vettem Alice anyját - akinek búr szülei mellesleg mondva származásukra nézve franciák voltak,3 akárcsak ön -, kettőnknek nem volt annyija, amiből egy kecskét lehetett volna tartani.	Lúc tôi cưới bà Watkins quá cố, mẹ của Alice, một cô gái gốc Pháp người Boër - Nhân thể tôi muốn nói, cũng như anh vậy - cả hai chúng tôi, chúng tôi không có đủ thức ăn để nuôi một con dê!
És mindenekelőtt meg akarom tartani a lányomat, hogy kezelje a köszvényemet és muzsikáljon nekem esténként, ha nagyon unatkozom... Ha valaha férjhez megy, itt helyben fog férjhez menni, egy honfitársához, aki gazdag, mint ő, farmer vagy bányász, mint én, és aki nem beszél olyasmit, hogy éhkoppon akar élni valahol egy harmadik emeleti lakásban, olyan országban, ahová soha a lábamat sem volt kedvem betenni.	Nếu lúc nào nó kết hôn, nó sẽ thành thân ngay tại xứ này, với một chàng trai bản xứ cũng giàu có như nó, chủ trang trại hoặc thợ mỏ như chúng tôi đây, và anh chàng đó không nói đến chuyện đi sống đói khổ trong căn hộ tầng bốn ở đất nước mà chẳng đời nào tôi muốn đặt chân đến: chẳng hạn, nó sẽ cưới James Hilton, hay một chàng trai nào khác hoạt bát cương nghị như thế!...
Szóval egy jóvérű angolhoz, aki nem fél egy-két pohár gintől, és szívesen elpipázgat a társaságomban!	Tóm lại, một chàng người Anh tử tế không ngại rượu gin và song hành cùng với tôi khi tôi hút tẩu!"
Cyprien keze már a kilincsen volt, hogy elhagyja a szobát, amelyben fulladozott.	Cyprien đã đặt tay lên nắm xoay cửa để rời khỏi căn phòng làm chàng thấy ngột ngạt này.
- Különben szent a béke köztünk - kiáltott felé Mr. Watkins.	"Ít nhất thì cũng đừng để bụng nhé!" ông Watkins hét với theo chàng.
- Cseppet sem haragszom magára és mindig szívesen látom önt a házamban, mint lakómat és barátomat!...	"Tôi chẳng trách giận anh chút nào, anh Méré ạ, và tôi luôn thoải mái gặp anh, như khách trọ hoặc như bạn bè!...
- Köszönöm, nem - válaszolt fagyosan Cyprien.	Anh có muốn tham dự cùng chúng tôi không?..."
- Be kell fejeznem a leveleimet, hogy még ma postára adhassam.	"Thưa không, cám ơn ngài!" Cyprien lạnh lùng trả lời.
Elképesztők!...	Rồi chàng bước đi.
És lehajtott egy nagy pohár gint.	Rồi ông rót một ly rượu gin lớn.
A fiatal mérnököt Mr. Watkins válaszában leginkább az bántotta, hogy maga is érezte: a vissza­utasítás kíméletlen nyerseségében jó adag igazság is rejlik.	Điều xúc phạm chàng kỹ sư trẻ nặng nề nhất trong câu trả lời ông Watkins vừa đưa ra, chính là ông ta đã không ngại bóc tách vấn đề đến tận cùng của lý tính với kiểu thô lỗ quá đáng.
Tény azonban, hogy mindeddig nem gondolt arra a távolságra, amit a vagyon, a nemzetiségi kölönbség, a nevelés és a környezet teremtett közte és a fiatal lány között.	Nhưng thực ra, cho đến lúc ấy, chàng chưa từng nghĩ đến khoảng cách giữa cô gái trẻ và chàng do khác biệt về gia tài, dòng tộc, giáo dục, giai cấp.
Már öt vagy hat éve megszokta, hogy az ásványokat tisztán tudományos szempontból vizsgálja, és így a gyé­mántok sem jelentettek a szemében egyebet közönséges, a Bányászati Főiskola múzeumában kiállításra alkalmas szénmintáknál.	Đã năm sáu năm nay rồi, chỉ quen nhìn các khoáng vật dưới góc độ thuần túy khoa học, dưới mắt chàng, kim cương chỉ đơn giản là một loại cácbon, chỉ đẹp để trưng bày ở bảo tàng của trường Mỏ Địa chất.
Meg azután ő, aki Franciaországban a társadalmi ranglétra jóval magasabb fokán állt, mint a Watkins-féle emberek, egyáltalán nem tudta méltányolni a farmer dús gyémánttelepének kereskedelmi értékét.	Ngoài ra, cũng vì ở Pháp chàng theo đuổi một đời sống xã hội thanh cao hơn nhiều so với gia đình Watkins, nên chàng hoàn toàn không nhận ra giá trị vật chất của mỏ quặng giàu có thuộc sở hữu của ông chủ trang trại.
Egy pillanatig sem gondolt arra, hogy bármiféle különbség lehet a Vandergaart-Kopje tulajdonosának lánya és egy francia mérnök között.	Vì thế chẳng lúc nào trong tâm trí chàng nghĩ đến sự chênh lệch giữa cô con gái ông chủ Vandergaart- Kopje và một kỹ sư người Pháp.
És ha ez a probléma egyáltalán felmerült volna benne, párizsi gondolkodásmódjával, mint a Műszaki Főiskola egykori növendéke, alkalmasint inkább úgy vélekedett volna, hogy ő az, aki, mint mondani szokás, "rangján alul" készül házasodni.	Thậm chí ngay cả khi vấn đề đó có hiển hiện trong tâm tưởng chàng, trong suy nghĩ một chàng trai Paris vốn là cựu sinh viên trường Bách Khoa, thì có lẽ chàng mới chỉ nghĩ đến điều người ta thường gọi là "không môn đăng hộ đối".
