QUO VADIS?	Quo Vadis
De hiszen te ezen kívül szereted a háborut is, melyet én nem szeretek, mert a sátorokban letörik a köröm a kézről és elveszti rózsás szinét.	Song trừ điều đó ra anh còn yêu thích chuyện chiến chinh, điều mà cậu không thích, vì sống trong lều trại, móng tay cứ bị gãy vụn ra và mất hết sắc hồng.
Egyébiránt mindenkinek megvan a maga kedvtelése.	Nói cho cùng, mỗi người đều có thú vui riêng.
A rőtszakállu9 szereti az éneket, kivált a magáét és az öreg Skaurus az ő korinthusi vázáját, melynek éjjel ágyánál kell állania s melyet csókokkal halmoz el, mikor aludni nem bir.	Gã Râu Đỏ thích ca hát và mê nhất tiếng hát của chính gã; lão Xcaurux thì yêu cái độc bình Koryntơ, đêm đêm được đặt cạnh giường lão và được lão hôn hít mỗi khi không ngủ được.
Már majdnem az egész szélét lecsókolta.	Lão đã hôn đến cùn cả miệng bình rồi đấy.
- Játszol-e a lanton vagy énekelsz-e?	- Anh cũng không biết chơi đàn luýt và không hát chứ?
- Nem.	- Không ạ?
- Akkor talán mint kocsihajtó tünsz ki?	- Cũng không đua ngựa?
- Annak idején részt vettem Antiochiában a kocsiversenyeken, de eredménytelenül.	- Hồi còn ở Antiokhia cháu cũng có đua nhưng không mấy thành công.
- Akkor nyugodt vagyok miattad.	- Thế thì cậu có thể yên tâm về anh.
Melyik párthoz tartozol a hippodromban?	Thế ở trường đua anh thuộc phái nào?
- A zöldhöz.	- Phái Xanh lục ạ.
De akkor jár az ember legjobban, ha mindazt kellően meg tudja bámulni, amit a rőtszakállu tesz.	Anh là một đứa bé xinh xẻo, nên có thể bị một mối đe dọa là Poppea phải lòng anh.
De te szép vagy és így mindig annak a veszélynek vagy kitéve, hogy Poppaea beléd szeret.	Song ả ta đã quá đủ kinh nghiệm để có thể không bị dính vào chuyện đó.
Tudod, hogy az a balga Otho a bolondulásig szereti őt... Sóhajtozva bolyong Hispánia sziklás hegységei közt és annyira hütlen lett korábbi szokásaihoz, oly kevés gonddal ápolja most személyét, hogy naponta három óra elegendő hajdiszének.	Y lang thang trên những phiến đá ở Tây Ban Nha, thở dài thườn thượt, quên tiệt cả những thói quen ngày xưa và thôi chăm lo bản thân đến nỗi mỗi ngày y chỉ cần có ba giờ đồng hồ để sửa sang đầu tóc mà thôi!
- Én értem őt - válaszolá Vinicius - de az ő helyében másképp tettem volna.	- Cháu hiểu y - Vinixius đáp - nhưng giá ở địa vị y thì cháu sẽ làm một việc khác kia.
- Fejezd ki magad érthetően!	- Việc gì?
- Az ottani hegyi lakókból hű légiókat képeztem volna.	- Thành lập những đội quân trung thành từ đám dân sơn cước vùng đó.
- Vinicius, Vinicius!	- Ôi, Vinixius! Vinixius!
Lásd, az ember az ilyen dolgokat megteszi, de nem beszél róla, még a legnagyobb óvatossággal sem.	Những việc như thế người ta chỉ làm mà không nói, dù là nói có điều kiện đi chăng nữa.
Azonkívül epigrammokat is irnék, de egyuttal intő például venném Rufinust és nem olvasnám föl senki fiának sem.	Cùng lắm, cậu sẽ viết những bài đoản thi, nhưng sẽ chẳng đọc cho một ai nghe như anh chàng Rufinux đáng thương nọ.
- Hiszen annak a történetét akartad elbeszélni.	- Cậu hứa là kể cho cháu nghe chuyện anh ta mà?
- Majd meghallod az unctoriumban.10	- Sang buồng xức dầu thơm cậu sẽ kể anh nghe.
De az unctoriumban Vinicius figyelme egészen másra irányult: a rabszolga nőkre, kik szolgálatra készen vártak mindkettőjükre.	Song ở buồng xức dầu sự chú ý của chàng Vinixius lại chuyển sang một đối tượng khác, cụ thể là các nữ tỳ tuyệt đẹp đang chờ họ.
- A felhőt tornyosító Zeusra! - kiáltá Marcus Vinicius - milyen szemen-szedett szép női rab­szolgáid vannak.	- Thề có Zeux - Thần thu mây: - Markux Vinixius thốt lên - Bộ sưu tập của cậu mới tuyệt làm sao!
- A rőtszakállúnak magának sincsenek szebb női rabszolgái - jegyzé meg Vinicius.	- Cả đến Râu Đỏ cũng không có được những tấm thân ngà ngọc hơn thế này - Vinixius vừa nói vừa phập phồng hai cánh mũi.
- Egyébiránt tudod, hogy több napot Aulus Plautius mezei lakában töltöttem, mikor a város közelében kezemet kificamítottam?	- Anh là người ruột thịt với tôi, còn tôi thì vừa không vô dụng như Baxxux, vừa không quá cầu kỳ như Aulux Plauxius.
Látta, mily nagyon szenvedtem és maga mellé vett.	- Sao tự nhiên cậu lại nghĩ tới Aulux Plauxius?
Hiszen éppen erről akartam veled beszélni.	Chính cháu định thưa lại với cậu chuyện ấy.
- Miért?	- Vì sao vậy?
Brr!	Brrr!
- Pomponiába - nem!	- Không phải là bà Pomponia đâu, ơ hơ!
- jelenté ki Vinicius.	- Vinixíu nói.
- Hát kibe?	- Thế thì phải lòng ai?
- Csak magam is tudnám bizonyosan, kibe!	- Giá như cháu biết được phải lòng ai!
De még azt se tudom tüzetesen, mi a neve: Ligia-e vagy Callina.	Thậm chí đến tên nàng cháu còn chưa biết rõ: Ligia hay Kalina?
A házban Ligiának hivják, mivel a ligiaiak népéből származik, de azonkívül a barbár Callina nevet is viseli.	Ở trong nhà người ta coi nàng là Ligia vì nàng là người thuộc dân tộc Ligi, song nàng còn có một cái tên man dã nữa là Kalina.
Ugy tetszett, hogy napfelkeltével, a hajnalpirhoz hasonlóan, fénynyé fog feloszlani.	Mãi cho tới một sớm mai kia cháu mới trông thấy nàng đang tắm ở vòi nước phun trong vườn.
Ez idő után még kétszer láttam őt és azóta nem tudom többé, mi a nyugalom, nem tölt be semmi más vágy; akár mit nyujthatna is a város, nem ingerel többé.	Và cháu xin thề trên những đám bọt nước đã sinh ra nữ thần Afrodia rằng ánh bình minh đã xuyên qua suốt thân thể nàng.
Nem kivánok sem asszonyt, sem aranyat, nem óhajtok se korinthusi ércet, se borostyánkövet vagy gyöngyházat, egyedül csak Ligia után sóvárgok.	Cháu cứ ngỡ rằng khi mặt trời lên, nàng sẽ tan biến ra hòa vào ánh sáng như buổi rạng đông trải rộng nơi kia.
- Ha női rabszolga, hát vedd meg!	- Nếu cô ta là nô tỳ thì anh hãy mua lại đi
- Nem rabszolga.	- Nàng đâu có phải là nô tỳ.
- Hát akkor micsoda?	- Vậy thì nàng là ai?
- Hogyan lehetne szabados, ha nem volt rabszolga?	- Nàng chưa bao giờ là nô tỳ, vậy sao lại có thể là nô tỳ giải phóng được.
- Hát ugyan micsoda?	- Thế nghĩa là gì?
- Nem tudom: egy királynak, vagy inkább egy ligiai hadvezérnek a leánya.	- Cháu cũng không rõ nữa: Nàng là công chúa hay thứ gì tương tự như thế.
Még egy vallomást kell tennem.	Thế là chiến tranh nổ ra.
Ázsiából való hazatérésem után egész éjszaka Mopsus templomában maradtam, hogy álmom­ban a jövőbe láthassak.	Vannius bèn cầu viện quân Jazyg, còn mấy đứa cháu yêu quý của ông ta thì lại cầu viện người Ligi.
- De mondd meg legalább, mit akarsz voltaképpen!	- Làm sao anh biết được tất cả những chuyện đó?
- Ligiát akarom.	- Chính Aulux Plauxius kể cho cháu nghe.
Plautius tehát átengedhetné neked, ha akarná.	Khi ấy, cô bé đi theo sau cỗ xe người chiến thắng.
- Rosszul ismered Pomponia Graecinát Egyébiránt mind a kettő úgy ragaszkodik ahhoz a leányhoz, mintha édes gyermekök volna.	- Thế nghĩa là nàng trong suốt như một chiếc bóng đèn hay như một chú cá trích non chăng?
- Ismerem Pomponiát!	- Xin cậu đừng đùa nữa.
A sötét stólát le nem tette Julia halála óta és egyáltalán olyan, mintha már életében az asphodelosszal14 beültetett réten járna.	Trong giấc mơ, chính thần Mopxux hiện ra và bảo cháu rằng, trong đời cháu sẽ có một sự biến đổi lớn lao do tình yêu gây nên.
- Petronius!	- Ôi cậu Petronius!
- Halld tehát, mit akarok mondani, Marcusom.	- Cháu muốn có được Ligia.
Bizonynyal többre becsül, mint a többit valamennyit, mert soha se váltam árulkodóvá, mint például Domitius Afer, Tigellinus és Aenobarbusnak15 egész csapat barátja.	Giá như nàng là nô lệ, thì để có được nàng, cháu sẵn sàng đổi cho ông Aulux một trăm thiếu nữ chân bôi vôi trắng ra dấu là họ bị mang bán lần đầu tiên.
Éppen nem akarom a stoikust játszani, de nagyon gyakran felkölté visszatetszésemet Nerónak nem egy cselekvésmódja, melyre Seneca és Burrus szemet hunytak.	- Nàng tuy không phải là nô lệ nhưng vẫn thuộc đám gia nhân của Plauxius, và vì rằng nàng là một đứa trẻ bị bỏ rơi nên có thể xem như gia nhân.
- Ugy hiszem, lehetséges lenne.	- Bà Pomponia thì cậu biết.
Befolyásod van reá és találékonyságod kifogyhatatlan.	Quả là một biểu tượng của tang tóc.
Ha mindent megfontolnál és beszélnél Plautiusszal...	- Ôi cậu bảo anh cái này vậy nhé, Marck của cậu!
- Ugyan túlságos jó véleményben vagy befolyásom, éleselmüségem felől; de ha súlyt vetsz reá, édes-örömest beszélek Plautiusszal, mihelyt övéivel a városba költözött.	Không cố tỏ ra cương trực, song cũng đã nhiều lần cậu cau mặt trước những hành vi này khác của Nêrô, những hành vi mà Xeneka và Burux chỉ dám he hé mắt nhìn.
- Már két nappal ezelőtt mindnyájan visszatértek.	- Cháu nghĩ rằng cậu hoàn toàn có thể làm được.
- Akkor most menjünk a trikliniumba, ahol a reggeli vár reánk s aztán újra megerősödve, Plautiushoz vitetjük magunkat.	Cậu có ảnh hưởng đối với ông ta, thêm nữa trí óc cậu chứa biết bao phương sách nhiệm mầu.
- Mindig szerettelek!	- Họ đã về được hai hôm rồi ạ.
- kiáltá hévvel Vinicius, - de most legjobban szeretném szobrodat - oly szépen, mint ez itt - lareseim közé állítani és neki áldozatot bemutatni.	- Cậu bao giờ cũng chiều cháu - Vinixius hoan hỉ thốt lên - song lần này có lẽ cháu phải cho đặt tượng của cậu vào nơi thờ các gia thần nhà cháu để có thể dâng lễ vật lên cậu - Ồ, một pho tượng đẹp ngang pho tượng này này!
- Helios fényességére, - tevé aztán hozzá - ha az isteni Alexander hozzád hasonló volt, nem lehet Helénán csodálkozni.	Nếu như Alekxander thiên thần mà giống được như cậu thì không có gì phải ngạc nhiên với nàng Helena cả!
E fölkiáltásban épp annyi őszinteség volt, mint hízelgés, mert Petronius szépségre nézve még Viniciust is fölülmulta, jóllehet öregebb és kevésbbé athlétai termetü volt nálánál.	Trong tiếng kêu đó có bao nhiêu hàm ý tán tụng thì cũng có bấy nhiêu phần chân thành, vì mặc dù lớn tuổi và ít lực lưỡng hơn, song Petronius trông còn xinh đẹp hơn cả Vinixius.
A római nők tehát nemcsak Petronius finom szellemét, ügyességét és ízlését csodálták, a melyért "arbiter elegantiaruma"16 nevet kapott, hanem megjelenésének előkelőségét is.	Phụ nữ Roma không chỉ thán phục trí tuệ mẫn tiệp và óc thẩm mĩ tinh tế của ông - điều khiến ông được gọi là người phân định những chuyện hào hoa phong nhã - mà còn ngưỡng mộ cả thân hình ông nữa.
Kivált egyikök, a kit Eunicenek hivtak, alázattal és elragadtatással telve nézett szemébe, hiszen titokban szerette őt.	Trong số đó có một nàng tên là Eunixe thầm yêu ông, nàng đang nhìn vào mắt ông với vẻ đắm say và kính cẩn.
Eunice az unctoriumban maradt.	- Animal impudens… etc…
A nap sugárzó fénye elözönlé az unctoriumot és szivárványszíneket vetett a márványra, melylyel a falak ki voltak rakva.	Hai thiếu nữ Hi Lạp, hai thiếu nữ Frygia và hai thiếu nữ da đen còn lại trong phòng xức dầu bắt đầu thu dọn các thứ dầu thơm khác.
Eunice a székre állt - és mikor urának szobrával szemközt volt, hirtelen nyaka köré fonta kar­jait, sűrű arany haját hátra vetette, a fehér márványhoz simult és szenvedélyesen meg­csókolta Petronius képét.	Trong các buồng tắm bắt đầu diễn ra một cảnh phóng túng và trụy lạc mà viên nội giám không hề ngăn cản, bởi chính gã cũng nhiều phen tham gia vào những trò phóng đãng tương tự.
A falatozás után, melyet ugyan első reggelinek hivtak, melyhez azonban a két társ oly időben ült le, mikor a közönséges halandó már a déli prandiumot is rég elfelejtette, Petronius azt indítványozta, hogy kissé pihenjenek le.	Nàng lắng nghe những giọng nói, tiếng cười xa dần về phía phòng tắm hơi rồi nhấc chiếc ghế đẩu hổ phách và ngà voi mà Petronius vừa ngồi lúc nãy, nàng thận trọng tiến đến gần pho tượng của ông.
Vannak ugyan emberek, mondá, kik ismerőseiket napfelkeltekor látogatják s ezt ennek folytán ősrégi római szokásnak tartják.	Sau bữa ăn được gọi là bữa điểm tâm mà hai cậu cháu dùng vào lúc những kẻ phàm tục khác đã ăn xong bữa trưa từ lâu.
De ő, Petronius, ezt barbárságnak tartja.	Petronius bảo nên chợp mắt một lát.
Ő a délutáni órákat véli a legalkalmasabbaknak arra, hogy látogatásokat tegyenek, de akkor is várni kell addig, míg a nap Zeus templomának oldalára ér a Kapitoliumon és rézsutosan áll a Fórumon.	Quả tình cũng có những kẻ đi thăm người quen ngay từ lúc mặt trời mọc, mà lại còn coi đó là phong tục cổ của La Mã, nhưng ông Petronius thì coi đó là một tập tục dã man.
Őszkor még meleg szokott lenni Rómában, azért minden embernek tanácsos étkezés után aludni.	Về mùa thu, thường hãy còn khá nóng nực, và người ta thích ngủ sau khi ăn cơm.
Hiszen olyan jól esik a szökőkutak csobogását hallgatni az atriumban, és a kötelességszerü ezer lépés után a félig behuzott, bíbor velarium által előidézett, vöröses világításban szép lassacskán elszenderülni.	Vào lúc ấy, quả thật là dễ chịu được lắng nghe tiếng lao xao của vòi nước phun trong chính sảnh thông thiên, rồi khi bước một nghìn bước bắt buộc, được chợp mắt trong ánh sáng màu đỏ mọc qua tấm che màu tía đã hạ xuống lưng chúng.
Vinicius helyeselte Petronius szavait s így föl és alá lépdeltek, miközben könnyedén megbeszélték a Palatinuson és a városban előfordult eseményeket s egy kissé elbölcselkedtek az élet viszonyai felől.	Vinixius thừa nhận là ông nói có lý và họ vừa bắt đầu dạo bước vừa trao đổi một cách phóng túng về những chuyện ở cung điện Palalyn và trong thành phố có pha đôi chút triết lý về cuộc đời.
Petronius aztán a cubiculumba ment, de nem sokáig aludt.	Rồi Petronius sang phòng ngủ, song ông chỉ chợp mắt một lát.
- Nem hiszed, - jegyzé meg - mennyire fölélénkíti és frissíti ez az embert.	- Hẳn là anh không tin, - ông nói - nhưng thứ này làm người khỏe ra và tỉnh táo hẳn lên.
A gyaloghintó már rég az ajtó előtt állt; beszálltak tehát és megparancsolták, hogy a Vicus Patriciusba, Aulus házához vigyék.	Kiệu chờ sẵn đã lâu, họ bèn ngồi vào kiệu và ra lệnh cáng tới Vieux Patrixius, tới nhà ông Aulux.
Petronius insulája a Palatinus déli lejtőjén feküdt, nem messze az úgynevezett Carinaetől.17 A legrövidebb út tehát a Fórum alján vitt volna oda, de mivel Petronius egyúttal Idomen ékszerészhez is be akart szólni, azt parancsolta, hogy a Vicus Apollinison és a Fórumon át, a Vicus Sceleratus felé vigyék, amelynek sarkán a legkülönfélébb tabernák18 voltak.	Khu dinh thự của Petronius nằm trên sườn phía nam đồi Palutyn, gần nơi được gọi là Carinae, nên đường gần nhất là đi ngang qua phía dưới Forum, nhưng vì Petronius còn muốn ghé qua chỗ lão thợ kim hoàn Idomen, nên ông ra lệnh cáng qua Vieux Apolinix và Forum về phía Vieux Xeleratux, tại góc phố đó có bày bán đủ mọi loại tủ đựng đồ thờ cúng.
- Éppen eszembe jut, hogy erdei nimfád, ha nem rabszolga, elhagyhatná Plautius házát és a tiedbe költözhetnék.	- Cậu chợt nghĩ rằng, nếu như nữ thần rừng của anh không phải là nô tỳ, thì nàng có thể bỏ nhà ông Plauxius sang ở nhà anh.
- Nem akarod belátni?	Markux lắc đầu.
- kérdé Petronius.	- Không à?
- Nem ismered Ligiát!	- Cậu không hiểu Ligia!
- veté ellen Vinicius.	- Vinixius đáp
- Engedd meg azt a kérdést, vajjon másképp ismered-e őt, mint látásból?	- Vậy thì anh hãy cho phép tôi được hỏi, anh hiểu cô ta chứ?
- Először a szökőkútnál láttam és aztán még csak kétszer találkoztam vele.	- Đầu tiên cháu nhìn thấy nàng bên bể nước phun, rồi sau đó cháu còn gặp nàng hai lần nữa.
Ne feledd, hogy Aulus mezei lakában való tartózkodásom alatt a vendégeknek szánt melléképületben laktam és kificamított kezem miatt nem vehettem részt a közös étkezéseken.	Cậu biết chứ, hồi còn ở nhà ông Aulux, cháu ở trong một vila riêng dành cho khách, cháu cũng không thể ngồi ăn chung với gia đình họ vì tay cháu bị dập thương.
Aulusra kellett hallgatnom, aki Britanniában kivívott győzelméről beszélt, aztán a kis emberek pusztulásáról Itáliában, amelyet Licinius Stolo iparkodott meggátolni.	Cháu phải ngồi nghe ông Aulux kể lể về những chiến công mà ông ta đã lập nên ở Brytania, rồi về sự phá sản của các tiểu trang trại ở Italia.
Aztán még egyszer láttam Ligiát a cisternánál a kertben; frissen kitépett sást tartott kezében, melynek bugáját vizbe mártotta, hogy a köröskörül nőtt irisz virágokat megpermetezze.	Lần thứ hai cháu gặp nàng bên cạnh bể chứa nước ngoài vườn, với một cây lau vừa rứt đứt cầm trong tay, nàng nhúng đầu có lá xuống nước và vẩy nước tưới cho những khóm diên vĩ mọc gần đấy.
Petronius szinte irigységgel nézett Viniciusra.	Petronius nhìn chàng với một vẻ gần như ghen tỵ:
- Te szerencsés ember! - kiáltá.	- Sung sướng thay!
- Bármennyi rosszat rejt is magában a világ és az élet, egy mégis örökké szép marad bennök: az ifjúság!	- ông nói - Dù thế giới, dù cuộc đời có tệ hại đến đâu đi nữa, trong đó vẫn còn có một điều tốt lành vĩnh hằng: tuổi thanh xuân.
És nem szólítottad meg őt?	Rồi một lát sau ông hỏi:
- kérdé aztán rövid szünet mulva.	- Thế anh không nói gì với nàng ư?
- Ó igen!	- Có chứ ạ!
Ő szintén zavarral, lesütött fejjel hallgatta szavaimat, miközben a sással a sáfránysárga homokba rajzolgatott.	Nghe những lời cháu nói nàng cũng bối rối, và cúi đầu xuống, nàng dùng ngọn lau vẽ gì đó lên mặt cát vàng.
Hirtelen fölpillantott, aztán pedig ujfent az általa húzott vonásokra nézett, mire szemét reám szögezte, mintha kérdezni akarna valamit - s egyszerre csak elfutott, mint egy hamadryad, mely egy bárdolatlan faun elől menekül.	Rồi nàng đưa mắt nhìn những hình vẽ ấy một lần nữa, rồi nhìn cháu, dường như muốn hỏi điều chi đó, và bỗng nhiên nàng bỏ chạy như một nàng tiên chạy trốn thần Đồng Nội ngẩn ngơ.
- Bizonynyal szép szeme van?	- Hẳn mẳt nàng đẹp lắm?
- Oly mély, mint a tenger, és én beléje mélyedtem, mint a tengerbe.	- Hệt như biển vậy, thưa cậu, còn cháu thì chìm trong mắt nàng như chìm trong biển vậy.
- Ó Athéne!	- Hỡi nữ thần Atena!
- kiáltá most Petronius, - vedd le ennek a fiúnak a szeméről a köteléket, melyet Eros tett reá, mert még szétzúzza fejét a Venus-templom oszlopain.	- Petronius thốt lên - xin hãy tháo gỡ cho đứa trẻ này mảnh băng bịt mắt mà thần ái tình Erox đã buộc vào, bằng không nó sẽ bị va vỡ đầu vào cột đền thờ nữ thần Venux mất thôi.
Inkább Gelocius házába kellene téged vitetnem, mint Plautiushoz, ahol az életben járatlan gyermekek iskolája van.	Thay vì đến nhà Plauxius, lẽ ra ta phải mang anh đến nhà Galoxius, nơi có trường dậy dỗ những đứa trẻ chưa hiểu mùi đời.
- Mit akarsz tulajdonképpen?	- Cậu muốn gì vậy?
- Mondd csak, hát mit rajzolt a homokba?	- Thế nàng vẽ cái gì trên mặt cát?
- Ha más valamit, mint amit gyanítottam, nem találom ki.	- Nếu như là cái gì khác những điều cậu nghĩ thì cậu xin chịu.
- Halat.21	- Một con cá.
- Mit mondasz?	- Anh nói sao?
- Azt mondom: halat.	- Cháu nói: một con cá!
