STEFAN ZWEIG	KỲ THỦ
A másik partinál ugyanaz történt.	Ván thứ hai cũng diễn ra như vậy.
- Bálám szamara!	- Đúng là chú lừa của Balsam !
- kiáltott fel meglepetten a lelkész, amikor visszatért.	– Khi quay về, vị linh mục sửng sốt kêu lên.
És a bibliában kevésbé járatos csendőrőrmester kedvéért hozzáfűzte, hogy már kétezer évvel ezelőtt is hasonló csoda történt, mikor is egy lelketlen állat a bölcsesség nyelvén szólalt meg.	Rồi ông giảng giải cho viên đội, vì ông ta không hiểu rõ Kinh Thánh bằng ông, rằng trước đây hai nghìn năm cũng đã từng có một chuyện kỳ lạ tương tự, một người câm bỗng nói ra những lời vô cùng khôn ngoan.
Szívósan, lassan, rendíthetetlen nyugalommal játszott, anélkül, hogy csak egyszer is felemelte volna alacsony homlokát.	Chú có cách đánh chậm rãi, bền bỉ, điềm tĩnh và chiếc trán rộng của chú luôn cúi trên bàn cờ.
A pap, aki mindenkinél jobban tudhatta, milyen fogyatékosak voltak neveltjének más irányú képességei, most már tudni szerette volna, vajon ezek után komoly próbát is kiáll-e a fiú különös tehetsége.	Là người hiểu rõ hơn ai hết mức độ tiếp thu chậm của chú học trò của mình trong những lĩnh vực khác, cha xứ tò mò muốn biết rõ khả năng năng khiếu đặc biệt này đến đâu.
Miután a borbélynál lenyíratta szalmasárga bozontját, hogy némiképpen szalonképessé tegye, felültette a szánjára, és a szomszédos városba hajtott.	Ông dẫn Xzentôvic tới bác thợ cắt tóc trong làng để tỉa bớt mái tóc bù xù màu vàng rơm của chú trông cho dễ coi rồi dùng xe trượt tuyết đưa chú ra thành phố nhỏ bé nằm cạnh làng.
Jól ismerte itt a főtéri kávéház egyik sarkában ülő szenvedélyes sakkozókat, akik már sok ízben különb játékosoknak bizonyultak nálánál.	Ở đấy ông quen mấy người rất mê đánh cờ, đánh khá hơn ông, và lúc nào cũng thấy ngồi trong một góc quán cà phê tại Quảng trường lớn.
Nem kis meglepetést keltett a pap a sakkozók körében, amint betuszkolta a kávéház ajtaján a szalmaszőke, pirospozsgás tizenöt éves parasztlegényt, aki most is befelé fordított báránybőrbekecsét és ráncos csizmáját viselte.	Khi cha xứ bước vào quán, đẩy ở trước mặt mình chú bé mười lăm tuổi, tóc vàng nhạt, má đỏ ửng, vai quàng tấm da cừu lộn thì mấy vị khách quen thuộc của quán đều mở tròn mắt ngạc nhiên.
Az első játszmában Mirko vereséget szenvedett, mert az úgynevezett szicíliai nyitást a derék papnál sohasem láthatta.	Ván đầu chú bị thua vì chưa bao giờ thấy vị đỡ đầu tuyệt diệu của mình lẫn ông đội khai cuộc theo kiểu Xixia.
A második partiban már a legjobb játékossal szemben remis-t ért el, a harmadik és negyedik játszmától fogva egyiket a másik után verte meg.	Ván thứ hai chú chơi hòa với người đánh cờ giỏi nhất hội và các ván sau đó chú liên tiếp hạ tất.
Az ilyen kis délszláv vidéki városkában igen ritkán történik valami rendkívüli, s így parasztbajnokunk első fellépése nagy feltűnést keltett az egybegyűlt előkelőségek körében.	Một sự kiện hồi hộp đã diễn ra tại một thành phố nhỏ ở Nam Tư và các vị thân hào đã chứng kiến những bước đầu của nhà vô địch một làng quê như vậy đấy.
Egyhangúlag elhatároztatott, hogy a csodagyereknek feltétlenül a városban kell maradnia másnapig, hogy a klub valamennyi tagját értesíthessék, főként Simczic grófot, a fanatikus sakkjátékost és sakkmecénást, aki kastélyában tartózkodott.	Mọi người nhất trí lưu chú bé thần đồng lại đến sáng mai để có thể thông báo về sự hiện diện của chú với các hội viên khác của hội và nhất là với bá tước Ximxzic - một người đánh cờ say mê cuồng nhiệt.
A pap most már büszkén tekintett neveltjére, de a vasárnapi misét felfedezésének örömére sem akarta elmulasztani.	Cha xứ đưa mắt nhìn cậu học trò của mình với niềm tự hào mới, nhưng ông không thể chểnh mảng nghĩa vụ đối với Chúa.
Beleegyezett tehát abba, hogy Mirko Czentovic a városban maradjon, és további próbáknak vessék alá.	Ông tuyên bố sẵn sàng cho phép Xzentôvic ở lại với mấy vị để chú có thể chứng minh rõ hơn nữa tài năng của mình.
Végül a városbeliek szimultán-partit javasoltak.	Có người đề nghị chú đánh nhiều ván cùng một lúc.
Jó ideig tartott, míg a tanulatlan fiú megértette, hogy szimultán játszmánál egyedül játszik különböző ellenfelek ellen.	Phải chật vật lắm mới giải thích để chú hiểu rõ là trong ván cờ như vậy một mình chú phải đấu với nhiều đấu thủ.
Bár a fiatal bajnok voltaképpen nem volt a város polgára, az esemény mégis a legnagyobb mértékben felkeltette a helybeliek lokálpatrio­tizmusát.	Thực ra cứ chẻ hoe mà nói, nhà vô địch mới không phải người gốc gác trong tỉnh, nhưng đầu óc cục bộ đã được thức tỉnh.
Az a tisztesség éri talán végre ezt a kis várost, melyet eddig alig vettek észre a térképen, hogy híres embert küldhet a világba.	Biết đâu cái địa phương nhỏ bé tìm mãi mới thấy trên bản đồ này lại sẽ chẳng rạng rỡ vì đã sản sinh một nhân vật nổi tiếng.
Egy Koller nevű ügynök, aki egyébként chansonokat és énekesnőket szerzett a garnizon kabaréja számára, vállalkozott arra, hogy kiképezteti Bécsben a fiatalembert az egyik kevéssé ismert, de kiváló sakkmesternél, ha vállalják egy évig a költségek fedezését.	Kenlơ, một ông bầu sân khấu chuyên cung cấp các bài ca và nữ ca sĩ cho quán rượu ở đồn trú, nhận đưa chú bé kỳ dị đi Viên, như ông ta nói, tới chỗ một bậc thầy lỗi lạc để xin thụ giáo học lấy nghệ thuật của ông thầy.
Tökéletesen képtelen volt ugyanis arra, hogy egy partit fejből, azaz, ahogy sakknyelven mondják, vakon játsszon le.	Bước đường công danh khác thường của chú bé con một bác chèo thuyền đã bắt đầu như vậy đấy.
E furcsa jelenség cseppet sem zavarta Mirko pályájának merész ívelését.	Chú hoàn toàn không có khả năng hình dung một bàn cờ ở trong đầu mình.
Tizenhét éves korában már tucatnyi sakkdíjat nyert, tizennyolc éves korában magyar bajnok lett, huszadik életévében pedig világbajnok.	Nhất thiết chú phải thấy rõ ở trước mắt mình, sờ được sáu mươi tư ô đen, trắng và tóm được ba mươi hai quân cờ.
Így történt, hogy a szellemi fölény különböző típusait, filozófusokat, matematikusokat, számító, képzelő s gyakran alkotó elméket egyesítő illusztris sakkbajnok-táborba először tört be egy ilyen intellektuális outsider, ez az ostoba parasztfiú, akiből a legügyesebb újságíró sem tudott egyetlen publicisztikailag használható szót kihúzni.	Thiếu sót này - tự bản thân nó chẳng có gì là ghê gớm lắm – cho thấy khá rõ Xzentôvic không giàu đầu óc tưởng tượng và những người sống xung quanh chú liền túm lấy chi tiết đó mà bình luận sôi nổi như trong giới nhạc sĩ đã từng bình luận về một nhạc sĩ điêu luyện hay một nhạc trưởng nổi tiếng không thể chơi nhạc hoặc điều khiển một dàn nhạc nếu không có bản đàn bè mở rộng ở trước mặt.
De az el nem mondott csiszolt mondatokért bőségesen kárpótolta őket Czentovic a személye körül keletkezett anekdotakinccsel.	Nhưng đặc điểm này hoàn toàn không làm chậm những bước tiến đến sửng sốt của Xzentôvic.
Ugyanis, alighogy felkelt a sakkasztal mellől, ahol verhetetlen bajnoknak bizonyult, óhatatlanul groteszk, csaknem komikus alakká vedlett át.	Mười bảy tuổi, anh đoạt trên chục giải; mười tám tuổi anh đã là nhà vô địch ở Hunggari; còn hai mươi tuổi – vô địch thế giới.
Ünnepélyes, fekete öltönye, pompás nyakkendője, kissé hivalkodó nyakkendőtűje, gondosan manikűrözött körmei ellenére, mozdulataiban, modorában ugyanaz a korlátolt parasztfiú maradt, aki annak idején a pap szobáját söpörte fel.	Những người đánh cờ mạnh dạn nhất nghĩa là về mặt trí tuệ, đầu óc tưởng tượng táo bạo họ vượt rất xa anh, song không thể chịu đựng được cái lôgic khe khắt và lạnh lùng của anh.
Városról városra utazott, a legolcsóbb hotelszobát szemelte ki, a legsiralmasabb egyletekben játszott, ha megfizették a kívánt honoráriumot; szappanreklámokon díszelgett a képe, sőt odaadta a nevét "A sakkjáték filozófiája" című könyvhöz, melyet valamilyen kis galíciai diák írt egy élelmes kiadó megbízásából, s mit sem törődött a konkurrensek gúnyolódásával, kik pontosan tudták, hogy Czentovic három mondatot sem tud helyesen leírni.	Cho tới lúc đó, bộ sưu tập lừng danh tên tuổi các bậc thầy đánh cờ, gồm đủ loại những nhân vật thông minh, những nhà hiền triết, nhà toán học, những bộ óc giàu trí tưởng tượng và thường là đầy sáng tạo, từ nay được bổ sung thêm một người xa lạ với giới trí tuệ, đó là anh chàng nông dân vụng về và ít nói mà các nhà báo tài ba nhất cũng chẳng bao giờ khai thác được một lời nào để viết bài.
S az a tudat, hogy ezeket az okos, kifinomult, szellemes írókat és társalgókat saját birodalmukban győzte le, s mindenekelőtt az a nyilvánvaló tény, hogy náluknál többet keres, korábbi félszegségét hideg és többnyire esetlen formában megnyilvánuló büszkeséggé változtatta.	Tuy bàn tay anh được chăm chút và móng tay siêng đánh bóng, anh vẫn có những cử chỉ và thái độ của một chàng nông dân thiển cận trước đây đã từng quét dọn buồng ông cha xứ của mình.
- De hogyisne szédített volna meg ilyen üres fejű embert ez a gyors dicsőség - fejezte be barátom, miután éppen Czentovic gyermekded prepotenciájának néhány klasszikus esetéről emlékezett meg.	Với tính vụng về và trâng tráo đến trơ trẽn làm các bạn đồng sự của mình khi vui lúc bực, anh chỉ nghĩ cách khai thác tài năng và tên tuổi của mình để kiếm được thật nhiều tiền.
Egyébként átkozottul könnyen tarthatja magát nagy embernek, mikor halvány sejtelme sincs arról, hogy élt valaha egy Rembrandt, egy Beethoven, egy Dante, egy Napóleon.	Anh đi đây đi đó nhiều, nhưng chỉ ở độc mỗi khách sạn hạng ba, thậm chí nhận đánh cờ trong những câu lạc bộ rất ít người biết tên, miễn sao được nhận tiền thù lao.
A kölyök szűk elméjében csak egy gondolat élt, hogy hónapok óta egyetlen sakkpartit sem vesztett, s minthogy fel sem ötlik benne, hogy sakkon és pénzen kívül más értékek is vannak a földön, minden oka megvan rá, hogy el legyen ragadtatva önmagától.	Người ta thấy hình anh trên một tấm áp phích quảng cáo cho một loại xà phòng và anh chẳng bận tâm tới những kẻ hay chế giễu khi biết anh không viết đúng nổi một câu, anh đã bán chữ ký của mình cho một người xuất bản in một thứ "triết lý chơi cờ".
Barátom elbeszélése a legnagyobb mértékben felkeltette kíváncsiságomat.	Như tất cả những kẻ ngang bướng, Xzentôvic không biết thế nào là lố bịch.
Éppen ezek az emberek, akik látszólag elfordultak a világtól, a maguk területén a termeszek vakbuzgalmával építik fel a világ­mindenség sajátos, egyszeri, miniatűr mását, így hát nem is titkoltam barátom előtt, hogy tizenkét napos utunk alatt, míg Rióba érünk, szeretném majd közelebbről szemügyre venni az intellektuális egyoldalúságnak ezt a különös példányát.	Anh ý thức là mình đã thắng những người thông minh, những người hay chuyện tài ba và viết rất giỏi, nhất là anh cho rằng mình kiếm được nhiều tiền hơn họ, do đó anh không còn giữ được tính rụt rè bẩm sinh và trở nên tự phụ một cách lạnh lùng mà anh đã để lộ ra một cách thô bạo.
Utazásunk első napjaiban egyszerűen képtelen voltam ízléstelen tolakodás nélkül - ami végtére nem a kenyerem - Czentovic közelébe férkőzni.	Những người say mê một ý tưởng duy nhất thường làm tôi phải suy nghĩ, vì một trí lực càng có giới hạn thì nó càng vượt lên đạt tới cái vô tận.
Amint ezt bizalmas kérdezősködésem eredményeképpen sikerült a stewardtól megtudnom, a nap nagy részét kabinjában tölti, és hatalmas sakktábla fölött játszmákat tanulmányoz, játszmákat gyakorol.	- Anh ít có khả năng đạt được mục đích đấy, - bạn tôi báo trước – Theo chỗ tôi biết, chưa ai khai thác được ở Xzentôvic một thông tin mang tính chất tâm lý nào.
Három nap múlva már komolyan bosszantott, hogy ügyes elhárító taktikája eredmé­nye­sebbnek bizonyult makacs ismerkedési szándékomnál.	Anh chàng này khá khôn ngoan lấp liếm sự ngu đần vô cùng tận của mình để thanh danh chẳng bao giờ bị tổn hại cả.
Sohasem nyílott még alkalom életemben, hogy egy sakkmesterrel személyes ismeretséget kössek, s minél jobban igyekeztem beleélni magam e típus lelkivilágába, annál elképzelhetetlenebbnek éreztem, hogy emberi elme egy életen át kizárólag hatvannégy fekete és fehér négyzet körül keringjen.	Vừa đánh hơi thấy một người có văn hóa, anh liền chui tọt ngay vào vỏ; do đó không ai dám huênh hoang khoe rằng mình đã nghe thấy Xzentôvic nói một điều gì ngu ngốc hoặc đã thăm dò được mức độ dốt nát của anh ta đến đâu.
Jól ismertem ezt a játékot, mely egyedül áll az emberteremtette játékok között, mert teljesen kivonja magát a véletlen zsarnoki uralma alól, és a győzelmi pálmát kizárólag a szellemnek, helyesebben a szellemi tevékenység egy bizonyos válfajának adja át.	Những ngày đầu của cuộc hành trình, tôi phải công nhận là không thể tiếp cận được Xzentôvic, ngoại trừ phải giở cái trò lộ liễu thô bạo không hợp khẩu vị cũng như thói quen của tôi.
De nem sértő korlátozás-e a sakkot egyszerűen játéknak nevezni?	Người ta không thấy anh tới quầy rượu, cả phòng hút thuốc lẫn phòng khách.
Nem tudomány, nem művészet-e egyúttal, mely úgy lebeg e kategóriák között, mint Mohamed koporsója ég és föld között?	Chiêu đãi viên thổ lộ với tôi rằng anh thường ở lì trong phòng mình để luyện trước một bàn cờ rộng.
S mindezek ellenére lényében és létében tartósabbnak bizonyult minden törvénynél, minden más alkotásnál.	Nhưng nếu gọi nó là một trò chơi thì phải chăng đây là một sự hạn chế mang tính chất thóa mạ ?
Egyetlen játék, amelyet minden idők minden népe egyaránt magáénak vallott, s amelyről senki sem tudja, melyik isten hozta a földre, hogy unalmat űzzön, elmét élesítsen, lelkeket hevítsen.	Phải chăng nó cũng là một khoa học, một bộ môn nghệ thuật, hoặc một bộ môn gì đó lơ lửng giữa khoa học và nghệ thuật như linh cữu của Mahômet treo lơ lửng giữa đất trời ?
S mennyire izgathatta az ilyen fiziognómust Czentovic esete, ahol ez a sajátos géniusz teljes intellektuális renyheségbe ágyazva jelenik meg, mint a hatalmas kőtömbben húzódó, keskeny aranyér.	Tính kiên nhẫn và kỹ thuật gặp nhau tại bàn cờ và muốn có được những tìm tòi mới lạ như trong toán học, trong thơ ca, trong âm nhạc thì phải có cách nhìn nhận tinh anh.
Nehéz, igen nehéz olyan embert elgondolnunk, olyan intellektust, aki nem őrül bele abba, hogy tíz, húsz, harminc, negyven éven át csupán annak az egyetlen nevetséges célnak szenteli teljes szellemi energiáját, hogy sarokba szorítson egy fakirályt a sakktáblán.	Làm sao có thể tưởng tượng được một người đã coi cái việc khai cuộc bằng một quân Mã hơn bất kỳ một con Binh nào là một chiến công và ghi phần đóng góp nhỏ bé thảm hại bất tử của mình vào góc một cuốn sách dành cho môn cờ !
S most, amikor először lakik tőszomszédságomban ilyen különös lángelme, ilyen rejtélyes csodabogár, mikor ugyanegy hajón utazunk, hat kabin távolságban egymástól, és én szegény szerencsétlen, kiben az intellektuális kíváncsiság minduntalan szenvedéllyé fajul, képtelen vagyok közelébe férkőzni.	Cuối cùng, làm sao có thể hình dung một con người thông minh đã tập trung trong suốt mười, hai mươi, ba mươi, bốn chục năm toàn bộ suy nghĩ của mình vào một cái đích kỳ cục là dồn một quân Tướng bằng gỗ vào góc một tấm gỗ mà không bị điên đầu !
De végül is eszembe jutott, hogy a vadászoknak úgy sikerül legkönnyebben a fajdkakast magukhoz csalni, hogy a dürgését utánozzák.	Tôi liền nghĩ ra đủ mọi mưu kế hết sức phi lý : tôi cứ xưng bừa mình là người của một tờ báo lớn, yêu cầu phỏng vấn anh ta ?
Ha le is ültem egy órára a sakktábla mellé, ez sohasem azért történt, hogy megerőltessem az agyamat, hanem éppen ellenkezőleg, azért, hogy feloldjak valami szellemi feszültséget.	Thực tình mà nói tôi không phải là một nghệ sĩ nghiêm túc trong lĩnh vực này, vì thích thì tôi đánh cờ thế thôi, tôi ngồi vào bàn cờ chẳng qua là để đầu óc bớt căng thẳng.
Leültem feleségemmel a dohányzóban a sakktábla elé, holott ő még nálam is gyöngébben játszik.	Để thu hút những người ham cờ, nếu có ở trên tàu, hai vợ chồng tôi ngồi chơi cờ trong phòng hút thuốc lá.
S valóban még hat lépést sem tettünk, már megállt mellettünk az egyik sétáló utas, utána egy második kért meg bennünket, hogy végignézhesse a játszmát.	Hai chúng tôi mới đi được sáu nước thì một người đi dạo chơi và rồi một người nữa dừng chân xin phép được đứng xem.
Végül megjelent a várva várt partner, aki kihívott egy partira.	Sau đó một người yêu cầu tôi đánh với ông ta một ván.
Ez a keménykötésű self-made-man annyira megszokta, hogy minden téren érvényesül, és annyira elkényeztették a vitathatatlan sikerek, hogy fölényének rendíthetetlen tudatában, mindennemű ellenállást láza­dás­nak, csaknem szabályos sértésnek vett.	Quen áp đặt một cách thô bạo và được nuông chiều trước những thắng lợi trong thực tế, selfmade man thô kệch này đã thấm nhuần ưu thế của mình, nên đã coi mọi sự chống đối là lộn xộn và gần như là một sự lăng nhục.
Miután elvesztette az első partit, elkomorodott, és körülményesen, ellentmondást nem tűrő hangon magyarázta el, hogy mindez csupán pillanatnyi figyelmetlenségének következménye lehet.	Thua ván đầu, ông ta nhăn nhó rất khó chịu, liến thoắng giải thích với giọng trịch thượng, mình sở dĩ thua vì đã có giây phút lơ đễnh.
Három játszma után a szomszédos szoba zajongó közönségét tette vereségéért felelőssé, és ahogy egy partit elvesztett, azonnal revánsot kért.	Thua ván thứ ba, ông ta đổ tại tiếng ồn ở phòng bên cạnh ; hễ thua là ông ta đòi gỡ bằng được.
Eleinte mulattatott makacs önteltsége, később pedig tudomásul vettem, hogy olyan elkerülhetetlen kísérő jelenségről van szó, mely nélkül nem csalhatom a sakkmestert asztalunkhoz.	Thoạt đầu, tôi thấy vui vui trước thái độ kịch liệt cố chấp ấy, sau tôi chỉ còn coi đây là một tiểu tiết không ảnh hưởng gì tới dự định của tôi.
Tény az, hogy mikor észrevette, hogy illetéktelenül belekontárkodunk mesterségébe, önkéntelenül közelebb lépett, s tiszteletteljes távolból bíráló pillantást vetett a sakktáblára.	Dù sao chúng tôi cũng thấy anh ngập ngừng bước về phía chúng tôi và từ xa đưa cặp mắt sành sỏi nhìn bàn cờ chúng tôi đang tập tọe thực hành cái nghệ thuật của anh.
Ahogy mi ösztönösen félretoljuk a könyvkereskedésben a felkínált rossz detektívregényt, s még csak fel se lapozzuk, ugyanolyan mozdulattal fordult el a sakktáblánktól, s elhagyta a dohányzót.	Khi lánh ra xa bàn của chúng tôi và rời khỏi phòng hút thuốc, Xzentôvic có thái độ hệt như một người đã gạt một cuốn tiểu thuyết trinh thám tồi ra khỏi giá bày của hiệu sách mà không buồn giở ra coi nữa.
"Megméretett és könnyűnek találtatott" - gondoltam magamban, és kissé bosszantott ez a hűvös, megvető pillantás.	"Đã cân nhưng thấy quá nhẹ", tôi nhủ thầm, bụng hơi phật ý trước cái vẻ khinh khỉnh ấy.
- Úgy látszik, a mester nem volt a lépésével megelégedve.	- Xem ra nước đi của ông không làm cho bậc thầy thú lắm.
- Micsoda mester?	- Bậc thầy nào ?
Olyan izgatott lett, hogy elfeledkezett a játszmáról, és szinte hallani lehetett becsvágyának lüktetését.	- Thôi, - tôi nói tiếp, - chúng ta đành chịu nhục vậy và nhắm mắt làm ngơ trước thái độ khinh miệt của anh ta.
Soha életében nem játszott még világbajnokkal, csupán egyszer szimultán partiban, másik negyven emberrel együtt.	Nhưng những lời tôi vừa nói với giọng dửng dưng đã có tác động rất ghê đến MácCônno.
Már ez is hallatlanul érdekfeszítő volt, s csaknem megnyerte a partit.	Ông ta đã bị kích động mạnh và quên béng ván cờ vừa bắt đầu chơi.
Hogy ismerem-e személyesen a sakkbajnokot?	Tính kiêu căng bừng bừng bốc lên mặt ông.
Hogy nem akarom-e megszólítani és az asztalunkhoz hívni?	MácCônno hỏi tôi có quen nhân vật lỗi lạc đó không.
Ezt is elhárítottam, mégpedig azzal a megokolással, hogy Czentovic tudtommal nem óhajt új ismeretségeket kötni.	Thấy tôi đáp là không quen, ông gợi ý tôi nên lân la làm quen và yêu cầu anh đến đánh cờ với chúng tôi.
Különben is mi érdeke fűződnék egy világbajnoknak ahhoz, hogy leereszkedjék magunkfajta, harmadrangú játékosokhoz.	Tôi từ chối, viện cớ là, theo như tôi được biết, Xzentôvic chẳng phải là người thích có những mối quan hệ mới.
Haragosan hátravetette magát a székben, és ellentmondást nem tűrő hangon jelentette ki, hogy a maga részéről nem hiszi, hogy Czentovic visszautasítaná egy gentleman udvarias meghívását.	Thành thực mà nói, lẽ ra tôi chẳng nên sử dụng mấy từ ngữ "những người chơi cờ nhàng nhàng loại ba" trước một con người kiêu căng như MacCônno.
Magam is feszült kíváncsisággal vártam.	Mười phút sau, MacCônno quay trở về.
- Nos?	- Thế nào ?
- kérdeztem.	– Tôi hỏi.
Bemutatkoztam, meg­mondtam, ki vagyok.	Tôi đã phải nhún mình tự giới thiệu.
Kétszázötven dollár a legkevesebb, amit egy játszmáért elfogadhat.	Do đó anh ta buộc phải yêu cầu trả ít nhất hai trăm năm mươi đô la mỗi ván.
- Sohasem gondoltam volna, hogy ilyen jövedelmező lehet a fabábtologatás.	- Tôi chưa bao giờ nghĩ rằng đẩy các con Binh từ ô đen sang ô trắng lại là một công việc hái ra tiền như vậy.
Remélem, ön is hasonló hangnemben válaszolt az ajánlatára?	Tôi hy vọng ông đã lễ độ xin lỗi anh ta.
- Holnap délután három órára beszéltük meg a partit.	- Ván cờ sẽ được chơi vào lúc ba giờ chiều mai tại phòng hút thuốc lá này.
- Csak nem?	- Sao ?
Ön belement a kétszázötven dolláros honoráriumba?	Ông đã chấp nhận những điều kiện ấy ?
- kiáltottam föl megdöbbenve.	– Tôi sửng sốt kêu lên.
- Miért ne?	- Tại sao lại không nhỉ ?
C’est son métier!	C’est son mélier.
1 Ha fáj a fogam, és fogorvost találok a hajón, tőle sem kívánom, hogy ingyen húzza ki a fogamat.	Nếu tôi bị đau răng và trên tầu có một nha sĩ, tôi sẽ chẳng yêu cầu nha sĩ nhổ răng không công cho tôi.
Minden szakmában az igazi mesterek egyúttal a legjobb üzletemberek is.	Về phần tôi, tôi nhận thấy giao kèo càng rạch ròi càng tốt.
Nevettem magamban, milyen mélyen megbántottam McConnor önérzetét ezzel az ártatlan "harmadrangú játékos"-sal.	Rõ ràng là lòng tự ái của MacCônno đã bị tổn thương nặng vì mấy chữ "người đánh cờ loại ba" vô tội ấy.
De miután hajlandó volt a drága mulatság költségeit fedezni, semmi ellenvetésem sem lehetett erősen túlzott önérzetével szemben, hiszen ennek köszönhettem, hogy végre mégis sikerül majd megismerkednem a csodabogárral.	Nhưng ông ta quyết định một mình chịu mọi phí tổn chi cho cái trò vui phải trả giá đắt đó, nên tôi chẳng hề có lời phản đối ý định ấy ; nó cho phép tôi có thể tiếp cận với con người lập dị đã kích thích trí tò mò của tôi.
Másnap a megbeszélt órában teljes létszámban megjelent kis csapatunk.	Hôm sau, đúng giờ quy định, cái nhóm nhỏ của chúng tôi đã có mặt đầy đủ.
De a világbajnok, mint ezt barátom elbeszéléséből előre sejtettem, jó tíz percig váratott magára, s ez csak növelte megjelenésének varázsát.	Anh không tự giới thiệu – "Các ông đã biết tôi là ai rồi, còn tôi chẳng cần biết các ông là ai".
Nyugodt, méltóságteljes léptekkel közeledett asztalunkhoz.	– Thái độ đó muốn nói với chúng tôi như vậy.
Minthogy szimultán partit a hajón a szükséges sakktáblák híján nem játszhat, azt indítványozta, hogy együttesen játsszunk ellene.	Do thiếu bàn cờ nên không thể tổ chức đánh mấy ván cùng một lúc, nên anh đề nghị một mình đánh một ván với tất cả chúng tôi.
Minden lépés után átmegy a terem másik végében levő asztalhoz, hogy tanácskozásunkat ne zavarja.	Sau khi đánh xong một nước, anh ta sẽ ra đứng ở cuối phòng đằng kia để không quấy rối chúng tôi thảo luận.
Ahogy ellenlépésünket megtettük, csöngessünk egy kanállal a poharunkon, minthogy asztali csengővel sajnálatos módon nem rendelkezünk.	Đi xong chúng tôi dùng thìa gõ vào cốc báo cho anh ta biết, vì trên tầu, chúng tôi không kiếm đâu ra chuông.
Tíz percet indítványoz maximális gondolkodási időnek, ha nekünk nincs valami más indítványunk.	Nếu chúng tôi đồng ý thì thời gian ấn định giữa hai nước đi sẽ là mười phút.
