Jules Verne - André Laurie	Jules Verne & André Laurie
Egyébiránt azt mondják, hogy Nordenskiold, a mi nagy utazónk újabban expedicziót szándékozik szervezni, s ha ő forgatja az elméjében, akkor bizonyára hiszi is, hogy lesz eredménye, az ő véleménye mindenesetre számot tesz.	Đầu tiên, ông muốn nghiên cứu Bắc Băng Dương theo từng phần và nếu như điều đó quả đúng như vậy thì có nghĩa là ông tin rằng sự nghiệp của mình sẽ thành công.
Schwaryencrona esetleg nagy tisztelője volt Nordenskioldnak, természetes tehát, hogy a fiú felelete szörnyűmód tetszett neki.	Ông đủ hiểu biết sâu rộng để thuyết phục được mọi người nghe theo ý kiến của ông.
A legnagyobb érdeklődéssel nézett a tizenkét éves Hersebom Erikre.	Bởi vậy, ông mới gợi chuyện về con đường Đông Bắc.
Mikor a fiú elhallgatott, a doktor hosszas szünet után kérdezé tőle:	Những câu trả lời đầy đủ và chính xác của chú bé làm ông khâm phục.
- Itt tanultam, doktor úr, - felelé Erik, csodálkozva azon, hogy ilyesmit kérdezhetnek tőle.	- Ở đây ạ, thưa ngài bác sĩ - Êrik đáp, ngạc nhiên trước một câu hỏi như thế.
- Másutt nem jártál iskolába?	- Em chưa khi nào học ở một trường khác đấy chứ?
- Nem jártam.	- Tất nhiên là chưa ạ.
- Malárius mester méltán büszke lehet reád - folytatá a doktor a tanító felé fordulva.	- Ngài Maljarius có quyền hãnh diện về em - Bác sĩ quay về phía ông giáo nói.
- Nagyon meg vagyok veled elégedve, Erik, - mondá Malárius.	- Tôi rất hài lòng về Êrik - Thầy giáo đáp - Thế là đã sắp tròn 7 năm em là học trò của tôi.
Különös érdeklődéssel nézett a fiú arczára.	Đôi mắt sắc sảo của ông không rời Êrik.
Gyermekeim, ha Malárius mesternek nincs ellene kifogá­sa, menjetek haza, játszodjatok.	Sau tín hiệu thứ ba các em hòa lẫn đội hình và chạy tỏa đi với những tiếng reo vui vẻ.
Malárius másodszor tapsolt.	Ở NHÀ MỘT DN CHÀI NÔRÔÊ
A gyermekek katonás rendben, lépést tartva indúltak ki a tan­teremből.	Loại cá này sau khi phơi khô, người ta đem bán cho các nhà buôn.
A harmadik tapsra szétoszlottak, s vidám lármával szaladtak haza.	Mỗi căn phòng đều vừa làm nơi tiếp khách, vừa làm nơi ngủ.
Napsütötte arcza, gond­barázdálta homloka és deresedő haja tanúskodtak arról, hogy valami kényelmes nem lehetett az élete.	Con trai bác, Ôttô, một chú bé 14 tuổi cao lớn, giống cha như đúc, chắc chắn sau này sẽ trở thành người đánh cá giỏi.
Legidősebb fia, Ottó, már tizennegyedik évében járt, nagyon hasonlított az apjához, segített is neki a foglalkozásában, s majdan majd helyébe lép, ha az apa kivénül a munkából.	Còn bây giờ chú đang cố gắng hết sức nắm bí mật của "qui tắc tam suất", viết chi chít những con số lên một tấm bảng con làm bằng granit.
Ezúttal szörnyű buzgón számítgat, valami számtani feladványnyal gyült meg a baja.	Cánh tay lực lưỡng của chú hình như thích hợp với việc chèo thuyền hơn là một việc như thế.
Erik az asztal mellett ül, s egy nagy históriai könyv olvasásába mélyedt; Malárius mestertől kapta kölcsön.	Êrik đang cúi trên một chiếc bàn ăn say mê đọc cuốn sách dày về lịch sử mới mượn của thầy giáo Maljarius.
Mellette hasalt a bozontos fejű négy házőrző eb és békességesen szundikált.	Chú chó vàng to đốm trắng, lông xoăn như lông cừu nằm khoanh dưới chân cô.
A hal-olajos lámpa szelid fénye vetődött a csendesen foglalkozók arczára.	Sự yên lặng cứ như vậy kéo dài ít nhất một tiếng đồng hồ.
Mintegy óra hosszáig csend volt a kis hajlékban, kiki a maga dolgát végezte.	Nói cho đúng, sự im lặng đã bắt đầu đè nặng lên bà Katrina.
- Elég már ma este a munkából, fiam.	- Tối nay làm việc như vậy đủ rồi, bà nói.
Ideje, hogy vacsoráljunk.	Giờ đi ăn tối thôi.
- Te azt mondtad, hogy a mi Erikünk pompásan megfelelt a doktor úr kérdésére - mondá a leányka.	- Ôttô này- bà Katrina nói - Có phải con bảo hôm nay Êrik nhà ta đã trả lời ngài bác sĩ khá lắm phải không?
- Meghiszem azt!	- Trả lời khá à?
- lelkesedék Ottó... Úgy beszélt, mintha valami tudós könyvből olvasta volna ki... az ám!	Ôttô khoái chí kêu lên - Đến con cũng không hiểu vì sao mà nó lại biết hết được những chuyện ấy, bác sĩ càng nói nhiều thì nó càng trả lời lắm!
Honnan szedte azt a sok tudományt?...	Mà nó nói cứ làu làu ấy chứ!
- Én is nagyon meg voltam elégedve Erikkel - tevé hozzá nagy komolyan Vanda.	Mẹ ơi, giá mẹ thấy chúng con há hốc miệng ra như thế nào nhỉ!
- De mindnyájunknak elállt a szeme-szája..., édes anyám, ha maga hallotta volna!...	Thế mà nó thì chả sợ gì hết, trả lời bác sĩ cứ y như là trả lời thầy giáo chúng con ấy!
- Ugyan, hallgassatok - szólalt meg Erik, mert már megsokalta a dicséretet - a mi mesterünk bizonyára tud annyit, mint a doktor, ha többet nem!	- Êrik nói, thấy mọi người khen mình quá, nên tỏ ra rất lúng túng.
Az apa, mintha mosolygott volna e szavak hallatára.	Bác ngư dân già mỉm cười tán thưởng.
- Igazad van, fiacskám - veté közbe a szót.	- Thằng bé nói đúng - Ông nói, đôi tay chai sần sùi vẫn không rời công việc.
- Hát Schwaryencrona doktor megrontott valakit?	- Thế chả nhẽ bác sĩ Svariênkrôna đã làm cho ai có bị khánh kiệt rồi sao?
- kérdé Erik kiváncsian.	- Êrik tò mò hỏi.
- Hej...	- Hừ!
hej!...	Hừ!...
Most már vége annak!...	Còn bây giờ thì xin đủ.
- Édes apámnak igaza van - szólalt meg nagy-sokára, - hogy sajnálja a régi jó kereset meg­csappanását, de abban talán még nincsen egészen igaza, hogy Schwaryencrona doktort vádolja e miatt.	- Bố ạ, con cảm thấy bố tiếc món tiền lời của những năm qua là đúng - chú nói - Nhưng buộc tội bác sĩ Svariênkrôna đã làm giảm mất số tiền ấy thì không hoàn toàn hợp lý.
Nemde az az olaj, a mit ő gyárt, jobb, mint a halászoké volt?	Chẳng lẽ dầu cá của ông ấy không tốt hơn của chúng ta sao?
Nem is olyan rossz a szaga, mint a miénknek, az is igaz, legalább úgy mondják... De hát az emberek beteg tüdőjének aligha válik inkább javára, mint a miénk...	Ừ, mà người ta nói rằng dầu của ông ấy không có mùi khói như của chúng ta… Vì vậy, tất cả đàn bà, con gái thành thị đều ưa dùng thứ ấy hơn.
- Bizony úgy van az, fiam... az már szent igaz; de azért a szegény halászok kezéből nem kellett volna kivenni a kenyeret.	- Tất nhiên - ông trả lời với vẻ nuối tiếc- có thể đây là trách nhiệm của ông ấy, trách nhiệm của một bác sĩ.
- Jerünk vacsorálni, asztalon az étel!	Êrik phản đối một cách rụt rè.
- szólalt meg ekkor Kata asszony; s a kis család letelepedett a terített asztal mellé.	- Vì công việc ấy bây giờ có đáng giá gì đâu!
- A doktor úr és Malárius mester tegeződtek, talán gyermekkori barátok?	- Bác Hecsêbom kêu lên.
- kérdé Erik.	- Thôi, đủ rồi!
- Ugy van - felelé Hersebom - mindakettő Noroëban született.	- Bác sĩ và thầy Maljarius gọi nhau bằng "mày" "tao".
Maláriusnak az apja orvos volt, a doktoré pedig magamfajta egyszerű halászgazda.	Nhưng từ đó đến nay, ông ấy đã thay đổi nhiều lắm rồi!
Hja, azóta felvitte Isten a dolgát.	Phải rồi, có học lại có của mà lại.
Azt mondják, hogy rengeteg gazdag ember, milliói vannak, Stockholmban egy való­ságos palotában lakik... Hja, a tudomány szép dolog...	Bác nông dân vừa nói xong câu ấy, định nhúng thìa xúc món cá nấu với khoai tây còn đang bốc hơi nghi ngút, bỗng ngưng lại vì có tiếng gõ cửa.
E pillanatban valaki megzörgette kívülről az ajtót.	- Có thể vào được không, thưa ông chủ Hecsêbom?
- Bejöhetek, Hersebom gazda?	- Ngoài hiên vang lên một giọng nói sang sảng.
- szólalt meg valaki a sötét pitvarban.	- Ngài bác sĩ Svariênkrôna!
- Schwaryencrona doktor úr!	- Hecsêbom thân mến của tôi.
- kiáltá a három gyermek.	- Nhà bác học nói và bắt tay người đánh cá.
A jóravaló házigazda egy kissé zavarban volt.	Còn con, Vanđa, lấy thêm đĩa và thìa ra.
Restelte, hogy az imént oly keserűen kifakadt a doktor ellen, s ime most szemtől-szemben áll vele... Nem is igen tudta, hogy mit mondjon.	Xin đề nghị các bạn cho tôi một điều vui là: các bạn đừng bận tâm về tôi và cứ tiếp tục dùng bữa tối đi.
Kérges tenyerével megszorította az úri vendég kezét, s vendéglátó szivességgel mosolygott.	- Thế thì mời ngài hãy uống với chúng tôi một tách trà nhỏ với mứt "Snorgas" vậy.
Bezzeg a háziasszony hamarább feltalálta magát.	- người phụ nữ nhân hậu khẩn khoản yêu cầu.
- Ottó, Erik, izibe, segítsetek a doktor úrnak, vegyétek le a bundát!	- Uống tách trà thì tôi đồng ý, nhưng chỉ với điều kiện là trước hết các bạn ăn tối đi đã.
Vanda, siess, hozz még egy tányért... Doktor úr, nagyon megörvendeztetne, ha velünk tartana... Csak egy falatkát?	- Bác sĩ trả lời, sau khi đã tìm được thế ngồi thuận tiện trên chiếc ghế bành lớn.
- Legalább egy csésze theát, doktor úr?	Mấy phút sau, bác sĩ đã hoàn toàn tự chủ.
- Könyörgött a derék asszony.	Còn để cho đỡ khát, ông đã dùng ít nhất bảy - tám tách trà không có đường.
- Jól van, azt szivesen veszem és megköszönöm, de csak azzal a feltétellel, ha önök most rögtön folytatják a vacsorájukat.	Bác Hecsêbom đặt lên bàn một cái bình bằng sành đựng thứ "Skid" tuyệt trần đời - thứ rượu trắng của Hà Lan - mà ông đã mua được của một thương nhân Hà Lan.
A család tovább evett, a doktor pedig a nagy karosszékbe ült a kandalló mellé, s nemsokára egészen otthonosan érezte magát.	Sau đó, khi bữa tối đã xong, bác sĩ nhận từ tay chủ nhà một cái tẩu lớn, nhồi thuốc vào đó và bắt đầu hút, ai nấy đều rất hài lòng.
Ezalatt a háziasszony elkészítette a híres norvég "snorgas"-t, ezt a thea-itató és étvágy­gerjesztő nemzeti ételt, mely után hét-nyolcz csésze theát is meg kell innia az embernek, akkora szomjúsága támad.	Câu chuyện sôi nổi, những lời đùa vui và tiếng cười đã bị chen ngang bởi mười tiếng điểm của chiếc đồng hồ treo tường cũ kỹ để trong chiếc hộp gỗ láng bóng.
Hersebom gazda pedig egy hatalmas pipát nyomott úri vendégének a markába, megtöltötte jóféle dohánynyal, úgy füstölt, mint egy kémény.	- Đã khuya rồi, các bạn thân mến - bác sĩ nói - Nếu đã đến giờ các cháu đi ngủ thì tôi có thể nói với các bạn những điều quan trọng được.
Így aztán csakhamar felmelegedtek a szivek, s a doktor világért sem érezte magát a szegény hajlékban kényelmetlenül.	Người mẹ ra hiệu cho các con đi ngủ, Ôttô, Êrik, Vanđa chúc mọi người ngủ ngon, rồi đi ra ngay.
Mintha ő is a családhoz tartozott volna, csevegtek, nevettek, fo­gyasztották a theát pipaszónál, míglen a fali óra tizet ütött.	- Các bạn chắc là ngạc nhiên về sự "đột nhập" của tôi - bác sĩ nói tiếp sau một phút im lặng, chăm chú nhìn bác Hecsêbom.
- Lám, lám, kedves barátaim, hogy eltelt az idő!	- Chúng tôi luôn luôn vui mừng khi có khách đến, - người đánh cá đáp lời một cách nghiêm chỉnh.
- szólalt meg ekkor a doktor.	- Ồ tôi biết.
- Nem lenne szíves a gyermekeket aludni küldeni?	Nôrôê luôn có tiếng là mến khách!
- Ön méltán kérdezhetné tőlem, Hersebom gazda, hogy mi járatban vagyok itt?	Tôi dám chắc là bà Hecsêbom thậm chí còn nghi ngại điều gì đó về chuyện này.
- Szegény házamnál mindig szivesen látott a vendég, - felelé ünnepélyesen a halász.	- Chúng tôi sẽ chỉ được biết điều ấy khi nào tự ngài nói ra thôi ạ, - người phụ nữ đáng mến nhận xét một cách xã giao.
Nem sejtik, hogy mi?	- Thôi được.
- Ha a doktor úr megmondja, akkor tudni fogjuk mi is - jegyzé meg mosolyogva a házi­asszony.	- Bác sĩ thở dài - nếu các bạn không muốn giúp, thì tự tôi phải khởi sự vậy.
- Nincs okom panaszra - felelé a gazda.	- Tôi không phải than phiền về cháu - người đánh cá trả lời.
- Korához képest szerfelett sokat tud, az esze bámulatosan éles - folytatá a doktor.	- Nói tóm lại, - bác sĩ nói tiếp, có phần hơi sốt ruột, - chú bé này chẳng những hấp dẫn tôi mà còn khiến tôi thực sự quan tâm.
- Egyetmást kérdeztem tőle az iskolában, s őszintén megvallom, bámulatba ejtett értelme és tudása rendkívüli érettségével... Annyira meglepett, hogy mikor a nevét megtudtam, hajtott a kiván­csiság: vajjon szüleihez és testvéreihez mennyire hasonlít arczban, mert a noroëi fiúk- és leányokétól nagyon elüt a fiú arcza.	Tôi đã nói chuyện về cháu với Maljarius và qua ông ấy tôi được biết rằng cháu không phải là con trai ruột của ông bà, rằng cháu được đưa về đây sau một vụ đắm tàu, rằng ông bà đã vớt được cháu, giáo dục, nuôi nấng và thậm chí đặt tên cho cháu nữa.
A halász és felesége megrezzentek e szavak hallatára.	Mọi chuyện là vậy, có phải thế không ?
- Úgy történt, doktor úr - felelé Hersebom komolyan.	- Những tình cảm ấy đã tôn thêm phẩm giá của bác.
- Ha vér szerint nem is a mi édes gyermekünk, de az szivünk és szeretetünk szerint!	- Bác sĩ nói, mủi lòng trước sự xúc động của người phụ nữ nhân hậu.
- kiáltott fel Kata asszony reszkető ajakkal és könybelábadt szemekkel.	- Nhưng các bạn của tôi ạ, tôi yêu cầu các bạn kể cho tôi nghe hết mọi chuyện về cháu bé này.
- Soha sem éreztettük vele, hogy nem a mi gyermekünk, úgy szerettük, úgy ápoltuk, úgy gondoztuk, mintha az édes miénk lett volna.	Tôi cố ý tìm đến các bạn để biết rõ điều đó và, các bạn hãy tin tôi, tôi cầu chúc cho cháu điều tốt lành nhất.
- Becsületükre válik, a mit cselekedtek, Kata asszony - viszonzá a doktor, kit meglepett Hersebomné szeretete.	- Mọi việc đúng như ngài đã biết, quả thật cháu bé không phải là con trai của chúng tôi, - bác nói, giọng bùi ngùi.
- Jó emberek, mondják el nekem a gyermek történetét... Higyjék el, javát akarom neki is, maguknak is.	- Thế là sắp được mười ba năm, kể từ ngày tôi đi đánh cá ở hòn đảo chắn ngang cửa vịnh biển.
A halászgazda megvakarta a fületövét, mintha egy pillanatig nem akarózott volna, hogy elmondja.	Thay vì quay thuyền về Nôrêô, tôi đã tò mò hướng thuyền đến chỗ vật trăng trắng ấy.
Végül is ráadta a fejét, s így kezdé:	Mười phút sau thì tôi đến nơi.
Mintegy ezer lépésnyire lehetett bárkámtól.	Tôi đến gần cái nôi và rất hồi hộp.
Kaptam magam, s a fehér tárgy felé irányoztam a bárkát.	Chắc là cháu từ chiếc tàu bị nạn trôi giạt vào đây chăng?
Egy kis bölcső volt, fehér csipkés pólyában egy alvó csecsemő feküdt benne.	Nhưng cơ cảnh nào đã xui khiến cháu phải xa lìa những người ruột thịt?
A bölcső egy bojéhoz volt erősítve, az tartotta fenn a víz színén.	Có chuyện gì xảy ra với cha mẹ cháu và tất cả những ai yêu quý cháu?
Kihalásztam, bizony-bizony reszketett a kezem, mikor kihúztam, s az alvó gyermeket - hét-nyolcz hónapos lehetett szegényke, - megpillantottam.	Biết bao nhiêu câu hỏi đã đặt ra, nhưng vĩnh viễn không được trả lời, bởi vì chú bé tội nghiệp không thể giải thích điều gì cả.
