Léon Werth-nek	Tặng Léon Werth
Az illető fölnőtt pedig nagyon örült neki, hogy ilyen okos emberrel került ismeretségbe.	Thế là người lớn rất lấy làm bằng lòng được gặp một người biết điều như tôi.
2.	II
Így éltem magányosan, anélkül, hogy igazában bárkivel is szót érthettem volna, míg egyszer, hat esztendővel ezelőtt, kényszerleszállást nem kellett végeznem a Szaharában.	Như vậy đó, tôi đã sống một mình, chẳng có ai thật sự chuyện trò, cho đến một hôm tôi hỏng máy bay trong sa mạc Sahara cách đây sáu năm.
Valami eltö­rött a motoromban.	Có cái gì trong máy vỡ.
És mivel se gépészem nem volt, se utasom, magamnak kellett nekilátnom, hogy zöld ágra vergődjem valahogyan, és kijavítsam a súlyos hibát.	Nhưng vì tôi đi một mình, không thợ máy, không hành khách, tôi bắt đầu cố chữa cho được ca hỏng khó khăn này.
Élet és halál kérdése volt ez számomra.	Đối với tôi, đây là một việc sống chết.
Elhagya­tottabb voltam, mint tutaján a hajótörött az óceán közepén.	Tôi còn trơ vơ hơn nhiều so với kẻ đắm tàu ở trên bè giữa biển cả.
- Légy szíves, rajzolj nekem egy bárányt!	- Ông làm ơn... ông vẽ giúp tôi một con cừu!
- Micsoda?	- Hả?
- Rajzolj nekem egy bárányt...	- Vẽ giúp tôi một con cừu...
Csakhogy az én rajzom kétségkívül sokkal kevésbé elragadó, mint amilyen a mintája volt.	Nhưng bức vẽ của tôi hẳn là còn kém đẹp hơn người mẫu rất nhiều.
Igaz, nem az én hibámból.	Lỗi đâu phải tại tôi.
Mert ami festői pályafutásomat illeti, attól már hatesztendős korom­ban elvették a kedvemet a fölnőttek, így aztán nem is tanultam meg rajzolni, kivéve a csukott meg a nyitott óriáskígyókat.	Tại người lớn mà tôi nản lòng trong sự nghiệp hội họa, vào lúc lên sáu, và tôi chẳng học vẽ một tí nào hết, ngoài các con trăn, nhìn bên ngoài hay bổ dọc.
Ámulattól kerek szemmel néztem hát a különös tüneményt.	Mắt tròn xoe kinh ngạc, tôi nhìn hình người hiện ra trước mắt.
Emberkémen pedig semmi jele nem volt annak, mintha elté­vedt volna, vagy halálosan fáradt, halálosan éhes, halálosan szomjas lenne, esetleg halálosan félne.	Thế mà cậu bé của tôi không có vẻ gì là bị đi lạc cả, cũng không chết nhọc, chết đói, chết khát, chết sợ.
- De hát... hogy kerülsz te ide?	- Nhưng... em đang làm cái gì đây?
Erre szelíden, és mintha valami nagyon komoly dolgot kérne, megismételte:	Thế là em lặp lại câu lúc nãy, rất dịu dàng, như đó là một điều rất hệ trọng:
- Légy szíves, rajzolj nekem egy bárányt...	- Ông làm ơn... hãy vẽ giúp tôi một con cừu.
Akármilyen képtelenségnek találtam, hogy ezer mérföldre minden lakott helytől és rá­adásul halálos veszedelemben: elővettem a zsebemből egy darab papirost meg a töltőtolla­mat.	Đang bị tai nạn có thể chết, lại ở một nghìn dặm cách mọi nơi có người, lời yêu cầu đối với tôi lại hết sức vô lí, tôi đành rút từ trong túi ra một tờ giấy và một cây bút máy.
Hanem akkor eszembe jutott, hogy én főként földrajzot, történelmet, számtant és nyelv­tant tanultam, és egy kicsit kedvetlenül közöltem az emberkémmel, hogy nem tudok rajzolni.	Nhưng tôi liền nhớ ngay rằng mình đã chỉ học môn địa lí, môn sử, môn toán và môn ngữ pháp nhiều nhất, nên tôi nói với cậu bé (tôi hơi khó chịu) rằng tôi không biết vẽ.
- Annyi baj legyen - felelte.	Em trả lời tôi: - Không hề gì.
- Rajzolj nekem egy bárányt.	Ông vẽ cho tôi một con cừu.
De hogy elképedtem, mikor az emberke azt mondta rá:	Tôi ngạc nhiên nghe cậu bé trả lời:
- Nem!	- Không!
Nem elefántot akarok óriáskígyóban!	Tôi không thích con voi trong bụng con trăn đâu.
Az óriáskígyó nagyon veszedelmes, az elefánt meg olyan behemót nagy.	Con trăn nó thật là nguy hiểm, mà con voi thì kềnh càng quá!
Nálam odahaza minden apró.	Ở quê tôi, voi bé tẹo kia.
Nekem bárányka kell.	Tôi cần một con cừu.
Rajzolj nekem egy bárányt.	Vẽ cho tôi một con cừu!
Hát erre rajzoltam egyet.	Thế là tôi vẽ.
Figyelmesen szemügyre vette, aztán:	Em nhìn chăm chú, rồi nói:
- Nem! - mondta.	- Không, con ấy ốm quá rồi.
- Ez már nagyon beteg.	Ông hãy làm con khác.
Kis barátom kedvesen, de elnézően mosolygott.	Cậu bạn tôi mỉm cười dễ thương, giọng khoan dung:
- Jó, jó... Csakhogy ez nem bárány, hanem kos.	- Ông nhìn xem... không phải cừu, nó là dê.
Ennek szarva van.	Nó có sừng mà...
- Nagyon öreg.	- Con ấy nó già quá.
Nekem olyan bárány kell, amelyik sokáig él.	Tôi muốn một con cừu sống được lâu cơ.
- Tessék - mondtam.	Và tôi nói to:
- Ez itt a ládája.	- Cái này là cái hòm.
Benne van a bárány, amit akarsz.	Con cừu em thích nó ở trong đó.
Mit gondolsz, sok fű kell ennek a báránynak?	Với con cừu này, có cần nhiều cỏ không ạ?
- Miért?	- Sao em hỏi thế?
- Hát mert nálam odahaza minden olyan kicsi...	- Vì căn nhà tôi, nó bé tí tẹo mà...
- Biztosan elég lesz neki.	- Chắc là đủ, em ạ. Con cừu tôi cho em cũng chỉ bé tí.
- Nem is olyan kicsi... Nézd csak!	- Chẳng bé quá đâu... Ôi!
3.	III
Hosszú időbe tellett, míg megértettem, honnét jött.	Phải rất lâu, tôi mới hiểu em từ đâu đến.
A kis herceg ugyanis engem elhalmozott kérdésekkel, az enyéimet azonban mintha meg se hallotta volna.	Cậu hoàng tử hỏi tôi nhiều câu mà dường như không bao giờ chú ý nghe tôi hỏi.
Lassanként, véletlenül elejtett szavakból tudtam meg, amit megtudtam.	Chỉ là những tiếng ngẫu nhiên buột ra dần dần nói cho tôi hiểu mọi sự.
- Hát ez meg mi a szösz?	- Cái kia là vật gì thế ?
- Ez nem szösz.	- Không phải vật.
Szinte hetvenkedtem neki azzal, hogy repülök.	Tôi tự hào nói cho em biết là tôi bay.
- Az égből pottyanttál le?	- Thế ra ông rơi từ trên trời xuống?
- Igen - feleltem szerényen.	- Phải - tôi nói khiêm tốn.
- Hát ez furcsa...	- Ôi , đã lạ lùng chưa...
És fölkacagott, gyöngyöző kacagással; ez határozottan bosszantott.	Và hoàng tử bật lên một tiếng cười khanh khách rất xinh nhưng làm tôi cáu lắm.
Megkívánom, hogy komo­lyan vegyék a szerencsétlenségeimet.	Tôi muốn ai cũng phải đánh giá nghiêm trọng mọi tai nạn của tôi.
- Szóval te is az égből jöttél?	Cười xong, em nói thêm:
- tette hozzá.	- Thế là cả ông, ông cũng từ trên trời xuống?
- Melyik bolygóról való vagy?	Ông ở hành tinh nào?
- Eszerint egy másik bolygóról való vagy?	- Thế ra em ở một hành tinh khác tới ?
- szegeztem neki a kérdést.	Nhưng em không trả lời tôi.
- Igaz, ezen nem jöhetsz valami messziről...	- Nhưng mà, ngồi trên cái đó thì ông cũng chẳng thể tới đây, nếu ông ở xa quá...
És hosszas töprengésbe merült.	Rồi em đắm mình mơ màng rất lâu.
Aztán elővette zsebéből a bárányomat, és kincse szemlélésébe mélyedt.	Sau đó, móc túi lấy con cừu, em lại ngắm nghía mê mệt của báu đó của mình.
Próbáltam hát többet is megtudni.	Vì vậy, tôi cố tìm hiểu rõ hơn:
- Honnét jöttél, emberkém?	- Cậu em, em từ đâu đến?
Hol van az az "odahaza"?	"Quê em" là đâu thế?
Hová akarod magaddal vinni a bárá­nyo­mat?	Em muốn mang con cừu của ta về đâu.
- Az a jó ebben a ládában, amit adtál, hogy éjszakára háznak is megfelel neki.	- Thuận lợi nhất, với cái thùng ông cho tôi, là ban đêm, cừu có thể dùng nó làm nhà ở.
- Persze, persze.	- Được chứ.
Ha jó leszel, kötelet is adok, amivel megkötheted.	Em mà ngoan, ta còn cho em một sợi dây để buộc cừu ban ngày.
Ajánlatom szemlátomást meghökkentette a kis herceget.	Lời đề nghị đó có vẻ làm cậu hoàng tử không vừa lòng:
- Megkötni?	- Buộc? Ôi!
Milyen ostoba ötlet!	Ngộ nghĩnh chưa!
- De ha nem kötöd meg, elkószál, elvész...	- Nhưng không buộc, nó sẽ đi lung tung, đi lạc...
Kis barátom erre megint fölkacagott.	- Nó đi đằng nào được cơ chứ?
- Elkószál?	- Bất cứ đâu.
- Mit tudom én.	- Bất cứ đâu.
Az orra után...	Cứ đi thẳng...
- Annyi baj legyen.	- Không hề gì.
4.	IV
Ezen nem is kellett különösebben csodálkoznom.	Điểu ấy chẳng làm được tôi ngạc nhiên nhiều lắm.
Hiszen tudtam, hogy a nagy bolygókon kívül, amilyen a Föld, a Jupiter, a Mars, a Vénusz, s aminek mind megvan a maga neve, van még száz és száz más bolygó is, és köztük egyik-másik olyan parányi, hogy távcsövön is csak alig-alig lehet kivenni.	Tôi vẫn biết ngoài các hành tinh lớn như Trái Đất, Sao Kim, Sao Hỏa, Sao Thủy, mà người ta đặt tên cho, có hàng trăm ngôi sao khác, đôi khi bé đến nỗi người ta lấy kính nhìn xa ra soi cũng khó thấy.
Ha egy csillagász fölfedezi valamelyiket, név helyett egyszerűen számot ad neki.	Khi một nhà thiên văn khám phá ra một trong bọn chúng, nhà thiên văn ấy cho nó một con số.
Például elkereszteli "a 3251. kisbolygó"-nak.	Ví dụ ông gọi nó là "thiên thạch 3251".
Távcsövön ezt a csillagocskát csak egyetlenegyszer észlelték: 1909-ben egy török csillagász.	Thiên thạch đó chỉ được trông thấy có một lần trong kính nhìn xa, năm 1909, bởi một nhà thiên văn Thổ.
Fölfedezéséről akkor nagy előadást tartott a Nemzetközi Csillagászati Kongresszuson.	Ông ta liền lí giải ồn ào về sự khám phá của mình tại một hội nghị quốc tế về Thiên văn.
Mert ilyenek a fölnőttek.	Người lớn là thế mà!
A B-612-es kisbolygó hírnevének nagy szerencséjére azonban egy török diktátor utóbb halál­büntetés terhe mellett megparancsolta népének, hogy öltözködjék európai módra.	May mắn cho thiên thạch B.612, một nhà độc tài Thổ buộc nhân dân Thổ phải mặc quần áo người u, ai không tuân theo sẽ bị tội chết.
A csillagász 1920-ban megismételte előadását, ezúttal fölöttébb elegáns öltönyben.	Nhà thiên văn làm lại cuộc trình bày năm 1920, trong một bộ quần áo rất lịch sự.
Csak a fölnőttek miatt mesélem el ezeket a részleteket a B-612-es kisbolygóról, és a számát is csak miattuk árultam el; a fölnőttek ugyanis szeretik a számokat.	Nếu tôi kể với các bạn tỉ mỉ về thiên thạch B.612, và nếu tôi rỉ tai với các bạn về con số của nó, ấy là tại các người lớn.
Egyszerűen ilyenek; még csak haragudni sem kell rájuk miatta.	Khi người ta thích có một con cừu, thế là có người ấy chứ!
Ezt a történetet is a leg­szívesebben úgy kezdtem volna, mint egy tündérmesét.	Trẻ con phải hết sức rộng lượng đối với người lớn.
Ez a kis herceg egy parányi bolygócskán lakott, olyan parányin, hogy a bolygója alig volt nagyobb nála; ezen a bolygón élt, és nagyon szerette volna, ha van egy jó barátja..." Azoknak, akik értik az életet, ez így sokkal igazabbul hangzott volna.	"Xưa có một lần, một cậu hoàng tử ở một căn nhà chỉ lớn hơn cậu ấy có một tẹo, cậu ấy thấy cần có một người bạn thân..." Đối với những ai hiểu cuộc sống, kể như vậy có vẻ thật hơn nhiều.
Mert semmiképp sem szeretném, ha félvállról vennék a könyvemet.	Bởi vì tôi không muốn người ta đọc cuốn sách của tôi dễ dãi quá.
Hiszen úgy elfog a bánat, mikor ezeket az emlékeimet elmesélem.	Khi kể lại các kỉ niệm này, tôi tủi cực biết bao.
Hat esztendeje már, hogy a barátom búcsút vett tőlem a bárányával.	Sáu năm đã qua, từ khi cậu bạn thân thiết của tôi đi mất với con cừu của em.
S ki tudja, még utóbb belőlem is lehet olyan fölnőttforma ember, akit nem érdekelnek, csak a számok.	Và dễ tôi lại trở nên như các người lớn chỉ còn thích thú với các chữ số thôi.
Többek között ezért vásároltam egy doboz festéket meg egy doboz színes ceruzát.	Chính cũng vì thế nữa mà tôi đã mua một hộp mầu nước và bút chì màu.
Persze nem könnyű dolog ilyen vén fejjel újra nekifogni a rajzolásnak, mikor egyebet sem próbáltam soha, mint hatesztendős koromban egy nyitott meg egy csukott óriáskígyót!	Vào tuổi tôi, bây giờ trở lại nghề vẽ thật là khó, khi tận hồi lên sáu, ngoài con trăn kín với con trăn bổ dọc, tôi đã chẳng hề thử vẽ cái gì khác!
De igyekezni fogok, hogy a képeim hasonlítsanak, amennyire csak lehet.	Tôi sẽ thử, hẳn thế, làm những bức chân dung cố cho thật giống.
Hogy sikerül-e, abban már egyáltalán nem vagyok biztos.	Nhưng tôi không tin hoàn toàn là mình thành công.
Elvétem olykor egy kicsit a termet arányait is.	Tôi lại có hơi nhầm ở vóc dáng.
Amott túl kicsi.	Cái kia em bé quá.
A ruhája színét sem tudom egészen biztosan.	Tôi cũng do dự ở màu quần áo của em.
Így aztán csak tapogatódzom, hol így, hol úgy; lesz, ahogyan lesz.	Tôi phải lần mò hoài, như thế này rồi như thế kia, linh tinh.
Végül bizonyos fontosabb részleteket illető­leg is tévedni fogok.	Nhưng về điều này, các bạn cần tha lỗi cho tôi.
Ki tudja, nem vagyok-e egy kicsit magam is olyan, mint a fölnőttek?	Có lẽ tôi hơi hơi giống các người lớn.
Alighanem megöregedtem.	Chắc tôi bắt đầu già.
Naponta megtudtam valamit a bolygójáról, az útrakeléséről, az utazásáról.	Mỗi ngày qua, tôi biết thêm một điều về hành tinh, về lúc ra đi, về cuộc đi của cậu.
Szép lassacskán, egy-egy elejtett megjegyzés jóvoltából.	Biết lần hồi, theo dòng ngẫu nhiên của suy nghĩ.
Így szereztem tudomást harmadnap a majomkenyérfák drámájáról.	Như vậy đó, ngày thứ ba thì tôi rõ tấn bi kịch của những cây bao-bá.
Ezt is a báránynak köszönhettem, mert a kis herceg, mintha valami súlyos kétsége támadt volna, hirtelen azt kérdezte tőlem:	Lần này nữa, cũng là nhờ con cừu, vì đột nhiên, cậu hoàng tử hỏi tôi, rất phân vân:
- Igaz, hogy a bárányok cserjéket esznek?	- Có thật đúng là cừu ăn cây con không?
- Igaz.	- Phải.
- Ó, akkor jól van.	Đúng đấy. - Ôi.
A kis herceg azonban hozzátette:	Nhưng cậu hoàng tử nói thêm:
- Szóval a majomkenyérfákat is megeszik?	- Cho nên chúng ăn cả những cây bao-bá chứ?
Erre megjegyeztem neki, hogy a majomkenyérfák nem cserjék, hanem hatalmas, templom­torony nagyságú fák, és magával vihetne akár egy csordára való elefántot is: egyetlenegy majomkenyérfával sem bírnának el.	Tôi nói rõ với cậu em rằng cây bao-bá không phải loài cây con, mà là những cây to như cả cái nhà thờ, và cậu em có mang theo cả một đàn voi, thì cả đàn voi ấy cũng chẳng làm gì xuể chỉ mỗi một cây bao-bá.
Az elefántcsorda ötlete megnevettette a kis herceget.	Ý nghĩ về đàn voi làm cho cậu hoàng tử bật cười:
- Egymás tetejébe kellene rakni őket...	- Phải chồng con này lên con kia...
Hanem aztán komolyan azt mondta:	Nhưng rất tinh khôn, cậu em nhận xét:
- Mielőtt megnőnek, a majomkenyérfák is úgy kezdik, hogy kicsinyek.	- Bọn bao-bá, trước khi lớn, cũng từng bé tẹo chứ?
- Pontosan így van!	- Đúng thế.
De miért akarod, hogy a bárányok megegyék a majomkenyérfákat?	Nhưng sao em lại cứ muốn cho các con cừu của em ăn những cây bao-bá?
Alaposan össze kellett szednem az eszemet, hogy magamtól jussak a probléma nyitjára.	Tôi phải bắt trí thông minh của tôi làm việc dữ dội mới tự tôi hiểu được vấn đề ấy.
A magvak azonban láthatatlanok.	Nhưng không nhìn thấy hạt.
A föld titkos mélyén alusznak, míg csak az egyiknek eszébe nem jut, hogy fölébredjen... Akkor nyújtózik egyet, és először csak egy elbűvölő, ártatlan kis hajtással kezd félénken a nap felé kapaszkodni.	Chúng ngủ trong huyền bí của đất cho đến khi một cái hạt nào trong bọn chúng thức dậy... Nó vươn vai, rụt rè nảy ra về phía mặt trời một cái nhánh con hiền lành tuyệt xinh.
A bolygó egész földjét megfertőzték.	Mặt đất hành tinh ô nhiễm đầy hạt bao-bá.
A majomkenyérfával meg úgy van, hogy ha az ember későn kap észbe, soha többé nem bír megszabadulni tőle.	Mà một cây bao bá, nếu như ta đối phó muộn màng quá, ta có thể chẳng bao giờ dẫy nó ra được nữa.
Egyszerűen elborítja a bolygót.	Nó cho rễ của nó xói đục hành tinh.
Neki kell látnia, s annak rendje és módja szerint ki kell gyomlálnia a majomkenyérfákat, mihelyt meg tudja különböz­tetni őket a rózsáktól; mert amíg egészen zsengék, nagyon hasonlítanak egymáshoz.	Đều đặn phải lo việc nhổ bọn bao-bá từ lúc ta còn kịp phân biệt chúng với các cây hoa hồng, mà bao-bá hồi còn thơ thì lại giống cây hoa hồng lắm.
- Hasznukra lehet - mondta -, ha egyszer utazni fognak.	"Một ngày kia, nếu các bạn ấy lên đường, - cậu em nói với tôi - câu chuyện ấy sẽ có ích cho họ.
Néha semmi baj sem származik belőle, ha valamilyen munkát későbbre halasztunk.	Một việc ta hoãn đến hôm sau hãy làm, đôi khi cũng chẳng hại gì.
De mindig végzetes következményekkel jár, ha a majomkenyérfákról van szó.	Nhưng nếu là những cây bao-bá, thì bao giờ cũng tai họa đấy.
Tudok egy bolygót: lusta gazdája volt, figyelmen kívül hagyott három cserjét...	Tôi có biết một hành tinh, trên hành tinh ấy là một cậu bé lười.
Itt van, ezt a bolygót rajzoltam a kis herceg útmutatásai szerint.	Tôi tuyệt không thích lên giọng dạy đời.
A tanulság, melyet nyújtok, megérte a fáradságot.	Bài học mà tôi rút ra đáng cho tôi cố công.
Amikor a majomkenyérfákat rajzoltam, lelkesí­tett az az érzés, hogy sürgősen kell cselekednem ."	Khi vẽ cây bao-bá, ý nghĩ về một cái gì rất khẩn cấp thúc giục tôi.
6.	VI
Sokáig nem volt egyéb szórakozásod, mint a naplementék szelíd szépsége.	Để đùa chơi, bao lâu em chỉ có mỗi ánh dịu dàng khi mặt trời sắp tắt.
Ezt az újabb részletet negyednap reggel tudtam meg, amikor azt mondtad:	Vào sáng ngày thứ tư thì tôi biết được nét mới đó, khi em bảo tôi:
- Nagyon szeretem a naplementéket.	- Tôi rất thích cảnh mặt trời lặn.
- De ahhoz várni kell...	- Phải đợi chứ...
- Várni? Mit?	- Đợi cái gì?
- Hát hogy lemenjen a nap.	- Đợi lúc mặt trời nó lặn.
- Folyton azt hiszem, hogy otthon vagyok!	- Tôi cứ tưởng còn ở nhà!
- mondtad.	Thế đấy.
Nos: mikor az Egyesült Államokban dél van, Franciaországban köztudomásúlag éppen le­megy a nap.	Khi là buổi trưa ở nước Mỹ thì ai cũng biết là mặt trời đang lặn ở nước Pháp.
Az embernek elég lenne egyetlen szempillantás alatt Franciaországban teremnie, hogy napnyugtát lásson.	Chỉ cần đi một phút mà đến được nước Pháp là dự được cảnh mặt trời lặn.
Neked viszont, a parányi bolygódon, egyéb sem kellett, mint pár lépéssel odébb húznod a székedet.	Nhưng, trên cái hành tinh bé đến thế của em, em chỉ cần dịch ghế vài bước.
S annyiszor láttad a naplementét, ahányszor csak akartad...	Khi nào em thích là em nhìn thấy mặt trời lặn...
- Volt egy nap, amikor negyvenháromszor láttam lemenni a napot!	- Có một ngày, tôi thấy mặt trời lặn bốn mươi ba lần!
Kisvártatva hozzátetted:	Một chốc sau đó, em nói thêm:
- Tudod, az ember, ha olyan nagyon-nagyon szomorú, szereti a naplementéket...	- Ông biết đấy... khi người ta buồn quá, người ta thích cảnh mặt trời lặn...
- Hát annyira szomorú voltál azon a negyvenháromszoros napon?	- Ngày có bốn mươi ba lần ấy, em buồn đến thế sao ?
Erre azonban a kis herceg nem felelt.	Nhưng cậu hoàng tử không trả lời.
7.	VII
Az ötödik napon, változatlanul a bárány jóvoltából, föltárult előttem a kis herceg életének ez a titka is.	Ngày thứ năm, vẫn là nhờ ở con cừu, tôi biết được cái bí mật ấy của cuộc đời cậu hoàng tử.
Hirtelen, minden bevezetés nélkül, mintha előzőleg sokáig töprengett volna a dolgon, halkan azt kérdezte tőlem:	Không cần mào đầu, em hỏi giật tôi như hỏi đáp số của một bài tính vốn im lặng suy nghĩ đã lâu rồi:
- Ha a bárány cserjéket eszik, megeszi a virágokat is?	- Một con cừu, nó ăn cây con, tất nó cũng ăn hoa chứ?
- A bárány mindent megeszik, ami az útjába akad.	- Cừu thì gặp cái gì nó ăn cái ấy.
- Az olyan virágot is, amelyiknek tüskéje van?	- Cả bông hoa có gai nó cũng ăn ư?
- Igen.	- Phải.
- Hát akkor mire valók a tüskék?	- Thế thì gai dùng để làm gì nào?
Mit tudtam én!	Tôi không biết.
Minden figyelmemmel azon igyekeztem, hogy a motorom egyik beszorult csavarját kilazítsam.	Tôi bấy giờ đang rất bận tháo một đinh ốc vặn chặt quá trong chiếc máy của tôi.
Tele voltam aggodalommal: gépem hibája egyre súlyosabbnak látszott, ivóvizem meg folyton fogyott, úgyhogy a legrosszabbtól kellett tartanom.	Tôi lo quá vì thấy cái máy có vẻ hỏng nặng lắm, mà nước uống thì cạn dần, làm cho tôi sợ xảy ra điều tệ hại nhất.
- Mire valók a tüskék?	- Gai, gai thì dùng để làm gì?
Ha egyszer egy kérdést föltett, a kis herceg soha nem tágított tőle többé.	Cậu hoàng tử mà đã đặt một câu hỏi nào là không bao giờ chịu bỏ.
Én meg, mert nagyon bosszantott az a csavar, csak úgy vaktában válaszoltam:	Đang bực mình vì chiếc đinh ốc của tôi, tôi trả lời liều:
- A tövisek nem valók semmire.	- Gai, nó chẳng dùng được vào việc gì sất.
A tövis puszta gonoszság a virág részéről.	Nó chỉ là cái áo của loài hoa thôi!
- Ó!	- Ôi chao!
- De némi hallgatás után, már-már ingerülten vetette oda: - Nem hiszem!	Nhưng sau một lát lặng im, cậu em chảu môi lại phía tôi, vẻ hờn đỗi:
A virágok gyöngék.	- Tôi không tin!
Úgy védekeznek ahogy tudnak.	Chúng ngây thơ lắm.
Félelmetesnek képzelik magukat a tüskéikkel.	Chỉ là chúng cố tự làm cho chúng được vững tâm.
- És te, mondd, te is azt hiszed...	- Ông, ông cho rằng loài hoa...
- Nem!	- Không, không mà!
Elképedve nézett rám.	Cậu nhìn tôi ngạc nhiên:
- Komoly dolgokkal?	- Những việc hệ trọng!
Látta, ahogy kezemben a kalapáccsal, olajtól fekete ujjakkal görnyedek valami fölé, amit szerfölött rondának talált.	Cậu em nhìn thấy tôi tay cầm búa, các ngón đen nhẻm vì dầu máy, cúi xuống một vật đối với cậu xấu xí lắm.
- Úgy beszélsz, mint a fölnőttek.	- Ông lại nói như các người lớn mất thôi!
Ő azonban könyörtelenül hozzátette:	Nhưng, không xót thương, cậu em nói thêm:
- Mindent összezavarsz... Mindent összekeversz...	- Ông lẫn lộn hết... ông xáo trộn hết!
Szemlátomást nagyon haragudott.	Cậu em thực sự bực tức.
- Tudok egy bolygót, egy vörös képű uraság lakik rajta.	- Tôi có biết một hành tinh, trên đó có một ông mặt mũi đỏ gay.
Soha egyetlen csillagot meg nem nézett.	Không hề nhìn một vì sao.
Soha nem csinált egyebet, mint folyton csak számolt.	Chẳng bao giờ làm cái gì khác những bài tính cộng.
És egész álló nap azt hajtogatta, amit te mondtál az imént: "Én komoly ember vagyok!	Thế mà suốt ngày, ông ta cứ lặp đi lặp lại như hệt ông: "Tôi là một người đứng đắn!
- Micsoda!	- Cái gì?
- Gomba!	- Cái nấm!
A kis herceg most egészen sápadt volt az indulattól.	Bây giờ, mặt cậu hoàng tử tái xanh vì giận dữ.
- Millió és millió éve, hogy a virágok tüskéket gyártanak.	- Đã hàng triệu năm nay, loài hoa sản xuất nên gai.
