Turgenyev	Ivan S.Turgenev.
- Szívesen... azaz hogy nem: nem mesélem el: nem értek a meséléshez; száraz lehetne és rövid, vagy bőbeszédű és hamis.	"Nếu các bạn muốn...nhưng không; tôi không kể đâu; tôi không biết cách kể chuyện; tôi sẽ làm cho nó khô khan và cộc lốc, hay thêm thắt quá đà.
De ha megengedik, mindent leírok egy füzetbe, amire emlék­szem, s felolvasom majd.	Nếu các bạn đồng ý, tôi sẽ viết tất cả những gì tôi còn nhớ và đọc cho các bạn nghe."
Barátai először nem akartak beleegyezni, de Vlagyimir Petrovics megmaradt elhatározása mellett.	Các ông bạn lúc đầu không bằng lòng, nhưng Vladimir Petrovitch nhất định làm theo ý mình.
Két hét múlva megint összejöttek, s Vlagyimir Petrovics beváltotta az ígéretét.	Hai tuần sau, họ gặp lại, và Vladimir Petrovitch giữ lời hứa.
Ezt írta le a füzetben:	Tôi lên mười sáu.
Moszkvában, szüleimnél laktam.	Tôi sống tại Moscow với cha mẹ tôi.
Senki sem korlátozta szabadságomat.	Tôi hoàn toàn tự do tự tại, không ai để ý đến tôi.
Azt tettem, amit akartam, különösen azóta, hogy megváltam utolsó francia nevelőmtől, aki sohasem tudott megbarátkozni azzal a gondolattal, hogy "bombaként" (comme une bombe) hullt Oroszországba, s elkeseredett arckifejezéssel naphosszat az ágyon heverészett.	Tôi muốn làm gì tùy thích, nhất là sau khi chia tay với người thầy sau chót, người Pháp, ông này không bao giờ chấp nhận rằng ông đã rơi tỏm vào nước Nga "comme une bombe" (như một quả bom), và nằm bẹp dí trên giường ngày này sang ngày khác với vẻ mặt phẩn uất.
Apám egykedvűen szíves volt hozzám; anyám úgyszólván nem is törődött velem, bár egyetlen gyermeke voltam: más gondok emésztették.	Cha tôi tử tế, dễ dãi với tôi, còn mẹ tôi gần như chẳng ngó ngàng gì đến, mặc dù tôi là đứa con độc nhất ; nhiều việc khác chiếm trọn tâm trí của bà.
Apám, aki még fiatal volt, s nagyon szép ember, számításból vette el: tíz évvel volt idősebb apámnál.	Cha tôi, vẫn còn trẻ và rất đẹp trai, đã kết hôn với mẹ tôi chỉ vì tiền; mẹ tôi lớn hơn cha tôi đến mười tuổi.
Sohasem felejtem el a villában töltött első heteimet.	Tôi không bao giờ quên những tuần lễ đầu tiên sống ở quê.
Az idő csodaszép volt; május 9-én, Miklós napján költöztünk ki a városból.	Thời tiết tuyệt diệu; chúng tôi rời thành phố vào ngày 9 tháng Năm, ngày lễ thánh Nicholas.
Én hol a villa kertjében, hol a Nyeszkucsnij-kertben, hol meg a városkapun kívül sétálgattam, magammal vittem egy-egy könyvet - például Kajdanov tankönyvét, de ritkán nyitottam ki; többnyire verseket mondogattam hangosan - sokat tudtam könyv nélkül -, a vérem forrt, s a szívem sajgott - olyan édes és nevetséges búval: mindig vártam valamit, s féltem valamitől, mindenen csodálkoztam, s mindenre készen álltam, képzeletem játéka eleven volt, mindig ugyanazon képek körül csapongott, mint a partifecskék hajnalban a templomtorony körül; tűnődő lettem, szomorkodtam, sőt sírtam is; de a könnyeken és a szomorúságon át, melyet hol egy dallamos verssor, hol egy szépséges este lopott a szívembe, a fiatal pezsgő élet örömérzése úgy ütközött ki, mint a tavaszi fű.	Tôi thường lang thang trong vườn nhà mình, trong vườn hoa Neskutchny, và đi xa khỏi cổng thành; tôi hay mang theo vài quyển sách -- sách giáo khoa của Keidanov, thí dụ vậy -- nhưng hiếm khi đọc, và thường hay ngâm nga những vần thơ; tôi thuộc lòng nhiều bài ; với bầu máu nóng sôi sục, với trái tim đau thương ngọt ngào; lòng tôi tràn đầy niềm tin và hy vọng, tôi hơi sợ sệt một điều gì đó, và thích thú về mọi thứ; trí tưởng tượng của tôi mãnh liệt như lũ chim nhạn lượn lờ quanh tháp chuông lúc rạng đông; tôi mơ mộng, tôi buồn rầu, đôi khi khóc than; nhưng qua những giọt lệ và nỗi buồn gợi ra bởi một vần thơ du dương hay bởi vẽ đẹp của một buổi chiều tà, hượng vị ngọt ngào của tuổi trẻ và cuộc sống sôi động vẫn vươn cao như ngọn cỏ mùa xuân.
), vagy az ég felé emeltem az arcom, s kitárt lelkembe befogadtam a ragyogását és azurkékjét.	hoặc ngẩng mặt lên, tôi đón lấy vẽ lộng lẫy và xanh mát của bầu trời vào linh hồn tôi rộng mở.
Úgy emlékszem, akkoriban szinte sohasem jelent meg képzeletemben határozott vonásokkal egy nő képe, egy nő iránti szerelem látománya, de mindenben, amit gondoltam, mindenben, amit éreztem, valami újnak, kimondhatatlannak, édesnek, nőinek a féltudatos, szemérmes előérzete rejtőzött...	Tôi nhớ lúc đó hình ảnh của người đàn bà, gương mặt của tình yêu, hiếm khi hình thành rõ nét trong đầu óc tôi; nhưng tôi có nghĩ đến và cảm thây chung chung ở một cõi mơ hồ kín đáo nào đó, một linh cảm ngượng ngùng về một điều gì đó, mới lạ, vô cùng ngọt ngào, yểu điệu...
Ez az előérzet, ez a várakozás áthatotta egész lényemet; benne volt a lélegzetemben, ott lüktetett ereim minden csepp vérében... s a sors úgy rendelte, hogy nemsokára beteljesedjék.	Mối linh cảm này, niềm hy vọng này, thấm đẫm vào tôi; tôi hít thở trong nó, nó chảy trong huyết quản, trong từng giọt máu...nó là định mênh sẽ sớm được hoàn thành.
Nyaralónk fából épült, oszlopos úriházból s két alacsony szárnyépületből állt; a bal szárnyban olcsó kárpitokat gyártó üzem helyezkedett el; gyakran meglátogattam, hogy nézzem: hogyan ugrik fel minduntalan tíz sovány és borzas, zsírfoltos kabátú, nyűtt arcú fiú a sajtószerkezet négyszögletű tönkjeit leszorító emelőkre - s hogyan nyomják ki ilyen módon, satnya testük súlyával a kárpitok tarka mintáit.	Địa điểm, nơi chúng tôi sẽ sống trong mùa hè, gồm một dinh thự bằng gỗ và hai căn nhà nhỏ; trong ngôi nhà phía trái là một cơ sở sản xuất giấy dán tường loại rẻ tiền...Đã hơn một lần tôi đi dạo về hướng đó, nhìn thấy khoảng một chục đứa bé gầy còm và luộm thuộm, quần áo dính đầy dầu mở, gương mặt mỏi mệt, thường xuyên nhảy lên những chiếc cần gổ để ép những ô vuông của cái máy in, và do đó, bằng sức nặng mong manh của chúng, tạo nên những mẫu mã khác nhau của giấy dán tường.
A jobb oldali szárnyépület üresen állt, s kiadó volt.	Căn nhà bên tay mặt không có ai cư ngụ.
Egy napon - május kilencedike után három héttel - ennek a szárnynak az ablaktáblái kinyíltak, s női arcok jelentek meg a lakásban.	Một ngày nọ -- ba tuần sau ngày 9 tháng Năm -- màn cửa sổ của ngôi nhá này cuốn lên, những gương mặt phụ nữ xuất hiện -- có một gia đình nào đó dọn tới.
Emlékszem, anyám még aznap tudakozódott ebéd közben az első inasnál: kik az új szomszédok, s mikor meghallotta, hogy Zaszekina hercegné családja, nem minden tiszteletadás nélkül mondta:	Tôi nhớ trong cùng ngày đó, vào bửa ăn tối, mẹ tôi hỏi thăm ông quản gia về người láng giềng mới, và khi mẹ tôi nghe nói tới danh hiệu Công chúa Zasyekin, mẹ tôi ra vẻ tôn kính, " Ah!
hercegné... - majd hozzátette: - Bizonyosan valami szegény hercegné.	...và thêm vào, " tôi nghĩ là, một công chúa nghèo, phải không?"
- Három bérkocsival jöttek, kérem - jegyezte meg, a tálat tisztelettel kínálgatva, az első inas -, saját fogatuk nincs, a bútoruk is jelentéktelen.	"Họ đi xe thuê, " ông quản gia kính cẩn nói, đưa cho mẹ tôi một cái dĩa: " họ không có xe riêng, và bàn ghế tồi tàn."
- Igen - válaszolta anyám -, mégis jobb így.	"Ah," mẹ trả lời, " vậy càng tốt."
Apám hidegen nézett rá: anyám elhallgatott.	Cha tôi đưa ánh mắt băng giá nhìn qua; bà im bặt.
A hercegi cím nemigen hatott rám: Schiller Haramiái-t olvastam nemrégiben.	Tước vị vương giả không tạo ra ấn tượng nào cho tôi.Tôi đang đọc Robbers của Schiller.
2	Chương 2
Szokásom volt kertünkben puskával kószálgatni minden este, s lesni a varjakat.	Tôi có thói quen lang thang trong vườn mỗi buổi chiều để tìm lũ quạ.
Ezeket az óvatos, ragadozó, ravasz madarakat régóta gyűlöltem.	Vào ngày đã nói, như thường lệ tôi đi rảo trong vườn.
Azon a napon is a kertbe mentem - s miután hiába jártam végig a fasorokat (a varjak megismertek, s már messziről elkezdtek szaggatott hangon károgni), véletlenül egy alacsony kerítéshez közeledtem, mely a mi kertünket elválasztotta attól a keskeny kertsávtól, amely a jobb oldali szárnyépülethez tartozott, s mögötte nyúlt el.	Sau khi tuần tiểu tất cả các lối đi vẫn không có kết quả ( lũ quạ nhận ra tôi, kêu quang quác từng chập ở tận đàng xa), ngẫu nhiên tôi đến gần bên cái bờ dậu thấp, ngăn chia địa phận của nhà tôi với mảnh vườn hẹp dài đến tận ngôi nhà nhỏ phía bên phải, và thuộc về ngôi nhà đó.
Lehajtott fejjel haladtam, hirtelen hangokat hallottam; átnéztem a kerítésen - s gyökeret vert a lábam... Különös látvány tárult elém.	Thình lình tôi nghe một giọng nói; nhìn qua bờ dậu, và như bị sét đánh...tôi thấy một cảnh tượng ngoạn mục.
A fiatalemberek szívesen tartották oda homlokukat, a lány mozdulataiban pedig (oldalról láttam) volt valami annyira elbűvölő, pa­ran­csoló, kedves és komikus báj, hogy majdnem felkiáltottam a csodálattól és gyönyörűségtől, s azt hiszem, mindent odaadtam volna a világon, ha azok a szépséges ujjacskák nekem is a homlokomra koppintottak volna.	Các chàng trai hào hứng chìa trán ra, và phong thái của nàng (tôi nhìn thấy nửa gương mặt) có chứa một điều gì vô cùng quyến rũ, kiêu kỳ, dịu dàng, diễu cợt và duyên dáng, khiến tôi sắp sửa phải kêu lên, nguỡng mộ và sung sướng, và tôi nghĩ, tôi cô thể đánh đổi tất cả mọi thứ trên thế gian này tại thời điểm ấy, chỉ để được những ngón tay thanh nhã đó đánh vào trán tôi.
A puskám lecsúszott a földre, mindenről megfeledkezve néztem azt a karcsú alakot, azt a nyakat, azt a két szép kezet, a fehér kendő alól kibomló szőke hajat, azt a félig csukott, okos szemet, azokat a szempillákat, s alattuk a finom bőrű orcát...	Cây súng của tôi tuột xuống cỏ, tôi quên đi tất cả, tôi ngấu nghiến ngắm những đường cong, chiếc cổ mỹ miều, đôi cánh tay đáng yêu và mái tóc hơi xô lệch dưới vành khăn trắng, cặp mắt ranh mảnh khép hờ, bờ mi và đôi má mềm mại bên dưới.
- Fiatalember, fiatalember - szólalt meg egyszerre egy hang mellettem -, illik-e ilyen szemmel nézni idegen kisasszonyokra?	"Chú bé, ê, chú bé," một giọng nói đột ngột vang lên ngay bên cạnh: "có lý nào chú được phép nhìn chòng chọc vào một cô gái chưa quen biết?"
Megrezzentem és megdermedtem... Rövidre nyírt, fekete hajú férfi állt mellettem a kerítésen túl, s gúnyosan nézett reám.	Tôi giật mình, cảm thấy hổ thẹn...Đứng gần tôi, bên kia bờ dậu là một người đàn ông có mái tóc đen nhánh cắt sát, nhìn tôi với vẽ châm chọc.
A szívem erősen vert; nagyon szégyelltem magam, s nagyon jókedvű voltam: eddig nem ismert izgalom vett erőt rajtam.	Tim tôi đâp rộn ràng; vừa e thẹn vừa sung sướng; tôi cảm nhận một niềm hân hoan chưa hề biết đến.
Pihenés után megfésülködtem, rendbe hoztam magam, s lementem teázni.	Sau một lúc nghĩ ngơi, tôi chải lại tóc, rửa mặt và xuống lầu để dùng trà.
A fiatal lány képe előttem lebegett, a szívem már nem vert olyan erősen, de valami jóleső érzés töltött el.	Hình ảnh của nàng bềnh bồng trước mắt, tim tôi không còn đập mạnh nữa, nhưng đầy niềm thống trị ngọt ngào.
- Mi bajod?	"Con có sao không?"
Szerettem volna mindent elmondani neki, de megtartóztattam magam, s csak mosolyogtam magamban.	Suýt chút nữa tôi đã kể hết cho ông nghe, nhưng tự kìm hảm được, và chỉ mĩm cười một mình.
Mikor a lefekvéshez készültem, magam sem tudom miért, hármat fordultam a fél lábamon, megkentem a hajam, lefeküdtem, s egész éjjel aludtam, mint a tej.	Khi sắp sửa đi ngủ, tôi xoay ba vòng -- không biết tại sao -- trên một chân, bôi sáp vào tóc, lên giường, và ngủ say như một cái bông vụ suốt cả đêm.
Hajnaltájban felébredtem egy pillanatra, felemeltem a fejem, elragadtatva körülnéztem - s megint elaludtam.	Đến gần sáng tôi choàng tỉnh, nhấc đầu lên, nhìn chung quanh trong hưng phấn, và lại chìm ngay vào giấc ngủ.
3	Chương 3
Reggeli előtt lementem a kertbe, de nem kerültem a kerítés közelébe, s nem is láttam senkit.	Trước bửa ăn sáng, tôi dạo ngoài vườn, không đến quá gần bờ dậu, và không gặp ai.
ez itt a kérdés." Visszaidéztem tegnapi találkozásunk legapróbb részleteit, s magam sem tudom, miért, arra emlékeztem a legélesebben, hogyan nevetett rajtam... De mialatt így nyugtalankodtam, s különböző terveket szőttem, a sors már segítségemre jött.	Những chi tiết của cuộc gặp gỡ hôm qua, cách nàng cười nhạo tôi, vì một lý do nào đó, vẫn sống động trong tâm trí.....Trong lúc tôi nặn óc tính toán, định mệnh đã sắp sẳn cho tôi một cơ hội.
Míg nem voltam otthon, anyám szürke papirosra írt levelet kapott az új szomszédasszonytól; barna pecsétviasszal volt lezárva, amilyent postautalványokon és olcsó borok dugóin szoktak használni.	Khi tôi vắng mặt, mẹ tôi nhận được một lá thơ từ người láng giềng mới.. Thơ viết trên giấy xám, niêm phong bằng sáp nâu, loại sáp chỉ dùng ở các thông báo của sở bưu điện hay ở nút bấc các rươụ vang rẻ tiền.
Kellemetlen hangulatban találtam anyámat: apám nem volt otthon, s nem volt kivel tanácskoznia a dologról.	Không thể không phúc đáp một phu nhân, nhất là một công chúa.
Válasz nélkül hagyni a hercegné levelét lehetetlen volt, de hogyan válaszoljon - ez volt anyámnak a bökkenő.	Nhưng mẹ tôi không biết hồi âm bằng cách nào.
Francia nyelvű írást küldeni helytelen lett volna, az orosz helyesírásban pedig anyám maga sem volt erős - ő tudta ezt -, s nem akarta kompromittálni magát.	Viết tiếng Pháp thì không hợp lẽ, tiếng Nga của mẹ tôi lại đầy lỗi chính tả, bà không muốn phơi bày nhược điểm ấy.
Megörvendett jöttömnek, s azonnal meghagyta nekem, hogy menjek el a hercegnéhez, s mondjam meg a következőket: anyám, amennyire tőle telik, kész szívességet tenni a kegyelmes asszonynak, s arra kéreti, jöjjön el hozzá egy órakor.	Khi tôi xuất hiện, mẹ rất vui mừng, lập tức sai tôi qua nhà công chúa để báo tin rằng mẹ tôi luôn luôn vui lòng phụng sự trong khả năng của mình, và kính mời công chúa đến thăm gia đình chúng tôi lúc một giờ trưa.
4	Chương 4
Lerágott heringgerincet hozott egy tányéron, s miközben lábával betette az ajtót, mely a másik szobába vezetett, öreges hangon ezt kérdezte:	Trên tay ông là một cái dĩa đựng một con cá trích đã gậm nham nhở còn trơ xương; vừa lấy chân đóng lại cánh cửa phòng, ông vừa gắt vào mặt tôi.
- Mit óhajt?	"Cậu cần gì?"
- Itthon van Zaszekina hercegné?	"Công chúa Zasyekin có nhà không ạ?"
- kérdeztem.	tôi hỏi.
- Vonyifatyij!	"Vonifaty!"
- csörrent meg egy női hang az ajtó mögött.	một giọng nói đàn bà chát chúa từ bên trong vọng ra.
Az inas szó nélkül elfordult tőlem, s ezzel libériájának kopott háta s egyetlen, vörösre fakult címeres gombja láthatóvá vált.	Không nói một lời, ông quay lưng lại, phô ra phần sau của bộ đồng phục đã sờn, trên đó có đính duy nhất một chiếc nút huy hiệu màu đỏ nhạt; ông để cái dĩa xuống sàn, và bỏ đi.
Majd a tányért a padlóra téve, bement.	"Ngươi đã ra đồn cảnh sát chưa?"
- Voltál a kerületi kapitányságon?	cùng một giọng nói cất lên.
Az inas dünnyögött valamit.	tôi lại nghe hỏi.
- szólalt meg újra.	Vậy mời cậu ấy vào."
- A fogadószobába tessék - mondta az inas, mikor ismét megjelent, s felvette a tányért a padlóról.	ông ta trở ra, nói với tôi, và cúi xuống nhặt cái dĩa thức ăn lên.
Utánaindultam, s beléptem a "fogadószobába".	Cố kiềm chế lòng xúc động, tôi bước vào.
Kisebb, nem egészen tiszta szoba volt ez, szegényes, szinte hevenyében összeállított bútor­felszereléssel.	Căn phòng nhỏ và không sạch sẽ chi mấy, bàn ghế tuềnh toàng, sắp đặt bừa bải như thể có ai đã vội vã quẳng vào.
Az ablaknál egy törött karfájú támlásszékben, körülbelül ötvenéves, dísztelen hajú, nem szép nő ült, régi zöld ruha volt rajta, tarka gyapjúsál a nyaka körül.	Cạnh cửa sổ, trong chiếc ghế sứt tay, một người đàn bà trạc chừng năm mươi tuổi, không đội mũ, xấu xí, mặc một chiếc áo xanh lục, với một chiếc khăn choàng bằng vải len sọc khoác quanh cổ.
Apró, fekete szemét erősen rám szegezte.	Đôi mắt đen, nhỏ xíu như kim nhìn tôi chòng chọc.
Odaléptem hozzá, s meghajtottam magam.	Tôi đến gần, cúi chào.
- Zaszekina hercegnével van szerencsém beszélni?	"Xin kính cẩn ra mắt công nương Zasyekin?"
Vonyifatyij!	"Mời cậu ngồi.
Közöltem Zaszekina asszonnyal anyámnak az ő levelére küldött válaszát.	Tôi chuyển lại cho công chúa Xasyekin câu trả lời của mẹ tôi.
Végighallgatott, vastag, vörös ujjaival az ablakpárkányon dobolt, s amikor befejeztem, még egyszer rám szegezte a szemét.	Bà ngồi nghe tôi nói, nhịp những ngón tay béo mập màu đỏ lên thành cửa sổ, và sau khi tôi dứt lời, bà nhìn tôi một lần nữa.
- Rendben van; feltétlenül ott leszek - szólalt meg végre.	"Tốt lắm; tôi sẽ đến," cuối cùng bà nói.
- De maga milyen fiatal!	"Nhưng trông cậu còn trẻ quá!
Hány éves, ha szabad kérdeznem?	Cho phép ta hỏi, cậu được bao nhiêu tuổi?"
- Tizenhat - feleltem önkéntelen akadozással.	"Mười sáu," tôi lập bập trả lời.
A hercegné teleírt, piszkos papírokat vett ki a zsebéből, közvetlenül az orra elé emelte, s elkezdte vizsgálgatni.	Công chúa lấy từ trong túi áo mấy miếng giấy nhớp nháp viết kín chữ, giơ lên gần mũi và bắt đầu đọc.
- Szép életkor - mondta aztán hirtelen, megfordulva és fészkelődve a széken.	Thình lình bà bật nói, "Tuổi đẹp lắm," cựa quậy trong chiếc ghế .
- Kérem, ne feszélyezze magát.	"Và xin cậu cứ tự nhiên như đang ở nhà.
Nálam minden egyszerű.	Ta không giữ lễ nghi, kiểu cách."
"Nagyon is egyszerű" - gondoltam, önkéntelen utálattal nézegetve tiszteletet igazán nem parancsoló alakját.	"Đúng thế," tôi thầm nghĩ, liếc qua bộ dạng thiếu thẩm mỹ của bà với sự ghê tởm không kìm hảm nỗi.
Ebben a pillanatban a fogadószoba másik ajtaja hirtelen kitárult, s a küszöbén megjelent a lány, akit tegnap estefelé a kertben láttam.	Ngay lúc ấy, một cánh cửa mở ra đột ngột, và đứng nơi khung cửa là thiếu nữ tôi đã gặp chiều hôm qua trong vườn.
Felemelte a kezét, s az arcán gúnyos mosoly jelent meg.	Tay nàng giơ cao, và một nụ cười diễu cợt rạng rỡ trên gương mặt.
- Ez itt a lányom - mondta a hercegné, könyökével feléje mutatva.	"Đây là con gái tôi," công chúa nói, hất khủy tay về phía nàng.
- Vlagyimirnak - feleltem felállva, s a hangom bizonytalankodva megremegett.	"Vladimir," tôi trả lời, đứng lên, và cà lăm vì phấn khởi.
Vonyifatyij!	Vonifaty!
A fiatal lány még mindig az előbbi gúnyos mosollyal nézett reám, kissé hunyorító szemmel, s egy kicsit oldalra billentve fejét.	Thiếu nữ vẫn nhìn tôi với cùng nụ cười cũ, mi mắt chớp nhẹ, và hơi nghiêng đầu sang một bên.
- Én már láttam mszjő Voldemart - szólalt meg aztán.	"Con đã gặp ông Voldemar," nàng bắt đầu nói.
(Ezüstcsengésű hangja édesen megbor­zon­gatott.)	(Giọng nói thánh thót như bạc của nàng làm cho tôi rùng mình.)
- Megengedi, hogy így szólítsam?	"Cậu bằng lòng cho tôi gọi cậu như thế ?"
- Tessék - dadogtam.	"Vâng ạ," tôi lúng túng.
- Hol láttad?	"Gặp ở đâu vậy?"
- kérdezte az anyja.	bà công chúa hỏi.
A hercegkisasszony nem felelt az anyjának.	Công chúa bé không trả lời mẹ.
- El van most foglalva?	"Cậu có bận gì không?"
- kérdezte, nem véve le rólam a szemét.	nàng nói, không dời mắt khỏi tôi.
- Egyáltalában nem.	"Ô, không.'
- Segítene nekem a gyapjúfonalat bontogatni?	"Cậu có vui lòng giúp tôi tháo một mớ len?
Akkor jöjjön csak ide hozzám.	Vào đây, theo tôi nào."
Intett a fejével, s kiment a fogadószobából.	Nàng gật đầu ra hiệu và bước khỏi phòng khách.
Én utánaindultam.	Tôi đi theo.
A szobában, melybe beléptünk, valamivel jobbfajta bútor volt, s több ízléssel berendezve.	Trong căn phòng chúng tôi bước vào, bàn ghế tốt hơn một chút, và được bày biện mỹ thuật hơn.
Egyébként ebben a pillanatban alig vettem észre valamit: mintha álomban jártam-keltem volna - bárgyúságig fokozódó boldogságot éreztem egész lényemben.	Tuy nhiên, thực tình mà nói, lúc ấy tôi không có khả năng nhận biết gì nữa; tôi đi như trong cơn mơ và cảm thấy xuyên suốt một niềm hạnh phúc mãnh liệt tới mức khờ dại.
A hercegkisasszony leült, elővett egy motring piros gyapjúfonalat, helyet mutatott nekem a vele szemben levő széken, gondosan kioldotta, s a két kezemre tette.	Cô công chúa ngồi xuống, lấy một cuồn len đỏ và, ra hiệu cho tôi tới chỗ đối diện, cẩn thận mở cuồn len, đặt vào tay tôi.
S mindezt szó nélkül cselekedte, valami komikus lassúsággal s ugyanazzal a derűs, ravasz és gúnyos mosollyal... alig szétnyílt ajkain.	Nàng làm tất cả chuyện này trong im lặng, hầu như cố tình diễu cợt, vẫn giữ một nụ cười tinh quái trên đôi môi mở hé.
Összesodort kártyára kezdte tekerni a fonalat, s egyszerre olyan ragyogó tekintetet villantott reám, hogy önkéntelenül lesütöttem a szemem.	Nàng bắt đầu quấn len vào một miếng bìa cong, và bất thình lình nhìn tôi, thật nhanh và ranh mảnh, khiến tôi sửng sờ, không thể không cụp mắt xuống.
Valahányszor az összeszűkűlő szem teljes nagyságúra nyílt - arca egészen megváltozott; mintha fényesség áradt volna el rajta.	Thông thường đôi mắt nàng khép nửa vời, một khi mở to ra hết mức, gương mặt nàng biến đổi hoàn toàn; như thể chìm đắm trong biển ánh sáng.
- Mit gondolt rólam tegnap, mszjő Voldemar?	"Cậu nghĩ gì về tôi hôm qua, hở Cậu Voldemar?"
- kérdezte egy kis idő múlva.	nàng hỏi tôi sau một thoáng im lặng.
- Bizonyosan elítélt.	"Cậu nghĩ xấu về tôi, phải không?"
- Én... hercegkisasszony... semmit sem gondoltam... hogy is tehetném... - feleltem zavartan.	"Tôi....công chúa...tôi không nghĩ gì cả...sao tôi có thể nghĩ vậy đươc?..."
- Ide hallgasson - mondta erre.	tôi bối rối trả lời.
Maga, amint hallom, tizenhat éves, én pedig huszonegy; én, látja, sokkal idősebb vagyok, s ezért mindig igazat kell mondania nekem... és szót kell fogadnia - tette hozzá.	Tôi vừa biết, cậu mới có mười sáu tuổi, và tôi đã hai mươi mốt tuổi: cậu phải hiểu là tôi lớn hơn cậu nhiều, cậu phải luôn luôn nói thật với tôi....và làm theo mệnh lệnh của tôi," nàng thêm vào.
- Nézzen rám, miért nem néz rám?	"Nhìn tôi này: sao cậu không nhìn tôi hở?"
Még nagyobb zavarba estem; de ráemeltem a szemem.	Tôi càng xấu hổ; tuy nhiên, tôi vẫn ngước mắt nhìn.
Elmosolyodott, de most már nem az előbbi, hanem más, helyeslő mosollyal.	Nàng mĩm cười, không phải nụ cười như trước, mà là một nụ cười kẻ cả.
- Nézzen rám - mondta gyöngédre halkítva a hangját -, nekem ez jólesik... Tetszik nekem az arca; előre érzem, hogy jó barátok leszünk.	"Nhìn tôi," nàng nói, hạ giọng vuốt ve: "Tôi không phải không thích vậy...tôi thích gương mặt cậu; tôi có linh tính rằng chúng ta sẽ là bạn tốt.
Hát én tetszem magának?	Thế nhưng cậu có mến tôi không ?"
- tette hozzá huncutul.	nàng nói thêm, láu lỉnh.
- Hercegkisasszony - készültem felelni...	"Công chúa.." tôi bắt đầu nói.
- Először is szólítson Zinaida Alekszandrovnának; másodszor pedig, miféle gyerekszokás (helyesbítette a szót), fiatalemberszokás az, hogy nem mondják ki nyíltan, amit éreznek?	"Điều trước tiên, cậu phải gọi tôi là Zinaida Alexandrovna, và điều thứ hai, là một thói xấu nếu như trẻ con" (nàng tự sửa) " nếu như người trẻ - không nói thẳng ra cảm tưởng của họ.
Ezt hagyjuk a felnőttekre.	Với người lớn cũng thế.
Nos, tetszem magának?	Cậu mến tôi, phải không?"
