ELSŐ RÉSZ	PHẦN THỨ NHẤT
A rengetegben nyírfa, bükk és tölgy váltakozott; vastag moha és gyepszőnyeg fogta fel a menetelő legénység lépteinek zaját: sehol egy ösvény, vagy ha mégis akadt itt-ott egy, azt azonnal elnyeli a rengeteg; magyal- és kökénybokrok, páfrányok, tövises iglicék, hatalmas, szúrós indák; tíz lépés távolságról a katonák már nem látták egymást.	Rừng toàn là cây phong, dẻ gai, sồi; mặt đất bằng phẳng; rêu và cỏ mọc dày khiến đoàn quân tiến bước cũng không có tiếng động; chẳng có con đường mòn nào, hay có rồi mất ngay; còn có cả cây ô-rô, mận dại, đuôi chồn, kim hoa mọc thành hàng rào, những cây gai cao; dù có người cách mười bước cũng không tài nào nhìn thấy.
Így meneteltek, vaktában, nyugtalansággal telve; féltek, hogy rátalálnak arra, amit keresnek.	Họ tiến không nhằm một đích nào cả, bồn chồn, như sợ gặp phải cái mà họ đang tìm.
De azután mindnyájan eltűntek!	Nhưng những kẻ qua đây đã mất tích.
Hol lehetnek most?	Họ ở đâu?
Vagy talán itt bújtak el a közelben; ujjuk a rövid puska ravaszán?	Có thể ở kia, ngay bên cạnh, họ nấp kín, tay lăm lăm khẩu súng ngắn.
Az erdő elhagyottnak látszott.	Rừng như hoang vắng.
Hátha tőrbe csalják őket!	Họ có thể bị phục kích.
Harminc gránátos, elég nagy távolságra a csapat zömétől, földerítőként nyomult előre egy őrmester vezetésével.	Ba chục khinh binh tách ra thành đội trinh sát và do một viên đội chỉ huy, tiến lên trước, cách đại quân một quãng khá xa.
A zászlóalj markotányosnője is elkísérte őket.	Chị căng-tin của tiểu đoàn cũng đi theo.
A kíváncsiság a női merészség egyik formája.	Tính tò mò là một kiểu gan dạ của đàn bà.
A felderítő osztag katonái hirtelen megtorpantak, azzal az érzéssel, melyet a vadászok jól ismernek, és amely a vad búvóhelyének közelségét jelzi.	Đột nhiên, cả toán tiền tiêu nhỏ đó rùng mình như thường thấy ở những người đi săn khi đến gần ổ thú.
Jelt adtak egymásnak.	Họ ra hiệu cho nhau.
A felderítő osztagok ilyen kémlelő és nyomozó munkájába a tiszteknek fölösleges beleavat­kozniuk; amit meg kell tenni, az úgyis megtörténik magától.	Việc tuần tiễu, kiểm tra giao phó cho đội trinh sát, sĩ quan chẳng cần xen vào; việc phải làm tất nhiên họ sẽ làm được.
Aztán a katonákhoz fordult:	Và quay lại phía binh sĩ:
- Ne lőjetek, bajtársak!	— Dừng bắn, anh em!
A többiek követték.	Mọi người cùng ùa vào.
Csakugyan volt ott valaki.	Quả là trong đó có người.
A sűrű bokor kellős közepén, egy kis, kerek tisztás szélén - az erdőben a szénégetők kemencéi hoznak létre ilyeneket, azzal, hogy kiégetik a fák gyökereit -, valami ágboltozat alatt, egy kis leveles színben, mely egyik oldalán nyitott volt, mint egy hálófülke, egy asszony ült a mohán; kisgyermeket szoptatott, és a térdén másik két alvó gyermekének szőke feje pihent.	Giữa chỗ rậm nhất, kề bên một khoảng trống nhỏ hình tròn, nơi người ta đã dựng lò đốt rễ cây để lấy than, trong một thứ hang kết bằng cành cây, trông như một buồng ngủ bằng lá hé mở, một người đàn bà ngồi bệt trên rêu, ôm trong lòng một đứa bé đang bú, và trên đùi, hai đứa trẻ tóc vàng hung hung gối đầu ngủ.
Ez volt a leshelyen megbúvó csapat!	Họ đã bị phục kích như thế đó.
- Mit csinál maga itt?	Chị căng-tin kêu lên:
- kiáltotta a markotányosnő.	— Nhà chị này làm gì ở đây?
Az asszony felemelte a fejét.	Người đàn bà ngẩng đầu lên.
A markotányosnő dühösen folytatta:	Chị căng-tin nổi giận, tiếp:
- Kis híja volt, hogy le nem gyilkoltuk!	— Suýt nữa thì chị mất mạng!
És a katonák felé fordulva így szólt:	Rồi quay lại phía binh sĩ, chị bảo:
- mondta egy gránátos.	— Một anh lính trả lời.
A markotányosnő tovább beszélt:	Chị căng-tin lại tiếp:
Az asszony megdöbbent; kábultan, kővé meredve nézett körül, mintha álomban látná ezeket a puskákat, kardokat, bajonetteket és a vad arcokat.	Người đàn bà kinh ngạc, hoảng sợ, sững sờ, nhìn chung quanh thấy những súng, những gươm, những lưỡi lê, những bộ mặt hung dữ đó như qua một giấc mơ.
Most a két gyermek is fölébredt, és sírni kezdett.	Hai đứa bé bỗng thức dậy và kêu lên:
- Félek - szólt a másik.	Đứa bé nhất vẫn bú.
A markotányosnő a gyerek fölé hajolt:	— Chú mày làm thế là phải đấy.
- Ne féljen tőlünk!	— Chị đừng sợ.
A vörössipkás zászlóalj katonái vagyunk.	Anh em đây đều là tiểu đoàn Mũ Đỏ.
Az asszony egész teste remegett.	Toàn thân người đàn bà run lên.
- Honnan való vagy, asszonyság?	Viên đội lại hỏi tiếp:
- folytatta az őrmester.	— Nhà chị là ai?
Az asszony dermedten bámult rá.	Người đàn bà khiếp sợ nhìn ông ta.
Fiatal volt, sovány, sápadt, rongyos; a breton nők viseletét hordta; nagy körgallérba burkolózott, és gyapjútakaróját madzaggal a nyakába kötötte.	Chị ta người gầy, trẻ, xanh xao, rách rưới, đội chiếc mũ chụp rộng vành của phụ nữ nông thôn vùng Bretagne và khoác một chiếc chăn len buộc vào cổ bằng một sợi dây.
A nőstény állatok közömbösségével hagyta fedetlenül meztelen mellét.	Chị ta để hở vú với vẻ thản nhiên của người đã có con.
Nem volt se harisnyája, se cipője, a lába vérzett.	Chân không, không tất, rơm rớm máu.
- Ez egy szegény asszony - mondta az őrmester.	— Đây là một người nghèo - Viên đội thốt ra.
A markotányosnő újra faggatni kezdte katonás és mégis nőies hangján, amelyben szelídség bujkált:	Rồi chị căng-tin lại cất cái giọng lính tráng nhưng vẫn đàn bà, ngụ vẻ dịu dàng:
- Hogy hívják?	— Chị tên là gì?
- Michelle Fléchard.	— Michelle Fléchard.
- Azt kérdeztem, hogy mennyi idős a kicsi?	— Tôi hỏi chị, bé này lên mấy?
- riadt fel az asszony. - Tizennyolc hónapos.	Mười tám tháng - Người mẹ nói.
- Annak már nem jár szopás.	— Già tháng rồi.
Majd elválasztja!	Không nên cho bú nữa.
Megetetjük levessel.	Cai sữa đi thôi.
Az anya lassan megnyugodott.	Chúng tôi sẽ cho nó ăn súp.
A két másik csöppség is élénkebb lett.	Người mẹ bắt đầu thấy vững dạ.
Nem látszott rajtuk semmi félelem; inkább kíváncsiak voltak.	Hai đứa bé mới tỉnh dậy, tò mò hơn là sợ sệt.
Majd hozzátette:	Rồi chị ta tiếp:
- Már nincs több tejem.	Viên đội kêu lên:
- Majd megetetjük őket, és neked is adunk - kiabálta az őrmester.	— Người ta khắc cho chúng ăn, và cả chị nữa.
Az asszony ránézett az őrmesterre, és nem válaszolt.	Người đàn bà nhìn viên đội không trả lời.
- Megértetted, hogy mit kérdeztem?	— Có nghe rõ câu tôi hỏi không?
A nővérek megta­nítottak franciául.	Các bà phước dạy tôi nói tiếng Pháp .
A falunkat felgyújtották.	Người ta đã đốt làng.
Menekülni kellett, nem volt időm cipőt húzni.	Mẹ con tôi chạy tháo thân, không kịp xỏ nữa.
- Azt kérdeztem tőled, mi a politikai véleményed?	— Tôi hỏi chính kiến của nhà chị thế nào?
Az őrmester folytatta:	Viên đội tiếp luôn:
Az őrmester meg­ismételte:	— Tổ quốc chị là gì?
- Hol a hazád?	— Tôi không biết - Chị ta nói.
- Hogyhogy nem tudod?	Quê hương tôi.
- Ó, a szülőhelyem... Hogyne tudnám...	— Ừ, quê hương chị là gì?
- No, akkor válaszolj!	Người đàn bà trả lời:
Most az őrmester csodálkozott el.	Đến lượt viên đội sửng sốt.
- Siscoignard.	— Siscoignard.
- No de az nem a szülőhelyed, az...	— Đấy không phải là một tổ quốc.
Maga Franciaországból való, én meg Bretagne-ból.	Các ông ở đất Pháp, còn tôi, tôi ở Bretagne.
- Hát aztán?	— Thì sao?
- Az nem ugyanaz az ország.	— Không cùng một quê hương.
- De ugyanaz a szülőhaza!	— Cùng một tổ quốc đấy!
- kiáltotta az őrmester.	- Viên đội nói to.
- Jól van, legyen Siscoignard - hagyta rá az őrmester. - A család is odavaló?	— Thôi được, người Siscoignard - Viên đội nói tiếp - Gia đình chị ở đấy à?
Mindnyájan meghaltak.	— Chết cả rồi.
Már senkim sincsen.	Tôi chẳng còn ai.
Az őrmester kissé szeretett beszélni, s folytatta a kihallgatást:	Viên đội, vốn tay khéo nói, tiếp tục cuộc thẩm vấn:
- Az ördögbe is, mindenkinek vannak rokonai!	— Ai cũng có bố mẹ họ hàng, quỷ quái!
Vagy legalábbis voltak!	Hoặc trước đây đã có.
Beszélj!	Nói đi.
Az asszony ijedten hallgatta ezt a "Vagy legalábbis voltak"-ot, mely inkább vadállati üvöltésnek, mint emberi szónak tetszett.	Người đàn bà mất cả hồn vía khi nghe những tiếng hoặc trước đây đã có , giống tiếng kêu của loài thú hơn là tiếng người.
Újra megsimogatta a csecsemőt, a másik kettőnek pedig barackot nyomott a feje búbjára.	Chị lại vuốt ve đứa bé đang bú và tát yêu vào má hai đứa lớn, rồi chị hỏi:
- Hogy hívják a picit?	— Cái đang bú tí tên gì?
Látom, hogy leány.	Con gái đây mà.
- Hát az idősebb fiút?	— Thế đứa lớn?
Mert már kész ember ez a kis csibész.	Nhóc ấy đúng là con trai.
- René-Jean.	— René-Jean.
- Hát a fiatalabbat?	— Và đứa em?
Mert már ez a kis pufók is embernyi ember!	Cũng là con trai, má lại phính nữa.
- Gros-Alain - válaszolta az anya.	— Gros Alain - Người mẹ trả lời.
- Milyen kedvesek ezek az apróságok - folytatta a markotányosnő.	— Các cháu bé này kháu lắm - Chị căng-tin nói - Ra mẽ người lớn lắm rồi.
- Már látszik rajtuk, hogy van eszük.	Nhưng lúc ấy viên đội hỏi gặng:
De az őrmester csak nem engedett:	— Chị hãy trả lời đi đã.
- Beszélj hát, asszonyság.	Chị có nhà cửa gì không.
- Azéban.	— Ở Azé.
- Mert fölégették a házamat.	— Vì người ta đốt mất rồi.
- Kicsoda?	— Ai đốt?
Csata volt a faluban.	Một trận đánh nhau.
- Térj a tárgyra.	— Tôi không biết.
- Nem tudom.	Chị là ai?
- Nem tudod, ki vagy?	— Tôi không biết.
- A kékekkel tartasz?	— Chị ở phe nào?
Csönd lett.	Đi với ai?
- Nekem nincsenek gyermekeim.	Một lát tạm ngừng.
Nem volt időm hozzá.	Chị căng-tin lại nói:
Az őrmester újrakezdte:	— Tôi thì tôi chẳng có con.
Beszélj hát a tieidről!	Thế chị nói về các cụ đi.
- Fléchard-ék voltak!	— Gọi là ông bà Fléchard.
Ez minden.	Thế thôi.
De mindenki valami ebben az életben.	Nhưng người ta ai cũng có một hoàn cảnh.
Mit csinálnak most?	Bây giờ làm gì?
Az apám nyomorék volt.	— Ông bà ấy làm ruộng.
- A nagyapám hugenotta volt.	— Ông tôi theo Tân giáo .
Akkor még egészen kicsi voltam.	Lúc đó tôi còn bé tí.
- A férjem apja sót csempészett.	— Bố chồng tôi làm muối lậu.
A király fölakasztatta.	Đức vua sai treo cổ.
- Kiért?	— Cho ai?
- A királyért.	— Cho đức vua.
- Azután?	— Ai nữa?
- Hát az uráért.	— Cho lãnh chúa.
- És még kiért?	— Ai nữa?
- kiáltotta az egyik gránátos.	- Một anh khinh binh quát lên.
Az asszony rémülten nézett rá.	Người đàn bà giật mình kinh hãi.
- Lássa, asszonyom, mi párizsiak vagyunk - mondta kedvesen a markotányosnő.	— Đấy chị xem, chúng tôi là người Paris mà lị - Chị căngtin dịu dàng nói.
Az asszony összecsapta a kezét és fölsikoltott:	Người đàn bà chắp tay lại và kêu lên:
- Istenem, Teremtőm, Jézusom!	— Jésus Maria, lạy chúa tôi!
- Csak semmi babonáskodás! - kiáltotta az őrmester.	— Đừng có mê tín - Viên đội lại bảo.
A markotányosnő leült az asszony mellé, és térdére ültette az idősebb fiút, aki ezt szó nélkül tűrte.	Chị căng-tin ngồi xuống bên cạnh người đàn bà, kéo thằng con trai lớn vào lòng, thằng bé ngoan ngoãn theo chị.
- Szegény jó asszony, milyen szépek a gyerekei!	Chẳng hiểu chúng nó có linh cảm thế nào.
A nagy bizonyára négyéves, az öccse három.	Thằng cu lớn lên bốn, thằng em lên ba.
Ami meg a csöppséget illeti, hát ő még szopik.	Còn cái đĩ con đang bú mẹ kia, háu ăn thật.
Egyszer még felfalod anyádat!	Chị xem đấy, đừng sợ gì cả.
Látja, asszonyom, tőlünk nem kell félnie.	Chị nên gia nhập tiểu đoàn.
De jobban szeretem, ha így hívnak, mint mamzell Bicorneau-nak, ahogy anyámat nevezték.	Tôi là người bán hàng căng-tin, nghĩa là người cho lính uống rượu khi họ bắn giết nhau.
Az, aki inni ad a katonáknak, amikor lövöldöznek, és egymást gyilkolják.	Chân chúng ta cũng gần bằng nhau, tôi sẽ cho chị đôi của tôi.
A lábunk, úgy látom, egyforma.	Tôi cũng ở Paris hôm 10 tháng 8.
Majd adok magának egy pár cipőt a magaméból.	Tôi đã đem rượu cho Westermann uống.
Láttam, hogyan vágták le a fejét XVI.	Tôi được xem chém đầu Louis XVI.
Lajosnak, Capet-nak,7 ahogy mostanában mondják.	Người ta gọi hắn là Louis Capet, hắn không muốn đâu.
Hogy is tetszett volna?	Tất nhiên thôi.
Hisz január tizenharmadikán még gesztenyét sütött, és együtt nevetgélt a családjával!	Đâu mới hôm 13 tháng 1, hắn còn sai luộc hạt dẻ và cười đùa với vợ con.
Mikor erőszakkal ráfektették - ahogy mondják - a billenődeszkára, már nem volt se kabátja, se cipője; már csak ing volt rajta, egy pikémellény, egy szürke posztó térdnadrág és szürke selyemharisnya.	Lúc bắt hắn nằm lên cái người ta gọi là bàn chém, hắn chẳng còn áo, giày nữa; hắn mặc mỗi chiếc sơ-mi, một áo cộc may chần, một chiếc quần dạ xám và đôi bít-tất lụa xám.
Ó!	Ô!
Egy nagy butykosom van és egy kis csengőm, és ezzel be kell mennem a zajongó tömegbe, a fegyvertűzbe, az ágyútűzbe, abba a nagy összevisszaságba, és ezt kiabálom: "Ki akar inni egyet, fiúk?" Ennyi az egész.	Với chiếc bi-đông và một cái chuông con, ta đi giữa cảnh huyên náo, dưới làn đạn, giữa tiếng đại bác, trong tiếng ồn ào mà reo lên: "Các cậu, ai muốn tợp một ngụm nào?" Kể cũng chẳng vất vả gì.
A sebesülteket gyötri a szomjúság.	Đã bị thương thì ai chẳng khát.
Az emberek úgyis meghalnak, akármi a véleményük.	Người ta chết bất kể chính kiến.
A haldoklók megszoríthatnák egymás kezét.	Những người chết phải siết chặt tay nhau.
Micsoda bolondéria egymást ölni!	Đánh nhau thật là khờ dại!
Látja, ilyen vagyok én: de azért jó asszony, derék ember vagyok.	Chị xem tôi như thế này nhưng hiền lành trung hậu.
Ne féljen semmitől.	Đừng sợ gì hết.
Mikor a markotányosnő elhallgatott, a másik asszony ezt mormolta:	Chị căng-tin nói xong thì người đàn bà lẩm bẩm:
- A szomszédasszonyomat Marie-Jeanne-nak hívták, és a szolgálónkat Marie-Claude-nak.	— Bà hàng xóm nhà tôi tên là Marie-Jeanne, còn chị giúp việc chúng tôi tên là Marie-Claude.
Radoub őrmester összeteremtette a gránátost:	Trong lúc đó, viên đội Radoub mắng anh khinh binh:
- Hallgass!	— Im đi!
Megijesztetted az asszonyságot.	Cậu làm cho chị ta sợ.
Hölgyek előtt nem illik káromkodni!	Không ai chửi rủa trước mặt đàn bà.
Az őrmester rámordult:	Viên đội quát lên:
A gránátos újrakezdte:	— Hàng ngũ im lặng!
- Aztán az asszonyhoz fordult: - És a férjed, jó asszony?	Rồi viên đội quay lại hỏi người đàn bà:
- Három nappal ezelőtt.	— Đã ba hôm nay.
- Kicsoda?	— Ai giết?
- Egy puskagolyó.	— Đã ba hôm rồi à?
- Ernée körül.	— Phía Ernée.
A férjem leroskadt.	Chồng tôi ngã xuống.
- Mit csinálsz, mióta a férjed meghalt?	— Thế từ khi chồng chết, chị làm gì?
- Viszem a gyerekeket.	— Tôi đem các con đi.
- Hova viszed?	— Đem đi đâu?
- A földön.	— Ngủ đất.
- Mit eszel?	— Ăn gì?
Az őrmester katonaszokás szerint úgy felhúzta a száját, hogy a bajsza az orrába ért.	Viên đội bĩu môi kiểu nhà binh làm ria mép chạm vào mũi.
- Hát kökényt, szedret, ha találunk tavalyit az indák között, áfonyát, páfrányhajtást.	— Nghĩa là ăn mận rừng, quả dâu dại còn sót từ năm ngoái, hạt sim, nõn cây đuôi chồn.
Az idősebb fiú, aki, úgy látszik, megértette, miről van szó, megszólalt:	Thằng cu lớn có vẻ hiểu chuyện, nói: "Con đói rồi."
Az anya szétosztotta a kenyeret a gyermekek között.	Người mẹ bẻ mẩu bánh làm đôi, chia cho hai đứa con.
A kicsik mohón beleharaptak.	Hai đứa trẻ nhai ngấu nghiến.
- Semmit se tartott meg magának - mormolta az őrmester.	— Không giữ lại phần mình - Viên đội lầu bầu.
- Ez azt mutatja, hogy nem éhes - mondta az egyik katona.	— Chị ta không đói - Một người lính nói.
A gyermekek most abbahagyták az evést.	Lũ trẻ ngừng nhai bánh, kêu:
A markotányosnő leakasztotta rézbögréjét, amely a csengője mellett, az övén csüngött, fordí­tott egyet a vállára vetett kulacs csapján, és néhány cseppet csurrantva a bögrébe, a gyerekek szájához emelte.	Chị căng-tin lấy chiếc ca bằng đồng đeo ở thắt lưng, cạnh chiếc chuông con, vặn vòi chiếc bình vẫn đeo bên người, rót vài giọt vào đó rồi ghé ca vào miệng lũ trẻ.
A másik kiköpte a folyadékot.	Đứa thứ hai uống rồi nhổ ra.
- Pedig jó - mondta a markotányosnő.	— Ngon thế mà lại… - Chị căng-tin nói.
- Mi az, papramorgó?	— Rượu cay à?
- kérdezte az őrmester.	- Viên đội hỏi.
De hát ezek parasztok.	Mà lại hảo hạng đấy.
- És megtörölte a poharát.	Nhưng chúng là con cái dân quê mà.
Az őrmester újra megszólalt:	Viên đội lại hỏi tiếp:
- Azután csak úgy, vaktában?	— Phải thế chứ!
Nagy a világ, amerre a szemed lát!	— Chạy qua đồng như ma đuổi ấy à?
- Szaladtam, ahogy csak tudtam, azután már csak mentem, azután lerogytam.	— Tôi chạy hết hơi, rồi tôi đi, rồi tôi ngã.
- Szegény feje!	— Con chiên lành tội nghiệp - Chị căng-tin nói.
- mondta a markotányosnő.	Người đàn bà ấp úng:
- Mindenfelől lőnek ránk.	Súng nổ chung quanh tôi.
Nem tudom, mi bajuk egymással.	Chẳng hiểu họ muốn làm gì nhau.
A férjemet megölték.	Họ giết mất chồng tôi.
Csak ezt értettem az egészből.	Tôi chỉ hiểu có thế thôi.
Az őrmester a földre dobbantott a puska agyával, és ezt kiáltotta:	Viên đội nện báng súng xuống đất thình thịch, và kêu lên.
Az asszony tovább beszélt:	Người đàn bà lại nói tiếp:
- Múlt éjszaka egy korhadékban aludtunk.	— Đêm qua, chúng tôi ngủ trong "hang cây".
- Akkor - mondotta az őrmester - állva aludtatok.	— Tức là ngủ đứng - Viên đội nói.
Mit tehetünk róla, hogy ilyenek?	Không phải ai cũng là người Paris.
Nem lehet mindenki párizsi!	Chị căng-tin thốt lên:
- Furcsa lehetett - folytatta az őrmester -, mikor a kicsik ott benn sírni kezdtek.	— Mà rồi… - Viên đội nói tiếp - Lúc bọn trẻ khóc rống lên, ai đi qua đấy, chẳng nhìn thấy gì mà lại nghe cái cây gọi: "Bố ơi!", "Bu ơi!" thì thật là kỳ quặc.
A földet nézte, lemondó arccal, szemében a borzalmas szerencsétlenség ámulatával.	Chị nhìn xuống, nhẫn nại, đôi mắt ánh lên vẻ lâng lâng trước tai biến.
Hallgatag katonák állták körül ezt a nyomorúságot.	Binh sĩ lặng lẽ vây quanh người khốn khổ ấy.
Egy özvegyasszony, három árva, a menekülés, az elhagyatottság, a magány, körös-körül a szem­határon mindenütt háború dörög, éhség, szomjúság, minden táplálékuk a fű, fedelük az ég.	Một mẹ góa ba con côi, chạy trốn, bơ vơ, đơn độc, chiến tranh gào thét bốn phương trời, đói, khát, chỉ còn cỏ để ăn, màn trời chiếu đất.
Az őrmester az asszonyhoz lépett, szemét a csecsemőre szegezte.	Viên đội đến cạnh người đàn bà, mắt đăm đăm nhìn đứa bé đang bú.
Az apróság abbahagyta a szopást, fejét szelíden elfordította anyja melléről, szép, kék szemét a fölébe hajló ijesztő, szőrös, marcona arcra függesztette, és elmosolyodott.	Con bé nhả vú, khẽ quay đầu lại, đôi mắt xanh biếc, xinh đẹp nhìn bộ mặt gớm ghiếc, lông lá lởm chởm, hung hung đang cúi xuống nó, rồi nó nhoẻn miệng cười.
- Bajtársak, mindebből arra kell következtetnem, hogy a zászlóalj apaságot vállal.	— Anh em ạ, binh tình này, tôi cho rằng tiểu đoàn ta phải làm cha chúng nó.
Egyet­értünk?	Đồng ý chứ?
Örökbe fogadjuk ezt a három gyereket.	Chúng ta nuôi ba đứa trẻ này.
- Éljen a Köztársaság!	- Binh sĩ đều hô lớn.
- kiáltották a gránátosok.	— Thế là ổn! - Viên đội nói.
- Íme - mondta -, a vörössipkás zászlóalj gyermekei.	— Đây là những đứa con của tiểu đoàn Mũ Đỏ.
Majd hirtelen zokogni kezdett, hevesen átölelte az özvegyet, és ezt mondotta neki:	Rồi chị òa lên khóc, ôm hôn cuống quýt người đàn bà góa tội nghiệp và bảo chị ta:
- Milyen hamis szeme van a kislányodnak!	— Con bé ra vẻ hóm rồi đấy!
- Éljen a Köztársaság!	— Cộng hòa muôn năm!
- kiáltották újra a katonák.	- Binh sĩ lại hô lần nữa.
Az őrmester az anyához fordult:	Và viên đội bảo người đàn bà:
MÁSODIK KÖNYV	Đi theo chúng tôi.
A Claymore korvett	CHIẾN HẠM CLAYMORE
I	I
Ezerhétszázkilencvenhárom tavaszán, amikor Franciaországot minden határán ellenség támad­ta meg, és amikor az ország olyan szenvedélyes és ünnepélyes szórakozásban részesült, mint aminő a girondisták bukása volt, ez történt a La Manche szigetvilágában.	Mùa xuân năm 1793, giữa lúc nước Pháp bị tấn công khắp biên giới và đang xôn xao về việc phái Girondin bị lật đổ, thì tại quần đảo ngoài biển Manche xảy ra việc sau đây.
Egy este, június elsején, Jersey szigetén, a magányos kis Bonnenuit öbölben, talán egy órával napszállta előtt, olyan ködös időben, mely nagyon alkalmas a menekülésre, mert nagyon veszélyes a hajózásra, egy korvett húzta fel a vitorláit.	Buổi chiều ngày 1 tháng 6, một ngày đầy sương mù rất nguy hiểm để đi biển nhưng lại thuận tiện để lẩn tránh, ở Jersey, trong vịnh Bonnenuit nhỏ bé, vắng vẻ, độ một giờ trước lúc mặt trời lặn, có một chiến hạm nhẹ lên buồm ra khơi.
Ennek a hajónak francia volt a legény­sége, de ahhoz az angol flottillához tartozott, mely a sziget keleti csücskénél állomásozott, mondhatnók, őrködött.	Thủy thủ trên tàu là người Pháp, nhưng thuộc hạm đội Anh, đang cắm neo và như làm nhiệm vụ canh phòng ở mũi phía đông hòn đảo.
