ANTOINE DE SAINT-EXUPÉRY	Antoine de Saint-Exupéry
Spanyolország kevés oltalmat nyújt; a fenyegető kényszerleszállásra gondoltam, féltem, hogy nem találok megfelelő terepre.	Trên bản đồ khô khan tôi cắm cúi tìm nhưng chẳng thấy một vài chỉ dẫn tôi đương cần.
Guillaumet járt előttem azokon az utakon, ismerte a fortélyokat, amelyek az ember kezébe adják Spanyolország kulcsát.	Guillaumet hẳn là phải biết nhiều bí quyết để nắm lấy chìa khóa mở ngõ Tây Ban Nha, tôi cần gặp Guillaumet để xin thụ nghệ.
- Tudom, mi újság.	- Tôi biết tin rồi.
- Egy kicsit megöntözzük.	- Ta uống rượu mừng.
Úgy áradt belőle a bizalom, mint lámpából a fény.	Anh biết đó nhé, mọi sự trôi chảy êm ru.
Akkor majd gondolj azokra, akik előtted végigcsinálták ezt, mondd magadban: ami másnak sikerült, miért ne sikerülne neked is.	Và nghiêng thân dưới ánh đèn, tựa lên vai người bạn, tôi sống lại một phút giây bình thản của đời sống học sinh ngày cũ.
Mégis kiteregettem térképeimet, kértem, nézze át egy kicsit az útvonalat.	Nhưng bài học địa dư tối hôm ấy quả là một bài học dị thường.
S a lámpa alatt, az öregfiú vállára támaszkodva, újra elfogott a kollégiumi évek békessége.	Anh Guillaumet không dạy tôi học về Tây Ban Nha; anh biến Tây Ban Nha thành một người bạn thân ái của tôi.
Guillaumet nem megtanította Spanyolországot: barátommá tette.	Anh Guillaumet không nói gì về thành Lorca, nhưng lại nói về một cái nông trại nhỏ ở gần Lorca.
Nem Lorcáról beszélt, hanem egy egyszerű majorról Lorca közelében.	Bài học tối hôm đó đã đánh thức những gì?
Elfelejtett életükről, fölfoghatatlan messzeségükből olyan részleteket fogtunk föl, amilyenekről a világ egyetlen földrajztudósa sem tud.	Đối với một nhà địa dư học, thì con sông Ebre mới là đáng chú ý, vì nó chảy qua nhiều vùng đô thị lớn.
Helyére raktam azt a pásztorlánykát is, akiről a földrajztudósok megfeledkeztek.	Tôi ghi dấu chỗ nông trại, chỗ ba mươi con cừu, chỗ dòng khe ẩn dạng.
Amikor elhagytam Guillaumet-t, elfogott a vágy: gyalog menni át ezen a jeges téli éjszakán.	Tôi ghi thật đúng chỗ, cái vị trí của bà chủ trại, mà các nhà địa dư học đã bỏ qua.
Feltűrtem kabátom gallérját, ifjú lelkesedésemet vittem a gyanútlan járókelők között.	Lúc từ giã Guillaumet, tôi cảm thấy hai chân cần bước đi, trong cái đêm đông giá buốt này.
Ezek a barbárok nem ismernek, de napkeltekor rám bízzák postazsákjaikkal együtt gondjaikat, terveiket.	Len lỏi sát nách những người không quen, tôi hân hoan với niềm riêng tâm sự.
Kabátomba burkolózva úgy lépkedtem közöttük, mint pártfogójuk, de ők semmit sem tudtak aggodalmamról.	Họ cũng chẳng hề lưu ý tới những lời nhắn gửi của đêm đông vì đâu mà hạ tứ gieo vàng cho riêng lòng lãnh tụ mông ân.
És azokról az üzenetekről se tudtak, amelyeket az éjszaka küldött nekem.	Vâng, cái đêm tĩnh mịch này có liên can tới thịt xương của tôi đó.
Mert valósággal húsomhoz volt köze a hóviharnak, amely talán már készülődik valahol, és nehézzé teszi majd első utamat.	Và cơn bão tố nào đương soạn sửa, và sẽ gây rối rắm cho cuộc viễn du thứ nhất này, nào ai biết tới đâu.
Egyedül én voltam beavatott.	Tôi một mình cùng ngàn sao tâm sự.
Hajnali három óra volt, amikor fölkeltettek.	Tôi được đánh thức dậy lúc ba giờ sáng.
Kurta mozdulattal fölcsaptam a redőnyt; láttam: a város fölött esik; öltözködni kezdtem.	Tôi đẩy mạnh cánh cửa chớp, nhận thấy trời đang mưa trên phố, tôi trang nghiêm mặc áo quần.
Félóra múlva kis kofferomon ülve az esőtől csillogó járdán az autóbuszt vártam.	Nửa giờ sau, ở vệ đường, ngồi bên chiếc va ly nhỏ, tôi chờ chiếc xe buýt đến.
Hány bajtársam élte át már előttem, fölavatása napján, ezt a szorongó szívű várakozást!	Từ góc đường, chiếc xe thời cũ đã nhô ra, tiếng kêu rầm rộ.
Végre föltűnt az utca sarkán rekedt csörömpöléssel az özönvíz előtti jármű, és mint előttem a bajtársak, lekuporodhattam az ülésre, néhány tisztviselő és egy álmos vámhivatalnok mellé.	Đến bây giờ tới lượt mình, tôi cũng như các bạn đồng nghiệp cũ, được quyền ngồi trên chiếc ghế băng dài, chen giữa một ông ký nhà đoan chưa tỉnh ngủ và một vài công chức khác.
Dohos volt ez az autóbusz, poros hivatalszagú, érzett benne a kopott iroda, amelyben elsüllyed az ember élete.	Chiếc xe hôi mùi mốc, là hình ảnh những công sở bụi bặm, những bàn giấy cũ mòn, những cuộc đời tàn lụi.
Megdöbbentően egyszerűvé változott benne minden.	Mọi sự trong nghề này đều đơn giản một cách hãi hùng.
S emlékszem: három évvel később egy ilyen hajnali úton az autóbuszban tudtam meg pár kurta szóból Lécrivain pilóta halálát; egyike ő azoknak a vonalbeli pilótáknak, aki egy ködös napon vagy éjszakán örökre eltűntek.	Trong cõi đó, ba năm sau, tôi đã nhận được tin anh phi công Lécrivain chết, mà lời trao đổi không quá hai câu; Lécrivain, một trong số một trăm bạn đồng nghiệp trên một con đường bay, một ngày sương hoặc một đêm mù tối, đã đi vào cõi yên nghỉ thiên thu.
Hajnali három óra volt akkor is, csönd nehezedett ránk; az igazgató, láthatatlanul a homályban, átszólt a felügyelőnek:	Lúc ấy vào khoảng ba giờ sáng, cũng canh chầy tĩnh mịch, bỗng nghe trong bóng tối vị giám đốc lên tiếng hỏi viên thanh tra:
- Lécrivain ma éjszaka nem szállt le Casablancában.	- Tối nay Lécrivain không thấy hạ cánh xuống Casablanca.
- Ah!	- A!
- Ah?	- A!
Nem tudott átmenni?	Y không qua được?
S ahogyan a másodpercek múltak, egyre nyilvánvalóbb lett, hogy ezt a "nem"-et nem követi több szó, erre a "nem"-re nincs válasz, hogy Lécrivain nemcsak hogy Casablancában nem szállt le: de soha és sehol nem fog többé leszállni.	Và giây khắc qua, giây khắc biến, càng rõ rằng cái tiếng "không" kia, là tuyệt-đối-tiếng-không; rằng không là không những Lécrivain đã không hạ cánh xuống Casablanca, mà cũng không bao giờ anh sẽ còn hạ cánh xuống bất cứ một nơi nào được nữa.
"Első utamra - gondoltam - elég rossz kilátás..." A felügyelőre néztem.	Trên đường, những vũng nước đọng, từng đợt gió bay qua làm lăn tăn mặt nước.
Magamban azon tűnődtem: miről ismerni hát meg a rossz időt?	Tôi tự hỏi: bằng dấu hiệu nào mới biết được trời xấu?
Hatvannak, nyolcvannak?	Hay tám mươi người rồi?
Körülnéztem: a homályban apró, fényes pontok: cigaretták virrasztottak a tűnődések fölött.	Tôi nhìn quanh: lốm đốm sáng trong đêm, những chấm đỏ đầu điếu thuốc như điểm nhịp hồn tư lự.
Kiöregedő alkalmazottak szerény tűnődései... Hánynak és hánynak volt közülünk utolsó kísérete ez a társaság?	Với bao nhiêu người trong bọn tôi, những bạn đồng hành này đã đóng vai những kẻ tiễn đưa lần cuối?
Megmutatták annak a fakó börtönnek a falait, amelybe ezek az emberek bezárkóztak.	Tâm sự về bịnh tật, tiền tài, về những quẩn quanh gia đình cơ cực.
Öreg hivatalnok, aki útitársam vagy itt, soha senki nem szöktetett meg, és nem is vagy felelős érte.	Và bất thình lình hiện ra trước mắt tôi khuôn mặt định mệnh.
Alaposan megépítetted békességedet, begubózol polgári biztonságodba, vidéki életed fullasztó szokásaiba: szerény bástyát emeltél így a szelek, áradatok, csillagok ellen.	Hỡi người công chức già, người bạn hiện diện nơi đây, chưa bao giờ có ai giúp anh lối thoát, anh cũng không chịu trách nhiệm gì về việc đó.
Nem akarod nyugtalanítani magad a nagy kérdésekkel, elég gondot okozott neked, hogy ember voltod elfelejtsd.	Anh đã xây dựng cuộc sống bình thản của mình bằng cách trám kín mọi ngõ nhìn ra ánh sáng.
Az agyag, amiből vagy, most már megszikkadt, megkeményedett, senki nem ébresztheti már föl benne az alvó zenészt, költőt vagy csillagászt, aki talán benned élt egykor.	Anh không phải là một người cư trú trên một tinh cầu xê dịch, anh không tự nêu ra với mình những câu hỏi oái oăm: anh là người trưởng giả trung lưu phố Toulouse.
Nem panaszkodom többé a zápor miatt.	Đến bây giờ, thì đã muộn.
A mesterség mágiája egy világot nyit meg előttem: nem telik bele két óra, s szembeszállok a fekete sárkányokkal, kék, villámhajzatú hegyormokkal; és ha jön az éjszaka, a csillagokból olvasom ki győzelmes utamat.	Nghề nghiệp ảo diệu này mở rộng cho tôi một thế giới khác thường, và chỉ lát nữa thôi, tôi sẽ đọ mặt với những con rồng đen, và những đầu non với những làn chớp xanh về vây quyện.
Ezek az utak legtöbbször eseménytelenek voltak.	Chúng tôi vào nghề theo lối đó, và khởi sự viễn du.
Békésen szálltunk birodalmunk mélységeibe, mint a hivatásos búvárok.	Những cuộc hành trình, thường thường chẳng xảy ra chuyện gì cho lắm.
Ma már alaposan kikutatták ezt a birodalmat.	Ngày nay thì lĩnh vực đó được khai phá kỹ càng.
A pilóta, a gépész, a rádiós nem kalandba bocsátkozik: laboratóriumba zárkózik, és inkább a műszerek játékának engedelmeskedik, mint a táj meglepetéseinek.	Người phi công, người thợ máy, người chuyên môn vô tuyến, không còn là những kẻ mạo hiểm phiêu lưu; họ khép mình ở trong phòng thí nghiệm.
Ilyen ma egy repülőgép útja.	Trên tàu yên ổn cả."
Mint éjszaka a tengeren, távol van minden támaszponttól.	Họ không có cảm giác là mình đang chuyển dịch.
De a motor különös remegéssel tölti be a villanyfényes szobát, s ez megváltoztatja lényegét.	Như giữa biển ban đêm họ không dựa vào đâu để định hướng.
A titkos mozdulatok, elfojtott szavak, a feszült figyelem pillanatról pillanatra a csodát készítik.	Và lúc giờ đã đến, người phi công hẳn nhiên là có thể dán đầu vào mặt kính mà đưa mắt nhìn ra.
S ha eljön az idő, a pilóta bátran tapaszthatja homlokát az ablakhoz: a semmiből megszületett az arany - a repülőtér fényeiben ragyog.	Từ hư vô, hoàng kim đã nảy hột; nó chói vàng rạng rỡ trong những ánh lửa nồng: trạm nghỉ tới rồi đây.
S amikor egy órával később a felhők alatt siklott: fantasztikus világra bukkant.	Một giờ sau, anh len lỏi bay qua những đám mây, và bước vào trong một cõi bờ huyền hoặc.
Víztölcsérek emelkedtek előtte, zsúfoltan, és látszólag olyan mozdulatlanul, mint egy templom fekete oszlopzata.	Chúng to ra ở hai đầu, chịu đựng sức nặng của vòm bão giông âm u thấp tịt đè xuống.
Végletekig földuzzadva a vihar komor, alacsony boltívét hordozták, de a boltozat résein fénykévék hullottak át, s az oszlopok között a tenger hideg kőkockáin a telehold ragyogott.	Nhưng, xuyên qua những đường nứt nẻ của vòm đen giông gió, ánh sáng đổ xuống từng loạt long lanh, và vừng trăng tròn trịa bỗng sáng ngời lên giữa những cột trụ, vằng vặc soi trên mặt biển giá băng.
Mermoz ezek között a lakatlan romok között folytatta útját, kanyargott a fénycsatornákban, kerülgette az óriási oszlopokat - a tenger dagálya dübörgött bennük -, négy órán keresztül haladt a hold fagyos lávafolyama mentén, a templom kapuja felé.	Mermoz tiếp tục bay qua những đền đài hoang phế này, xuyên ngang, duỗi dọc, chếch chếch hướng từ đường ánh sáng này đến đường ánh sáng kia, vòng quanh những cột trụ khổng lồ, nghe hải triều cuồng nộ dấy lên ì ầm không dứt, anh bay suốt bốn giờ, dọc theo những lạch trăng lai láng, tìm hướng thoát ra khỏi điện đài.
S ez a látvány olyan lenyűgöző volt, hogy amikor kiért, Mermoz arra eszmélt: nem félt az úton.	Cảnh tượng ấy đồ sộ hùng vĩ đến nỗi Mermoz khi thoát ra khỏi vùng Pot-au-Noir, mới chợt nhận thấy rằng, lúc còn lăn lóc "cuộc chơi" mình quên cả sợ.
A hold lassan lehanyatlott.	Thật là bối rối.
A hold végleg kialudt a hómezőhöz hasonló ködben, mint egy elhamvadó parázs.	Tin tức không có, không nghe được gì, chúng tôi chịu điếc, bây giờ sắp phải chịu đui.
Az ég beborult fölöttünk, a felhők és a köd között úsztunk, egy fénytelen, anyagtalan világban.	Vừng trăng tắt lịm hẳn, như một đốm lửa tàn chìm trong sa mù giống như một dãi tuyết.
A repülőterek, amelyekkel kapcsolatot találtunk, lemondtak róla, hogy fölvilágosítsanak helyzetünkről: "Nem tudjuk az irányt... Nem tudjuk az irányt..." - mert hangunkat egyformán hallották mindenhonnan - és sehonnan.	Vòm trời, trên cao, tới lượt bị mây đen vây phủ, và từ đó chúng tôi đành phải bay giữa những đám mây sa mù, trên dưới mông mông, trong một cõi bờ mù mịt, không một ánh sáng, không một sắc hình…
S hirtelen, mikor már elcsüggedtünk, előttünk balra fényes pont lobbant a látóhatáron.	Bất thình lình, lúc chúng tôi tuyệt vô hi vọng, bỗng thấy ló ra một chấm sáng ở chân trời, về phía tả.
Áradó öröm fogott el, Néri felém hajolt, hallottam: énekel!	Một niềm vui tràn ngập, Néri nghiêng mình xuống bên tôi, và tôi nghe anh hát.
A fény villogott egy ideig, azután kihunyt.	Chúng tôi đã nhằm một vì sao mà bay tới.
Irányunkat egy csillagnak vettük, mely lebukóban néhány percre láthatóvá vált a felhők és a ködfal között.	Một vì sao sắp lặn, nên thấy hiện ở chân trời, hiện ra chỉ trong vài phút, giữa mây mờ, sương bạc.
Új meg új fények gyulladtak előttünk, és mi, vak reménykedéssel, sorjában feléjük haladtunk.	Thấy đốm lửa sáng hơi lâu, liền thử xem có thật chăng đó là lối sống.
A rengeteg csillag közt készített ilyen illatos tálat, hajnali lakomául, hogy hozzáférhetővé váljék számunkra.	Nhưng éo le thay những nghìn trùng nước thẳm đương chồng chất giữa con tàu chúng tôi và miền đất thân yêu đó.
A papírlapon, amelynek ez a lökés volt a hírnöke, ezt olvastam: "Minden jól megy, remek hírt kaptam..." Szívdobogva vártam, hogy átírja az öt-hat szót: talán menekülésünket jelentik.	Trên tờ giấy anh trao, tôi đọc: "Mọi sự tốt đẹp, tôi vừa nhận được một điện tín huy hoàng…" Tim đập mạnh, tôi chờ anh chép xong năm sáu chữ sắp cứu thoát chúng tôi.
Végre kezembe kaptam az égnek ezt az ajándékát.	Rồi tôi đón nhận tặng vật vô giá của nhà trời.
Casablancában adták föl; alkonyatkor indultunk el onnét.	Từ Casablanca đánh tới, là nơi chúng tôi từ biệt đêm hôm qua.
Késett a leadásoknál, s most ért utol kétezer kilométernyire a köd és felhő között, elveszve a tenger fölött bolyongva.	Vì tống đạt chậm trễ, tới bây giờ bỗng đột ngột nó vào tay chúng tôi, đi xa hai nghìn cây số, giữa mây và mù, lạc lõng trên biển khơi.
"Saint-Exupéry úr - olvastam - kénytelen vagyok Párizsban eljárást indíttatni ön ellen, mert amikor Casablancából elindult, túlságosan közel került a hangárokhoz." Igaz: túl közel kerültem a hangárokhoz.	Tôi đọc: "Thưa ông Saint-Exupéry, tôi buộc lòng phải yêu cầu Ba Lê phạt ông, ông đã bay quá sát các nhà chứa, lúc khởi hành tại Casablanca." Quả thật tôi có bay quá sát các nhà chứa.
Végzetünket, a posta, a repülőgép sorsát tartottuk kezünkben, elég gondot adott, hogy életünket megmentsük - és az az ember odalentről felénk köpdösi kicsinyes dühét.	Chúng tôi nắm trong tay mình vận mệnh mình, vận mệnh chuyến thư và vận mệnh con tàu; cầm tay lái mà tìm phương hướng sống, kể cũng đã khổ nhọc lắm thay, thế mà kẻ kia còn đuổi theo trút hận!
Hát nem látta egyenruhánkon ez a káplár, hogy kapitánnyá léptünk elő?	Anh cai này há không biết rằng chúng tôi đã là đại úy hay sao?
Ami a többit illeti: egyelőre csak hallgatni volt joga róluk.	Ngoài việc ấy ra, tạm thời trái đất chỉ nên câm miệng.
S újra elolvasva annak az ostobának az üzenetét, aki azt hitte, elintéznivalója van velünk, nekifordultunk a Mercuriusnak.	Và đọc lại bức điện tín của một tên cuồng muốn gây sự với chúng tôi, chúng tôi bẻ lái con tàu về phía sao Mercure.
Így még volt valami kilátásom rá, hogy nem veszünk a tengerbe.	Như vậy họa chăng may ra có khỏi rơi chìm trong đáy biển.
Arra se lehetett sok reményünk, hogy katasztrófa nélkül földet érhetünk a köd sűrű éjszakájában, amelybe majd alá kell merülnünk.	Tai hại thay, sa mù dằng dặc buộc chúng tôi dấn liền trong đêm tối căm căm, chắc gì sẽ cho phép chúng tôi hạ cánh vuông tròn nơi đất liền mà không tai nạn!
A helyzet olyan világos volt, hogy mélabúsan vállat vontam, amikor Néri kezembe csúsztatta az üzenetet, amely egy órával korábban megmentett volna: "Cisneros meg akar találni.	Cảnh huống đã quá rõ rệt, tôi chỉ biết nhún vai lúc Néri chuyền cho tôi xem một điện tín, một điện tín nếu đến sớm một giờ, ắt đã cứu thoát chúng tôi: "Cisneros bây giờ mới chịu cho biết vị trí chúng ta.
Cisneros jelenti: talán kétszáztizenhat..." Cisneros kibukkant a homályból, Cisneros jelentkezett, elérhetően, balra tőlünk.	Cisneros chỉ: khoảng chừng hai trăm mười sáu khả nghi…" Cisneros không còn chìm trong tăm tối heo hút.
Igen, de milyen messze?	Vâng, nhưng cách bao xa?
Néri válaszolt: "Egyórai üzemanyagunk van csak; tartjuk az irányt: kilencvenhárom."	Và Néri đáp: "Chỉ còn một giờ xăng bay, phải theo hướng chin mươi bốn."
Párbeszédünkbe belevegyült Agadir, Casablanca, Dakar hangja.	Trong đối thoại giữa chúng tôi, giờ xen thêm những "giọng nói" của Agadir, của Casablanca, của Dakar.
A rádióállomások föllármázták a légikikötőket.	Những giám đốc các phi trường đã báo tin cho anh em biết.
Úgy gyűltek lassan körénk, mint egy betegágy köré.	Sốt sắng vô ích rồi, dù sao cũng là sốt sắng.
Meddő tanácsok, de annyi aggodalommal telve!	Bất thình lình Toulouse xen tới.
És hirtelen megszólalt Toulouse, a vonal feje, valahol fönt, négyezer kilométerre tőlünk.	Toulouse, đầu đường; Toulouse, khởi điểm; Toulouse, cách bốn nghìn cây số heo hút ở cuối trời.
Egyszerre mellénk állott, és minden bevezetés nélkül kérdezte: "A gép, amelyet vezetnek, nem az F...?" (elfelejtettem a számát).	Toulouse vụt chen vào trong câu chuyện, không kèn không trống, hỏi ngay: "Máy của các anh có phải là chiếc F… (tôi quên số hiệu) – Đúng thế.
- "De igen." - "Akkor még kétórai üzemanyagunk van.	– Vậy các anh còn đủ hai giờ xăng nữa.
Annak a gépnek a tartálya nem a szabványos tartály.	Bình chứa xăng này không phải là thứ thông thường.
Irány Cisneros."	Bay về Cisneros đi."
És nincs is ilyen éjszakákra szükség, hogy a vonal pilótája fölfedezze a régi látványok új értelmét: az egyhangú táj talán fárasztja az utast, a pilóta számára azonban új színeket mutat.	Và đáo cùng, cũng chẳng cần chi tới những đêm bay đặc biệt như thế này mới mở ra trước nhãn giới phi công đường trường một ý nghĩa tân kỳ ở giữa lòng những cảnh tượng cũ.
Fölbukkan egy távoli szirt: milyen arcot mutat majd felé?	Này đây mõm núi, tuy đó còn xa: nó sắp mang khuôn mặt nào thế?
De a pilóta tudja: itt nem szabad a vízre leszállni.	Đối với đội phi công, mọi sự khác hẳn.
A motorok abban az időben csöppet sem voltak biztonságosak, Mermoz egy kényszerleszállás alkalmával a mórok kezébe került; azok először meg akarták ölni, tizenöt napig fogságban tartották, azután váltságdíj fejében kiadták.	Máy thời đó không vững chắc, một lần máy hỏng, Mermoz lọt vào tay người Maures; họ do dự không giết anh, cầm tù anh mười lăm hôm, rồi cho chuộc tiền.
És Mermoz tovább folytatta postarepüléseit ugyanazok fölött a vidékek fölött.	Mermoz thoát nạn, lại tiếp tục lái máy bay thư tín ngang qua những khu vực cũ.
Mindig az élvonalban volt: amikor az amerikai vonal megnyílt, megbízták a Buenos Aires-Santiagói ág tanulmányozásával; hidat épített a Szahara fölött, építsen most hidat az Andeseken át.	Khi con đường hàng không Mỹ mở ra, Mermoz luôn luôn tiên phong, được giao phó việc nghiên cứu quãng đường từ Buenos-Aires tới Santiago, và con đường vượt Sahara, anh còn phải thiết lập một đường bay ngang dãy Andes.
A repülőgépnek, amelyet kapott, ötezer-kétszáz méter volt a legnagyobb magassága.	Người ta giao anh sử dụng một phi cơ chỉ bay tới độ cao năm ngàn hai trăm thước.
Mermoz úgy vállalta ezt a küzdelmet, hogy az ellenfélből semmit nem ismert; nem tudta, ki lehet-e kerülni élve ilyen halálos szorításból.	Mermoz hồn nhiên lao mình vào những trận đấu ấy, chả cần biết chút gì về phía địch, chả cần ngẫm lại xem con người còn có thể sống còn, sau cuộc siết, cơn ôm.
Mermoz "kikísérletezte" a többiek útját.	Mermoz chỉ biết thử dọn đường giùm kẻ khác.
Zuhanás közben a gép végre elég sebességre tett szert, ismét engedelmeskedett a kormánynak.	Trong cơn lông lốc đó, phi cơ đạt tốc độ đủ để tuân theo tay lái điều khiển.
Visszafelé menet a déli Atlanti-óceán közepén elromlott az olajvezeték, kényszerleszállást kellett végeznie a viharos tengeren.	Chuyến trở về lần nọ, Mermoz bị hết xăng giữa Nam Đại Tây Dương, đành hạ cánh trên dặm khơi dậy sóng.
Így törte meg Mermoz a sivatagot, a hegyet, az éjszakát és a tengert.	Thế đó, Mermoz đã lần lượt khai phá từ sa mạc, tới núi non, từ đêm tăm tới biển lộng.
Sokszor majdnem elnyelte a sivatag, a hegy, az éjszaka és a tenger.	Hơn một lần rơi trên cát, trên non, trong bóng đêm và trên mặt biển.
De ha visszatért, csak azért tért vissza, hogy ismét útra keljen.	Và mỗi lúc thoát hiểm quay về, là mãi mãi để trở lại ra đi.
Tizenkét esztendei munka után, amikor egy alkalommal újra a déli Atlanti-óceánon kelt át, rövid rádióüzenet érkezett tőle: kikapcsolta a jobb hátsó motort.	Sau mười hai năm nghề nghiệp ngang dọc, một lần nữa anh lại vượt qua Nam Đại Tây Dương, rồi một tin điển vắn vủn đánh về, báo cho anh em hay rằng anh bị hỏng máy ở tay phải, phía sau.
A hír egyáltalán nem látszott nyugtalanítónak; mégis: tíz percnyi hallgatás után Párizstól Buenos Airesig a vonal valamennyi rádióállomása feszült aggodalommal várakozott.	Cái tin nghe không có gì đáng ngại, nhưng sau mười phút im lặng, tất cả các đài vô tuyến trên đường từ Paris tới Buenos-Aires cùng khởi sự ngóng tìm, khắc khoải.
Ez a halott idő egy még ismeretlen eseményt rejt magában.	Dù không đâu, dù thê thảm, biến cố kia cũng đã xảy ra rồi.
Ki nem ismeri közülünk azt a mindegyre gyöngülő reményt, a csöndet, mely percről percre nyomasztóbb hatalommal nehezedik ránk, mint egy végzetes betegség?	Ai trong chúng ta chẳng từng rõ những hy vọng cứ mong manh dần, cái lặng lẽ câm nín cứ trầm trọng từng phút từng giây, như một cơn bệnh hãi hùng.
Reménykedtünk; teltek az órák, és lassan-lassan késő lett.	Chúng ta hy vọng, nhưng giờ khắc trôi, và tới lúc thôi thế!
