Dávid Copperfield	David Copperfield
Az atyám, azt hiszem, valaha kedvencze volt; de házasságával halálosan megsértette, annál az egyszerű oknál fogva, mert néném szerint az édesanyám valóságos "viaszbáb" volt.	Nghe đâu cha tôi trước kia đã có lần được cô nuông chiều lắm, nhưng cô tôi giận dữ vô cùng về câu chuyện hôn nhân của cha tôi vì cô bảo mẹ tôi chỉ là một con búp bê bằng sáp.
A néni ugyan sohasem látta anyámat; de tudta, hogy nem volt még húszesztendős sem.	Cô chưa hề gặp mẹ tôi, nhưng cô biết rằng mẹ tôi chưa đến hai mươi.
Kétszer idősebb volt anyámnál, mikor feleségül vette és gyönge volt a szervezete is.	Lúc lấy mẹ tôi, tuổi cha tôi gấp đôi tuổi mẹ tôi, và tạng người yếu đuối.
Egy évvel utóbb meg is halt, a mint már említettem, félévvel az én születésem előtt.	Một năm sau, cha tôi mất, và như tôi đã nói, sáu tháng trước khi tôi ra đời.
Ez volt a helyzet annak a – bocsánat, hogy így mondom – eseménynyel terhes, jelentős pénteki napnak a délutánján.	Đấy là tình hình buổi chiều cái ngày mà tôi xin mạn phép gọi là ngày thứ sáu quan trọng và lắm việc.
Éppen ezért nem is állíthatom, hogy én magam is tudtam akkor, mi volt a helyzet; vagy hogy saját érzékeim tanúsága alapján emlékszem bármikép is arra, a mi következik.	Dẫu sao, tôi cũng không dám khẳng định lúc đó tôi biết sự việc xảy ra như thế nào hay có nhớ được điều gì mắt thấy tai nghe về câu chuyện sau đây.
Anyám a kandalló mellett ült; de testileg gyöngélkedve, lelkileg nagyon leverten, könnyes szemmel bámúlt a tűzbe, s kétségbeesve gondolt arra, mi lesz vele és azzal az apátlan kis jövevénynyel, a kinek megérkezését erre a világra, a melyet a készülő esemény egyáltalában nem izgatott, jó ideje várta már fönt az emeleten egyik fiókban néhány csomó jövőbe látó gombostű.	Mẹ tôi đang ngồi bên ngọn lửa, người mệt nhọc, tinh thần rất buồn nản, nhìn ánh lửa rưng rưng nước mắt, lo lắng băn khoăn cho số phận của mình và của đứa bé lạ mặt không cha: chỉ có mấy tá kim băng trong ngăn kéo tủ trên gác đón chào nó ra đời mà thôi, còn cuộc đời vẫn dửng dưng không quan tâm gì đến nó.
Másodszor is odapillantva, szinte bizonyosan megsejtette, hogy ez a hölgy Miss Betsey.	Chỉ liếc nhìn lần thứ hai linh tính đã báo ngay cho mẹ tôi biết đó nhất định là cô Bétxi.
Az alkonyúló nap a kert kerítése fölött rávetette fényét az idegen hölgyre, a ki az ajtó felé lépdelt.	Ánh trời chiếu rọi qua hàng rào ngoài vườn hắt vào cái bà kỳ dị.
Az arcz kegyetlen szigorúsága, a testtartás rideg nyugalma senki másé nem lehetett.	Vừa bước tới nhà, cô đã có một cử chỉ khác chứng tỏ đây đúng là Cô Bétxi.
Mikor a ház elé ért, újabb bizonyságát adta azonosságának.	Cha tôi trước đây vẫn thường nói cô chẳng mấy khi đứng như một người công giáo bình thường.
Atyám gyakran említette, hogy nénje ritkán szokott úgy viselkedni, mint más közönséges halandó; s most is, a helyett, hogy becsöngetett volna, fogta magát és benézett a már említett ablakon, miközben úgy odanyomta az üveghez orra hegyét, hogy az – szegény édesanyám szokta mesélni – egyszerre szétlapúlt és elfehéredett.	Lúc này, đáng lý phải rung chuông, thì cô lại nhằm cửa sổ mà nhòm vào và ấn đầu mũi vào cửa kính mạnh đến nỗi bà mẹ yêu quý tội nghiệp của tôi thường kể lại là mũi cô bẹp dí và trắng bệch đi một lúc.
Úgy ráijesztett édesanyámra, hogy nekem mindig az volt a meggyőződésem: tulajdonképpen Betsey nénémnek köszönhetem, hogy pénteki napon születtem.	Cô đã làm mẹ tôi sợ hãi đến nỗi xưa nay tôi vẫn tin chắc rằng tôi ra đời vào ngày thứ sáu chẳng qua là tại cái Cô Bétxi kia cả.
Anyám izgatottságában fölállt és a sarokba bújt széke mögé.	Mẹ tôi bối rối đứng dậy, đứng đằng sau ghế ở góc nhà.
Miss Betsey, a ki lassan, fürkészve körülnézett a szobában, vizsgálódását a szoba túlsó végén kezdte, s úgy forgatta a szemét, mint a schwarzwaldi órák szaraczénfeje, a míg észre nem vette édesanyámat.	Cô Bétxi đưa mắt chậm rãi và xoi mói nhìn khắp gian phòng một lượt, chẳng khác gì cái đầu người Hồi giáo trong chiếc đồng hồ Hà-lan, cặp mắt cô bắt đầu từ phía trước mặt rồi cứ từ từ đưa quanh một vòng cho đến lúc bắt gặp mẹ tôi.
Ekkor homlokát ránczolva, mint a ki megszokta, hogy engedelmeskedjenek neki, intett anyámnak, hogy jöjjön és nyisson ajtót.	Cô cau mày một cái, rồi ra hiệu cho mẹ tôi mở cửa như một người vẫn quen thói sai phái người khác.
Anyám ki is nyitotta.	Mẹ tôi đi ra mở.
– Az vagyok, – szólt anyám halkan.	"Vâng ạ" mẹ tôi đáp, giọng yếu ớt.
Anyám azt felelte, hogy volt már szerencséje.	Mẹ tôi đáp rằng đã được cái hân hạnh đó.
De az a kellemetlen érzése volt, hogy az arcza nem igen vall arra, mintha valami túláradó szerencséről lehetne szó.	Nhưng mẹ tôi cảm thấy bực bội vì không sao tỏ được rằng đó là một hân hạnh to lớn.
– Most itt áll ön előtt, – szólt Miss Betsey.	"Bây giờ chị gặp cô ta đấy" Cô Bétxi nói.
Anyám fejet hajtott és betessékelte.	Mẹ tôi cúi chào mời cô vào.
A nappaliba mentek, a melyből anyám az imént a vendég elé jött, mert a parádés szobánk a folyosó túlsó felén nem volt befűtve, – atyám temetése óta egyáltalában nem fűtötték.	Hai người bước vào cái phòng khách nhỏ mẹ tôi vừa ngồi vì phòng khách lớn bên kia hành lang không đốt lửa, phòng này không đốt lửa kể từ ngày đám tang cha tôi.
S a mikor ott ültek kettesben és Miss Betsey egy szót se szólt, az anyám, miután hiába iparkodott erőt venni magán, sírva fakadt.	Cả hai người ngồi xuống ghế và Cô Bétxi không nói nửa lời.
– Csak ezt ne!	"Ấy chết!
Ugyan, ugyan!	Thôi nín đi".
– Hadd lássalak.	Cô Bétxi bảo:
Anyám sokkal jobban félt tőle, semhogy e különös kívánság teljesítését megtagadja, ha mindjárt kedve is lett volna hozzá.	"Bỏ mũ ra cô bé, cho tôi ngắm cô nào" Mẹ tôi sợ cô ta quá, nên không dám từ chối yêu cầu kỳ quặc ấy, dù có muốn từ chối đi nữa.
Megtette hát, a mire kérte; de a keze úgy remegett, hogy szép, sűrű haja az arczába omlott.	Mẹ tôi nghe theo, cất mũ, tay run lập cập đến nỗi làm tóc xõa cả xuống mặt (tóc mẹ tôi dày và đẹp lắm!).
– Nagy ég!	Cô Bétxi kêu lên.
– kiáltott Miss Betsey.	"Trời ơi!
– Hiszen egész gyermek vagy még!	Chỉ là một con bé con thôi".
Anyám valóban még korához képest is rendkívül fiatalnak tetszett.	Rõ ràng là mẹ tôi trẻ lắm, trẻ hơn cả tuổi của mình.
Rövid szünet következett s anyámnak úgy rémlett, hogy Miss Betsey megsímogatta a haját, még pedig nem is barátságtalanúl.	Rồi mẹ tôi khóc nói rằng mẹ tôi rất sợ vì mình chỉ là một quả phụ trẻ con và sẽ chỉ là một bà mẹ trẻ con nếu như sống sót.
De mikor félénk reménységgel rátekintett, látta, hogy Miss Betsey ruhája szegélyét felfogva, kezét térdén összekulcsolva, s egyik lábát a kandalló rácsára támasztva, a helyén ül s homlokát ránczolva a tűzbe néz.	Tiếp đó, là một lúc im lặng và mẹ tôi tưởng tượng rằng Cô Bétxi đưa bàn tay dịu dàng lên vuốt mái tóc của mình, nhưng khi rụt rè nhìn lên, lòng đầy hy vọng, mẹ tôi chỉ thấy cô vẫn ngồi im lặng, gấu áo lật lên, hai tay chắp lại để trên đầu gối, chân gác trên giá để củi trước lò sưởi, cau mày nhìn ngọn lửa.
– Az Istenért!	Bỗng Cô Bétxi nói:
– A házat érti, asszonyom?	"Cô hỏi về tên nhà, phải không ạ?" Mẹ tôi hỏi!
– Az uram választotta a nevet, – felelt édesanyám.	Nếu một trong hai anh chị có đầu óc thực tế một chút".
– Mikor megvette a házat, örömest gondolt arra, hogy varjak is lesznek a ház körül.	"Tên đó là do anh Copơphin chọn đấy ạ", mẹ tôi đáp - "Khi mua nhà, anh ấy thích tưởng tượng rằng có nhiều quạ ở chung quanh".
Az esti szél éppen e pillanatban úgy megrázta a kert végében álló néhány magas, vén szilfát, hogy sem anyám, sem Miss Betsey meg nem állhatta, hogy oda ne tekintsen.	Vừa lúc ấy, gió chiều thổi rào rào vào mấy cây du cao lớn và già cỗi ở cuối vườn, làm mẹ tôi và Cô Bétxi phải quay lại nhìn.
A mint a szilfák, mint titkokat sugdosó óriások, egymáshoz hajoltak, s néhány pillanatnyi nyugalom után eszeveszetten hánykolódtak, vadúl rázva karjaikat, mintha iménti bizalmaskodásuk csakugyan megháborítaná lelki nyugalmukat: néhány viharverte, zilált, vén varjúfészek a fák tetején úgy hányódott, mint hajóroncsok a háborgó tengeren.	Mấy cây du chạm đầu vào nhau, như những người khổng lồ đang ghé tai thầm thì những điều bí mật; và sau vài giây im lặng chúng bỗng rung chuyển dữ dội những cánh tay hung tợn, dường như những điều chúng vừa tâm sự với nhau nó kinh khủng quá làm chúng hoảng hốt.
– Egy se mutatkozott, a mióta itt lakunk, – szólt az anyám.	"Quạ kiếc ấy mà, chúng ra sao rồi?" Cô Bétxi hỏi lại.
– Azt hittük, – az uram hitte, – hogy egész nagy varjúvár lesz; de a fészek mind igen régi volt, s a madarak réges-régen másfelé költöztek.	"Từ khi chúng cháu đến đây thì chẳng có quạ kiếc gì hết." Mẹ tôi nói "Chúng cháu tưởng…, à… anh Copơphin tưởng ở đây có rất nhiều quạ.
Varjúvárnak nevez el egy házat, noha híre-hamva sincs varjúnak a közelben, és készpénznek veszi a madarat, mivel látja a fészkeket!	Phải là Đêvit Copơphin mới đặt tên nhà là "ô-lư" trong khi chẳng có mống chim nào quanh đấy, và yên trí là có chim, chỉ vì trông thấy tổ!"
Szegény édesanyámnak, azt hiszem, egy pillanatra az járt az eszében, hogy nekiront a nagynénémnek, a ki könnyen elbánhatott volna vele félkézzel még akkor is, ha anyám sokkal jobb állapotban kezd ilyen küzdelembe, mint a minőben akkor este volt.	Tôi đoán lúc đó mẹ tôi trong phút chốc có ý tấn công cô Bétxi, con người chỉ cần một tay thôi, cũng đủ áp đảo mẹ tôi dễ dàng dù mẹ tôi có được chuẩn bị chu đáo hơn là buổi chạm trán chiều hôm đó.
De csak annyi történt, hogy fölemelkedett ültéből, azután újra leült, nagyon alázatosan, és elájult.	Nhưng ý ấy biến mất thì mẹ tôi đứng dậy và mẹ tôi lại nem nép ngồi xuống, và ngất đi.
Mikor magához tért, vagy a mikor Miss Betsey magához térítette, – akármikép volt, – látta, hogy a néni az ablaknál állt.	Khi mẹ tôi tỉnh lại, hay khi Cô Bétxi đã làm mẹ tôi hồi tỉnh (đằng nào thì cũng là khi đó), mẹ tôi thấy cô đang đứng cạnh cửa sổ.
– szólt Miss Betsey, visszatérve székéhez, mintha csak mellesleg tekintett volna ki a kertbe, – mikorra várod…	Cô Bétxi trở lại ghế ngồi dường như chỉ tình cờ ra ngắm cảnh một lát, và hỏi:
– Nem tudom, mi lelt.	"Thế nào?
Bizonyosan meghalok!	Chị thấy bao giờ thì…?"
– Ugyan, ugyan!	"Không sao, không sao đâu.
– szólt Miss Betsey.	Chị uống nước trà nhé."
– Igyál egy kis teát.	"Trời ơi, trời ơi!
– Hogyne, hogyne, – szólt Miss Betsey.	"Đỡ chứ lị" Cô Bétxi nói.
– Nem tudom még, leány lesz-e, asszonyom, – szólt anyám ártatlanúl.	"Cô ạ, cháu không chắc có phải là gái không" mẹ tôi trả lời, ngây thơ.
– Peggotty, – szólt anyám.	Tôi hỏi tên người ở gái của chị cơ!"
– Peggotty!	"Pécgôti", mẹ tôi nói.
– ismételte Miss Betsey méltatlankodva.	"Pécgôti à?" Cô Bétxi nhắc lại hơi bực tức.
– Azt akarod elhitetni velem, gyermek, hogy van olyan halandó, a kit keresztény templomban Peggotty névre kereszteltek?!	"Chị rõ thực trẻ con, đời thuở nhà ai bước vào nhà thờ đạo thiên chúa mà lại mang tên là Pécgôti?"
– A vezetékneve, – szólt anyám bágyadtan.	"Đấy là họ của chị ấy" mẹ tôi nói khẽ.
– Azt említetted az előbb, hogy leány lesz-e, – szólt Miss Betsey.	"Chị vừa bảo không biết nó có là con gái hay không".
Érzem, hogy leánynak kell lennie.	"Tôi thì chắc chắn là gái đấy.
Nos, gyermekem, ennek a leánynak a születése perczétől kezdve…	Tôi có linh cảm nhất định là con gái.
– Talán fiúnak, – bátorkodott anyám közbevetni.	Cho nên ngay từ lúc con bé này ra đời…"
– Mondtam már, érzem, hogy leánynak kell lennie, – felelt Miss Betsey.	"Biết đâu là con giai…" mẹ tôi đánh bạo nói xen.
Keresztanyja akarok lenni, és arra kérlek, kereszteltesd Copperfield Trotwood Betseynek.	Phải giáo dục nó cẩn thận, và giữ cho nó đừng dại dột tin những kẻ không đáng tin.
Ennek a Trotwood Betseynek az életében ne legyenek tévedések.	Thế nào tôi cũng phải quan tâm đến việc đó".
Az anyám legalább ezt gyanította, a mint a tűz pislogása mellett Miss Betseyt megfigyelte.	Sau vài phút yên lặng và cái đầu cũng dần dần ngừng quay, Cô Bétxi hỏi:
– És jól bánt veled Dávid, gyermekem?	"Đêvit có tốt với chị không?
– Az uram túlságosan jó volt hozzám.	Mẹ tôi vừa nói vừa nức nở:
– Úgy?	"Vâng.
– Hogy most újra egészen egyedül vagyok és csak magamra támaszkodhatom e durva világban, bizony, magam is attól félek, hogy csakugyan elkényeztetett, – szólt az anyám zokogva.	"Thôi đừng khóc nữa", Cô Bétxi bảo, "Hai người lấy nhau thật không vừa đôi phải lứa… (vả lại làm gì có cặp vợ chồng vừa đôi phải lứa kia chứ?)
Te árva lány voltál, úgy-e?	Chị mồ côi phải không?"
– Az voltam.	"Vâng ạ."
– Kis gyermekek mellett voltam egy családnál, a melynek Copperfield gyakrabban vendége volt.	"Vâng, cháu dạy trẻ ở một gia đình anh Copơphin hay đến chơi.
Szegény kisbaba!	Cháu nhận lời.
– szólt Miss Betsey elgondolkozva, miközben homlokát ránczolva, még mindig a tűz fölé hajolt.	Thế là chúng cháu lấy nhau", mẹ tôi trả lời giản dị.
– Félek, nem sokat, – felelt az anyám.	"Coi công việc gia đình."
– Nem úgy, a hogy’ szeretnék érteni hozzá.	"Cháu sợ làm không được khá lắm", mẹ tôi đáp… "Không khá như cháu muốn.
De az uram tanítgatott…	Nhưng anh Copơphin đã bắt đầu dạy cháu"…
– ("Maga is sokat értett hozzá!") – jegyezte meg Miss Betsey közbevetőleg.	("Nó thì biết cái gì?" Cô Bétxi lẩm bẩm).
– És azt hiszem, vittem volna is valamire, mert nagy buzgalommal tanultam s az uram nagyon türelmesen oktatott, – ha halálának nagy szerencsétlensége – itt újra elakadt az édes anyám és nem is bírt tovább beszélni.	"Và cháu cũng hy vọng sẽ tiến bộ vì cháu rất chăm học và anh ấy lại rất chịu khó dạy, nếu anh ấy không bất hạnh mất đi…" Đến đây mẹ tôi nghẹn ngào không nói được nữa.
– Rendesen vezettem a háztartási könyvemet és minden este az urammal együtt zártam le, – siránkozott anyám; de újra erőt vett rajta a fájdalom és megint elakadt.	"Cháu ghi sổ chi tiêu đều đặn, và tối nào cũng tính toán với anh Copơphin" Mẹ tôi lại nghẹn lời, nức nở đau xót.
– szólt Miss Betsey.	Đừng khóc nữa chứ".
– Ugyan ne sírj már!	Cô Bétxi nói.
– Beteggé teszed magadat, – szólt Miss Betsey, – pedig tudod, hogy ez neked is megárthat, meg a keresztlányomnak is.	Cô Bétxi nói, "Chị nên biết khóc như thế không lợi cho chị và cả đứa con gái đỡ đầu của tôi.
– Ez az ő javára szólt; de mit tett te éretted?	Thế anh ấy có làm gì cho chị không?".
– kérdezte Miss Betsey.	"Bao nhiêu?" Cô Bétxi hỏi.
– Százöt fontot évenként, – felelt anyám.	"Dạ, mỗi năm là một trăm linh năm bảng", mẹ tôi trả lời.
– Rosszabbúl is cselekedhetett volna, – szólt a néném.	"Lẽ ra nó đã đối xử tệ hơn".
A szó igen illett az alkalomhoz.	Cô Bétxi nói.
Az orvos, miután fölment az emeletre és ujra lejött, s ha jól sejtem, meggyőződött róla, hogy minden valószinűség szerint órák hosszat szemtől-szemben kell majd ülnie ezzel az ismeretlen hölgygyel, föltette magában, hogy udvarias és előzékeny lesz.	Vì chị Pécgôti không biết tí gì về Cô Bétxi, và mẹ tôi cũng chưa hề cho biết gì về cô, nên việc cô ngồi trong phòng khách là một điều hoàn toàn bí mật, và mặc dầu cô có cả một kho bông trong túi, cứ ngồi nhét bông vào lỗ tai như thế, cái vẻ trang nghiêm của cô cũng không giảm bớt đi chút nào.
A férfinem legjámborabb tagja, a legszelídebb kis emberke volt.	Bác sĩ lên gác thăm rồi lại bước xuống.
Oldalogva járt ki s be az ajtókon, hogy mennél kisebb helyet foglaljon el.	Ông len lén đi ra đi vào, để choán càng ít chỗ càng hay.
Oly nesztelenűl lépdelt, csakhogy még lassabban, mint Hamletben a szellem.	Ông bước cũng nhẹ nhàng, như cái hồn ma trong kịch Hamlét và còn chậm hơn cả hồn ma này nữa.
A fejét mindig féloldalt lógatta, egyrészt a maga személyének szerény kicsinylése, másrészt mindenki másnak szerény nagyrabecsülése jeléül.	Ông nghiêng cái đầu sang một bên, một phần để khiêm tốn thu nhỏ mình lại, một phần để gây cảm tình với mọi người.
Az szót sem érdemel, hogy nem volt egy rossz szava a kutyája számára sem.	Nói rằng ông không thể văng tục chửi một con chó cũng vẫn chưa đủ.
Rá nem tudott volna mordúlni a veszett kutyára sem.	Ngay đối với một con chó cũng không thể văng tục chửi mắng nó nữa kia.
Nyájasan mondott volna neki egyetlen egy, vagy csak egy fél, vagy csak egy negyed szócskát, mert épp oly lassan beszélt, a hogy’ járt; de durván, vagy hirtelenül nem bánt volna vele, a világ minden kincséért sem.	Ông có thể nhã nhặn nói một câu, hoặc nửa câu hoặc một lời thôi… vì ông nói cũng chậm chạp như ông đi, nhưng dẫu sao ông cũng không muốn đối xử thô bạo với nó, và không một lý do nào trên đời có thể làm ông giận nó được.
Chillip úr, fejét oldalt lógatva, szelíden nézett nagynénémre, s udvariasan meghajolva, miközben gyöngéden néném balfüléhez nyúlt, a finom, fehér vattára czélozva, így szólt:	Ông Silíp nghiêng nghiêng đầu về một bên, nhìn cô tôi một cách dịu dàng, khẽ cúi mình chào, vừa nói vừa khẽ sờ lên tai trái của mình ý muốn hỏi tại sao cô lại nhét bông vào tai:
– Egy kis helyi bántalom, nagyságos asszonyom? – Mi!	"Thưa bà, bà bị nhức gì ở đấy phải không ạ?"
– felelt nagynéném, kirántva a vattát, mint valami dugót, az egyik füléből.	"Cái gì?" cô tôi hỏi lại, và rút bật cục bông ra khỏi một lỗ tai, như người ta rút cái nút chai.
– Egy kis helyi bántalom, ugy-e, nagyságos asszonyom?	"Thưa bà, bà bị nhức gì phải không ạ?"
Chillip úr ez után nem tehetett mást, mint hogy nyugodtan ült a helyén és nyájasan nagynénémre nézett, a ki szintén a helyén ült és a tűzbe nézett, – míg ujra föl nem hívták az emeletre.	Sau việc đó, ông Silíp không còn biết làm gì hơn là ngồi xuống ghế và khẽ nhìn cô, trong khi cô cũng ngồi, mắt ngắm nhìn ngọn lửa, cho đến khi người ta lại gọi ông lên gác.
Körülbelül egy negyedórai távollét után ismét visszatért az orvos.	Sau khi vắng mặt độ mười lăm phút, ông lại xuống.
– E-eh!	"Thế nào?".
– Igazán, igazán, – a hogy’ Chillip úr anyámnak elmesélte, – csaknem megsértődött; csupán hivatása szempontjából tekintve a dolgot, mondta azt, hogy csaknem megsértődött.	Thực là quá đáng… quá đáng (ông Silíp nói lại với mẹ tôi sau này như vậy), ông suýt phát cáu, nói riêng về mặt thầy thuốc mà thôi, cũng đã suýt phát cáu rồi.
Egyébként leült ujra a helyére és nézte csaknem két óra hosszáig a nagynénémet, a ki a tűz mellett ült, – a míg ujra ki nem szólították.	Tuy vậy, ông lại ngồi và nhìn cô tôi trong gần hai giờ, trong khi cô vẫn ngồi nhìn ngọn lửa, mãi cho đến lúc người ta lại gọi ông lên gác.
– kérdezte nagynéném, kirántva ujra a vattát a megfelelő füléből.	"Thế nào?" cô lại rút cục bông ra ở phía hồi nãy và hỏi.
– Bizony, nagyságos asszonyom, – felelt Chillip úr, – hát – hát – lassan haladunk.	"Thưa tốt ạ!", ông Silíp trả lời, "công việc… vẫn tiến triển từ từ đấy ạ!"
