ALEXANDRE DUMAS	Alexandre Dumas
A másik részen, január 9-én, a kincstári előadók a bíborost keresték fel, s egyikük, a többi szószólója, oly erélyesen és bátran beszélt, hogy a bíboros valósággal megdöbbent; de csak elküldte őket, ugyanazt mondván, amit az orléans-i herceg, hogy majd meglátjuk.	Về phía mình, ngày mồng chín, các uỷ viên thỉnh nguyện của Tham chính viện đến gặp giáo chủ tể tướng, và một người thay mặt họ phát ngôn đã nói năng rất cương quyết và táo bạo đến nỗi giáo chủ sửng sốt; ông ta tống khứ họ ra và nói giống như quận công Orléans rằng người ta sẽ xem xét.
Ekkor, hogy meglássák, összehívták az államtanácsot, s odakérették Émery adófőfelügyelőt is.	Thế là, để xem xét, người ta đã họp hội đồng và cho đi tìm quan Tổng giám tài chính d Emery.
- Sire!	- Hay tuyệt?
- Úgy!?	- A!
Annál jobb!	Hay lắm!
És aláírta Émery kinevezését.	Và ngài ký giấy bổ nhiệm ông d Emery.
Amikor a miniszter hívatta, sápadtan és rémülten rohant be, mondván, a fiát kis híja hogy meg nem ölték a Palota téren: a tömeg felismerte, s szemére hányta felesége fényűzését, akinek arannyal futtatott vörösbársony tapétájú lakosztálya volt.	Người ta đi tìm ông theo lệnh tể tướng và ông chạy đến mặt tái mét và hốt hoảng, nói rằng con trai ông suýt bị ám sát ngay ban ngày giữa quảng trường Hoàng cung: đám đông gặp anh ta và chê trách sự xa hoa của vợ anh ta, mụ này có một căn nhà chăng nhung đỏ với những lụa ren bằng vàng.
Ez nem minden; 11-én, amikor a királyné, mint szokása szerint minden szombaton, a Notre-Dame miséjére tartott, nyomába szegődött vagy kétszáz igazságot kérő-követelő asszony.	Chưa hết, ngày mười hai, hoàng hậu đi dự lễ ở nhà thờ Đức Bà, việc bà thường làm đều đặn vào các ngày thứ bảy, thì hơn hai trăm phụ nữ bám theo vừa kêu la vừa xin được thừa nhận quyền lợi.
Egyébként mi rossz szándékuk sem volt, csupán térdre akartak borulni előtte, hogy benne könyörületet ébresszenek; de az őrök megakadályozták, a királyné gőgösen és fenségesen vonult tovább, meg se hallgatva jajszavukat.	Kể ra họ không có một ý đồ xấu nào, chỉ muốn quỳ trước hoàng hậu đề cầu bà rủ lòng thương; song vệ sĩ đã ngăn cản họ và hoàng hậu cứ ngạo mạn và kiêu hãnh đi qua mà chẳng để tai đến những tiếng kêu gào của họ.
Délután újabb tanácsülés volt; s azon elhatározták, hogy a királyi tekintélyt fenntartják; következésképpen a parlament másnapra, 12-re összehívatott.	Buổi chiều hội đồng họp và quyết nghị giữ vững quyền lực của nhà vua, do đó nghị viện được triệu tập vào ngày hôm sau tức ngày mười hai.
A rendeleteket kiadva, a király visszatért a Palais-Royalba.	Các chỉ dụ đó ban xong, vua trở về Hoàng cung.
Nagy sokaság lepte el útvonalát, tudván, hogy a parlamentből jön, azt azonban nem, hogy a népnek igazságot szolgáltatni, vagy a népet még jobban elnyomni ment-e oda, egyetlen örömkiáltás sem hangzott amerre elhaladt, hogy gyógyulását üdvözöljék.	Một trăm dân chúng đông nghịt đang đi trên dường, họ biết nhà vua từ nghị viện về, nhưng vì không biết nhà vua họp ở đó để thừa nhận quyền lợi của nhân dân hay để tiếp tục áp bức họ, nên không một tiếng kêu mừng rỡ nào vang lên khi vua đi qua để chúc mừng nhà vua đã bình phục.
Sőt, az arcok egytől egyig zordonak s nyugtalanok voltak, némelyek éppenséggel fenyegetők.	Trái lại, tất cả các gương mặt đều rầu rĩ và lo lắng; có vài người còn tỏ vẻ sừng sộ.
A király hazatért ugyan, de a csapatok helyükön maradtak: félő volt, hogy zendülés tör ki, ha a parlamenti ülés eredményét megtudják; s valóban, alighogy híre terjedt az utcákon, hogy a király az adókat nemhogy csökkentette volna, de még emelte is: csoportok verődtek össze, s hatalmas ordítások visszhangoztak: "Le Mazarinnal!	Mặc dầu nhà vua đã ra về, các toán lính vẫn ở nguyên tại chỗ: người ta lo ngại một cuộc bạo loạn bùng nổ khi biết kết quả phiên họp nghị viện; và quả nhiên, tiếng đồn vừa mới lan ra các phố rằng đáng lẽ phải giảm nhẹ thuế nhà vua lại tăng thêm thì các nhóm tập họp lại và những tiếng la hét vang ầm lên: "Đả đảo Mazarin?
Éljen Broussel!	Broussel muôn năm!
Ezeket a csoportokat persze szét akarták oszlatni, s a kiáltozást el akarták némítani, de ahogyan ilyenkor történni szokott, a csoportok egyre növekedtek, s a kiáltozások megkét­szereződtek.	Người ta muốn giải tán các đám dân chúng, muốn dập tắt các tiếng kêu, nhưng càng thế các đám người càng đông lên và những tiếng kêu la càng tăng gấp bội.
A királyi gárdisták s a svájciak éppen megkapták a parancsot, nemcsak arra, hogy tartsanak ki a helyükön, hanem indítsanak őrjáratokat is a Saint-Denis s a Saint-Martin utcába, hol különösen nagyszámú s izgatott csoportok mutatkoztak, mikor a Palais-Royalban bejelen­tették a polgármestert.	Lệnh vừa mới ban ra cho lĩnh ngự vệ và lính Thuỵ Sĩ, không những phải giữ vững, mà còn phải đi tuần tra trong các phố Saint-Denis và Saint-Martin, nơi các đám người có vẻ đông đảo hơn và nhộn nhạo hơn, thì ở Hoàng cung người ta thông báo có ông thị trưởng thành phố đến.
Azonnal bevezették; azért jött, hogy megmondja: ha ezeket a fenyegető csapatmozdulatokat tüstént vissza nem vonják, két órán belül egész Párizs fegyvert ragad.	Ông ta được dẫn vào ngay: ông nói rằng nếu không chấm dứt ngay lập tức những cuộc thị uy thù nghịch, thì trong hai giờ nữa toàn thành phố Paris sẽ vũ khí sẵn sàng.
Javában tanakodtak, mitévők legyenek, mikor Comminges gárdahadnagy megtépázva, vérző arccal beállított.	Người ta đang bàn luận xem phải làm gì thì viên trung uý thị vệ đoàn Comminger trở về quần áo tả tơi và mặt mày đầm đìa máu.
A királyné, ahogy megpillantotta, ijedtében felsikoltott, s megkérdezte, mi történt.	Thấy ông ta xuất hiện, hoàng hậu kinh hãi kêu lên và hỏi xem có chuyện gì.
Az történt, hogy a gárdisták láttán, ahogyan a polgármester jósolta, a lelkek végképp nekikeseredtek.	Như ông thị trưởng đã dự kiến; nhìn thấy các toán lính gác, dân tình nổi xung lên.
Megrohanták a tornyokat, s a harangokat félreverték.	Người ta chiếm các tháp chuông và rung chuông báo động.
Comminges jól tartotta magát, elfogott egy embert, ki az egyik főkolomposnak látszott, s megparancsolta, hogy elrettentő például akasszák fel a Trahoir keresztjére.11 A katonák, a parancsot végrehajtandó, elvonszolták.	Comminger đã chống cự tốt, bắt giữ một người đàn ông có vẻ là một trong những tay phiến động chủ yếu, và để làm gương đã ra lệnh treo cổ anh ta ở bãi Thập tự T rahoa.
Ez az erőszak hasztalan volt, a bűnösre nem tudtak ráakadni.	Nhưng bạo lực ấy cũng vô ích, không thể tìm thấy tội phạm.
Comminges őrséget hagyott az utcában, s csapata többi részével visszatért a Palais-Royalba, hogy a királynénak beszámoljon a történtekről.	Comminger để lại một trạm gác trong phố và cùng số lính còn lại của đơn vị trở về Hoàng cung để tâu với hoàng hậu về sự việc đã xảy ra.
Egész úton fenyegető és becsmérlő kiáltások kísérték, több emberét dárda- és alabárddöfés érte, őt magát is egy kődobás, hogy felhasadt a szemöldöke.	Suốt dọc đường, ông ta bị những tiếng la ó và đe doạ đuổi theo, nhiều lính của ông bị giáo mác đâm bị thương và bản thân ông bị một hòn đá đáp rách chỗ lông mày.
Comminges beszámolója alátámasztotta a polgármester véleményét, komoly lázadással nem állt módjukban szembeszállni; a bíboros szétkürtöltette Párizs-szerte, hogy a csapatok a rakparton s az Új Hídon csak a szertartás miatt sorakoztak fel, s hamarosan visszatérnek onnan.	Câu chuyện của Comminger làm vững thêm ý kiến của ông thị trưởng - người ta chưa đủ sức đương đầu với một cuộc nổi loạn thực sự; ông giáo chủ cho loan tin trong dân chúng rằng các toán quân rải trên các kè và Cầu Mới chỉ là nhân dịp làm lễ và sắp rút đi.
Valóban, délután négy óra tájt mind a Palais-Royal köré húzódtak; a Sergents sorompóhoz őrséget állítottak, egy másikat a Quinze-Vingts-hez, s végül egy harmadikat is, a Saint-Roch dombra.	Quả thật vào lúc bốn giờ chiều, các toán quân tập trung cả về phía Hoàng cung, người ta đặt một trạm gác ở chỗ chắn đường Sergents, một trạm khác ở chỗ Tám Mươi, cuối cùng một trạm nữa ở Saint-Roch.
Az udvarokat s a földszintet svájciakkal és testőrökkel szállatták meg, és vártak.	Người ta đưa lính Thuỵ Sĩ và lĩnh ngự lâm vào đầy các sân, các tầng trệt và chờ đợi.
Így álltak tehát a dolgok, midőn olvasóinkat Mazarin bíboros dolgozószobájába vezettük, mely Richelieu bíborosé volt azelőtt.	Đấy là bổi cảnh diễn biến các sự kiện, khi chúng tôi đưa bạn đọc vào văn phòng của giáo chủ Mazarin xưa kia vốn là văn phòng của giáo chủ de Richelieu.
- Bernouin - mondta a bíboros, s még csak hátra se fordult, mert a két füttyentésre, tudta, csak a komornyikja jöhet -, miféle testőrök szolgálnak a palotában?	- Bernouin, - giáo chủ nói mà chẳng buồn quay đầu lại vì sau khi thổi lên hai tiếng còi, ông biết người hầu của mình phải là ai, - lính ngự lâm đang gác ở Cung là lính nào?
- A fekete testőrök, kegyelmes uram.	- Thưa Đức ông, đó là ngự lâm đen.
- Melyik század?	- Đại đội nào?
- Tréville százada.	- Đại đội Treville.
- Van-e itt az előszobában valamiféle tiszt a századból?	- Có sĩ quan nào ở đại đội ấy trong tiền sảnh không?
- D’Artagnan hadnagy.	- Có trung uý d Artagnan.
- Megbízható, remélem?	- Chắc đó là một người tốt, phải không?
- Az, kegyelmes uram.	- Vâng, thưa Đức ông.
- Hozzon nekem egy testőrruhát, és segítsen átöltözni!	- Lấy cho ta một bộ y phục ngự lâm quân và giúp ta mặc vào.
A lakáj éppoly halkan, ahogyan jött, kiment, s egy pillanat múlva visszatért a kért ruhával.	Người hầu phòng đi ra cũng lặng lẽ như lúc vào và một lát sau trở lại mang theo bộ quần áo đòi hỏi.
A bíboros ekkor, némán s tűnődőn, elkezdett kivetkőzni a főpapi ünneplőből, s katona­zubbonyba bújt, melyet bizonyos könnyedséggel viselt, hála régi itáliai hadjáratainak; majd, midőn teljesen átöltözött, így szólt:	Thế là vị giáo chủ vẻ im lặng và suy nghĩ, bắt đầu cởi bỏ bộ lễ phục mà ông đã mặc để dự phiên họp nghị viện, và mặc chiếc áo lính với một vẻ thoải mái nhờ nhũng chiến dịch ở Ý của ông xưa kia, rồi khi đã vận xong hoàn toàn, ông bảo:
- Menjen, s hozza ide D’Artagnan urat.	- Đi tìm ông d Actagnan cho ta.
S a lakáj most már a középső ajtón ment ki, éppoly halkan osonva, mondhatni, mint valami árnyék.	Người hầu phòng lần này đi ra cửa giữa, nhưng vẫn lặng lẽ và câm như hến.
Ekkor felcsatolta vállszíját, gyönyörködve nézte meg a kezét, mert szép keze volt, s nagy gondot fordított rá, majd a hatalmas szarvasbőr kesztyűt - mely az egyenruhához tartozott, s már felhúzta volt - levetvén, egyszerű selyem­kesztyűt húzott fel.	Ông quàng tấm dải đeo gươm, nhìn với vẻ thoả mãn hai bàn tay nuột nà của mình mà ông chăm chút nhất; rồi quẳng đôi găng bằng da hoẵng mà ông đã cầm lấy và hợp với bộ quân phục, ông xỏ đôi găng lụa giản dị.
Ebben a pillanatban nyílt az ajtó.	Lúc ấy cánh cửa mở ra.
Belépett egy tiszt.	Một sĩ quan bước vào.
Harminckilenc-negyven év körüli férfiú volt, alacsony, sovány, de mokány termetű; szeme élénk és értelmes, szakálla fekete, s haja deresedő, mint általában azoké, akik az életet túl jónak vagy túl rossznak találták, kivált ha sötétbarnák.	Đó là một người chạc băm chín bốn mươi tuổi, vóc người nhỏ nhưng chắc, gầy, mắt tinh và hóm hỉnh, râu đen và tóc hoa râm như thường xảy đến khi người ta thấy cuộc đời quá tốt hoặc quá xấu, và nhất là khi da người ta rất nâu.
Megállt, tiszteletadó, de méltóságteljes magatartásban, mint ahogy rangos emberhez illik, kinek többször volt alkalma életében nagyurakkal érintkezni.	Anh đứng thẳng trong tư thế cung kính nhưng đường hoàng và rất thích hợp với một người có địa vị trong đời mình luôn có dịp tiếp xúc với các quan đại thần.
A bíboros rászegezte inkább ravasz, mint átható tekintetét, figyelmesen vizsgálta, majd néhány pillanatnyi hallgatás után megkérdezte:	Giáo chủ chằm chằm nhìn anh bằng con mắt tinh ranh hơn là sâu xa, ngắm nghía chăm chú, rồi sau vài giây im lặng, ông cất tiếng.
- D’Artagnan úr?	- Chính ông là ông d Artagnan phải không?
- Én vagyok, kegyelmes uram - felelte a tiszt.	- Chính tôi, thưa Đức ông - viên sĩ quan nói.
A bíboros még nézte egy pillanatig ezt az értelmes főt, ezt az arcot, melynek rendkívüli mozgékonyságát esztendők és tapasztalatok merevítették; D’Artagnan azonban olyan ember módján állta ezt a vizsgálatot, kit valaha egészen másként tűző szemsugarak bámultak, mint aminők most igyekeztek a veséjébe látni.	Giáo chủ nhìn một lát nữa cái đầu đến là thông minh ấy và khuôn mặt mà sự linh hoạt thái quá đã bị kiềm chế bởi tuổi tác và kinh nghiệm; nhưng d Artagnan chịu dựng sự thẩm tra với tư cách một người xưa kia đã từng bị nhìn bằng những con mắt sắc sảo khác hẳn những con mắt mà anh chịu đựng sự dò xét vào lúc này.
- Uram - mondta a bíboros -, most velem fog jönni, vagy inkább én megyek magával.	- Này ông, - giáo chủ nói, - Ông sẽ đến với tôi, hay đúng hơn là tôi sẽ đi với ông.
- Parancsára, kegyelmes uram - mondta D’Artagnan.	- Xin tuân lệnh, - D Artagnan đáp.
- Személyesen akarom meglátogatni a Palais-Royalt körülvevő őrsöket; gondolja, van valami veszély?	- Tôi muốn tự mình đến thăm những trạm gác bao quanh Hoàng cung; ông nghĩ có điều gì nguy hiểm không?
- Veszély, kegyelmes uram?	- Nguy hiểm ư?
- Miféle volna?	- D Artagnan ngạc nhiên hỏi.
- Azt mondják, a nép teljes forrongásban.	- Người ta nói dân chúng hết sức náo loạn.
- A királyi testőrök uniformisát nagyon tisztelik, kegyelmes uram, s ha nem tisztelnék, én negyedmagammal száz ilyen bugrist meg bírnék szalasztani!	- Quân phục ngự lâm quân của nhà vua rất được kính nể, thưa Đức ông, và với bốn người, tôi dám cam đoan đánh tan một trăm tên loại dân đen ấy.
- Mégis, láthatta, Comminges-zsal mi történt?!	- Nhưng ông đã thấy, chuyện xảy ra với Comminger chưa?
- Comminges úr a gárdistáknál szolgál, nem a testőröknél - felelte D’Artagnan.	- Ông de Comminger là thuộc đội cận vệ, chứ không phải ngự lâm quân là lính cừ hơn cận vệ.
- Ami azt jelenti - kérdezte a bíboros mosolyogva -, hogy a testőrök jobb katonák, mint a gárdisták?	- Thế có nghĩa là, - giáo chủ mỉm cười nói, - ngự lâm quân là lính cừ hơn cận vệ.
- Mindenki büszke a maga uniformisára, kegyelmes uram.	- Thưa Đức ông, mỗi người có lòng tự tôn về binh phục của mình.
- Ugyan, kegyelmes uram, ez csak szerénység - mondta D’Artagnan.	- Ấy chết, thưa Đức ông, - D Artagnan nói, - đó là sự nhũn nhặn.
- Csakhogy a ma esti kiruccanáshoz talán nem lett volna elég biztonságos.	- Phải, nhưng để đi ra tối nay, có lẽ nó không an toàn lắm.
Bernouin, a kalapomat!	Bemuanh đưa mũ dây.
A komornyik széles karimájú testőrkalappal jött vissza.	Người hầu phòng mang ra một cái mũ binh phục rộng vành.
A bíboros legényesen a fejébe nyomta, majd ismét D’Artagnanhoz fordult:	Ông chủ đội mũ với vẻ khá phóng túng và quay lại phía d Artagnan:
- Felnyergelt ló, ugyebár, mindig van az istállóban?	- Ông có những con ngựa đóng yên cương sẵn ở trong các chuồng phải không?
- Van, kegyelmes uram.	- Vâng, thưa Đức ông.
- Nos hát induljunk!	- Nào, ta đi đi.
- Hány embert akar, kegyelmes uram?	- Đức ông cần bao nhiêu người?
- Azt mondta, négy emberrel száz bugris megfutamítására vállalkozik; mivelhogy kétszázzal is szembekerülhetünk, hozzon nyolcat.	- Ông đã nói là với bốn người các ông có thể đánh tan một trăm tên dân đen; cho là có thể gặp hai trăm tên, hãy lấy tám người.
- Ahogy eminenciád parancsolja.	- Khi nào Đức ông cần?
- Maga után megyek, vagy jobb lesz - torpant meg a bíboros -, ha erre megyünk ki.	- Tôi theo ông, hay thôi, - giáo chủ nói tiếp, - ta đi lối này.
Világítson nekünk, Bernouin.	Bernouin, rọi đèn cho chúng tôi.
2	Chương 2
A kis csoport tíz perccel ezután kilépett a Bons-Enfants utcára,12 a színház mögött, melyet a Mirame előadására Richelieu építtetett; benne Mazarin, a muzsikát az irodalomnál jobban kedvelvén, nemrégiben játszatta az első operát Franciaországban.13	M ười phút sau, toán lính nhỏ di ra qua phố Trẻ Ngoan, phía sau phòng biểu diễn mà giáo chủ de Richelieu đã cho xây để diễn vở "Niramơ" và giáo chủ Mazarin - say mê âm nhạc hơn văn chương - vừa mới cho diễn những ca kịch đầu tiên trình diễn ở Phảp.
Időről időre lárma, kiabálás hallatszott a Vásárcsarnok felől.	Chốc chốc; những tiếng ồn ào từ khu chợ Hallơ vọng đến.
A Saint-Denis utcában puskák ropogtak, s némelykor hirtelen, azt se tudták, miért, kongani kezdett egy-egy, a nép­szeszély megszólaltatta harang.	Những phát súng nổ lẹt đẹt từ phía phố Saint-Denis, và thỉnh thoảng đột nhiên không hiểu sao một tiếng chuông lại dội lên do tính bốc đồng của dân chúng.
Ha valami csoport az utca közepén ácsorgott, figyelmeztetés nélkül nekik rúgtatott, s azok, lázadók vagy sem, mintha tudták volna, kivel van dolguk, szétváltak, utat nyitottak az őrjárat előtt.	Khi một người đứng nghênh ngang giữa lòng đường anh thúc ngựa mà chẳng hề báo tránh, và những người trong đám đông, phiến loạn hay không, như biết rõ họ đang đụng phải tay nào đây, bèn dãn ra và để toán tuần tra đi qua.
A bíboros irigyelte ezt a higgadtságot, s a veszélyhez szokottságnak tulajdonította; de azért nem kevésbé csodálta a tisztet, kinek ez idő szerint rendelkezése alá helyezte magát, azzal a tisztelettel, mellyel az óvatosság adózik a könnyelmű bátorságnak.	Ông giáo chủ khao khát cái thái độ bình tĩnh được ông gán cho là do thói quen gặp nguy hiểm, nhưng đối với viên sĩ quan tạm thời ông bị đặt dưới quyển: ông vẫn tỏ một thứ vị nể mà chính tính thận trọng làm hoà hợp với lòng can đảm vô tư.
Louis és Rocroi volt a jelszó.	Mật khẩu "Louis" và "Rôcroa".
Az őr rámutatott egy tisztre, ki állva s kezét a ló nyakán tartva beszélgetett nyeregben ülő társával; ő volt az, akit D’Artagnan keresett.	Người lính canh chỉ cho anh một viên sĩ quan đang đứng dưới đất nói chuyện, bàn tay vịn vào cổ con ngựa của người đối thoại.
- Itt van Comminges úr - mondta D’Artagnan a bíboroshoz visszatérve.	Đó chính là người mà d Artagnan đang cần hỏi.
- Bravó, Guitaut14 - mondta a bíboros a lovon ülőnek -, látom, hogy hatvannégy éves fejével még mindig a régi, rugalmas és szolgálatkész.	- Hoan hô Gitaud, - giáo chủ nói với kỵ sĩ, - mặc dù ông đã sáu mươi tư tuổi tôi thấy ông vẫn như xưa, lanh lẹn và tận tuỵ.
Mit mondott itt ennek az ifjúnak?	Ông nói gì với chàng trai này thế?
- Azt, kegyelmes uram - mondta Guitaut -, hogy furcsa korszakban élünk, s hogy ez a mai nap módfelett hasonlít a Liga ama napjához, melyről annyit beszéltek ifjúkoromban.	- Thưa đức ông, - Gitaud đáp - tôi bảo anh ấy là chúng ta đang sống trong một giai đoạn kỳ dị, và ngày hôm nay giống hệt một trong những ngày của khối Liên Minh mà tôi từng nghe nói đến rất nhiều trong thời trai trẻ.
Tudja, hogy nem kevesebbről volt szó a Saint-Denis s a Saint-Martin utcában, mint hogy barikádot állítsanak?	Anh có biết trong phố Saint-Denis và Saint-Martin, người ta không có việc gì khác ngoài việc dựng các vật chướng ngại không?
- S erre Comminges mit válaszolt, kedves Guitaut uram?	- Ông bạn Gitaud thân mến, thế Comminger trả lời ông thế nào?
- Kegyelmes uram - felelt meg Comminges -, azt feleltem, hogy az új Liga megteremtéséhez csak egy, méghozzá lényeges kellék hiányzik nekik, s ez egy másik Guise herceg;15 egyébként sem csinálja az ember kétszer ugyanazt a dolgot.	- Thưa Đức ông, - Comminger nói, - tôi trả lời rằng muốn một Liên Minh, họ chỉ thiếu một điều mà tôi thấy là khá quan trọng đó là một quận công De Guise vả chăng người ta không làm hai lần cùng một việc.
- Azt nem, de Fronde-ot16 igen, amint nevezik - jegyezte meg Guitaut.	- Không, nhưng họ sẽ làm một La Fronde như họ bảo, - Gitaud đáp.
- Micsoda is az a Fronde?	- La Fronde, đó là cái gì?
- kérdezte Mazarin.	- Mazarin hỏi.
- Kegyelmes uram, így nevezik ők a pártjukat.	- Thưa Đức ông, đó là cái tên họ đặt cho bè đảng của họ.
- S honnan származik ez az elnevezés?	- Tên ấy từ đâu ra?
Nos, ők pedig röptiben kapták el a szót, ahogy a "koldusok"17 annak idején Brüsszelben, s elnevezték magukat parittyásoknak.	Thế là họ chớp lấy cái đó, giống như bọn ăn xin ở Bruxelles đã làm, vả họ tự xưng là Fronde.
