HOMÉROSZ	Homer
Szólt, és ment is előre azonnal Pallasz Athéné nagysebesen; s Odüszeusz ment véle, követte az istent.	Cửa bằng vàng mở ra giữa tường dày cộm, cánh bằng bạc đặt trên ngưỡng bằng đồng.
Őt a hatalmashírü hajósnép észre se vette,	Đà ngang bằng bạc, then gài bằng vàng.
"Vándor apám, ez a ház az, amelynek megmutatását	Cung điện dùng năm mươi thị nữ.
és az egész nép: mint istenre tekintenek őrá,	Đây là chỗ dân thành phố thường tới lấy nước.
újra remélheted azt, hogy látod a kedveseid még, s nagytetejű házadba elérhetsz, otthoni földre."	Sau khi ngắm chán chê, nhìn mê mệt, lanh lẹ bước qua ngưỡng cửa, Odysseus vào đại sảnh.
és a szemöldökfájuk ezüst, karikájuk arany volt.	Mọi người trố mắt nhìn ngỡ ngàng.
állványon, lobogó fáklyákat tartva kezükben,	Mọi người nín thinh, không nhúc nhích.
Kívül az udvaron, ajtóhoz közel, áll a gyümölcsös,	Odysseus trường kỳ chịu đựng bắt đầu ăn uống.
És a gyümölcs sose pusztul e fákon, nem szünik érni,	Mọi người rưới rượu lễ, rồi uống cạn cúp đầy ắp.
Körte a körte körül puhul, érik, az alma az almán,	Đêm nay sau dạ tiệc chư khanh về nhà nghỉ ngơi.
Két forrás van: egyik szanaszét szóródik a kerten,	Trong quá khứ biết bao lần các người xuất hiện nguyên hình.
férjedet és a te térdedet értem el annyi bajomban,	Sự thể đúng với tiện nhân.
azt, mit a községtől kaptak, s szép kincseiket mind;	Giọng áp đảo, ngạo mạn bao tử thốt lời đòi thỏa mãn.
Későn szólalt meg csak az éltes hős Ekhenéosz,	Odysseus dứt lời, thực khách rầm rầm tán thưởng.
tűzhely előtt hamuban hogy a vendég üljön a földön;	Riêng Odysseus ở lại đại sảnh với Arete và Alkinoos.
s itt ezek azt várják, szótlan, hogy kezdd meg a szót te:	Tỳ nữ bắt đầu dọn bàn.
rajta tehát, vendégedet ültesd szépfaragású	Arete cánh tay trắng ngần mở màn vào chuyện.
mert hisz a tisztes esengőt ő kíséri az úton.	Khách lạ là ai, từ đâu tới?
bölcsszivü, tarkaeszű Odüszeuszt megfogta kezénél	Sau khi đắm thuyền ngoài khơi khách lạ tới đây phải không?"
szép szinarany kancsót az ezüst tálkába ürítve,	Cách đây xa xa, ngoài khơi trên biển, có hòn đảo tên Ogygia.
és sok jó eledelt, s ami volt, osztotta örömmel.	Không có thế nhân hay thần linh nào tới thăm.
mert hisz a tisztes esengőt ő kíséri az úton."	Đồng hành gan dạ chết hết.
nagysebesen, vidoran, bármennyire messze igyekszik;	Nữ thần còn nổi gió ấm theo sau khiến không cực nhọc.
és veszedelmet, bajt szenvednie közbe ne kelljen,	Mười bảy ngày tiện nhân dong buồm vượt biển.
"Alkinoosz, te ilyet sose gondolj, isteneinkkel	Vì thế tiện nhân bơi ra khơi.
Sőt mégtöbb gonoszat tudnék elmondani nektek,	Màn đêm trùng điệp rủ buông.
Mert nincs semmi kutyább a gyomornál: gyűlöletes, hisz	Nhờ có thần linh trợ giúp tiện nhân lăn ra ngủ ngon lành.
Ámde ti, nagysietősen, amint fölfénylik a hajnal,	Ái nữ trông như tiên nga cũng chơi với tỳ nữ.
engem, a gyötrődőt, indítsatok újra hazámba,	Tiện nhân ngỏ lời xin cứu giúp.
Válaszul erre eképen szólt leleményes Odüsszeusz:	Nếu thấy tiện nhân đi với tiểu thư, Hoàng thượng sẽ bất bình.
ott Atlasznak a lánya, cseles, szépfürtü Kalüpszó	Ở đời bất kể thế nào nên vừa phải thì hơn.
Ógügié szigetére vetettek az istenek, és ott	Làm thế là phật ý Cha Chúa tể!
ám hogy az esztendők fordultak, a nyolcadik eljött,	Họ tới đó, trở về cùng ngày không mỏi mệt.
ElküIdött sokeresztékes tutajon, s eleséget	Quân vương dứt lời.
míg hevesen nyögtem, tutajom nem hagyta haladni.	Tỳ nữ rời đại sảnh tay cầm đuốc đi ra.
jött már.	Khúc 8
sok levelet; s öntött rám végtelen álmot az isten.	Odysseus dòng dõi Chúa tể, cướp phá thành phố cũng rời giường.
Majd sűllyedt a nap és eleresztett mézizü álmom.	Đến nơi hai người ngồi gần nhau trên ghế đá bóng láng.
Ő kenyeret, s vele lángszinü bort is adott elegendőt,	Nghe nói thế ai nấy đều nôn nóng, tò mò muốn biết.
mert hiszen indulat él itt bennünk, emberi nemben."	Khách lạ hỏi đường về và xin trợ giúp.
senkise fog közülünk: de hisz ettől Zeusz atya óvjon!	Quả nhân sẽ thù tiếp mọi người đầy đủ.
Én hazajuttatlak, megigérem, hogy bizonyos légy,	Đây là lệnh truyền quả nhân muốn tay chèo tuân theo.
otthoni földre, a házadhoz, s ahová csak akarnád;	Vậy tất cả đều đến, không ai từ chối!
egykor, amint vitték ama szőkehajú Rhadamanthüszt	Dứt lời Alkinoos bước đi, quân vương mang vương trượng theo sau.
látogatóba hajón Titüoszhoz Gaia fiához.	Lệnh sứ đi mời thi sĩ ca công.
"Zeusz atya, bárcsak amit megigért most, mind meg is adná	Tiền môn, khu sân, sảnh đường đầy người.
És odaérve, simára csiszolt köveken le is ültek jól közel egymáshoz.	Mỗi lần thi sĩ lừng danh ngưng nghỉ, Odysseus lại lau nước mắt.
mindet, amelyben a phaiákok próbára kihívják.	Nói xong quân vương bước đi, mọi người nối gót.
Lám, e nem-ismert vándor jött palotánkba, bolyongva,	Tất cả tới quảng trường, dân chúng lũ lượt ùa theo.
mert nincs más se, akárki legyen, ki a házam eléri,	Laodamas, Klytoneus và Halios cường tráng cũng tham dự.
a barna hajót vontassuk az isteni vízre,	Môn thi đầu tiên là chạy bộ.
azt az előlsuhanót, s ötvenkét fürge legényt is	Vòng đua bắt đầu từ thanh ngang ghi điểm xuất phát.
lépjetek újra a partra, hamar lakomázni lakunkba,	Người nhanh nhất là Klytoneus vụt lên đầu.
Hívjátok az isteni lantost,	Euryalos quật ngã tất cả.
És a kiválasztott ötvenkét ifju; amint ő	Thân thể đẫy đà, vạm vỡ.
elrendelte, a meddő víz partjára elindult.	Hãy nhìn cặp đùi, đôi chân.
s bölcseszü Alkinoosz palotája felé igyekeztek.	Ngươi hỏi thử đương sự xem sao."
Alkinoosz pedig áldozatul vágott le tizenkét	Nhất định khách lạ là lực sĩ.
Ekkor a kedves dalnokot is bevezette a hírnök;	Ra thử xem sao, gạt bỏ ưu tư sang bên!
azt, kit a Múzsa kegyelt, s akinek jót s rosszat is osztott:	Bởi chẳng mấy nữa khách lạ sẽ lên đường.
mert elvette szemét, de adott neki mézizü dallást.	Thuyền đã hạ thủy, tay chèo cũng sẵn sàng."
válla fölé, megmondta a hírnök, mint vegye kézbe;	Lòng buồn rười rượi nên tiện nhân không để ý cuộc đua.
Átreidész, amiért civakodtak a legjelesebbek.	Khách lạ trông chẳng có vẻ gì lực sĩ!"
Így szólt és vezetett; vendégei mentek utána.	Quay một vòng Odysseus vung mạnh.
Szegreakasztva a hírnök az éleshangzatu lantot,	Chiếc đĩa bằng đá vun vút bay đi.
Nauteusz és Prümneusz, s vele Ankhialosz meg Eretmeusz,	Lực sĩ khác suýt soát bằng nhau, nhưng khách lạ đứng hàng đầu.
Jött oda Eurüalosz, ki a vészes Arésszal egyenlő,	Không lực sĩ Phaiakian nào ném giỏi, khoan nói ném xa hơn."
s Naubolidész, ki a legderekabb termetre s alakra	Lời nói khiến Odysseus gian khổ bấy lâu mừng thầm.
Láodamász, Haliosz, meg az isteni, szép Klütonéosz.	Tiện nhân sẽ ném hòn khác cũng xa như vậy, hoặc xa hơn.
ifju röpült sebesen, porfelleget ütve a síkon.	Các hạ cố tình thách đố nên tiện nhân nôn nóng.
annyira hagyta le társait ő, s úgy ért el a célhoz.	Bởi là khách lạ ai lại so tài với chủ nhân?
És a koronghajitásban Elatreusz lett a legelső,	Làm vậy là tự hại bản thân.
"Kérdezzük meg a vendégünket, rajta, barátok,	Tiện nhân sẵn sàng gặp gỡ, ganh đua với tất cả.
ért-e a versenyhez.	Mời ra thử sức!
"Láodamász, minek is buzdíttok, szúrva szavakkal?	Còn thương tiện nhân có thể lao xa hơn bất kỳ ai phóng tên.
isten sem készíthet, azonban bárgyu az elméd.	Chín trọng tài chọn trong dân chúng đứng dậy.
közt voltam, hiszem, ifju erő míg élt a karomban.	Lệnh sứ bước tới đưa Demodokos cây đàn âm thanh thánh thót.
S még így is, sokezer baj után, viadalra kiszállok:	Odysseus ngắm nhìn, lòng ngây ngất cảm phục.
éppenilyen távot hajitok vele, vagy jelesebbet.	Dưới chân giăng xích như lưới.
így, idegen nép közt: maga dolgát rontja csak avval.	Dây cương bằng vàng Ares mắt mở trừng trừng quan sát.
trójai nép mezején, hol lőttünk nyíllal, akhájok.	Bởi thế hai tình nhân lên giường nằm bên nhau.
Roppant Eurütosz elpusztult hamar és nem is ért meg	Hai tình nhân thấy muộn rồi không tài nào trốn thoát.
phaiák, mert csúnyán, szörnyen megtörtem a roppant	Thần linh bước vào nhà, uất ức đến trào máu họng.
Rajta azonban, hallgass most a szavamra, hogy elmondd más hősöknek is otthon majd palotádnak ölében,	Mời quý vị đến nhìn hai đứa ôm ấp âu yếm nằm ngủ với nhau trên giường tiện thần!
nem, de vagyunk a hajózásban, meg a fürge futásban.	Hai đứa chẳng mấy chốc sẽ chán không muốn ngủ với nhau.
Rajta, ti táncos phaiákok közt legkitünőbbek, táncra!	Rất ư xinh đẹp, song quá đỗi phóng đãng, lả lơi!"
szeretteinek hadd mondja el otthon e vendég, rögtön amint hazaér, hogyan értünk legkitünőbben	Nghe thấy phu quân nói thế thần linh kéo nhau chạy tới ngôi nhà ngưỡng cửa lát đồng.
Démodokosznak.	Rùa tóm cổ thỏ!
nászra miként lépett Árész s koszorús Aphrodíté,	Què quặt dùng diệu kế Hephaistos đưa vào bẫy.
szennyezték Héphaisztosznak.	Lời bàn đại loại là thế.
S ment ahhoz a hírnök:	Lạy Trời!
mely minden föld közt számára a legszeretettebb.	Hứa hẹn với kẻ chây nợ khác nào nước đổ lá khoai!
átkulcsolta kezét sebesen, szót szólva kimondta:	Dứt lời Hephaistos nhanh tay lấy sức mở lưới.
végre is átlátták, hogy nincs számukra menekvés.	Ca khúc thi sĩ ca công lừng danh biểu diễn là thế.
jöttem eként a világra.	Ý kiến quả thật chí lý.
lám, most is megfogta Arészt Héphaisztosz, a lassú,	Tất cả tán đồng ý kiến, đồng thời ra chỉ thị.
őt, aki leggyorsabb valamennyi olümposzi úr közt,	Quân vương nào cũng sai lệnh sứ về nhà lấy tặng phẩm.
ám arany Aphroditéval hálnék mégis az ágyban."	Cầu mong thần linh ban hồng ân cho quý hữu.
Erre a híres sántító Héphaisztosz ekép szólt:	Alkinoos cường tráng, hiên ngang dẫn đường.
"Föld övezője Poszeidáón, már erre ne is kérj:	Tới nơi mọi người vào an vị trên ghế bành.
Erre a híres sántító Héphaisztosz ekép szólt:	Vừa nghe Arete tức thì ra lệnh tỳ nữ để kiềng ba chân trên bếp.
"Nem lehet és nem is illik nemmel szólnom a szódra."	Tỳ nữ đặt vạc, đổ đầy nước, đem củi nhóm đun.
Így szólott az erős Héphaisztosz, eloldta bilincsét.	Lửa bắt đầu liếm quanh bụng vạc, nước bốc hơi.
Alkinoosz Haliosznak szólt és Láodamásznak,	Sau đó một lát quản gia bảo đi tắm.
"Alkinoosz, nagyuram, népednek legjelesebbje,	Về tới quê hương đừng quên tiện phụ.
büszkén mondtad imént, hogy a táncosaid kitünőek,	Bởi nhờ tiện phụ khách lạ không vĩnh biệt cõi đời!"
Mert hisz a népünk közt itt élve, fölötte tizenkét	Dứt lời Odysseus mang ghế ngồi cạnh quân vương Alkinoos.
büszke király vezető, de tizenhárom velem együtt:	Mọi người bắt đầu thưởng thức món ăn và pha rượu uống.
hát közülünk kiki tiszta mosott köpenyeggel egy inget	Lệnh sứ dẫn thi sĩ ca công Demodokos dân chúng ái mộ đi vào.
jó érckardot adok neki, markolatát szinezüstből	Thực khách đưa tay với món ăn thơm ngon bày trước mặt.
"Üdvözlégy, vendég atya.	Odysseus dứt lời.
Számról hogyha goromba szó röppent el, a szélviharok hordják tova innen.	Lẩm bẩm cầu khấn thần linh, thi sĩ khai khúc cất lời kể chuyện.
Válaszul erre eképen szólt leleményes Odüsszeusz:	Ngựa gỗ đứng lù lù, người Troian xúm quanh bàn tán vòng vo.
mit nekem adtál, míg engeszteltél szavaiddal."	Rút cuộc họ chấp nhận cách cuối cùng.
szép holmit, phaiák nemesek neki szánt adományát,	Odysseus tìm đủ cách che giấu không để ai nhìn.
Lángok közt melegült az edény hasa, benne a víz is;	Chắc hẳn nỗi buồn cay đắng tràn ngập cõi lòng.
mind a ruhát, aranyat, phaiák vezetők adományát;	Nếu thế thú vị biết bao!
és elzárta fedéllel a ládát, rá bonyolultan	Thành thật, thẳng thắn vẫn hơn.
otthonomat s hazatértem napját látnom, elérnem.	Rất có thể hải thần sẽ ra tay hoặc để đó chưa đụng tới.
Hozzád ott is akár istenhez, aként könyörögnék	Khi nào muốn là hải thần quyết định.
mindenkor, te leány: hisz az éltem vissza te adtad."	Nhưng thôi bây giờ hãy nói và kể cho ngô bối hay hết sự thật.
Szólt és Alkinoosz mellé ült ekkor, a trónra;	Trong khi lênh đênh trôi dạt vào đâu?
s már azok étkeket osztottak, meg a bort vegyitették.	Tới vùng đất nào có người ở?
Ekkor a kedves dalnokot is bevezette a hírnök,	Đến thành phố nào, dân trong đó ra sao?
jár valamennyi halandótól: minden dalos embert	Thân hữu quý mến sau người cùng máu mủ, cùng gia đình?
múzsa tanított dalra, hisz annyira kedveli törzsük."	Hay đồng đội gan dạ hào hiệp, tận tình với khách lạ?
s melyet a felső várba cselével a fényes Odüsszeusz	Vì buồn rầu, đau khổ thần linh trên trời dành cho nhiều vô kể.
vagy fölvonni a csúcsra, lelökni a sziklatetőről,	Đất khô cằn, sỏi đá, song nuôi sống bầy con gan dạ.
leshelyük öblét elhagyták, kizudultak a lóból. És elzengte, ki hol rombolta a vár meredélyét,	Yêu phụ Circe phù thủy đảo Aiaia giam lỏng trong cung điện do cũng muốn lấy làm phu quân!
szörnyűségek napja elől védvén az övéit;	Tiện nhân cướp thành phố, giết dân trong đó.
rút rabságba, ahol robot és siralom csak a része	Sau đó tiện nhân nói với đồng đội phải mau mau rút lui, càng sớm càng tốt.
és orcája a legnyomorultabb kínban enyészik:	Nhưng xuẩn động quá đồng đội không nghe.
félelem attól, hogy végük lesz, vészbe kerülnek.	Gió và đà thủ giữ thuyền chạy thẳng.
Így jósolt az öreg: s ezt vagy véghezviszi isten,	Tay chèo vội vàng dùng bữa ngay bên thuyền.
mást, ami inkább édes a szívnek, látni hazámnál.	Nếu có người như vậy đảo sẽ trù phú vô cùng.
Azt földúltam, leölettem a népét;	Ngô bối đổ bộ ở đó.
S átkiabáltak a megmenekült kikonok kikonoknak	Thuyền lên hẳn hoi ngô bối mới hạ buồm.
közben, akik szomszédosak és többek s derekabbak:	Sau đó ngô bối nhảy lên bờ nằm ngủ chờ ánh sáng ban mai."
egymást érchegyü lándzsákkal hajigáltuk erősen.	Chỉ một lúc thần linh đã cung cấp cho ngô bối khá nhiều.
Bárkánként hat jólábvértes társam esett el,	Dưới thuyền còn vang ngô bối uống chưa hết.
Hát a hajókba behúztuk a vásznakat; és a hajókat,	"Dứt lời tiện nhân bảo tay chèo lên boong, tháo cáp, nhổ neo.
míg lelkünket a fáradság meg a fájdalom ette.	Đảo không xa đất liền bao nhiêu.
ültünk: szél és kormányos vitték csak a bárkát.	Chỗ này là chỗ ban đêm dùng nhốt cừu và dê.
partja elé a virágot-rágó lótuszevőknek.	Quái vật khủng khiếp!
már nem akart hírt adni nekünk, nem akart hazatérni,	Lão nhân sống giữa rừng cây um tùm dâng hiến Phoibos Apollo.
s minden megterem ott, noha földbe nem ülteti senki:	Ngô bối cứ thế đi vào, nhìn cái gì cũng thấy lạ mắt.
Megszentelt törvényük nincs, gyűlésbe se járnak;	Bình, chậu, xô lớn nhỏ bằng kim loại lõng bõng sữa tươi.
és felesége fölött, egymással mitse törődnek.	Tiện nhân không đồng ý mặc dù làm vậy là hay.
Nincs e szigetnek szántóföldje se, nincs legelője;	Ăn xong ngô bối ngồi trong hang chờ y trở về.
Mert hisz a küklópszoknak nincs vörösarcu hajójuk,	Vào trong hang y buông bó củi xuống đất rầm rầm.
gályát elkészíteni, mellyel az ő ügyeikben	Nghe hết hồn ngô bối vội vàng lui vào hốc kín.
barlangból fut a víz; körülötte virulnak a nyárfák.	Nhìn thấy ngô bối y hét thất thanh: ‘Khách lạ!
át a sötét éjen, hisz nem láthattuk a földet:	Từ đâu theo đường sóng nước tới?
Ott e sziget földjét nem pillantotta meg egy sem	"Ngô bối bủn rủn chân tay.
elszunnyadtunk, s így vártuk be az isteni Hajnalt.	Nào ngờ Chúa tể muốn vậy.
Végre mikor lebukott a nap és eljött a sötétség,	Nhưng nói ta hay khi tới đây ngươi đậu thuyền ở đâu?
mind lepihentünk sorban a tenger torlata mellett.	Mũi đảo hay gần bờ?
vagy vendégszeretők, s elméjük féli az istent."	"Lắng nghe, sinh vật hung ác không nói một lời.
Fölszálltak szaporán, evezők mellé telepedtek,	Óc bắn tung tóe ướt sũng mặt đất.
szunnyadozott éjjel, juhok és kecskék; körülötte	Ngô bối cảm thấy tuyệt vọng hoàn toàn!
Ekkor a többi nagyonszeretett társ kapta parancsom:	Ngô bối cứ thế thở dài, than vãn, ngồi chờ ánh sáng ban mai."
Ragyogó sok kincset adott nekem akkor, adta remekmívű aranyát, hét drága talentum	Sau đó, vừa la hét vừa thổi còi liên hồi, y lùa gia súc lên núi.
szolgaleány sem, hogy van e bor, csakis ő maga, kedves	Dự định hay nhất tiện nhân nghĩ là thế này."
bent őt, mert a kövér nyájat kísérte a réten.	Sau đó tiện nhân lùi kín trong đống phân nhan nhản quanh hang.
Telve savóval	"Chiều xuống.
Erre megaltatván a felét a fehérszinü tejnek,	"Tiện nhân dứt lời.
átsajtolta, s a túrót font kosarakba helyezte,	Y cầm liễn vang uống ừng ực.
"Kik vagytok?	"Y nói thế.
mint a kalóznépség, mely a sós vizen erre meg arra	Tiện nhân đưa liễn nữa đầy vang óng ánh.
lelkét kockáztatja, s a többi hajósra veszélyt hoz?"	Tiện nhân đưa ba lần; ba lần như tên cuồng y uống cạn.
S most a te térded elé ideértünk,	Tên bỉ nhân là Vô Danh.
hátha te megvendégelsz, vagy tán még ezen is túl	Vâng, thưa đó là tên bố mẹ, bạn bè thường gọi.’"
adsz oly kincset, mit vendégnek az ősi szokás oszt.	"Nghe nói thế trái tim tàn nhẫn ậm ừ đáp: ‘Ờ!
védi, a tisztes vándort ő kíséri az útján."	Đó là tặng phẩm ta dành cho ngươi, khách lạ!’"
messze a parton, vagy közelemben?	Đồng đội xúm quanh.
s újra csak így szóltam hozzá csavaros szavaimmal:	Nâng khúc gỗ mũi nhọn chĩa thẳng con ngươi họ thúc mạnh vào mắt.
Ezt mondtam; de kegyetlen szívvel mitse felelt ő;	Máu trào quanh đầu gỗ cháy xoẹt xoẹt.
s mint a hegyekben nőtt vad oroszlán, mitse hagyott meg:	Y rú rùng rợn, tiếng kêu vang dội tường đá vây quanh.
ette a húsukat és belüket s a velővel a csontot.	Rùng mình khiếp đảm ngô bối tẩu tán.
Sírva kinyujtottuk Zeuszhoz kezeinket a szörnyű	Y đẩy khúc gỗ khỏi mắt, máu tuôn lượt lội.
Őt bizony én nagylelkü szivemben akartam erősen	chuyện gì thế hở Polyphemos?
Mert vele kellett volna nekünk is hullni a vészbe:	Trộm vào lùa cừu hả?
ő tüzet élesztett, megfejte a nagyhirü nyájat,	Không phải vũ lực giết ta... mà thằng Vô Danh!’
és odaadtam, hogy meghántsák, embereimnek.	"Kế hoạch tiện nhân thấy hay hơn hết là thế này.
Hívtam a többieket, hogy sorsot vessenek ekkor,	Tiện nhân buộc ba con làm một.
s döntsék el, ki legyen, ki velem fölemelje a nyársat	Con đi giữa mang người dưới bụng, hai con đi hai bên che chở.
és bátran beledöfje szemébe, ha édesen alszik.	Như vậy là ba cừu mang một người.
Sors pedig éppen azokra esett, kiket úgyis akartam,	Phần mình tiện nhân chọn con lớn nhất, con đầu đàn.
Áldozatot hoztam neked ebből, megkönyörülsz tán	Thông thường con không bao giờ lẽo đẽo theo bước anh em!
itta az édes italt, s aztán kért újra belőle:	Vậy mà bữa nay con ra sau cùng tất cả!
Mert hoz a küklópszok dús földje a nagyszemü fürtből	Tên nó là Vô Danh; ta thề nó không toàn tính mạng!
válaszomat mézes szókkal neki adtam eképen:	"Dứt lời y để cừu đực qua cửa ra ngoài.
álltak; az istenség nagy merszet fújt kebelünkbe.	Bởi thế Chúa tể và thần linh bắt mi đền tội.’"
és a szemébe ütötték; én nekidőlve fölülről	"Nghe tiện nhân nói thế y nổi giận như hóa điên.
forgattam, valamint ha hajófát fúr ki az ember	Vớ ngay tảng đá khổng lồ y vung tay ném.
Fogva, szemében ekép forgattuk az áttüzesített	Tảng đá rơi nước dềnh cao.
edzeni márt a hideg vízbe, s hallatszik a vasnak hangos jajszava, mert nagy erőt ettől kap a jó vas:	Ngả người về phía trước họ chèo lấy chèo để, thoăn thoắt, hăng hái hết sức.
visszafutottunk megrémülve, kitépte szeméből	Tại sao lại cố tình khiêu khích thằng dã man hở người đáng thương?
Hallották a kiáltást, jöttek is innen-amonnan,	Ngô bối vẫn ở trong tầm tay nó thừa sức ném tới!’"
ambrosziás éjben s tőlünk eloroztad az álmot?	"Vừa rên rỉ y vừa đáp lời: ‘Hỡi ôi!
Nékik a barlangból így szólt az erős Polüphémosz:	Tiên đoán ngày trước bây giờ trở thành sự thật!
"Már ha magad vagy egészen s nem bánt senki erővel,	Sự việc thầy đoán bây giờ diễn ra y boong.
lám, ő ennyire balgának hitt engem eszében.	Vì ta là con hải thần, người tự hào là cha sinh ra ta.
Egy embert három kos hordott; s én magam ekkor	"Polyphemos khấn vái như thế.
ennek a hátát fogtam meg s gyapjas hasa alján	Thần linh mái tóc xanh đậm nghe tiếng.
értünk.	Khúc 10
s akkor a Küklópszhoz szóltam szúró szavaimmal:	Thức ăn cao lương mỹ vị bày la liệt trên bàn trước mặt.
most bosszút állt rajtad Zeusz meg a többi nagy isten."	"Ngô bối tới lãnh địa và cung điện lộng lẫy.
Ám amidőn kétannyi utat jártunk meg a vízben, újra a Küklópszhoz készültem szólni; de körben,	ông chưa thực hiện trọn vẹn ý định, ngô bối vì ngu muội, rồ dại tự hại bản thân.
"Mért akarod, te szegény, piszkálni tovább a vadembert?	Chín ngày, chín đêm ngô bối chèo lái không ngừng.
hisz csak imént is a szárazföld fele űzte hajónkat	Ngày thứ mười ngô bối thoáng thấy đồng ruộng quê hương.
vissza a vízbevetett kővel, már majd odavesztünk.	Đến gần ngô bối thấy ánh lửa, bóng người.
Hogyha csak egy is megmukkan, vagy hangot ad akkor,	Đúng lúc đó tiện nhân thiếp ngủ.
mondd, hogy a városokat dúló Odüszeusz vakitott meg,	Nhìn nhau họ hạ giọng: ‘Như vậy là bất công!
Rajta viszont, Odüszeusz, jer idébb, hogy ajándokot adjak,	Vậy chúng mình phải mau mau mở ra xem tặng phẩm thế nào?
néki vagyok fia, büszkén vallja magát az apámnak,	Trong bao da có bao nhiêu vàng, bao nhiêu bạc?’"
és Hádész házába is úgy tudnálak elűzni,	Họ mở bao da, gió bay đi hết.
teljes erővel megcsóválta s a vízbe vetette,	Ngô bối lên bờ kiếm nước.
dobta felénk, s a sötétkékorrú bárka mögött hullt	Sau đó tay chèo ngả bữa vội vàng bên thuyền lướt sóng.
combokat égettem.	Sao lại quay về?
Nem ügyelt ő áldozatomra,	Thần linh quái ác nào tác hại?
mind lepihentünk sorban a tenger torlata mellett.	Xin vui lòng cứu giúp.
AIOLOSZ	Cút!’"
úszó szép sziget ez; rézfal kanyarog körülötte	Rời đảo ngô bối lại ra khơi, tâm trạng bi quan hết sức.
Ott lakomáznak a kedves apával, a gondos anyával	Sáu ngày, sáu đêm ngô bối chèo lái liên tục.
mert őt tette Kronosz fia minden szélnek urává,	Sau đó tiện nhân chèo lên mỏm đá cao quan sát.
s közben a társaim egymást szólongatva szavakkal,	Vừa nghe nàng quay phắt chỉ ngôi nhà mái cao của thân phụ.
azt mondták, aranyat viszek én, meg ezüstöt, amelyet	Đi vào cung điện họ gặp phu nhân đứng lù lù như trái núi.
nagylelkűen adott nekem Aiolosz Hippotadész hős.	Thoạt nhìn họ thất kinh.
Egy-kettő, nézzük csak meg, mi van ebben,	Người Laistrigon nghe tiếng.
Ezt mondtam, kérő szókkal lelkükre beszélve;	Ngô bối lẳng lặng lái thuyền đi vào.
csöndbe merültek mind; csak az apjuk mondta a választ:	Nhờ thần linh soi đường chỉ lối ngô bối cập bến kín đáo.
"Menj a szigetről gyorsan, legnyomorultabb ember!	Không chần chừ ngô bối lên bờ tức khắc.
Ott a remek kikötőbe kerültünk, melyet egészen	Nó vừa ló khỏi ven rừng tiện nhân phang ngay giữa sống lưng.
nyílását, úgyhogy nagyonis szűk ott a bejárás,	Một chân đạp sườn tiện nhân rút thương.
hordozzák be a fát a hegyekből, mentek előre.	Tất cả thức dậy!
Éppen a szépencsörgedező forrás fele lépdelt,	"Tiện nhân nói thế, để tai lắng nghe họ sẵn sàng đáp lời.
rengetegen, nem is emberek, inkább szörnyü gigászok. Sziklatetőkről embernagy köveket hajigáltak;	Do vậy phải quyết định sao cho hữu lý càng sớm càng tốt nếu có thể vẫn tìm ra giải pháp.
rémületes dobogás hangzott tüstént a hajókról,	Phần riêng ta nghĩ bất khả.
És a hajóm, örömünkre, kiért a habokra a roppant	Họ bật khóc nức nở, nước mắt giàn giụa khôn ngừng.
szirtek alól; de a többiek együtt mind odavesztek.	Nhưng rên rỉ, thổn thức cũng chẳng dẫn tới đâu.
Onnan előrehajóztunk hát, keseregve szivünkben,	Cuối cùng tiện nhân chia đoàn thành hai nhóm, mỗi nhóm một chỉ huy.
mert örömest éltünk, de derék fiakat veszitettünk.	Tiện nhân chỉ huy một nhóm; Eurylochos chỉ huy một nhóm.
míg lelkünket a fáradtság meg a fájdalom ette. Ám hogy a harmadikat meghozta a széphaju Hajnal,	Lởn vởn xung quanh là chó sói và sư tử yêu phụ sử dụng thần dược chài cho mê mẩn.
hátha lelek szántót, vagy hallhatok emberi hangot. Így hát szétnéztem, felkúszva a sziklatetőre,	Cung cách tương tự, móng vuốt gồ ghề, đuôi cong phe phẩy, chúng bu quanh tay chèo tiện nhân.
minden társamnak, s úgy küldök felderitőket.	Giọng du dương, dìu dặt ngân vang.
Már közelében jártam egészen a görbe hajónak,	Chẳng rõ nữ thần hay giai nhân.
s elhagyatottságomban megszánt ekkor egy isten:	Ngô bối thử gọi xem sao.’"
inni akart: mert rég tikkadt már nap sugarától;	Ngây thơ quá đỗi tất cả bước theo.
én, amikor föltűnt, a gerincén, hát közepében	Chỉ có Eurylochos nghi ngờ mắc bẫy đứng ở ngoài.
míg dárdámra nehezkedtem, mert vinni a vállon	Bị nhốt vào chuồng họ khóc nức nở.
félkézzel nem tudtam: olyan nagy volt az az állat. Gálya elé dobtam; s bíztattam a társakat aztán,	Yêu phụ vất cho dẻ, sồi, thù du, món ăn hằng ngày heo lăn lộn trên đất thường dùng."
addig együnk bátran, ne gyötörjön holtra az éhség."	Nước mắt đọng trong con ngươi, đương sự cứ nức nở.
mind lepihentünk sorban a tenger torlata mellett.	Ngây thơ quá đỗi, tất cả bước theo.
Majd hogy a rózsásujjú Hajnal kélt ki a ködből,	Nhưng nghi bị mắc bẫy tiểu đệ ở ngoài.
gyűlést rendeztem s így szóltam mindegyikükhöz:	Bây giờ cả nhóm biến mất.
