1	CHƯƠNG 1
Denise látott egy negyvenöt centime-os skótkockás kendőt, egyfrankos amerikai nerc-szalagokat és öt sou-s ujjatlan kesztyűket.	Denise thấy một mảng ta-tăng giá bốn mươi nhăm xăng-tim, những băng da điêu châu Mỹ, giá một phrăng, và những bao tay giá năm xu.
Óriási vásári kirakodás volt ez; a dugig tömött üzlet valósággal ontotta fölöslegét az utcára.	Cả một cảnh bày hàng chợ phiên ngồn ngộn, cửa hiệu dường như vỡ tung và ném hàng thừa ứ ra ngoài phố.
Baudu bácsiról megfeledkeztek.	Họ quên mất ông chú Baudu.
Egy kocsi mindhármukat arra kényszerítette, hogy elmozdul­janak a tér közepéről; gépiesen befordultak az Új Szent Ágoston utcába, a tükörablakok mellett haladtak tovább, és minduntalan megálltak minden kirakat előtt.	Một chiếc xe bắt cả ba chị em rời nơi giữa quảng trường; và bất giác họ đi vào phố Neuve-Saint-Augustin, họ theo dọc các tủ kính, cứ đến trước mỗi nơi bày hàng lại dừng lại.
Mindjárt az elején lenyűgözte őket egy kirakat bonyolult elrendezése: fenn a ferdén egymásnak döntött esernyők mintha valami parasztkunyhó tetejét alkották volna; odalenn függönyrúdra akasztott selyem­harisnyák mutogatták a lábikrák gömbölyödő vonalait, egyik-másik rózsabokrétákkal meg­tűzdelve, a többi számtalan árnyalatban: fekete azsúros harisnyák, hímzett szegélyű pirosak, hússzínűek, melyeknek selymes szemecskéi oly lágyak voltak, mint egy szőke nő bőre; végül a kirakat állványának vásznán kesztyűk voltak szimmetrikusan elszórva, kinyújtott ujjakkal, bizánci madonnákra emlékeztető szűk tenyérrel, a még nem viselt asszonyi rongyok merev és kamaszos bájával.	Thoạt đầu họ bị quyến rũ, bởi cách bày rắc rối: bên trên, những chiếc ô, đặt chéo, làm thành như một mái lều thôn dã; bên dưới là tất lụa, treo ở những ngáng sắt, phô ra những đường uốn tròn của bắp chân, chiếc này thì lốm đốm những cụm hồng, chiếc kia đủ màu sắc, những chiếc màu đen có giua, những chiếc màu đỏ thêu ở góc, những chiếc màu hồng cát mịn dịu như da người tóc hung vàng, sau hết, trên vải phủ giá bày hàng là những chiếc găng, bày cân xứng với những ngón tay thon dài, lòng bàn tay hẹp của gái đồng trinh xứ Byzance cái vẻ đẹp cứng đơ và tưởng như thanh xuân ấy của những xống áo phụ nữ không ai mặc.
- Ó, ez az öt frank hatvanas nyersselyem!	Cái lụa faille kia giá năm phrăng sáu mươi!
Jean unatkozni kezdett.	Jean bắt đầu thấy chán.
Megállított egy járókelőt.	Chú hãm một người qua đường lại.
- Merre van, kérem a Michodière utca?	— Hỏi thăm ông phố La Michodière.
Mikor megmutatták neki - az első utca volt jobbra -, mind a hárman visszafordultak, megkerülve az áruházat.	Khi người ta chỉ cho hắn ngôi nhà đầu phía tay phải thì cả ba quay trở lại, vòng quanh ngôi hàng.
De amint Denise betért az utcába, újra megállította egy kirakat, ahol női konfekcióárut lehetett látni.	Nhưng vừa bước chân vào phố, Denise lại bị lôi cuốn vì một tủ kính bày hàng may sẵn cho phụ nữ.
A háttérben nagy bruges-i csipkeszegély (az ára igen tekintélyes volt) szélesített ki egy kibontott szárnyú, vörös-fehér oltárterítőt; alençoni csipkefodrok voltak odavetve füzérben, melléje teli marokkal szórták a szebbnél szebb csipkéket, a malines-i, brüsszeli rátéteket, a velencei csipkéket, fehéren, mint a frissen hullott hó.	Phía trong cùng, một chiếc khăn choàng lớn bằng đăng-ten Bruges, giá rất đắt, trải qua như nằm che bàn thờ, dang hai cánh màu phơn phớt đỏ hoe; những viền đăng-ten dệt kim bày thành tràng hoa; rồi đến cả một suối đăng-ten đầy tràn đủ loại, hàng Malines, hàng Valenciennes, hàng ghép Bruxelles, hàng dệt kim Venise, như tuyết rơi.
Jobbra és balra sötét oszlopokat alkottak a posztóvégek, melyek még mélyebbnek tüntették föl e messzeségbe vesző szentélyt.	Bên trái bên phải, những tấm dạ tối sẫm dựng thành cột đẩy lùi thêm chiều sâu của khám thờ.
Ki lehetett itt elégíteni minden szeszélyt, a huszonkilenc frankos báli galléroktól kezdve a bársonyköpenyig, melyre ezer­nyolcszáz frank volt ráírva.	Có hàng cho đủ mọi sở thích, từ những đồ khiêu vũ hai mươi chín phrăng cho đến áo măng-tô nhung đề giá một nghìn tám trăm phrăng.
Most egyszerre ő állt meg mozdulatlanul, tátott szájjal.	Lập tức hắn lại đứng ngây ra, miệng há hốc.
Elpirult gyönyörűségében a felcico­mázott nők láttán.	Cả cái mỏ đồ xa hoa của phụ nữ kia làm hắn đỏ mặt vì hứng thú.
Lányos szépség volt, mintha csak nővérétől lopta volna el a szépségét, ragyogó bőr, vöröses göndör haj, gyöngédségtől nedves ajkak és szemek.	Hắn xinh như con gái, vẻ đẹp mà dường như hắn đánh cắp của chị hắn, da trắng nõn, tóc đỏ hoe và loăn xoăn, đôi môi và cặp mắt đượm âu yếm.
Amint csodálkozva állt ott, a hosszú arcú, nagy szájú, világos hajú, máris kissé fakó arcú Denise még véko­nyabbnak látszott mellette.	Đứng bên hắn, trông bộ ngỡ ngàng, Denise có vẻ mảnh người hơn với khuôn mặt dài và miệng quá rộng, nước da mai mái, dưới làn tóc nhạt.
Pépé, aki szintén szőke volt, gyermekien szőke, még jobban odabújt a nénjéhez, mintha valami nyugtalan szükségét érezte volna a dédelgetésnek, annyira megzavarták és elbűvölték a kirakatbeli szép dámák.	Và Pépé, cũng tóc hung, màu hung của tuổi thơ, chú càng siết chặt lấy chị, như chợt thấy cần được vỗ về vì lo lắng, bối rối và choáng váng trước những mỹ nhân trong tủ kính.
Oly különös és oly bájos volt ez a szegényes gyászruhába öltözött három szőkeség, ott a gyalogjárón: ez a szomorú leány a csinos gyerek és a jól megtermett kamasz között, hogy a járókelők mosolyogva fordultak meg utánuk.	Ba chị em trông thật ngộ nghĩnh và thật đáng yêu trên đường phố, tóc màu hung, bận đồ đen tiều tụy, cô gái rầu rĩ giữa chú bé xinh xẻo và chàng trai vênh vênh, khiến người qua đường quay nhìn và mỉm cười.
Véres szemmel, összeszorított szájjal állt ott, haragosan nézte a "Hölgyek Öröme" kirakatait, s hogy megpillantotta a lányt és fivéreit, végképp kijött a sodrából.	Ông ta đang đứng đó, mắt đỏ lên, miệng mím chặt, giận bừng bừng vì những hàng bày của hiệu Hạnh phúc các bà, chợt ông trông thấy cô gái và hai em khiến ông càng phẫn nộ.
- Hát a bácsi?	— Thế còn chú?
- kérdezte hirtelen Denise, mintha álmából riadt volna fel.	– Denise chợt như thức tỉnh, thốt lên nhắc.
Fölemelték a fejüket és visszafordultak.	Họ ngẩng đầu lên và quay lại.
Éppen a szemük előtt, a kövér ember fölött láttak egy zöld cégtáblát, melynek sárga betűi kifakultak az esőben: Tartós Posztó, Szövetek és Flanellek, Baudu, Hauchecorne Utóda.	Thì ở ngay trước mặt họ, bên trên người to lớn kia, họ trông thấy một tấm biển hiệu màu xanh ve với chữ vàng lợt màu vì mưa: Vieil Elbeuf, dạ và flanelle, Baudu, kế nghiệp Hauchecorne.
A cégtáblával azonos színű palackzöld fakeret, melyet az idő okker- és bitumenárnyalatúra fakított, jobb- és baloldalt két mély, fekete, poros kirakatot körített, ahol alig lehetett megkülönböztetni az egymásra halmozott szövetvégeket.	Một khung gỗ, cùng màu với biển hàng, màu xanh chai mà thời gian đã điểm sắc thổ hoàng và nhựa đường, đóng khung hai bên hai tủ kính ăn sâu, tối tăm, bụi bặm trong đó lờ mờ những tấm vải chất đống.
A nyitott ajtó mintha csak egy pince nedves sötétségébe nyílt volna.	Cửa ra vào để mở dường như dẫn vào bóng tối ẩm ướt của một căn hầm.
- Ez az - szólalt meg újra Jean.	— Đây rồi, – Jean lại nói.
- Hát akkor menjünk be - mondta Denise.	— Thế thì vào thôi, – Denise bảo.
De mind a hárman megzavarodtak, félénkség fogta el őket.	Tuy nhiên cả ba đâm ra nhút nhát bối rối.
Az nem ismerte őket, mert a lábát sem tette be a városba, amióta egészen fiatalon eltávozott onnét, hogy mint segéd belépjen Hauchecorne posztókereskedőhöz, akinek végül elvette a leányát.	Ông ta không biết mặt chúng vì ông chưa bao giờ đặt chân lại tỉnh nhà, kể từ khi ông ra đi lúc còn trẻ măng, để vào làm cậu thư ký nhỏ ở cửa hàng bán da của ông Hauchecorne mà cuối cùng anh ta kết hôn với con gái ông này.
Denise erősen elpirult, és azt hebegte:	Thế là Denise mặt đỏ như gấc, ấp úng nói:
- Ó, de jó... Én vagyok Denise, ez itt Jean, ez meg Pépé... Látja, eljöttünk, bácsi.	— Thế thì may quá!… Cháu là Denise, và đây là Jean, còn đây là Pépé… Thưa chú, chúng cháu đến đây ạ…
Nagy, vörös szemei nyugtalanul jártak sárga ábrázatában, lassú szavai összezavarodtak.	Đôi mắt to và đỏ đưa đi đưa lại trên bộ mặt vàng, tiếng nói chậm rãi, lúng túng.
Nyilván ezer mérföldnyire járt ettől a családtól, mely most egy­szerre a nyakába szakadt.	Rõ ràng ông ta hoàn toàn không ngờ tới cái chuyện gia đình này đến để rơi lên vai ông.
- De hiszen Valognes-ban voltak!...	– ông nhắc đi nhắc lại.
Denise szelíd, kissé reszkető hangján magyarázkodni kezdett.	Cô gái, giọng dịu dàng, hơi run, phải nói rõ.
Apjuk halála után, aki utolsó fillérét is ráköltötte kelmefestő üzemére, ő maradt a két gyermek anyja.	Sau khi bố chết, mà ông ta thì đã ngốn đến đồng xu cuối cùng ở cửa hàng nhuộm của ông, cô phải làm mẹ hai đứa trẻ.
Amit Cornaille-nál keresett, nem volt elég, hogy mind a hármukat eltartsa.	Lương cô lĩnh được ở nhà Cornaille chẳng đủ nuôi ba miệng ăn.
Jean dolgozott ugyan egy műaszta­losnál, aki régi bútorokat állított helyre, de egy fillért sem kapott tőle.	Tuy Jean cũng làm việc ở một cửa hàng sửa chữa đồ gỗ cũ nhưng hắn chẳng được lĩnh một xu nào.
Hanem azért meg­szerette az ócskaságokat, alakokat faragott ki fából; sőt egyszer, mikor egy darabka elefánt­csontra akadt, mulatságból csinált egy fejet, amit egy arra járó úr meglátott; és ez az úr vette rá őket, hogy hagyják ott Valognes-t, mert helyet talált Párizsban Jeannak egy elefánt­csont­művésznél.	Thế nhưng, hắn đâm ham thích đồ cũ, hắn khắc hình trên gỗ; thậm chí một hôm, tìm được một mẩu ngà, hắn vui tay gọt một đầu người mà có một ông đi qua nhìn thấy; ấy thế là chính ông ấy đã khiến họ quyết định rời Valognes để lên Paris tìm cho Jean một chỗ làm ở một cửa hàng đồ ngà.
- Tudja, bácsikám, Jean már holnap beáll inasnak az új gazdájához.	— Thưa chú, chú thấy đấy, ngay ngày mai Jean sẽ vào học việc ở nhà ông chủ mới.
Nem fizetek érte, lakást és ellátást kap... Hát azt gondoltam, hogy Pépé meg én, mi csak elleszünk valahogy.	Người ta không đòi tiền, mà em cháu thì được ăn và ở… Thế là, cháu nghĩ rằng Pépé và cháu, chúng cháu thế nào cũng xoay được.
Itt se lehetünk szerencsétlenebbek, mint Valognes-ban.	Chúng cháu không thể khổ hơn ở Valognes.
Elhallgatta azonban, hogy Jeannak gáláns kalandja volt - egy városukbeli nemes leánykához intézett levelek, falon át váltott csókok -, s hogy a kipattant botrány késztette elutazásra; főképpen azért kísérte Párizsba öccsét, hogy őrködjék fölötte, mert anyjaként aggódott e szép és vidám, nagy gyermekért, akit minden asszony imádott.	Cái điều mà cô không nói, đó là chuyện trai gái của Jean, nào viết thư cho một cô thiếu nữ quý tộc ở thành phố, nào leo lên tường để hôn nhau, cả một chuyện tai tiếng khiến cô phải quyết định ra đi; nhất là cô đi theo em trai để trông nom hắn, cô đâm hoảng như người mẹ trước đứa con trai lớn xinh xẻo, tươi vui đến mức các cô gái mê tít.
De amint meg­hallotta, hogyan beszél Denise a testvéreiről, tegezni kezdte.	Tuy nhiên, sau khi nghe cô gái nói về các em như thế thì ông xưng hô thân mật.
Én azt hittem, volt még valamije.	Tao thì cứ ngỡ ông vẫn còn ít tiền.
Jószívű ember volt, de nem volt két garas ára esze... Neked meg nyakadon maradtak ezek a legények, s el kell tartanod őket.	Con người tốt bụng, nhưng không có lấy vài xu đầu óc!… Còn cháu thì mang hai đứa nhãi kia trên tay, cháu phải nuôi lũ nhỏ này!
Epés arca földerült, szeme már nem volt olyan véres, mint amikor a "Hölgyek Örömé"-t nézegette.	Bộ mặt sa sầm của ông sáng ra, mắt ông không còn đỏ lên như khi nhìn hiệu Hạnh phúc các bà.
Hirtelen észrevette, hogy elállja az ajtót.	Bỗng ông nhận ra là mình đứng chắn cửa.
- No - mondta -, gyertek hát be, ha már eljöttetek... Gyertek be, az jobb lesz, mintha szájatokat tátjátok mindenféle ostobaságok előtt.	— Thôi, – ông nói, – đã đến thì mời vào… Vào nhà, còn hơn là lảm nhảm những chuyện không đâu.
És még egy haragos grimaszt vágva a szemközt levő kirakatokra, utat engedett a gyerme­keknek; elsőnek ment be a boltba, szólítva a feleségét meg a leányát:	Và, sau khi bĩu môi giận dữ lần cuối cùng chĩa về phía cửa hiệu trước mặt, ông mở lối cho lũ cháu vừa đi trước vào cửa hàng vừa gọi vợ và con gái.
- Elisabeth, Geneviève, gyertek, vendégetek érkezett.	— Élisabeth, Geneviève đâu, ra đây có khách cho các bà đây.
Hanem Denise meg a két fiú habozva lépett be a bolt sötétségébe.	Nhưng Denise và hai đứa nhỏ ngập ngừng trước bóng tối trong cửa hàng.
A napfényes utca el­vakította őket, meregették a szemüket, mint egy ismeretlen barlang küszöbén, tapogatták lábukkal a földet, ösztönszerűen félve valami alattomos lépcsőtől.	Đang bị chói lòa vì ánh trời ngoài phố, họ chớp mắt như ở cửa một cái hang lạ, chân dò dẫm, bất giác sợ bước phải bậc thang hiểm độc nào.
A reggeli napfény erősen kiemelte gyászruhájuk fekete körvonalát, a ferdén eső sugarak megaranyozták szőke hajukat.	Ánh sáng ban mai nổi bật lên hình dáng họ trong những bộ đồ tang, một tia sáng xiên chéo làm rực vàng những làn tóc hung của họ.
- Gyertek, gyertek - ismételte Baudu.	— Mời vào, mời vào, – Baudu nhắc lại.
Néhány rövid mondattal tájékoztatta feleségét és lányát.	Ông nói vài câu vắn tắt cho bà Baudu và con gái biết chuyện.
De pompás fekete haja, melynek sűrű nehéz fonatát mintha valami csoda sarjasztotta volna ki ebből a csenevész testből, szomorú bájjal ruházta fel.	Thế mà, làn tóc đen tuyệt đẹp, dày và nặng, mọc như chuyện thần kỳ trên tấm thân tiêu điều đó khiến cô có một vẻ đẹp rầu rĩ.
Leültették Denise-t egy pult mögött.	Và họ mời Denise ngồi sau một quầy hàng.
Megnyugodva nézegették a boltot, szemük hozzá­szokott a sötétséghez.	Họ đã bình tĩnh, nhìn cửa hàng, mắt đã quen với bóng tối.
A sötét árukötegek egészen a gerendákig tornyozódtak.	Những kiện hàng tối om cao đến tận rầm nhà.
A szövet és a festék szagát, ezt a kesernyés vegyszerszagot mintha megtízszerezte volna a padló nedvessége.	Mùi dạ và thuốc nhuộm, một mùi hắc của hóa chất, dường như hăng lên gấp bội vì sàn nhà ẩm thấp.
Hátul két segéd meg egy kisasszony rendezgette a fehér flanellvégeket.	Trong cùng, hai viên thư ký và một cô gái đang xếp những tấm flanelle trắng.
- Ez a kis fiatalember talán ennék valamit?	— Chú nhỏ kia có lẽ ưng dùng cái gì đây?
- kérdezte Bauduné Pépére mosolyogva.	— Thôi ạ, cám ơn thím, – Denise đáp.
És mert Geneviève ránézett arra a kis csomagra, amit lerakott a földre, hozzátette:	Và thấy Geneviève nhìn cái gói nhẹ cô để dưới đất, Denise nói thêm.
Már a vasúti kocsiban, mielőtt a vonat elhagyta Valognes-t, megbánta az egészet.	Ngay trên toa xe, khi tàu rời Valognes, cô đã cảm thấy hết sức hối hận.
Ezért is hagyta megérkezésekor a pályaudvaron a málhát, és reggeliztette meg a gyerekeket.	Chính vì thế, khi đến ga, cô đã để lại mấy chiếc hòm và cho các em ăn sáng.
- No hát - mondta egyszerre Baudu -, beszéljünk röviden és velősen... Igaz, hogy írtam neked, de annak már egy éve, és látod, szegénykém, az utolsó évben nem ment valami jól az üzlet...	— Nào, – Baudu đột nhiên nói, – ta hãy nói chuyện cho gọn và nói cho hết… Chú đã viết thư cho cháu, thật đấy, nhưng đã từ một năm nay; thế mà, cháu gái tội nghiệp, cháu xem hàng họ chẳng chạy từ một năm nay.
Felesége és leánya megadó arccal sütötte le a szemét.	Bà Baudu và Geneviève vẻ nhẫn nhục, đã đưa mắt xuống.
Egyszóval nem tudlak felfogadni, mint ahogy felajánlottam, édes leányom.	Rút cục, chú không thể nhận cháu như chú đã hứa với cháu, cháu gái tội nghiệp.
Denise elfogódva, sápadtan hallgatta.	Denise lắng nghe ông, bàng hoàng, tái mặt.
- Jól van, bácsikám - mondta végül nagy nehezen Denise -, majd megpróbálom, hátha tudnék mégis boldogulni.	— Thôi được, chú ạ, – cuối cùng cô buồn rầu nói – Cháu sẽ cố gắng xoay xở cũng phải xong thôi.
De mindig panaszkodtak, hogy nincs szerencséjük.	Nhưng họ than vãn chẳng bao giờ gặp vận may.
Mikor jól ment az üzletük, öt fiút kellett nevelniök, s ezek közül három húszesztendős korá­ban halt meg; a negyedik rossz útra tért, s az ötödik nemrég ment el Mexikóba, mint kapitány.	Thời buôn bán còn chạy thì họ phải nuôi năm con trai, mà ba đứa thì chết lúc hai mươi tuổi, đứa thứ tư đâm hư, đứa thứ năm thì vừa đi México với chức đại úy.
Csak Geneviève maradt velük.	Họ chỉ còn một mình Geneviève.
A család igen sokba került, és Baudu végképpen tönkretette magát, mikor Rambouillet-ban, az apósa szűkebb hazájában egy bolond nagy házat vásárolt.	Gia đình ấy ăn tiêu tốn kém, cuối cùng Baudu mua được ở Rambouillet, nơi quê bố vợ, một ngôi nhà như cái quán lớn.
- Előre szokás értesíteni az embert - kezdte újra, durvaságán élesztgetve haragját.	— Phải báo trước, – ông ta lại nói, mỗi lúc thêm giận về cái tính khắc nghiệt của mình.
- Írhattál volna nekem, s akkor azt feleltem volna, hogy maradj ott... Mikor apád haláláról értesültem - az ördögbe is!	– Đáng lẽ cháu phải viết thư cho chú, chú sẽ trả lời bảo cháu ở lại đó… Khi chú được tin bố cháu mất, khốn khổ!
-, azt írtam neked, amit ilyenkor írni szokás.	Chú nói với cháu cái điều mọi người thường nói.
De te csak beállítasz, azt se mondod, eb vagy kutya!...	Thế mà cháu thì đùng một cái là đến, chẳng báo trước.
Hangosan beszélt, kiadta a mérgét.	Ông ta lớn tiếng, ông ta khuây đi.
Felesége és lánya egyre csak a földet nézték, mint engedelmes teremtések, akik soha semmibe se mertek beleavatkozni.	Vợ và con gái ông ngồi nhìn xuống đất, như những kẻ phục tùng không bao giờ dám xen vào.
Eközben Jean sápadtan állott, Denise pedig kebléhez szorította a halálra rémült Pépét.	Trong khi đó Jean tái mặt đi mà Denise thì siết chặt vào ngực bé Pépé khiếp sợ.
Két kövér könnycsepp hullott a szeméből.	Cô để rơi hai giọt nước mắt to tướng.
- Jól van, bácsikám - ismételte -, mindjárt elmegyünk.	— Thôi được, chú ạ – Cô nhắc lại – Chúng cháu sẽ đi thôi.
Baudu egyszerre elhallgatott.	Thế là ông nén lòng.
Aztán zsémbes hangon folytatta:	— Chú chẳng đuổi các cháu đi!
- Én nem doblak ki... Ha már bejöttetek, hát aludjatok odafönn ma éjjel.	Bây giờ các cháu đã đến rồi, thì tối nay các cháu cứ ngủ trên gác.
Bauduné és Geneviève ekkor megértették egy pillantásból, hogy elrendezhetik a dolgot.	Bấy giờ thì bà Baudu và Geneviève, qua một cái đưa mắt, hiểu rằng họ có thể thu xếp ổn thỏa.
Megállapodtak mindenben.	Mọi sự sẽ đâu vào đó.
Ami Pépét illeti, ő nagyszerűen ellesz Grasnénál, annál az öreg hölgynél, aki egy nagy földszinti lakásban lakik a Csalán utcában, s havi negyven frankért kisgyerekeket vesz magához teljes ellátásra.	Còn Pépé thì đến ở nhà bà Gras là tuyệt, bà già đó ở một tầng nhà sát đất rộng, phố Orties, bà cho các trẻ nhỏ trọ, tiền trọ cả suất là bốn mươi phrăng một tháng.
Denise kijelentette, hogy van miből kifizesse az első hónapot.	Denise nói có đủ tiền trả tháng đầu.
Most már csak az ő elhelyezése van hátra.	Như vậy chỉ còn tìm nơi làm cho bản thân cô.
Majd csak akad neki is valamilyen állás a környéken.	Chắc có thể kiếm được cho cô một chỗ trong khu phố.
- Nem keresett Vinçard elárusító kisasszonyt?	— Có phải Vinçard đang tìm một cô bán hàng không nhỉ?
- Ebéd után elmegyünk hozzá.	– Ăn sáng xong ta đi tới hắn.
Sötét és üres maradt a bolt.	Cửa hàng vẫn tối om và vắng tanh.
Hátul a két segéd meg a kisasszony tovább foglalatoskodott, suttogó, sziszegő szavakat váltva.	Phía trong cùng, hai viên thư ký và cô gái vừa tiếp tục công việc vừa nói khẽ xì xào.
De mégis megjelent a három hölgy, és Denise egy pillanatra egyedül maradt.	Bây giờ có ba bà khách vào, Denise ngồi một mình một lúc.
Megcsókolta Pépét nyomta a szívét közeli válásuk gondolata.	Cô hôn Pépé, buồn rầu nghĩ đến lúc sắp phải xa nhau.
A gyerek simulékony volt, mint egy kismacska, odadugta a fejét, és nem szólt egy szót sem.	Chú bé, ưng vuốt ve như mèo con, chúi đầu vào, không nói một lời.
Mikor Bauduné és Geneviève visszajöttek, úgy találták, hogy nagyon jó viseletű gyerek, és Denise kijelentette, hogy máskor sem zajosabb: napokig elmarad szótlanul, elég neki a simogatás.	Khi bà Baudu và Geneviève trở lại thì thấy chú rất ngoan và Denise cam đoan rằng không bao giờ chú làm ồn hơn: cả ngày chú im lặng, sống bằng vuốt ve.
