HENRYK SIENKIEWICZ	Henryk Sienkiewicz
Ezt csak a pólyás babáknak mondják.	Nói như với bọn trẻ con mới đẻ ấy.
De látva a kislány borús arcocskáját, elhallgatott, majd így szólt:	Song chợt nhìn thấy vẻ mặt xịu đi của cô bé, Xtas liền nín bặt, sau đó nói tiếp:
- No, nem akartalak bántani, Nel, leszel még te is tizennégy éves.	- Nen, em biết đấy, anh đâu muốn nặng lời với em.
Ezt biztosra ígérem.	Anh cam đoan với em như thế.
- Az ám!	- Thế cơ!
- szólt a kislány aggodalmaskodó tekintettel - de addig Mahdi betör Port Saidba, és megesz!	Nhưng nếu như trước đó Mahơđi tiến được vào Port Xaiđơ và ăn thịt em mất thì sao nào?
Port Saidba sem tör be, de ha betörne is, és téged meg akarna ölni, előbb velem gyűlne meg a baja.	Hắn cũng chẳng tiến nổi tới Port Xaiđơ, mà nếu như hắn có tiến vào được và muốn giết em, thì trước hết hắn phải đấu với anh đã.
Ez a kijelentés, valamint az a Mahdi számára baljós süvöltés, ahogyan Staś a levegőt orrába szívta, teljesen megnyugtatta Nelt saját biztonsága felől.	Lời tuyên bố đó cùng với tiếng không khí được hít mạnh vào mũi Xtas không hứa hẹn một điều gì tốt lành cho Mahơđi, đã khiến Nen yên tâm về sự an toàn của bản thân mình.
- Tudom - ismerte el -, te nem hagynád, hogy bántsanak.	- Em biết, - cô bé nói, - anh chẳng chịu nộp em đâu, phải không?
De miért nem engedik el Fatmét Port Saidból?	Thế nhưng tại sao người ta lại không cho bà Phátma rời khỏi Port Xaiđơ?
- Akkor hát Smain jó?	- Cái ông Xmainơ ấy là người tốt hả anh?
- Várj csak!	- Khoan đã nào.
A foglyok pedig nemcsak hogy nem jöttek haza, hanem jelentés érkezett Kartúmból, hogy a mahdisták egyre kegyetlenebbül bánnak velük, Smain pedig a rengeteg pénzt zsebre vágta, a kormányt jól becsapta, és teljesen Mahdihoz pártolt, aki kinevezte emírré.	Ba em và ba anh, những người hiểu rõ Xmainơ, hoàn toàn không tin hắn ta chút nào, và đã khuyên pasa Nubarơ chớ có tin y. Nhưng chính phủ vẫn đồng ý cử Xmainơ đi, và thế là đã nửa năm nay Xmainơ ở tịt chỗ Mahơđi.
Azt mondják, hogy abban a véres csatában, melyben Hicks tábornok is elesett, Smain volt Mahdi tüzérségének vezére, s ő tanította meg a mahdistákat az ágyúval bánni, mert azelőtt nem értettek hozzá.	Tù binh không những không được thả về mà lại có tin từ Khactum cho biết rằng, bọn Mahơđi đối xử với họ ngày một tàn tệ hơn, còn lão Xmainơ thì sau khi cuỗm tiền của chính phủ đã phản bội.
Most pedig Smain azon töri a fejét, hogy feleségét és gyermekeit kiszabadítsa Egyiptomból.	Hắn hoàn toàn ngả hẳn về phía Mahơđi và đã được phong tước emia2.
Amikor Fatme, aki nyilván előre tudta, mire készült Smain, gyermekeivel együtt meg akart szökni Port Saidból, a kormány elfogatta.	Bây giờ, lão Xmainơ đang muốn đưa vợ con thoát khỏi Ai Cập, cho nên khi mụ Phátma, con người ngay từ đầu hẳn đã biết mọi chuyện mà Xmainơ làm, muốn bí mật chuồn khỏi Port Xaiđơ, thì chính phủ liền bắt giữ mụ ta cùng các con mụ lạ i.
- No és mi haszna a kormánynak Fatméből és a gyerekeiből?	- Nhưng chính phủ sẽ được gì ở bà Phátma và lũ con của ba ta hở anh?
A madarak elég alacsonyan húztak, a tiszta levegőben világosan fel lehetett ismerni néhány pelikánt, amint hátukra hajtott nyakkal, lassan lengetik óriási szárnyukat.	Chúng bay khá thấp, trong bầu không khí trong vắt trông rõ mấy con bồ nông với chiếc cổ cong gập lại sát lưng đang khoan thai vỗ những đôi cánh khổng lồ.
Staś mindjárt utánozni kezdte röptüket, hátraszegte fejét, s szökdécselve futott a gáton néhány lépést, miközben széttárt karjait lengette.	Xtas dõi theo đường bay của chúng, em ngẩng đầu lên, chạy mươi bước dọc theo bờ kênh, vừa chạy vừa vung vẩy đôi tay.
- Nézd, flamingók is repülnek!	- Nhìn kìa anh, có cả chim hồng hạc đang bay nữa kìa!
- kiáltotta Nel.	- Nen bỗng kêu lên.
Staś nyomban megállt, mert a pelikáncsapat mögött, valamivel magasabban, csakugyan mintha két óriási, bíborban játszó, rózsaszínű virág függött volna a kék égbolton.	Xtas đứng sững ngay lại, vì quả thực phía sau đàn bồ nông, nhưng cao hơn chúng một tí, có thể trông thấy hai đoá hoa lớn màu hồng và màu đỏ thắm dường như đang treo lơ lửng trên nền trời xanh thẳm.
- Flamingók!	- Hồng hạc!
Flamingók!	Chim hồng hạc!
- Ezek estére visszatérnek a szigetekre, a fészkükbe. Hej, ha puskám volna!	- Chiều chiều chúng nó thường bay về tổ của chúng trên vùng đảo đấy, - cậu bé thốt lên.
- Miért lőnéd le őket?	- Ôi, giá mà anh có khẩu súng nhỉ.
- A nők nem értenek ehhez.	- Anh bắn chúng nó làm gì cơ?
De menjünk tovább, talán többet is látunk.	- Phụ nữ không thể hiểu được những chuyện ấy đâu.
Azzal kézen fogta a kisleányt, s elindultak a gáton a Port Said mögötti első csatornaállomás felé.	Nhưng thôi, chúng mình đi tiếp đi, có thể sẽ trông thấy chúng nhiều hơn nữa chăng.
A Manzalai-tó vizét a csatornától elválasztó töltésen haladtak.	Theo sau lưng chúng là bà Đina, một phụ nữ da đen, ngày trước từng là nhũ mẫu của cô bé Nen.
A csatornán éppen akkor siklott tova egy hatalmas angol gőzhajó, melyet a révkalauz kormányzott.	Họ đi dọc bờ đập ngăn nước hồ Mendalê với kênh đào, trong kênh lúc ấy đang có một chiếc tầu thuỷ lớn chạy bằng hơi nước của Anh được hoa tiêu dẫn đi.
Estére járt az idő.	Chiều xuống.
Az arab parton, ameddig a szem ellátott, vészjósló, fakósárga, kihalt homoksivatag terült el.	Bên bờ phía Ả Rập, trải dài đến hút tầm mắt là sa mạc trơ trụi, câm lặng, chết chóc, đầy vẻ hằn thù.
Az élettelen, szinte üvegszerű égbolt és a végtelen, fodros homoktenger között nyoma sem volt élőlénynek.	Giữa bầu trời thuỷ tinh dường như chết cứng và cái mênh mông vô bờ bến của mặt cát gợn sóng không hề có một dấu hiệu gì của sự sống.
Míg a csatornán pezsgett az élet, nyüzsögtek a csónakok, gőzhajók szirénái hasogatták a levegőt, a Manzalai-tó felett pedig sirály- és vadkacsacsapatok villóztak a napfényben - addig az arab part mintha a halál birodalma lett volna.	Trong lúc trên mặt kênh đào cuộc sống đang sôi sục, thuyền bè tấp nập, vang rộn tiếng còi tầu, và trên hồ Mendalê hàng đàn hải âu và vịt trời đang nhộn nhịp đảo chao trong ánh mặt trời, thì phía bên kia, phía bờ Ả Rập lại giống hệt như xứ sở của cái chết.
Csak mikor a nap hanyatlani kezdett s egyre vörösebbé vált, öltött lilás színt a sivatag homokja, mint amilyenben a lengyel erdőkben ősszel az avar pompázik.	Chỉ khi mặt trời xuống thấp dần và ngày càng ngả sang màu đỏ thì mặt cát mới dần dần nhuốm màu tim tím, màu tím của những mầm cây non trong các khu rừng Ba Lan về mùa thu.
A kikötő felé lépegetve láttak még néhány flamingót, s boldogan gyönyörködtek bennük, de ekkor Dinah kijelentette, hogy Nelnek haza kell mennie.	Trong khi đi về phía bến tầu, bọn trẻ còn trông thấy vài con chim hồng hạc nữa mà chúng vui sướng ngắm không chán mắt.
Csakhamar meg­érke­zett Staś édesapja, Tarkowski mérnök is, akit szintén meghívtak estebédre.	Khi mặt trời lặn xuống biển, họ đã về tới nhà.
Mikor tehát mind­nyájan együtt voltak, Nel francia tanítónőjével, Olivier kisasszonnyal együtt asztalhoz ültek.	Một lát sau, kĩ sư Tarcôpxki, cha của Xtas, được mời đến dự bữa cơm, cũng tới, và thế là cả nhà, cùng với cô Oliviơ, cô gia sư người Pháp của Nen, ngồi vào bàn ăn.
Rawlison, a Szuezi Társaság egyik igazgatója és Władyslaw Tarkowski, a Társaság főmér­nöke, már hosszú évek óta a legszorosabb barátságban éltek.	Đã từ nhiều năm nay, ông Rôlixơn, một trong các giám đốc của công ti kênh đào Xuê, và ông Vlađixlap Tarcôpxki, kĩ sư trưởng của công ti này, kết thân với nhau.
Mindketten özvegyek voltak, de míg a francia származású Tarkowska asszony akkor halt meg, mikor Staś a világra jött, tehát már több mint tizenhárom éve, addig Nel édesanyja lassú sorvadásban, Heluánban hunyt el, éppen mikor leánykája hároméves volt.	Cả hai đều goá vợ: bà Tarcôpxca, vốn dòng dõi người Pháp, đã mất ngay từ khi Xtas vừa chào đời, nghĩa là hơn mười ba năm về trước, còn mẹ của Nen thì qua đời vì bệnh phổi tại Hêluankhi cô bé mới lên ba.
A két jóbarát egymás tőszomszédságában lakott Port Saidban, s foglalkozásuk is naponta összehozta őket.	Ở Port Xaiđơ, hai ông bố goá vợ sống trong hai ngôi nhà cạnh nhau, và do công việc của mình, ngày nào họ cũ ng gặp nhau.
A közös balsorsban még közelebb kerültek egymáshoz, s még szorosabbra fűződött régi barátságuk.	Nỗi bất hạnh chung khiến họ xích lại gần nhau hơn và làm cho tình bạn vốn có càng thêm bền chặt.
Rawlison úgy megszerette Staśt, mintha édesfia lett volna, Tarkowski pedig tűzbe-vízbe ment volna a kis Nelért.	Ông Rôlixơn yêu Xtas như con đẻ, còn ông Tarcôpxki thì sẵn sàng nhảy vào lửa và lao xuống nước vì cô bé Nen.
Napi munkájuk végeztével, az esti pihenés óráiban az volt legkedvesebb szórakozásuk, hogy a gyerekekről, neveltetésükről és jövőjükről beszélgettek.	Sau khi kết thú c công việc hàng ngày, phút nghỉ ngơi thú vị nhất đối với họ là được trò chuyện về bọn trẻ, về việc giáo dục và về tương lai của chúng.
Az ilyenfajta beszélgetések során Rawlison rendszerint Staś okosságát, ügyességét és erélyességét magasztalta, míg Tarkowski a bájos kis Nel angyali arcocskájáért és jóságáért lelkesedett.	Trong những câu chuyện đó, ông Rôlixơn thường khen ngợi năng khiếu, nghị lực và lò ng can đảm của Xtas, còn ông Tarcôpxki thì lại say sưa với khuôn mặt thiên thần ngọt ngào của Nen.
Egyiknek is, másiknak is igaza volt.	Và cả hai điều ấy đều là sự thật.
Staś kissé elbizakodott volt, szeretett hencegni, ámde kitűnően tanult, s a Port Said-i angol iskola tanárai gyakran dicsérték rendkívüli tehetségét.	Tuy hơi kiêu căng và hơi khoác lác một chút, nhưng Xtas học rất giỏi và các thầy giáo ở trường học dạy tiếng Anh tại Port Xaiđơ, nơi cậu bé học, đều công nhận rằng em có những năng khiếu khác thường.
Mikor a felkelés zászlaja alá állt, már kész mérnök volt, de most még egy esztendőt vízi építészeti tanulmányainak szentelt.	Trước khi tham gia khởi nghĩa, ông đã tốt nghiệp kĩ sư, nhưng sau đó, ông còn dành thêm một năm nữa để nghiên cứu thuỷ lực học.
A Szuezi-csatorna építésénél kapott állást, s néhány év múlva, miután szaktudását s kitartó szorgalmát megismerték, elnyerte a magas főmérnöki tisztet.	Rồi sau đó, ông tìm được việc làm ở kênh đào, và chỉ trong vài năm, khi người ta đã đánh giá được sự am tường công việc, nghị lực cùng tính cần cù của ông, ông được nhậ n cương vị kĩ sư trưởng cao quý ấy.
Később, már iskolás fiú korában, a szünidők alatt gyakran elkísérte apját vagy Rawlison urat távoli kirándulásokra, a csatorna mentén Port Saidtól egészen Szuezig, mert a mérnököknek időnként hivatalból ellenőrizniük kellett a gátépítési és kotrási munkálatokat.	Khi đang đi học, thỉnh thoảng, trong những dịp nghỉ hè hay nghỉ lễ, em lại được cùng với cha hoặc ông Rôlixơn tham gia các chuyến đi công vụ của họ từ Port Xaiđơ đến tận Xuê để kiểm tra công việc trên bờ kênh cùng việc nạo vét lòng kênh.
Ismert is mindenkit, a szakosztály minden tisztviselőjét, mérnökét és munkását, arabokat és négereket egyaránt.	Em quen hết thảy mọi người, từ các kĩ sư và nhân viên thuế quan, đến công nhân, những người Ả Rập và người da đen.
Átkelt az arab partra, s ha megkaphatta bárkinek a lovát vagy a tevéjét vagy akár csak a szamarát, legott felpattant rá, sivatagi harcosnak képzelte magát, s - ahogy Tarkowski mondta - ficánkolt, mint egy vad csikó.	Tóm lại, nói như ông Tarcôpxki, em "chui rúc" khắ p mọi nơi, và hễ rảnh rỗi một chút ngoài giờ học là lại lần ngay ra bờ nước.
Staś valóban magasabb, erősebb volt a korabeli fiúknál, s elég volt a szemébe nézni, hogy az ember meggyőződjék róla, ez a fiú bármilyen baj esetén inkább vakmerőségével követhet el hibát, mintsem félénkségével.	Xtas cao và khoẻ hơn nhiều so với những đứa trẻ cùng tuổi, và chỉ cần nhìn vào cặp mắt cậu bé cũng có thể dễ dàng đoán được rằng, nếu lâm vào một chuyện hiểm nguy nào đó thì chắc hẳn cậu bé sẽ dễ phạm sai lầm do quá hăng hái hơn là vì khiếp sợ.
Tizennégy éves korában Port Saidban a legjobb úszók egyike volt, ami nagy szó, mert az arabok meg a négerek úgy úsznak, mint a hal.	Mới mười bốn tuổi đầu, em đã là một trong những tay bơi lội giỏi nhất ở Port Xaiđơ, điều này không phải là chuyện xoàng,bởi dân Ả Rập và người da đen vốn bơi lội giỏi như cá.
Kicsiny karabélyából mindig golyóval lövöldözött vadkacsákra és egyiptomi ludakra, ily módon a céllövést nagy tökélyre vitte.	Trong khi nhả đạn vào lũ vịt trời và ngỗng trời Ai Cập bằng khẩu súng săn cỡ nhỏ, cậu bé đã rèn luyện cho mình có được cánh tay và con mắt bắn trăm phát trăm trúng.
Vágyainak netovábbja az volt, hogy egykor nagyvadra vadászhasson Közép-Afrikában, mohó figyelemmel hallgatta hát a csatornánál dolgozó szudániak elbeszéléseit, akik hazájukban gyakran találkoztak nagyragadozókkal és vastagbőrűekkel.	Em ước ao một ngày nào đó sẽ được đi săn các loài thú lớn ở Trung Phi, háo hức lắng nghe chuyện những người Xuđan làm thuê ở vùng kênh đào, những người này đã từng gặp thú dữ và bọn thú da dầy khổng lồ tại quê hương họ.
Ennek megvolt az a haszna is, hogy a szudániak nyelvét is megtanulta.	Điều này còn có thêm một cái lợi nữa là vừa nghe chuyện, cậu bé vừa học được ngôn ngữ của họ.
A Szuezi-csatornát nem volt elég kiásni, karban is kell azt tartani, medrét állandóan mélyíteni, mert különben a mindkét partját borító sivatagi homok egy esztendő alatt betemetné.	Kênh đào Xuê không những chỉ đào thông là xong mà còn đòi hỏi phải thường xuyên chăm lo tu sửa, vì nếu không thì chỉ trong vòng một năm thôi, cát từ các sa mạc nằm dọc hai bờ kênh sẽ lấp biến nó đi.
Éppen ezért a mélyítési munkálatokon a mai napig is óriási gépszörnyetegek s a munkások ezrei dolgoznak, gyakorlott mérnökök vezetésével.	Do vậy, cho tới nay, có hàng loạt máy móc khổng lồ cùng hàng nghìn công nhân, dướ i sự giá m sát của các kĩ sư thành thạo công việc, lao động nạo nét lòng kênh.
A csatorna építésén annak idején huszonötezer munkás dolgozott.	Để đào thông con kênh này đã từng phải dùng tới sức của hai mươi lăm nghìn người lao động.
Ma, hogy ez a mű már elkészült, s a gépek is tökéletesebbek, sokkal kevesebb munkásra van szükség, de számuk még mindig elég jelentős.	Giờ đây, khi công trình đã hoàn thành và lại được trang bị những máy móc hoàn thiện hơn, thì cần ít người hơn hẳn so với trước kia, song số lượng nhân công cho đến nay vẫn còn rất lớn.
Történetünk idején főképpen helybeliek dolgoztak itt, de nem kevés volt közöttük a núbiai, szudáni, szomáli és sok másfajta Fehér- és Kék-Nílus menti néger, tehát arról a vidékről valók, melyet Mahdi előtt az egyiptomi kormány foglalt volt el.	Trong đó, đại đa số là cư dân trong vùng, cũng không thiếu mặt dân Nubia, Xuđan, Xômali cùng nhiều dân tộc da đen khác sinh sống ở vùng sông Nin Trắ ng và sông Nin Xanh, nghĩa là trong những vùng thuộc phạm vi cai trị của chính phủ Ai Cập, trước khi nổ ra cuộc khởi loạn của Mahơđi.
Staś mindegyikőjükkel pajtáskodott, s mivel - mint a lengyelek általában - könnyen tanult meg idegen nyelveket, észre sem vette, és több nyelvjárásukat megtanulta.	Xtas sống thân mật với mọi người và cũng giống như những người dân Ba Lan khác, vốn sẵn có năng khiếu ngoại ngữ, em nắm được nhiều thứ thổ ngữ của họ mà chính bản thân em cũng không rõ từ khi nào và tại làm sao nữa.
Mint egyiptomi születésű fiú, arabul úgy beszélt, mint bármelyik arab.	Sinhtrưởng ở Ai Cập, em nói tiếng Ả Rập như một Người Ả Rập chính cống.
A kazánfűtők között sok zanzibári szolgált, ezektől megtanulta a Közép-Afrikában nagyon elterjedt szuahéli nyelvet, sőt meg tudta értetni magát a Dinka és Siluk törzsből származó négerekkel is, akik Fazodától délre laknak a Nílus völgyében.	Nhờ có những người Dandiba thường được thuê làm thợ đốt lò phục vụ các thứ máy móc, em học được tiếng Kixvahili, thứ tiếng rất phổ biến trong toàn bộ miền Trung Phi, thậm chí em có thể trò chuyện với những người da đen Đinnếch và Sinlúc sinh sống ở vùng hạ lưu sông Nin, phía dưới Phasôđa.
Ezenkívül folyékonyan beszélt angolul, franciául és lengyelül, mert apja, mint lelkes hazafi, nagy gondot fordított arra, hogy Staś anyanyelvét is elsajátítsa.	Ngoài ra, em nói thạo tiếng Anh, tiếng Pháp và tiếng Ba Lan, vì cha em một người yêu nước nhiệt thành, rất quan tâm đến chuyện làm sao cho cậu bé nói được tiếng nói quê hương.
Staś természetesen ezt tartotta a világ legszebb nyelvének, s nem csekély eredménnyel tanítgatta rá a kis Nelt is.	Dĩ nhiên, Xtas coi tiếng Ba Lan là thứ ngôn ngữ hay nhất trên thế giới, và cậu bé đã dạy cho bé Nen nói tiếng Ba Lan với không ít thành công.
Csak azt nem tudta elérni, hogy nevét "Sztás"-nak ejtse a kislány, ne pedig "Sztesz"-nek.	Có điều em không làm sao dạy cho cô bé phát âm được đúng tên em là Xtas chứ không phải "Xtex".
Ezért néha nézeteltéréseik is támadtak, de ezek csak addig tartottak, amíg a kislány szemecskéjében meg nem csillant a könny.	Cũng chính vì lí do đó mà đôi khi giữa hai đứa trẻ xảy ra chuyện bất hoà, song những chuyện bất hoà đó cũng chỉ kéo dài cho tới khi cặp mắt cô bé bắt đầu long lanh những giọt lệ mà thôi.
Ilyenkor "Sztás" nyomban kiengesztelte, s inkább önmagára haragudott.	Và khi ấy, "Xtex" bèn xin lỗi, đồng thời thường tự giận mình.
Megvolt azonban az a csúnya szokása, hogy félvállról beszélt Nel nyolc esztendejéről, s hencegve állította vele szembe saját meglett korát és élettapasztalatait.	Song cậu bé có một thói quen xấu là hay tỏ vẻ khinh thường khi nói về chuyện Nen mới lên tám và so sánh điều đó với tuổi tác và kinh nghiệm sống của bản thân mình.
Azt bizonygatta, hogy egy tizennégy éves fiú, ha még nem is kész felnőtt, már nem is gyerek, s mindenféle vitézi cselekedetre képes, különösen, ha ereiben lengyel és francia vér csörgedez.	Em cho rằng một thiếu niên mười bốn tuổi, dẫu vẫn chưa hoàn toàn là người lớn, nhưng đã không còn là trẻ con nữa, và đã có khả năng thực hiện được mọi hành động anh hùng, đặc biệt là khi thiếu niên ấy mang trong mình dòng máu Ba Lan hoà dòng máu Pháp.
Vágyott is rá szörnyen, hogy egyszer alkalma adódjék ilyen cselekedetekre, különösen Nel védelmében.	Em khao khát một lúc nào đó sẽ có hoàn cảnh để thực hiện những hành động anh hùng như thế, nhất là để bảo vệ Nen.
Kitaláltak mindenféle eshetőséget, s Staśnak ilyenkor felelnie kellett Nel kérdéseire, hogy például mit csinálna, ha a házba bemászna egy tíz méter hosszú krokodilus vagy egy olyan nagy skorpió, mint egy kutya.	Cả hai thường tưởng tượng ra đủ mọi loại hiểm nguy khác nhau, và Xtas thường phải trả lời các câu hỏi của Nen xem em sẽ làm gì, nếu như nói thí dụ - một con cá sấu dài mười mét, hoặc một con bọ cạp to bằng con chó bò qua cửa sổ vào nhà cô bé.
Akkor még egyikük sem álmodott arról, hogy a borzalmas valóság nemsokára felülmúlja képzeletük legmerészebb csapongását is.	Song cả hai không một phút nào ngờ được rằng, chẳng bao lâu nữa, thực tế kinh khủng sẽ vượt xa mọi điều tưởng tượng của chúng.
Ezalatt otthon, ebéd idejére nagyon kellemes meglepetés várt rájuk.	Trong bữa cơm, có một tin vui chờ đón hai đứa trẻ.
Tarkowskit és Rawlisont mint ügyes mérnököket néhány héttel előbb megbízták azzal, hogy tekintsék meg az egész csatornahálózatnál, tehát El-Faiyum tartományban, Medinet város környékén, a Karun-tó közelében, valamint a Juszef és Nílus folyók mentén folyó munkálatokat.	Vài tuần trước đây, hai ông Tarcôpxki và Rôlixơn, với tư cách là những kĩ sư lành nghề, được mời đến xem xét và đánh giá công việc trên toàn bộ mạng kênh rạch ở tỉnh En Phaium, trong vùng lân cận thành phố Mêđinét gần hồ Carôun, cũng như vù ng dọc theo sông Duxép và sông Nin.
E feladat elvégzése egy hónapot vett volna igénybe, s erre az időre szabadságot kaptak.	Họ sẽ ở lại đó chừng một tháng và đã được công ti của họ cho nghỉ phép để làm việc đó.
Minthogy közeledett a karácsony, s a két apa az ünnepek alatt nem szívesen maradt volna távol gyermekétől, elhatározták, hogy Staś és Nel is velük megy Medinetbe.	Vì lễ Thiên Chúa giáng sinh sắp tới, mà cả hai đều không muốn chia tay với bọn trẻ, nên họ quyết định rằng cả Nen lẫn Xtas sẽ đi tới Mêđinét.
E hír hallatára a gyerekek majd kibújtak a bőrükből örömükben.	Nghe tin này, bọn trẻ suý t nhảy vọt lên vì vui sướng.
Staś ismerte már Medinetet a fiatalabb mérnökök és utazók elbeszéléseiből, akik vadászni jártak oda, mindenféle vízimadárra, sivatagi farkasra meg hiénára.	Xtas đã được nghe nói về thành phố Mêđinét qua câu chuyện của các kĩ sư trẻ và các du khách từng được đi tới đó để săn bắn các loài chim nước cùng chó sói sa mạc và linh cẩu.
Tudta, hogy Medinet különálló nagy oázis a Nílus bal partján, de független e folyó áradásaitól, mert a Karun-tó, a Bahr Juszef és az apró csatornák egész hálózata révén külön vízrendszere van.	Em biết rằng đó là một ốc đảo lớn nằm ở hữu ngạn sông Nin, nhưng không chịu ảnh hưởng của các trận lụt do con sóng này gây ra, mà có thuỷ hệ riêng, được tạo nên bởi hồ Carôun, sông Bahơrơ Duxép, cùng cả một hệ thống kênh rạch nhỏ khác nữa.
Akik ezt az oázist látták, azt állítják, hogy ámbár Egyiptomhoz tartozik, a sivatag annyira elválasztja tőle, hogy különálló egységet alkot.	Những người từng thấy cái ốc đảo này đều nói rằng mặc dù vùng đất này vẫ n thuộc về Ai Cập, nhưng do bị ngăn cách bởi sa mạc, nên nó tạo thành một chỉnh thể biệt lập hoàn toàn.
Csak a Juszef folyó köti össze kék szalag gyanánt ezt a vidéket a Nílus völgyével.	Chỉ có riêng dòng sông Duxép, trông giống như một sợi dây mỏng mảnh màu xanh lơ là mối liên hệ giữa vùng này với thung lũng sông Nin.
A bőséges víz, a nagyszerű, televény földek és a pompás növényzet szinte földi paradicsommá varázsolják, s a hajdani Krokodilopolisz kiterjedt romjai százával vonzzák ide a kíváncsi turistákat.	Sự dồi dào về nước, độ phì nhiêu của đất và sự phong phú tuyệt vời của hệ thực vật đã khiến cho vùng này gần như trở thành một thiên đường trên mặt đất, còn những di tích trải trên một diện tích rộng lớn của thành phố Crôcôđilôpôlix thì thu hút hàng trăm du khách tới đây viếng thăm.
Staśt azonban főképpen a Karun-tó partvidéke csábította, ahol száz- meg százféle vízimadár tanyázik, de örült a Gebei el-Szedment hegyvidékre tervezett farkasvadászatoknak is.	Riêng Xtas thì chủ yếu là bị hấp dẫn bởi bờ hồ Carôun đầy các loài chim nước và những chuyến đi săn chó sói trong vùng đồi núi hoang mạc Guêben En Xêđơmên.
Minthogy azonban Staś szünideje csak néhány nap múlva kezdődött volna meg, a munkálatok ellenőrzése viszont nagyon sürgős volt, s a két szülő nem vesztegethette az időt, úgy határoztak, hogy nyomban útra kelnek, a gyerekek pedig Olivier kisasszonnyal egy hét múlva követik őket.	Nhưng mãi mấy ngày nữa bọn trẻ mới bắt đầu được nghỉ lễ, mà sự kiểm tra công việc ở vùng kênh lại khẩn cấp, khiến các ông bố không thể chờ đợi mất thì giờ, nên họ bèn sắp xế p rằng họ sẽ khởi hành ngay, còn bọn trẻ sẽ cùng với cô Oliviơ xuất phát sau một tuần lễ.
Nel is, Staś is szeretett volna azonnal utazni, de Staś nem mert e kéréssel előállni, ezért inkább szüleiket kérdezgették az utazás felől, s új örömrivalgással fogadták a hírt, hogy nem laknak majd valamelyik kényelmetlen görög szállodában, hanem a Cook-féle utazási irodától bérelt sátrakban ütik fel tanyájukat.	Cả hai liền bắt đầu hỏi han đủ mọi thứ chuyện liên quan tới chuyến đi, và chúng lại náo nức vui sướng một lần nữa khi được biết rằng, chúng sẽ không phải nghỉ ngơi trong các khách sạn thiếu thốn tiện nghi của người Hy Lạp, mà sẽ nghỉ trong những chiếc lều do Hội du lịch của Cúc cung cấp.
Rendszerint ezt teszik a Kairóból Medinetbe ránduló turisták még akkor is, ha huzamosabb időre tervezett kirándulásról van szó.	Các du khách từ Cairô đến thăm Mêđinét, thậm chí dù họ có lưu lại đó một thời gian dài đi nữa, cũng thường sống theo cách đó.
