ELSŐ RÉSZ	PHẦN THỨ NHẤT
A pénztárosról egy pillanat alatt lefosztották a ruhát, s azt a banda főnöke magára öltötte, jóllehet az ő termetén kissé szűknek bizonyult Store öltönye.	Về sau các nhân viên của chi nhánh quả quyết rằng họ không hay biết gì về màn kịch diễn ra bên trong cánh cửa đã đóng kín đó.
Indíts az íróasztalokhoz, s a szemet kinyitni.	Hắn nói bằng giọng hoàn toàn bình tĩnh:
Azután zárjátok be az ajtót, s csak nekem nyissátok ki!...	— Vâng, thưa ông – một nhân viên rỗi việc đáp.
A főnök határozott mozdulattal kinyitotta az ajtót.	Anh ta quay lại gọi to: – Store, giám đốc gọi anh.
A sűrűsödő szürkületben fénylettek a lámpái.	— Tôi đi ngay đây – viên thủ quỹ trả lời.
- Most lássunk a magunk dolga után, barátom - mondta Store "helyettesítője" a kocsisnak.	Tên mặc áo măng tô lau mồ hôi trán rồi cúi xuống người nạn nhân.
Ily módon a lopás kockázatát a lehető legkisebbre csökkentették.	Xong việc, hắn hé cửa và liếc mắt vào gian lớn.
Hogy be lehessen hatolni a kocsiba, feltétlenül le kellett fordítani a bakot, amelynek felső felét ebből a célból el lehetett mozdítani.	Hài lòng với điều mới kiểm tra, hắn bật ho như thể báo cho bốn gã khách đến sau phải chú ý rồi đẩy cửa ra.
Miután átvette a táskát, a kocsis hasra feküdt a bakon, és derékig bebújt a kocsiba, s kívül maradt lábaival tartotta az egyensúlyt.	Đó chắc chắn là tín hiệu đã được quy ước trước cho một màn kịch hết sức quái gở.
Egy pillanat alatt a támadó derékon ragadta az élettelen testet, és a kocsiban heverő zsákok és csomagok közé taszította.	Tên mặc áo măng tô nhảy một bước dài vào gian lớn, hùng hổ bổ nhào xuống anh nhân viên tính toán đơn độc và bóp cổ anh ta không thương xót.
Ez a mozdulatsorozat, amelyet csodálatos pontossággal és vakmerőséggel hajtott végre, csak néhány pillanatig tartott.	Gã khách đứng ở cuối bàn vọt qua cánh cửa nhỏ và quật ngã anh nhân viên đứng trước mặt hắn.
A járókelők közben békésen közlekedtek, és a tőlük néhány lépésre, a sürgés-forgás kellős közepén lezajló rendellenes események senkinek sem keltették fel a gyanúját.	Hai trong số ba khách hàng khác thì vươn tay qua bàn nắm cổ những người tiếp chuyện với mình và dộng đầu họ xuống mặt bàn gỗ sồi rất dã man.
A támadó aztán még mélyebben behajolt a kocsiszekrénybe, hogy az utcai világítás ne zavarja a szemét, és jól körülnézhessen.	Tên thấp người còn lại thì nhảy lên bàn chộp cổ đối thủ.
Az áldozat már egyet sem mozdult.	Không một tiếng kêu.
A halál úgy érte, mint a villámcsapás.	Sự việc xảy ra không quá ba mươi giây.
- Mit csináltatok azzal az emberrel?	Việc hành hung chấm dứt.
- Ott fekszik a többi mellett.	Các nạn nhân ngất xỉu.
- Kettő itt marad - parancsolta, miközben ruhát váltott.	Kế hoạch tấn công được vạch ra rất tỉ mỉ.
- A többi velem jön, hogy kirámoljuk azt a "dragacsot".	Bọn cướp rút ngay đồ nghề trong túi ra.
A főnök egymás után adogatta ki a csomagokat cimboráinak, azok pedig valamennyit be­cipelték a bankfiók helyiségébe.	Chúng nhét bông vào miệng các nhân viên ngân hàng và bịt lại, dù rằng việc này rất nguy hiểm cho tính mạng của họ.
Sőt, még annak sem lett volna semmi akadálya, hogy valaki belépjen a bankfiók helyiségébe.	Chúng trói tay họ ra sau lưng, cột chặt chân và quấn dây thép quanh thân thể họ.
Öt perc alatt kiürítették a kocsit.	Mọi việc làm xong trong nháy mắt.
- És a pénzeszsákok?...	Năm tên cùng đứng lên.
- Azokból töltsétek meg a zsebeteket - válaszolta a főnök.	– Gã đã yêu cầu gặp ông giám đốc ra lệnh.
- Ami megmarad, hordjátok fel a kocsiba.	Có lẽ, hắn là tên chỉ huy.
Az utolsó kétszer fordítsa rá a kulcsot, s aztán dobja a csatornába.	Bọn cướp bắt đầu lục soát két sắt.
A folyosó végében van az előcsarnok; különben ti is ismeritek az épületet...	Các giấy tờ quan trọng, cổ phiếu và công trái bị vứt bừa bãi khắp sàn nhà.
Úgy, ahogy megegyeztünk.	— Gượm đã!
- A főnök azzal már meg is indult, de aztán hirtelen megtorpant.	Khi tao ra, chúng mày phải ở lại đây.
Nem láttátok valahol a fiókok címjegyzékét?	– chúng mày ra bằng đường này.
Az egyik bandita az üveges szekrényre belülről ráragasztott sárguló papírlapra mutatott.	Thằng nào ra cuối cùng sẽ vặn khóa cửa hai vòng rồi quẳng chìa khóa xuống cống.
A megbeszélt helyen találkozunk...	Chúng mày nhớ lệnh của tao chưa?
Most pedig gyerünk!	— Nhớ, nhớ ạ!
- kérdezte az egyik cipekedő.	– bọn kia trả lời hắn.
- Ördögöt kész!	– Đại ca cứ yên tâm!
Majdnem elfelejtettem a kacatjaimat...	— Chúng mày cứ quẳng áo khoác vào xó nhà.
- Kész - válaszolta a főnök -, de ne sokat lődörögjetek.	Thây kệ cho bọn chó tìm thấy mấy cái áo này.
A bandita bólintott, s késedelem nélkül visszament a kifosztott helyiségbe, s a redőnyt teljesen leengedték.	Điều quan trọng là chúng nó sẽ không còn nhìn thấy áo khoác trên người bọn ta nữa.
Az álkocsis pedig megragadta a gyeplőt, és egy suhintással felébresztette a bóbiskoló lovakat.	Bọn ta sẽ gặp nhau ở chỗ mà chúng mày đã biết... Thôi tẩu đi!
A kocsi elkocogott, fel az Old Broad Streeten, kikerült a Throgmorton Streetre, végigment a Lothburg Streeten, s végül megállt a 29-es szám alatt, az S-fiók előtt.	5 giờ 30, ông Lasone, kiểm soát viên của ngân hàng, gọi điện đến chi nhánh DK nhưng không có ai trả lời ông, vì bọn cướp đã giật đứt ống nói mất rồi.
- Nem értem, hogy küldhet a központ mindenféle alakot, akit nem is ismerünk... - mormogta elégedetlenül.	Ông kiểm soát viên phái cậu loong toong của ngân hàng đến xem tại sao chi nhánh không trả lời.
A B-fióknál mondták, hogy kerüljek erre, mert a központból telefonoztak nekik.	Ông kiểm soát viên ngạc nhiên vì hôm đó là một trong những ngày cuối tháng, mà đôi khi nhân viên phải làm việc đến tận 9 giờ tối.
Mer’ hogy nagyobb bevétel vót a kasszazárás után.	Tức thì, ông gọi điện đi khắp nơi.
Az álpénzbegyűjtő ügyesen megtalálta a legvalószínűbb választ, mert a Central Bank imént áttekintett címjegyzékére még igen jól emlékezett.	Gần 8 giờ, với sự giúp đỡ của một anh thợ nguội được mời đến, đội cảnh sát đặc biệt mới mở được cửa của chi nhánh DK.
- Persze - hagyta rá a gyanakvó pénztárnok -, de azért mégsem jó, hogy nem ismerem magát.	Bạn đọc đã biết người ta tìm thấy những gì trong đó.
- Hát annyiféle lopás történik... Azért van rá mód, hogy elrendezzük a dolgot.	Rất may, không một nhân viên nào của chi nhánh thiệt mạng.
Mert ugyan honnan lehetne "felhatalmazása"?	Họ nằm bất tỉnh khi mọi người đến cứu.
Úgy tett tehát, mintha nem is nagyon értené, hogy mit jelent ez a szó.	Sau hồi lâu chăm sóc, người ta đã làm cho họ tỉnh lại.
- Há’ persze hogy persze!	Họ không biết gì hơn.
Hiszen Baudrucot az S-fiók pénztárnoka jól ismeri, csodálkozott is, hogy nem ő jött a pénzért.	Chẳng thể nghi ngờ về lòng thành khẩn của họ.
A vakmerő bandita azonban egy pillanatra sem vesztette el a fejét, s helyben kiötlötte a megoldást.	Trong góc phòng còn có năm chiếc áo khoác như thể bọn tội phạm muốn để lại vết tích của chúng.
- Megvan a "felhatalmazás", de csak a fele...	Áo may bằng loại vải thông thường.
A pénzbegyűjtőt ez felpaprikázta:	Viên dự thẩm không biết gì hơn.
- Azt mondták, hogy jöjjek ide a do­hány­ért.	Ông ta hoài công tra hỏi mấy nhân chứng.
A pénztárnokot ez a nemtörődömség a legjobb indoklásnál is jobban meggyőzte, és különös­képpen a fenyegető hangnem, amelyet a pénzbegyűjtő távozás közben használt.	Cửa ra vào chi nhánh bị khóa lại ở bên trong, vì vậy bọn tội phạm đã thoát ra qua tiền sảnh và người gác cửa nhất định phải trông thấy bọn chúng.
Végül is rászánta magát:	Họ bị hỏi cung ngay.
A pénzbegyűjtő odaírt egy akármilyen nevet, és úgy távozott, mint akit megbántottak.	Ông gác cửa còn nói về một người bán than.
- Alászolgája... - mormogta morcosan, mint az olyan ember, akit ártatlanul gyanúsítgattak.	Anh ta mang một cái bao tải to, đến vào khoảng 7 giờ 30, trước khi cảnh sát xuất hiện một lúc.
Amint kilépett az ajtón, az álpénzbegyűjtő rögtön a kocsihoz sietett, a bakra ugrott, és eltűnt a sötétben.	Ông gác cửa chú ý đến anh ta chỉ vì thường thường người ta không mang than đến vào giờ đó.
Majd, ha jön az irodaszolga, hogy a min­dennapi takarítást elvégezze, feltétlenül kitör a riadalom.	Người bán than đi lên, nhưng 15 phút sau đã trở xuống, mang theo cái bao tải của mình.
De addig nagy volt a valószínűsége, hogy senki sem veszi észre, mi történt.	Khi ông gác cửa hỏi thì anh ta nói là bị nhầm địa chỉ.
A bankellenőr egyelőre abbahagyta a hívást, és megelégedett annyival, hogy magá­ban mindennek lemocskolja a "süket" tisztviselőket.	Anh ta nói bằng cái giọng ngắt quãng của người mang vác nặng lên tầng năm.
Amikor azonban látta, hogy az idő múlik, s a kocsi mégsem jön, újabb hívással próbálkozott.	Ra đến ngoài đường, anh ta đặt cái bao tải lên xe ba gác và thong thả kéo đi.
Az irodaszolga fél hét felé már vissza is tért, és jelentette, hogy a fiók bezárt, s elhagyottnak látszik.	— Thế ông có biết – viên dự thẩm hỏi – người bán than ấy của cửa hàng nào không?
A telefonok minden irányban felcsendültek.	Ông gác cửa không biết.
Az olvasó már tudja, hogy mit találtak odabent.	Viên dự thẩm đã hỏi cung người thuê nhà ở tầng năm.
A nyomozás azonnal megkezdődött.	Anh chàng bán than quả có gọi cửa phụ lúc gần 7 giờ 30.
Szerencsére a fiók tisztviselői közül egy sem halt meg, de őszintén szólva egyik sem állt túl messze a végtől.	Cô hầu nói anh ta bị nhầm và anh ta bỏ đi luôn mà không hề nài nỉ đòi mở cửa.
A durván szájukba gyömöszölt vatta és rongy majdnem megfojtotta őket, s mire a segítség megjött, a szerencsétlenek már vala­mennyi­en eszméletlenül hevertek; ha reggelig így maradtak volna, bizony csak a másvilágon ébrednek fel.	Song chứng cứ về điểm này không khớp với nhau vì cô hầu ở tầng năm tuyên bố rằng anh ta không mang theo cái bao nào cả.
Egyórai ápolás után, amikor végre magukhoz tértek, nem tudtak, csak holmi általánosságokat mondani.	— Anh ta đã để cái bao dưới nhà khi leo lên tầng năm – viên dự thẩm lý giải.
Öt szakállas férfi, némelyiken hosszú köpeny, másokon olyan felöltő, amelyet ulsternek neveznek, megtámadta és leteperte őket.	Rồi sau té ra rằng lời giải thích ấy không đúng vì người ta đã tìm thấy than dưới tầng hầm.
Az egészből együttvéve nagy eredmény nem született, de a vizsgálóbírónak egyelőre ennyivel is meg kellett elégednie.	Nhưng anh ta đã mang đi cái gì, vì theo lời khai của ông gác cửa thì lúc bỏ đi, cái bao vẫn to, nặng như lúc anh ta đến?
Ő azonban nem tehetett mást, mint hogy végül is bevallja a hanyagságát.	Quả thật, tất cả nhân viên của chi nhánh đều có mặt đông đủ.
S az is igaz volt, hogy a házban sokkal több teendő akadt, mint hogy azok mellett mindent ellenőrizhessen.	Nhưng nhân vật quan trọng nhất, ông giám đốc Lewis Robert Buxton lại biến đâu mất.
Általában pedig a házfelügyelő semmi rendellenest sem észlelt.	Các nhân viên không thể giải thích được việc này.
Végül is addig faggatták és biztatták, hogy erőltesse meg az emlékezetét, míg csak meg nem említette négy lakó nevét, akik a bűncselekmény órájában vagy valamivel azután átmentek az előcsarnokon.	Kết luận tự nó đã hình thành: nếu như đã tin rằng chi nhánh bị năm tên cướp thay hình đổi dạng tấn công thì cũng phải tin rằng bọn chúng có tay trong và kẻ đồng lõa ấy chính là viên giám đốc.
Az azonnali ellenőrzés megállapította, hogy mind a négyen köztiszteletben álló személyek, és egyébként is a szokásos időben tértek haza estebédelni.	Đó là lý do tại sao chưa điều tra xong mọi chi tiết mà đã có lệnh bắt giữ Lewis Robert Buxton, giám đốc chi nhánh DK thuộc Ngân hàng Trung ương.
Az ember tehát felkapaszkodott, de egy negyed óra múlva ugyancsak zsákkal a hátán vissza­tért.	Đặc điểm nhân dạng của ông ta đã được thông báo đi khắp nơi.
A kapus kérdésére azt válaszolta, hogy téves címre küldték.	Kẻ bị truy nã chưa thể rời khỏi nước Anh.
Mint aki öt emeletet mászott meg nagy teherrel a hátán, lihegett beszéd közben.	Chắc chắn hắn sẽ bị bắt ngay trong nước hoặc ở bến cảng.
Ennek a kérdésnek a felderítését későbbre halasztva a vizsgálóbíró kihallgatta az ötödik emeleti lakót.	Đêm ấy, có năm người rám nắng, số còn để râu, số đã cạo, từ tàu tốc hành Luân Đôn bước xuống ga Southampton.
Ez megerősítette, hogy egy ember úgy fél nyolc körül valóban becsengetett a szolgálati bejárón, és azt mondta, hogy a megrendelt szenet kell átadnia.	Sau khi đã bốc dỡ mấy bao hàng và một thùng to, nặng, họ thuê một cỗ xe ngựa chở tất cả ra cảng.
Mire a háztartási alkalmazott azt válaszolta, hogy valami tévedés lehet.	Ở đó có một chiếc tàu thủy đang nhả khói dày đặc chờ họ bên bờ.
Erre az ember szó nélkül elment.	4 giờ sáng, triều lên.
Azon­ban ezt a mozzanatot illetően a szemtanúk vallomása nem mindenben egyezett meg; az ötödik emeleti háztartási alkalmazott, ellentétben a házfelügyelővel, határozottan állította, hogy az embernél nem volt semmiféle zsák.	Khi cả thành phố Southampton còn đang yên giấc và chưa hề hay biết tý gì về vụ cướp ở chi nhánh DK thì con tàu đã rời cảng, chạy ngang qua đập chắn sóng ra khơi.
Szemmel látható, hogy a titokzatos szenesember oda ürítette a zsákját.	Nó chở đầy các loại hàng hóa vô hại đến cảng Cotonou ở Dahomey.
- Eh, ne sokat bíbelődjünk ezzel - döntött a vizsgálóbíró, és egyelőre lemondott eme különös részlet kibogozgatásáról.	Vào giờ sớm sủa đó, sau khi đã tạm hoãn cuộc điều tra, cảnh sát đang tận hưởng những giây phút nghỉ ngơi chính đáng.
A legfontosabb személy - a fiók vezetője - hiányzott a számbavételkor.	Ngày lại ngày cứ trôi qua mà năm tên cướp vẫn biệt vô âm tín.
Mr. Lewis Robert Buxton eltűnt!	Không tìm ra cả Lewis Robert Buxton.
Reá vonatkozólag a tisztviselők is képtelenek voltak bármilyen felvilágosítást adni.	Không một tia sáng nào có thể rọi vào bóng đen huyền bí.
Ami pedig Mr. Buxtont illeti, őt közben senki sem látta.	Conakry, thủ đô của xứ Guinée thuộc Pháp, là một thành phố rất đáng yêu.
Magától adódott a következtetés.	Đó là khu dân cư lớn nhất trên bờ biển.
És mivel az ő személyleírását jól ismerték, nem úgy, mint a tettestársaiét, azt küldték szét mindenüvé.	Ở đấy có nhiều người da trắng, nhất là người Pháp và người Anh.
Tekintettel arra, hogy a gyanúsított nem hagyhatta még el Angliát, nem tűnt nehéz feladatnak a letartóztatása valamelyik városban, ha az ország belseje felé menekül, vagy valamelyik kikö­tő­ben, ha szökni szándékszik; az ilyen könnyű feladat látványos sikerrel kecsegtette a rendőr­séget.	Nhưng vào lúc xảy ra các sự kiện làm nên cốt chuyện này, nơi ấy chưa đạt tới mức hưng thịnh và chỉ là một khu cư ngụ lớn mà thôi.
A könnyű siker reményében mind a vizsgálóbíró, mind a nyomozók hazaballagtak.	27 tháng Mười một là ngày hội ở Conakry.
Éjszaka két órakor pedig öt férfi - némelyik simára borotválva, némelyik pedig napégette képén dús bajusszal - egymás nyomában, ahogy nemrégen felszálltak, most lelépkedtek Southamptonban a londoni expresszről.	Theo lời mời của viên toàn quyền Henrry Valdonne, dân chúng đã tụ tập trên bờ biển, chuẩn bị chào đón nồng nhiệt các vị khách tiếng tăm sẽ vào bờ từ chiếc tàu Touat.
Miután pedig átvették a poggyászaikat, s azok között különös elővigyázattal egy nagy és igen nehéz bőröndöt, kocsival a kikötőbe hajtattak, ahol a rakparton már várta őket egy sűrű füstöt eregélő, mintegy kétezer tonnás gőzhajó.	Các nhân vật có thế lực làm xôn xao cả thành phố Conakry là thành viên của đoàn thị sát được chính quyền trung ương cử đi nghiên cứu vùng Soudan, còn gọi là "Thòng lọng Niger".
A reggel négyórai dagállyal, amikor Southampton még az igazak álmát aludta, s az Old Broad Street-i rablásról még senki sem tudott semmit, a kis gőzös felszedte a horgonyt, elhagyta a dokkot, és kihúzott a nyílt tengerre.	Mấy tháng trước, khi thảo luận về các vấn đề thuộc địa, Viện dân biểu đã chia thành hai phe bằng nhau về mặt số lượng, do hai đối thủ không khoan nhượng cầm đầu.
Senki sem próbálta megakadályozni a távozását.	Một người tên là Barsac, một người tên là Baudrières.
A nyomozást másnap és a következő napokon folytatták ugyan, de amint köztudomású, semmi eredményre sem jutottak.	Ông được trời phú cho nếu như không phải là tài hùng biện thì ít ra cũng là thói dài dòng văn tự.
Múltak a napok, egyik a másik után, de az öt bandita kiléte homályban maradt, és Lewis Robert Buxton sem került kézre.	Baudrières là đại biểu của một tỉnh ở miền Bắc, gầy gò, vụng về, có khuôn mặt khô khan và bộ râu mép thưa thớt điểm tô cho đôi môi mỏng.
Még egy halvány sugár sem világította meg a sötét rejtélyt.	Ông kín đáo và trông có vẻ buồn.
Még azt sem sikerült megállapítani, hogy melyik raktárban dolgozik az a bizonyos szenesember, aki egy pillanatra magára vonta a nyomozók figyelmét.	Từ lâu cả hai vị dân biểu này đã hiến thân cho các vấn đề thuộc địa và cả hai đều rất có uy tín.
Mivel nem volt mit tenni, az egész ügy irattárba került.	Nhưng các lập luận kiên tâm của họ rất ít khi đưa đến những kết luận giống nhau.
A történet, amelyet a következőkben elbeszélünk, először adja a rejtély teljes és hiánytalan megoldását.	Nếu Barsac trình bày quan điểm của mình về một vấn đề nào đó thì Baudrières sẽ nói ngược lại là cái chắc.
Henry Valdone kormányzó úr felszólítására, amelyet városszerte falragaszokon tettek közzé, a lakosság a ten­gerpartra özönlött, hogy a felhívásnak eleget téve tomboló lelkesedéssel fogadja a tekintélyes vendégeket, akiknek a Frayssinet Társaság Touat nevű gőzösén kellett megérkezniük.	Ông còn nói thêm rằng xóa bỏ chế độ nô lệ hẳn còn quá ít mà còn phải trao cho các dân tộc bị nô lệ các quyền như của những người đi chinh phục và giữa tiếng vỗ tay ầm ĩ của một nhóm dân biểu, ông đã nói những từ cao đẹp: "Tự do, bình đẳng và bác ái".
Meg kell adni, a conakryi felbolydulást valóban fontos személyiségek okozták.	Ngược lại, Baudrières bảo rằng dân da đen vẫn còn rất man rợ nên không thể trao quyền bầu cử cho họ được.
Szám szerint heten voltak, és azt a különleges parlamentáris expedíciót alkották, amely a központi állam­igazgatás részéről feladatul kapta, hogy tanulmányutat tegyen Szudánnak azon a vidékén, amelyet Niger-kanyar néven emlegetnek.	Ông nói thêm: vô luận thế nào đi nữa cũng không thể tiến hành cuộc thí nghiệm nguy hiểm đó và nên tăng cường số quân chiếm đóng vì có dấu hiệu bất an, phải đề phòng phiến loạn ở các vùng ấy.
Az egyik vezérszónok neve Barsac, a másiké Baudrières.	Cũng như đối thủ, ông đã viện dẫn ý kiến của các nhà thám hiểm.
Egyébként is vidám, rokonszenves ember volt.	Nhóm dân biểu khác lại vỗ tay phản đối ông.
A másik egy északi kerületet képviselt, és ha szabad merészebb kifejezésre ragadtatnunk magunkat: kerületét teljes hosszával képviselte.	Bộ trưởng thuộc địa không biết phải đứng về phía diễn giả nhiệt thành nào.
Szikár, sovány arcú volt, vékonyka bajusszal, amely kihangsúlyozta ajka keskenységét; bizony szögletes és merev jelenség volt őkelme, olyan melankolikus fajta.	Tin tức về làn sóng công phẫn và các vụ cướp bóc ở vùng Thòng lọng Niger và Sénégambie làm ông lo ngại.
Amennyire nyílt szívű a kollégája, ő éppen olyan zárkózott volt, s a lehető legkisebb mértékben sem nyilatkozott meg senkinek, hanem úgy fejébe zárta minden gondolatát, mint pénzét ládájába a fösvény.	Không hiểu sao dân cư bỏ đi cả làng, đã xuất hiện những lời đồn đại khó hiểu về một quốc gia độc lập nào đó đang bắt đầu hình thành tại một vùng xa lạ ở châu Phi.
A két képviselő már régóta a gyarmati kérdésre szakosította magát, és e téren mindkettő bizo­nyos tekintélynek örvendett.	Cuộc tranh cãi đang tiếp tục thì có một dân biểu vì quá mệt mỏi đã kêu to lên giữa cảnh ồn ào:
Azonban hosszas tanulmányaik különös módon homlokegyenest ellenkező következtetésre vezettek.	— Nếu họ không thể thống nhất ý kiến với nhau được thì mặc cho họ tự đi xem xét lấy!
