HUGO VICTOR	Victor Hugo
Mindenféle madárhangot utánozott, a rigóét, a harkályét, a pacsirtáét, a fehérbegyü rigóét, amelyek mind vándorok voltak, mint ő; ugy hogy néha tetszése szerint utánozott akár egy emberi kiáltásoktól zajongó piacot, akár egy állati hangokkal teli mezőt; egyszer viharosan, mint a sokaság, máskor szeliden és derülten mint a hajnal.	Ông có thể bắt chước đủ mọi tiếng chim, họa mi, cun cút, sơn ca mà người ta còn gọi là bêghinet, sáo yếm trắng, tất cả các loại hay đi lang bạt như ông; thành thử, chốc chốc tùy ý ông, ông lại cho ta nghe một quảng trường đầy tiếng người xôn xao, hoặc một cánh đồng ồn ào tiếng súc vật; lúc thì náo nhiệt như một đám đông, lúc thì nhẹ nhàng, yên tĩnh như giây phút bình minh.
Egyszóval, ilyen tehetségek találhatók, noha ritkák.	Vả lại, những ngón tài nghệ đó, tuy hiếm, xưa nay cũng vẫn có.
Ursus bölcs, furcsa és érdekes ember volt, hajlandósággal olyan különös magyarázatokra, amelyeket mi meséknek neve­zünk.	Uyêcxuyt là con người thâm trầm, khó hiểu, và kỳ quặc, ưa những nổi giải thích đặc biệt, mà chúng ta thường gọi là ngụ ngôn.
Ugy tett, mintha hinne bennük.	Ông có vẻ như tin vào điểm đó.
Ez a szemtelenség egy része volt gonoszságának.	Cái tính trơ tráo ấy vẫn là nét ranh mãnh của ông.
Járatos volt a gyógyitófüvekben.	Ông tinh thông về dược thảo.
Fölhasználta egy csomó lenézett növényben rejlő mélységes hatalmat, a mogyoró levelét, a fehér fagyalt, az ecetfát, a galagonyát, a varjutövist, a pösz­métét.	Ông lợi dụng hiệu lực tiềm tàng trong vô vàn những cây cỏ bị khinh thường, như trăn nho, xoan trắng, như hacđô, măngxiên, buôcghêpin, hoa kim ngân, hắc mai.
A sorvadást harmatfüvel kezelte; gyógyitott farkastejfüvel, amely alulról kitépve, hashajtó, fölülről leszakitva hánytatószer; megszabaditott a torokfájástól egy növényi kinö­vés­sel, egy bütyökkel, amelynek zsidófül a neve; tudta, melyik az a káka, amely használ az ökörnek és melyik menta gyógyitja meg a lovat, jól megtanulta minden szépségét és jóságát a mandragórának, amely - mindenki tudja - férfi is, nőnemü is.	Ông chữa lao phổi bằng hoa hướng dương, ông biết lúc nào thì dùng lá đại kích; loại lá này vặt từ dưới lên là một thứ thuốc tẩy, và vặt từ trên xuống lại là chất gây nôn; ông chữa viêm họng bằng mầm cây gọi là tai do-thái; ông biết thứ cói nào chữa bệnh cho bò, thứ bạc hà nào chữa bệnh cho ngựa; ông am hiểu cái đẹp cái hay của độc sâm thảo, thứ cây mà chẳng ai còn lạ gì, vừa là đàn ông vừa là đàn bà.
Az égési sebeket szalamandra-gyapjuval gyógyitotta, amilyenből Plinius szerint Néro asztalkendője készült.	Ông chữa bỏng bằng lông rắn mối; theo lời Plin thì Nêrông có một chiếc khăn lông rắn mối.
Volt Ursusnak egy görebje meg egy lombikja; az anyagokat át tudta alakitani és csodaszereket árusitott.	Uyêcxuyt có một cái bầu cong và một cái bình pha-lê dài để pha chế, ông bán thuốc vạn ứng.
Azt beszélték róla, hogy egykor kissé becsukták a Bedlamba; megtisztelték azzal, hogy eszelősnek tartották, de kibocsátották, amikor észrevették, hogy csak költő.	Người ta kể trước đây có thời gian ông đã bị giam ở Bet-lam; ông đã có vinh dự được liệt vào hạng mất trí, nhưng rồi người ta lại thả ông ra khi thấy ông chỉ là một nhà thơ.
A valóság az, hogy Ursus tudákos ember volt, jóizlésü és öreg latin poéta.	Sự thật Uyêcxuyt là một bậc học giả, một người sành sỏi, và một nhà thơ la-tinh già.
Tudós volt e két szakmában, hippocratisált és pindarisált.	Ông uyên bác về hai phương diện; ông học tập Ipôcrat và say mê Panhđa.
Szóvirágokban versenyezhetett volna Rapinnal és Vidaval.	Ông có thể thi tài về loại văn cầu kỳ khó hiểu với Rapin và Viđa.
Passiojátékokat szerzett nem kevésbé diadalmasan, mint Bouhours Atya.	Ông có thể sáng tác những vở kịch gia-tô không kém phần thành công hơn Cha Bonua.
A két leányát követő anyára azt mondta: ez egy dactilus, egy apára, akit két fia kisért: ez egy anapestus, nagyanyja és nagyapja között sétáló kis gyermekre: ez egy amphimacer.	Ông gọi một người mẹ đi sau hai cô con gái là cây thông ba lá, một người bố đi trước các cậu con trai là anapext, và một em bé đi giữa ông bà là một củ ấu.
A salernoi iskola tanitja: "Keveset egyél, de gyakran." Ursus keveset evett, de ritkán, engedelmeskedvén a szabály egyik felének, a másiknak nem, de ez a közönség hibája volt, amely nem mindig tódult hozzá és nem vásárolt állandóan.	Trường phái Xa-lec dạy người ta "Ăn ít và ăn luôn" Uyêcxuyt vừa ăn ít lại vừa ít ăn, ông vừa tuân theo vế này của câu châm ngôn vừa bác bỏ vế nọ, nhưng đó là lỗi của công chúng, họ không chịu kéo đến luôn luôn và không chịu hỏi mua đều đều.
Ursus azt mondta: "Ha kiköphetek egy velős mondatot, meg­könnyebbülök.	Uyêcxuyt nói: "Bản án khi đã khạc ra được làm cho con người ta nhẹ nhõm.
Ursus szükségből vigjátékokat is gyártott és azokat el is játszotta; ez segitségére volt a gyógyszerek eladásánál.	Lúc nào cần, Uyêcxuyt trương ra những vở hài kịch và diễn tạm; nhờ vậy mà bán được thuốc.
Ez a patak nyugodtan folydogált Hertford grófságban, hatvan mérföld­nyire Londontól; de jött Middleton lovag és elragadta; odavezette hatszáz emberből álló seregét ásókkal és csákányokkal fölszerelve, elkezdte fölforgatni a földet, kiásván emitt, föltöltve amott, néhol husz láb mélyen, másutt harminc láb magasan, vizvezetékeket csinált fából a levegőben és imitt-amott nyolcszáz hidat kőből, téglából, gerendából és egy szép reggelen a patak megérkezett a vizben szükölködő Londonba.	Con sông thanh bình này đang nằm trên lãnh địa Hacfo, cách Luân-đôn sáu mươi dặm, bỗng dưng hiệp sĩ Minđơntơn đến và đón rước nó; ông dẫn đến một lữ đoàn sáu trăm người với đầy đủ cuốc xẻng, và bắt tay vào cuốc xới, đào chỗ này, đắp chỗ kia, có lúc hai chục bộ cao, có lúc ba chục bộ sâu làm cầu gỗ treo, và rải rác tám trăm cầu bằng đá, bằng gạch, bằng gỗ phiến, và một buổi sáng nọ, con sông bỗng tiến vào Luân-đôn đang thiếu nước.
Ursus nevezetes volt arról, hogy magában beszélt.	Uyêcxuyt rất giỏi về khoa độc thoại.
Vad és fecsegő természetével senkit sem kivánt látni és a szükségletet, hogy valakivel beszéljen, ugy elégitette ki, hogy önmagával beszélgetett.	Bản chất ghét đời và hay nói, chỉ thích đứng một mình, nhưng lại cần nói với một người nào đó, ông tự giải quyết khó khăn ấy bằng cách nói một mình.
Megkönnyebbülést jelent fecsegessél kitölteni az időt.	Nói lên giữa không trung là một kiểu châm cứu.
Mindenki tudja, hogy Sokratesnek is szokása volt.	Đó là thói quen của Xôcrat, điều ấy không ai biết.
Luther szintén.	Lute cũng vậy.
Ursus e nagy férfiakat követte.	Uyêcxuyt giống hai bậc vĩ nhân đó.
Olyan hermafrodita képessége volt, hogy önmagának a hallgatósága lett.	Ông có cái tài hai mặt làm thính giả của chính mình.
Kérdéseket tett föl magának és felelt magának, dicsérte és sértegette magát.	Ông tự hỏi rồi lại trả lời; ông tự đề cao xong rồi lại tự sỉ vả.
Az utcáról hallani lehetett, amint: ketrecében monologizált.	Đứng ngoài đường người ta thường nghe ông nói một mình trong chòi.
A járókelők, akik a maguk módja szerint méltányolják a szel­lemes embereket, azt mondták: ez hülye.	Khách qua đường, vốn có lối đánh giá riêng về những người khôn ngoan thì bảo đó là một thằng ngốc.
Amint mondottuk, néha leszidta magát, de voltak órái, amikor igazságot szolgáltatott magának.	Như ta vừa nói đôi khi ông tự mắng nhiếc mình nhưng cũng có những giờ phút ông tỏ ra công minh với bản thân.
Semmi sem volt egyszerübb és leleményesebb.	Thật chẳng có gì giản dị và tài tình hơn.
Egy mérleg serpenyőjébe állitottak valakit és a bizonyosság kipattant, ha az egyensuly megzavarodott; ha nagyon nehéz volt, fölakasztották; ha nagyon könnyü volt, elégették.	Người ta đặt anh lên một đĩa cân, nếu anh làm mất thăng băng thì thật rõ ràng; nặng quá, anh bị treo cổ; nhẹ quá, anh bị thiêu sống.
Bizonyos, hogy Ursusnak kötődése lett volna ezzel a mérleggel.	Uyêcxuyt chắc chắn đã phải có chuyện lôi thôi với cái cân đó.
Utazásaiban tartózkodott attól, hogy Hollandiába kerüljön és ezt jól tette.	Trên đường ngao du ông tránh xa nước Hà-lan vậy là phải.
Egyébiránt azt hisszük, sohasem hagyta el Nagybritanniát.	Vả lại, chúng tôi tin rằng ông không hề ra khỏi nước Anh.
Ügyes és furfangos ember volt, nagyon értett a gyógyitáshoz, mütétekhez, az embereket bajaiktól megszabaditani, meglepő mesterkedéseket végrehajtani; jó kötéltáncosnak és jó orvosnak ismerték el; magától értetődő, hogy varázslónak is tartották; nem nagyon, csak egy kissé; mert ebben az időben észszerütlen volt az ördög barátjának látszani.	Ông rất khéo léo lại có nhiều ý riêng và đại tài về mọi mặt để chữa, để mổ, để cứu người ốm, và làm những việc đặc biệt khiến ai cũng phải ngạc nhiên; ông được công nhận như tay hề hay là thầy thuốc giỏi; ông cũng được xem, điều đó dễ hiểu, là nhà ảo thuật, phần nào thôi, không cao siêu lắm; vì thời bấy giờ mang tiếng bạn với quỷ sứ là điều không lành mạnh.
Az igazat megvallva, Ursus a gyógyszerek és a növények szenvedélyes szeretete miatt veszedelmeknek tette ki magát, mert gyakran ment növényeket gyüjteni a sürüségekbe, ahol Lucifer salátái teremnek és ahol - amint De l’Ancre tanácsnok megállapitotta - könnyen megeshetett a találkozás az esti szürkületben egy ember­rel, aki a földből bujt ki: "jobb szeme kancsal, köpeny nélkül, kard az oldalán, mezitláb és saruval".	Thật tình mà nói, Uyêcxuyt, vì say mê khoa dược và yêu mến cỏ cây, thường mạo hiểm, vì ông hay đi hái lá trong các bụi rậm, nơi có nhiều rau diếp của Ma-vương, nơi có thể gặp, như viên cố vấn của Đơ Lăngcrơ đã nhận thấy, vào lúc chạng vạng, một người từ dưới đất nhô lên, "chột mắt phải, không mặc áo khoác, kiếm đeo bên hông, đi chân đất".
Ursus különben, furcsa modora és vérmérséklete ellenére, sokkal derekabb ember volt, semhogy jégesőt hozott vagy üzött volna, nem idézett képeket, nem táncoltatott agyon embereket, nem okozott sem tiszta, sem szomoru, sem borzalmas álmokat, nem teremtett négyszárnyu kakasokat; ilyen gonosz csinyeket el nem követett.	Vả lại, Uyêcxuyt tuy điệu bộ, tính tình có kỳ quặc, lại là người lịch sự có thừa, không đời nào lại gọi đuổi mưa đá, lại triệu quỷ hô ma, lại giết người vì họ nhảy múa nhiều quá, lại gây lên những giấc chiêm bao hãi hùng hoặc buồn thảm, và lại làm nở ra những con gà bốn cánh; ông không có những thói ác độc ấy.
Képtelen volt bizonyos istentelenségekre, mint például németül, héberül vagy görögül beszélni anélkül, hogy tanulta volna, ami förtelmes gonoszságnak a jele vagy valami buskomor hangulatból származó természetes betegség következménye.	Ông không thể có một số hành vi bỉ ổi, chẳng hạn như nói tiếng Đức, tiếng Do- thái hay tiếng Hy-lạp khi chưa học những tiếng ấy, đó là biểu hiện của một tính chất đốn mạt đáng phỉ nhổ.
Az orvosi tudományban, nagyon helyesen, Galienust elébe helyezte Cardannak, mert Cardan - akármilyen tudós is - csak földi giliszta Galienushoz képest.	Về y học ông thích Galiêng hơn Cacđăng cũng đúng, vì Cacđăng, tuy là nhà thông thái, chỉ như một con giun, nói vô phép Galiêng.
Szóval, Ursus nem olyan ember volt, akit a rendőrség háborgatni szokott.	Tóm lại, Uyêcxuyt không phải là nhân vật bị cảnh sát quấy rầy.
Ketrece elég hosszu és elég széles volt ahhoz, hogy lefekhessen benne egy ládára, amelyben nem valami fényüző gunyáit tartotta.	Chòi của ông khá dài, khá rộng, ông có thể nằm trên một cái hòm đựng áo quần chẳng lấy gì làm sang trọng.
Tulajdonosa volt egy lámpának, több parókának és néhány, szögre akasztott kelléknek, amelyek között hangszerek is akadtak.	Ông là chủ nhân của một chiếc đèn kính, của nhiều bộ tóc giả, và một ít đồ dùng móc ở đinh, trong số đó có mấy cây đàn.
Volt ezenkivül egy medvebőre, amelyet diszelőadások alkalmával magára öltött és ezt jelmeznek nevezte.	Ngoài ra ông còn một tấm da gấp để khoác những hôm trình diễn quan trọng; ông gọi như thế là ăn mặc lễ phục.
Azt mondotta: Nekem két bőröm van: ez itt az igazi.	Ông thường nói: Tôi có hai bộ da, đây mới là bộ thật.
És a medvebőrre mutatott.	Và rồi ông chìa tấm da gấu ra.
A kemencének két osztálya volt.	Trần chòi có một lỗ thủng.
Éjszaka a farkas, barátságosan megláncolva, a ketrec alatt aludt.	Ban đêm con sói ngủ dưới chòi, bị xích một cách thân ái.
Homonak fekete volt a szőre, Ursusé szürke: Ursus ötvenéves volt, de lehetett hatvan is.	Ômô có bộ lông đen, Uyêcxuyt có bộ lông xám; Uyêcxuyt năm mươi tuổi, nếu không phải đã sáu mươi.
Az emberi sors reá nézve azt jelentette, hogy - amint láttuk - burgonyát evett, moslékot, amellyel akkor csak a disznókat és a gályarabokat etették.	Ông cam nhận số phận con người đến mức - như ta vừa thấy - ăn toàn khoai, một thứ lương thực bỏ đi, thời ấy dùng để nuôi lợn và tù khổ sai.
Méltatlankodva és lemondóan ette.	Ông không cao to, ông dài lênh khênh.
A természet szomorunak teremtette.	Thiên nhiên sinh ra ông để rầu rĩ.
Hiányzott belőle a könnyek vigasza és az öröm enyhülete.	Người già như một mớ điêu tàn biết suy nghĩ.
Az öreg ember, gondolkodó rom; Ursus is ilyen rom volt.	Uyêcxuyt chính là mớ điêu tàn đó.
Száznyolcvan éve annak, hogy mindez megtörtént, abban az időbon, amelyben az emberek nagyobb mértékben farkasok voltak, mint ma.	Sự việc này xảy ra cách đây một trăm tám mươi năm vào cái thời con người có lang sói hơn ngày nay một tí.
II.	II.
Öt lábnyi hosszusága nagyon szép lett volna még Litvániában is; nagyon erős volt; ferde tekintete nem az ő hibája volt; sima nyelvével néha megnyalta Ursust, hátgerincét rövid sörte boritotta és soványsága jófajta erdei soványság volt.	Nó rất khoẻ; mắt nhìn nghiêng nghiêng, nhưng đó không phải lỗi của nó; lưỡi nó âu yếm và đôi khi lại liếm Uyêcxuyt; nó có một vệt lông nhỏ, ngắn như bàn chải, trên sống lưng và cái dáng thon thon của rừng rú.
Mielőtt Ursus-szal megismerkedett és talyigát kellett huznia, vidáman megtett negyven mórföldet egy éjszakán.	Trước khi làm bạn với Uyêcxuyt và có một cái xe để kéo, nó chạy một đêm bốn mươi dặm như không.
Ursus igavonó állatnak szivesebben használta Homot, mint egy szamarat.	Uyêcxuyt thích Ômô hơn một con lừa về phương tiện vật kéo xe.
Kellemetlen lett volna szamárral huzatni a ketrecét, többre becsülte a szamarat ennél.	Bắt một con lừa kéo lều của mình là điều ông rất ghê tởm; làm như thế là quá đề cao giống lừa.
Azonkivül észrevette, hogy a szamár, e négylábu gondolkodó, akit kevéssé értenek meg az emberek, néha nagyon nyugtalanitóan hegyezi a füleit, amikor a filozófusok valami ostobaságot mondanak.	Ngoài ra, ông lại nhận thấy lừa, một giống mơ mộng vẩn vơ bốn chân ít được con người hiểu, đôi lúc cũng biết vểnh tai lo lắng khi các triết gia nói điều ngu dại.
Az életben közöttünk és gondolataink között a szamár a harmadik és ez alkalmatlan.	Trong đời sống, giữa chúng ta và tư tưởng của ta, con lừa là người thứ ba; kể thì cũng khó chịu.
Ursus inkább Homot választotta barátjául, mint egy kutyát, mert ugy vélte, hogy a farkas hosszabb utat tesz meg a barátságért.	Về phương diện bạn bè, Uyêcxuyt thích Ômô hơn một con chó, vì ông cho rằng sói đến với tình bạn từ chỗ xa hơn.
Azt is mondogatta: "Ha meghalok és valaki ismerni akar engem, csak Homot tanulmányozza.	Ông còn nói: Bao giờ mình chết, ai muốn tìm hiểu về mình, thì chỉ cần nghiên cứu Ômô.
Az angol törvény, amely nem valami kiméletes az erdei vadakhoz, beleköthetett volna a far­kasba és pörbe foghatta volna azért a merészségért, hogy meghitten járkált a városokban; de Homo élt az immunitással, amit IV.	Luật pháp nước Anh, vốn ít mềm mỏng đối với thú rừng, có thể đã kiếm chuyện với con sói này và đưa nó ra toà vì tính ngang nhiên quen đi lại trong thành phố.
Ursus megosztotta Homoval tehetségei egy részét, egyenesen állni, haragját rosszkedvvé higitani, üvöltés helyett morogni, stb.	Thay cho chó, các bà có những con sói-chồn nho nhỏ, gọi là ađivơ: chỉ to bằng con mèo, đưa từ châu Á sang, tốn kém rất nhiều.
A kocsi szilárd volt, noha csak könnyü deszkákból épült.	Chòi chắc chắn, mặc dù chỉ làm bằng ván nhẹ như chuồng bồ câu.
Elől üveges ajtó nyilt egy kis, szónoklatok céljára szolgáló erkélyre, egy szószékké zsugorodott karzatra, hátul pedig deszkaajtó volt kémlelő­nyilással.	Phía trước, có một cửa kính với chút ban công nhỏ để diễn thuyết, một thứ bục thu hẹp của giảng đàn, và phía sau, một cái cửa ván liền có đục thủng một lỗ để thông gió.
Egy sarkakon forduló, háromfokos lépcsőn lehetett bejutni a fülkébe a hátsó ajtón, amelyet éjszakára jól elzártak a zárak és reteszek.	Chỗ lên xuống có ba bực, xoay bằng bản lề, và nằm sau cái cửa có lỗ thông gió, dùng để bước vào lều.
Ez a fölirat, a gondviselés jóságából elmosódván és eltörlődvén, szerencsére olvashatatlan lett, mert kétséges, hogy az aranynak ez a rejtélyes és mégis átlátszó filozófiája izlésére lett volna-e a sheriffek, rendőrök, marsallok és a törvény más parókaviselöinek.	Ghi tích này, bị mưa gió và từ tâm của thượng đế gạch xóa may sao lại không đọc ra, vì rất có thể là, vừa bí hiểm vừa trong sáng, cái triết lý vàng bị hít thở này không hợp với khẩu vị các ngài quận trưởng, thị trưởng, tỉnh trưởng, và các ngài đội tóc giả của luật pháp.
Az angol törvényhozás ebben az időben nem komédiázott.	Pháp chế nước Anh thời bấy giờ không ưa đùa bỡn.
A hütlenséget könnyen kimondták.	Người ta dễ dàng phản bội lắm.
A tisztviselők hagyományosan irgalmatlanok voltak és a kegyetlenség megrögzött szokás volt.	Các pháp quan tỏ ra hung dữ vì tryền thống, và tàn bạo lại là thói quen.
Jeffreysnek utódai maradtak.	Jepfrê đã sinh con đẻ cái.
III.	III.
A fülke belsejében két másik fölirat volt.	Trong chòi còn hai ghi tích khác.
A láda fölött, a meszes, vizzel lemosott válaszfal deszkáin, tintával és szabadkézzel irva, ez volt olvasható:	Phía trên cái hòm gỗ, trên mặt ván quét vôi, người ta đọc được những dòng dưới đây, viết tay và bằng mực:
A vicomte koronát visel számtalan gyönggyel, a gróf koronáján gyöngyök váltakoznak vala­mi­vel alacsonyabb eperlevelekkel; a marquis egyenlő magasságu leveleket és gyöngygombo­kat; a herceg virágdiszitményt gyöngyök nélkül; a királyi herceg egy abroncsot keresztekből és liliomokból; a walesi herceg a királyéhoz hasonló koronát visel, de nem zártat.	"Miện của tử tước, số ngọc không hạn chế, miện của bá tước, ngọc nạm trên những đầu trâm xen lẫn với lá dâu thấp hơn; miện của hầu tước, ngọc và lá cao bằng nhau; miện của công tước toàn hoa không ngọc; vương công tước đội một vành thánh giá và hoa huệ; miện hoàng tử xử Galơ giống miện nhà vua, nhưng không khép kín.
A pairek kamarát és udvart alkotnak, concilium et curia, törvényhozás és igazságszolgáltatás.	"Các nguyên lão vừa là nghị viện vừa là pháp viện, con ciliumet curia, cơ quan lập pháp và toà án.
"Most honourable" több, mint "right honourable".	"Tối tôn kính" hơn hẳn "rất tôn kính".
A községek képviselői, vagyis a nép, akiket a lordok sorompója elé idéznek, alázatosan, fedetlen fővel jelennek meg a lordok előtt, akik kalapban ülnek.	"Các công xã, là nhân dân, khi bị đòi ra toà án huân tước, phải khúm núm trình diện, đầu trần, trước mặt các vị nguyên lão vẫn đội mũ miện.
A képviselők billjeit negyven tagból álló küldöttség háromszoros, mély meghajlással mutatja be a lordoknak.	"Các công xã đệ trình dự án lên các huân tước do hơn mươi uỷ viên tiến dâng, sau khi cúi chào sát đất ba lần.
Egy lordot, aki egyszerüen megöl egy embert, nem üldöznek.	Một huân tước giết người giản đơn không bị truy tố.
A bárók egyenlő rangban állnak az érsekekkel.	"Nam tước ngang hàng với giám mục.
Báró-pair csak az lehet, akit a király per baroniam integrum, egész báróságra emel.	"Để được làm nam tước nguyên lão, phải được nhà vua ban per baroniam integram, nam tước lãnh địa toàn bộ.
A báróság feje, caput baroniae, egy kastély, amelynek öröklési rendje ugyanaz, mint magáé Angliáé; azaz csak fiugyermekek hiányában szállhat leányágra, ez esetben a legidősebb leánynak jut caeteris filiabus aliunde satisfactis.1	"Đứng đầu lãnh địa nam tước, caput baronioe, là một toà lâu đài do cha truyền con nối quản lý, như chính nước Anh; nghĩa là chỉ di chuyển đi cho con gái khi nào không có con trai, và trong trường hợp đó thì dành cho người con gái đầu lòng, coeterisfiliabus ali- unde satisfactis.
A lord valamennyi leánya lady.	"Con gái của huân tước là lady.
A birák gallérja "apró bőrből", de minuto vario, sokfajta kis, fehér prémdarabból készül, kivéve hermelint.	"Đầu lại đội mũ bồ đài bằng da cừu; quan toà đội mũ bồ dài bằng da các loại thú nhỏ, de minuto vario, lông trắng, trừ chồn trắng.
A hermelint a paireknek és a királynak tartják fönn.	Chồn trắng dành riêng cho các nguyên lão và nhà vua.
Legföljebb a Londoni Toronyba.	Trừ trường hợp Tháp Luân Đôn.
Nem méltó a lordhoz, hogy az utcákon köpenyegben, két lakáj kiséretében járjon.	"Huân tước ra đường và mặc áo choàng, với hai kẻ hầu theo sau là không đúng tư cách.
Némely pair négy kerékre alkalmazott széken megy a Westminsterbe.	Một số nguyên lão đến điện Oetminxtơ bằng kiệu nằm có bốn cánh.
E székeket és a cimeres-koronás hintókat csak lordoknak szabad használni és azok méltóságukhoz tartoznak.	Hình dáng loại kiệu và xe song mã có huy hiệu và hình miện này chỉ dành cho các huân tước và đi đôi với tước vị của họ.
Egy lordnak nyolc hordó bora lehet anélkül, hogy adót fizetne utánuk.	"Một huân tước có thể có tám thùng tô-nô rượu vang không phải thuế.
Csupán a lord nem tartozik megjelenni a kerület sheriffje előtt.	"Chỉ có huân tước mới được miễn trình diện trước quận trưởng.
A lordot nem terheli a milicia föntartása.	"Huân tước không thể bị dân quân bắt thuế.
Ha a lordnak ugy tetszik, fölállit egy ezredet és a királynak adja; igy tettek őkegyelmességeik Athol herceg, Hamilton herceg és Northumberland herceg.	"Khi nào thích, một huân tước tuyển bắt một trung đoàn và nộp cho nhà vua; đức quận công Atôn, đức quận công Hamintơn và đức quận công Northơmbơlân đều làm như thế.
Egy báró három káplánt nevez ki; a vicomte négyet; a gróf és a marquis ötöt; a herceg hatot.	Nam tước cử ba mục sư; tử tước, bốn; bá tước và hầu tước, năm; công tước, sáu
A lordot nem lehet kinpadon vallatni, még hazaárulásért sem.	"Huân tước không thể bị tra tấn, dù có phạm tội đại nghịch.
A lord tudós még akkor is, ha nem tud irni.	Huân tước đều đương nhiên biết chữ.
Nyolcvanhat lord vagy azok legidősebb fiai elnökölnek annál az egyenként ötszáz teritékes nyolcvanhat asztalnál, amelyet minden nap megteritenek őfelsége palotájában a királyi székhelyt környező vidék költségén.	"Tám mươi sáu huân tước, hoặc trưởng nam của huân tước, điều khiển tám mươi sáu bàn ăn, mỗi bàn năm trăm suất ăn, để vua ngự hàng ngày trong cung, phí tổn do xứ sở tại có cung nhà vua đài thọ.
A polgárnak, aki megüt egy lordot, levágják a kezét.	"Dân thường nào đánh một huân tước thì bị chặt nắm tay.
A lord majdnem király.	"Huân tước gần nhà vua.
A király majdnem Isten.	"Vua gần như Chúa.
Henri Auverquerquenek, Grantham grófjának, aki a lordok házában a jerseyi és greenwichi grófok között ül, 100.000 font sterling évi jövedelme van.	"Hăngri Ôveckec, bá tước Grantam, trong nghị viện nguyên lão ngồi giữa bá tước Jecxây và bá tước Grinuysơ, có mười vạn livrơ xtecling niên kim.
