A SZAMÁRBŐR	Miếng Da Lừa
Igen, ilyenkor szokták megtenni az utolsó kisérletet azok, akik kudarc esetén nem haboznak agyukba golyót röpiteni.	Cho nên các sòng bạc chỉ tuyệt diệu vào giờ mở cửa.
A játékházak csak a bank megnyitásakor mutatnak valami nagyobbszerüt.	Anh hãy thử liếc mắt thoáng nhìn vào cái vũ đài đó anh hãy vào xem?...
A padolat kopott és piszkos.	Sàn nhà thì mòn, bẩn thỉu.
A hosszukás nagy asztal a terem közepén van.	Giữa buồng kê một chiếc bàn dài hình chữ nhật.
Ide-oda görgetett aranyaktól megkopott zöld posztója és a körös-körül elhelyezett szalmafonatu székek elég furcsán azt látszanak bizonyitani, hogy azok az emberek, kik éppen a fényüzés vágya és a pénzsóvárság miatt rohannak vesztükbe e helyen, legalább itt édes-keveset törődnek a ragyogással.	Những chiếc ghế độn rơm xuềnh xoàng kê sát xung quanh tấm thảm nhẵn mòn vì tiền bạc, nói lên cái điều kỳ quặc là những con người tới đó để chết vì tiền tài và xa hoa lại không thiết tha gì với xa hoa.
Ez a valósággal emberi ellentét a tehetetlenségükben vergődő lelkekben szokott fölmerülni.	Mối mâu thuẫn trong con người đó bộc lộ ra ở khắp nơi nào mà tâm hồn người ta phản ứng mãnh liệt với bản thân.
A szerelmes selyembe-bársonyba szeretné öltöztetni kedvesét és rárakná a Kelet legdrágább patyolatát, bár legtöbbnyire csak valami nyomorultul rozzant nyoszolyán hál vele.	Kẻ si tình muốn đặt tình nương của mình trong tơ lụa, khoác lên mình nàng một tấm vái mịn màng của phương Đông, thế mà thường khi lại ôm ấp nàng trên tấm phản tồi tàn.
A nagyravágyó mindenhatóságról álmodik, bár a megalázkodás pocsolyasarában fetreng.	Gã tham danh ước mơ leo tới chỗ tột cùng của quyền cao chức trọng, thế mà lại xẹp mình trong đống bùn nô lệ.
A kalmár sötét, nyirkos boltjában nyomorog, bár nagyszerü palotát épittet, ahonnan azután fiát, az időelőtti örököst az árverésen testvér-megpörditette dob üzi ki.	Tay lái buôn sống vất vưởng trong xó cửa hàng ẩm thấp nhớp nhơ, thế mà lại rắp mong xây dựng nhà lầu cao rộng để truyền lại cho con trai, nó chưa kịp thừa hưởng thì đã bị tống đi vì một cuộc phát mại giữa anh em.
Különös probléma!… Szakadatlan küzdelmet folytatva önmagával, megcsalva reményeit a jelen gyötrelmeivel, kecsegtetve magát a jövővel, mely nem az övé többé: az ember minden cselekedetére rányomja a következetlenség és gyengeség bélyegét.	Con người luôn luôn mâu thuẫn với mình, lấy những đau khổ trước mắt để đánh lừa những hy vọng mai sau, và xoa dịu những đau khổ hiện tại bằng một tương lai không thuộc quyền mình, mọi hành động của họ đều mang dấu ấn của tính không nhất trí và nhu nhược.
Nincs is egyéb tökéletes ezen a világon, mint maga a szenvedés… Mikor a fiatal ember a terembe lépett, már voltak néhányan az asztal körül.	Dưới trần gian này không gì trọn vẹn hơn là sự khổ hạnh.
Három tarkóig kopasz öreg ember ült közömbösen a zöld posztótakaró mellett.	Lúc chàng trai bước vào sòng thì đã có một số khách chơi ở đó rồi.
Hideg, érzéketlen arcuk merev volt, mint a diplomatáké és elárulta, hogy ez a három összezsugorodott, megkérgesedett sziv réges-régen eltanult már hevesebben dobogni és akkor sem verne lázasabban, ha az asszony féltve dugdosott pénzecskéje volna feltéve az utolsó kártyára.	Ba ông già đầu hói uể oải ngồi quanh tấm thảm xanh, mặt họ như đúc bằng thạch cao, thản nhiên như mặt các nhà ngoại giao, để lộ ra những tâm hồn chán chường, những quả tim đã từ lâu không còn thổn thức, ngay cả khi đem tố tài sản riêng của một phụ nữ.
Az asztalvégre könyökölve egy olajbarnaképü, feketefürtü fiatal olasz várta azt a bizonyos sugallatot, mely olykor-olykor olyan végzetes tanácsot ad a habozó játékosnak: "Igen!	Một thanh niên người Ý, tóc đen, sắc mặt xanh xao, bình thản ngồi tựa khuỷu tay vào đầu bàn, và dường như đang nghe tiếng của linh tính thầm bảo bất cứ một tay chơi nào: "Trúng đấy!
Hét-nyolc bámész szemlélődő leste a látványosságot, mit majd a vakeset, a résztvevők arca és az ide-oda gereblyézett aranyhalmok fognak nyujtani nekik.	Bảy tám người chầu rìa, đứng thành một nhóm, chờ xem những cảnh rủi may, những bộ mặt khách chơi, tiền bạc qua lại và những chiếc cào đưa đẩy.
Ez a renyhe népség még lélegzetét is visszafojtva, némán, mozdulatlanul ugy állott az asztal körül, mint kivégzéskor a csőcselék a Grève-téren, mikor a hóhér már munkára készül.	Bọn vô công rồi nghề đứng đó, im lặng, không nhúc nhích, chăm chú như quần chúng ở pháp trường Grève khi gã đao phủ chặt đầu người.
Egy viseltes ruhába öltözött hórihorgas, szikár férfiu egyik kezében rovátkolt papirlapot, másikban pedig valami gombostüfélét tartott, hogy a rouge és noire tételeit jegyezze.	Một người cao lớn khô khan, mặc chiếc áo sờn rách, tay này cầm quyển sổ, tay kia chiếc kim găm để ghi những tiếng bạc đỏ đen.
Egyike volt Tantalus modern ivadékainak, kik tőszomszédjában élnek e század minden élveinek anélkül, hogy valójában belemerülhetnének, egyike ama zsugoriknak, kiknek egy garasuk sincsen, kik képzelt tételekre játszanak és minden dőreségük mellett is valóságos vigaszt találnak nagy nyomoruságuk közepette bohó agyrémeikkel való kacérkodásaikban s végre is olyanformán fogják föl a bünt és veszedelmet, mint a fiatal, még ki nem ábrándult papocskák az urvacsorát, mikor misét mondanak.	Đó là một trong những Tantale thời nay sống ngoài lề mọi lạc thú của thời đại, một tên hà tiện kiết xác đánh một nước bạc tưởng tượng; một hạng người điên biết điều ôm ấp một mối ảo tưởng để xoa dịu những nỗi cực khổ của mình, rút cục là để đối phó với thói hư và tệ nạn như những thày tu trẻ tuổi ban rượu và bánh thánh trong buổi lễ sớm.
Egy-két vén tapasztalt kártyás ácsorgott még az asztal közelében, kik járatosak lévén dus tapasztalataiknak utána a szerencse forgandóságában, olyan rettenthetetlen arccal készültek a játékhoz, mint a börtönviselt rabok, kiket nem rémit el már a gálya sem és három tételt szándékoztak megkockáztatni, azzal az erős elhatározással, hogy a valószinü nyereség esetére tüstént odább állanak, az lévén a kenyérrevaló.	Trước mặt người cầm cái, một hai tay lõi nghề cờ bạc, sành sỏi nước bài, và giống như những người tù khổ sai kỳ cựu không còn sợ khổ hình, tới đó đánh vài tiếng bạc ăn chắc và cuốn gói tức thì với số tiền được để sinh sống.
A két öreg pincér összefont karral, közönyösen sétálgatott föl-alá a teremben; csak olykor-olykor léptek közelebb a kertre nyiló ablakok valamelyikéhez, hogy fakó arcaikkal cégérül szolgáljanak az alant járókelőknek.	Hai tay hầu phòng già khoanh tay lượn lờ đi lại thỉnh thoảng lại nhìn qua cửa sổ xuống vườn, như để giơ bộ mặt bèn bẹt ra với khách qua đường, thay thế cho biển hàng.
A kártyaosztó és a bankár rideg, fagyos tekintete végigsiklott a játékosokon és a szavuk nyersen hangzott, mikor azt mondták:	Tay cầm cái và tay hồ lỳ vừa quắc con mắt trắng dã giết người nhìn mấy người đặt nước, và the thé kêu lên: "Đặt tiền đi!"
Odabenn még mélyebb lett a csönd és valamennyien kiváncsi érdeklődéssel fordultak a belépő felé.	Bắt đầu không khí yên lặng như lắng thêm xuống, mọi người quay đầu tò mò nhìn kẻ mới tới.
Nagyon szerencsétlennek kell lennie, hogy szánalmat, és nagyon gyengének, hogy részvétet gerjesszen valaki e fonnyadt szivekben, s mindenekfölött gyászosan komor legyen az az arc, mely meg tudja döbbenteni a lelkeket e teremben, hol minden bánat, minden fájdalom elnémul, hol csak a züllöttség akasztófahumora nevet.	Phải chăng là phải đau khổ đến thế nào mới làm mủi lòng người ta được, phải yếu đuối đến thế nào mới gây được cảm tình hay phải có vẻ thảm hại đến thế nào mới làm rợn được những tâm hồn ở trong gian phòng đó, nơi mà dù đau đớn vẫn phải câm lặng, dù cơ cực vẫn phải vui vẻ, dù tuyệt vọng vẫn phải đàng hoàng.
És azokat a kérges sziveket mégis elfogta valami megindultság, mikor a fiatal ember a terembe lépett.	Vậy thì, đã có tất cả những thứ đó trong cái cảm giác mới làm rung động những quả tim nguội lạnh kia khi chàng trai bước vào.
De hiszen még a bakó arcán is végiggördült olykor-olykor egy-egy nehéz könnycsepp, mikor a rémuralom intésére bájos szőke leányfejecskék hullottak a nyakvágó véres kosarába!…	Nhưng phải đâu những tay đao phủ lại không đôi lần rỏ nước mắt khóc những trinh nữ khi cái đầu tóc hung vàng rơi xuống theo lệnh của Cách mạng?
Mintha bágyadt, talán élvhajhász gyönyörökben kimerült szeméből fel-feltört volna néha az elburkolt lángész egy-egy sugara.	Chút thiên tài thầm kín ánh lên trong đáy cặp mắt anh bị mờ đi có lẽ do mệt mỏi vì hành lạc.
Talán a mértéktelen tobzódás ütötte piszkos pecsétjét e hajdan tiszta, ragyogó nemes vonásokra és az vetkőztette ki eredeti formájából?	Phải chăng trác táng đã ghi dấu nhơ nhớp trên bộ mặt tao nhã đó, xưa kia trong trắng và nồng nhiệt, giờ đây tàn tạ?
A szemét övező sárgás gyürüket és az orcáin égő két lázas piros foltot az orvosok bizonyára lappangó szivbajnak vagy tüdőgyengeségnek tulajdonitották volna, a költők pedig a sóvár tudományszomj és a könyvek fölött való virrasztás eredményét igyekeztek volna magyarázni belőle.	Các thầy thuốc chắc có lẽ sẽ quy cho bệnh đau tim hay đau ngực đã làm đôi mắt anh có quầng vàng, và má anh ửng đỏ, còn như khách văn chương thì muốn xem như đó là vết tích tàn phá của khoa học, dấu hiệu của những đêm cần cù bên ngọn đèn khuya.
Hanem ez arcot a betegségnél is halálosabb szenvedély dulta föl és a tudományszomjnál és minden elmebeli erőfeszitésnél emésztőbb kórság ernyeszté el ez erősnek alkotott idegeket, melyeket a tivornyák, testi betegség és tanulás csak nagyon kevéssé viseltek meg.	Nhưng một dục vọng giết người mạnh hơn là bệnh hoạn, một căn bệnh tai hại hơn là siêng học và thiên tài, đã làm tàn tạ chiếc đầu xanh kia, đã làm chùng lại những gân cốt cứng cáp kia, đã thắt nghẹt trái tim kia mà những cuộc hành lạc, học tập và bệnh hoạn chỉ vừa mới sơ qua chạm tới.
Mint mikor valami hirhedt gonosztevő kerül a bagnóba, kit a másodrendü cinkosok valóságos tisztelettel fogadnak, ugy fogadták most ez emberi bőrbe bujt, minden gyötrelem látására megedzett szivü démonok ezt a komorképü jövevényt, az arcára kövült néma gunyorosság felsőbbségéről és ruháinak előkelő nyomoruságáról egyszeriben felismerve benne természetes fejedelmüket.	Cũng như một tên tội phạm trứ danh khi bước vào đề lao thì được các phạm nhân kính cẩn tiếp đón, ở đây tất cả những quỷ sứ đội lốt người kia, lão luyện về những khổ hình, chào đón cái niềm đau khổ khôn xiết, cái vết thương sâu mà họ dò xem bằng con mắt, và nhận ra ở chàng trai một ông hoàng của họ qua vẻ oai nghiêm của niềm chua chát âm thầm, qua vẻ xác xơ thanh lịch của bộ áo quần.
Frakkjának finomsága és kitünő szabása ellen nem eshetett kifogás, hanem a nyakkendője megkötésének módja, mely nagy gonddal töltött be minden hézagot, mely a mellény kivágásában üresen is maradhatott volna, azt látszott elárulni, hogy inge, legalább frissen váltott inge nincsen.	Chàng trai mặc chiếc áo chẽn quả thật là thanh nhã, nhưng chiếc cà-vạt được nối liền với áo gilet một cách quá ư khéo léo đến mức người ta đoán chừng chàng thiếu áo lót mình.
Ha még a kártyaosztó és a két öreg pincér is megdöbbentek láttára, csakis az ártatlanság mindenkit megbüvölő bája lehetett rájuk ilyetén hatással, mely e sugár, deli alakról és a természetes csigákba göndörült szőke fürtös szép fejről tükröződött.	Nếu tay cầm cái và cả mấy gã phục vụ cũng phải rợn mình, thì là vì vết tích của những niềm hoan hỉ tuổi ngây thơ còn đọng khá nhiều trong tấm hình hài mảnh dẻ và thanh tú, trong mớ tóc hung vàng thưa và uốn quăn một cách tự nhiên.
Alig volt huszonöt esztendős s merő véletlenség vezethette csupán a feslettség utjára.	Trông mặt mới chừng hăm lăm, thói hư lộ ra chỉ như một sự ngẫu nhiên.
Ifju életereje még meg tudott küzdeni az érzékiség romboló hatalmával.	Tuổi xuân tươi xanh ở đó đang còn vật lộn với những phá phách của thời dâm ô bất lực.
A sötétség és a fény, az enyészet és az életerő tusakodtak ez arcon, a kellem és az iszony érzését keltve föl a szemlélőben egyazon pillanatban.	Bóng tối và ánh sáng, hư không và tồn tại ở đó đang còn xung đột để nẩy sinh ra cái duyên dáng lẫn cái kinh hồn.
Olyan volt, mint egy tévutra lépett angyal a dicsfénye nélkül; és ez elvetemült gézenguzok – mint a vén, fogatlan szipirtyó a bün ösvényére lépő viruló leánynak, ha megesett rajta a szive – szerettek volna odakiáltani neki: "Menjen innen!"	Vì vậy tất cả các bậc tôn sư sành sỏi về thói hư và tật xấu kia, giống như một mụ già móm mém, mủi lòng vì thấy cảnh một cô gái mỹ miều hiến thân vào nơi trụy lạc, đều muốn thét bảo gã trai tân: "Ra đi!"
Oly érdekesnek igérkezett a következő jelenet, hogy a kopasztarkóju aggastyánok bele sem elegyedtek a játékba; hanem az olasz, kit a szenvedély hevében meglepett az a bizonyos biztató sugallat, az előtte heverő egész aranyhalmot az ellenkező szinre tette.	Tiếng bạc có ý nghĩa trọng đại đến nỗi mấy ông già chẳng đặt tiền nữa; nhưng anh chàng người Ý do thói máu mê chợt nảy ra một ý kiến tưởng như vận may đã tới, liền vơ hết đồng tiền của mình đặt sang phía bên kia ngược với nước bài của chàng lạ mặt.
– Le jeu est fait!	- Mở này!".
– Rien ne va plus! A kártyaosztó felvetette a lapokat és látszott rajta, hogy az ujon érkezettnek kiván szerencsét, nem törődve a többiek veszteségével vagy nyereségével.	Tay cầm cái xòe bài ra, và, xưa nay vốn dửng dưng với chuyện ăn thua của khách đỏ đen, ấy thế mà lần này dường như hắn lại cầu may cho chàng mới đến.
Minden szem a végzetes kártyalapokra volt szegezve, mert valamennyien fölismerték, hogy a fiatal élet és ez aranydarab között valami mély drámai összefüggés van; a kártyalapokból koronkint az ifju arcára tévedt tekintetek, ki nyugodtan, szemhunyoritás nélkül állotta ki a fürkésző pillantásokat.	Mỗi người đến xem những mong được mục kích một tấn kịch và màn chót của một cuộc đời cao quý qua số phận đồng tiền vàng kia; mắt họ sáng quắc lên dán vào những quân bài định mệnh; tuy nhiên mặc dầu họ chăm chú hết nhìn chàng trai lại nhìn xuống những quân bài, họ cũng chẳng bắt gặp một triệu chứng xúc động nào trên bộ mặt lạnh lùng và nhẫn nhục của chàng.
Az aranydarab megpendült, mikor az elefántcsontszerszám hozzáütődött, majd nyilsebesen ragadta magával a bankár előtt heverő aranyhalomhoz.	Lưỡi cào bằng ngà va vào đồng tiền đánh cạch một cái, còn đồng tiền thì, nhanh như tên, đến nhập cục với đồng tiền bày ra trước két bạc.
Az ismeretlen szempillái lecsukódtak és ajka elfehéredett, majd ujra felpillantott, szép metszésü szája visszanyerte korallpiros szinét s angolosan hidegvérü arcot öltve, mint aki előtt az életnek nincsen többé ugysem már becse, eltávozott, anélkül, hogy fölsirt volna szemében az a szivszakitó, kétségbeesett pillantás, mit visszavonhatatlanul tönkrement játékosok szoktak a közönségre vetni.	Chàng lạ mặt khẽ nhắm mắt lại, môi trắng bệch; nhưng thoắt cái, anh lại mở mắt, miệng lại đỏ lên như san hô, anh ta làm ra điệu một người Anh chẳng lạ gì cuộc đời, và tan biến mất chẳng van xin ai một sự an ủi bằng những con mắt đau xót mà những con bạc tuyệt vọng thường đưa về phía hàng người xem.
Mennyi esemény egy rövidke másodpercben, mennyi minden egy kártyavetésben!	Biết bao nhiêu biến cố dồn dập trong khoảnh khắc và bao nhiêu chuyện qua một tiếng bài!
– Alighanem az utolsó töltést puffantotta el, – mondta mosolyogva a croupier némi beállott csend után, miközben hüvelyk- és mutatóujja közé fogva felmutatta az aranydarabot.	- Đây hẳn là viên đạn cuối cùng của anh chàng, - gã hồ lỳ nói sau một lúc im lặng và tay hắn cầm đồng tiền giữa ngón cái và ngón trỏ giơ cho mọi người xem.
Valami elkeseredett hóbortos fickó lehet, aki tüstént nekimegy a viznek, – jegyezte meg valamelyik törzsvendég a játszók felé fordulva, kik mindannyian ismerték már egymást.	- Thằng cha đó cuồng, hắn sẽ nhảy xuống sông cho mà xem, - một khách quen vừa đáp vừa nhìn quanh lượt khách chơi, những người đã từng quen biết nhau.
– Mi gondunk rá!	- Giá ta theo ông kia!
– mondta az egyik pincér, csippentve egyet a tubákos szelencéből.	- Một ông già trỏ vào anh chàng người Ý mà nói với mấy tay đồng bọn.
Kaján szemekkel méregették valamennyien a szerencsés nyerőt, kinek reszkettek a kezei, mikor a pénzét olvasgatta.	Mọi người đều nhìn anh chàng vận đỏ, hai tay anh ta vừa đếm tiền vừa run.
Sietett magyarázattal szolgálni:	- Tớ nghe thấy, - anh ta nói, - như có ai thét vào tai!
– Valami belső sugallat azt mondta, hogy a szerencse nem fog kedvezni ennek a kétségbeesett teremtésnek.	- Thần tài sẽ trị mối tuyệt vọng của anh chàng.
– Aki különben sem lehet valódi kártyás, – vélekedett a bankár, különben háromszorra tette volna föl a pénzét, hogy valószinübb legyen a reménysége.	- Hắn chẳng phải là một tay chơi, - gã hồ lỳ lại nói, - nếu không thì hắn đã đặt tiền vào ba mặt mà đánh cho chắc ăn hơn.
Odalenn valami uj gondolattól megkapatva elment a Saint-Honoré utcáig, majd a Tuileriák felé tartva, lassu, támolygó léptekkel haladt át a kerten.	Chẳng mấy lúc anh đã ở đường hành lang khu Hoàng cung, anh đi đến tận phố Saint-Honoré, hướng về công viên Tuileries và chân bước ngập ngừng qua khu vườn.
Ugy lépdelt, mintha sivatagban járkált volna s észre sem vette, hogy a járókelők lépten-nyomon félretaszigálják; nem látott és nem hallott semmit, még a hangos utcai zsibongást sem, mert mindent túldörgött lelkében a halál kérlelhetetlen szava; olyan tompa lelki zsibbadtság fogta el, mint a halálra itélt bünösöket, kiket az igazságügyi palotából kordélyon visznek a Grčve-tér vérpadára, mit annyi kiontott vér festett vörösre 1793 óta.	Anh đi như giữa bãi sa mạc, sát cánh với những người mà anh chẳng nhìn thấy, qua những tiếng ồn ào của dân chúng chỉ nghe thấy một tiếng, tiếng của thần chết; nghĩa là anh đắm đuối trong một cuộc suy nghĩ làm thẫn thờ cả người, chẳng khác gì những tội nhân xưa kia do một chiếc xe bò dẫn từ Tòa án ra tới Grève, cái nơi pháp trường đã từng nhuốm hết máu đỏ ra từ năm 1793.
Van valami nagy, valami megrázó az öngyilkosságban.	Trong việc tự sát có cái gì vừa vĩ đại vừa kinh khủng.
Egy tömeg ember bukása nem veszedelmes, mert mint a gyermekek, azok sem zuhannak le olyan magasról, hogy belepusztuljanak; de mikor egy bukik, annak már ugyancsak magasról kell hanyatt-homlok lezuhannia, hol talán meg is pillantotta már az elérhetetlen üdvösséget.	Vô số kẻ khuỵu xuống mà không nguy hiểm cũng như những đứa trẻ ngã từ chỗ thấp khó mà bị thương; nhưng khi đã là một vĩ nhân tự hủy hoại, ông ta hẳn phải đứng từ chỗ thật cao, đã phải leo lên tới tận mây xanh, đã hé nhìn thấy nơi cực lạc cấm địa nào.
Szörnyü kegyetlen háboruságnak kell dulnia keblünkben, ha lelki nyugalmunk egyedüli biztositékát már csak egy végső pisztolydurranásban véljük feltalálni.	Phải là những cơn giông tố đầy trời đến thế nào mới buộc ông ta phải nhờ họng một khẩu súng ngắn đem lại yên tĩnh cho tâm hồn.
Egyedül Isten a megmondhatója, mennyi lelki küzdelem, mennyi kiábrándulás, mennyi kétségbeesett könny és keserü kifakadás, füstbement terv és félbemaradt remekmű esik közbül az uton, mely a bizakodó szivvel Párisba ösztökélt ifjut végre is az önkéntes halál fagyos révébe vezeti.	Giữa việc quyên sinh và niềm hy vọng tràn trề đã kêu gọi một thanh niên tới Paris, chỉ duy Trời biết đã có bao nhiêu tư tưởng va chạm, bao nhiêu thơ văn bị bỏ rơi, bao nhiêu thất vọng và tiếng kêu nghẹn ngào, bao nhiêu mưu toan vô hiệu và bao nhiêu kiệt tác bị sa sẩy.
