CHARLES DICKENS	CHARLES DICKENS
Mikor a templom megint a helyén állt - mert az az ember olyan gyors és olyan erős volt, hogy megbukfenceztette előttem a templomot úgy, hogy a tanyát a lábam alatt láttam -, mondom, mikor a templom megint a helyén állt, egy magas sírkövön ültem remegve, az az ember pedig mohón falta a kenyeremet.	Khi nhà thờ trở lại đúng như cũ - bởi kẻ này ra tay đột ngột và mạnh đến mức ông ta làm ngôi nhà thờ bỗng dưng lộn ngược trước mắt tôi, vậy là tôi trông thấy tháp chuông ở tận dưới chân mình - ý tôi là khi nhà thờ trở lại đúng như cũ trong mắt mình, tôi bị đặt ngồi lên một tấm bia mộ cao nghêu, cả người run bần bật trong khi ông ta ngấu nghiến ăn mẩu bánh mì.
- Te kutyakölyök - szólt, az ajkát nyaldosva -, milyen kövér a pofád.	"Thằng chó con," ông ta vừa nói vừa liếm môi, "mày có hai má phúng phính quá nhỉ."
Azt hiszem, az arcom csakugyan kövér volt, bár akkoriban a rendesnél kisebb voltam koromhoz képest és gyönge voltam.	Tôi tin là hai má mình phúng phính, cho dù lúc ấy tôi còi hơn so với tuổi, và chẳng khỏe mạnh gì.
- Vigyen el az ördög, ha fő nem tudnálak falni - szólt az ember és közben fenyegetően rázta a fejét -, nagy kedvem vóna hozzá!	"Quỷ bắt tao đi nếu tao không chén được chúng," người đàn ông nói, kèm theo một cái lắc đầu đe dọa, "mà tao cũng muốn thế lắm rồi đấy!"
A legkomolyabban azt mondtam erre: remélem, hogy nem fog felfalni és a sírkőbe, amelyre ráültetett, erősebben belefogóztam, egyrészt azért, hogy le ne forduljak róla, másrészt pedig azért, hogy elfojtsam a sírásomat.	Tôi thiết tha bày tỏ hy vọng ông ta sẽ không làm vậy, rồi bấu chặt hơn lấy tấm bia mộ ông ta đã đặt tôi ngồi lên; một phần để khỏi bị ngã xuống; một phần để khỏi bật khóc.
- Hol az anyád?	"Mẹ mày đâu?"
Felugrott, futásnak eredt, majd csakhamar megállt és hátratekintett.	Ông ta giật mình, chạy đi vài bước rồi dừng lại ngoái nhìn đằng sau.
- Valamint Georgiána.	"Và cả Georgiana.
Ez az édesanyám.	Đấy là mẹ cháu."
- Ez a másik meg az apád az anyád mellett?	"Còn kia là bố mày nằm cạnh mẹ mày phải không?"
- Az, uram - válaszoltam -; ő is itt van; ennek az egyházközségnek néhai tagja.	"Vâng, thưa ông," tôi nói, "cả bố cháu nữa; con chiên quá cố của giáo khu này."
- Hát akkor hol ész... ha ugyan élve hagylak, mer ez még egyátajján nem bizonyos?	"Vậy mày sống với ai, ấy là nếu mày được nhân từ để cho sống, mà chuyện đó thì tao vẫn chưa quyết đâu?"
- A nénémnél, uram... Gargerynénél... a kovácsnak, Joe Gargery-nek a feleségénél, uram.	"Chị cháu, thưa ông, bà Joe Gargery, vợ của Joe Gargery, người thợ rèn, thưa ông."
- Kovács az ura, kovács?	"Thợ rèn hả?" ông ta nói.
Miután többször letekintett sötéten hol a lábára, hol énrám, közelebb lépett a sírkövemhez, megragadta mind a két karomat, hátrabillentett, amennyire csak tudott, és keményen bele­mélyesztette tekintetét az enyémbe, mialatt az én szemem gyámoltalanul nézett föl az övébe.	Sau khi hết nhìn xuống chân lại nhìn tôi vài lượt với ánh mắt ám muội, người đàn ông tới bên tấm bia tôi đang ngồi, chộp cả hai cánh tay tôi, rồi ngả ngửa tôi ra sau hết tầm tay ông ta; sao cho mắt ông ta nhìn cực kỳ hung hãn vào mắt tôi, còn mắt tôi nhìn cực kỳ vô vọng vào mắt ông ta.
- Ide figyejj - kezdte újra -, mer arrú van szó, élve hagylak-e vagy se.	"Nào nhìn tao đây," ông ta nói, "câu hỏi bây giờ là có nên để mày sống hay không.
Tudod, mi a reszelő?	Mày biết một cái giũa là gì chứ?"
- Tudom, uram.	"Biết, thưa ông."
- És tudod, mi az ennivaló?	"Và mày cũng biết chỗ để đồ ăn chứ?"
- Tudom, uram.	"Biết, thưa ông."
Minden kérdés után egy kicsit még jobban hátrabillentett, mintha még inkább éreztetni akarná velem tehetetlenségemet és a veszedelmet, amelyben forogtam.	Sau mỗi câu hỏi ông ta lại đẩy tôi ngả về phía sau thêm tí nữa, để tôi cảm thấy rõ hơn sự bất lực và tình cảnh nguy hiểm của mình.
- Mer külöm­ben kitépem a szivedet meg a májadat. - Megint hátrabillentett.	"Không thì tao móc tim moi gan mày ra." Ông ta lại đẩy tôi thêm một lần.
Nagyon megrázott és úgy hátranyomott, hogy a templom keresztülbukfencezett a saját szél­kakasán.	Ông ta tóm lấy tôi dốc lộn ngược xuống nhanh chóng mặt, làm nhà thờ đột nhiên nhảy lên ngồi chồm hỗm lên cái chong chóng gió vốn nằm trên nóc.
Azután megfogta a két karomat, fölültetett a sírkő tetejére és a következő rettenetes dolgokat közölte velem:	Rồi ông ta giữ lấy hai cánh tay tôi để tôi đứng thẳng người trên đỉnh tấm bia, và nói tiếp những lời thật khủng khiếp.
- Hónap korán reggee eehozod nekem a reszelőt meg az ennivalót.	"Sáng sớm mai, mày phải mang đến cho tao cái giũa và đồ ăn.
De ha nem fogacc szót, vagy ha csak egy hajszányira is eetérsz a szavaimtú, akkor kitépik a szívedet meg a májadat, kitépik, megsütik és megeszik.	Không làm được, hay làm sai lời tao, dù chỉ một li một lai, tao sẽ moi tim móc gan mày ra, nướng lên và chén sạch.
Mer én nem egyedű vagyok ám, ha talán azt hiszed is.	Nói luôn để mày biết, tao không chỉ có một mình như mày có khi đang nghĩ đâu.
Velem van elbujva egy fiatalember is, akihö képpest én angyaa vagyok.	Có một thằng bạn trẻ hơn trốn cùng tao, và so với hắn tao còn là thiên thần cơ đấy.
Ez a fiatalember hajja minden szavamat.	Thằng bạn này nghe thấy những gì tao nói.
Ez a fiatalember hozzá tud férni titokba minden kisfiúho, hozzá tud férni a szivéhö meg a májáho.	Thằng bạn trẻ này có một cách bí mật chỉ mình nó biết để tìm đến một thằng nhóc con, đến quả tim và lá gan của thằng nhóc con đó.
A kisfiú hiába próbána elbujni ez elül a fiatalember elül.	Một thằng nhóc tìm cách trốn gã thanh niên đó thì chỉ phí công thôi.
Bezárhattya az ajtaját, belefekhet a meleg ágyába, jó betakarózhat, akár a fejire is húzhattya a takaróját és azt hiheti, hogy kényeemes, biztos hejre bújt: ez a fiatalember szép csendesen mégis be fog surranni hozzá és szét­marcangója a kisfiut.	Thằng nhóc con có thể khóa cửa, có thể nằm im trên giường ấm áp, có thể rúc vào dưới chăn, có thể kéo áo lên trùm đầu, có thể nghĩ nó đang thoải mái và an toàn, nhưng thằng bạn trẻ của tao sẽ nhẹ nhàng rón rén tìm được tới chỗ thằng nhóc con và mổ phanh bụng nó ra.
Most is alig bírom visszatartani ezt a fiatalembert, hogy ne báncson.	Ngay lúc này đây tao đang cố ngăn để hắn đừng làm hại mày, khó cực kỳ đấy.
Nagy fáraccságomba kerű rábírni aara, hogy ne báncsa a beleidet.	Tao thấy thật khó giữ hắn tránh xa tim gan mày ra.
No, mit szósz hozzá?	Giờ mày nói sao nào?"
Kijelentettem, hogy megszerzem neki a reszelőt és szerzek maradékételt amennyit csak tudok és fölkeresem őt korán reggel az ütegsáncon.	Tôi nói tôi sẽ mang cho ông ta giũa, và tôi sẽ mang cho ông ta tất cả thức ăn vụn tìm được, và sẽ tới gặp ông ta ở chỗ pháo đài cũ vào lúc sáng sớm.
Utánamondtam; erre aztán letett a földre.	Tôi thề, vậy là ông ta hạ tôi xuống đất.
- Most penig - folytatta -, ne felejcsd ee, mire vállalkoztá, ne felejcsd ee a fiatalembert, és ereggy haza!	"Bây giờ," ông ta nói tiếp, "hãy nhớ những gì mày đã thề, hãy nhớ thằng bạn trẻ của tao, và xéo về nhà đi!"
- Jó-ó éccakát, uram -, szóltam hebegve.	"Chúc ông buổi tối tốt lành ạ," tôi lắp ba lắp bắp.
- Legszívesebben béka lennék.	"Tao ước gì tao là một con ếch.
Vagy ángolna!	Hay một con lươn!"
Ugyanekkor átölelte didergő testét mind a két karjával, mintha attól félne, hogy darabokra málik, és megindult bicegve az alacsony templomfal felé.	Cùng lúc, ông ta đưa cả hai cánh tay quàng quanh thân hình đang run bần bật của mình - ghì chặt, như thể để giữ cho cả người khỏi bung ra - rồi tập tễnh lê bước về phía bức tường thấp quanh khuôn viên nhà thờ.
Amint elnéztem, hogyan keresgéli az utat a zöld töltések mentén a sok csalán és tüskebokor között, fiatal szememnek úgy rémlett, mintha kikerülni iparkodnék a halottak kezeit, amelyeket óvatosan kinyujtottak sírjukból, hogy bokán ragadják és lehúzzák őt magukhoz.	Khi tôi nhìn ông ta bỏ đi, len lỏi giữa những bụi tầm ma và những cây mâm xôi mọc viền quanh các nấm mộ màu xanh lục, trong đôi mắt trẻ thơ của tôi, ông ta như thể đang cố né tránh bàn tay của những người đã khuất đang từ từ thò ra từ huyệt mộ để tóm lấy cổ chân ông ta, lôi ông ta xuống mồ.
Mikor eljutott az alacsony templomfalhoz, zsibbadt-meredtlábu ember módjára átvergődött rajta, aztán hátrafordult, hogy utánam nézzen.	Khi người đàn ông tới chỗ bức tường thấp, ông ta leo qua tường, bộ dạng như một người có đôi chân đã tê dại cứng đờ, rồi ngoảnh lại tìm kiếm tôi.
Mikor láttam, hogy megfordul, én is meg­fordultam, hazafelé, és egy csöppet se kíméltem a két lábamat.	Khi thấy ông ta quay người, tôi liền ngoảnh mặt nhìn về phía nhà mình, rồi co cẳng chạy thật nhanh.
De csakhamar hátratekintettem és láttam, hogy továbbmegy a folyó felé, még mindig átölelve magát mind a két karjával, és az utat keresgélve sebes lábaival a nagy kövek között, ame­lyeket azért helyeztek el itt is, ott is, az emberek a lápvidéken, hogy nagy esőzések vagy a dagály idején legyen hol megvetni a lábukat.	Nhưng rồi tôi ngoái lại thì thấy ông ta đã tiếp tục đi về phía con sông, hai cánh tay vẫn ôm chặt quanh người, dò dẫm bước đi trên đôi chân rách tướp qua các tảng đá lớn được ném rải rác xuống đầm lầy làm chỗ đặt chân khi trời mưa to hoặc thủy triều dâng.
Az egyik a világító péce volt, amely a hajósok kormányzását irányította - abroncstalan hordóhoz hasonlított egy pózna tetején - és közelről ugyancsak csúf dolog volt; a másik akasztófa volt, maradék láncdarabokkal, amelyeken valaha egy kalóz lógott.	Bên rìa con sông tôi nhìn suốt tầm mắt chỉ thấy lờ mờ hai thứ màu đen dường như đứng thẳng; một trong hai là cột mốc nơi các thủy thủ bẻ lái - trông giống một cái thùng tô nô bị tháo đai úp trên ngọn sào - một thứ thật xấu xí khi bạn lại gần nó; vật còn lại, một giá bêu xác, lòng thòng mấy sợi xích từng có lúc giữ chặt một gã cướp biển.
Az idegen az akasztófa felé billegett, mintha a kalóz lett volna, aki fölelevenedett, leszállt a földre és most megy vissza, hogy ujra fölakassza magát.	Người đàn ông đang tập tễnh bước đi về phía vật thể thứ hai này, như thể ông ta chính là gã cướp biển vừa sống dậy, xuống khỏi giá và giờ đang quay lại để tự treo cổ mình lên lần nữa.
De aztán ujra nagy ijedelem fogott el, és megállás nélkül hazáig szaladtam.	Nhưng đến lúc này tôi lại thấy phát hoảng, và ba chân bốn cẳng không dám dừng bước chạy một mạch về nhà.
MÁSODIK FEJEZET.	Chương 2
A néném, Gargeryné, több mint húsz esztendővel idősebb volt nálam, s nemcsak a saját véleménye, hanem a szomszédok véleménye szerint is azzal alapozta meg a tekintélyét, hogy engem "csakúgy kézzel"3 nevelt föl.	Chị gái tôi, bà Joe Gargery, hơn tôi đến ngoài hai mươi tuổi, và cũng đã tạo được tiếng tăm kha khá với chính bản thân cũng như xóm giềng vì chị đã nuôi bộ tôi khôn lớn "bằng tay".
Minthogy akkoriban magamnak kellett kitalálnom, mit jelent ez a kifejezés, s minthogy tudtam, hogy a nénémnek kemény és súlyos keze van, amely­nek a súlyát és keménységét gyakran éreztette nemcsak velem, hanem a férjével is, minden­nélfogva arra a föltevésre jutottam, hogy nemcsak én, hanem John Gargery is "csakúgy kézzel" nevelődött föl.	Hồi ấy, vì phải tự tìm hiểu xem cách nói đó có nghĩa là gì, và biết quá rõ bà chị có bàn tay vừa cứng rắn vừa nặng nề; lại thêm thói quen thường xuyên giáng nó xuống ông chồng cũng như tôi, tôi đã đoán chắc cả Joe Gargery lẫn tôi đều được nuôi lớn bằng tay.
A néném nem volt csinos nő, s énnekem az volt az általános benyomásom, hogy Gargeryt bizonyára "kézzel" bírta rá arra, hogy feleségül vegye őt.	Chị tôi chẳng phải là một phụ nữ ưa nhìn gì cho cam; và tôi có một ấn tượng chung chung rằng hẳn chị đã dùng đến tay để buộc Joe Gargery cưới chị.
Joe szőke volt; síma arcába mindkét felén szöszke fürtök lógtak bele, s a szeme kéksége annyira elmosódó volt, hogy szinte beleolvadt a szeme fehérjébe.	Joe là một người đàn ông điển trai, với những lọn tóc lượn sóng màu vàng nâu rủ xuống hai bên khuôn mặt nhẵn nhụi, cùng đôi mắt màu xanh nhạt đến mức dường như hòa lẫn với tròng trắng.
Szelíd, béketűrő, nyájas, kedélyes, bolondos, drága pajtás volt - erős, mint Herkules, de épp olyan gyenge is.	Anh rể tôi là một người hiền lành, tốt bụng, vui tính, dễ dãi và ngô nghê - giống như Hercules cả trong sức mạnh lẫn sự yếu đuối.
Joe kovácsműhelye szomszédos volt a házunkkal, amely faház volt, mint akkoriban a legtöbb lakóház a mi vidékünkön.	Lò rèn của anh Joe nằm kề bên ngôi nhà của chúng tôi, một căn nhà cất bằng gỗ như nhiều căn nhà khác ở quê chúng tôi - vào thời ấy thì hầu hết nhà cửa đều thế cả.
Mikor a temetőből hazaszaladtam, a kovácsműhely zárva volt és Joe odabent ült egyedül a konyhában.	Khi tôi từ nghĩa địa nhà thờ chạy về nhà, lò rèn đã đóng cửa, còn Joe đang ngồi một mình trong bếp.
Minthogy Joe meg én bajtársak voltunk a szenvedésben s ennélfogva bizalommal viseltettünk egymás iránt, Joe most is közölt velem valamit bizal­masan, abban a pillanatban, amikor benyitottam az ajtón és bekukucskáltam rá, amint ott ült szemben az ajtóval, a tűzhely mellett.	Joe và tôi là hai kẻ phải chịu chung cảnh ngộ, và vì đã cùng chia sẻ nhiều tâm sự, anh Joe lập tức chia sẻ một bí mật với tôi ngay khi tôi vừa nhấc then cửa hé nhìn anh đang ngồi ở cạnh lò sưởi, đối diện cửa vào.
- A feleségem tizenkéccer kiszaladt utánad, Pip.	"Bà Joe đã ra ngoài cả tá lần rồi, đi tìm cậu đấy, Pip.
- Igazán?	"Thật thế ạ?"
- Az ám, Pip - mondta Joe -; de ennél sokkal nagyobb baj, hogy magával vitte Csihipuhit is.	"Ừ, Pip," anh Joe nói, "tệ hơn nữa là chị cậu mang theo cả Cây Cù nữa."
Erre a szomorú hírre ide-oda kezdtem forgatni mellényemen az egyetlen gombot és nagyon lehangoltan a tűzbe néztem.	Nghe được tin tức đáng lo ngại này, tôi cứ xoắn mãi cái khuy duy nhất trên áo khoác của mình trong khi cực kỳ ngán ngẩm nhìn chằm chặp vào ngọn lửa.
Csihipuhi a szurkosfonállal körülcsavart nádpálca volt, amelyet símára súrolt már az érintkezés az én puhítani szokott testrészemmel.	Cây Cù là một cây can được chuốt sáp một đầu, đã trở nên nhẵn bóng nhờ những lần va chạm với tấm thân "được cù" của tôi.
- Leült - mondta Joe -, fölállt, fölkapta Csihipuhit és kinyargalt vele.	"Chị cậu uống say bí tỉ," Joe nói, "rồi đứng dậy, rồi vớ lấy Cây Cù, rồi nổi cơn tam bành xông ra ngoài.
Úgy bizony - folytatta Joe, miközben a tüzet nézte és lassan megpiszkálta a rostély alján -, kinyargalt vele, Pip.	Chị cậu đã làm vậy đấy," Joe nói trong khi chậm rãi dùng que cời lửa ra giữa những thanh chắn thấp và nhìn chăm chú vào ngọn lửa, "chị cậu nổi cơn tam bành xông ra ngoài, Pip."
- Nem - szólt Joe, föltekintve a faliórára -, körülbelül öt perce lehet, Pip, hogy legutójára ki­rohant.	"À," Joe nói, ngước mắt nhìn lên cái đồng hồ quả lắc treo tường, "lần cuối cùng, chị cậu nổi cơn tam bành được năm phút rồi, Pip.
Bújj az ajtó mögé, pajtikám, és tarcsd magad elé a törűközőt.	Nấp vào sau cửa đi, anh bạn, và lấy cái khăn cuộn chăng ra giữa cậu và chị cậu."
Megfogadtam a tanácsot.	Tôi làm theo lời khuyên.
A néném, Joe felesége, mikor kitárta az ajtót és akadályt érzett mögötte, nyomban kitalálta, miről van szó és Csihipuhi segítségével folytatta a nyomozást.	Chị tôi, bà Joe, đùng đùng hất cánh cửa mở tung ra, và khi nhận thấy có vật cản đằng sau, chị lập tức đoán ra nguyên cớ rồi lôi Cây Cù ra điều tra cho tường tận hơn.
Befejezésül odahajított Joe-hoz - gyakran fölhasznált hitvestársi hajítódárdának -, Joe pedig, aki megörült, hogy bármi áron hatalmába keríthetett, bedugott a sarokba a háta mögé és nyu­godtan gátat emelt elém nagy lábával.	Bà chị tôi kết thúc bằng việc lẳng tôi về phía Joe - tôi vẫn thường xuyên bị đem ra dùng làm đạn pháo giữa hai vợ chồng anh chị - còn anh rể tôi, người luôn vui vẻ được giữ lấy tôi trong bất cứ điều kiện nào, liền đẩy tôi vào chỗ lò sưởi rồi lặng lẽ đưa cái chân to tướng chắn cho tôi trong đó.
- Csak a temetőben voltam - síránkoztam Joe háta mögött; a tagjaimat dörzsölgetve.	"Em chỉ ra chỗ nghĩa địa nhà thờ thôi," tôi trả lời từ chỗ đang đứng, vừa khóc vừa dụi mắt.
- Én nélkülem rég odakerültél volna már és vissza se jönnél soha többet.	"Nếu không nhờ có tao thì mày đã ra đó từ lâu rồi, và ở luôn ngoài đó.
Ki nevelt föl csakúgy kézzel?	Ai đã nuôi lớn mày bằng tay hả?"
- Te neveltél föl - válaszoltam.	"Chị ạ," tôi nói.
- kiáltott a néném.	Tôi lí nhí, "Em không biết ạ."
- Nem tudom - nyöszörögtem.	"Em không biết!" chị tôi nói.
- Még egyszer meg nem tenném!	Tao biết mấy câu đó lắm.
Gondolataim másfelé terelődtek erről a kérdésről, mialatt vígasztalanul a tűzbe néztem.	Dòng suy nghĩ của tôi lãng xa dần khỏi câu hỏi đó trong lúc tôi rầu rĩ nhìn ngọn lửa.
- szólt Gargeryné, visszaakasztva Csihipuhit a rendes helyére.	"Hừ!" chị Joe thốt lên, để Cây Cù vào lại chỗ cũ.
- Ott, ott, a temetőben!	"Nghĩa địa nhà thờ ư!
Én leszek az, akit nemsokára odajuttattok, és mondhatom, dr-r-ágalátos pár lesz belőletek énnélkülem!	"Các người sẽ đẩy tôi ra nghĩa địa một ngày nào đó thôi, và để rồi xem, các người sẽ là một đôi quýýý hóa ááá thế nào khi không có tôi!"
Minthogy a néném hozzálátott eközben a teásedények rakosgatásához, Joe lekukucskált rám a lábán keresztül, mintha azt latolgatta volna magában, vajjon igazán miféle pár lenne hát belőlünk a megjósolt keserves körülmények között.	Trong lúc chị tôi quay sang pha trà, Joe cúi xuống nhìn tôi dưới chân anh, như thể anh rể tôi đang thầm cân nhắc về cả tôi và anh, rồi tính toán xem kỳ thực chúng tôi sẽ tạo thành một cặp thế nào trong hoàn cảnh đáng phiền muộn vừa được tiên đoán.
Majd amint ott ült a helyén, jobboldali szürke fürtjét és szakállát tapogatva, kék szemével nyomon követte felesége minden mozdu­latát, rendes szokása szerint a viharok idején.	Sau đó, anh ngồi mân mê mấy lọn tóc quăn màu vàng nâu và ria mép bên phải của mình, đôi mắt xanh dõi theo bà Joe, như ông anh rể tôi vẫn thế vào những lúc bão tố nổi lên.
A néném jellegzetes, mindig egyforma módon szokott vajaskenyeret vágni - a számunkra.	Chị gái tôi luôn cắt bánh mì và phết bơ cho chúng tôi theo một cách chặt chẽ, bất di bất dịch.
Először is jókeményen odaszorította balkezével az egész kenyeret a mellénykéjéhez, amelyből hol egy gombostű, hol egy varrótű belefúródott a kenyérbe, hogy később a szájunkba jusson.	Trước tiên, chị dùng bàn tay trái ép chặt ổ bánh mì vào ngực áo tạp dề - ổ bánh nhận được từ đó khi thì một cái đinh ghim, khi thì một cây kim khâu, mấy món này sau đó sẽ chui vào miệng chúng tôi.
Azután vajat vett (nem túlságosan sokat) egy késre és rákente a kenyérre, olyanformán, mint a patikárius szokta a flastromot - bámulatos ügyességgel használva a kés pengéjének mind a két oldalát s letisztogatva és elegyengetve a vajat köröskörül a kenyér héján.	Tiếp theo, chị tôi dùng dao lấy một ít bơ (không nhiều cho lắm) và phết đều lên ổ bánh tỉ mẩn như một ông dược sư chế thuốc, chẳng khác gì đang quét vữa - dùng cả hai bên lưỡi dao một cách cực kỳ thành thạo, trát, miết lớp bơ rải ra khắp mặt bánh.
Majd befejezésül hirtelen végigtörülte a kést a flastrom szélén, azután lefürészelt a kenyérből egy nagyon vastag karéjt, amelyet két részre vágott, mielőtt egészen lekanyarította s az egyik felét Joe-nak adta, a másikat nekem.	Kế nữa, chị tôi đưa dao quệt một đường thật khéo bên rìa lớp vữa, rồi cứa ra một khúc thật dày từ ổ bánh mì: lát bánh này, trước khi rời hẳn ổ bánh, được chị tôi chặt thành hai nửa, Joe một nửa, nửa còn lại phần tôi.
Ezúttal, bár éhes voltam, nem mertem megenni a vajaskenyeremet.	Lúc này, cho dù đang rất đói, tôi cũng không dám ăn miếng bánh của mình.
Éreztem, hogy meg kell őriznem valamit tartalékul félelmes ismerősöm és szövetségestársa, a még félelmesebb fiatalember, számára.	Tôi cảm thấy mình nhất thiết phải có gì đó để dành cho kẻ mới quen đáng sợ kia, cũng như gã đàn ông trẻ còn đáng sợ hơn, đồng bọn của ông ta.
Tudtam, hogy Joe felesége nagyon szigorú aprólékossággal vezeti a háztartását és hogy könnyen megeshet velem, hogy az éléskamrában nem találok majd semmi ellopnivalót.	Tôi biết phong cách quán xuyến nhà cửa của bà Joe thuộc loại chặt chẽ nhất, và biết rằng các cuộc tìm kiếm để ăn cắp của tôi rất có thể sẽ chẳng tìm được gì trong tủ.
Ennélfogva elhatároztam, hogy jókora darab vajaskenyeremet belecsúsztatom a nadrágom szárába.	Vậy là tôi quyết định thả miếng bánh mì phết bơ của mình xuống theo ống quần.
Azt tapasztaltam, hogy tervem végrehajtásához rettenetes elszántságra van szükség.	Nỗ lực cần thiết để đạt được dự định này quả là kinh khủng với tôi.
Mintha arra határoztam volna el magamat, hogy leugrom egy magas ház tetejéről, vagy nagyon mély vízbe vetem bele magam.	Cứ như thể tôi phải quyết định gieo mình xuống từ nóc một ngôi nhà cao ngất, hay nhảy xuống đáy nước sâu thăm thẳm.
És még jobban megnehezítette a dolgot Joe, aki nem tudott semmi­ről sem.	Và anh Joe vô tâm càng làm cho việc này thêm phần khó khăn.
Végül kétségbeesetten beláttam, hogy nem halaszthatom tovább tervem végrehajtását s hogy legjobb lesz, ha tervemet az adott körülmények között a legkevésbé valószínűtlen módon hajtom végre.	Cuối cùng, tôi tuyệt vọng nghĩ mình dứt khoát phải làm điều đã dự định, và tốt nhất nên thực hiện nó theo cách ít bất thường và hợp cảnh nhất.
