ALAIN-FOURNIER	Alain Fournier
Még a nagy szárnyas kaput is tárva-nyitva hagyták maguk mögött...	Tuy thế, ở sân trường vẫn còn vài đám chơi nhảy ngựa.
Amikor már egészen besötétedett, s a közeli tanyán a kutyák éktelen vonyításba kezdtek, s mikor a konyhánk ablaka mögött is kigyúlt a fény, végre rászántam magam, hogy hazamenjek.	Nếu trời tối hẳn, chó ở trại bên cạnh bắt đầu tru lên, và cửa kính nhà bếp nhỏ bé của gia đình tôi sáng ánh đèn, thì tôi về nhà.
Édesanyám már ott tett-vett a tűzhely körül.	Mẹ tôi đã bắt đầu làm bữa ăn chiều.
S ekkor váratlanul betoppant valaki az életembe, s elrabolta tőlem a gyerekkor zavartalan, apró örömeit.	Nhưng một người đã đến lôi tôi ra khỏi tất cả những thú vui ấy của tuổi thơ êm đềm.
Valaki elfújta a gyertyát, amelynek fénye annyiszor hullott anyám drága fejére, amíg a vacsorával bíbelődött.	Người đó thổi tắt ngọn nến vốn chiếu cho tôi nhìn rõ khuôn mặt dịu hiền của mẹ cặm cụi chuẩn bị bữa tối.
Valaki kioltotta a lámpást, mely körül sokáig üldögéltünk esténként, meghitt családi körben, ha már édesapám bezsalúzta az ajtók üveg­szárnyait.	Người đó đã tắt phụt ngọn đèn mà quây quần xung quanh là tất cả chúng tôi - một gia đình hạnh phúc trong đêm, khi cha tôi đã cài các then gò cửa kính lại.
Alighogy Meaulnes odaköltözött hozzánk, tehát december első napjaitól, az iskola egész rendje megváltozott.	Người đó chính là Ôguyxtanh Môn, mà chỉ ít lâu sau các học sinh khác gọi là Môn cao kều.
Meaulnes egy padon ült, lábait lóbázva, s tűnődve hallgatta őket.	Ngồi trên một cái bàn học sinh, vừa đung đưa hai chân, Môn vừa nghĩ ngợi.
A mulatságos részeken ő is elmosolyodott, de csak épp, hogy átvillant ajkán a mosoly, mintha kirobbanó hahotáit valami másra tartogatta volna.	Gặp đoạn chuyện hay, anh cũng cười, nhưng khẽ thôi, như thể anh dành những tiếng cười lớn khoái trá cho câu chuyện hay nhất của mình anh biết.
- Banda, utánam!	- Về thôi - anh kêu kên.
Alig pár nap múlt el, s már én is velük mentem.	Bây giờ, chính tôi đi theo họ.
- Nicsak, a diákok!	"Các sinh viên đấy!"
A mester régi, rozzant kocsma helyén rendezte be műhelyét, és két hatalmas, szárnyas ajtaja mindig tárva-nyitva állt.	Hiệu của bác là một quán trọ cũ, với những cửa ra vào cao rộng, có hai cánh luôn mở toang.
"SOKAT ÁCSOROGTAM EGY KOSÁRFONÓ MŰHELY ELŐTT"	TÔI HAY LUI TỚI MỘT HIỆU BÁN MY TRE ĐAN
Egész nap szakadt az eső, csak estefelé hagyott alább.	Trời mưa suốt ngày, đến tối mới tạnh.
S az órák alatt édesapám, Seurel tanár úr, szinte szünet nélkül kiabált:	Lát lát, chúng tôi lại nghe cha tôi, ông Xơren, kêu to:
- Az ég szerelmére, figyeljenek, fiúk!	- Các trò không được phá bĩnh.
Léniája nagyot koppant az asztalon, hogy végre rendet teremtsen.	- Ai ngày mai sẽ cùng với Phrăngxoa đi xe ra ga đón cụ ông cụ bà Sacpaăngchiê?
Ilyenkor mindig összeverődött köréje néhány gyerek, akik hátukra kulcsolt kézzel, tiszteletteljes kíváncsiskodással figyelték... Charpentier nagyanyó pedig kis töpörödött, kötött fejkendős parasztnéne volt.	Một lũ trẻ chắp tay sau lưng quây lấy ngắm nghía ông một cách tò mò đầy kính trọng... Chúng cũng biết bà Sacpaăngchiê của tôi, bà lão nông dân thấp bé, với cái mũ đan tay, là vì mẹ Mili ít nhất cũng một lần đưa bà đến lớp các học sinh bé nhất.
A gyerekek őt is jól ismerték, mert Millie olykor bevitte magával egy-egy órára, az elsősök közé.	Năm nào chúng tôi cũng ra ga đón ông bà vào chuyến tàu 4 giờ 2 phút, vài hôm trước noel.
Egyetlen esztendő sem múlt el anélkül, hogy néhány nappal karácsony előtt ki ne mentünk volna elébük az állomásra, a négy óra után két perccel érkező vonathoz.	Để đến thăm chúng tôi, ông bà đã đi xuyên qua cả tình, vai vác nặng những balô đầy hạt dẻ và thực phẩm bọc trong mấy cái khăn mặt, quà mừng Thiên Chúa giáng sinh.
Olyan fiúra volt szükség, aki nem fordít bennünket be az árokba, s amellett eléggé edzettnek is kellett lennie, mert Charpentier nagyapó száján bizony könnyen ki-kiszaladt egy-egy káromkodás; nagyanyó pedig órákig tudott egy szuszra beszélni.	Để cùng tôi điều khiển chiếc xe chở ông bà về đây, cần có một người đứng đắn để không ném chúng tôi xuống hố, đồng thời phải bản lĩnh nữa, tại vì ông tôi hay chửi tục, còn bà tôi cũng khá lắm lời.
- A nagy Meaulnes!	- Môn cao kều!
A nagy Meaulnes!	Môn cao kều!
Új hangok csattantak fel:	Số học sinh đó lại hét:
- Akkor Fromentin menjen!	- Phrômăngxtanh!
- Jasmin Delouche!	- Giaxnanh Đơlusơ!
- Én megyek!	- Em!
Szerettem volna, ha Meaulnes jön velem.	Tôi muốn Môn được chọn.
Seurel tanár úr azonban egy pillanat alatt lehűtötte a kedélyeket.	Nhưng ông Xơren giội lên đầu tất cả gáo nước lạnh:
- Csend!	- Rồi!
Egy perc múlva mindnyájan ott kuksoltunk a vöröses színű, barátságosan meleg műhelyben, melyen át-átsüvített időnként a szél jeges, viharos vinnyogása.	Ngoài phố thỉnh thoảng lại có một phụ nữ trong làng đi qua, đầu cúi thấp để tránh gió, họ từ nhà hàng thịt về qua đây.
Egyikünknek sem lehetett a szavát hallani.	Chúng tôi hếch mũi lên để nhìn xem đó là ai.
Hogy mit éreztem?	Chẳng ai cất lời.
A kovács ráejtette a kalapácsot az üllőre, s apró rezgések és csengések támadtak a nyomában.	Bác thợ buông búa, nó nảy nảy mấy cái nặng nề và dứt khoát trên đe.
Figyelmesen nézte bőrköténye fölött a vasat, melyet éppen megmunkált.	Bác kẹp mẫu sắt vừa rèn lên, chăm chú quan sát nó.
S aztán, fölkapva a fejét, odaszólt hozzánk, csak azért, hogy közben kifújhassa magát:	Rồi bác ngẩng đầu hỏi chúng tôi, cốt để xả hơi một chút.
- Nocsak, nocsak! Hát hogy ityeg a fityeg, fiatalság?	- Thế nào, khoe chứ thanh niên?
Aztán megint átvette birodalmát a munka egyhangú, tompa zaja.	Rồi công việc đập đinh tai lại tiếp tục.
Az egyik ilyen szuszogó szünetben Millie-t láttuk az ajtó üvegszárnyán keresztül, amint a széllel birkózva elsietett előttünk, a vállán kendővel, melyet szorosan összehúzott a keblén.	Trong một vài lần nghỉ như thế, qua khung cửa mở rộng, tôi nhìn thấy Mili đi trong gió lớn, quấn chặt trong một cái khăn san, tay mang mấy hộp nhỏ.
- Aztán igaz-e, hogy Charpentier úr rövidesen ismét szerencséltet bennünket?	- Cụ Sacpaăngchiê sắp tới hả?
- Holnap érkezik nagyanyóval együtt - világosítottam fel -, én megyek ki értük a négy óra után két perccel érkező vonathoz.	- Ngày mai ông bà cháu cùng đến ạ - tôi trả lời - Cháu sẽ ra ga đón chuyến tàu 4g2 phút.
- Biztosan a Fromentinék kocsijával?	- Chắc đi bằng xe của Phrômăngtanh?
Gyorsan rávágtam:	Tôi đáp ngay:
Mindkettőjükből kicsattant a nevetés.	Bác thợ và anh phụ bật cười.
Hisz ott épp egy órát vesztegel a vonat.	Tàu dừng ở đấy một tiếng.
És csak tizenöt kilométernyire van ide.	Đoạn đường là 15 kilomet.
- Ez már szentigaz! - bólogatott a kovács - micsoda kanca!	- Phải - bác thợ tiếp lời - ngựa ra ngựa, đi đứng ra trò.
- És azt hiszem, hogy nem csalódom: Fromentin szívesen kölcsönadná.	- Tôi tin ông Phrômăngtanh cho mượng ngay thôi.
A műhely hatalmas helyisége megint csak megtelt szökellő szikrákkal és egyhangú lármával.	Gian hàng lại đầy ánh lửa và tiếng ồn, ở đó ai cũng theo đuổi ý nghĩ riêng của mình.
Látszott rajta, mennyire foglalkoztatja az, amit az imént hallott.	Tôi đứng lên ra hiệu cho Môn, thoạt tiên anh không nhận ra.
Csak állt ott, gondolataiba mélyedve, s homályos szemmel nézte, mint valami ködfüggönyön át a két szorgalmasan dolgozó férfit.	Vẫn dựa vào cửa, đầu cúi gằm, anh có vẻ đăm chiêu ghê gớm về điều vừa được nghe.
S ettől az emlékemtől azóta sem szabadulhatok.	Và từ bấy, tôi hay nhớ lại hình ảnh này.
A SZÖKEVÉNY	BỎ TRỐN
Másnap koradélután, kétóra tájt, a felsősök tanterme úgy vitorlázik a deres, zuzmarás táj közepén, mint egy bárka a tenger hullámai hátán.	Một giờ chiều hôm sau, phòng học lớp cao đẳng sáng bừng lên giữa cảnh sương giá xung quanh, như một con thuyền trên đại dương.
Éppen dolgozatot írunk, mert nemsokára vége a félévnek.	Năm học sắp hết, chúng tôi được phát vở làm bài thi.
- Tanár úr kérem, tessék rászólni a...	- Thưa thầy, bạn... con...
Seurel tanár úr rájuk sem hederít, szorgalmasan másolja a feladatokat a táblára.	Tay viết bảng, nhưng tâm trí ông Xơren để vào việc khác.
Ezekben a pillanatokban tökéletes a csend, egy pillanatra megdermed az alamuszian rendetlenkedő osztály, aztán ismét fölenged a feszültség, hogy minden elölről kezdődjék.	Trong một giây, tiếng mách lẻo ranh mãnh liền im bặt, để rồi lại nổi dần lên, lúc đầu còn dè dặt, về sau thì táo tợn.
Olykor-olykor lábujjhegyre állok és elnézek messze, szorongó szívvel, a Belle-Étoile tanya irányába.	Lát lát, tôi lại nhón chân đứng dậy, và lo lắng nhìn về phía trang trại Ngôi Sao Đẹp.
Már az óra elején észrevettem, hogy Meaulnes nincs itt; nem láttam őt az ebédszünet óta.	Ngay từ đầu giờ học chiều, tôi nhận thấy Môn không về lớp sau giờ nghỉ trưa.
Biztosan a padszomszédja is észrevette már.	Bạn ngồi bên anh dĩ nhiên cũng nhận ra như vậy.
- Tanár úr kérem, Meaulnes...	- Thưa thầy, Môn đã...
Tudom, hogy Meaulnes elment.	Tôi hiểu rằng Môn đã đi.
Mihelyt bekapta az ebédet, valószínűleg átugrott a meglehetősen alacsony falon, és a patak rozoga deszkahídján átvágva, végigügetett a mezőkön, árkon-bokron keresztül, Belle-Étoile irányába.	Ăn trưa vừa xong, anh đã nhảy qua bức tường thấp, chạy ra đồng, lội qua suối, chạy tiếp qua Vlây-Plăngsơ, đến tận Ngôi Sao Đẹp.
Biztosan elkérte a kancát, hogy kimenjen vele Charpentier úr és felesége elé az állomásra.	Chắc anh đi mượn con ngựa cái để ra ga đón cụ Sacpăngchiê.
A domb lejtős oldalára épült és nyáron nem is látni innen, mert elrejtik szemünk elől az udvaron álló tölgyek, szilfák, zöld sövények dús szövevénye.	Ngôi Sao Đẹp là một trang trại lớn ở sườn đồi bên kia suối, cứ mùa hè lại bị các hàng rào cây xanh và những cây du, cây sên trong sân che khuất.
A tanya egy dűlőút mentén fekszik, amelynek egyik szárnya a La Gare-i országútba torkollik, a másik a közeli majorságok felé vezet.	Nó nằm trên một đoạn đường ngắn, một phía nối với đường ra ga, phía kia với một thị trấn khác trong vùng.
A hatalmas középkori épülettömb - melyet magas támasztópillérekkel megerősített fal vesz körül, s bizony sokszor előfordul, hogy a pillérek talapzatát trágyalé nyaldossa - június tájt valósággal eltűnik a lombok sűrűjében, és az iskolába, alkonyat után csak a szekérzörgés hallatszik fel, meg a tehénpásztorok terelgető kurjongatása.	Bao quanh bởi những tường rào cao ngất tựa vào những trụ ốp đà mà chân giầm trong phân gia súc, đến tháng sáu, tòa lâu đài phong kiến hùng vĩ bị lấp dưới tán cây rậm rì, và ở trường khi đêm xuống, chúng tôi chỉ nghe vẳng lại tiếng xe ba gác cót két hay tiếng thét của thợ chăn bò sữa.
De most tél van, s az ablakon át látom a csupasz fák közt a tanyaudvar magas, szürke falát, a nagy, széles kaput, aztán a sövény rései közt megvillan a dűlőút egy dércsípte darabja, mely a patak folyását követve belekanyarodik a La Gare-ba vezető országútba.	Nhưng hôm nay qua kính cửa, tôi nhìn thấy giữa cây cối trụi lá bức tường xám cao ngất của cái sân, cổng vào lâu đài, và giữa các đoạn hàng rào là một phần con đường dẫn ra ga, chạy song song với dòng suối và bị sương giá phủ trắng xóa.
Többnyire három feladatot kapunk.	Thường ông cho ba đề.
Két fiút a nyomába szalasztana, hogy tegyék tűvé érte a várost, s a két kölyök biztosan rábukkanna, mielőtt még befognák a kancát...	Nếu bỗng dưng hôm nay, ông chỉ cho hai... Ông sẽ trèo lên ngồi ngay vào ghế và phát hiện ra sự vắng mặt của Môn.
Seurel tanár úr alaposan megnyomja a pontot a második feladat után.	Ông sẽ phái hai học sinh đi khắp thị trấn để tìm .
Egy percre leejti fáradt karját... Aztán új bekezdés következik és ismét írni kezd.	Hai cậu ấy nhất định sẽ tìm ra anh trước khi anh thắng xong con ngựa...
- No már most, ezt aztán egy óvodás is megcsinálná!	- Bây giờ đến một bài chỉ là một trò chơi của trẻ.
... Ott túl, a Belle-Étoile-tanya falai mögül az imént még két kis fekete párhuzamos vonalka szökött a magasba.	... Hai gạch đen nổi lên trên bức tường sân của trại Ngôi Sao Đẹp, đó có lẽ là hai gọng xe, rồi biến mất.
Biztosan egy fölállított kétkerekű kordé rúdjai voltak, s most, bárhogy keresem, nem találom.	Tôi tin chắc rằng ở đó người ta đang chuẩn bị xe cho Môn lên đường.
Most végre a fogat lassan kigördül az udvarról, egy pillanatra eltűnik a sövény mögött és végig­döcög komótosan a dérlepte útnak azon a csücskén, melyet a kerítés hiányzó lécein látni lehet.	Lúc ấy tôi nhận ra, trong cái hình đen đen điều khiển chiếc xe, với một cái tay tì uể oải vào thành xe, là người bạn Môn cao kều của tôi.
Bal karjával kényelmesen rákönyököl a kocsi oldalára, ahogy a környékbeli parasztok.	Bây giờ, hai người vốn đứng ở cổng NgôI Sao Đẹp nhìn theo bắt đầu bàn tán mỗi lúc mỗi kịch liệt.
Őrült iramra ösztökéli a lovát s a következő pillanatban eltűnik a kaptató másik oldalán.	Người thứ hai thì chạy thục mạng qua đồng, có lẽ về phía chúng tôi.
- Tanár úr kérem, a nagy Meaulnes hiányzik!	- Thưa thầy, MôN Sếu đi rồi ạ.
- Bocsásson meg a zavarásért, tanár úr, csak azt szeretném megkérdezni, hogy a tanár úr küldte-e hozzánk azt a diákot?	- Thưa thầy, có phải thầy cử cậu ấy đến mượn xe chúng tôi ra ga Viecdông đón hai cụ thân sinh của thầy không ạ?
- Szó sincs róla!	- Không hề!
- robban ki Seurel tanár úr.	- ông Xơren đáp.
Alighogy kimondja, fenekestül felfordul az egész osztály.	Tức thì cả lớp loạn lên một cách đáng sợ.
De már semmi nem segít.	Nhưng muộn rồi.
A nagy Meaulnes-nak nyoma veszett.	Môn Cao Kều đã bỏ trốn.
- Te azért csak menj ki Moucheboeuffel az állomásra - rendelkezik Seurel tanár úr, felém fordulva.	- Con cứ đi với Musơbơp ra ga - ông Xơren bảo tôi - Môn chưa biết đường đến Viecdông.
