A nap lenyugodni készült a nyugati láthatáron kirajzolódó dombok mögött.	Mặt trời sắp lặn đằng sau những quả đồi phía tây.
- Tudom, fiam, tudom, december elején.	- Ừ. Chúng ta đang ở vào đầu tháng Chạp.
Ami olyan, mint az északi tengerészek számára a június eleje.	Thời tiết mùa này tốt như tháng Sáu ở Biển Bắc.
Különben is, ha a Santa Fé egyszer a kikötőben van, akkor fújhat szél, tombolhat vihar, ameddig jólesik!	Còn khi chiếc Santa Fé đã vào đến bến rồi thì dù cho có gió, có bão đi nữa cũng mặc.
Nem kell tartanunk attól, hogy szigetünk világítótornyostul elsüllyed.	Chẳng phải lo sợ hòn đảo cùng với ngọn hải đăng này chìm xuống đáy đại dương!
- Úgy van, Vásquez.	- Nhất định là thế rồi.
- Három hónap múlva, Felipe...	- Ba tháng nữa, chú em ơi!
Hogy az Államok-szigeten már nem is számolják a hajótöréseket, és a roncsfosztogatók nem találhatnak ennél jobb helyet a vagyonszerzésben, azt is meg kell hagyni!	Và cho dù tàu thuyền bị đắm nhiều ở hòn đảo Đa Quốc gia này, hay cho dù bọn cướp xác tàu đắm không thể tìm ra nơi nào dễ làm giàu hơn nơi đây, và còn nhiều điều nữa!
Most már van világítótornya az Államok-szigetnek, még a világ négy tájáról egyszerre fújó szélvihar sem tudná kioltani!	Giờ đây hòn đảo Đa Quốc gia đã có ngọn hải đăng của nó, không cơn bão nào có thể thổi tắt đèn!
Hallani kellett volna Vásquezt, mekkora hévvel beszélt, bajtársát azonban nem tudta meg­nyugtatni.	Chính chúng ta là những người thắp đèn và nó sẽ hoạt động ngon lành trơn tru.
Befejezésképp Vásquez hozzátette:	Để chấm dứt câu chuyện, Vasquez nói thêm:
- Látod, fiam, negyven év alatt az Ó- és az Újvilág szinte minden tengerét bejártam mint hajósinas, matróz, fedélzetmester.	- Này chú mày, bốn mươi năm qua, tao đã lăn lộn trên mọi vùng biển của cựu lục địa cũng như tân lục địa, khi thì làm thợ học việc, lúc làm thủy thủ, lúc thì chỉ huy tàu.
Valóban, a kifejezés találó volt, hisz a torony a sziget távoli peremén állt, oly messze minden lakott és lakható területtől...	Và thực tế là trên hoang đảo này, ở xa đất liền, xa cái văn minh, tên gọi này mới đúng làm sao!
- Mondd, Felipe - folytatta Vásquez, miután tenyerén megütögette időközben kialudt pipáját -, mikor váltod fel Morizt?	- À này Felipe - Vasquez vừa nói tiếp, vừa lấy tay gõ chiếc tẩu thuốc đã tắt vào lòng bàn tay kia - mấy giờ thì mày thay cho Moriz?
- Tízkor.	- Mười giờ.
- Jó, akkor hajnali kettőtől napfelkeltéig én veszem át az őrséget.	- Tốt lắm, và đến hai giờ thì đến lượt tao thay chú mày cho đến sáng.
- Rendben van, Vásquez.	- Đúng thế.
Azt hiszem, legjobban tennénk, ha aludni mennénk.	Còn bây giờ thì tốt hơn hết là hai chúng ta đi ngủ.
- Takarodó, Felipe, takarodó!	- Ừ, thì đi.
Az éjszaka nyugodtan telt el.	Một đêm yên tĩnh trôi qua.
A tenger felé vonuló ár ezen a reggelen hat órakor indult meg, s hogy ezt kihasználja, az ágyúnaszádnak már hajnalban ki kellett volna futnia.	Trái lại, ở chung quanh Đại Tây dương, thủy triều rất mạnh và mạnh chỉ dội vùng biển Magellan xa xôi.
De az előkészületeket még nem fejezték be teljesen, és a kapitány azt tervezte, hogy csak az esti dagállyal hajózik ki az Elgor-öbölből.	Nhưng vì chưa chuẩn bị xong nên thuyền trưởng quyết định chờ đến tối lúc thủy triều lên mới ra khỏi vịnh Elgor.
Az Argentin Köztársaság hadihajója, a kétszáz tonnás, százhatvan lóerős Santa Fé, amelyen a kapitány és másodtisztje ötvenfőnyi legénységnek parancsolt, a Río de la Plata torkolatától a Le Maire-szorosig tartotta ellenőrzése alatt az atlanti partvidéket.	Chiến hạm Santa-fé của hải quân Cộng hòa Argentina là một con tàu có trọng tải hai trăm tấn, sức máy là một trăm sáu mươi mã lực, được chỉ huy bởi một thuyền trưởng và một phó thuyền trưởng.
Ebben az időben még nem léteztek cirkálók, torpedórombolók és egyéb gyorsjáratú hajók.	Thủy thủ đoàn dưới quyền gồm năm mươi người trong đó có cả lính thợ.
Hajócsavarja segítségével a Santa Fé sem tett meg kilenc mérföldnél többet óránként, de ez a sebesség elegendő volt a patagón és a tűzföldi partok ellenőrzéséhez, hisz’ csak halászhajók jártak erre.	Tàu có nhiệm vụ canh phòng đường biển kéo dài từ cửa sông Rio de la Plata đến eo biển Lemaire trên Đại Tây dương.
Ebben az évben az ágyúnaszád feladata abban állt, hogy segédkezzen a Le Maire-szoros bejá­ratánál épülő világítótorony munkálataiban, amelyet az argentin kormány építtetett.	Vào thời kỳ này, các công xưởng hải quân chưa thể đóng được những con tàu có tốc độ lớn như các tàu tuần tra, tàu phóng lôi và một số loại khác.
Ha néhány előre nem látható körülmény nem késlelteti a munkálatokat, a hadihajó­nak már egy hónapja vissza kellett volna térnie anyakikötőjébe.	Tất cả công việc trên đã được hoàn tất một cách tốt đẹp nhờ theo kế hoạch của một kỹ sư giỏi của Thủ đô Buenos-Aires.
Azonban a tavasz enyhének bizonyult, és most, a nyár kezdetén joggal lehetett remélni, hogy a magellán vizek nyugalmát legfeljebb átmenetileg zavarhatja meg rossz idő.	Tóm lại, trong suốt thời gian neo đậu ở đây, thiếu tá Lafayate không có gì phải lo ngại cho tàu vì tàu đang ở trong vịnh rất an toàn, chỉ có biển động mới làm ông lo ngại.
Hét óra volt, amikor Lafayate kapitány és Riegal másodtiszt kiléptek a naszád hátsó hídja alatti kabinjukból.	Bây giờ là bảy giờ sáng, thiếu tá Lafayate và viên thuyền Phó là Riegal ra khỏi ca-bin của họ nằm ở phần trên đuôi tàu.
A szolgálatban levő matrózok éppen végeztek a híd felmosásával, s már csak az összesöpört víz csordogált ki a víztorkokon.	Các thủy thủ đã hoàn tất công việc lau rửa sàn tàu, những xô nước rửa cuối cùng vừa được trút qua các lỗ thoát nước.
Ez idő alatt a fedélzetmester intézkedett, hogy mindent készítsenek elő az induláshoz.	Cùng lúc đó, viên hạ sĩ quan cũng đã thu xếp xong các công việc chuẩn bị sẵn sàng cho lúc nhổ neo.
Bár csak délután fogják felszedni a horgonyt, kivették tokjaikból a vitorlákat, megtisztogatták a szélfogókat, a tájolóház és a rácsok réz­bevonatát, felhúzták a nagycsónakot tartóira, míg a kisebbik - amelyre még szüksége volt a legénységnek - a vízen maradt.	Mặc dầu giờ xuất phát sẽ vào buổi chiều nhưng mọi việc hầu như đã hoàn tất: buồm đã được kéo ra khỏi bao, các ống thông gió, các la bàn đã được lau chùi bóng lộn, chiếc xuồng lớn đã được kéo lên, còn chiếc xuồng nhỏ thì vẫn còn bập bềnh trên sóng.
Mikor a nap felkelt, a lobogót felhúzták a tatvitorla csonkarúdjára.	Khi mặt trời đã lên cao, lá cờ hiệu được kéo lên đỉnh cột buồm sau.
Háromnegyed órával később négyszer megkongatták a hajó orrában levő harangot, amire az őrségre beosztott matrózok szolgálatba léptek.	Bốn mươi lăm phút sau, bốn tiếng chuông được vang lên từ phía mũi tàu và các thủy thủ đã sẵn sàng bên cạnh các hàng súng ở mạn tàu.
Ezen a délelőttön a kapitány még egyszer meg akarta tekinteni a világítótornyot és a toldalék­épületét, amely az őrök szálláshelyének, az élelmiszer- és tüzelőraktárnak adott helyet, vala­mint meg akart győződni a gépek megfelelő működéséről.	Suốt cả buổi sáng hôm đó, thuyền trưởng muốn xem xét lại lần cuối ngọn hải đăng và những công trình phụ của nó, là nơi ở của tổ gác và kho chứa lương thực và chất đốt, sau cùng là kiểm tra lại máy móc trên ngọn hải đăng, xem có vận hành tốt không.
Elsőtisztje társaságában tehát partra szállt, s a világítótorony felé vette útját.	Bước lên bờ, ông thiếu tá đi cùng viên hạ sĩ quan đến khu xây dựng xung quanh ngọn hải đăng.
- Belátom, Riegal.	- Tôi đồng ý với ông về điều đó.
Vásquez, Felipe és Moriz a legenyhébb évszakban lép szolgálatba.	Ba người này, Vasquez, Felipe và Moriz sắp bắt đầu nhiệm vụ trong giai đoạn ít gay go nhất.
- Valóban, kapitány úr, nem kell majd végigszenvedniük a rettentő Horn-foki telet...	- Đúng vậy, thưa thiếu tá, họ sẽ không phải chịu đựng mùa đông khắc nghiệt ở mũi Horn này...
Persze, a mi őreinknek jól megépített hajlékuk van, amelyben nem tehetnek kárt a viharok.	Nhưng các người gác đèn của chúng ta đã có một chỗ ở vững chắc mà gió mưa không làm gì nổi.
Jó erőben hagyjuk itt, és jó erőben fogjuk viszont­látni őket, hiszen a Csendes- és az Atlanti-óceán találkozásánál csípős a levegő, de tiszta is!...	Họ không thiếu lương thực và chất đốt cho dù nhiệm vụ của họ kéo dài thêm hai tháng nữa cũng không sao.
És még valami, Riegal: amikor a parancsnokság ebbe az isten háta mögötti világítótoronyba őröket keresett, csak a bőség zavarával kellett megküzdenie.	Chúng ta đã để họ ở lại trong tình trạng mạnh khỏe, thì lúc gặp lại họ, họ vẫn mạnh khỏe như vậy, bởi vì khí hậu ở đây dù có lạnh lẽo, nhưng ít ra nó cũng trong lành!...
A két tiszt odaért az épülethez, ahol Vásquez és társai már várták őket.	Hai vị sĩ quan đi đến nơi Vasquez cùng hai bạn gác đang chờ.
Az ajtó kinyílt előttük, s miután viszonozták a három férfi tisztelgését, megálltak.	Sau khi đáp lại lời chào đúng theo nghi thức quân đội của ba người gác, hai vị sĩ quan dừng lại.
Mielőtt szólt volna az őrökhöz, Lafayate kapitány tetőtől talpig végigmérte őket, nagy tenge­rész­csizmájuktól viaszosvászon csuklyájukig.	Trước khi hỏi chuyện, thiếu tá Lafayate quan sát họ, từ đôi giày hải quân cho đến chiếc áo khoác có mũ đội đầu may dính liền với nhau.
- Minden rendben ment ma éjjel?	- Đêm qua, mọi chuyện đều ổn cả chứ?
- fordult Lafayate az őrparancsnokhoz.	- ông hỏi người tổ trưởng.
- Igen, kapitány úr - felelte Vásquez.	- Tốt, thưa thiếu tá.
- Egyet sem, márpedig ebben a tiszta időben négymérföldes körzetben biztosan észrevettünk volna bármilyen fényt.	- Không có cái nào cả, và vì trời không có sương mù, chúng tôi có thể nhìn thấy đốm lửa ở cách đây 4 hải lý.
- A lámpák megfelelően működtek?	- Đèn chạy tốt chứ?
- Megállás nélkül napfelkeltéig, kapitány úr.	- Đèn sáng liên tục, thưa thiếu tá.
- Nem fáztak az őrszobán?	- Anh không bị lạnh trong phòng trực chứ?
- Nem, kapitány úr.	- Không, thưa thiếu tá.
A kettős üvegű ablak jól szigetel, megvéd a széltől.	Phòng trực rất kín gió vì cửa sổ có những hai lẦn kính.
- Először megtekintjük a szálláshelyüket, azután a világítótornyot is.	- Chúng tôi sẽ đi thăm chỗ ăn ở của các anh, rồi sẽ đến ngọn đèn sau.
- Parancsára, kapitány úr - felelte Vásquez.	- Tuân lệnh thưa thiếu tá - Vasquez đáp.
Az őrök szálláshelye, melynek vastag falai ellenálltak a Magellán-szoros vidékén dúló viharoknak, a torony lábánál épült.	Nơi ở của tổ gác được xây ngay dưới chân tháp bằng những bức tường dày dán có thể đương đầu với cả phong ba gió bão.
- Menjünk fel - javasolta Lafayate kapitány.	- Chúng ta leo lên nào - thiếu tá Lafayate nói.
- Parancsára - szólt Vásquez.	- Tuân lệnh.
- Elég ha csak maga jön velünk.	- Chỉ cần một mình anh đi theo chúng tôi.
Tíz lőrés világította meg, emeletről emeletre.	Có mười lỗ châu mai soi sáng cầu thang từ dưới lên.
Mikor felértek az őrszobába, amely fölött a fényszórót és a többi berendezést felállították, a két tiszt leült a fal mentén körbefutó padra.	Khi mọi người đã tới phòng trực mà ở bên trên là thiết bị đèn thì hai sĩ quan ngồi xuống một băng ghế hình tròn gắn vào tường.
Bár a különben gyönge szél szinte süvített ezen a magasságon, nem tudta eltompítani a nagy szárnycsapásokkal tovarepülő albatroszok, fregattmadarak és sirályok rikoltozását.	Mặc dầu trời không có gió mạnh nhưng ở độ cao này, ta cũng nghe tiếng gió rít mạnh mẽ, xen lẫn tiếng kêu sắc của các loài chim biển.
Hogy jobb kilátásuk legyen a szigetre és a környező tengerre, Lafayate kapitány és elsőtisztje fölkapaszkodott a fényszórót körülvevő körfolyosóra.	Sau khi nhìn bao quát đảo và cả vùng biển xung quanh, hai sĩ quan leo lên một cái thang dẫn đến hành lang bao quanh ngọn hải đăng.
A sziget szemük előtt kirajzolódó nyugati része teljesen kihalt volt, akárcsak a tenger, amelyet tekintetük egy északnyugattól délig terjedő - csak a San Juan-fok csúcsai által megszakított széles körívben követhetett.	Nguyên một phần đảo trải ra dưới mắt họ, phía tây hoang vắng như mặt biển; còn từ mạn tây bắc sang phía nam có một vòng cung khá rộng, ngắt quãng đôi chỗ bởi các ngọn núi của mũi Saint - Jean.
Sehol egy vitorla, sehol egy füstfelhő a nyílt tengeren.	Không một cánh buồm, không một làn khói tỏa ngoài khơi.
Amerre a szem ellát, mindenütt csak a végtelen óceán.	Chẳng có gì ngoài sự mênh mông của đại dương.
A két tiszt negyedórát töltött a torony körfolyosóján, majd Vásquez társaságában leeresz­kedtek, és visszatértek a hajóra.	Quan sát trên nóc ngọn đèn biển được chừng mười lăm phút thì hai sĩ quan cùng Vasquez leo xuống và cùng trở về tàu.
Ebéd után Lafayate kapitány és Riegal elsőtiszt újra partra vitették magukat.	Sau khi ăn trưa xong, thiếu tá Lafayate cùng thuyền phó Riegal lại vào bờ lần nữa.
Az indulást megelőző órákat sétával töltötték az öböl északi partján.	Họ dùng thời gian còn lại trước khi tàu nhổ neo để đi dạo trên bờ bắc của vịnh.
Miután átkeltek a San Juan-fokot a szigettel összekötő keskeny földszoroson, megvizsgálták az ugyanezen nevet viselő öblöcske partját, amely mintegy párját alkotja a fok túloldalán elterülő Elgor-öbölnek.	Bước qua eo đất hẹp nối liền vịnh Saint - Jean với phần còn lại của đảo, hai người đứng quan sát bờ cảng mà từ phía bên kia nhìn qua nó có hình dáng của một viên ngọc trai trên chiếc vòng cổ là vinh Elgor.
- Kitűnő kikötő ez a San Juan-öböl - jegyezte meg a kapitány.	- Này ông Riegal - viên thiếu tá nói - cái cảng Saint-Jean này thật tuyệt.
- Mindenhol elég mély a vize, így a nagyobb hajók is lehorgonyozhatnának itt.	Nó đủ sâu để nhận những con tàu tải trọng lớn.
Igazán bosszan­tó, hogy nagyon nehéz ide behajózni.	Chỉ tiếc là lối vào cảng hơi khó.
Még egy nagyon gyenge jelzőfény is, egy vonalban az elgori világítótoronnyal, lehetővé tenné a bajba került hajóknak, hogy könnyedén menedéket találjanak itt.	Phải chi có một chiếc hải đăng nhỏ nữa thẳng hàng với hải đăng Elgor, sẽ cho phép tàu lớn dễ dàng vào đây tìm nơi trú ẩn.
- És ez az utolsó ilyen pont a Magellán-szoros elhagyása után - tette hozzá Riegal.	- Và đấy sẽ là ngọn hải đăng cuối cùng mà ta thấy, khi qua eo biển Magellan - thuyền phó Riegal nói thêm.
Öt órakor a nyomás emelkedni kezdett az ágyúnaszád kazánjában, a kémény fekete füstfelhőt okádott.	Đúng năm giờ, áp suất trong nồi súp-de của pháo hạm bắt đầu tăng, ống khói tàu nhả ra từng đám khói đen lớn.
A tenger hamarosan mozdulatlanná válik, és mihelyt érezhetővé lesz az apály, a Santa Fé felszedi a horgonyt.	Mặt biển đang ở trong tình trạng triều dừng và chiếc Santa-fé sẽ kéo neo ngay lúc nước triều bắt đầu xuống.
A horgony hamarosan függőlegesbe állt, majd a horgony­daru felhúzta a vasmacskát.	Chiếc Santa-fé dần xa bờ, trong khi ba người gác đèn vẫy chào từ giã.
Még nyolc óra sem volt, amikor kiért a nyílt tengerre.	Chưa tới tám giờ tối con tàu đã ra tới đại dương.
Az Államok-sziget, amelyet Államok-földnek is neveznek, az Újvilág délkeleti peremén fekszik.	Hòn đảo "Đa Quốc gia" hay còn gọi là "Vùng đa Quốc gia" nằm ở cực đông nam của Tân lục địa.
A Magellán-szoros körüli szigetvilág utolsó és legkeletibb tagja ez, amelyet a plutói korszak földmozgásai hoztak létre alig hét fokra a sarkkörtől, az ötvenötödik szélességi kör tájékán.	Đó là mảnh đất cuối cùng nằm ở cực đông của quần đảo Magellan mà những trận địa chấn thời kỳ Pluto đã cấu tạo nên, nằm ở vĩ tuyến năm mươi lăm, cách vòng cực nam khoảng ba3y độ.
A szorost keletre vagy tíz mérföld hosszan, a Szent Antal-foktól a Kempe-fokig, a sziget határolja, s azoknak a gőzösöknek és vitorláshajóknak amelyek ezt az utat választják - s nem dél felől kerülik meg a szigetet -, kevesebb veszéllyel kell szembenézniük.	Đảo này phân cách về phía đông với eo biển Lemaire trên một chiều dài chừng mười hải lý kéo dài từ mũi Santa - Antoine đến mũi Kempe và những tàu hơi nước cũng như thuyền buồm khi đi qua đường này được che chắn nhiều hơn là khi đi qua đường phía nam của đảo.
Az Államok-sziget keleti és nyugati csücske, azaz a Szent Bertalan- és a San Juan-fok között harminckilenc mérföld a távolság; a sziget szélessége pedig a Colnett- és a Webster-fok között tizenegy mérföld.	Chiều dài của đảo Đa Quốc gia đo được ba mươi chín hải lý nằm theo hướng đông tây, từ mũi Saint - Barthélemy đến mũi San - Juan, còn chiều rộng của nó dài từ mũi Colnett đến mũi Webster, đo được mười một hải lý.
Egymást érik a kisebb-nagyobb öblök, bevágások és beállók, ahová a bejutást gyakran szigetecskék és sziklaszirtek akadályozzák meg.	Đó là một chuỗi những vịnh, những vũng mà lối vào thường bị những cù lao, những tảng đá ngầm chắn ngang.
Nem csoda, hogy számtalan hajótörés történt e partokon, melyeket hol meredek szirtfalak, hol óriási sziklák szegélyeznek, s ezeket a hullámok még szélcsendben is veszettül csapkodják.	Rất nhiều tàu thuyền đã bị đắm ở đây, ngay dưới những vách đá dựng đứng hay những bờ lởm chởm đá tảng mà ngay những hôm trời lặng, sóng biển ở đây cũng tạo nên những tiếng ì ầm giận dữ.
A nagy belső alföldeken egész nyájak elegendő táplálékra találhattak volna, főképp a Port Parrytól keletre elterülő vidéken, a Conway- és a Webster-fok között.	Các đàn thú có thể tìm ra đủ thức ăn trong những cánh đồng rộng trải dài bên trong đảo, đặc biệt là khu vực nằm ở phía đông của cảng Parry, lọt thỏm giữa mũi Conway và mũi Webster.
De mikor hidegebbre fordul az idő, feltétlenül enyhébb vidékre kellene őket hajtani, akár Patagóniába, akár a Tűzföldre.	Nhưng khi mùa lạnh đến thì cần phải đưa đàn thú về những nơi có khí hậu ôn hòa hơn, hoặc ở vùng Patagonie, hoặc ở ngay vùng Đất lửa.
Hogy ezek az állatok nem halnak éhen a hosszú téli időszak alatt, annak köszönhető, hogy megtalálják a hóréteg alatt a gyökereket és mohákat, úgy látszik gyomruknak ez is elegendő.	Và nếu như những con thú đó không chết đói trong suốt mùa đông kéo dài ở đây là vì chúng biết cách bới tuyết để tìm những rễ cây hay loài rêu mà dạ dày của chúng có thể tiêu thụ.
A sziget közepén elszórtan lapályok terülnek el, s néhány ritkás erdő fái nyújtogatják csene­vész ágaikat, melyek tavasszal inkább kisárgulnak, mint kizöldellnek.	Hai bên những cánh đồng trải dài ra ở trung tâm của đảo một vài cánh rừng thưa phô bày những nhánh cây khẳng khiu cùng những chùm lá vàng nhiều hơn là xanh.
Javarészt sarkvidéki bükkfák ezek, törzsük néha a hatvan láb magasságot is eléri, ágaik vízszintesen terjeszkednek; megterem még a nagy ellenálló képességű borbolya és a vintera is, amelynek tulajdonságai a vaníliacserjéhez hasonlóak.	Đấy là những cây sồi vùng địa cực có thân cao tới hai mươi mét, cành của chúng đâm ngang, hoặc là một vài loại cây gai có thể cho một thứ tinh dầu thơm như mùi vani.
Valójában ezek az erdők és alföldek alig egynegyedét teszik ki az Államok-sziget felszínének.	Thực ra thì những cánh đồng và cánh rừng chỉ chiếm khoảng một phần tư diện tích toàn đảo.
A többit sziklás, főként kvarckőből álló fennsíkok, mély hegyszorosok és az ősi vulkáni tevé­kenységből származó vándorkő hosszú sorai alkotják; ma már hiába keresnénk a Tűzföldön vagy Patagóniában a kihunyt tűzhányók krátereit.	Phần còn lại là những núi đồi mà thành phần chính của chúng là đá thạch anh, rồi những thung lũng sâu, những dãy đá trôi giạt kéodài rải rác đó đây, kết quả của những cuộc phun trào núi lửa vào thời rất xa xưa.
Majd - nyugat felé haladva - a sziget domborzata válto­zatosabb lesz, a partvidék sziklafalai magasabbak és meredekebbek.	Càng về phía tây của đảo thì địa hình càng trở nên rõ nét với những vách đá cao đứng rải rác trên bờ biển.
Ott komor kúpok emelkednek, magasságuk eléri a tengerszint feletti háromezer lábat is, és csúcsukról az egész szigetet szemügyre lehet venni.	Nơi đây có cả những quả núi cao mà đỉnh của chúng có thể lên đến gần 1.000 mét so với mực nước biển.
Az Újvilág északtól délig húzódó gigászi gerincoszlopának, az Andoknak utolsó csigolyái ezek.	Đứng trên những ngọn đó, tầm nhìn của ta có thể bao quát toàn đảo.
Ezeknek a tátikáknak, zanótoknak, pimperneleknek, rozsnokoknak, veronikák­nak nagyon gyér a színezőanyaguk.	Đó là những cây huyền sâm, cây đậu chổi, cây địa du, cây rau thủy... những loại cây này có màu sắc rất nhợt nhạt.
A part menti sziklák lábánál, a lejtőiken megtapadt vékony humuszrétegen a természetbúvár még néhány mohafajtára bukkanhatna, a fák árnyékában pedig pár ehető gyökérre - például egy azaleafélére, amelyből a pecsera indiánok kenyeret készítenek -, de egyik gyökérnek sincs nagy tápértéke.	Dưới chân những tảng đá ở bờ biển, trên các sườn dốc có nhiều phấn thổ, các nhà tự nhiên học còn có thể tìm thấy những loài rêu và những rễ cây có thể ăn được; thí dụ rễ cây khô (họ đỗ quyên) mà các bộ tộc Pécherais ăn thay cho bánh mì, tuy nhiên chúng cũng chẳng có mấy chất dinh dưỡng.
Az év tizenkét hónapjából nyolcban azonban vastagon lepi a földet a hó, mely a melegben, pontosabban a kevésbé hideg évszakban - megolvad a nap ferdén tűző sugaraitól, s így állandó nedvességet biztosít.	Nơi đây chỉ có băng tuyết đọng lại và tồn tại suốt tám tháng của năm và cho đến mùa nắng - đúng hơn là mùa ít lạnh - tuyết tan ra dưới những tia nắng mặt trời chiếu chênh chếch; và nhờ thế mà mặt đất duy trì được một độ ẩm thường xuyên.
Ekkor itt-ott tócsák, tavacskák keletkeznek, amelyek egészen az első fagyokig megmaradnak.	Vào mùa nóng, rải rác chỗ này chỗ kia trên đảo, những ao, hồ hình thành và duy trì cho đến mùa đóng băng.
Ha növény és állat mutatóba is alig akad a szigeten, a part menti vizek annál inkább bővel­kednek halban.	Để bù cho sự nghèo nàn về động vật và thảo mộc của đảo, cá trong vùng biển này cực kỳ phong phú.
Ezért a gazdag zsákmány reményében a tűzföldiek néha átmerészkednek ide a Le Maire-szoroson keresztül, a hajóikat fenyegető komoly veszély ellenére is.	Vì thế mặc dầu các thuyền bè luôn gặp nguy hiểm cần tìm đường vào đảo mỗi khi ngang qua eo Lemaire thì các bộ tộc Fuégiens vẫn thỉnh thoảng tới đây để đánh bắt cá.
Ezeket a tengeri állatokat régen olyan felelőtlenül irtották, hogy ma már a veszélyes, nehezen megközelíthető antarktiszi vizekben keresnek menedéket.	Các loài động vật biển này bị săn bắt riết ráo quá nên phải chạy về vùng địa cực để lánh nạn, nơi đấy dù sao thì con người cũng khó đến hơn.
Magától értetődik, hogy e sziget partján, ahol egymást követik a fövenyek, öblöcskék és sziklapadok, lépten nyomon kagylóhéjat és persze kagylót találni: kétteknős és feketekagylót, osztrigát, csészekürt- és parti csigát, s a rákfelék ezrével bújnak meg a szirtek között.	Người ta cũng có thể dễ dàng nhận ra trên toàn bộ đảo, nơi các bờ đá xen kẽ các vịnh nhỏ, có vô số các loài sò, ốc, hầu... và trong các hang, hốc đá có vô vàn các loài giáp xác như tôm, cua, ghẹ...
Ami a madárnépet illeti, megszámlálhatatlanul sok hattyúfehér albatrosz, nagy bekasszin, lile, kis sárszalonka, partfutó, zajos sirály hangos dolmányos sirály található errefelé.	Đảo cũng là nơi trú ngụ của rất nhiều loài chim; nào là hải âu lớn như thiên nga, sâm cầm, chim mang biển suốt ngày ồn ào réo gọi.
Mindenesetre ebből a leírásból nem szabad azt a következtetést levonni, hogy az Államok-szigetre akár Chile, akár az Argentin Köztársaság nagyon fente volna a fogát.	Tuy nhiên, sự mô tả hòn đảo của Đa Quốc gia này không nhằm khêu gợi lòng ham muốn của hai nước Chilê và Cộng hòa Argentina.
