Bovaryné	Bà Bô vary
Koronkint az is megtörtént, hogy a plébános ur, visszajövet valamelyik környékbeli betegtől, akinek az utolsó kenetet adta fel, észrevette az uton Károlyt, aki, ha csak tehette, a mezőn futkározott, haszontalankodott; odahivta magához, egy negyed óráig oktatta, dorgálta, s élve az alkalommal, elragoztatott vele néhány igét, egy fa tövében.	Cũng có những lần cha xứ đi ban thánh thể cho kẻ ốm yếu quanh vùng, khi trở về, chợt thấy Sáclơ đang lêu lổng ngoài đồng, ông ta bèn gọi hắn lại khuyên răn một hồi rồi, luôn thể bắt chú chia động từ ngay dưới một gốc cây.
Néha az eső vetett véget a leczkének; néha egy ismerős ment arra.	Bài học bị đứt quãng khi trời đổ mưa hoặc có người quen thuộc đi qua.
Bovaryné összeszedte minden energiáját, s Bovary ur restelt ellentmondani neki.	Nhưng Sáclơ không thể như thế mãi được.
Unta is már ezt a vitatkozást.	Bà mẹ cuống quýt can thiệp.
Elég az hozzá, elhatározták, hogy egy esztendő mulva, ha a gyerek már túl lesz az első áldozáson, beadják iskolába.	Còn ông bố thì sượng sùng, hoặc chán nản thì đúng hơn, ông ta nhượng bộ, không phản kháng nữa.
Maga az apja vitte oda, október vége felé, a saint-romain-i vásár idején.	Vào khoảng cuối tháng mười, hồi có phiên chợ Xanh-Rômanh, ông bố thân hành dẫn con đi.
Most már egyikünk se igen fog emlékezni rá.	Bây giờ thì không một ai trong chúng tôi nhớ được điều gì về hắn cả.
Jelentéktelen, csendes fiu volt, aki nem sok vizet zavart; játszott, ha játszani, s tanult, ha tanulni kellett; az előadás alatt figyelt, a hálóteremben jól aludt, az ebédlőben jól evett.	Thực là một người học trò tính khí ôn hòa, giờ chơi thì chơi, giờ học thì học, hắn ta chăm chú nghe giảng bài ở lớp, ngủ kỹ ở phòng ngủ, ăn khỏe ở phòng ăn.
Ha sétálni mentünk, a szolgával beszélgetett, aki faluról jött legény volt, mint ő maga.	Trong những buổi đi chơi, hắn thường trò chuyện với người đày tớ cũng xuất thân từ nông thôn như hắn.
Mivel nagyon szorgalmas volt, soha se tartozott az osztályban a legutolsók közé; sőt egyszer harmadik lett a természetrajzból.	Nhờ học tập cần cù, hắn luôn luôn giữ được hạng trung bình trong lớp, thậm chí có một lần, hắn còn giật được cả giải đầu khuyến khích về môn sinh vật.
De mikor elvégezte a hatodik osztályt, szülei kivették a kollégiumból, abban a meggyőződésben, hogy magától is le tudja tenni a baccalaureatus-t. Ugy végezték el, hogy orvos lesz belőle.	Nhưng cuối năm đệ tam, bố mẹ hắn cho hắn thôi trường trung học để bước vào ngành y, tin rằng hắn có thể tự học thi tú tài được.
Anyja szobát bérelt neki, egy selyemfestő ismerősüknél, a negyedik emeleten.	Mẹ hắn tìm thuê cho hắn một căn buồng trên gác tư, khu Ôđờ Rôbếch, tại nhà một ông thợ nhuộm quen thuộc.
Kialkudta az ellátását, butort szerzett számára – egy asztalt és két széket – elhozatott hazulról egy régi jó cseresnyefa-ágyat, s vett neki egy kis öntött vas kályhát is, meg fát, sokat, hogy ne fagyjon meg szegény gyermeke.	Bà điều đình việc trọ học, đi mua đồ đạc, một bàn hai ghế, cho chuyển từ nhà lên một cái giường cũ bằng gỗ anh đào, rồi lại mua thêm một cái lò sưởi nhỏ bằng gang với ít củi dự trữ để đứa con tội nghiệp được sưởi ấm.
Aztán a hét végén hazautazott, ujra meg ujra lelkére kötvén fiának, hogy viselje jól magát, most hogy magára van hagyatva.	Mãi đến cuối tuần bà ta mới ra về, sau khi đã dặn đi dặn lại hắn cần cư xử tốt với mọi người vì từ nay hắn phải sống một mình.
– a higiénéről és a belső gyógyitás tudományáról nem is beszélve – az etimologiáját se tudta ezeknek a szavaknak.	Hắn chẳng hiểu gì cả, hắn nghe giảng hoài mà vẫn chẳng nắm được.
Megannyi ajtó, mely magasztos homálylyal teli szenthelyekre vezet!	Tuy nhiên hắn làm việc cật lực, vở nào vở nấy đóng cẩn thận.
Semmit sem értett meg abból, a mit előadtak; hiába hallgatta, mindez csak nem akart a fejébe menni.	Hắn theo đủ các giáo trình, không bỏ qua một cuộc đi khám bệnh nào.
Pedig ernyedetlenül dolgozott, bekötött füzeteket vett magának, hallgatott minden tárgyat, nem mulasztott el egy leczkét sem.	Ngày ngày, hắn thực hiện đầy đủ nhiệm vụ của mình, như con ngựa mới tập, mắt bịt kín, cứ đi vòng quanh một chỗ, chẳng biết gì về cái công việc mình đang làm chật vật.
Ugy végezte mindennapi feladatát, mint a czirkusz-ló, mely bekötött szemmel forog ugyanabban a körben, nem tudva, hogy minő munkát őröl le.	Muốn cho con đỡ tốn, hàng tuần bà mẹ nhờ người mang đến cho con một miếng thịt bê quay mà hắn dùng trong bữa sáng khi ở bệnh viện về, hắn vừa ăn vừa nện đế giày vào tường.
Hogy kevesebbet kelljen költenie, anyja minden héten egy darab borjusültet küldött neki a gyorskocsival.	Sau đó, hắn phải chạy đi nghe giảng bài, đến giảng đường, tới viện cứu tế, rồi qua các phố trở về nhà.
Ebből reggelizett, mikor délelőtt visszajött a kórházból, amúgy futtában, mert annyi ideje már nem volt, hogy egy kicsit kipihenje magát.	Tối đến, sau bữa cơm đạm bạc của chủ nhà, hắn lên buồng riêng, lại học tập.
Vissza kellett rohannia az előadás-termekbe, a klinikára, a kórházba, egyik utczából ki, a másikba be.	Quần áo ẩm ướt trên người hắn bốc hơi trước lò sưởi đỏ lửa.
Este, mihelyt lenyelte a sovány ebédet, melylyel gazdája traktálta, fölment a szobájába és ujra munkához látott, ázott ruhájában, mely gőzölgött a testén az izzó kályha mellett.	Những buổi chiều hè đẹp trời, vào cái giờ phố xá oi bức còn vắng vẻ, lúc các chị hầu gái thường chơi cầu ở thềm nhà, hắn mở cửa sổ ra, tỳ khuỷu tay vào thành cửa.
Munkások guggoltak a parton s mosták a vizben felső karukat.	Những bác thợ, ngồi xổm trên bờ, vục cánh tay xuống nước rửa.
A padlásablakokból kinyuló póznákon gyapjukötegek száradtak a levegőn.	Trên những chiếc sào dài từ những từng gác nóc nhà thò ra, những cuộn sợi bông đang phơi trước gió.
Szemben, a háztetők felett, a nagy, tiszta eget látta s a lemenő vörös napot.	Ở bên kia các mái nhà, bầu trời trong vắt đang tỏa rộng, mặt trời đỏ lặn dần.
Milyen jó lehet arra messze!	Nơi ấy thú vị biết bao!
Micsoda illat a bükkfa-ligetben!	Dưới rặng cây giẻ hẳn là mát mẻ!
És kitágult orrlyukkal, nagyot lélekzett, mintha teli akarná szívni tüdejét a falu édes illataival, melyek nem érkeztek el hozzá.	Hắn cố hít những hương thơm từ cánh đồng xa chẳng đưa đến chỗ hắn được.
Megsoványodott, nyurgább lett s valami fájdalmas kifejezés volt az arczán, mely szinte érdekessé tette.	Hắn gầy đi, người dài ra, nét mặt như mang một cái gì sầu thảm trông cũng hay hay.
A nélkül, hogy gondolt volna rá, puszta nembánomságból, lassankint hűtlenné vált minden komoly elhatározásához.	Cố nhiên, bởi thiếu nhiệt tình, hắn đi tới chỗ rời bỏ những điều mình quyết định trước kia.
Egyszer elmulasztotta az előadást, másnap nem ment el a klinikára s örömet találván a renyheségben, végre tájékára se ment az egyetemnek.	Có một lần hắn không đi thăm bệnh, hắn bỏ buổi nghe giảng vào hôm sau, rồi dần dà hắn chẳng đến lớp học nữa, khi hắn đã thưởng thức một cách khoái trá cái lười.
Korcsmába kezdett járni, s belehabarodott a dominójátékba.	Hắn làm quen với tiệm rượu, say sưa đánh bài cẩu.
Bezárkózni esténkint egy szennyes nyilvános helyiségbe, hogy fekete pontokkal jelzett kis birkacsontokat csattogtasson egy márványasztalon, szabadsága oly becses bizonyitékának tünt fel előtte, hogy maga iránt való tisztelete valósággal megkétszereződött.	Đối với hắn, tối tối giam mình vào một phòng công cộng bẩn thỉu để đập chan chát trên bàn đá hoa những quân bài bằng xương cừu nhỏ điểm chấm đen là một hành vi tự do, quý báu, làm tăng giá trị của mình.
Ugy tetszett neki, hogy most már megismert valamit a nagyvilágból s közelebb jutott a tiltott örömökhez; és mikor benyitott a kávéházba, szinte érzéki gyönyörüséggel fogta meg az ajtó kilincsét.	Cái đó tựa hồ bài học vỡ lòng về cuộc đời, bước đầu đi vào những thú vui bị ngăn cấm, và, mỗi lần bước vào, hắn đặt tay lên núm cửa, với một niềm vui hầu như thuộc về nhục dục.
Egész sereg, eddig féken tartott érzés szabadult fel benne; kuplékat tanult meg és énekelgetett, ha rákerült a sor, lelkesedni kezdett Béranger-ért, megtanult puncsot késziteni, és végre megismerte a szerelmet.	Thế là, bao nhiêu điều dồn ép trong lòng được giãn nở; hắn học thuộc lòng những khúc ca để hát trong những dịp thù tạc, nức lòng tán thưởng Bêrăngiê, biết pha chế rượu tiệc và cuối cùng biết yêu đương.
Ezeknek az előkészitő munkálatoknak az eredménye természetesen az volt, hogy az orvosi vizsgálaton megbukott minden tárgyból.	Vì chuẩn bị như thế, hắn thất bại hoàn toàn ở kỳ thi y sĩ.
És otthon pompás vacsorával várták, hogy megünnepeljék a sikerét!	Ngay tối hôm ấy, cả nhà hắn mong chờ hắn để mừng kết quả.
Anyja mindjárt kész volt a mentséggel; a bukást egyszerüen a vizsgáló tanárok igazságtalanságának tulajdonitotta.	Mẹ hắn tha thứ cho hắn, đổ tại việc hắn thi hỏng là tại ban giám khảo bất công.
Megnyugtatta fiát; ne féljen, nem lesz semmi baj.	Bà ta trấn tĩnh hắn đôi chút và nhận dàn xếp mọi việc.
Károly tehát ujra dologhoz látott és szakadatlanul tanult, mig egyszer csakugyan elkészült.	Hắn thi đậu với một số điểm khá cao.
Bevágta előre az összes kérdéseket, s vizsgálatát, elég jó kalkulussal, elfogadták.	Thật là một ngày tốt đẹp xiết bao dành cho bà mẹ!
Nagy lakomával ünnepelték meg a nevezetes napot.	Gia đình hắn mở một bữa tiệc linh đình.
Hol fogja gyakorolni a mesterségét?	Hắn sẽ đi đâu hành nghề?
Tostes-ban.	Ở vùng Tôxtơ.
Ott csak egy orvos van, az is nagyon öreg.	Ở đó chỉ có một y sĩ già.
