JULES VERNE	Jules Verne
Fogg úr egyetlen intéző bizottság névsorában sem szerepelt.	Nhà quý phái ấy không có chân trong bất cứ một ban trị sự nào.
Nevét nem ismerték sem ügyvédi körökben, sem a Temple-ben, sem Lincoln’s-innben, sem Gray’s-innben.	Tên tuổi ông không bao giờ vang lên dù trong một hội luật sư hay ở Thánh đường, tại khách sạn Lincoln hay tại khách sạn Gray.
Nem folytatott ügyvédi tevékenységet sem a főszámvevőszéki bíróságon, sem a királyi, sem a pénzügyi bíróságon, sem az egyházi törvényszéken.	Ông không bao giờ cãi ở Tòa án đại pháp quan cũng như ở Cao đẳng pháp viện, ở Tài chính pháp viện cũng như ở Tòa án Giáo hội.
Sem ipari vállalkozó, sem üzletember, sem kereskedő, sem földbirtokos nem volt.	Ông không phải một nhà kỹ nghệ hay một thương gia, một lái buôn hay một người làm ruộng.
Nem volt tagja sem az Angol Királyi Akadémiának, sem a Londoni Akadémiának, sem a Jogi Akadémiának, sem az Ő Kegyes Felségének közvetlen támogatását élvező Egyesült Művészeti és Tudományos Akadémiának.	Ông không có chân trong Học việc Hoàng gia Anh hoặc Học viện Luân Đôn, Viện Thủ công nghiệp hoặc Viện Russell, Viện Văn học phương Tây hoặc Viện Luật, cũng không ở trong cái Viện Công nghệ và Khoa học Liên hợp đặt dưới sự bảo trợ trực tiếp của Đức Hoàng Thượng.
Egyszóval nem tartozott semmiféle egyesülethez, bár ezek ugyancsak burjánzanak Anglia fővárosában, kezdve a Szájharmonikaegyesülettől egészen az Entomológiai Egyesületig, mely elsősorban az ártalmas rovarok pusztításának célját tűzte zászlajára.	Cuối cùng ông không tham gia một hội nào trong vô vàn những hội đầy rẫy ở thủ đô nước Anh, từ hội kèn Ácmônica đến hội Côn trùng học lập ra chủ yếu nhằm mục đích trừ diệt những loài sâu bọ có hại.
Phileas Fogg a Reform Club tagja volt, semmi más.	Phileas Fogg là hội viên của Câu lạc bộ Cải cách có thế thôi.
Aki csodálná, hogy kerülhetett ez a titokzatos gentleman e tekintélyes társaság tagjai közé, az érje be annyival, hogy a Baring testvérek ajánlására, akiknél korlátlan hitele volt.	Giả thử có người nào lấy làm lạ rằng một nhà quý phái bí hiểm như thế sao được là hội viên của cái hội đáng trọng này thì người ta sẽ trả lời rằng ông ta có sự giới thiệu của Ngân hàng anh em Baring, tại đó ông có một khoản tiền đối phiếu giao ngân.
Ez egy­magában kezeskedik "szolidságáról", melyet annak köszönhetett, hogy csekkjeit rendszeresen látra2 fizették, a folytonosan "követel" egyenleget mutató folyószámlája terhére.	Cho nên Phileas Fogg có một "máu mặt" nào đó do những ngân phiếu của ông vẫn được trả đều đặn trước mắt mọi người theo sự thanh toán của nhà ngân hàng đối với một ông chủ nợ cố định.
Szóval gazdag volt Phileas Fogg?	Ông Phileas Fogg ấy có giàu không?
Kétségkívül.	Hiển nhiên là giàu.
De a legjobban értesültek sem tudták, hogyan szerezte vagyonát, Mister Fogghoz fordulni pedig e kérdéssel igazán a legkevésbé sem lett volna ildomos.	Nhưng ông ta đã làm giàu như thế nào thì những giới am hiểu nhất cũng không biết đằng nào mà nói, và muốn biết điều đó thì người cuối cùng phải hỏi đến khi có thể là ông Fogg.
Elég annyi, hogy nem volt pazarló, de nem is fukarkodott; ahol nemes, hasznos vagy nagylelkű célt kellett támogatni, ő mindig megtette a magáét, csendben, sőt névtelenül.	Dẫu sao mặc lòng ông không hề vung tay quá trán mà cũng không keo bẩn, bởi vì bất cứ ở đâu cần góp tiền cho một công việc cao quý, có ích hoặc từ thiện là ông đều lặng lẽ và thậm chí giấu tên mình mang đến.
Így hát nála kevésbé közlékeny természetű gentlemant talán még sosem hordott hátán a föld.	Tóm lại không ai kín đáo hơn nhà quý phái này.
A lehető legkevesebbet beszélt, és ez a hallgatagság még titokzatosabbnak mutatta.	Ông chỉ muốn thật ít nói và ông càng im lặng lại càng có vẻ bí hiểm.
Pedig életmódjában nem volt semmi titokzatos, de éppen mivel szinte matematikai pontossággal csinálta mindig ugyanazt, az emberek képzelete kielégületlen maradt, és szeretett volna a külszín mögé hatolni.	Tuy nhiên, cuộc sống của ông rất minh bạch mà mọi việc ông làm cứ diễn ra máy móc và đơn điệu đến nỗi trí tưởng tượng của mọi người càng bị kích thích cứ muốn tìm hiểu xem đằng sau đó có ẩn cái gì không.
Utazgatott valaha?	Ông đã đi đây đó chưa?
Igen valószínű, mert a világ térképe, mondhatni, a kisujjában volt.	Chắc chắn rồi, bởi vì không ai thông thạo bản đồ thế giới hơn ông.
Egész különleges módon ismerte földünk legtávolibb zegzugait is.	Không một nơi nào dù xa xôi hẻo lánh đến đâu mà ông không tỏ ra có sự hiểu biết đặc biệt.
Úgy látszott, minden földet bejárt - legalábbis képzeletben.	Tuy nhiên điều chắc chắn là đã từ nhiều năm nay.
Egy mindenesetre bizonyos: Phileas Fogg hosszú évek óta nem mozdult ki Londonból.	Phileas Fogg không rời khỏi Luân Đôn.
Azok a szerencsések, akik valamivel közelebbről ismerhették, azt állították, hogy még nem akadt emberfia, aki valaha másutt látta volna, mint a lakásától a klubhoz vezető egyenes úton: ezen sétált végig naponta.	Những người có vinh dự quen biết ông ta hơn người khác một chút chứng thực rằng không ai dám nói là đã thấy ông ở nơi nào khác ngoài con đường thẳng hàng ngày từ nhà đến Câu lạc bộ.
Két szórakozása volt: újságot olvasott és whistezett.	Cách tiêu khiển duy nhất của ông là đọc báo và chơi bài "uýt".
Ezen a termé­szetének annyira megfelelő, csendes kártyajátékon gyakran nyert, nyeresége azonban sosem vándorolt erszényébe, hanem jótékonysági alapját növelte tetemes összegekkel.	Ở cái trò chơi lặng lẽ ấy thật là hợp với bản tính ông, ông thường hay được, nhưng tiền được bạc không bao giờ bỏ hầu bao mà thành một khoản quan trọng trong quỹ từ thiện của ông.
Különben meg kell jegyezni, hogy Mister Foggot nyilván a játék és nem a nyereség érdekelte.	Và chẳng cần phải nhận thấy rằng ông Fogg hiển nhiên là chơi để mà chơi không phải để được.
A játékot harcnak tekintette, küzdelemnek valamilyen nehézség ellen, de mozgolódás, helyváltoztatás, fáradság nélküli küzdelemnek - s ez igen jól vágott természetéhez.	Chơi bài đối với ông như một trận đấu, một cuộc vật lộn với khó khăn nhưng một cuộc vật lộn không náo động, không rời chỗ, không mệt nhọc và điều đó hợp với tính cách ông.
Senki sem tudott róla, hogy Phileas Foggnak felesége vagy gyermeke volna - s ez megesik a legrendesebb emberrel is -; sem rokona vagy barátja - ami, valljuk be, már szinte ritkaság.	Người ta không thấy Phileas Fogg có vợ con gì – điều này có thể xảy ra với những người lương thiện nhất, cũng không thấy họ hàng bè bạn gì cả – điều này quả là hiếm có hơn.
Phileas Fogg egyedül élt a Saville Row-i házban; senki nem lépte át a küszöbét.	Phileas Fogg sống độc thân trong ngôi nhà của ông ở phố Saville không người lai vãng.
Házi tűzhelye soha nem került szóba.	Chẳng bao giờ có ai kháo chuyện gì về nội tình trong nhà ông.
Beérte egyetlen inas szolgálatával.	Một người hầu cũng đủ phục vụ ông.
Percnyi pontossággal, kiszabott időben a klubban ebédelt, vacsorázott, mindig ugyanabban a teremben, ugyanegy asztalnál; nem kínálta meg klubtársait, nem invitált meg asztalához idegent, csak aludni járt haza, pontban éjfélkor, és soha nem vette igénybe a Reform Club tagjainak rendelkezésére álló kényelmes vendégszobákat.	Ông ăn trưa, ăn tối ở câu lạc bộ vào những giờ đã định đúng răm rắp cũng vẫn ở trong căn phòng ấy, ở bàn ăn ấy, không tiếp đãi bạn đồng sự, không mời khách và chỉ về nhà để ngủ vào đúng nửa đêm, không bao giờ sử dụng đến những căn buồng rất tiện nghi của Câu lạc bộ Cải cách dành cho các hội viên.
Huszonnégy órából tízet otthonában töltött, alvással, öltöz­ködés­sel.	Trong hai mươi bốn tiếng đồng hồ, ông sống mười tiếng ở nhà hoặc để ngủ hoặc để tắm rửa.
Ha sétálni akart, csakis a klub előcsarnokának intarziás parkettján sétált, kimért léptekkel, vagy a körfolyosón, a kékkel üvegezett kupola alatt, mely húsz jón vörös márványoszlopra támaszkodik.	Nếu cần dạo bước thì lần nào cũng như lần nào với bước chân đều đều ông đi lại trong căn phòng ra vào lát gỗ khảm hoặc dọc hành lang vòng quanh nhà dưới một mái vòm lắp kính xanh được chống đỡ bởi hai mươi cột đá vân ban đỏ theo kiến trúc iôních.
Ha azt, aki így él, különcnek nevezzük, meg kell hagyni, nem is olyan utolsó dolog a különcködés!	Nếu sống trong những điều kiện như thế mà là người lập dị, thì phải nhận rằng sự lập dị cũng có cái hay.
A Saville Row-i ház nem volt fényűző, de lakójának minden kényelmet biztosított.	Ngôi nhà phố Saville chẳng lộng lẫy gì nhưng lại giá trị ở chỗ hết sức tiện nghi.
A ház rendben tartása egyébként, tekintettel a házigazda megállapodott életmódjára, igen kevés munkát adott.	Vả lại, với những thói quen bất di bất dịch của người thuê nhà, công việc phục vụ ở đây chả còn lại bao nhiêu.
E téren azonban Phileas Fogg rendkívüli pontosságot, rendszerességet kívánt egyetlen inasától.	Tuy nhiên Phileas Fogg đòi hỏi ở người hầu duy nhất của ông một đức tính chính xác đúng quy tắc khác thường.
Phileas Fogg feszesen ült a karosszékben, két lábát összeszorította, mintha katonai dísszemlén volna, két kezét térdén nyugtatta, törzse egyenes volt, és emelt fővel figyelte az óra mutatóját - a bonyolult műszer az órákon, perceken és másodperceken kívül a napot, a hónapot és az évet is mutatta.	Phileas Fogg ngồi chững chạc trong chiếc ghế bành, hai chân khép lại như một người lính đang đứng duyệt hình, hai bàn tay chống lên đầu gối, người ưỡn thẳng, đầu ngẩng cao nhìn chiếc kim đồng hồ quả lắc đang chuyển động – một bộ máy phức tạp chỉ cả giờ, phút, ngày, tháng và năm.
Fél tizenkettőre járt; Mr. Fogg, mindennapos szokása szerint, pontban fél tizen­kettőkor szokta elhagyni otthonát, hogy a Reform Clubba induljon.	Đến đúng mười một giờ rưỡi, theo thói quen hàng ngày ông Fogg phải ra khỏi nhà đi đến Câu lạc bộ Cải cách.
Ebben a pillanatban kopogtattak a kis szalon ajtaján; jelenleg itt üldögélt Phileas Fogg.	Vừa lúc ấy có một tiếng gõ cửa phòng khách nhỏ nơi Phileas Fogg đang ngồi.
James Forster jelent meg, az elbocsátott inas.	James Forster, anh chàng bị thải hồi hiện ra
- Az új inas - jelentette.	"Anh hầu mới xin gặp", anh ta nói.
Egy harminc év körüli fiatalember lépett be és köszönt.	Một chàng trai chạc ba mươi tuổi ra mắt và cúi chào.
- Ön, ugye, francia, és a neve John?	– Anh là người Pháp mà lại tên là John à?
- kérdezte tőle Phileas Fogg.	– Phileas Fogg hỏi.
- Engedelmével, uram, a nevem Jean - felelt a jövevény -, Jean Passepartout vagy Talpraesett János; velem született tehetségem van arra, hogy mindig kivágjam magam: így ragadt rám ez a név.	– Ngài tha lỗi, thưa tôi là Jean ạ – anh chàng mới đến trả lời – Jean Vạn Năng18 một biệt hiệu người ta vẫn gọi tôi do tôi có năng khiếu trời phú cho là tháo vát mọi công việc.
Azt hiszem, uram, rendes ember vagyok, de őszintén megmondom, elég sok mester­sé­get próbáltam.	Tôi nghĩ mình là người tử tế, thưa ngài, nhưng, nói cho thật thà, tôi đã qua nhiều nghề.
Voltam vándorénekes, cirkuszi műlovar, Léotard sem csinált különb halál­ug­rást a lovon; voltam kötéltáncos, mint Blondin; aztán, hogy közhasznúbbá tegyem tehetségemet, fel­csaptam tornatanárnak, és végül őrmesterként fejeztem be Párizsban, a tűzoltóságnál.	Tôi đã làm người hát rong, làm diễn viên cưỡi ngựa trong rạp xiếc, từng nhào lộn trên mình ngựa như Léotard và nhảy thể dục, để sử dụng có lợi hơn những tài năng của mình, và sau cùng tôi làm đội trưởng đội cứu hỏa ở Paris.
Egy-két igen nevezetes tűzvész is szerepel előéletemben.	Trong hồ sơ thành tích của tôi có ghi cả những đám cháy nổi tiếng.
Öt éve azonban elhagytam Francia­orszá­got, és most, a családi élet örömeire vágyva, szobainas vagyok Angliában.	Nhưng thế là đã năm năm nay tôi rời nước Pháp và làm hầu phòng ở nước Anh để được hưởng chút đời sống gia đình.
Mivel épp mosta­nában állás nélkül maradtam, és megtudtam, hogy Phileas Fogg úr a legrendszeresebb és legotthon­ülőbb ember az Egyesült Királyságban, abban a reményben kopogtattam be uraságodhoz, hogy itt nyugodalmas életre találok, s még azt is elfeledhetem, hogy valaha Passepartout volt a nevem...	Nay, không có việc làm và được biết ngài Phileas Fogg là con người chuẩn mực nhất và tĩnh tại nhất của Vương quốc Liên hiệp tôi xin đến trình diện ngài với hi vọng được sống yên ổn ở đây và quên cái tên Vạn Năng ấy đi.
- Engem a Passepartout név nem zavar - válaszolt a gentleman.	– Vạn Năng được đấy – nhà quý phái trả lời – Người ta đã giới thiệu anh với tôi.
- Ismerőseim már beajánlották; jó információim vannak önről.	Tôi được nghe những nhận xét tốt về anh.
Ismeri feltételeimet?	Anh rõ những điều kiện của tôi chưa?
- Ismerem, uram.	– Thưa rõ ạ.
- Helyes.	– Được.
Önnél most hány óra van?	Đồng hồ mấy giờ ?
- Tizenegy óra huszonkettő - felelte Passepartout, s egy óriási ezüstórát halászott elő fene­ketlen mellényzsebéből.	– Mười một giờ mười hai – Vạn Năng rút từ trong đáy túi áo ghi lê ra một cái đồng hồ quả quýt bằng bạc to tướng đáp.
- Késik - szólt Mr. Fogg.	– Đồng hồ anh chậm rồi – Ông Fogg nói
- Bocsásson meg, uram, ez lehetetlen.	– Xin ngài thứ lỗi, đời nào thế được ạ.
- Négy percet késik.	– Đồng hồ anh chậm bốn phút.
Lényegtelen.	Không sao.
Fontos, hogy tudjuk az eltérést.	Chỉ cần biết có sai chệch.
Tehát e perctől, vagyis 1872. október 2-án, szerdán délelőtt tizenegy óra huszonkilenc perctől fogva ön nálam szolgálatban van.	Vậy thôi, từ lúc này, mười một giờ hai mươi chín phút sáng ngày thứ tư mùng 2 tháng Mười năm 1872 anh làm cho tôi.
Azzal Phileas Fogg felkelt, bal kezébe vette, majd gépiesen fejére tette kalapját, és szó nélkül távozott.	Nói xong Phileas Fogg đứng lên, tay trái cầm mũ, đặt mũ lên đầu với cử động của một người máy và biến đi không nói thêm một lời nào.
Passepartout hallotta, amint az utcai bejáró becsapódik: új gazdája lépett ki rajta; aztán még egyszer becsapódik: ezúttal elődje, James Forster távozott.	Vạn Năng nghe tiếng cánh cửa trông ra phố đóng lại lần thứ nhất: đó là ông chủ mới của anh ra đi, rối lần thứ hai: đó là người làm trước, James Forster đi nốt.
Passepartout egyedül maradt a Saville Row-i házban.	Còn lại một mình Vạn Năng trong ngôi nhà phố Saville.
MÁSODIK FEJEZET - Passepartout megbizonyosodik róla, hogy álmai ezúttal valóra váltak	II – Như thế nào mà Vạn Năng đinh ninh rằng cuối cùng đã tìm thấy lý tưởng của mình
"Szavamra mondom - gondolta magában Passepartout, aki még nem heverte ki az első pillanatok meglepetését -, elevenség dolgában új gazdám bízvást vetekszik Tussaud mama társulatával!"	"Quả thật, – Vạn Năng nghĩ bụng, thoạt đầu hơi bàng hoàng – mình đã thấy ở cửa hàng bà Tussaud những anh chàng cũng rất giống chẳng kém gì ông chủ mới của mình".
Jegyezzük meg itt, hogy Tussaud mama "társulata" megszólalásig élethű viaszfigurákból áll; magyarán szólva panoptikum; Londonban igen szép számú közönség látogatja.	Cũng nên nói rõ ở đây những "anh chàng" của bà Tussaud là những hình nhân bằng sáp, ai đến Luân Đôn cũng phải tìm xem và thật tình chúng chỉ thiếu có lời nói.
A ház ura negyvenéves lehetett, arca szép és nemes metszésű, termete magas, még enyhe pocakja sem rútította el, haja és pofaszakálla szőke, homloka sima, szeme sarkában még nem mutatkoztak szarkalábak, arcbőre inkább halvány, mint vérmes, fogazata remek.	Đó là một người trạc bốn mươi, có khuôn mặt quý phái và đẹp, dáng người cao, hơi đẫy một chút nhưng cũng không vì thế mà xấu đi; tóc và râu quai nón vàng hung, trán phẳng không có vết nhăn bên thái đương, khuôn mặt hơi xanh hơn là hồng hào, hàm răng tuyệt đẹp.
A legnagyobb mértékben meglehetett benne az a tulajdonság, melyet a fiziognómusok "tevékeny nyugalom"-nak neveznek: közös jellem­vonása mindazoknak, akik mellőzik a sok hűhót, de annál tevékenyebbek.	Ông ta có vẻ đạt tới độ cao nhất cái mà những nhà xem tướng gọi là "sự thư thái trong hành động", cái bản lĩnh chung của tất cả những người làm việc nhiều hơn là ồn ào.
Szenvtelen nyu­galmán, tekintetének tisztaságán, soha meg nem rebbenő szempilláján meglátszott, hogy az a fajta jól sikerült típusa a hidegvérű angolnak, amilyenre gyakran bukkan az ember az Egyesült Királyságban; Angelica Kauffmann ecsetje csodálatosan örökítette meg kissé akadémikus külsejüket.	Điềm tĩnh, lạnh lùng, mắt trong suốt, mí mắt không động, đó là điển hình hoàn thiện của những người Anh gan lì được thấy khá nhiều trong Vương quốc Liên hiệp, mà ngọn bút vẽ của Angelica Kauffmann đã miêu tả tuyệt diệu cái dáng bộ hơi kiểu cách.
Ha életmódjának különféle megnyilvánulásait tekintjük, meg kell állapítanunk, hogy ez az úriember minden ízében kiegyensúlyozott, rendíthetetlenül szilárd egyéniség volt; oly sikerült példány, mint egy Leroy- vagy Earnshaw-kronométer.	Xét trên mọi hành vi trong cuộc sống của ông, nhà quý phái này cho ta hình ảnh một con người hết sức cân bằng trong tất cả các bộ phận của mình, điềm đạm một cách đúng mức, hoàn hảo như một cái đồng hồ thật đúng của hãng Leroy hay hãng Earnshaw.
Igen, Phileas Fogg maga volt a megtestesült pontosság, s ez "kezének-lábának kifejezésén" is meglátszott, mert, akárcsak az állatoknál, a végtagok az embernél is a szenvedélyek meg­nyilatkozásának szervei.	Bởi vì quả thật Phileas Fogg là sự chính xác hiện thành người, điều này thấy rõ ở "cách diễn cảm của chân tay ông", bởi vì ở con người, cũng như là các động vật, chính chân tay cũng là những cơ quan biểu thị tình cảm.
Phileas Fogg az a fajta matematikailag pontos ember volt, aki soha nem siet, de mindig készen áll, és gazdaságosan beosztja minden lépését, minden mozdulatát.	Phileas Fogg thuộc loại những con người chính xác một cách toán học, không bao giờ vội nhưng luôn luôn sẵn sàng, dè sẻn từng bước chân và nhất cử nhất động.
Soha nem lépett többet a kelleténél, mindig a legrövidebb úton járt.	Ông không bước một bước thừa, bao giờ cũng đi đường ngắn nhất.
Nem merengett, a mennyezetre függesztve tekintetét.	Ông không phí một cái nhìn vớ vẩn lên trần nhà.
Kezét sem mozdította fölöslegesen.	Ông không bao giờ cho phép mình có một cử chỉ nào vô ích.
Senki nem látta felhevülten, megzavarodva.	Người ta không bao giờ thấy ông xúc động hay bối rối.
