JAMES JOYCE	James Joyce
Amikor nagy, reszkető kezét az orrához emelte, apró porfelhők röppentek szét ujjai közül, le a kabátjára.	Thậm chí khi ông đưa bàn tay run rẩy lên mũi, những đám bụi thuốc lá nho nhỏ rơi lả tả quacác ngón tay xuống ngực áo.
Szerettem volna bemenni és megnézni őt, de nem volt bátorságom kopogtatni.	Tôi muốn đi vào bên trong và nhìn ông nhưng không có đủ can đảm gõ cửa.
Lassan végigsétáltam hát az utca napsütötte oldalán, és elolvastam minden cirkalmas hirdetést a kirakatokban, ahány csak elém került.	Tôi chầm chậm bỏ đi dọc vỉa hè đầy nắng của con phố, vừa đi vừa đọc tất cả những áp phích quảng cáo biểu diễn dán trên cửa kính cửa hiệu.
Csodálkoztam ezen, mert, mint nagy­bátyám is megállapította előző este, nagyon sokat tanultam tőle.	Tôi nghĩ về điều này bởi, như bác trai tôi đã nói tối hôm trước, ông đã dạy tôi rất nhiều điều.
Néha azzal szórakozott, hogy nehéz kérdéseket tett fel, hogy például mit kell az embernek tennie ilyen és ilyen körülmények közt, vagy hogy ez és ez a bűn halálos, esetleg bocsánatos véteknek tekintendő-e, vagy csupán tökéletlenségnek.	Đôi khi ông giải khuây bằng cách đặt những câu hỏi khó cho tôi, hỏi tôi người ta nên làm gì trong một số hoàn cảnh hoặc liệu những tội lỗi thế này thế kia là đáng tội chết hay có thể được tha thứ hay đơn thuần chỉ là những khiếm khuyết.
Kérdései megmutatták, milyen szövevényesek és titokzatosak az egyház bizonyos intézményei, melyeket én azelőtt olyan egyszerűeknek gondoltam.	Những câu hỏi của ông làm tôi thấy sự phức tạp và huyền bí của một số thể chế Nhà thờ mà trước đây tôi cứ nghĩ chỉ là những nghi lễ đơn giản nhất.
Ha ilyesmi jutott az eszembe, legtöbbször nem is tudtam felelni, vagy ha igen, csak nagyon bután és akadozva, ő pedig csupán mosolygott és bólintott kétszer-háromszor.	Thường khi nghĩ đến điều này tôi không thể trả lời được hoặc chỉ đưa ra được một câu ngớ ngẩn ấp úng, và ông thường mỉm cười và gật đầu.
Néha vizsgáztatott a katekizmusból, és megkövetelte, hogy soronként bevágjam, magoló mormogásomat pedig töprengő mosolyokkal és fejbólintásokkal kísérte, újra meg újra hatalmas tubák-csipeteket nyomva hol az egyik, hol a másik orrlyukába.	Thỉnh thoảng ông giảng cho tôi những câu phải đáp trong lễ Misa và ông bắt tôi phải học chúng thuộc lòng, và mỗi khi tôi liến thoắng, ông thường mỉm cười trầm ngâm và gật đầu, chốc chốc lại đưa một nhúm lớn thuốc lá bột lần lượt lên từng lỗ mũi.
Ahogy baktattam a napfényben, eszembe jutottak Cotter apó szavai, és megpróbáltam felidézni, mi is történt azután az álomban.	Khi bước đi dưới ánh nắng tôi nhớ lại lời của Già Cotter và cố nhớ lại những gì đã xảy ra sau đó trong giấc mơ.
Emlékeztem, hogy hosszú bársonyfüggönyöket láttam és egy ódivatú függőlámpát.	Tôi nhớ ra rằng đã để ý thấy tấm rèm cửa nhung dài và một ngọn đèn kiểu cổ đang đung đưa.
Valahol nagyon messze voltam, ezt világosan éreztem, különös szokások távoli országában - talán Perzsiában... De az álom végére nem emlékeztem.	Tôi cảm thấy tôi đã ở một nơi rất xa, tại một vùng đất nào đó có những phong tục kỳ lạ - ở Ba Tư, tôi nghĩ...Nhưng tôi không thể nhớ nổi đoạn kết của giấc mơ.
Este nagynéném elvitt magával a gyászoló házba.	Tối hôm đó bác gái tôi dẫn tôi cùng đi đến nhà có tang.
A nap már lement, de a házak nyugatra néző ablaktábláin még ott villódzott egy nagy csapat felhő homokszín aranya.	Lúc đó mặt trời đã lặn; nhưng cửa sổ những ngôi nhà hướng về phía đông vẫn phản chiếu sắc ráng đỏ từ một cụm mây lớn.
A hallban Nannie fogadott bennünket; és nagynéném, mint aki a hangos beszédet itt nem találja helyénvalónak, szótlanul kezet fogott vele.	Nannie đón chúng tôi ở sảnh; và bởi nếu khóc lóc ầm ĩ lúc này thì không hợp cho lắm, bác gái tôi chỉ nắm chặt tay bà.
Az első fordulónál megállt, és szemével bátorítóan intett a halottas szoba nyitott ajtaja felé.	Ở chỗ nghỉ đầu tiên bà dừng lại và ra dấu về phía cánh cửa đang mở của phòng người chết.
Nagynéném belépett, és az öreg hölgy, látva, hogy tétovázom, biztató kézmozdulattal intett ismét az ajtó felé.	Bác tôi bước vào và bà, thấy tôi đang chần chừ không vao,lại dùng tay ra hiệu cho tôi.
Lábujjhegyen léptem be.	Tôi nhón gót đi vào.
A redőny töredezett résein át a szobát elöntötte a bágyadt aranyfény, amelyben a gyertyák nyúlánk, halvány lángokként magasodtak.	Căn phòng chìm dưới ánh chiều mờ tối lọt qua phía đuôi đăng ten rèm cửa sổ, những ngọn nến trông thật leo lét.
Nannie után mindketten letérdeltünk az ágy lábánál.	Nannie làm trước và cả ba chúng tôi quỳ xuống phía chân giường.
Imádkozást színleltem, de nem tudtam összpontosítani gondolataimat, mert az öreg hölgy morgása zavart.	Tôi giả vờ cầu nguyện nhưng không thể tập trung được bởi những âm thanh rì rầm của người đàn bà làm tôi xao lãng.
Azt figyeltem, hátul milyen esetlenül kap fel a szoknyája, és posztómamusza milyen letaposott.	Tôi để ý phần say váy bà xếp nếp một cách cẩu thả và gót tất len của bà bị tuột lệch hẳn sang một bên.
Úgy láttam, mintha az öreg pap mosolyogna, amint ott fekszik a koporsóban.	Tôi bỗng tưởng tượng thấy ông linh mục già đang mỉm cười trong quan tài.
Arca szinte kiáltott, szürke volt és erőteljes, orrlyukai fekete üregekként tátongtak, fehér pihével szegve.	Khuôn mặt ông trông rất hung ác, xám xịt và thô kệch, hai lỗ mũi đen sâu hoắm xung quanh phủ một viền lông bạc.
Nehéz illat ülte meg a szobát - a virágoké.	Trong phòng ngột ngạt và nặng mùi - mùi hoa.
Odalent a kis szobában Elizát pillantottuk meg, amint az ő tekintélyes karosszékében ült.	Trong căn phòng nhỏ dưới gác chúng tôi thấy Eliza đang ngồi trong chiếcghế bành của ông, đầy oai vệ.
Ösztönösen szokott székem felé tapogatóztam, a sarok felé, míg Nannie a tálalóhoz ment, és egy üveg sherryvel meg néhány borospohárral tért vissza.	Tôi dò dẫm đi về phía cái ghế quen thuộc của m`inh ở góc phòng trong lúc Nannie đi đến tủ bát đĩa mang lại một bình rượu sherry và mấy cái ly.
Az üvegeket az asztalra tette, és biztatott, kóstoljuk meg az italt.	Bà xếp tất cả lên bàn và mời chúng tôi uống một ly.
Aztán, nővére parancsára, a poharakba töltötte a sherryt, és végigkínált bennünket.	Rồi theo mệnh lệnh của bà chị, bà rót rượu ra các ly và chuyển cho chúng tôi.
Erőnek erejével belém akart tömni néhány puszedlit is, de szabadkoztam, mert tartottam tőle, hogy a rágással nagy zajt találok csapni.	Bà cũng ép tôi ăn mấy cái bánh quy kem, nhưng tôi từ chối bởi tôi nghĩ nếu ăn thì tôi sẽ phát ra quá nhiều tiếng động.
Visszautasításom láthatólag kiábrándította, csöndesen a díványhoz surrant, és leült a nővére háta mögött.	Bà có vẻ hơi thất vọng trước sự từ chối của tôi và im lặng đi về phía chiếc sofa rồi ngồi xuống, đàng sau bà chị.
Nagynéném megvárta, amíg Eliza felsóhajt.	Bác gái tôi chờ đến khi Eliza thở dài rồi nói:
- Eliza megint sóhajtott, és megadóan hajtotta le fejét.	Eliza lại thở dài một lần nữa và cúi đầu tỏ sự tán thành.
Nagynéném kissé megpöckölte borospohara talpát, mielőtt kortyintott.	Bác tôi mân mê chân ly rượu trước khi uống một ngụm nhỏ.
- És... hogy is mondjam... békésen...?	- Ông ấy có..một cách thanh thản không?- bà hỏi.
- Ó, nagyon békésen, asszonyom - mondta Eliza.	- Ồ vâng, khá thanh thản bà ạ - Eliza nói - Khó biết được ông ấy đã trút hơi thở cuối cùng lúc nào.
- És minden...?	- Còn các việc...?
- O’Rourke atya volt nála kedden, feladta az utolsó kenetet, előkészítette, meg miegyéb.	- Cha O'Rourke đã ở bên ông ấy hôm thứ Ba và xức dầu thánh và chuẩn bị mọi thứ cho ông ấy.
- Szóval már tudta?	- Lúc ấy ông ấy có biết không?
- Teljesen belenyugodott.	- Ông ấy đã khá cam chịu.
- Teljesen nyugodtnak is látszik - mondta nagynéném.	- Ông ấy trông khá cam chịu - bác tôi nói.
- Ugyanezt mondta az asszony is, akit a lemosáshoz fogadtunk.	- Người đàn bà chúng tôi gọi đến để lau rửa cho ông nói như vậy.
Senki sem hitte volna, hogy ilyen szép halott lesz belőle.	Không ai nghĩ thi thể ông ấy sẽ trở nên đẹp đẽ như vậy.
- Valóban - helyeselt nagynéném.	- Vâng, đúng thế - bác tôi nói.
Még egy kicsit kortyintott poharából, aztán így szólt:	Bà uống một ngụm rượu nữa và nói:
- Nos, Flynn kisasszony, mindenesetre önnek tiszta lehet a lelkiismerete, ön mindent megtett érte, ami egyáltalán lehetséges.	- Vâng, Miss Flynn, dù sao các bà cũng được an ủi vì đã làm tất cả những gì có thể cho ông ấy.
Önök mindketten nagyon gyengédek voltak hozzá, meg kell mondanom.	Cả hai bà đều rất tử tế với ông ấy, tôi phải nói vậy.
Eliza lesimította a térdén ruháját.	Eliza sửa nhẹ phần váy trên đầu gối cho ngay ngắn.
- Ó, szegény James! - susogta.	- Ôi, James tội nghiệp!
- Isten az tanúnk, hogy megtettünk minden tőlünk telhetőt, szegénységünkhöz képest - sosem látott szükséget mellettünk ezekben a nehéz időkben.	- bà nói - Có Chúa chứng giám chúng tôi đã làm tất cả những gì có thể, dù chúng tôi có nghèo khó, chúng tôi đã không để ông ấy phải thèm muốn bất cứ thứ gì mà không được toại nguyện.
Nannie fejét a díványpárnára ejtette, s bóbiskolni látszott.	Nannie đã dựa đầu vào chiếc gối trên sofa từ nãy và có vẻ sắp thiếp đi.
- Itt van ez a szegény Nannie - folytatta Eliza, rápillantva -, teljesen kimerült.	- Nannie tội nghiệp - Eliza nói, nhìn sang bà em - cô ấy đã kiệt sức.
Nem is tudom, mit csináltunk volna O’Rourke atya nélkül.	Nếu không có Cha O'Rourke tôi cũng không biết phải xoay sở ra sao.
Ő hozta az összes virágot és a két gyertyát a kápolnából, ő írta meg a közleményt a Freeman’s Generalnak, elintézte a temetési irományokat és szegény James biztosítását.	Chính Cha đã mang cho chúng tôi toàn bộ số hoa và hai cây nến này từ nhà thờ và viết cáo phó đăng trên tờ Tổng quan Người tự do, và lo toàn bộ chuyện thủ tục giấy tờ với nghĩa trang và chuyện bảo hiểm của James tội nghiệp.
- Hát nem szép tőle?	- Cha ấy tốt quá phải không?
- mondta a nagynéném.	- bác tôi nói.
Eliza behunyta szemét, és fejét rázogatta.	Eliza nhắm mắt lại và lắc đầu chầm chậm.
- Ó, nincsenek olyan barátok, mint a régi barátok - mondta -, ha minden bevégeztetett, nincs barát, akiben az ember megbízhatna.	- Vâng, rốt cuộc thì những người bạn cũ vẫn luôn là tốt nhất - bà nói - chứ hiếm có người có thể tin cậy được.
- Valóban így van - felelte nagynéném -, és biztosan tudom, most, hogy elköltözött az örök üdvösség országába, nem feledkezik meg önökről és az iránta tanúsított nagy-nagy gyengéd­ségről.	- Vâng đúng vậy - bác tôi nói - Và tôi chắc chắn rằng giờ đây khi ông ấy đã đến cõi vĩnh hằng, ông ấy sẽ không quên các bà và tất cả sự tử tế mà các bà đã dành cho ông ấy.
- Ó, szegény James!	- Ôi James tội nghiệp!
Az ember tudja, hogy eltávozott... ennyi az egész.	Dù sao, tôi cũng biết ông ấy đi rồi, đi mãi mãi.
- Majd ha az egészen túl lesznek, akkor fog hiányozni - mondta nagynéném.	- Khi mọi chuyện kết thúc mới là lúc các bà thấy nhớ ông ấy - bác tôi nói.
Ó, szegény James!	Ôi, James tội nghiệp!
- Tudja, megfigyeltem az utóbbi időben rajta valami különöset.	- Nhưng bà ạ, tôi để ý thấy có một cái gì đó kỳ lạ đã choán lấy ông ấy giai đoạn cuối đời này.
Valahányszor a levesét behoztam, hátraesve találtam őt a székén, nyitott szájjal, breviáriuma a padlón.	Lần nào tôi mang xúp lên, cũng thấy ông ấy nằm sõng soài trên ghế bành, miệng há hốc, quyển kinh nhật tụng lăn lóc trên sàn.
Ujját végighúzta az orrán, szemöldökét összemorcolta, aztán tovább beszélt.	Bà đưa một ngón tay chạm vào mũi, cau mày; và tiếp tục;
- De folyton-folyvást csak azt hajtotta, hogy mielőtt elmúlik a nyár, egy szép napon kocsiba ül, csak hogy megnézze a vén házat újra, Irishtownban, ahol mindnyájan születtünk, és hogy Nannie-t meg engem is magával visz.	- Nhưng ông ấy vẫn luôn miệng nói trước khi mùa hè trôi qua ông ấy sẽ đánh xe ra ngoài vào một ngày đẹp trời để đi thăm lại ngôi nhà cũ nơi chúng tôi sinh ra ở tận Irishtown, và sẽ đưa tôi và Nannie đi cùng.
Ha szert tudnánk tenni egy olyan újmódi, zajtalan kocsira, mint amilyenről O’Rourke atya is beszélt, egy olyan gumikerekűre, amelyik még olcsó is lenne - ezt mondta - odaát, Johnny Rush-nál, akkor kihajtanánk együtt hárman, egy vasárnap este.	Giá như chúng tôi có được một trong những cái vô tâm thời êm như ru mà Cha O'Rourke đã kể cho ông ấy nghe, những cỗ xe có bánh thấp khớp, thuê giá một ngày rẻ thôi - ông ấy nói, tại tiệm Johnny Rush phía trên kia và chở cả ba chúng tôi đi một buổi tối Chủ nhật.
- Az Úr legyen irgalmas lelkének!	- Cầu Chúa ban phước lành cho linh hồn ông ấy!
- mondta nagynéném.	- bác tôi nói.
Eliza elővette a zsebkendőjét, és megtörölgette a szemét.	Eliza rút khăn mùi soa ra và lau mắt.
Aztán visszatette zsebébe a zsebkendőt, és egy darabig szótlanul bámulta a kandallórácsot.	Rồi bà lại để nó vào túi và nhìn đăm đăm vào cái lò sưởi trống rỗng một lúc, không nói năng gì.
- Mindig aggályoskodott - szólalt meg.	- Lúc nào ông ấy cũng kỹ tính quá mức - bà nói - Công việc của một linh mục là quá nhiều đối với ông ấy.
- Igen - tűnődött nagynéném -, kiábrándult ember volt. Ez lerítt róla.	- Vâng, - bác tôi nói - ông ấy là một người bị nhiều thất vọng.
Csönd borult a kis szobára.	Có thể thấy điều đó.
Eliza mélységes álmodozásba hullott.	Eliza dường như đã chìm đắm vào một cơn suy tưởng.
Tiszteletteljesen vártuk, hogy megtörje a csendet: hosszú hallgatás után lassan indultak meg szavai:	Chúng tôi lặng lẽ chờ bà ta phá vỡ sự im lặng, và sau một lúc lâu, bà nói chậm rãi:
- Amikor összetörte a kelyhet... Ezzel kezdődött minden.	- Chính là cái cốc rượu thánh ông ấy làm vỡ...Chính từ khi đó mọi chuyện đã bắt đầu.
- kérdezte nagynéném.	- Mọi chuyện là thế ư?
- Hallottam valamit...	- bác tôi nói - Tôi có nghe phong phanh...
Eliza bólintott.	Eliza gật đầu.
Egy este keresték, valakihez ki kellett volna mennie, és nem találták sehol sem.	Rồi một đêm ông ấy được mời đi làm lễ nhưng người ta không tìm thấy ông ở đâu cả.
Akkor a sekrestyésnek eszébe jutott a kápolna.	R roo mục sư đề nghị hay thử tìm trong nhà thờ xem sao.
- folytatta Eliza révetegen.	Eliza kết luận:
Joe Dillon hozta közénk a Vadnyugatot.	Chính Joe Dillon là người đầu tiên giúp chúng tôi khám phá Miền Tây Hoang dã.
Volt egy kis könyvtára a Brit Oroszlán, a Bátorság és a Félpennys Csoda régi számaiból.	Nó có một thư viện nho nhỏ các số báo cũ tờ Union Jack, Pluck và Halfpenny Marvel.
Iskola után, esténként házuk mögött találkoztunk, a kertben, és minden este indiáncsatát rendeztünk.	Chiều tối, sau khi tan trường chúng tôi lại hẹn nhau ở vườn sau nhà nó và bày trận giả trò người Anh Điêng.
Joe málé öccsével, a dagadt Leóval, megszállta az istállópadlást, mi pedig megpróbáltuk rohammal elfoglalni; vagy közelharcot vívtunk a réten.	Nó và thằng em béo tên Leo, thằng lười biếng, trấn giữ góc chuồng ngựa trong khi chúng tôi cố gắng bao vây đánh úp; hoặc là, chúng tôi chơi trò đánh trận dàn quân trên cỏ.
De bár­milyen ügyesen harcoltunk is, sem ostromot, sem ütközetet soha meg nem nyertünk, és minden összecsapás Joe Dillon győzelmi haditáncával ért véget.	Nhưng, dù có thiện chiến thế nào, không bao giờ chúng tôi thắng được trò đánh úp hay trò dàn trận và những đợt tấn công của chúng tôi lần nào cũng kết thúc bằng điệu nhảy ăn mừng chiến thắng của Joe Dillon.
Joe azonban tomboló vadsággal vetette magát a játékba, ellenünk, akik fiatalabbak és szelídebbek voltunk.	Nhưng Joe thì chiến đấu một cách quá hung bạo đối với chúng tôi, những đứa bé hơn và rụt rè hơn nó.
Volt benne valami igazi indián, ahogy ócska teababa-fejdíszével körülszáguldozott a kertben és rikoltozott, öklével döngetve egy lyukas fazekat:	Trông nó hơi giống người Anh điêng những khi nó nhảy lò dò trong vườn, đầu đội cái giỏ tích cũ, tay đấm vào cái lon sắt và hét:
- Ya!	- Ya!
Yaka, yaka, yaka!	Yaka, yaka, yaka!
Amikor elterjedt a híre, hogy hivatást érez a papi pálya iránt, senki sem hitte el.	Mọi người ai cũng tỏ ra hoài nghi khi có lời đồn đại nó có thiên hướng làm mục sư.
Jobban szerettem az amerikai detektívtörténeteket, amelyekben kócos, szeszélyes, gyönyörű lányok időnként összekuszálják az eseményeket.	Tôi thích truyện trinh thám Mỹ hơn, trong đó thỉnh thoảng lại có những cô gái xinh đẹp và dữ dội.
Egyik nap, amikor Butler atya éppen a római történelem szokásos négy passzusát kérdezte ki, annál az ostoba Leo Dillonnál megtalált egy Félpennys Csodát.	Một hôm khi Cha Butler đang nghe chúng tôi dịch bốn trang Lịch sử La MÀ thì Leo Dillon ăn hại bị bắt quả tang với một tờ Haftpenny Marvel.
- Hol is tartunk?	- Trang này hay trang này?
Itt? Na, Dillon, gyere ki!	Nào, Dillon, đứng dậy.
"Alighogy felvirradt..." - Folytasd!	Ngày mới vừa... tiếp tục đi!
"Alighogy felvirradt a regg..." - Készültél?	Ngày mới vừa rang thì...Con đã học bài chưa đấy?
