ÉMILE ZOLA	Émile Zola
Az egyik oldalon némi fehérnemü volt, s fodorított tüllből készült főkötők, két-három frank darabja, mousseline-kézelők és gallérok, kötött mellények, alsószoknyák, fél-harisnyák, övek.	Một bên có ít hàng vải, những chiếc mũ bonnet xếp nếp giá hai ba francs một cái, những tay áo và cổ cồn mousseline, rồi những chiếc áo đan, vớ dài, vớ ngắn, dải đeo.
Minden darab megsárgult és gyűrött volt, siralmas állapotban, és vasdrótból való fogason függött.	Món nào cũng ngả vàng và nhăn nhúm treo thảm hại trên những móc của dây sắt.
A kirakatszekrény szintén telve volt tetőtől-talpig fehéres lim-lommal, mely gyászos látványt nyujtott az átlátszó homályban.	Tủ kính từ trên xuống dưới vì thế đầy những mớ giẻ trăng trắng mang dáng vẻ ảo não trong đám tối lờ mờ.
Az új főkötők, melyeknek fehérsége ragyogóbb volt, nyers fehér foltokként hatottak a deszkára ragasztott kék kárpiton.	Những chiếc mũ mới, màu trắng sáng hơn, tạo thành những bệt nổi lên trên nền xanh của giấy phủ vách.
A mousseline-tárgyak sápadt határozatlanságát egy keresztbe fektetet rúdra akgatott színes harisnyák sötét foltjai élénkítették.	Và những chiếc vớ ngắn màu mè móc dọc trên một thanh ngang trở thành những đốm tối nhạt nhoà mơ hồ giữa hàng vải mousseline.
A másik oldalon egy keskenyebb kirakatban lépcsőzetesen voltak elhelyezve a nagy, zöld gyapjú-gombolyagok, fehér papírra felvarrt fekete gombok, mindenféle színű és nagyságú skatulyák, acélgyöngyös hajhálók kékes papirgöngyölegre terítve, kötőtű-csomagok, szőnyegminták, szalagtekercsek - egész halom mindenféle fakult, sárgult holmi, mely nyilván már öt-hat éve hever ezen a helyen.	Ở góc khác, trong một tủ kính nhỏ hơn, những cuộn len xanh to kềnh chồng chất, những nút áo màu đen gắn trên các tấm bìa trắng, những chiếc hộp đủ màu và đủ cỡ, những lưới bao tóc có hột cườm bằng thép bay trên những khoanh giây xanh nhạt, những bó kim đan, những mẫu trướng, những cuộn ruban, một đống hổ lốn các đồ vật xỉn mờ hẳn đã nằm ở đó từ năm hoặc sáu năm nay.
Minden szín szennyes szürkévé változott ebben a szekrényben, melyet a por és a nedvesség korhasztott.	Mọi màu sắc đã ngả thành xám bẩn, trong chiếc tủ mà bụi bặm và ẩm thấp đã huỷ hoại này.
Nyáron, úgy déltájon, mikor a nap sárga sugarai szinte perzselik a tereket és utcákat, a másik kirakat főkötői mögött egy fiatal nő sápadt, komoly arcát lehetett látni.	Vào buổi trưa mùa hè, khi mặt trời chói chang trên các quảng trường và đường phố thì người ta thấy đàng sau những chiếc mũ của một tủ kính khác một khuôn mặt thiếu phụ xanh xao và trầm lặng.
Ez az arcél csak határozatlanul vált ki abból a sötétségből, mely a boltban uralkodott.	Khuôn mặt hiện ra mơ hồ trong bóng tối tràn ngập của tiệm.
Alacsony és száraz homloka volt, s hosszú, keskeny, hegyes orra; az ajka két kis halvány rózsaszín vonal volt, s az állától, mely rövid volt és ideges, hajlékony és kövéres vonal húzódott a nyakáig.	Dưới vầng trán thấp gầy nối tiếp một chiếc mũi dài, hẹp và thon, môi như hai vệt mảnh của một đoá hồng phai lạt, và chiếc cằm ngắn nổi gân, với đường nét mềm mại và đầy đặn tựa trên cổ.
Nem lehetett látni a derekát, mely elveszett a homályban; csak fénytelen fehér arca látszott, tágranyitott fekete szemekkel; az arcát szinte szétnyomta sűrű, sötét haja.	thân hình nàng khuất trong bóng tối, chỉ xuất hiện khuôn mặt một màu trắng nhợt nhạt, mắt trũng sâu đen lánh mở rộng và như thể bị át đi bởi mớ tóc dày màu tối.
Órákig álldogált mozdulatlanul, nyugodtan, a főkötők között, amelyekre a kirakat nedves rúdjáról szalagokban folyt le a rozsda.	Khuôn mặt ấy trong nhiều ở đó, bất động và bình thản, giữa hai chiếc mũ bonnet in vết rỉ của thanh treo ẩm mốc.
A falhoz üveges és csukott szekrények és zöld kartonból készült fiókok voltak rakva; négy szék és egy asztal tartozott még a butorzathoz.	Các tủ kính, tủ thường, những hàng các tông dựa sát vào tường, bốn chiếc ghế dựa vào một chiếc bàn bổ sung vào mớ đồ đạc trong nhà.
Az egész helyiség csupasznak és fagyosnak látszott; a bolti árúk be voltak csomagolva s az üzlet sarkaiban voltak összezsufolva, - nem hevertek szanaszét vidám színpompájukkal.	Căn phòng có vẻ trần trụi, lạnh lẽo, hàng hóa được đóng gói, dồn chặt vào các góc, không rơi vãi đây đó cùng với những màu sắc loè loẹt tươi vui của chúng.
Az utóbbi nő körülbelül hatvan éves volt; nyugodt, kövér arca szinte fehérlett a lámpa világa alatt.	Bà này chừng sáu mươi tuổi, khuôn mặt đầy đặn và bình thản, trắng lên dưới ánh sáng ngọn đèn.
Egy nagy tarka macska, mely az iroda egyik sarkában kuporgott, folyton nézte, amíg aludt.	Một con mèo vằn to tướng, ngồi xổm ở một góc quầy hàng nhìn bà ta ngủ.
Beljebb egy körülbelül harminc éves ember egy széken ülve olvasott vagy halkan beszélgetett a fiatal nővel.	Ở chỗ thấp hơn, một người đàn ông khoảng ba mươi tuổi ngồi trên ghế dựa đọc sách hoặc thì thầm với thiếu phụ.
Kicsiny, hitvány, beteges külsejű ember volt; a haja unalmasan szőke, a szakálla ritka, az arca csupa szeplő; olyan volt, mint egy beteg és elkényeztetett gyermek.	Anh ta nhỏ người, còm cõi, dáng điệu uể oải, tóc màu hoe nhạt, râu cằm lơ thơ, mặt lấm tấm những vết hoa, có vẻ như một đứa trẻ bệnh hoạn được nuông chiều.
Tiz óra felé az öreg nő felébredt.	Trước mười giờ một chút, người đàn bà thức giấc.
Becsukták a boltot és az egész család felment a lakásba aludni.	Họ đóng cửa tiệm lại và cả gia đình lên gác.
A tarka macska dorombolva ment a gazdái után s utközben a lépcső minden korlátjához hozzádörgölődzött.	Con mèo vằn đuổi theo chủ kêu gừ gừ cọ đầu vào tay vịn cầu thang.
Odafent a lakás három szobából állott.	Trên đó nhà có ba phòng.
A lépcsőn az ebédlőbe jutottak, amely egyszersmind szalon is volt.	Cầu thang dẫn đến một phòng ăn cũng được dùng làm phòng khách.
Balról a fülkében egy cserépkályha volt, ezzel szemben volt az ebédlőszekrény; a székek a fal mellé voltak állítva, a szoba közepén pedig egy kerek asztal állott egészen kinyitva.	Bên trái là một lò sưởi bằng sành nằm ở một hóc tường, đối diện dựng thẳng một tủ búp phê, rồi những chiếc ghế dựa xếp dài theo tường, một chiếc bàn tròn rất rộng choán giữa phòng.
Hátul, az üvegajtón át a sötét konyhába lehetett látni.	Phía trong cùng, sau vách kính là một bếp nấu ăn đen đúa.
Az ebédlőtől jobbra-balra egy-egy hálószoba volt.	Bên cạnh phòng ăn là hai phòng ngủ.
Az öreg hölgy megcsókolta a fiát és a menyét s azután bement a szobájába.	Người phụ nữ già sau khi ôm hôn con trai và con dâu, rút vào phòng riêng.
A macska egy széken aludt a konyhában.	Con mèo ngủ trên chiếc ghế dựa ở bếp.
A házaspár is bement a szobájába.	Hai vợ chồng đi vào phòng ngủ của mình.
Ennek a szobának egy második ajtaja is volt, mely a lépcsőre nyilott; ezen a lépcsőn s egy sötét keskeny folyosón át ki lehetett jutni a sikátorba.	Phòng này có một cửa thứ hai hướng đến một cầu thang trổ ra ngõ qua một lối đi tối tăm và chật hẹp.
A férj, ki mindig lázas volt, lefeküdt; a fiatal nő ez alatt kinyitotta az ablakot, hogy becsukhassa az ablaktáblákat.	Người chồng lúc nào cũng run rẩy vì sốt đã đặt mình xuống giường trong lúc đó người vợ trẻ mở ô cửa sổ để khép cánh cửa chớp lại.
Néhány percig az ablaknál maradt, a durván vakolt nagy fekete fal előtt, mely a sikátor üvegteteje fölött emelkedett a magasba.	Nàng dừng lại vài phút đối diện với bức tường lớn đen đúa, trát vữa thô nhám, sừng sững trải dài một bên ngõ hẻm.
Révedező tekintete végigfutott ezen a falon s azután ő is szó nélkül lefeküdt, mindent lenéző közönnyel.	Nàng dạo tia mắt nhìn mơ hồ bức tường đó, rồi câm lặng, đến lượt mình trở vào giường nằm, với dáng vẻ khinh miệt dửng dưng.
Raquinné régebben rövidárú-kereskedő volt Vernonban.	Bà Raquin là người bán tạp hoá cũ ở Vernon.
Csaknem huszonöt esztendeig élt ennek a városnak egyik kis boltjában.	Trong gần hai mươi lăm năm, bà đã sống trong một tiệm buôn nhỏ của thành phố này.
Néhány évvel a férje halála után belefáradt a dologba és eladta az üzletét.	vài năm sau cái chết của người chồng, lòng đầy chán chường, bà bán đi sản nghiệp.
Az eladási árhoz hozzátéve megtakarított pénzecskéjét, negyvenezer frankja volt; ezt a pénzt úgy helyezte el, hogy kétezer frank évjáradéka volt belőle.	Tiền dành dụm cộng với việc bán buôn này đã cho bà một số vốn trong tay bốn chục ngàn francs mà bà đã đầu tư mang đến số lợi tức hàng năm, hai ngàn francs.
Ez az összeg bőven elég volt neki.	Số tiền này đủ để bà tiêu pha rộng rãi.
Nagyon zárkozott életet élt, mitse tudva a világ örömeiről és kínzó gondjairól; békés, nyugodt és boldog létet biztosított magának.	Bà sống cuộc đời xa cách, không biết gì đến những niềm vui hay những nỗi lo toan gay gắt của thế gian này, bà tồn tại hên bình với niềm hạnh phúc lặng lẽ.
A világtól elzárt, diszkrét lakás volt ez, sőt egy kissé kolostorszagú; egy nagy rét közepén volt ez a remetelak, amelyhez egy keskeny ösvényen át lehetett bejutni; a lakás ablakai a folyó, s a túlsó part puszta dombjai felé nyiltak.	Một con đường hẹp dẫn đến nơi ẩn cư giữa những cánh đồng cỏ mênh mông, cửa sổ hướng về con sông và những ngọn đồi hoang vắng ở bờ bên kia.
A derék hölgy, aki akkoriban már meghaladta ötvenedik évét, ebbe a magányba zárkozott el, hogy élvezze vidám örömeit, fiának, Camillenak és unokahúgának, Theresenek társaságában.	Người đàn bà tốt bụng khi đã qua cái tuổi năm mươi, tự khép mình vào nơi tận cùng hiu quạnh này và ở đó, bà hưởng niềm vui thanh thản giữa đứa con trai Camille và cô cháu gái Thérèse của mình.
Camille akkoriban húsz éves volt.	Rồi Camille hai mươi tuổi.
Az anyja még mindig úgy kényeztette, mint egy kis fiút.	mẹ gã vẫn nuông chiều gã như một đứa trẻ con.
Imádta őt, mert a fiúnak egész ifjúsága szenvedés volt s ő disputálta el a haláltól.	Bà yêu thương gã tha thiết để giành lấy sự sống cho gã suốt thời thiếu niên triền miên đau đớn.
A gyerek minduntalan lázas volt és minden elképzelhető betegséget végigszenvedett.	Đứa trẻ liên tục bị những cơn sốt và mọi chứng bệnh có thể tưởng tượng được.
Raquinné tizenöt évi küzdelmet folytatott a rettenetes bajok ellen, amelyek egymást érték, hogy elragadják tőle a fiát.	Trong suốt mười lăm năm trời bà Raquin phải chống đỡ những cơn bệnh đáng sợ cứ liên miên kéo đến hòng cướp đi đứa con của bà.
És ő mind legyőzte őket türelmével, gondoskodásával és imádatával.	Và bà đã chiến thắng tất cả bằng lòng kiên trì, sự chăm chút và tình thương yêu tha thiết của mình.
Camille, ha megmentették is a haláltól és felnövekedett is, örökké remegett az egymást érő csapások alatt, amelyek fájdalmakat hagytak a testében.	Camille lớn lên, thoát khỏi cái chết nhưng vẫn hoàn toàn run rẩy bởi những cơn chấn động nối tiếp nhau làm đau đớn thể xác.
Vékony tagjai lassan és fáradtan mozogtak.	Chân tay gã mảnh khảnh cử động một cách chậm chạm và uể oải.
E gyöngesége miatt, amely elgyötörte őt, az anyja még jobban szerette.	Bà mẹ càng yêu thương hơn vì sự yếu đuối đã hoàn toàn chế ngự gã.
Szegény kis sápadt alakjára mindig diadalmas gyöngédséggel nézett, - arra gondolt, hogy több, mint tízszer adott neki életet.	Bà nhìn ngắm khuôn mặt nhỏ xanh xao đáng thương ấy bằng tất cả sự dịu dàng hãnh diện và nghĩ rằng mình đã trao cho nó cuộc sống mười lần hơn.
A fiú, ha szenvedése néha nyugton hagyta, egy kereskedelmi tanfolyamra járt Vernonban.	Trong những lúc yên tĩnh hiếm hoi khi nỗi đau đớn lãng quên nó, đứa trẻ theo học ở trường thương mại Vernon.
Itt helyesírást és számtant tanult.	Nó học các môn chính tả và số học.
Tudománya azonban nem terjedt túl a négy alapműveleten s a nyelvtanból tudott még egyet-mást igen felületesen.	Kiến thức của nó chỉ hạn chế trong bốn phép tính và một sự hiểu biết hời hợt về ngữ pháp.
Később szépírásra és könyvelésre is tanították.	Về sau nó thực hành những bài tập viết và kế toán.
Raquinné mindjárt remegett, ha azt tanácsolták neki, hogy küldje a fiát kollégiumba; tudta, hogy ha a fiú tőle távol volna, akkor meghalna; azt szokta mondani, hogy a könyvek megölnék.	Bà Raquin bắt đầu run sợ khi có ai đó khuyên nên gởi cậu con trai vào trường trung học, bà biết nó sẽ chết mất nếu xa bà, bà cho là sách vở sẽ giết nó.
Camille tudatlan maradt és tudatlansága csak bajainak a számát szaporította.	Vậy là Camille, vẫn dốt nát, và sự dốt nát đó như thêm vào sự yếu đuối trong con người nó.
Tizennyolc éves korában, miután nem volt semmi dolga, már halálosan megunta azt a sok kedvességet, mellyel az anyja körülvette; beállott tehát egy vászonkereskedőhöz segédnek.	Đến năm mười tám tuổi, vô công rồi nghề, buồn chán chết đi được trong sự dịu dàng bao bọc của người mẹ, gã xin vào làm trong một hiệu buôn vải, giữ chân thư ký lương tháng sáu chục francs.
Sokkal nyugodtabbnak, egészségesebbnek érezte magát ebben az állati munkában, amikor mint boltossegéd egész nap a számlák fölött kuporgott s óriási összeadásokat végzett, minden számjegyet türelmesen külön betűzgetve.	Gã cảm thấy yên tâm hơn, sức khoẻ tốt hơn trong công việc nặng nhọc thô thiển này, dưới vai trò một nhân viên suốt ngày cặm cụi trên các hoá đơn, trên những phép tính kếch sù mà gã kiên trì dò từng con số một.
Este, ha ki is volt fáradva teste-lelke, végtelen gyönyörűséget érzett abban az eltompulásban, amely erőt vett rajta.	Buổi chiều, rã rời, đầu óc trống rỗng, gã tận hưởng những khoái lạc vô tận trong sâu thẳm sự trì độn của mình.
Perlekednie kellett az anyjával, hogy beléphessen a vászonkereskedőhöz; az anyja azt akarta, hogy mindig csak mellette legyen, teljes biztonságban, távol az élet esetleges baleseteitől.	Gã đã phải cãi cọ với bà mẹ để được vào cửa hàng buôn vải, trong khi bà muốn luôn giữ gã bên mình, dưới mái nhà, xa cách những bất trắc của cuộc đời.
A fiatalember azonban úgy beszélt, mintha ő volna az úr a háznál; úgy követelte a munkát, mint ahogy más gyermek a játékot követeli, nem kötelességérzetből, hanem ösztönszerüen, természetes szükséglete gyanánt.	Chàng trai trẻ lên giọng kẻ cả, gã đòi hỏi việc làm như trẻ con vòi vĩnh đồ chơi, không phải vì ý thức bổn phận mà vì bản năng, vì nhu cầu tự nhiên.
Anyjának gyöngédsége és odaadása vad önzést fejlesztett ki benne; azt hitte, szereti azokat, akik fáradhatatlanul gondozzák és becézgetik; de a valóságban távol állott tőlük, csak magának élt, nem szeretett senkit, csak önmagát és minden lehetséges eszközt igyekezett felhasználni, hogy növelhesse ezt az örömét.	Tình âu yếm, lòng tận tuỵ của bà mẹ khiến cho gã ích kỷ ghê gớm, gã tưởng mình yêu thương những ai thương xót và âu yếm gã, nhưng thực tế gã sống tách biệt và trong tận đáy lòng, gã chỉ thích sự thoải mái cho riêng mình, tìm đủ mọi cách có thể để tăng cường sự hưởng thụ riêng.
Mikor Raquinné ellágyult szeretetét megútálta, egész élvezettel vetette bele magát abba az ostoba foglalkozásba, amely legalább megmentette őt a különféle orvosságok szedésétől.	Khi sự trìu mến, mủi lòng của bà Raquin làm gã chán ngấy, gã cuồng nhiệt lao vào nỗi đam mê ngu xuẩn rứt gã ra khỏi những chén nước sắc cùng lọ thuốc.
Esténkint az irodából hazatérve a Szajna partján sétálgatott unokanővérével, Therese-zel.	Rồi buổi chiều, từ bàn giấy trở về, gã chạy đến bờ sông Seine cùng cô em họ Thérèse của mình.
Therese tizennyolcadik évében volt.	Thérèse gần mười tám tuổi.
Egyszer, tizenhat évvel azelőtt, amikor Raquinnének még megvolt az üzlete, a fivére, Degans kapitány, egy kisleányt hozott neki a karján.	Vào một ngày cách đây mười sáu năm, lúc bà Raquin còn bán tạp hoá thì em trai bà, đại uý Degans mang đến một đứa bé gái.
Algirből jött.	ông ta đến từ Algérie.
- Nesze egy gyerek, akinek te vagy a nagynénje, - mondotta mosolyogva. - Az anyja meghalt... Nem tudom, mit csináljak vele.	- Đây, đứa bé cháu của chị - ông nói với một nụ cười mỉm - Mẹ nó đã mất..Tôi thì chẳng biết làm thế nào.
Neked adom.	Tôi giao nó cho chị.
Az asszony elvette a gyereket, rámosolygott, megcsókolta piros orcáit.	Bà hàng xén ôm lấy đứa bé, cười với nó và hôn lên đôi má hồng của nó.
Degans nyolc napig maradt Vernonban.	Degans ở lại Vernon t'am ngày.
A nővére nem igen kérdezgette a kis leány felől, akit neki hozott.	Người chị chỉ hỏi qua loa về đứa bé mà ông đã trao cho.
Körülbelül csak annyit tudott, hogy a kedves kicsike Oranban született, és hogy nagyon szép benszülött nő volt az anyja.	Bà hiểu lờ mờ là cô bé được sinh ra ở Oran, thành phố cảng của Algérie, và thừa hưởng nhan sắc tuyệt vời của một bà mẹ bản xứ.
Thereset a nagynénje langyos gyöngédséggel nevelgette s ugyanabba az ágyba fektette, amelyben Camille aludt.	Thérèse lớn lên, cùng ngủ cùng giường với Camille trong tình âu yếm ấm áp của người cô.
A leánynak vas egészsége volt, de úgy nevelték, mintha valami nyomorék gyermek volna; neki is be kellett vennie azokat az orvosságokat, amelyeket az unokatestvére szedett, s a kis beteg szobájának meleg légkörében kellett fölnevelkednie.	Cô có một sức khoẻ thép mà lại được chăm sóc như một đứa trẻ ốm yếu, chia sẻ thuốc men với người anh họ, được giữ gìn trong không khí nóng bức của căn phòng đầy rẫy hơi thở của gã bệnh nhân trẻ tuổi.
Órákig kuporgott a tűz előtt, elgondolkozva s a lángokba bámulva anélkül, hogy szempilláit lecsukná.	Trong nhiều giờ, cô ngồi xổm trước ngọn lửa, trầm tư, nhìn chằm chằm những ánh lửa không chớp mắt.
Az üdülő betegnek ez az életmódja, melyet rákényszerítettek, arra bírta, hogy sokat foglalkozzék önmagával; megszokta, hogy halkan beszéljen, hogy zajtalanul járjon-keljen, némán és mozdulatlanul üljön a széken, nyitott szemekkel anélkül, hogy valamit nézne.	cuộc sống bị buộc phải dưỡng bệnh này khiến cô cuộn mình lại, mắc thói quen ăn nói thầm thì, bước đi không tiếng động, ngồi câm lặng và bất động trên chiếc ghế dựa, cặp mắt mở trừng trừng và tia nhìn trống rỗng.
De amikor felemelte a karját vagy megmozdította a lábát, érezni lehetett, hogy olyan hajlékony, mint a macska, az izmai rövidek és erősek, - hogy csupa energia és hogy csupa szenvedély szunnyadozik elaltatott testében.	Và khi cô nhấc một cánh tay hoặc tiến một bước chân, người ta cảm thấy trong cô có sự mềm dẻo của loài mèo, các cơ bắp săn gọn mạnh mẽ, cả một năng lượng, cả một đam mê nằm yên trong cái thể xác ngủ quên của cô.
