A KASTÉLY	LÂU ĐÀI
- kérdezte K., mintha meg akarna győződni róla, nem csak álmodta-e, amit az imént hallott.	- K. hỏi như thể muốn tin chắc điều mình vừa nghe là không phải ở trong mơ.
- Engedély kell hozzá - hangzott a válasz, s mintha gúnyos megszégyenítés lett volna K.-ra nézve, amikor a fiatalember széttárt karral a kocsmáros és a vendégek felé fordult:	- Phải có giấy phép. - có tiếng đáp, và như để cợt nhạo K., gã trẻ tuổi dang cánh tay về phía chủ quán và những người khách: - Hay là không cần giấy phép nhỉ?
- Vagy talán nem kell hozzá engedély?	- Vậy thì tôi đi xin phép.
- Hát akkor elmegyek az engedélyért - mondta ásítva K., és lelökte magáról a takarót, mintha föl akarna kelni.	- K. vừa ngáp vừa nói, rồi hất chiếc chăn khỏi người như thể chàng muốn ngồi dậy.
- De kihez?	- Nhưng đi xin ai?
- kérdezte a fiatalember.	- gã trẻ tuổi hỏi.
- A gróf úrhoz - felelte K. - Ki máshoz mehetnék?	- Đến xin ngài bá tước, - K. trả lời.
- Most, éjfélkor, a gróf úrhoz, az engedélyért?	- Đến ngài bá tước để xin phép lúc nửa đêm thế này à?
- kiáltott föl a fiatalember, és hátrált egy lépést.	- gã trẻ tuổi kêu lên và lùi lại một bước.
- Talán nem lehet?	- Không được sao?
- kérdezte K. egykedvűen.	- K. hỏi tưng tửng.
- Akkor miért zavart föl?	- Vậy tại sao anh đánh thức tôi dậy?
A fiatalembert egyszeriben elöntötte az indulat.	Gã trẻ tuổi đột nhiên nổi cáu:
- Csavargó tempók!	- Quân lêu lổng!
- kiabálta.	- gã thét lên.
- Tessék tisztelettel lenni a grófi hatóság iránt!	- Tôi yêu cầu anh phải tôn trọng người của bá tước!
Azért zavartam föl, hogy tudomására hozzam: azonnal hagyja el a grófi birtokot.	Tôi gọi anh dậy để cho anh biết rằng ngay lập tức, anh phải rời khỏi lãnh địa của bá tước.
- Elég a komédiából - mondta K. meglepően halkan, visszafeküdt, és magára húzta a takarót.	- K. nói giọng nhẹ nhàng một cách bất ngờ, rồi chàng nằm xuống, kéo chăn lên đắp.
- Túlságosan elkapatta magát, fiatalember, és holnap még majd visszatérek a viselkedésére.	- Anh quá hống hách đấy, anh bạn trẻ ạ. Ngày mai chúng ta sẽ nói chuyện về cách xử sự của anh bạn.
A kocsmáros meg az urak tanúim lesznek, ha egyáltalán szükségem lesz tanúra.	Chủ quán và các ngài đây sẽ là nhân chứng, nếu tôi cần đến.
Egyébként vegye tudomásul, én vagyok az a földmérő, akit a gróf hívatott ide.	Anh bạn hãy biết rằng tôi là người đạc điền mà ngài bá tước mời đến.
Hogy ebben az időben már nem jelentkez­hetem a kastélyban, azt magamtól is tudtam, fölösleges volt kitanítania.	Tôi tự biết là lúc này không thể đến trình diện ở Lâu đài, anh lên lớp tôi là thừa.
Ezért értem be ezzel a szállással itt, ahol, enyhén szólva, udvariatlanul megzavarta a nyugtomat.	Tôi phải nghỉ lại ở cái nơi mà nói một cách nhẹ nhàng, anh đã phá rối sự yên tĩnh của tôi một cách bất nhã.
Azzal K. befordult a kályha felé.	Nói xong K. quay mặt về phía lò sưởi.
- Földmérő?	- Người đạc điền à?
- hallotta még háta mögött a habozó kérdést, aztán teljes csönd lett.	— chàng nghe sau lưng có tiếng hỏi ngập ngừng, rồi tất cả im lặng.
A fiatalember azonban rövidesen összeszedte magát, s elég halkan ahhoz, hogy úgy tessék, mintha tekintettel lenne K. álmára, de azért elég hangosan ahhoz is, hogy minden szavát kivehesse, így szólt a fogadóshoz:	Gã trẻ tuổi nhanh chóng trấn tĩnh lại, và như thể quan tâm tới giấc ngủ của K., gã nói với chủ quán một cách nhỏ nhẹ nhưng rõ ràng từng tiếng:
- Megkérdezem telefonon.	- Tôi hỏi qua điện thoại vậy
Hogyan, hát ebben a falusi kocsmában telefon is van?	Vậy ra trong quán trọ của làng này cũng có điện thoại ư?
Kitűnően föl vannak szerelve.	Họ được trang bị ghê thật.
K. hirtelenében meglepődött, alapjában véve természetesen számított rá.	Tuy K. có hơi ngạc nhiên nhưng nói chung chàng cũng không quan tâm lắm.
A telefon majdnem a feje fölött függött, csak az álmosságtól nem vette észre.	Hóa ra điện thoại treo gần như ở phía trên đầu chàng, nhưng do buồn ngủ nên K. đã không nhìn thấy.
Ha a fiatalember telefonálni akart, legjobb szándékai ellenére is meg kellett zavarnia K. álmát, s most már csak az volt a kérdés, hagyja-e őt K. telefonálni; elhatározta, hogy hagyja.	Nếu gã trẻ tuổi gọi điện thoại thì dù có giữ ý mấy vẫn phải quấy rầy giấc ngủ của K. Vấn đề bây giờ là K. có để cho gã gọi điện thoại không? Chàng quyết định cứ để gã gọi.
Akkor viszont annak sem volt semmi értelme, hogy továbbra is úgy tegyen, mintha aludnék, így hát újra hanyatt fordult.	Nếu vậy thì việc chàng tiếp tục giả vờ ngủ không còn ý nghĩa gì nữa, nên K. lại nằm ngửa ra.
S elkezdődött a telefonálás.	Gã trẻ tuổi bắt đầu gọi điện thoại.
A várnagy aludt, de egy alvárnagy, egy a sok közül, bizonyos Fritz úr ott volt.	Quan phòng thành của Lâu đài đã ngủ, nhưng một trong số những người giúp việc quan phòng thành, ngài Fritz, đang thức.
A fiatalember, aki Schwarzer néven jelentkezett, beszámolt róla, hogyan akadt rá K.-ra, egy jó harmincas, meglehetősen pocakos férfira, nyugodt álomban egy szalmazsákon, kis hátizsákkal a feje alatt, s egy husánggal a keze ügyében.	Gã trẻ tuổi xưng tên là Schwarzer và thuật lại việc gã gặp K., một người đàn ông trạc độ ba mươi tuổi, ăn mặc khá tồi tàn, đang ngủ ngon lành trên nệm rơm, đầu gối lên cái ba lô nhỏ, một cây gậy gỗ đặt bên cạnh.
Természetesen gyanúsnak találta, és mert a fogadós nyilvánvalóan elmulasztotta kötelességét, neki, Schwarzernak lett a köteles­sége, hogy alaposan kivizsgálja a dolgot.	Tất nhiên gã nghi ngờ con người này, và vì chủ quán đã quên mất trách nhiệm của mình, nên gã, Schwarzer, phải kiểm tra sự việc đến nơi đến chốn, nhưng K. tỏ ra bực tức vì bị đánh thức và bị dọa sẽ phải ra khỏi lãnh địa của bá tước.
Mint végül is kiderült, K. igen a szívére vette, hogy fölébresztették, és kötelességszerűen megfenyegették, hogy kiutasítják a grófság területéről, s lehet, hogy igaza is van, mert azt állítja, földmérő, és a gróf úr rendelte ide.	Có thể là K. đúng, vì đã quả quyết mình là người đạc điền được ngài bá tước mời đến đây.
Természetesen legalábbis forma szerint való kötelesség ellenőrizni állítását, Schwarzer ezért arra kéri Fritz urat, legyen szíves, tudakolja meg a központi irodán, valóban várnak-e ilyesféle földmérőt, s azonnal telefonálja meg a választ.	Tất nhiên ít ra thì cũng phải có trách nhiệm xem xét lại lời quả quyết đó của K. theo thủ tục, vì vậy Schwarzer đề nghị ngài Fritz làm ơn hỏi lại văn phòng trung tâm là có thật họ đang đợi một nhà đạc điền như thế này không và xin trả lời ngay bằng điện thoại. Lại yên lặng.
Újra csönd lett, Fritz utánanézett odafönt a dolognak, itt meg várták a választ.	Ngài Fritz đang kiểm tra sự việc ở trên đó, còn ở đây, mọi người đợi trả lời.
K. feküdt, ahogy addig, még csak meg se fordult, maga elé nézett, egyáltalán nem látszott kíváncsinak.	K. vẫn nằm bất động như cũ, mắt nhìn ra trước mặt, không lộ vẻ tò mò.
Schwarzer elbeszéléséből, a gonoszságnak és az óvatosságnak ebből a keverékéből sejthette, hogy a kastélyban még az ilyen Schwarzer-féle alantasabb rangú embereknek is van bizonyos diplomatikus képzettségük.	Qua câu chuyện của Schwarzer, thái độ ác cm và thận trọng của gã, chàng có thể nhận thấy trong Lâu đài thậm chí cả những người cấp thấp như Schwarzer cũng ít nhiều được huấn luyện về phép ngoại giao.
A válasz igen kurta lehetett: Schwarzer dühöngve azonnal lecsapta a kagylót. - Nem megmondtam?	Câu trả lời chắc là rất ngắn gọn, ngay lập tức Schwarzer bực bội dập ống nói xuống:
- ordította.	- Tôi đã bảo mà.
- Nyoma sincs semmiféle földmérőnek, közönséges, hazug csavargó, ha ugyan nem rosszabb.	- gã hét lên - Anh ta không phải là nhà đạc điền nào cả, mà chỉ là kẻ bịp bợm, một gã lang thang nếu không phải là xấu hơn thế.
K. egy pillanatig attól tartott, Schwarzer, a parasztok, a vendéglős, a vendéglősné, mind azon nyomban rárohannak.	Ngay lúc đó K. sợ Schwarzer, những người nông dân cùng chủ quán và vợ lao vào chàng, vì thế để ít ra cũng tránh được đòn tấn công đầu tiên, chàng vội chui hẳn vào chăn.
Lassan újra kidugta a fejét. Bár valószínűtlen volt, hogy a hívás megint K.-ra vonatkozzék, mindnyájan megtor­pantak, és Schwarzer visszament a készülékhez.	Mặc dù không ai biết chắc chắn cú điện thoại này liên quan đến K. mọi người đều đứng sững lại, còn Schwarzer thì đi đến chỗ để máy.
Végighallgatott valami hosszabb tájékoz­tatást, majd halkan így szólt:	Gã nghe một lúc lâu rồi khẽ lên tiếng:
- Szóval tévedés?	- Nghĩa là nhầm ạ?
Nagyon kellemetlenül érint.	Thật là khó xử cho tôi.
Maga a hivatalfőnök telefonált?	Ngài chánh văn phòng ấy à?
Különös, különös.	Thật là lạ lùng.
Hogy magyarázzam meg a földmérő úrnak?	Tôi phải giải thích sao đây cho ngài đạc điền?
K. fölfigyelt.	K. chăm chú lắng nghe.
Szóval a kastély kinevezte földmérőnek.	Nghĩa là Lâu đài đã khẳng định chàng là người đạc điền.
Ez egyfelől kedvezőtlen volt rá nézve, mert arra vallott, hogy a kastélyban mindent tudnak róla, fölmérték az erőviszonyokat, és mosolyogva fölvették a harcot.	Còn nếu họ tưởng bằng việc nghiễm nhiên thừa nhận chàng là người đạc điền có thể làm cho chàng sợ thì họ đã nhầm: chàng chỉ hơi chờn chợn một chút, tất cả chỉ có thế!
Ha pedig azt hiszik, hogy földmérőségének ezzel a szellemi szempontból kétségkívül túlzott elismeré­sével tartósan megfélemlíthetik: nos, akkor tévednek, éppen csak beleborzongott egy kicsit, ennyi volt az egész.	Người ta thuyết phục chàng chuyển sang phòng chủ quán, nhưng K. không chịu, chỉ uống một ngụm nước làm cho dễ ngủ mà người chủ quán đưa, rồi đón lấy chậu rửa cùng xà phòng và khăn mặt từ tay vợ người chủ quán.
A lámpát el­oltották, végre békességben volt.	Đèn tắt, cuối cùng thì sự yên tĩnh đã đến.
Mélyen aludt reggelig, csak egyszer-kétszer zavarta meg álmát könnyedén egy-egy surranó patkány.	K. ngủ thiếp đi cho đến sáng, chỉ một hai lần có con chuột cống đến quấy rầy giấc ngủ của chàng.
A vendéglős azonban, akivel, tekintettel tegnapi viselkedésére, mindeddig csupán néhány múlhatatlanul szükséges szót váltott, addig kuncsorgott körülötte, hogy végül is megesett rajta a szíve, és leültette pár percre maga mellé.	Chủ quán, người mà cho đến lúc ấy chàng chỉ trao đổi vài lời xã giao cần thiết do sự đối xử của anh ta hôm qua, cứ quanh quẩn bên chàng đến nỗi cuối cùng thương tình chàng đã bảo ngồi xuống cạnh mình.
- Még nem ismerem a grófot - mondta K. - Azt mondják, a jó munkát jól megfizeti, igaz?	- Tôi chưa quen ngài bá tước, - K. nói.
Ha az ember ilyen messze elkóborol az asszonytól meg a családtól, legalább haza akar vinni valamit.	- Người ta bảo nếu làm việc tốt thì được trả tiền cao, có đúng thế không?
- Efelől ne legyen gondja az úrnak; semmi olyasféle panaszt nem hallani, hogy rossz volna a fizetség.	- Về việc ấy xin ngài đừng lo, tôi chưa nghe nói có ai than phiền là họ trả tiền ít.
- Nem vagyok ijedős ember - jegyezte meg K. - Megmondom én a véleményemet akár egy grófnak is; de persze sokkal jobb, ha békén meglehetünk az urakkal.	- Tôi cũng không phải là người nhút nhát đâu. - K. nói, - tôi có thể phát biểu thẳng ý kiến mình với chính ngài bá tước.
Először odatolakodott hozzá, de most mintha a legszívesebben elszaladt volna.	Và mặc dù trước đó anh ta cứ quanh quẩn bên chàng, bây giờ lại như thể muốn bỏ chạy.
Attól félt, hogy kikérdezik a gróf felől?	Anh ta sợ chàng hỏi về ngài bá tước chăng?
Vagy attól, hogy az "úr", akinek K.-t tartotta, nem elég megbízható?	Hay là anh ta sợ K. là một "ông lớn" không đáng tin cậy?
K. úgy vélte, jobb lesz másra terelni a szót.	K. nghĩ tốt nhất là nói tránh sang việc khác.
Az órára pillantott, azt mondta:	Chàng nhìn đồng hồ rồi nói:
- Nemsokára megjönnek a segédeim; el tudod itt helyezni őket?	- Không lâu nữa những người phụ việc của tôi sẽ đến, anh có thể sắp xếp nghỉ cho họ được không?
- Nyilván, uram - hangzott a válasz.	- Tất nhiên, thưa ông! - anh ta trả lời.
- De hát nem veled laknak a kastélyban?	- Thế họ không ở với ông trong Lâu đài à?
Ilyen könnyen lemondott a vendégekről, s kivált K.-ról, akit mindenáron a kastélyba költöz­tetett volna?	Anh ta dễ dàng từ chối khách như thế đấy, nhất là với K., bằng mọi giá anh ta muốn chuyển chàng vào Lâu đài hay sao?
- Az még nem biztos - mondta K. - Előbb tudnom kell, miféle munkáról van szó.	- Điều đó còn chưa chắc chắn, - K. nói, - trước hết tôi cần phải biết công việc ra sao.
Ha például itt lent kell dolgoznom, sokkal ésszerűbb, ha lakni is idelent lakom.	Nếu cần phải làm việc ở đây thì hợp lý nhất là tôi sống ở dưới này.
Meg tartok attól is, hogy fönt a kastélyban nem lenne kedvemre való az élet.	Tôi e rằng cuộc sống ở trên Lâu đài không thích hợp với tôi.
Szeretem, ha mindig szabad vagyok.	Tôi luôn muốn được tự do.
- Nem ismered a kastélyt - mondta halkan a kocsmáros.	- Ông chưa biết Lâu đài rồi, - chủ quán nói nhỏ.
- Persze nem szabad vaktában ítélni - mondta K. - Egyelőre csak annyit tudok a kastélyról, hogy értenek hozzá, milyen földmérőt válasszanak maguknak.	- Tất nhiên không nên nói mò, — K. nói. - Tôi chỉ biết ở Lâu đài người ta hiểu cần phải chọn một nhà đạc điền như thế nào cho mình.
De bizonyára vannak egyéb jó tulajdonságaik is.	Nhưng chắc là họ còn có những ưu điểm khác nữa.
Fölállt, hogy a nyugtalan, ajkát rágó kocsmáros megszabaduljon tőle.	Chàng đứng dậy để giải thoát cho người chủ quán đang bặm môi, bồn chồn lo lắng.
Ennek az embernek igazán nem volt könnyű megnyerni a bizalmát.	Thật là không dễ gì làm cho con người này tin được.
Elmenőben K.-nak föltűnt a falon egy sötét keretes, sötét arckép.	Một bức chân dung sẫm màu viền khung đen ở trên tường đập vào mắt K. khi chàng bước ra cửa.
Már fekhelyéről észrevette, de messze volt tőle, nem tudta jól kivenni, s azt hitte, a képet kivették a keretből, nem maradt ott, csak a hátsó papírlemez, azt látni.	Chàng đã thấy nó từ chỗ nằm hôm qua, nhưng vì ở xa chàng không nhận ra bức ảnh, cứ tưởng người ta đã lấy ảnh đi rồi, không có gì ở đó nữa mà chỉ nhìn thấy mặt sau của bìa giấy còn lại.
Most azonban kiderült, hogy valóban kép, egy körül­belül ötvenes férfi mellképe.	Bây giờ chàng mới rõ đó là bức ảnh chụp nửa thân của một người đàn ông trạc độ năm mươi tuổi.
Feje oly mélyen a mellére csuklott, hogy a szeme szinte alig látszott; mintha súlyos, nagy homloka, s erős, horgas orra húzta volna le a fejét.	Đầu ông ta trễ cúi thấp xuống ngực như thể cái trán to, nặng và cái mũi khoằm nhọn đã kéo đầu ông ta xuống.
Körszakálla állán a fejtartás miatt benyomódott, lejjebb lazán folyt le.	Do tư thế của cái đầu, bộ râu quai nón trên cằm bị ấn dẹt vào, tòe ra mềm mại.
Bal keze erőteljesen túrt bele dús hajába, de fejét nem bírta följebb emelni.	Tay trái của ông ta luồn sâu hết mức vào bộ tóc dày, nhưng không thể nào lôi cái đầu lên cao hơn.
- Ki ez?	- Ai đây?
- kérdezte K. - A gróf?	- K. hỏi - Có phải bá tước không?
A kép előtt állt, egy pillanatra sem fordult hátra, a kocsmáros felé.	Chàng đứng trước bức ảnh, không quay về phía người chủ quán.
- Nem - felelte a kocsmáros. - A várnagy.	- Không phải, - người chủ quán trả lời, - đây là quan phòng thành.
- Igaz, ami igaz: szép várnagyuk van a kastélyban - mondta K. - Kár, hogy a fia úgy félre­sikerült.	- Đúng là các ông có vị quan phòng thành đẹp mã ở Lâu đài, - K. nói.
- Nem - mondta a kocsmáros.	- Tiếc là con trai ngài không được như thế.
Egy kicsit közelebb vonta magához K.-t, úgy súgta a fülébe: - Schwarzer tegnap túlzott; csak alvárnagy az apja, azok közt is az utolsók egyike.	- Schwarzer hôm qua nói quá lên đấy, bố anh ta chỉ là người giúp việc quan phòng thành thôi, ông ta cũng chỉ là một một người hạng bét trong số đó.
K.-nak ebben a pillanatban olybá tűnt a kocsmáros, mint valami gyerek.	K. cảm thấy vào giây phút ấy, chủ quán hệt như một đứa trẻ vậy.
- Ó, a gazfickó!	- Ồ, một kẻ láo lếu!
- mondta nevetve.	- chàng cười, nói.
A kocsmáros azonban nem nevetett együtt vele, hanem azt mondta:	Nhưng chủ quán không cười theo chàng mà nói:
- De azért az ő apja is hatalmas ember.	- Tuy vậy, bố anh ta cũng là người có quyền thế lắm.
- Menj már!	- Thôi đi!
- szólt K. - Neked mindenki hatalmas ember.	- K nói. - Đối với anh tất cả mọi người đều có quyền thế.
- Nem - felelte a kocsmáros félénken, de komolyan -, téged nem tartalak hatalmasnak.	- Không, - chủ quán trả lời rụt rè nhưng nghiêm chỉnh.
- Látom, jó szemed van - mondta K. - Hatalmas ugyanis, magunk közt szólva, valóban nem vagyok.	- Tôi không xem ông là người có quyền thế. - Tôi thấy anh có đôi mắt tinh tường đấy.
Ennek következtében valószínűleg éppúgy respektálom a hatalmasokat, akárcsak te, csakhogy én nem vagyok olyan őszinte, mint te, és nem mindig ismerem be.	- K. nói, - Nói để chúng ta biết với nhau, quả thật tôi không phải là người có quyền thế, vì thế tôi cũng nể sợ quyền lực, có điều tôi không thành thật như anh và không phải lúc nào tôi cũng thừa nhận điều đó.
Azzal megveregette a vendéglős arcát, vigasztalásul, meg hogy egy kis hajlandóságot keltsen benne maga iránt.	Nói rồi K. vỗ vỗ vào má người chủ quán một cách an ủi, để khơi thêm trong anh ta một chút nhiệt tình với chàng.
Erre a vendéglős is elmosolyodott valamicskét.	Thấy thế cũng mỉm cười.
Puha, még szinte pihés arcával valóban fiatal legényke volt.	Nhưng làm sao anh ta lại lấy phải một cô vợ đẫy đà đứng tuổi như vậy?
Hogy jutott terebélyes, koros feleségéhez, aki szétálló könyökkel a kémlelőablak mögött a konyhában foglalatoskodott?	Qua ô cửa sổ trên tường, chàng trông thấy chị ta đang chống khuỷu tay mải miết với công việc trong nhà bếp.
K. nem akarta tovább faggatni, nehogy elűzze arcáról ezt a nagy nehezen előcsalt mosolyt.	Nhưng K. không muốn gạn hỏi về việc đó, sợ làm biến mất nụ cười thật khó khăn lắm mới hiện lên trên gương mặt anh ta.
Csak intett neki, hogy nyisson ajtót, és kilépett a szép téli reggelbe.	K. ra hiệu cho chủ quán mở cửa rồi chàng bước ra giữa buổi sáng mùa đông đẹp trời.
A ragyogó levegőben most meglátta fönt a kastélyt, éles vonalait még jobban kirajzolta a hó, mely vékony rétegével minden részletét belepte.	Lúc này, trong không khí tróng lành rực rỡ ánh sáng, chàng nhìn thấy Lâu đài ở trên cao, đã được lớp tuyết mỏng phủ lên toàn phần làm hiện rỏ hơn những đường nét của nó.
Odafönt egyébként mintha jóval kevesebb hó lett volna, mint lent a faluban, ahol K. éppoly nehezen bírt előbbre jutni, mint tegnap az országúton.	Trên đó hình như có ít tuyết hơn ở dưới làng, nơi chàng phải bước đi thật khó khăn chẳng kém gì hôm qua ở ngoài đường quốc lộ.
Itt a kunyhók ablakáig ért a hó, s olyan vastagon ült az alacsony tetőkön, hogy szinte rárogytak az ablakokra, fönt a hegyen viszont minden szabadon és könnyedén emelke­dett a magasba, legalábbis innét úgy látszott.	Ở dưới này tuyết ngập đến cửa sổ của những ngôi nhà nhỏ, treo thành từng khối từ trên các mái nhà đến mức gần như rủ xuống đến mép cửa sổ, còn ở trên núi thì tất cả đều vươn lên cao một cách tự do dễ dàng.
A kastély, ahogy a messzeségben megmutatkozott, nagyjában megfelelt K. várakozásának.	Ít ra thì ở dưới này thấy như vậy. Nhìn từ xa, Lâu đài nói chung đúng như K. chờ đợi.
K. továbbment, szemét a kastélyra szögezte, egyébbel nem törődött.	K. tiếp tục đi, mắt dán vào Lâu đài, không để tâm đến việc gì khác.
Ám ahogy közelebb ért, csalódást érzett: ez a kastély valójában mégiscsak nyomorúságos városka volt, falusi házakból összerakva, s azoknál legföljebb annyiban kiválóbb, hogy itt alighanem minden kőből épült, de a festés már rég lepattogzott a falakról, s úgy látszott, a kövek is málladoznak.	Nhưng càng đến gần, chàng lại càng cảm thấy thất vọng: Lâu đài này trong thực tế chỉ là một thị trấn thảm hại; những ngôi nhà ở đây chỉ khác những căn nhà gỗ làng quê là được xây bằng đá, nhưng lớp vữa trên tường đã tróc từ lâu, và hình như đá cũng đã lở vụn dần ra.
K.-nak futólag eszébe jutott a szülővároskája: nem sokkal maradt el e mögött az állítólagos kastély mögött.	K. thoáng nhớ tới thị trấn quê hương của chàng: nó cũng không chút thua kém cái gọi là Lâu đài này.
És gondolatban összehasonlította a hazai templomtornyot ezzel a föntivel.	Và chàng thầm so sánh gác chuông nhà thờ ở nhà với gác chuông ở trên này.
Az határo­zottan, nyílegyenesen, fölfelé egyre keskenyedve szökkent magasba, széles, piros cserép­tetővel: földi épület, kétségkívül - egyebet mit is építhetnénk -, de magasabb céllal, mint alatta a tömpe kis házak, és tisztább értelemmel, mint a zavaros köznapoké.	Không nghi ngờ gì nữa, đó là ngôi nhà trần thế - chúng ta có thể xây gì khác hơn - nhưng với mục đích cao hơn những ngôi nhà thấp bé ở phía dưới nó, và với ý nghĩa trong sáng hơn ý nghĩa vẩn đục đời thường.
Mintha egy nyomott kedélyű lakó, aki a ház leghátsóbb szobájába zárkózva él, áttörte volna a tetőt, és fölébe emelkedett volna, hogy megmutatkozzék a világnak.	Cái gác chuông giống như một người có tâm tính chán chường, sống ru rú trong phòng ở nơi cuối cùng nhất của ngôi nhà, bỗng phá mái, nhô lên cao cho cả thế giới biết.
K. újra megállt, mintha így, álltában jobban meg tudná ítélni a dolgokat.	K. lại dừng lại, cứ như là khi đứng yên chàng nhận xét các sự việc tốt hơn vậy.
De megzavarták.	Đằng sau nó là trường học.
Éppen a falu temploma előtt állt meg, voltaképp csak kápolna volt, pajtaszerűen kibővítve, hogy a hívek elférjenek benne - mögötte volt az iskola.	Một ngôi nhà dài, thấp, đứng vô công rồi nghề một cách đặc biệt, trong một cái vườn có hàng rào bao quanh, phủ đầy tuyết, nó vừa gợi lên không khí cổ xưa, lại vừa có gì như tạm bợ.
Túl egy körülkerített kerten, amely most puszta hómező volt, hosszú, alacsony épület rostokolt, különös módon egyszerre hatott ideiglenesnek is, meg ódonnak is.	Vừa lúc đó những đứa trẻ đi ra cùng với thầy giáo, chúng túm tụm quạnh thầy, mắt dán vào anh ta, miệng huyên thuyên không nghỉ.
Épp akkor jöttek ki a gyerekek a tanítóval.	Bọn trẻ nói nhanh nên K. không hiểu gì cả.
Sűrű csapatban vették körül a tanítót, szemük rajta csüggött, s közben szüntelenül fecsegtek, gyors beszé­dük­ből K. egy szót sem értett.	Thầy giáo là một người nhỏ bé, vai hẹp, dáng đứng thật thẳng, mặc dù vậy anh ta không đến nỗi buồn cười.
A tanító, egy kis termetű, szűk vállú, de azért korántsem nevetsé­ges, hetyke fiatal férfi már messziről alaposan szemügyre vette K.-t, a gyerekeken kívül az egyetlen élőlényt, ameddig csak ellátott.	Người đàn ông trẻ tuổi, tự cao này từ xa đã chăm chú để ý tới K., sinh linh duy nhất ngoài bọn trẻ.
Mint idegen, K. köszönt először, még egy ilyen parancsolgató kis embernek is.	Như người từ xa đến, K. chào con người bé nhỏ quen ra lệnh này trước.
- Jó napot, tanító úr - mondta.	- Chào thầy giáo,- K. nói.
A gyerekek egyszeriben elnémultak, s a hirtelen csönd, mely szavait megelőzte, nyilván tetszett a tanítónak.	Bọn trẻ sự im lặng đột ngột như chờ đợi lời thầy giáo chắc là đã làm cho anh ta thích thú.
- A kastélyt nézegeti?	- Anh ngắm Lâu đài à?
- kérdezte, nyájasabban, mint K. várta volna, de olyan hangon, mintha nem nagyon méltányolná, amit csinál.	- thầy giáo hỏi một cách nhã nhặn hơn là K. tưởng, nhưng với giọng như thể không tán thành việc chàng làm.
- Igen - felelte K. - Idegen vagyok itt, csak tegnap este érkeztem.	- Vâng, - K. trả lời. - tôi là người lạ ở đây, tôi mới đến hôm qua.
- Nem tetszik a kastély?	- Anh không thích Lâu đài à?
- kérdezte a tanító gyorsan.	- thầy giáo hỏi nhanh.
- Hogyan?	- Sao cơ?
- kérdezte K. is, kissé meglepetten, majd enyhébb formában megismételte a kérdést: - Hogy tetszik-e a kastély?	- K. hỏi hơi ngạc nhiên, rồi chàng nhắc lại câu hỏi một cách nhẹ nhàng hơn: - Tôi có thích Lâu đài không ư?
Miből gondolja, hogy nem tetszik?	Vì sao anh nghĩ là tôi không thích nhỉ?
- Idegeneknek sosem tetszik - felelte a tanító.	- Những người lạ không bao giờ thích, - thầy giáo trả lời.
