Tác giả : Jane Austen	Jane Austen	2.02727
Chương 9	Fejezet ~~~ 	0
		0.3
Chương 10		-0.3
		0.3
Chương 11	8. ~~~ Fejezet	-0.0136364
		0.3
Chương 12		-0.3
		0.3
Chương 13		-0.3
		0.3
Chương 14	9. ~~~ Fejezet	-0.0136364
		0.3
Chương 15		-0.3
		0.3
Chương 16		-0.3
		0.3
	10.	-0.3
Chương 17	Fejezet ~~~ 	-0.015
		0.3
Chương 18		-0.3
		0.3
	11.	-0.3
Chương 19	Fejezet ~~~ 	-0.015
		0.3
		0.3
	12.	-0.3
	Fejezet	-0.3
		0.3
		0.3
		0.3
Lời giới thiệu	13. ~~~ Fejezet ~~~ 	-0.146154
		0.3
		0.3
	14.	-0.3
	Fejezet	-0.3
		0.3
		0.3
		0.3
Tiểu sử tác giả	15. ~~~ Fejezet ~~~ 	-0.153846
		0.3
		0.3
	16.	-0.3
	Fejezet	-0.3
		0.3
		0.3
		0.3
Jane Austen sinh ngày 16 tháng 12 năm 1775 tại Steventon, Hants, Anh, và là người thứ bảy trong tám người con của Mục sư George Austen (1731-1805), cai quản giáo xứ Steventon, và bà Cassandra Leigh (1739-1827).		-0.3
Người thân thiết nhất trong cuộc đời tác giả là cô chị Cassandra; cả hai không bao giờ kết hôn.		-0.3
Ông bố là một học giả luôn khuyến khích con cái tính ham học hỏi.		-0.3
Tuy thế, tác giả không được tiếp thu nhiều giáo dục từ nhà trường mà chủ yếu được ông bố dạy học, và cũng có điều kiện đọc nhiều sách vở.		-0.3
Không khí gia đình sống động và yêu thương, cộng thêm những mối quan hệ rộng rãi với họ hàng và bạn hữu, đã cung cấp bối cảnh cho các tác phẩm của tác giả.		-0.3
Từ tuổi nhỏ, Jane Austen đã bắt đầu viết những vở kịch ngắn và tiểu phẩm nhằm tạo vui thú trong gia đình, tiếp theo là một ít thơ và văn xuôi.		-0.3
Tác giả đã sử dụng khung cảnh đời sống của mình - vùng nông thôn, giáo xứ, láng giềng và những thị trấn miền quê, cùng những chuyến thăm viếng đến các thành phố Bath và London để lấy chất liệu cho những tình huống, cá tính và đề tài trong các tác phẩm của mình.		-0.3
Tác phẩm “Sense and Sensibility” được viết vào năm 1784 dưới tựa đề “Elinor và Marianne”, qua nhiều bổ sung và chuyển thể đến năm 1811 mới được xuất bản, chỉ ghi tác giả là "một phụ nữ", và với chi phí tác giả tự bỏ ra.		-0.3
Tương tự, truyện “Pride and Prejudice” được phác thảo trong thời gian 1796-1797 và xuất bản lần đầu tiên năm 1813.		-0.3
Thêm truyện “Mansfield Park” được xuất bản năm 1814, và “Emma” năm 1815.		-0.3
Một nhà phê bình văn học có uy tín đã ca ngợi "tác giả không tên" là ngòi bút tuyệt diệu của "tiểu thuyết hiện đại" trong truyền thống mới về hiện thực.		-0.3
Tất cả tác phẩm xuất bản lúc Jane Austen còn sống vẫn đề tên tác giả vô danh.		-0.3
Sau khi tác giả qua đời, lần đầu tiên tên thật của tác giả mới xuất hiện năm 1817, trên truyện “Persuasion”.		-0.3
Năm 1802, tác giả dường như nhận lời kết hôn với Harris Bigg-Wither, 21 tuổi, nhưng cô thay đổi ý định.		-0.3
Không ai biết rõ về cuộc đời tình ái của tác giả ngoại trừ những mẩu chuyện mâu thuẫn nhau.		-0.3
Cô chị Cassandra luôn muốn bảo vệ chi tiết đời tư của em gái mình, nên sau khi tác giả qua đời, cô đã tiêu hủy rất nhiều thư từ của tác giả để lại.		-0.3
Nhưng các tác phẩm cho thấy tác giả thông hiểu kinh nghiệm của tình yêu và của tình tuyệt vọng.		-0.3
Sống với gia đình của mình trong suốt cuộc đời, tác giả bắt đầu chớm căn bệnh Addison (thoái hóa tuyến thượng thận) vào năm 1816 và qua đời ngày 18 tháng 7 năm 1817, chỉ hưởng thọ 42 tuổi.		-0.3
Tác phẩm “Pride and Prejudice”	17. ~~~ Fejezet	-0.242308
		0.3
		0.3
		0.3
"Pride and Prejudice” (Kiêu hãnh và định kiến) có lẽ là truyện được yêu thích nhất trong số các tác phẩm của Jane Austen.		-0.3
Truyện kể về cuộc đối đầu giữa Elizabeth Bennet, con gái của một gia đình trung lưu, và Fitzwilliam Darcy, một địa chủ giàu có.		-0.3
Mặc dù họ để tâm tìm hiểu lẫn nhau, tác giả đã đảo ngược ý niệm thông thường về "thuở ban đầu": tính kiêu hãnh về giai cấp và tài sản của mình cùng định kiến về vị thế thấp kém của gia đình Elizabeth khiến Darcy lúc đầu muốn tránh xa cô, trong khi cô Elizabeth cũng kiêu hãnh vì lòng tự trọng của mình và có định kiến về cung cách trưởng giả của Darcy, trở nên một người con gái không giống như những người con gái khác chung quanh Darcy.		-0.3
Elizabeth, với cá tính nhạy bén, dí dỏm và cứng cỏi, được xem là một trong những nhân vật lôi cuốn nhất trong nền văn học Anh.		-0.3
Sách này đã được dịch ra tiếng Việt với tựa đề “Kiêu hãnh và Định kiến”, do Hội Nhà văn xuất bản.		-0.3
Bình chọn	18. ~~~ Fejezet	-0.0125
		0.3
		0.3
		0.3
Trong cuộc bình chọn dân chúng Anh năm 2005 do đài BBC tổ chức, Jane Austen được chọn là nhà văn nữ người Anh được ưa thích nhất mọi thời đại.	19.	-0.6
Riêng quyển “Pride and Prejudice” được chọn là tác phẩm của người Anh được ưa thích thứ nhì mọi thời đại (chỉ thua “Lord of the Ring” – “Chúa tể của Chiếc nhẫn” – do ảnh hưởng của điện ảnh).		-0.3
Tập I	Fejezet	0.257143
		0.3
		0.3
		0.3
		0.3
		0.3
Chương 1	I. KÖNYV ~~~ 	-0.015
		0.3
		0.3
		0.3
		0.3
	1.	-0.3
	FEJEZET	-0.3
		0.3
Có một sự thật mà ai cũng công nhận, đấy là: một người đàn ông có một tài sản khá hẳn sẽ muốn có một người vợ.	 ~~~ Ál­ta­lá­no­san el­is­mert igaz­ság, hogy a le­gény­em­ber­nek, ha va­gyo­nos, ok­vet­le­nül kell fe­le­ség.	-0.006
Dù cho người ta chỉ biết rất ít về cảm nghĩ hay quan điểm của người đàn ông như thế, khi anh ta đến cư ngụ trong vùng, sự thật ấy đã in sâu vào đầu óc của những gia đình sống xung quanh, đến nỗi họ xem người đàn ông này là tài sản hợp pháp của cô con gái này hay cô con gái kia của họ. ~~~ Vào một ngày, bà Bennet nói với chồng mình:	Ez az igaz­ság oly mé­lyen be­vé­ső­dött a vi­dé­ki csa­lá­dok lel­ké­be, hogy ha ilyen em­ber csöp­pen a szom­széd­sá­guk­ba, rög­tön egyik vagy má­sik le­á­nyuk jog sze­rin­ti tu­laj­do­ná­nak te­kin­tik, még ha nem is­me­rik is ér­zé­se­it vagy né­ze­te­it.	-0.0126316
 ~~~ - Ông thân yêu, ông có biết tin đã có người thuê Netherfield Park chưa?	– Ked­ves Bennet – mond­ta Mrs. Bennet fér­jé­nek egy na­pon –, hal­lot­ta már, hogy Ne­ther­field Park vég­re bér­lő­re ta­lált?	-0.0398116
Ông Bennet trả lời rằng ông chưa biết.	Mr. Bennet azt vá­la­szol­ta, hogy er­ről nem tud.	0.584496
Bà vợ nói tiếp: ~~~  ~~~ - Có người đã đến thuê rồi.	– Pe­dig így van – erős­kö­dött az asszony.	-0.133333
Bà Long đã đi đến đấy, và đã kể cho tôi nghe tất cả việc này.	– Mrs. Long az imént járt itt, és min­dent el­me­sélt.	0.490909
Ông Bennet lắng nghe và không trả lời.	Mr. Bennet nem fe­lelt.	0.640909
Bà vợ mất hết kiên nhẫn nói: ~~~ 	– Nem is kí­ván­csi, hogy ki a bér­lő?!	-0.025
- Ông có muốn biết ai vừa dời đến không?	– ki­ál­tot­ta az asszony tü­rel­met­le­nül.	0.254348
- Chính bà đang muốn kể cho tôi nghe đấy thôi.	– Úgy­is tu­dom, hogy el akar­ja mon­da­ni, hall­juk hát, nem bá­nom.	0.159184
Thế là đủ khuyến khích cho bà nói tiếp.	Az asszony­nak nem kel­lett több biz­ta­tás.	0.293333
- Ông phải biết, bà Long đã cho tôi hay rằng có một công tử còn trẻ, giàu có, gốc gác ở miền Bắc, đến thuê Netherfield.		-0.3
Cậu ta đã đến vào hôm thứ hai trên một cỗ xe bốn ngựa kéo. ~~~ Cậu ấy rất thích chỗ này nên đồng ý ngay với giá ông Morris đưa ra. ~~~ Và cậu ấy hẳn sẽ đến trước ngày lễ thánh Michael (ngày 29 tháng 9), nhưng tuần tới sẽ có vài gia nhân đến trước.	– Nos, ked­ve­sem, ha min­den­áron tud­ni akar­ja: Mrs. Long azt a hírt hoz­ta, hogy Ne­ther­field­et egy va­gyo­nos fi­a­tal­em­ber bé­rel­te ki Észak-Ang­li­á­ból; négy­lo­vas hin­tón jött le hét­főn meg­néz­ni a bir­to­kot, s annyi­ra meg­tet­szett ne­ki, hogy tüs­tént meg­egye­zett Mr. Morisszal; Szent Mi­hály nap­já­ig be­köl­tö­zik, a cse­léd­ség egy ré­sze pe­dig már a jö­vő hét vé­gén a kas­tély­ban lesz.	-0.220398
- Thế anh ta tên gì vậy?	– Mi a ne­ve?	0.0642857
- Bingley.	– Bingley.	1.24
- Anh ta đã có vợ hay vẫn còn độc thân?	– Há­zas­em­ber? ~~~ Nőt­len?	-0.0352941
- À, chắc là vẫn còn độc thân.	– Nőt­len, drá­gám, per­sze hogy az!	0.257143
Một người độc thân với khoản lợi tức lớn, bốn hay năm nghìn bảng mỗi năm.	Nőt­len em­ber, még­hoz­zá va­gyo­nos; négy-öt­ezer font az évi jö­ve­del­me.	0.3
Kể ra đó là điều hay cho mấy đứa con gái nhà ta!	Mit szól, mi­lyen sze­ren­cse ez a mi lá­nya­ink­nak!	0.282692
- Hay như thế nào?	– Hogy ér­ti ezt?	0.3
	Mi kö­ze van en­nek a lá­nyok­hoz?	-0.3
Chuyện ấy thì có gì liên quan đến mấy đứa con gái nhà ta? ~~~ - Ông ơi!	– Drá­ga Bennet – fe­lel­te az asszony –, ne le­gyen ilyen tus­kó!	-0.0108696
Ông phải hiểu là tôi đang nghĩ đến việc anh ta sẽ cưới một trong mấy đứa nhà ta chứ.	Ter­mé­sze­te­sen ar­ra gon­do­lok, hogy egyik lá­nyun­kat fe­le­sé­gül ve­szi.	0.283333
- Thế anh chàng ấy có ý định như thế khi đến đây à?	– Ta­lán ez­zel a szán­dék­kal te­lep­szik itt le?	0.283636
- Ý định?	– Ez­zel a szán­dék­kal!	-0.125
Làm sao ông có thể nói càn như thế?	Hogy mond­hat ilyen sü­let­len­sé­get!	0.260526
Chỉ có điều rằng anh ấy có thể yêu một trong các con ta, vì thế ông phải đi viếng thăm anh ta càng sớm càng tốt.	De egyi­kük­be fel­tét­len be­le­sze­ret, s ezért rög­tön meg kell lá­to­gat­nia, mi­helyt ide­ér­ke­zik.	0.292308
- Tôi chẳng thấy có cơ hội nào cả.	– Eszem ágá­ban sincs.	0.132
Bà và mấy đứa có thể đi, hay là để mấy đứa tự đi, như vậy có thể tốt hơn. ~~~ Vì bà còn đẹp hơn chúng nó, tôi e rằng anh Bingley lại mến bà hơn.	Ma­ga és a lá­nyok el­me­het­nek; ta­lán még jobb, ha egye­dül kül­di el őket, mert ma­ga van olyan csi­nos, mint akár­me­lyik lá­nya, és Mr. Bing­ley­nek eset­leg ma­ga tet­sze­ne leg­job­ban az egész tár­sa­ság­ban.	-0.0636076
- Thôi ông ơi, ông lại tâng bốc tôi rồi.	– Drá­gám, ne hí­ze­leg­jen!	0.222857
Chắc chắn tôi đã từng có thời xuân sắc, nhưng bây giờ tôi không thể coi mình là đặc biệt.	Nem mon­dom, vol­tam én is csi­nos, de most már nem tar­tom ma­gam kü­lö­nös szép­ség­nek.	0.27766
Khi một người đàn bà đã có năm đứa con gái trưởng thành thì không nên nghĩ đến sắc đẹp của mình nữa.	Ha egy asszony­nak öt el­adó lá­nya van, ne tö­rőd­jék töb­bet a szép­sé­gé­vel.	0.208989
- Ờ, chỉ khi nào người đàn bà ấy không có sắc đẹp gì đáng để nghĩ đến.	– Ilyen eset­ben hi­á­ba is tö­rő­dik ve­le már.	0.133333
- Nhưng mà này, ông đi gặp cậu Bingley ngay khi anh ta đến đây nhé.	– De ked­ve­sem, iga­zán meg kell lá­to­gat­nia Mr. Bingleyt, mi­helyt le­te­lep­szik a szom­széd­sá­gunk­ban.	0.075
- Kể ra thì cũng quá sức tôi rồi. ~~~ Bà biết đấy… ~~~ 	– Ez több, mint amit meg­ígér­he­tek, higgye el.	-0.112
- Nhưng mà ông phải nghỉ đến mấy đứa con.	– Gon­dol­jon a lá­nya­i­ra.	0.176471
Chỉ cần nghĩ một trong chúng sẽ đạt được những gì.	Gon­dol­ja meg, mi­lyen sze­ren­cse len­ne ez egyi­kük­nek.	0.290164
Ngài William và phu nhân Lucas cũng nhất quyết đi chỉ vì mục đích ấy.	Sir William és La­dy Lucas már el­tö­kél­ték, hogy meg­lá­to­gat­ják; ne­kik is csak ez fo­rog­hat az eszük­ben, mert más­kü­lön­ben, mint ma­ga is tud­ja, nem ke­res­nek fel jö­ve­vé­nye­ket.	0.147973
Ông hẳn biết họ thường không thích thăm viếng người mới đến.	Ennyit meg­te­het, mert hogy néz ki, ha mi csak úgy be­ál­lí­tunk.	0.268182
Thật ra ông phải đi, nếu không mấy mẹ con tôi không có lý do nào đến nếu như ông không đi.		-0.3
- Bà thật là cẩn thận quá đáng.	– Mi­re va­lók az ilyen ag­gá­lyok?	0.275
Tôi tin chắc rằng anh Bingley sẽ lấy làm vui lòng khi gặp bà, còn tôi sẽ gửi bà mang đi ít dòng để cho anh ta hiểu rằng tôi sẵn lòng chấp nhận, nếu anh ta chọn một trong mấy đứa con gái của mình, mặc dù tôi sẽ có ít chữ đề cao con Lizzy.	Mr. Bingley bi­zo­nyá­ra na­gyon szí­ve­sen lát­ja ma­gu­kat; majd át­ad­nak ne­ki né­hány sort, amely­ben atyai ál­dá­so­mat adom, ha a lá­nyok bár­me­lyi­két fe­le­sé­gül akar­ja ven­ni – no­ha a ma­gam ré­szé­ről a kis Lizzy mel­lett emel­nék szót.	0.359208
- Tôi mong rằng ông không làm như thế.	– Ilyes­mi ne is jus­son az eszé­be.	0.275676
Lizzy không có gi hơn những đứa kia cả, và tôi thấy nó không đẹp bằng nửa Jane, không tươi tắn bằng nửa Lydia, nhưng ông vẫn luôn thương nó hơn cả!	Lizzy sem­mi­vel sem kü­lönb a töb­bi­nél; kö­zel sem olyan szép, mint Jane, és kö­zel sem olyan jó ke­dé­lyű, mint Lydia.	0.498618
- Thế bà cho rằng những đứa kia có gì đáng giới thiệu?	Per­sze ma­gá­nak min­dig Lizzy volt a ked­ven­ce.	0.248077
	– Egyik­ről sem le­het va­la­mi sok jót mon­da­ni – je­gyez­te meg az ap­juk –, mind csacs­ka, üres­fe­jű te­rem­tés, mint a lá­nyok ál­ta­lá­ban; de Lizzynek für­gébb az ész­já­rá­sa, mint a nő­vé­re­i­nek.	-0.3
- Ông Bennet, làm thế nào mà ông lại có thể sỉ nhục con cái như thế ?	– Mond­ja, Bennet, mi­ért rá­gal­maz­za meg így tu­laj­don gyer­me­ke­it?	0.567123
Ông cứ trêu cho tôi bực mình để làm vui thôi.	Ab­ban le­li örö­mét, hogy en­gem gyö­tör.	0.29375
Ông không thông cảm cho thần kinh nhạy cảm của tôi tí nào cả!	Sem­mi te­kin­tet­tel sincs az ide­ge­im­re.	0.18125
- Bà nhầm rồi. ~~~ Tôi rất tôn trọng thần kinh của bà.	– Té­ved, drá­gám; na­gyon is tisz­te­lem az ide­ge­it.	-0.00775862
Ít nhất là trong hai mươi năm qua tôi đã nghe bà nói nhiều về thần kinh của bà đấy thôi. ~~~ - Hừ!	Hi­szen ré­gi is­me­rő­se­im: leg­alább húsz év óta ál­lan­dó­an rá­juk hi­vat­ko­zik.	-0.00148515
Ông không thể biết tôi đã chịu khổ sở thế nào…	– Ó, ha tud­ná, mit szen­ve­dek!	0.111429
 ~~~ - Nhưng tôi mong bà sẽ sớm vượt qua, và tiếp tục sống để thấy nhiều thanh niên có bốn nghìn bảng mỗi năm đến cư ngụ ở vùng này.	– Re­mé­lem, túl­éli, és meg­éri még, hogy sok fi­a­tal­em­ber köl­tö­zik er­re a kör­nyék­re, aki­nek négy­ezer font az évi jö­ve­del­me.	-0.00931034
- Nếu có hai chục người như thế đến đây nhưng ông không chịu gặp gỡ họ thì cũng vô ích thôi.	– Hi­á­ba jön­né­nek hú­szan is ide, ha nem akar­ja őket meg­lá­to­gat­ni.	0.224096
- Khi nào có đủ hai mươi người thì tôi sẽ đi gặp tất cả.	– Szen­tül ígé­rem, hogy va­la­mennyi­ü­ket vé­gig­lá­to­ga­tom, per­sze ha már mind a húsz itt lesz.	0.0796875
Cá tính của ông Bennet là sự pha trộn giữa láu lình, trào phúng châm biếm, dè dặt, và thất thường, đến nỗi mấy chục năm sống chung vẫn không đủ cho bà vợ hiểu nổi ông.	Mr. Bennet al­ka­tá­ban oly kü­lö­nös mó­don ke­ve­re­dett a für­ge el­me, a gu­nyo­ros mo­dor, a tar­tóz­ko­dás és a sze­szély, hogy fe­le­sé­ge hu­szon­há­rom évi ta­pasz­ta­lat után sem ér­tet­te meg jel­le­mét.	0.324416
Đầu óc của bà giản đơn hơn. ~~~ Bà có tính cảm thông hẹp hòi, kiến thức nghèo nàn, và tính khí vô chừng.	Mrs. Benn­etet könnyebb volt ki­is­mer­ni: gyar­ló eszű, cse­kély tu­dá­sú, hul­lám­zó ke­dé­lyű asszony volt.	-0.00921053
Khi không được như ý, bà tưởng như mình bị lo lắng.	Mi­kor elé­ge­det­len­ség kí­noz­ta, ide­ges­nek kép­zel­te ma­gát.	0.186207
Cả đời bà chỉ lo mỗi việc là kiếm chồng cho năm cô con gái. ~~~ Việc thăm viếng và trao đổi chuyện phiếm là cách khuây khỏa của bà. ~~~ Chương 2	Éle­te fel­ada­tá­nak azt tar­tot­ta, hogy férj­hez ad­ja le­á­nya­it, vi­gaszt a lá­to­ga­tá­sok­ban és a plety­kák­ban ta­lált.	-0.101399
 ~~~ 	2.	0
	FEJEZET	-0.6
		0.3
		0.3
Ông Bennet là một trong số những người đi thăm viếng Bingley sớm nhất.	Mr. Bennet az el­sők kö­zött tet­te tisz­te­le­tét Mr. Bing­ley­nél.	0.587838
Ông luôn có ý định đi gặp anh, mặc dù ông luôn nói với vợ rằng ông không muốn đi.	Mind­járt kez­det­ben úgy dön­tött, hogy meg­lá­to­gat­ja, bár fe­le­sé­gé­nek az utol­só pil­la­na­tig azt haj­to­gat­ta, hogy nem ke­re­si fel, s az asszony a lá­to­ga­tás­ról csak a kö­vet­ke­ző es­te szer­zett tu­do­mást.	-0.22
Cho đến buổi tối sau lần gặp gỡ, bà vợ mới biết được tin này.	A do­log a kö­vet­ke­ző­kép­pen de­rült ki.	0.162
Khi nhìn cô con gái thứ hai đang trang trí cái mũ, thình lình ông nói với cô:	Mr. Bennet a má­so­dik le­á­nyát fi­gyel­te, aki ép­pen ka­la­pot dí­szí­tett, majd hir­te­len e sza­vak­kal for­dult hoz­zá:	0.074026
		0.3
- Lizzy, bố hy vọng cậu Bingley sẽ thích cái mũ này. ~~~ Bà phật ý:	– Re­mé­lem, Lizzy, a ka­lap tet­sze­ni fog Mr. Bing­ley­nek is.	0.10303
 ~~~ - Chúng ta không thể biết anh ta thích gì vì chúng ta không đi thăm viếng anh ấy. ~~~ Elizabeth nói: ~~~ 	– Nem áll mó­dunk­ban meg­tud­ni, mi tet­szik Mr. Bing­ley­nek – mond­ta Mrs. Bennet szem­re­há­nyó­an –, hi­szen nem lá­to­gat­juk meg.	-0.187887
- Mẹ quên rồi sao? ~~~ Chúng ta sẽ gặp anh ta trong buổi họp mặt, và bà Long đã hứa là sẽ giới thiệu ta với anh ta.	– De ar­ról meg­fe­led­ke­zik, ma­ma – mond­ta Elizabeth –, hogy ta­lál­koz­ni fo­gunk ve­le tár­sa­ság­ban, s Mrs. Long meg­ígér­te, hogy be­mu­tat­ja ne­künk.	-0.0524367
- Mẹ không tin bà Long sẽ làm như thế.	– Csak nem kép­ze­led, hogy Mrs. Long ezt meg­ten­né?	0.495
Bà ta còn hai đứa cháu gái.	Ne­ki ma­gá­nak is két uno­ka­hú­ga van.	0.134483
Bà ta là một con người ích kỉ, đạo đức giả, không tin được.	Ön­ző, kép­mu­ta­tó nő­sze­mély, nem vá­rok tő­le sem­mi jót.	0.287143
Ông Bennet xen vào ~~~  ~~~ - Tôi cũng không tin, nên tôi thấy mừng rằng bà không có ý nhờ vả bà ấy.	– Én sem – tet­te hoz­zá Mr. Bennet –, s ezért örü­lök, hogy nem szo­ru­lunk a szol­gá­la­ta­i­ra.	-0.1325
Bà Bennet không màng trả lời, nhưng không thề dằn lòng, bà quay sang mắng các cô con gái.	Mrs. Bennet nem mél­tat­ta fér­jét vá­lasz­ra, de mi­vel nem tu­dott ma­gán ural­kod­ni, egyik lá­nyá­ba kö­tött be­le: ~~~ 	0.0295396
- Kitty, đừng có ho mãi như thế. ~~~ Phải thương lấy thần kinh mẹ một chút.	– Ne kö­högj már annyit, Kitty, az is­ten sze­rel­mé­re!	0.0519608
Mẹ muốn vỡ đầu ra đây này. ~~~ Ông bố đế vào: ~~~ 	Kí­méld kis­sé az ide­ge­i­met, tönk­re­men­nek be­lé.	-0.120755
- Kitty ho không được kín đáo gì cả, ho không đúng lúc.	– Kitty meg­gon­do­lat­la­nul szo­kott kö­hög­ni – je­gyez­te meg az ap­ja –, nem a kel­lő idő­ben.	0.260048
Kitty trả lời một cách khổ sở:	– Nem szó­ra­ko­zás­ból kö­hö­gök – fe­lel­te Kitty dur­cá­san.	0.325
 ~~~ - Con đâu có vui gì mà ho như thế chứ.	– Mi­kor lesz a kö­vet­ke­ző bál, Lizzy?	-0.0109756
- Khi nào thì đến buổi dạ vũ của con?	– Hol­nap­hoz két hét­re.	0.19
- Hai tuần nữa.	– Igen, ak­kor!	0.3
Bà mẹ thảng thốt nói: ~~~ 	– ki­ál­tott Mrs. Bennet.	0
- À thì ra thế. ~~~ Bà Long sẽ chỉ trở lại ngày trước đấy, nên bà không thể giới thiệu anh ấy, vì bà vẫn chưa quen biết gì anh ta cả.	– Mr. Long pe­dig csak előt­te le­vő nap ér­ke­zik vissza; így hát be sem mu­tat­hat­ja Mr. Bingleyt, mert ő ma­ga sem is­me­ri még ak­kor.	0.0444
- Vậy thì bà có lợi thế hơn so với bạn của bà, cứ giới thiệu Mr Bingley với con nhỏ.	– Így hát, drá­gám, le­főz­he­ti a ba­rát­nő­jét, mert ma­ga mu­tat­hat­ja be ne­ki Mr. Bingleyt.	0.251087
- Không thể được, ông ạ, không thể được, khi tôi vẫn còn chưa quen biết anh ta.	– Le­he­tet­len, Bennet, le­he­tet­len, hi­szen ma­gam sem is­me­rem.	0.252
Sao ông có thể đùa cợt như thế?	Mi­ért kí­noz ennyi­re?	0.2
- Tôi khen bà đã thận trọng.	– Lám, ez meg­fon­tolt be­széd.	0.26129
Hai tuần thì có quá ít thời gian để làm quen.		-0.3
