 ~~~ 	﻿	-0.05
Một gã trí thức đạt đến những khả năng siêu phàm chỉ thuần túy do… nghịch cảnh.	Kíváncsi gyerekek futottak fel-le a lépcsőkön, s eközben a zenekar rendületlenül játszott a fedélzeten nyüzsgő tömegnek.	0.220213
Và hai con người đó đối mặt nhau trong một cuộc đọ sức trí tuệ – tâm lý hồi hộp và khốc liệt ở trên một con tàu bồng bềnh giữa đại dương.	Én a forgatagon kívül álltam, és egy ismerősömmel beszélgettem éppen, amikor két vagy háromszor felvillámlott mellettem.	0.195763
Trong tác phẩm này, bạn sẽ thấy tất cả dồn nén lại, cô đặc : lòng tham lam, sự đố kỵ, sự ngông cuồng, sự vô nghĩa, sự hiếu kỳ, khát vọng tự do, nỗi cô đơn… ~~~ 	Nyilván valamelyik neves egyéniséget interjúvolták meg és fényképezték le közvetlenül az elutazása előtt.	-0.0995327
 ~~~  ~~~ Zweig tự vận.	Barátom mosolyogva pillantott oda.	-0.183333
Tôi nghĩ rằng ông sống đủ và đau khổ cũng đủ.	- Ritka madárral utazik együtt, amint látom.	0.214286
Có lẽ trái tim ông không chịu nổi sự trần tục của cuộc đời những đau khổ và bất công trong thời đại ông sống.	Az az úr ott: Czentovic. ~~~ S miután meglehetősen értelmetlen képet vágtam, magyarázólag hozzáfűzte:	-0.0428571
Cảm ơn Zweig vì những gì ông để lại.	- Mirko Czentovic, a sakkvilágbajnok!	0.24
Nhà báo Trang Anh ~~~  ~~~  ~~~  ~~~ 		-0.3
 ~~~ Cảnh lui tới thường thấy diễn ra vào giây phút chót bao trùm trên con tàu thủy sẽ rời Niu York đi Buênôx Airex lúc nửa đêm.	Végig kipegett-kopogott egész Amerikán, napkelettől napnyugatig, s most új babérokat akar szerezni Argentínában.	-0.0288991
Hành khách lên tàu, kéo theo cả một đám bè bạn đi tiễn, những người chuyển điện tín, mũ lưỡi trai đội sụp đến mang tai, đọc to mấy tên người vang khắp các phòng khách, hành lý và hoa được chuyển lên, lũ trẻ con tò mò chạy khắp nơi từ tầng trên xuống tầng dưới tàu, trong khi đó dàn nhạc vẫn điềm tĩnh chơi.		-0.3
Trên cầu tàu dạo chơi, đứng hơi né xa cảnh đi lại nhộn nhịp, tôi và anh bạn đang trò chuyện với nhau thì thấy lóe lên ở ngay cạnh chỗ chúng tôi đang đứng hai hoặc ba ánh vụt sáng - chắc người ta chụp vội ảnh một vĩ nhân nào đó trước khi tàu nhổ neo.	Most már én is emlékeztem erre a fiatal világbajnokra, sőt eszembe jutott rakéta ívelésű karrierjének egynémely részlete is.	-0.0775
Anh bạn tôi đưa mắt nhìn về hướng đó rồi mỉm cười : “Anh cùng đi tàu với một nhân vật lỗi lạc : Xzentôvic”.	Barátom, aki szorgalmasabb újságolvasó volt nálamnál, egész sor anekdotával egészítette ki fogyatékos ismereteimet.	0.273913
Và thấy tôi ngơ ngác không hiểu gì, anh nói tiếp, vẻ như muốn giải thích với tôi : “Mirkô Xzentôvic – vô địch cờ thế giới.	Czentovic, körülbelül egy esztendővel ezelőtt, egy csapásra a legnevesebb sakkmesterek sorába emelkedett.	0.197059
Anh ta đã đi khắp nước Mỹ, từ tây sang đông, đánh ván nào thắng ván đó, còn bây giờ anh ta đi giành những vinh quang mới ở Achentina”.	Aljechin, Capablanca, Tartakover, Lasker, Bogoljubov nevével együtt emlegették az övét.	0.0857143
Lúc đó tôi mới nhớ lại nhà vô địch trẻ tuổi này và một số đặc điểm trong bước đường công danh kỳ lạ của anh.	Amióta Rzecewski, a hétéves csodagyerek részt vett az 1922-es New York-i sakkversenyen, sohasem keltett ilyen feltűnést, hogy ismeretlen ember tört be a hírneves céh sorába.	0.227907
Do đã đọc báo chí nhiều hơn tôi, anh bạn đã bổ sung vào trí nhớ của tôi một số giai thoại.	Czentovic intellektuális képességei sehogy sem engedtek volna ilyen csodálatos pályafutásra követ­kez­tetni.	0.276
Trong có vòng gần một năm, Xzentôvic đã trở thành một nhân vật sánh ngang với các bậc thầy nổi tiếng nhất về môn cờ.	Csakhamar kiszivárgott a nagy titok, hogy ez a kiváló sakkmester a magánéletben képtelen volt bármely nyelven egyetlen mondatot helyesírási hiba nélkül leírni.	0.251538
Alêcxin Capablăngca, Tartakôvơ, Laxkơ, Bôgôngiubôp không còn gì để truyền đạt cho anh nữa.	S amint egyik kollégája csípősen megjegyezte: általános volt a műveletlensége minden téren.	0.27
Từ năm 1922, sau Rzexepxki - một chú bé thần đồng bảy tuổi - trở nên lỗi lạc ở trận đấu tại Niu York, người ta chưa hề biết một người không tên tuổi nào như Xzentôvic lại thu hút được sự chú ý đến thế của thế giới đối với những người chơi cờ.	Koldus­szegény, délszláv, dunai hajósgyerek volt. ~~~ Apja kis bárkájára ráfutott egy éjszaka egy tehergőzös.	-0.233333
Vì nếu chỉ dựa vào trí năng của Xzentôvic thì không ai dám tiên đoán anh ta sẽ có một tương lai sáng lạn.	A tizenkét éves fiút apja halála után egy isten háta mögötti kis helység papja vette magához.	0.222472
Có tiếng đồn rằng nhà vô địch không thể viết nổi một câu, dù bằng tiếng mẹ đẻ, mà không phạm những lỗi chính tả, và một đối thủ bẳn tính đã nhận xét : “Sự vô học của anh chàng đã nổi tiếng khắp hoàn cầu”. ~~~ * ~~~ 	A jó páter mindent megtett, hogy a lassú észjárású, tompa agyú, alacsony homlokú parasztfiú otthon tanulja meg mindazt, amit a falusi iskolában nem tudott elsajátítani. ~~~ De minden igyekezete hasztalan volt.	-0.226042
 ~~~  ~~~ Xzentôvic là con trai một người chèo thuyền khốn khó gốc Xlavơ vùng Đanuýp.	Mirko idegenül és idegenkedve meredt a már százszor és százszor elmagyarázott írásjelekre.	-0.105952
Một đêm nọ, thuyền của ông bị một chiếc tàu thủy chở lúa mì đâm chìm.	Lassan, nehézkesen dolgozó agya a legegyszerűbb tantárgyakat sem volt képes befogadni.	0.3
Sau khi bố chết, chú bé lúc đó mười hai tuổi, được cha xứ trong làng đón về nuôi và ông linh mục tốt bụng đã cố gắng một cách trung thực bảo ban chú bé lãnh đạm và ít nói ôn lại bài vở mà ở trường chú không tài nào nhớ nổi.	Ha számolnia kellett, még tizennégy éves korában is az ujjait hívta segítségül, és serdült korában is nehezen birkózott meg egy újsággal vagy könyvvel. ~~~ Pedig Mirko nem volt makacs, rosszindulatú gyerek.	-0.0419689
Nhưng ông đã uổng công vô ích.	Engedelmesen megtette mindazt, amit parancsoltak.	0.194118
Xzentôvic nghiêng nghiêng vầng trán rộng của mình trên những nét chữ mà chú đã nghe giảng đi giảng lại đến trăm lần và trân trân nhìn chúng với cặp mắt trống rỗng; óc chú bất lực không lưu giữ được những khái niệm sơ đẳng nhất.	Vizet hordott, fát aprított, dolgozott a földeken, kitakarította a konyhát, s általában idegborzoló csigalassúsággal, de rendesen, lelkiismeretesen elvégezte a rábízott munkát.	0.150877
Năm mười bốn tuổi, chú vẫn còn phải dùng ngón tay để đếm và hết sức chật vật mỗi khi đọc một quyển sách hoặc một tờ báo.	De a jó pátert főképpen az bosszantotta, hogy a begyöpösödött fejű fiúból minden érdeklődés hiányzott.	0.190385
Nhưng không thể nói rằng chú ngại khó.	Semmit sem tett külön felszólítás nélkül.	0.293023
Chú ngoan ngoãn làm tất cả những gì được sai bảo, xách nước, bổ củi, làm việc ở ngoài đồng, lau chùi bếp, tóm lại, tuy chậm chạp đến phát bực mình, chú đã tận tụy thực hiện mọi công việc được yêu cầu.	Nem kérdezősködött, nem játszott más fiúkkal, s ha nem szólították fel rá, eszébe se jutott, hogy elfoglaltságot keressen.	0.0176471
Nhưng điều làm vị linh mục tốt bụng buồn phiền nhất là thái độ hoàn toàn dửng dưng của chú bé kỳ cục được ông che chở.	Ahogy Mirko elvégezte a háztartás körüli teendőket, némán ült a sarokban, és tekintete leginkább a réten legelő birkáéhoz hasonlított.	0.290977
Chú chẳng bao giờ tìm cách gợi chuyện ông, chẳng bao giờ mở miệng hỏi một câu, chẳng chơi với lũ con trai cùng tuổi, xong công việc chú đến một chỗ ở trong phòng, vẻ đãng trí và lơ đễnh như cừu ngoài bãi chăn thả, không hề bận tâm tới những gì diễn ra ở quanh mình.		-0.3
Tối tối cha xứ châm chiếc tẩu dài hút và ngồi đánh ba ván cờ thường ngày với viên đội.	A körülötte zajló események hatástalanul peregtek le róla.	0.0966102
Lúc đó cậu thiếu niên lại ló mái tóc vàng rối bù màu vàng hoe của mình xích đến bên bàn và lặng lẽ chăm chăm nhìn bàn cờ, cặp mắt như ngái ngủ và lơ đễnh dưới đôi mí nặng sùm sụp.	S ha esténként a pap hosszú szárú parasztpipáját szíva hagyományos három sakkpartiját játszotta a csendőrőrmesterrel, a szalmaszőke kamasz szótlanul ült mellettük, és elnehezült szempillákkal, látszólag álmosan, közönyösen meredt a kockás táblára.	0.229851
Một tối mùa đông, khi hai đấu thủ đang say với ván cờ thì người ta nghe thấy tiếng chuông lắc mỗi lúc một rõ của một xe trượt tuyết đang lao hết tốc lực trên đường phố.	Egy téli estén, mikor a két partner éppen mindennapi játszmájába mélyedt, az országút felől szánkócsilingelés hallatszott, egyre közelebbről. ~~~ Parasztfiú rontott be az ajtón.	-0.0156977
Một nông dân, mũ lưỡi trai phủ trắng tuyết, vội vã bước vào mời cha xứ tới ban lễ xức dầu cuối cùng cho người mẹ già nua của mình đang hấp hối.	Sapkáját hó födte. ~~~ Haldoklik az anyja. ~~~ Siessen a tisztelendő úr, ha még idejében akarja feladni az utolsó kenetet.	-0.182022
Ông cha xứ liền đi theo người nông dân.	A pap habozás nélkül követte.	0.17
Chưa kịp uống cạn cốc bia, viên đội châm lại tẩu và định xỏ chân vào đôi ủng nặng nề để ra về.	A csendőrőrmester nem itta még ki a korsó sörét, rágyújtott hát még elmenetel előtt a pipájára.	0.242553
Bỗng ông bắt gặp cặp mắt của Xzentôvic nhìn chăm chăm bàn cờ vừa mới được bắt đầu.	Éppen nekigyürkőzött, hogy felhúzza nehéz csizmáit, mikor egyszerre csak feltűnt neki, milyen mozdulatlanul mered Mirko a megkezdett sakkjátszmára.	0.172727
- Thế nào, cháu có muốn chơi nốt ván cờ này không ?	- No, nem akarod befejezni a tisztelendő úr helyett?	0.548936
– Viên đội nói đùa, vì ông tin chắc cậu bé ngù ngờ không thể đi một con Binh cho ra hồn trên bàn cờ.	- kérdezte tréfálkozva, hiszen meg volt győződve róla, hogy a lassú észjárású kamasz egyetlenegy figurával sem tudna helyesen lépni.	0.244444
Chú bé rụt rè ngẩng đầu lên, rồi gật đầu nhận lời và đến ngồi vào chỗ cha xứ.	A fiú ijedten kapta fel a fejét, azután bólintott, és leült a pap helyére.	0.195652
Sau khi đi mười bốn nước, viên đội bị hạ và buộc phải thú nhận rằng mình thua không phải do chểnh mảng.	Tizennégy lépés után a csendőrőrmester elvesztette a partit. ~~~ És méghozzá azt is el kellett ismernie, hogy nem figyelmetlen lépés miatt szenvedett vereséget.	-0.0423077
Ván thứ hai cũng diễn ra như vậy.	A másik partinál ugyanaz történt.	0.282353
- Đúng là chú lừa của Balsam !	- Bálám szamara!	0.785294
– Khi quay về, vị linh mục sửng sốt kêu lên.	- kiáltott fel meglepetten a lelkész, amikor visszatért.	0.27551
Rồi ông giảng giải cho viên đội, vì ông ta không hiểu rõ Kinh Thánh bằng ông, rằng trước đây hai nghìn năm cũng đã từng có một chuyện kỳ lạ tương tự, một người câm bỗng nói ra những lời vô cùng khôn ngoan.	És a bibliában kevésbé járatos csendőrőrmester kedvéért hozzáfűzte, hogy már kétezer évvel ezelőtt is hasonló csoda történt, mikor is egy lelketlen állat a bölcsesség nyelvén szólalt meg.	0.233514
Tuy đã khuya, ông bố nuôi không kìm được cứ muốn đòi đọ sức với cậu bé được mình nuôi dưỡng.	Bár igen késő volt már, nem állhatta meg, hogy párharcra ne hívja fél-analfabéta famulusát. ~~~ A fiú vele is könnyen elbánt.	-0.0109091
Chú có cách đánh chậm rãi, bền bỉ, điềm tĩnh và chiếc trán rộng của chú luôn cúi trên bàn cờ.	Szívósan, lassan, rendíthetetlen nyugalommal játszott, anélkül, hogy csak egyszer is felemelte volna alacsony homlokát.	0.274286
Chiến thuật của chú vững vàng không chê vào đâu được ; những ngày tiếp sau đó, cả viên đội lẫn cha xứ đều không thắng được chú ván nào.	De ellenállhatatlan biztonsággal tolta előre a kis fabábukat. ~~~ Sem a csendőrőrmesternek, sem a papnak nem sikerült megvernie a rákövetkező napokban.	-0.0159574
Là người hiểu rõ hơn ai hết mức độ tiếp thu chậm của chú học trò của mình trong những lĩnh vực khác, cha xứ tò mò muốn biết rõ khả năng năng khiếu đặc biệt này đến đâu.	A pap, aki mindenkinél jobban tudhatta, milyen fogyatékosak voltak neveltjének más irányú képességei, most már tudni szerette volna, vajon ezek után komoly próbát is kiáll-e a fiú különös tehetsége.	0.296825
Ông dẫn Xzentôvic tới bác thợ cắt tóc trong làng để tỉa bớt mái tóc bù xù màu vàng rơm của chú trông cho dễ coi rồi dùng xe trượt tuyết đưa chú ra thành phố nhỏ bé nằm cạnh làng.	Miután a borbélynál lenyíratta szalmasárga bozontját, hogy némiképpen szalonképessé tegye, felültette a szánjára, és a szomszédos városba hajtott.	0.20137
Ở đấy ông quen mấy người rất mê đánh cờ, đánh khá hơn ông, và lúc nào cũng thấy ngồi trong một góc quán cà phê tại Quảng trường lớn.	Jól ismerte itt a főtéri kávéház egyik sarkában ülő szenvedélyes sakkozókat, akik már sok ízben különb játékosoknak bizonyultak nálánál.	0.276259
Khi cha xứ bước vào quán, đẩy ở trước mặt mình chú bé mười lăm tuổi, tóc vàng nhạt, má đỏ ửng, vai quàng tấm da cừu lộn thì mấy vị khách quen thuộc của quán đều mở tròn mắt ngạc nhiên.	Nem kis meglepetést keltett a pap a sakkozók körében, amint betuszkolta a kávéház ajtaján a szalmaszőke, pirospozsgás tizenöt éves parasztlegényt, aki most is befelé fordított báránybőrbekecsét és ráncos csizmáját viselte.	0.288517
Chú bé đứng như trời trồng, mắt e lệ nhìn sàn mãi tới khi có người ngồi ở một bàn lên tiếng gọi chú.	A fiú zavartan, lesütött szemmel állt a sarokban, míg oda nem hívták az egyik asztalhoz.	0.182927
Ván đầu chú bị thua vì chưa bao giờ thấy vị đỡ đầu tuyệt diệu của mình lẫn ông đội khai cuộc theo kiểu Xixia.	Az első játszmában Mirko vereséget szenvedett, mert az úgynevezett szicíliai nyitást a derék papnál sohasem láthatta.	0.270796
Ván thứ hai chú chơi hòa với người đánh cờ giỏi nhất hội và các ván sau đó chú liên tiếp hạ tất.	A második partiban már a legjobb játékossal szemben remis-t ért el, a harmadik és negyedik játszmától fogva egyiket a másik után verte meg.	0.244954
Một sự kiện hồi hộp đã diễn ra tại một thành phố nhỏ ở Nam Tư và các vị thân hào đã chứng kiến những bước đầu của nhà vô địch một làng quê như vậy đấy.	Az ilyen kis délszláv vidéki városkában igen ritkán történik valami rendkívüli, s így parasztbajnokunk első fellépése nagy feltűnést keltett az egybegyűlt előkelőségek körében.	0.29661
Mọi người nhất trí lưu chú bé thần đồng lại đến sáng mai để có thể thông báo về sự hiện diện của chú với các hội viên khác của hội và nhất là với bá tước Ximxzic - một người đánh cờ say mê cuồng nhiệt.	Egyhangúlag elhatároztatott, hogy a csodagyereknek feltétlenül a városban kell maradnia másnapig, hogy a klub valamennyi tagját értesíthessék, főként Simczic grófot, a fanatikus sakkjátékost és sakkmecénást, aki kastélyában tartózkodott.	0.3
Cha xứ đưa mắt nhìn cậu học trò của mình với niềm tự hào mới, nhưng ông không thể chểnh mảng nghĩa vụ đối với Chúa.	A pap most már büszkén tekintett neveltjére, de a vasárnapi misét felfedezésének örömére sem akarta elmulasztani.	0.237273
Ông tuyên bố sẵn sàng cho phép Xzentôvic ở lại với mấy vị để chú có thể chứng minh rõ hơn nữa tài năng của mình.	Beleegyezett tehát abba, hogy Mirko Czentovic a városban maradjon, és további próbáknak vessék alá.	0.205263
Xzentôvic được bố trí ở khách sạn, phí tổn do các nhà đánh cờ đài thọ. ~~~ Tối hôm ấy lần đầu tiên trong đời, chú được thấy một nhà vệ sinh có hệ thống giội nước… ~~~  ~~~ 	A kis Czentovicot a sakk-kör költségére a szállodában szállásolták el, ott látott életében először angol W. C.-t. Rákövetkező vasárnap délután a sakkterem zsúfolásig megtelt.	-0.156897
 ~~~ Chiều chủ nhật, trong một căn phòng chật cứng người, chú bé ngồi im không nhúc nhích bốn giờ liền trước bàn cờ và đã hạ tất cả mọi đấu thủ; chú đã không mở miệng nói một lời nào cũng như không hề ngước mắt nhìn lên một lần nào.	Mirko szótlanul, mozdulatlanul ült négy órán át az asztal mellett, s anélkül, hogy akár csak egyszer felpillantott volna, sorra legyőzte ellenfeleit.	-0.129643
Có người đề nghị chú đánh nhiều ván cùng một lúc.	Végül a városbeliek szimultán-partit javasoltak.	0.238776
Phải chật vật lắm mới giải thích để chú hiểu rõ là trong ván cờ như vậy một mình chú phải đấu với nhiều đấu thủ.	Jó ideig tartott, míg a tanulatlan fiú megértette, hogy szimultán játszmánál egyedül játszik különböző ellenfelek ellen.	0.2675
Khi vỡ lẽ, chú liền thực hiện ngay, chú chậm rãi đi từ bàn này sang bàn kia làm đôi giày to tướng của chú cứ kêu răng rắc.	De ahogy felfogta ezt a számára ismeretlen játékmódozatot, gyorsan beletalált új szerepébe.	0.155056
Kết cục chú thắng bảy trên tám đấu thủ.	Nehéz, csikorgó léptekkel járt asztaltól asztalig, és a játék során nyolc parti közül hetet nyert meg.	-0.01875
Lúc đó liền nổ ra một cuộc thảo luận dài.	Nagy tanácskozások kezdődtek ekkor.	0.191667
Thực ra cứ chẻ hoe mà nói, nhà vô địch mới không phải người gốc gác trong tỉnh, nhưng đầu óc cục bộ đã được thức tỉnh.	Bár a fiatal bajnok voltaképpen nem volt a város polgára, az esemény mégis a legnagyobb mértékben felkeltette a helybeliek lokálpatrio­tizmusát.	0.29781
Biết đâu cái địa phương nhỏ bé tìm mãi mới thấy trên bản đồ này lại sẽ chẳng rạng rỡ vì đã sản sinh một nhân vật nổi tiếng.	Az a tisztesség éri talán végre ezt a kis várost, melyet eddig alig vettek észre a térképen, hogy híres embert küldhet a világba.	0.231933
Kenlơ, một ông bầu sân khấu chuyên cung cấp các bài ca và nữ ca sĩ cho quán rượu ở đồn trú, nhận đưa chú bé kỳ dị đi Viên, như ông ta nói, tới chỗ một bậc thầy lỗi lạc để xin thụ giáo học lấy nghệ thuật của ông thầy.	Egy Koller nevű ügynök, aki egyébként chansonokat és énekesnőket szerzett a garnizon kabaréja számára, vállalkozott arra, hogy kiképezteti Bécsben a fiatalembert az egyik kevéssé ismert, de kiváló sakkmesternél, ha vállalják egy évig a költségek fedezését.	0.291322
Có điều phải có người chịu đài thọ mọi phí tổn trong một năm chú sẽ lưu lại ở thủ đô.	Simczic gróf, aki mindennapi sakkjátszmái közben hatvan év alatt egyetlenegyszer sem találkozott ilyen rendkívüli partnerrel, azonnal aláírta a szerződést.	0.158824
Suốt sáu chục năm ròng, ngày nào bá tước Ximxzic cũng đánh cờ, nhưng chưa từng gặp một đối thủ kỳ lạ như chú bé này nên liền ký ngay một tấm ngân phiếu.	Ezen a napon kezdődött meg a hajósfiú csodálatos karrierje. ~~~ Fél év múlva Mirko ismerte már a sakkjáték minden csínját-bínját, egy bizonyos megszo­rítással; s erről később sokat beszéltek és gúnyolódtak szakkörökben.	-0.0113924
Bước đường công danh khác thường của chú bé con một bác chèo thuyền đã bắt đầu như vậy đấy.	Tökéletesen képtelen volt ugyanis arra, hogy egy partit fejből, azaz, ahogy sakknyelven mondják, vakon játsszon le.	0.297196
Trong sáu tháng, Xzentôvic đã học được một bí quyết đánh cờ; thật ra kiến thức của chú rất hạn chế.	Nem tudta a sakktáblát a képzelet végtelen síkjára vetíteni.	0.025
Tại các câu lạc bộ mà sau này chú hay lui tới người ta đã nhận rõ điều đó và thường cười chế giễu.	Mindenkor látnia kellett a hatvannégy fekete-fehér mezőt és a harminckét figurát.	0.170886
	Mikor már világhírű játékos volt, még mindig állandóan magánál hordta összerakható zsebsakktábláját, hogy plasztikusan, mintegy szemmel tapinthatóan jelenítse meg az állásokat, valahányszor mesterjátszmát akart rekonstru­álni, vagy ha valamilyen sakkproblémát akart megoldani.	-0.3
Chẳng là Xzentôvic không bao giờ có thể đánh một mình một ván cờ trừu tượng hay, như người ta thường nói, chơi không cần bàn cờ.	Ez az önmagában lényegtelen defektus a képzelőerő hiányáról tanúskodott, s ezt éppen olyan élénken vitatták szakkörökben, mintha valamelyik karmester vagy zenevirtuóz képtelen lett volna partitúra nélkül játszani vagy vezényelni.	0.127972
Chú hoàn toàn không có khả năng hình dung một bàn cờ ở trong đầu mình.	E furcsa jelenség cseppet sem zavarta Mirko pályájának merész ívelését.	0.278873
Nhất thiết chú phải thấy rõ ở trước mắt mình, sờ được sáu mươi tư ô đen, trắng và tóm được ba mươi hai quân cờ.	Tizenhét éves korában már tucatnyi sakkdíjat nyert, tizennyolc éves korában magyar bajnok lett, huszadik életévében pedig világbajnok.	0.3
Ngay như sau khi đã nổi tiếng khắp thế giới, chú luôn có trong túi một bàn cờ nhỏ để tận mắt nhìn rõ vị trí của các quân cờ một khi chú muốn giải quyết một vấn đề hoặc dựng lại ván cờ của một bậc thầy.	Szívós és hideg logikájának súlya alatt egymás után terültek el ellenfelei, a legbátrabb bajnokok is, noha tehetség, képzelőerő és merészség dolgában mind magasan fölötte állottak; amint Napóleon is vereséget szenvedett a lomha Kutuzovtól, Hannibál pedig Fabius Cunctatortól, kiről Livius azt írja, hogy gyerekkorában a flegma és imbecilitás rokon tünetei jelentkeztek nála.	0.133043
Thiếu sót này - tự bản thân nó chẳng có gì là ghê gớm lắm – cho thấy khá rõ Xzentôvic không giàu đầu óc tưởng tượng và những người sống xung quanh chú liền túm lấy chi tiết đó mà bình luận sôi nổi như trong giới nhạc sĩ đã từng bình luận về một nhạc sĩ điêu luyện hay một nhạc trưởng nổi tiếng không thể chơi nhạc hoặc điều khiển một dàn nhạc nếu không có bản đàn bè mở rộng ở trước mặt.	Így történt, hogy a szellemi fölény különböző típusait, filozófusokat, matematikusokat, számító, képzelő s gyakran alkotó elméket egyesítő illusztris sakkbajnok-táborba először tört be egy ilyen intellektuális outsider, ez az ostoba parasztfiú, akiből a legügyesebb újságíró sem tudott egyetlen publicisztikailag használható szót kihúzni.	0.206866
Nhưng đặc điểm này hoàn toàn không làm chậm những bước tiến đến sửng sốt của Xzentôvic.	De az el nem mondott csiszolt mondatokért bőségesen kárpótolta őket Czentovic a személye körül keletkezett anekdotakinccsel.	0.253398
Mười bảy tuổi, anh đoạt trên chục giải; mười tám tuổi anh đã là nhà vô địch ở Hunggari; còn hai mươi tuổi – vô địch thế giới.	Ugyanis, alighogy felkelt a sakkasztal mellől, ahol verhetetlen bajnoknak bizonyult, óhatatlanul groteszk, csaknem komikus alakká vedlett át.	0.265385
Những người đánh cờ mạnh dạn nhất nghĩa là về mặt trí tuệ, đầu óc tưởng tượng táo bạo họ vượt rất xa anh, song không thể chịu đựng được cái lôgic khe khắt và lạnh lùng của anh.	Ünnepélyes, fekete öltönye, pompás nyakkendője, kissé hivalkodó nyakkendőtűje, gondosan manikűrözött körmei ellenére, mozdulataiban, modorában ugyanaz a korlátolt parasztfiú maradt, aki annak idején a pap szobáját söpörte fel.	0.272195
Trước mặt anh họ như Anniban trước Phabiux Amtatơ mà Titơ Livơ kể lại rằng lúc bé đã có những dấu hiệu đến lạ lùng.	A kollégák mulatságára és bosszúságára esetlenül és szinte szemérmetlen nyíltsággal, kicsinyes, sőt gyakran közönséges kapzsisággal váltotta aprópénzre tehetségét és hírnevét.	0.177692
Cho tới lúc đó, bộ sưu tập lừng danh tên tuổi các bậc thầy đánh cờ, gồm đủ loại những nhân vật thông minh, những nhà hiền triết, nhà toán học, những bộ óc giàu trí tưởng tượng và thường là đầy sáng tạo, từ nay được bổ sung thêm một người xa lạ với giới trí tuệ, đó là anh chàng nông dân vụng về và ít nói mà các nhà báo tài ba nhất cũng chẳng bao giờ khai thác được một lời nào để viết bài.	Városról városra utazott, a legolcsóbb hotelszobát szemelte ki, a legsiralmasabb egyletekben játszott, ha megfizették a kívánt honoráriumot; szappanreklámokon díszelgett a képe, sőt odaadta a nevét „A sakkjáték filozófiája” című könyvhöz, melyet valamilyen kis galíciai diák írt egy élelmes kiadó megbízásából, s mit sem törődött a konkurrensek gúnyolódásával, kik pontosan tudták, hogy Czentovic három mondatot sem tud helyesen leírni.	0.290845
Thực ra thì người ta đã được đền bù khá hậu hĩ bằng cách kể ra khá nhiều giai thoại về Xzentôvic.	Mint a szívós akaratú embereknek általában, neki sem volt érzéke a komikum iránt.	0.176923
Vì, ngồi trước bàn cờ, anh là một người hết sức tài giỏi, nhưng vừa rời khỏi bàn cờ anh là một nhân vật khôi hài và gần như lố bịch, tuy mình mặc bộ lễ phục đen, và đeo Caravát có cài một hạt trai đẹp lộng lẫy.	Mióta a világ­bajnokságot elnyerte, úgy érezte, hogy ő a földkerekség legfontosabb embere.	-0.198876
Tuy bàn tay anh được chăm chút và móng tay siêng đánh bóng, anh vẫn có những cử chỉ và thái độ của một chàng nông dân thiển cận trước đây đã từng quét dọn buồng ông cha xứ của mình.	S az a tudat, hogy ezeket az okos, kifinomult, szellemes írókat és társalgókat saját birodalmukban győzte le, s mindenekelőtt az a nyilvánvaló tény, hogy náluknál többet keres, korábbi félszegségét hideg és többnyire esetlen formában megnyilvánuló büszkeséggé változtatta.	0.204
Với tính vụng về và trâng tráo đến trơ trẽn làm các bạn đồng sự của mình khi vui lúc bực, anh chỉ nghĩ cách khai thác tài năng và tên tuổi của mình để kiếm được thật nhiều tiền.	- De hogyisne szédített volna meg ilyen üres fejű embert ez a gyors dicsőség - fejezte be barátom, miután éppen Czentovic gyermekded prepotenciájának néhány klasszikus esetéről emlékezett meg.	0.271978
